Globalisering (1);Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 forskarvolym//NN|NEU|SIN|IND|NOM//nmod//2 IX//RG|NOM//ROOT//2
Förord;Tack//NN|NEU|SIN|IND|NOM//mark//63 vare//VB|KON|PRS|AKT//mark//63 att//SN//mark//63 nästan//AB//advmod//58 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//63 som//HP|-|-|-//nsubj//61 blivit//VB|SUP|AKT//aux:pass//61 ombedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//58 också//AB//advmod//63 lämnat//VB|SUP|AKT//advcl//37 ett//DT|NEU|SIN|IND//det//65 bidrag//NN|NEU|SIN|IND|NOM//obj//63 har//VB|PRS|AKT//conj//2 denna//DT|UTR|SIN|DEF//det//75 breda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//75 ,//MID//punct//68 om//AB//mark//75 än//AB//case//75 långt//AB|POS//advmod//75 ifrån//PP//case//75 fullständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 exponering//NN|UTR|SIN|IND|NOM//obj//66 av//PP//case//79 vår//PS|UTR|SIN|DEF//nmod:poss//79 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//79 kunskap//NN|UTR|SIN|IND|NOM//nmod//75 om//PP//mark//82 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//82 blivit//VB|SUP|AKT//advcl//75 möjlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//82 .//MID//punct//2
Förord;Att//SN//mark//87 forskarna//NN|UTR|PLU|DEF|NOM//nsubj//87 ser//VB|PRS|AKT//csubj//103 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//87 som//KN//case//91 en//DT|UTR|SIN|IND//det//91 del//NN|UTR|SIN|IND|NOM//obl//87 av//PP//case//94 sin//PS|UTR|SIN|DEF//nmod:poss//94 yrkesroll//NN|UTR|SIN|IND|NOM//nmod//91 att//IE//mark//96 leverera//VB|INF|AKT//acl//91 underlag//NN|NEU|SIN|IND|NOM//obj//96 för//PP//case//101 det//DT|NEU|SIN|DEF//det//101 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//101 samtalet//NN|NEU|SIN|DEF|NOM//nmod//97 är//VB|PRS|AKT//cop//103 värt//JJ|POS|NEU|SIN|IND|NOM//conj//2 att//IE//mark//105 notera//VB|INF|AKT//advcl//103 med//PP//case//107 tillfredsställelse//NN|UTR|SIN|IND|NOM//obl//105 .//MID//punct//2
Förord;Inte//AB//advmod//114 för//PP//mark//114 att//SN//mark//114 forskarna//NN|UTR|PLU|DEF|NOM//nsubj//114 skulle//VB|PRT|AKT//aux//114 sitta//VB|INF|AKT//conj//2 inne//PL//compound:prt//114 med//PP//case//118 alla//DT|UTR/NEU|PLU|IND/DEF//det//118 svaren//NN|NEU|PLU|DEF|NOM//obl//114 .//MAD//punct//114
Förord;Men//KN//cc//136 för//PP//mark//131 att//SN//fixed//121 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//126 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 teoretiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 infallsvinklar//NN|UTR|PLU|IND|NOM//nsubj//131 och//KN//cc//128 verklighetsbilder//NN|UTR|PLU|IND|NOM//conj//126 kanske//AB//advmod//131 kan//VB|PRS|AKT//aux//131 göra//VB|INF|AKT//advcl//136 det//DT|NEU|SIN|DEF//det//134 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//134 samtalet//NN|NEU|SIN|DEF|NOM//obj//131 mer//AB|KOM//advmod//136 insiktsfullt//AB|POS//conj//114 .//MAD//punct//2
Förord;Förhoppningen//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 nu//AB//ROOT//2 att//SN//mark//8 dessa//DT|UTR/NEU|PLU|DEF//det//5 texter//NN|UTR|PLU|IND|NOM//nsubj:pass//8 ska//VB|PRS|AKT//aux//8 kunna//VB|INF|AKT//aux//8 läsas//VB|INF|SFO//advcl//2 med//PP//case//10 behållning//NN|UTR|SIN|IND|NOM//obl//8 även//AB//advmod//13 utanför//PP//case//13 forskarsamhället//NN|NEU|SIN|DEF|NOM//obl//8 .//MID//punct//2
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 betyder//VB|PRS|AKT//parataxis//2 inte//AB//advmod//16 att//SN//mark//20 författarna//NN|UTR|PLU|DEF|NOM//nsubj//20 förenklat//AB//ccomp//16 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 orsakssammanhang//NN|NEU|PLU|IND|NOM//obj//20 .//MAD//punct//16
Förord;Men//KN//cc//26 jag//PN|UTR|SIN|DEF|SUB//nsubj//26 bad//VB|PRT|AKT//conj//16 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//26 ”//PAD//punct//26 skriva//VB|INF|AKT//conj//26 så//AB//advmod//29 att//SN//mark//33 texten//NN|UTR|SIN|DEF|NOM//nsubj//33 blir//VB|PRS|AKT//advcl//29 läsbar//JJ|POS|UTR|SIN|IND|NOM//xcomp//33 för//PP//case//38 inte//AB//advmod//38 bara//AB//advmod//38 forskare//NN|UTR|PLU|IND|NOM//obl//33 inom//PP//case//41 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 ämnesområden//NN|NEU|PLU|IND|NOM//nmod//38 utan//KN//cc//47 även//AB//advmod//47 för//PP//case//47 en//DT|UTR|SIN|IND//det//47 allmänbildad//PC|PRF|UTR|SIN|IND|NOM//amod//47 medborgare//NN|UTR|SIN|IND|NOM//conj//38 .//MAD//punct//26
Förord;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 kan//VB|PRS|AKT//aux//51 kräva//VB|INF|AKT//parataxis//26 viss//JJ|POS|UTR|SIN|IND|NOM//amod//53 återhållsamhet//NN|UTR|SIN|IND|NOM//obj//51 med//PP//case//56 inomvetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 jargonger//NN|UTR|PLU|IND|NOM//obl//51 .//MAD//punct//51
Förord;F//PM|NOM//ROOT//0 ÖRORD//PM|NOM//flat:name//0
Förord;Särskilt//AB//advmod//1 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 och//KN//cc//3 komplicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//1 tankegångar//NN|UTR|PLU|IND|NOM//nsubj//6 kan//VB|PRS|AKT//aux//6 behöva//VB|INF|AKT//ROOT//6 en//DT|UTR|SIN|IND//det//11 något//AB//advmod//9 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 pedagogisk//JJ|POS|UTR|SIN|IND|NOM//amod//11 omsorg//NN|UTR|SIN|IND|NOM//obj//6 än//KN//mark//13 vanligt//AB|POS//amod//14 ”//PAD//obl//6 .//MAD//punct//6
Förord;Eva//PM|NOM//nsubj//3 Dahlström//PM|NOM//flat:name//0 har//VB|PRS|AKT//aux//3 biträtt//VB|SUP|AKT//ROOT//3 med//PP//case//7 en//DT|UTR|SIN|IND//det//7 språklig//JJ|POS|UTR|SIN|IND|NOM//amod//7 granskning//NN|UTR|SIN|IND|NOM//nmod//3 av//PP//case//12 nära//AB|POS//amod//12 nog//AB//advmod//12 alla//DT|UTR/NEU|PLU|IND/DEF//det//12 texter//NN|UTR|PLU|IND|NOM//nmod//7 i//PP//case//16 den//DT|UTR|SIN|DEF//det//16 här//AB//fixed//14 volymen//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//3

Globalisering (2);Vad//HP|NEU|SIN|IND//obj//1 betyder//VB|PRS|AKT//csubj//45 globaliseringen//NN|UTR|SIN|DEF|NOM//nsubj//1 för//PP//case//6 det//DT|NEU|SIN|DEF//det//6 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 folkstyret//NN|NEU|SIN|DEF|NOM//nmod//2 ?//MID//punct//1
Globalisering (2);Hotbilderna//NN|UTR|PLU|DEF|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 klart//AB|POS//advmod//11 formulerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//1 i//PP//case//15 den//DT|UTR|SIN|DEF//det//15 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 debatten//NN|UTR|SIN|DEF|NOM//obl//11 .//MAD//punct//11
Globalisering (2);Inte//AB//advmod//18 minst//AB|SUV//advmod//33 har//VB|PRS|AKT//aux//33 Hans-Peter//PM|NOM//nsubj//33 Martin//PM|NOM//flat:name//20 och//KN//cc//23 Martin//PM|NOM//conj//20 Schumann//PM|NOM//flat:name//23 i//PP//case//28 sin//PS|UTR|SIN|DEF//nmod:poss//28 populära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 bok//NN|UTR|SIN|IND|NOM//nmod//23 ”//PM|NOM//punct//30 Globaliseringsfällan//NN|UTR|SIN|DEF|NOM//nmod//20 ”//PM|NOM//punct//20  //_SP////31 gjort//VB|SUP|AKT//conj//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//33 till//PP//case//36 talesmän//NN|UTR|PLU|IND|NOM//obl//33 för//PP//case//38 uppfattningen//NN|UTR|SIN|DEF|NOM//nmod//36 att//SN//mark//41 demokratiskt//AB|POS//advmod//41 valda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//44 och//KN//cc//43 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 institutioner//NN|UTR|PLU|IND|NOM//obj//33 är//VB|PRS|AKT//cop//47 på//PP//case//47 väg//NN|UTR|SIN|IND|NOM//ROOT//47 att//IE//mark//49 förlora//VB|INF|AKT//acl//47 sitt//PS|NEU|SIN|DEF//nmod:poss//51 monopol//NN|NEU|SIN|IND|NOM//obj//49 på//PP//case//55 såväl//KN//advmod//54 politiskt//JJ|POS|NEU|SIN|IND|NOM//amod//55 inflytande//NN|NEU|SIN|IND|NOM//obl//49 liksom//PP//case//57 förmågan//NN|UTR|SIN|DEF|NOM//obl//49 att//IE//mark//59 sätta//VB|INF|AKT//acl//57 den//DT|UTR|SIN|DEF//det//62 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 agendan//NN|UTR|SIN|DEF|NOM//obj//59 .//MAD//punct//47
Globalisering (2);Inflytandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//65 flyttas//VB|PRS|SFO//parataxis//47 från//PP//case//69 de//DT|UTR/NEU|PLU|DEF//det//69 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 arenorna//NN|UTR|PLU|DEF|NOM//obl//65 till//PP//mark//74 vad//HP|NEU|SIN|IND//obj//74 vi//PN|UTR|PLU|DEF|SUB//nsubj//74 kan//VB|PRS|AKT//aux//74 kalla//VB|INF|AKT//acl//69 för//PP//case//79 ”//PAD//punct//79 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 globala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 institutioner//NN|UTR|PLU|IND|NOM//obl//74 .//MAD//punct//65 ”//PAD//punct//83
Globalisering (2);Själva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//83 sinnebilden//NN|UTR|SIN|DEF|NOM//nsubj//91 för//PP//case//88 dessa//DT|UTR/NEU|PLU|DEF//det//88 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 globala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 institutioner//NN|UTR|PLU|IND|NOM//nmod//83 är//VB|PRS|AKT//cop//91 de//DT|UTR/NEU|PLU|DEF//det//91 aktörer//NN|UTR|PLU|IND|NOM//nsubj//47 och//KN//cc//93 institutioner//NN|UTR|PLU|IND|NOM//conj//91 som//HP|-|-|-//nsubj//95 reglerar//VB|PRS|AKT//acl:relcl//93 de//DT|UTR/NEU|PLU|DEF//det//99 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//99 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//99 flödena//NN|NEU|PLU|DEF|NOM//obj//95 ,//MID//punct//99 liksom//SN//mark//107 de//PN|UTR/NEU|PLU|DEF|SUB//det//107 i//PP//advmod//107 huvudsak//NN|UTR|SIN|IND|NOM//fixed//103 Wall//PM|NOM//fixed//103 Street-baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//107 institutioner//NN|UTR|PLU|IND|NOM//acl//47 som//HP|-|-|-//nsubj//109 bedömer//VB|PRS|AKT//acl:relcl//107 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//111 länders//NN|NEU|PLU|IND|GEN//nmod:poss//112 kreditvärdighet//NN|UTR|SIN|IND|NOM//obj//109 och//KN//cc//115 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//115 utsikter//NN|UTR|PLU|IND|NOM//conj//112 .//MAD//punct//47
Globalisering (2);Poängen//NN|UTR|SIN|DEF|NOM//nsubj//118 är//VB|PRS|AKT//cop//47 ,//MID//punct//118 att//SN//mark//122 globaliseringen//NN|UTR|SIN|DEF|NOM//nsubj//122 leder//VB|PRS|AKT//ccomp//118 till//PP//mark//129 att//SN//mark//129 de//DT|UTR/NEU|PLU|DEF//det//128 hårda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//128 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//128 spelreglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//129 generaliseras//VB|PRS|SFO//advcl//122 över//PP//case//132 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//132 världen//NN|UTR|SIN|DEF|NOM//obl//129 med//PP//case//134 följden//NN|UTR|SIN|DEF|NOM//obl//129 att//SN//mark//137 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//137 blir//VB|PRS|AKT//acl//134 omöjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//137 att//IE//mark//143 på//PP//case//142 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//142 bas//NN|UTR|SIN|IND|NOM//obl//143 föra//VB|INF|AKT//csubj//137 en//DT|UTR|SIN|IND//det//146 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//146 politik//NN|UTR|SIN|IND|NOM//obj//143 .//MAD//punct//118
Globalisering (2);Globaliseringen//NN|UTR|SIN|DEF|NOM//nsubj//1 bygger//VB|PRS|AKT//ROOT//1 dock//AB//advmod//1 på//PP//case//5 ett//DT|NEU|SIN|IND//det//5 samspel//NN|NEU|SIN|IND|NOM//obl//1 mellan//PP//case//7 processer//NN|UTR|PLU|IND|NOM//nmod//5 som//HP|-|-|-//nsubj//9 utspelat//VB|SUP|AKT//acl:relcl//7 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//9 på//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 arenorna//NN|UTR|PLU|DEF|NOM//obl//9 och//KN//cc//16 processer//NN|UTR|PLU|IND|NOM//conj//14 på//PP//case//20 den//DT|UTR|SIN|DEF//det//20 globala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 arenan//NN|UTR|SIN|DEF|NOM//nmod//16 .//MAD//punct//1
Globalisering (2);Trots//PP//mark//26 att//SN//mark//26 nationalstaterna//NN|UTR|PLU|DEF|NOM//nsubj//26 alltså//AB//advmod//26 förlorat//VB|SUP|AKT//advcl//42 en//DT|UTR|SIN|IND//det//28 del//NN|UTR|SIN|IND|NOM//obj//26 av//PP//case//32 den//DT|UTR|SIN|DEF//det//32 exklusiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 makten//NN|UTR|SIN|DEF|NOM//nmod//28 över//PP//case//35 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//35 territorier//NN|NEU|PLU|IND|NOM//nmod//32 (//PAD//punct//37 länder//NN|NEU|PLU|IND|NOM//appos//35 )//PAD//punct//37 till//PP//case//41 globala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 aktörer//NN|UTR|PLU|IND|NOM//nmod//35 framstår//VB|PRS|AKT//parataxis//1 de//DT|UTR/NEU|PLU|DEF//det//45 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 aktörerna//NN|UTR|PLU|DEF|NOM//nsubj//42 som//KN//mark//48 villiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 medspelare//NN|UTR|PLU|IND|NOM//xcomp//42 i//PP//case//50 byggandet//NN|NEU|SIN|DEF|NOM//nmod//48 av//PP//case//54 den//DT|UTR|SIN|DEF//det//54 globaliserade//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 ekonomin//NN|UTR|SIN|DEF|NOM//nmod//50 under//PP//case//56 1980-//RG|SMS//nmod//54 och//KN//cc//58 1990-talen//NN|NEU|PLU|DEF|NOM//conj//56 .//MAD//punct//42
Globalisering (2);Resultatet//NN|NEU|SIN|DEF|NOM//nsubj:pass//64 av//PP//case//63 denna//DT|UTR|SIN|DEF//det//63 förhandling//NN|UTR|SIN|IND|NOM//nmod//60 beskrivs//VB|PRS|SFO//parataxis//42 ofta//AB|POS//advmod//64 som//KN//case//67 privatisering//NN|UTR|SIN|IND|NOM//obl//64 och//KN//cc//69 avreglering//NN|UTR|SIN|IND|NOM//conj//67 av//PP//case//73 de//DT|UTR/NEU|PLU|DEF//det//73 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 institutionerna//NN|UTR|PLU|DEF|NOM//nmod//69 och//KN//cc//77 ett//DT|NEU|SIN|IND//det//77 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//77 mått//NN|NEU|SIN|IND|NOM//conj//67 av//PP//case//79 marknadskoordinering//NN|UTR|SIN|IND|NOM//nmod//77 .//MAD//punct//1
Globalisering (2);Ur//PP//case//2 dessa//DT|UTR/NEU|PLU|DEF//det//2 tankegångar//NN|UTR|PLU|IND|NOM//nmod//4 reses//VB|PRS|SFO//nmod:poss//4 frågan//NN|UTR|SIN|DEF|NOM//nsubj//20 om//PP//case//6 förhållandet//NN|NEU|SIN|DEF|NOM//nmod//4 mellan//PP//case//10 den//DT|UTR|SIN|DEF//det//10 globala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 ekonomin//NN|UTR|SIN|DEF|NOM//nmod//6 och//KN//cc//15 det//DT|NEU|SIN|DEF//det//15 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 handlingsutrymmet//NN|NEU|SIN|DEF|NOM//conj//10 .//MAD//punct//4
