Till statsrådet Maj-Inger Klingvall ;I//PP//case//1 januari//NN|UTR|SIN|IND|NOM//obl//3 1997//RG|NOM//nummod//1 beslutade//VB|PRT|AKT//ROOT//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//6 direktiv//NN|NEU|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//8 gav//VB|PRT|AKT//acl:relcl//6 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obj//8 i//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//8 att//IE//mark//15 utforma//VB|INF|AKT//advcl//8 förslag//NN|NEU|PLU|IND|NOM//obj//15 till//PP//case//20 ett//DT|NEU|SIN|IND//det//20 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//20 system//NN|NEU|SIN|IND|NOM//nmod//16 för//PP//case//23 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 ersättning//NN|UTR|SIN|IND|NOM//nmod//20 vid//PP//case//27 långvarigt//AB|POS//advmod//26 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//27 arbetsförmåga//NN|UTR|SIN|IND|NOM//obl//15 (//PAD//punct//3 dir//NN|AN//nmod//30 1997:9//RG|NOM//appos//3 )//PAD//punct//30 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//12 skall//VB|PRS|AKT//aux//12 efter//PP//case//11 ansökan//NN|UTR|SIN|IND|NOM//obl//12 beviljas//VB|INF|SFO//parataxis//6 personer//NN|UTR|PLU|IND|NOM//xcomp//12 som//HP|-|-|-//nsubj//15 har//VB|PRS|AKT//acl:relcl//13 långvarigt//AB|POS//advmod//17 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//18 arbetsförmåga//NN|UTR|SIN|IND|NOM//obj//15 av//PP//case//21 medicinska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 skäl//NN|NEU|PLU|IND|NOM//nmod//18 samt//KN//cc//26 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 och//KN//cc//25 varaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//23 funktionshinder//NN|NEU|PLU|IND|NOM//conj//12 som//HP|-|-|-//nsubj//28 förorsakar//VB|PRS|AKT//acl:relcl//26 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 svårigheter//NN|UTR|PLU|IND|NOM//obj//28 i//PP//case//32 livsföringen//NN|UTR|SIN|DEF|NOM//nmod//30 .//MAD//punct//12
Till statsrådet Maj-Inger Klingvall ;Habiliteringspenning//NN|UTR|SIN|IND|NOM//nsubj:pass//37 skall//VB|PRS|AKT//aux//37 kunna//VB|INF|AKT//aux//37 beviljas//VB|INF|SFO//conj//12 tidigast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//37 vid//PP//case//40 halvårsskiftet//NN|NEU|SIN|DEF|NOM//obl//37 under//PP//case//44 det//DT|NEU|SIN|DEF//det//43 år//NN|NEU|SIN|IND|NOM//fixed//41 personen//NN|UTR|SIN|DEF|NOM//nmod//40 fyller//VB|PRS|AKT//conj//12 19//RG|NOM//nummod//47 år//NN|NEU|PLU|IND|NOM//obj//45 och//KN//cc//54 som//KN//case//54 längst//AB|SUV//advmod//52 t.o.m.//AB|AN//advmod//52 29//RG|NOM//nummod//53 års//NN|NEU|PLU|IND|GEN//nmod:poss//54 ålder//NN|UTR|SIN|IND|NOM//conj//12 .//MAD//punct//12
Till statsrådet Maj-Inger Klingvall ;En//DT|UTR|SIN|IND//det//57 person//NN|UTR|SIN|IND|NOM//nsubj//62 som//HP|-|-|-//nsubj//59 har//VB|PRS|AKT//acl:relcl//57 habiliteringspenning//NN|UTR|SIN|IND|NOM//obj//59 skall//VB|PRS|AKT//aux//62 kunna//VB|INF|AKT//advcl//12 och//KN//cc//65 bör//VB|PRS|AKT//aux//65 utveckla//VB|INF|AKT//conj//12 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//67 möjligheter//NN|UTR|PLU|IND|NOM//obj//65 att//IE//mark//69 leva//VB|INF|AKT//acl//67 ett//DT|NEU|SIN|IND//det//74 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//74 och//KN//cc//73 självständigt//JJ|POS|NEU|SIN|IND|NOM//conj//71 liv//NN|NEU|SIN|IND|NOM//obj//69 och//KN//cc//77 att//IE//mark//77 ta//VB|INF|AKT//conj//69 del//NN|UTR|SIN|IND|NOM//obj//77 av//PP//case//80 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//78 .//MAD//punct//12
Till statsrådet Maj-Inger Klingvall ;Habiliteringspenningen//NN|UTR|SIN|DEF|NOM//nsubj//83 ger//VB|PRS|AKT//conj//12 en//DT|UTR|SIN|IND//det//85 plattform//NN|UTR|SIN|IND|NOM//obj//83 för//PP//case//89 så//AB//advmod//88 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//89 aktivitet//NN|UTR|SIN|IND|NOM//nmod//85 som//KN//mark//91 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//89 ,//MID//punct//105 och//KN//cc//105 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//95 tiden//NN|UTR|SIN|DEF|NOM//obl//105 med//PP//case//98 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//98 trygghet//NN|UTR|SIN|IND|NOM//nmod//95 som//KN//mark//100 grund//NN|UTR|SIN|IND|NOM//nmod//95 .//MAD//punct//95
Till statsrådet Maj-Inger Klingvall ;Individen//NN|UTR|SIN|DEF|NOM//nsubj//105 skall//VB|PRS|AKT//aux//105 själv//JJ|POS|UTR|SIN|IND|NOM//advmod//105 avgöra//VB|INF|AKT//conj//83 vilken//HD|UTR|SIN|IND//det//109 eller//KN//cc//109 vilka//HD|UTR/NEU|PLU|IND//det//109 aktiviteter//NN|UTR|PLU|IND|NOM//obj//105 som//HP|-|-|-//nsubj//111 blir//VB|PRS|AKT//acl:relcl//109 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//111 .//MAD//punct//12
Till statsrådet Maj-Inger Klingvall ;Också//AB//advmod//1 personer//NN|UTR|PLU|IND|NOM//nsubj:pass//17 som//HP|-|-|-//nsubj//7 till//PP//case//6 följd//NN|UTR|SIN|IND|NOM//fixed//3 av//PP//fixed//3 funktionshinder//NN|NEU|PLU|IND|NOM//obl//7 har//VB|PRS|AKT//aux//17 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//9 skolgång//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//14 förhållande//NN|NEU|SIN|IND|NOM//fixed//10 till//PP//fixed//10 normal//JJ|POS|UTR|SIN|IND|NOM//amod//14 studietakt//NN|UTR|SIN|IND|NOM//obl//7 skall//VB|PRS|AKT//aux//17 kunna//VB|INF|AKT//aux//17 beviljas//VB|INF|SFO//ROOT//17 habiliteringspenning//NN|UTR|SIN|IND|NOM//xcomp//17 .//MAD//punct//17
Till statsrådet Maj-Inger Klingvall ;Ersättningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 vid//PP//case//2 habiliteringspenning//NN|UTR|SIN|IND|NOM//nmod//0 föreslås//VB|PRS|SFO//ROOT//3 vara//VB|INF|AKT//cop//5 identisk//JJ|POS|UTR|SIN|IND|NOM//xcomp//3 med//PP//case//7 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//5 som//HP|-|-|-//nsubj//10 skall//VB|PRS|AKT//aux//10 gälla//VB|INF|AKT//acl:relcl//7 för//PP//case//15 den//DT|UTR|SIN|DEF//det//15 tidigare//AB|KOM//advmod//14 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//15 långtidssjukpenningen//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Även//AB//advmod//1 långtidssjukpenning//NN|UTR|SIN|IND|NOM//nsubj:pass//4 skall//VB|PRS|AKT//aux//4 kunna//VB|INF|AKT//aux//4 beviljas//VB|INF|SFO//ROOT//4 från//PP//case//6 halvårsskiftet//NN|NEU|SIN|DEF|NOM//obl//4 det//DT|NEU|SIN|DEF//det//8 år//NN|NEU|SIN|IND|NOM//nmod//9 personen//NN|UTR|SIN|DEF|NOM//nsubj//10 fyller//VB|PRS|AKT//advcl//4 19//RG|NOM//nummod//12 år//NN|NEU|PLU|IND|NOM//obj//10 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Förtidspension//NN|UTR|SIN|IND|NOM//nsubj:pass//17 skall//VB|PRS|AKT//aux//17 kunna//VB|INF|AKT//aux//17 beviljas//VB|INF|SFO//parataxis//4 tidigast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//17 vid//PP//case//22 30//RG|NOM//nummod//21 års//NN|NEU|PLU|IND|GEN//nmod:poss//22 ålder//NN|UTR|SIN|IND|NOM//obl//17 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Av//PP//case//2 bl.a.//AB|AN//advmod//2 tidsskäl//NN|NEU|PLU|IND|NOM//obl//5 har//VB|PRS|AKT//aux//5 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 avstått//VB|SUP|AKT//ROOT//5 från//PP//mark//8 att//IE//mark//8 lämna//VB|INF|AKT//advcl//5 förslag//NN|NEU|SIN|IND|NOM//obj//8 om//PP//case//12 ny//JJ|POS|UTR|SIN|IND|NOM//amod//12 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//9 .//MAD//punct//5
Till statsrådet Maj-Inger Klingvall ;Emellertid//AB//advmod//15 lämnas//VB|PRS|SFO//parataxis//5 ett//DT|NEU|SIN|IND//det//17 exempel//NN|NEU|SIN|IND|NOM//nsubj:pass//15 på//PP//case//19 utformning//NN|UTR|SIN|IND|NOM//nmod//17 av//PP//case//22 en//DT|UTR|SIN|IND//det//22 lagregel//NN|UTR|SIN|IND|NOM//nmod//19 med//PP//case//24 kriterier//NN|NEU|PLU|IND|NOM//nmod//22 för//PP//case//26 rätt//NN|UTR|SIN|IND|NOM//nmod//24 till//PP//case//28 habiliteringspenning//NN|UTR|SIN|IND|NOM//nmod//26 .//MAD//punct//5
Till statsrådet Maj-Inger Klingvall ;Generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//1 Anna//PM|NOM//nsubj//12 Hedborg//PM|NOM//flat:name//1 har//VB|PRS|AKT//flat:name//1 sedan//PP//advmod//3 den//DT|UTR|SIN|DEF//det//7 16//RG|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//nmod//12 år//NN|NEU|SIN|IND|NOM//nmod//9 1997//RG|NOM//nummod//7 varit//VB|SUP|AKT//cop//12 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//12 utredare//NN|UTR|SIN|IND|NOM//ROOT//12 i//PP//case//14 utredningen//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//12
Till statsrådet Maj-Inger Klingvall ;I//PP//case//2 den//DT|UTR|SIN|DEF//det//2 del//NN|UTR|SIN|IND|NOM//obl//11 av//PP//case//4 arbetet//NN|NEU|SIN|DEF|NOM//nmod//2 som//HP|-|-|-//nsubj//7 särskilt//AB//advmod//7 avser//VB|PRS|AKT//acl:relcl//2 ungdomar//NN|UTR|PLU|IND|NOM//obj//7 har//VB|PRS|AKT//aux//11 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//11 haft//VB|SUP|AKT//ROOT//11 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 sammansättning//NN|UTR|SIN|IND|NOM//obj//11 i//PP//advmod//11 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//14 ://MAD//punct//11
Till statsrådet Maj-Inger Klingvall ;Sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//3 i//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//ROOT//3 varit//VB|SUP|AKT//cop//7 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//7 Anders//PM|NOM//nmod//7 Blanck//PM|NOM//obj//3 ,//MID//punct//7 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//10 Karin//PM|NOM//conj//3 Frank//PM|NOM//flat:name//10 ,//MID//punct//10 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//14 Marianne//PM|NOM//appos//10 Jenryd//PM|NOM//flat:name//14 ,//MID//punct//14 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Inga-Britt//PM|NOM//conj//10 Lagerlöf//PM|NOM//flat:name//18 och//KN//cc//21 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//22 Anna//PM|NOM//conj//18 Westerholm//PM|NOM//flat:name//22 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Experter//NN|UTR|PLU|IND|NOM//nsubj//3 i//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//ROOT//4 utredaren//NN|UTR|SIN|DEF|NOM//nmod//6 Dan//PM|NOM//nsubj//4 Ljungberg//PM|NOM//flat:name//6 ,//MID//punct//6 utredaren//NN|UTR|SIN|DEF|NOM//nmod//10 Karin//PM|NOM//conj//6 Lund//PM|NOM//flat:name//10 och//KN//cc//13 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//14 Rolf//PM|NOM//conj//10 Westin//PM|NOM//flat:name//14 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//6 i//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//6 varit//VB|SUP|AKT//cop//6 försäkringskonsulten//NN|UTR|SIN|DEF|NOM//nmod//6 Bengt-Olle//PM|NOM//ROOT//6 Andersson//PM|NOM//flat:name//6 (//PAD//punct//6 t.o.m.//AB|AN//advmod//10 31//RG|NOM//nummod//11 maj//NN|UTR|SIN|IND|NOM//obl//6 1998//RG|NOM//nummod//11 )//PAD//punct//6 och//KN//cc//16 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//16 Tomas//PM|NOM//conj//6 Forenius//PM|NOM//flat:name//16 .//MAD//punct//16
Till statsrådet Maj-Inger Klingvall ;Avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//20 Mikael//PM|NOM//nsubj//23 Müller//PM|NOM//flat//20 har//VB|PRS|AKT//aux//23 tjänstgjort//VB|SUP|AKT//parataxis//16 som//KN//mark//25 huvudsekreterare//NN|UTR|SIN|IND|NOM//xcomp//23 .//MAD//punct//16
Till statsrådet Maj-Inger Klingvall ;Också//AB//advmod//28 utredaren//NN|UTR|SIN|DEF|NOM//nmod//29 Dan//PM|NOM//nsubj//32 Ljungberg//PM|NOM//flat:name//29 har//VB|PRS|AKT//aux//32 tjänstgjort//VB|SUP|AKT//parataxis//16 i//PP//case//34 sekretariatet//NN|NEU|SIN|DEF|NOM//obl//32 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;Förtidspensionsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//4 Unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//1 i//PP//case//6 ohälsoförsäkringen//NN|UTR|SIN|DEF|NOM//obl//1 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Tid//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//10 aktivitet//NN|UTR|SIN|IND|NOM//nmod//8 och//KN//cc//12 utveckling//NN|UTR|SIN|IND|NOM//conj//10 (//PAD//punct//8 SOU//PM|NOM//nmod//15 1998:106//RG|NOM//appos//8 )//PAD//punct//8 .//MAD//punct//22
Till statsrådet Maj-Inger Klingvall ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 arbete//NN|NEU|SIN|IND|NOM//nsubj//22 är//VB|PRS|AKT//aux:pass//22 härmed//AB//advmod//22 avslutat//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Stockholm//PM|NOM//ROOT//0 i//PP//case//3 augusti//NN|UTR|SIN|IND|NOM//nmod//3 1998//RG|NOM//obl//0
Till statsrådet Maj-Inger Klingvall ;Anna//PM|NOM//ROOT//0 Hedborg//PM|NOM//flat:name//0 ///MID//cc//3 Mikael//PM|NOM//conj//0 Müller//PM|NOM//flat//3
Till statsrådet Maj-Inger Klingvall ;Bengt-Olle//PM|NOM//ROOT//0 Andersson//PM|NOM//flat:name//0
Till statsrådet Maj-Inger Klingvall ;Tomas//PM|NOM//ROOT//0 Forenius//PM|NOM//flat:name//0
Till statsrådet Maj-Inger Klingvall ;Dan//PM|NOM//ROOT//0 Ljungberg//PM|NOM//flat:name//0


1.1 Uppdraget / Utformningen av ekonomisk ersättning vid långvarigt nedsatt arbetsförmåga;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 skall//VB|PRS|AKT//aux//4 Förtidspensionsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 utforma//VB|INF|AKT//ROOT//4 förslag//NN|NEU|PLU|IND|NOM//obj//4 till//PP//case//9 ett//DT|NEU|SIN|IND//det//9 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//9 system//NN|NEU|SIN|IND|NOM//nmod//5 för//PP//case//12 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//12 ersättning//NN|UTR|SIN|IND|NOM//nmod//9 vid//PP//case//16 långvarigt//AB|POS//advmod//15 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//16 arbetsförmåga//NN|UTR|SIN|IND|NOM//nmod//9 .//MID//punct//4
1.1 Uppdraget / Utformningen av ekonomisk ersättning vid långvarigt nedsatt arbetsförmåga;Detta//DT|NEU|SIN|DEF//det//20 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 system//NN|NEU|SIN|IND|NOM//nsubj//22 skall//VB|PRS|AKT//aux//22 ersätta//VB|INF|AKT//parataxis//4 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 system//NN|NEU|PLU|IND|NOM//obj//22 med//PP//case//26 förtidspension//NN|UTR|SIN|IND|NOM//nmod//24 och//KN//cc//28 sjukbidrag//NN|NEU|SIN|IND|NOM//conj//26 .//MID//punct//4
