
Sverige skall vara en pådrivande kraft och ett fö regångsland i strävan att skapa ett hållbart samhälle.;Ur//PP//case//2 regeringsfö//NN|UTR|SIN|IND|NOM//amod//2 rklaringen//NN|UTR|SIN|DEF|NOM//ROOT//2 den//DT|UTR|SIN|DEF//det//5 22//RG|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//2 1996//RG|NOM//nummod//5
Till Regeringen;Från//PP//case//1 Miljö//NN|UTR|SIN|IND|NOM//nmod//3 vårdsberedningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 kansli//NN|NEU|SIN|IND|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 deltagit//VB|SUP|AKT//ROOT//5 kanslichef//NN|UTR|SIN|IND|NOM//nmod//7 Lars-Erik//PM|NOM//obj//5 Liljelund//PM|NOM//flat:name//7 samt//KN//cc//10 sekreterarna//NN|UTR|PLU|DEF|NOM//conj//7 i//PP//case//12 utredningen//NN|UTR|SIN|DEF|NOM//nmod//14 expert//NN|UTR|SIN|IND|NOM//amod//14 Kristina//PM|NOM//nmod//10 Bovin//PM|NOM//flat//14 (//PAD//punct//7 fram//AB//advmod//19 till//PP//case//19 96-03-15//RG|NOM//obl//5 )//PAD//punct//5 och//KN//cc//23 därefter//AB//advmod//23 avdelningsdirektö//JJ|POS|NEU|SIN|IND|NOM//nmod//27 r//PM|NOM//nummod//26 Peter//PM|NOM//flat:name//24 Sö//PM|NOM//nmod//27 rngård//NN|UTR|SIN|IND|NOM//obl//5 ,//MID//punct//31 som//HP|-|-|-//mark//31 fö//NN|NEU|SIN|IND|NOM//amod//31 rordnades//VB|PRT|SFO//acl:relcl//27 som//KN//mark//34 expert//NN|UTR|SIN|IND|NOM//amod//34 96-01-08//RG|NOM//nmod//31 .//MID//punct//5
Till Regeringen;Peter//PM|NOM//nmod//38 Sö//PM|NOM//amod//38 rngård//NN|UTR|SIN|IND|NOM//nsubj//41 har//VB|PRS|AKT//aux//41 också//AB//advmod//41 skrivit//VB|SUP|AKT//conj//5 den//DT|UTR|SIN|DEF//det//44 praktiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 vägledningen//NN|UTR|SIN|DEF|NOM//obj//41 .//MAD//punct//41
Till Regeringen;Till//PP//case//1 arbetet//NN|NEU|SIN|DEF|NOM//obl//6 med//PP//case//3 vägledningen//NN|UTR|SIN|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//6 varit//VB|SUP|AKT//cop//6 knuten//PC|PRF|UTR|SIN|IND|NOM//ROOT//6 en//DT|UTR|SIN|IND//det//8 referensgrupp//NN|UTR|SIN|IND|NOM//nsubj//6 i//PP//case//13 vilken//HP|UTR|SIN|IND//det//12 med-verkat//PC|PRF|NEU|SIN|IND|NOM//amod//12 kansliråd//NN|NEU|SIN|IND|NOM//nmod//13 Johan//PM|NOM//nmod//8 Appelberg//PM|NOM//flat//13 ,//MID//punct//16 miljö//NN|UTR|SIN|IND|NOM//conj//13 chef//NN|UTR|SIN|IND|NOM//nmod//18 Gunnar//PM|NOM//conj//13 Granqvist//PM|NOM//flat:name//18 ,//MID//punct//18 departements-råd//NN|NEU|SIN|IND|NOM//nmod//22 Bengt//PM|NOM//conj//13 Nordström//PM|NOM//flat:name//22 ,//MID//punct//22 generaldirektö//NN|UTR|SIN|IND|NOM//conj//13 r//PM|NOM//nmod//27 Maria//PM|NOM//conj//13 Norrfalk//PM|NOM//flat:name//27 ,//MID//punct//27 revisionsdirektö//UO//amod//36 r//PM|NOM//obl//36 Lage//PM|NOM//flat:name//31 Olofsson//PM|NOM//flat:name//31 och//KN//cc//35 miljö//NN|UTR|SIN|IND|NOM//conj//33 revisor//NN|UTR|SIN|IND|NOM//conj//13 Marja//PM|NOM//nmod//36 Widell//PM|NOM//flat//37 .//MAD//punct//6
Till Regeringen;Miljö//NN|UTR|SIN|IND|NOM//nmod//1 vårdsberedningen//NN|UTR|SIN|DEF|NOM//ROOT//1 ö//PP//case//3 verlämnar//NN|UTR|PLU|IND|NOM//nmod//1 härmed//AB//advmod//6 sitt//PS|NEU|SIN|DEF//nmod:poss//6 betänkande//NN|NEU|SIN|IND|NOM//nmod//1 om//PP//case//8 integrering//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//11 miljö//NN|UTR|SIN|IND|NOM//nmod//11 arbete//NN|NEU|SIN|IND|NOM//nmod//8 inom//PP//case//14 statsfö//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//14 rvaltningen//NN|UTR|SIN|DEF|NOM//nmod//8 .//MAD//punct//1
Till Regeringen;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 ett//DT|NEU|SIN|IND//det//19 delbetänkande//NN|NEU|SIN|IND|NOM//parataxis//1 som//KN//case//21 svar//NN|NEU|SIN|IND|NOM//nmod//19 på//PP//case//26 det//DT|NEU|SIN|DEF//det//24 lö//NN|AN//nmod//26 pande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 uppdrag//NN|NEU|SIN|IND|NOM//nmod//21 beredningen//NN|UTR|SIN|DEF|NOM//nmod//26 har//VB|PRS|AKT//amod//19 enligt//PP//case//30 ovan//AB//advmod//28 .//MAD//punct//19
Till Regeringen;Stockholm//PM|NOM//ROOT//0 juni//NN|UTR|SIN|IND|NOM//obj//0 1996//RG|NOM//nummod//1
Till Regeringen;Jan//PM|NOM//ROOT//0 Bergqvist//PM|NOM//flat:name//0 /Lars-Erik//MID//advmod//0 Liljelund//PM|NOM//flat:name//0

Integrering av miljö hänsyn inom den statliga fö rvaltningen Utredningens huvudsakliga innehåll;I//PP//case//1 betänkandet//NN|NEU|SIN|DEF|NOM//obl//2 redovisar//VB|PRS|AKT//ROOT//2 Miljö//NN|UTR|SIN|IND|NOM//nsubj//2 vårdsberedningen//NN|UTR|SIN|DEF|NOM//nsubj//2 fö//RG|NOM//amod//6 rslag//NN|NEU|SIN|IND|NOM//obj//2 till//PP//case//8 åtgärder//NN|UTR|PLU|IND|NOM//obl//2 och//KN//cc//11 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//11 strategi//NN|UTR|SIN|IND|NOM//conj//8 fö//UO//case//13 r//UO//obl//2 att//IE//mark//15 integrera//VB|INF|AKT//xcomp//2 miljö//NN|UTR|SIN|IND|NOM//obj//15 hänsyn//NN|UTR|SIN|IND|NOM//obj//15 inom//PP//case//19 regeringskansliet//NN|NEU|SIN|DEF|NOM//obl//15 och//KN//cc//21 statsfö//NN|UTR|SIN|IND|NOM//conj//19 rvalt-ningen//NN|UTR|SIN|DEF|NOM//obj//2 till//PP//mark//25 att//IE//mark//25 bli//VB|INF|AKT//acl//22 en//DT|UTR|SIN|IND//det//28 naturlig//JJ|POS|UTR|SIN|IND|NOM//amod//28 del//NN|UTR|SIN|IND|NOM//xcomp//25 av//PP//case//31 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 verksamhet//NN|UTR|SIN|IND|NOM//nmod//28 .//MAD//punct//2
Integrering av miljö hänsyn inom den statliga fö rvaltningen Utredningens huvudsakliga innehåll;Staten//NN|UTR|SIN|DEF|NOM//nsubj//37 och//KN//cc//36 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//36 myndig-heter//NN|NEU|PLU|IND|NOM//conj//33 har//VB|PRS|AKT//parataxis//2 stor//JJ|POS|UTR|SIN|IND|NOM//amod//39 betydelse//NN|UTR|SIN|IND|NOM//obj//37 fö//NN|NEU|SIN|IND|NOM//nmod//41 r//UO//obl//37 att//IE//mark//43 driva//VB|INF|AKT//acl//41 på//PL//case//45 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//43 på//PP//case//47 miljö//NN|UTR|SIN|IND|NOM//nmod//45 området//NN|NEU|SIN|DEF|NOM//obj//43 och//KN//cc//51 fö//UO//nmod//51 r//UO//conj//37 samhällssektorernas//NN|UTR|PLU|DEF|GEN//nmod:poss//53 miljö//NN|UTR|SIN|IND|NOM//nmod//54 arbete//NN|NEU|SIN|IND|NOM//dep//51 .//MAD//punct//2
Integrering av miljö hänsyn inom den statliga fö rvaltningen Utredningens huvudsakliga innehåll;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 lämnar//VB|PRS|AKT//ROOT//1 i//PP//case//3 betänkandet//NN|NEU|SIN|DEF|NOM//obl//1 fö//RG|NOM//amod//5 rslag//NN|NEU|SIN|IND|NOM//obj//1 till//PP//mark//9 hur//HA//advmod//9 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//9 bö//VB|PRT|AKT//advcl//1 r//UO//nummod//11 tydliggö//UO//nmod//12 ra//NN|UTR|SIN|IND|NOM//obj//9 och//KN//cc//14 konkreti-sera//VB|INF|AKT//conj//12 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//16 miljö//NN|UTR|SIN|IND|NOM//conj//12 arbete//NN|NEU|SIN|IND|NOM//conj//12 och//KN//cc//24 hur//HA//advmod//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 bö//UO//nsubj:pass//24 r//UO//nummod//23 fö//UO//nsubj:pass//24 ljas//VB|INF|SFO//conj//9 upp//PL//compound:prt//24 samt//KN//cc//31 hur//HA//advmod//31 myndig-heterna//NN|UTR|PLU|DEF|NOM//nsubj//31 konkret//AB|POS//advmod//31 måste//VB|PRS|AKT//aux//31 gå//VB|INF|AKT//conj//1 till//PP//compound:prt//31 väga//NN|UTR|-|-|-//advmod//31 fö//NN|NEU|SIN|IND|NOM//amod//35 r//UO//obj//31 att//IE//mark//37 inordna//VB|INF|AKT//xcomp//31 miljö//NN|UTR|SIN|IND|NOM//obj//37 arbetet//NN|NEU|SIN|DEF|NOM//obj//37 sin//PS|UTR|SIN|DEF//nmod:poss//41 verksamhet//NN|UTR|SIN|IND|NOM//obj//37 .//MAD//punct//1
Integrering av miljö hänsyn inom den statliga fö rvaltningen Utredningens huvudsakliga innehåll;Vi//PN|UTR|PLU|DEF|SUB//nsubj//48 fö//NN|AN//amod//45 reslår//NN|UTR|SIN|DEF|NOM//nmod//43 också//AB//advmod//43 en//DT|UTR|SIN|IND//det//48 strategi//NN|UTR|SIN|IND|NOM//parataxis//1 fö//UO//nmod//50 r//UO//nmod//48 hur//HA//advmod//54 regeringskansliet//NN|NEU|SIN|DEF|NOM//nsubj//54 ska//VB|PRS|AKT//aux//54 få//VB|INF|AKT//acl:relcl//48 denna//DT|UTR|SIN|DEF//det//56 process//NN|UTR|SIN|IND|NOM//obj//54 att//IE//mark//58 fortgå//VB|INF|AKT//advcl//54 även//AB//advmod//60 framdeles//VB|INF|SFO//advmod//58 .//MID//punct//48
Integrering av miljö hänsyn inom den statliga fö rvaltningen Utredningens huvudsakliga innehåll;Fö//VB|IMP|AKT//dep//64 rslagen//NN|UTR|SIN|DEF|NOM//nsubj//64 innebär//VB|PRS|AKT//conj//1 också//AB//advmod//64 att//SN//mark//70 staten//NN|UTR|SIN|DEF|NOM//nsubj//70 aktivt//AB|POS//advmod//70 ska//VB|PRS|AKT//aux//70 arbeta//VB|INF|AKT//ccomp//64 fö//NN|NEU|SIN|IND|NOM//nmod//72 r//UO//obj//70 att//IE//mark//74 skapa//VB|INF|AKT//acl//72 en//DT|UTR|SIN|IND//det//76 marknad//NN|UTR|SIN|IND|NOM//obj//74 fö//UO//advmod//78 r//UO//nummod//79 miljö//NN|UTR|SIN|IND|NOM//nmod//76 anpassade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//1 produkter//NN|UTR|PLU|IND|NOM//obj//80 genom//PP//mark//84 att//IE//mark//84 stärka//VB|INF|AKT//advcl//80 en//DT|UTR|SIN|IND//det//86 miljö//NN|UTR|SIN|IND|NOM//obj//84 -//MID//punct//1 anpassad//PC|PRF|UTR|SIN|IND|NOM//amod//90 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//90 upphandling//NN|UTR|SIN|IND|NOM//parataxis//1 .//MAD//punct//1
Integrering av miljö hänsyn inom den statliga fö rvaltningen Utredningens huvudsakliga innehåll;En//DT|UTR|SIN|IND//det//93 sådan//JJ|POS|UTR|SIN|IND|NOM//nsubj//94 får//VB|PRS|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//98 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//98 pådrivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//98 effekt//NN|UTR|SIN|IND|NOM//obj//94 på//PP//case//100 industrin//NN|UTR|SIN|DEF|NOM//obl//94 .//MAD//punct//1

Inledning (1);Miljö//NN|UTR|SIN|IND|NOM//amod//1 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//4 framgångsrikt//AB|POS//ROOT//4 på//PP//case//7 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 områden//NN|NEU|PLU|IND|NOM//obl//4 ,//MID//punct//7 stö//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 rre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//11 punktutsläpp//NN|NEU|PLU|IND|NOM//conj//7 har//VB|PRS|AKT//aux//13 åtgärdats//VB|SUP|SFO//conj//4 och//KN//cc//15 miljö//NN|UTR|SIN|IND|NOM//conj//13 situationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 har//VB|PRS|AKT//aux//19 fö//NN|NEU|SIN|IND|NOM//advmod//19 rbättrats//VB|SUP|SFO//conj//13 på//PP//case//22 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 håll//NN|NEU|PLU|IND|NOM//obl//19 i//PP//case//24 Sverige//PM|NOM//nmod//22 .//MAD//punct//4
Inledning (1);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//27 åter-står//VB|PRS|AKT//conj//4 ändå//AB//advmod//27 mycket//AB|POS//advmod//27 att//IE//mark//32 gö//VB|INF|AKT//nsubj//32 ra//UO//advcl//27 fö//UO//amod//34 r//UO//obj//32 att//IE//mark//36 minska//VB|INF|AKT//acl//32 belastningen//NN|UTR|SIN|DEF|NOM//obj//36 på//PP//case//39 miljö//NN|UTR|SIN|IND|NOM//obl//36 n//NN|NEU|SIN|IND|NOM//obl//36 till//PP//case//42 nivåer//NN|UTR|PLU|IND|NOM//obl//36 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//cop//46 långsiktigt//AB|POS//advmod//46 hållbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//42 .//MAD//punct//27
Inledning (1);Miljö//NN|UTR|SIN|IND|NOM//nmod//1 problemen//NN|NEU|PLU|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 ändrat//VB|SUP|AKT//ROOT//3 karaktär//NN|UTR|SIN|IND|NOM//obj//3 .//MAD//punct//3
Inledning (1);Från//PP//case//8 bö//NN|AN//amod//8 rjan//NN|UTR|SIN|DEF|NOM//obl//12 var//VB|PRT|AKT//cop//12 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//12 främst//AB|SUV//advmod//12 orsakade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//3 av//PP//case//16 stö//NN|NEU|PLU|IND|NOM//amod//16 rre//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 punktkällor//NN|UTR|PLU|IND|NOM//obl//12 .//MID//punct//12
Inledning (1);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 var//VB|PRT|AKT//cop//21 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 problem//NN|NEU|PLU|IND|NOM//parataxis//12 som//HP|-|-|-//nsubj:pass//24 kunde//VB|PRT|AKT//aux//24 åtgärdas//VB|INF|SFO//acl:relcl//21 med//PP//case//26 krav//NN|NEU|PLU|IND|NOM//obl//24 på//PP//case//28 reningsutrustning//NN|UTR|SIN|IND|NOM//nmod//26 och//KN//cc//30 processändringar//NN|UTR|PLU|IND|NOM//conj//28 .//MAD//punct//21
Inledning (1);Nu//AB//advmod//34 är//VB|PRS|AKT//cop//34 källorna//NN|UTR|PLU|DEF|NOM//nsubj//45 till//PP//case//36 utsläppen//NN|NEU|PLU|DEF|NOM//nmod//34 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//34 och//KN//cc//39 mindre//AB|KOM//conj//37 ,//MID//punct//34 och//KN//cc//42 produkter//NN|UTR|PLU|IND|NOM//conj//34 och//KN//cc//44 varor//NN|UTR|PLU|IND|NOM//conj//34 utgö//VB|SUP|AKT//parataxis//21 r//NN|NEU|SIN|IND|NOM//obj//45 allt//AB//advmod//48 mer//AB|KOM//advmod//49 betydelsefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 källor//NN|UTR|PLU|IND|NOM//obj//45 till//PP//case//52 sprid-ning//NN|UTR|SIN|IND|NOM//nmod//50 av//PP//case//56 fö//JJ|AN//amod//56 rorenande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 ämnen//NN|NEU|PLU|IND|NOM//nmod//52 .//MAD//punct//21
Inledning (1);Orsakerna//NN|UTR|PLU|DEF|NOM//nsubj//8 till//PP//case//2 miljö//NN|UTR|SIN|IND|NOM//nmod//0 problemen//NN|NEU|PLU|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//8 i//PP//case//7 stor//JJ|POS|UTR|SIN|IND|NOM//amod//7 utsträckning//NN|UTR|SIN|IND|NOM//obl//8 invävda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//8 i//PP//case//10 samhällsstruktu-ren//NN|UTR|SIN|IND|NOM//obl//8 ,//MID//punct//8 vilket//HP|NEU|SIN|IND//nsubj//13 ställer//VB|PRS|AKT//conj//8 krav//NN|NEU|PLU|IND|NOM//obj//13 på//PP//case//17 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 åtgärdsstrategier//NN|UTR|PLU|IND|NOM//obl//13 och//KN//cc//19 styrmedel//NN|NEU|PLU|IND|NOM//conj//17 .//MAD//punct//8
