2.2 Behovet av nya regler för beskattning av handels- och ;3.1//RG|NOM//dislocated//13 Huvuddragen//NN|NEU|PLU|DEF|NOM//obj//0 i//PP//case//4 ett//DT|NEU|SIN|IND//det//4 system//NN|NEU|SIN|IND|NOM//obl//0 för//PP//case//6 beskattningen//NN|UTR|SIN|DEF|NOM//nmod//4 av//PP//case//8 3.2//RG|NOM//nmod//6 Vad//HP|NEU|SIN|IND//obl//13 är//VB|PRS|AKT//cop//13 den//DT|UTR|SIN|DEF//det//13 materiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 innebörden//NN|UTR|SIN|DEF|NOM//ROOT//13 av//PP//case//18 att//SN//mark//18 handelsbolaget//NN|NEU|SIN|DEF|NOM//nmod//18 7.2//RG|NOM//amod//18 Beskattningen//NN|UTR|SIN|DEF|NOM//nmod//13 av//PP//case//20 kommanditbolag//NN|NEU|PLU|IND|NOM//nmod//18 och//KN//cc//22 delägare//NN|UTR|PLU|IND|NOM//conj//20 i//PP//case//25 15.1//RG|NOM//nummod//25 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//18 till//PP//case//27 lagen//NN|UTR|SIN|DEF|NOM//nmod//18 om//PP//case//29 ändring//NN|UTR|SIN|IND|NOM//nmod//18 i//PP//case//31 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//nmod//32 15.2//RG|NOM//nummod//33 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//29 till//PP//case//35 lagen//NN|UTR|SIN|DEF|NOM//nmod//29 om//PP//case//37 ändring//NN|UTR|SIN|IND|NOM//nmod//35 i//PP//case//41 kupongskattelagen//NN|UTR|SIN|DEF|NOM//nmod//40 15.3//RG|NOM//nummod//41 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//37 till//PP//case//43 lagen//NN|UTR|SIN|DEF|NOM//nmod//37 om//PP//case//45 ändring//NN|UTR|SIN|IND|NOM//nmod//43 i//PP//case//47 lagen//NN|UTR|SIN|DEF|NOM//nmod//45 (//PAD//punct//49 1980:1102//RG|NOM//nmod//29 )//PAD//punct//49 om//PP//case//53 15.4//RG|NOM//nummod//53 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//29 till//PP//case//55 lagen//NN|UTR|SIN|DEF|NOM//nmod//53 om//PP//case//57 ändring//NN|UTR|SIN|IND|NOM//nmod//55 i//PP//case//59 taxeringslagen//NN|UTR|SIN|DEF|NOM//nmod//57 15.5//RG|NOM//nummod//61 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//57 till//PP//case//63 lagen//NN|UTR|SIN|DEF|NOM//nmod//61 om//PP//case//65 ändring//NN|UTR|SIN|IND|NOM//nmod//63 i//PP//case//67 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//nmod//65 15.6//RG|NOM//nummod//69 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//65 till//PP//case//71 lagen//NN|UTR|SIN|DEF|NOM//nmod//69 om//PP//case//73 ändring//NN|UTR|SIN|IND|NOM//nmod//71 i//PP//case//77 årsredovisningslagen//NN|UTR|SIN|DEF|NOM//nmod//76 15.7//RG|NOM//nmod//77 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//73 till//PP//case//79 lagen//NN|UTR|SIN|DEF|NOM//nmod//73 om//PP//case//81 ändring//NN|UTR|SIN|IND|NOM//nmod//79 i//PP//case//83 skattebetalningslagen//NN|UTR|SIN|DEF|NOM//nmod//81 15.8//RG|NOM//nummod//85 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//81 till//PP//case//87 lagen//NN|UTR|SIN|DEF|NOM//nmod//85 om//PP//case//89 ändring//NN|UTR|SIN|IND|NOM//nmod//87 i//PP//case//91 lagen//NN|UTR|SIN|DEF|NOM//nmod//89 (//PAD//punct//93 1998:674//RG|NOM//nmod//89 )//PAD//punct//93 om//PP//case//97 15.9//RG|NOM//nmod//97 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//89 till//PP//case//99 lagen//NN|UTR|SIN|DEF|NOM//nmod//97 om//PP//case//101 ändring//NN|UTR|SIN|IND|NOM//nmod//99 i//PP//case//103 bokföringslagen//NN|UTR|SIN|DEF|NOM//nmod//101
2.2 Behovet av nya regler för beskattning av handels- och  / Särskilda yttranden Särskilt yttrande av Urban Rydin (expert);Det//DT|NEU|SIN|DEF//det//98 faktum//NN|NEU|SIN|IND|NOM//nsubj//110 att//SN//mark//101 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//101 valt//VB|SUP|AKT//acl//98 att//IE//mark//103 frångå//VB|INF|AKT//advcl//101 hittillsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//105 enkelbeskattning//NN|UTR|SIN|IND|NOM//obj//103 vid//PP//case//107 avyttring//NN|UTR|SIN|IND|NOM//obl//103 av//PP//case//109 näringsfastigheter//NN|UTR|PLU|IND|NOM//nmod//107 utgör//VB|PRS|AKT//parataxis//42 dock//AB//advmod//110 en//DT|UTR|SIN|IND//det//115 så//AB//advmod//114 stor//JJ|POS|UTR|SIN|IND|NOM//amod//115 försämring//NN|UTR|SIN|IND|NOM//obj//110 för//PP//case//118 Sveriges//PM|GEN//nmod:poss//118 näringsliv//NN|NEU|SIN|IND|NOM//nmod//115 att//SN//mark//123 jag//PN|UTR|SIN|DEF|SUB//nsubj//123 inte//AB//advmod//123 kan//VB|PRS|AKT//aux//123 ställa//VB|INF|AKT//acl//115 mig//PN|UTR|SIN|DEF|OBJ//obj//123 bakom//PP//case//128 de//DT|UTR/NEU|PLU|DEF//det//128 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//128 reglerna//NN|UTR|PLU|DEF|NOM//obl//123 för//PP//case//130 beskattning//NN|UTR|SIN|IND|NOM//nmod//128 av//PP//case//132 handelsbolag//NN|NEU|PLU|IND|NOM//nmod//130 .//MAD//punct//42

2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//6 avyttringar//NN|UTR|PLU|IND|NOM//nsubj//6 av//PP//case//5 fastigheter//NN|UTR|PLU|IND|NOM//nmod//3 ägda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 av//PP//case//8 handelsbolag//NN|NEU|PLU|IND|NOM//obl//6 bör//VB|PRS|AKT//aux//10 beskattas//VB|INF|SFO//conj//1 på//PP//case//13 samma//DT|UTR/NEU|SIN/PLU|IND//det//13 sätt//NN|NEU|SIN|IND|NOM//obl//10 som//KN//case//16 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//16 försäljningar//NN|UTR|PLU|IND|NOM//nmod//13 enligt//PP//case//19 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 regelsystem//NN|NEU|SIN|IND|NOM//nmod//16 beskattas//VB|PRS|SFO//acl//13 i//PP//case//23 bl.a.//AB|AN//advmod//23 aktiebolag//NN|NEU|PLU|IND|NOM//obl//20 .//MID//punct//1
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Jag//PN|UTR|SIN|DEF|SUB//nsubj//26 delar//VB|PRS|AKT//parataxis//1 inte//AB//advmod//26 denna//DT|UTR|SIN|DEF//det//29 uppfattning//NN|UTR|SIN|IND|NOM//obj//26 .//MAD//punct//26
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Mot//PP//case//1 bakgrund//NN|UTR|SIN|IND|NOM//ROOT//1 av//PP//mark//5 att//SN//mark//5 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 motiverar//VB|PRS|AKT//acl//1 sitt//PS|NEU|SIN|DEF//nmod:poss//7 förslag//NN|NEU|SIN|IND|NOM//obj//5 med//PP//case//9 likformighet//NN|UTR|SIN|IND|NOM//nmod//7 med//PP//case//11 aktiebolag//NN|NEU|PLU|IND|NOM//nmod//9 och//KN//cc//14 en//DT|UTR|SIN|IND//det//14 uppfattning//NN|UTR|SIN|IND|NOM//conj//11 att//SN//mark//26 beskattningen//NN|UTR|SIN|DEF|NOM//nsubj//23 av//PP//case//18 fastighetsförsäljningar//NN|UTR|PLU|IND|NOM//nmod//16 i//PP//case//21 denna//DT|UTR|SIN|DEF//det//21 företagsform//NN|UTR|SIN|IND|NOM//nmod//18 är//VB|PRS|AKT//cop//23 korrekt//JJ|POS|UTR|SIN|IND|NOM//advmod//26 är//VB|PRS|AKT//cop//26 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//26 motiverat//PC|PRF|NEU|SIN|IND|NOM//acl//14 att//IE//mark//29 kortfattat//AB//advmod//29 diskutera//VB|INF|AKT//csubj//26 den//DT|UTR|SIN|DEF//det//32 principiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 frågan//NN|UTR|SIN|DEF|NOM//obj//29 om//PP//case//35 riktig//JJ|POS|UTR|SIN|IND|NOM//amod//35 beskattning//NN|UTR|SIN|IND|NOM//nmod//32 vid//PP//case//38 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//38 avyttringar//NN|UTR|PLU|IND|NOM//nmod//35 .//MAD//punct//1
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 är//VB|PRS|AKT//cop//3 därvidlag//AB//advmod//3 relevant//JJ|POS|NEU|SIN|IND|NOM//ROOT//3 att//IE//mark//5 koncentrera//VB|INF|AKT//csubj//3 diskussionen//NN|UTR|SIN|DEF|NOM//obj//5 på//PP//case//9 fåmansföretagens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 regler//NN|UTR|PLU|IND|NOM//obl//5 .//MAD//punct//3
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Den//DT|UTR|SIN|DEF//det//13 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 frågan//NN|UTR|SIN|DEF|NOM//nsubj//14 är//VB|PRS|AKT//parataxis//3 då//AB//advmod//14 om//SN//case//17 vinsten//NN|UTR|SIN|DEF|NOM//obl//14 vid//PP//case//20 en//DT|UTR|SIN|IND//det//20 avyttring//NN|UTR|SIN|IND|NOM//nmod//17 utgör//VB|PRS|AKT//conj//14 arbetsinkomst//NN|UTR|SIN|IND|NOM//obj//21 eller//KN//cc//24 kapitalinkomst//NN|UTR|SIN|IND|NOM//conj//22 .//MAD//punct//3
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;En//DT|UTR|SIN|IND//det//27 kapitalinkomst//NN|UTR|SIN|IND|NOM//nsubj//28 utgör//VB|PRS|AKT//parataxis//3 en//DT|UTR|SIN|IND//det//30 inkomst//NN|UTR|SIN|IND|NOM//obj//28 som//HP|-|-|-//nsubj:pass//32 uppkommit//VB|SUP|AKT//acl:relcl//30 utan//PP//case//34 inslag//NN|NEU|PLU|IND|NOM//obl//32 av//PP//case//37 ägarens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 arbetsinsatser//NN|UTR|PLU|IND|NOM//nmod//34 .//MAD//punct//3
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Arbetsinkomsten//NN|UTR|SIN|DEF|NOM//nsubj:pass//42 har//VB|PRS|AKT//aux//42 däremot//AB//advmod//42 uppkommit//VB|SUP|AKT//parataxis//3 genom//PP//case//45 ägarens//NN|UTR|SIN|DEF|GEN//nmod:poss//45 arbete//NN|NEU|SIN|IND|NOM//obl//42 och//KN//cc//47 utgör//VB|PRS|AKT//conj//42 därför//AB//advmod//47 avkastningen//NN|UTR|SIN|DEF|NOM//obj//47 på//PP//case//52 en//DT|UTR|SIN|IND//det//52 arbetsinsats//NN|UTR|SIN|IND|NOM//obl//47 .//MAD//punct//42
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;I//PP//advmod//60 samband//NN|NEU|SIN|IND|NOM//fixed//54 med//PP//case//59 1990//RG|NOM//nummod//58 års//NN|NEU|SIN|IND|GEN//nmod:poss//59 skattereform//NN|UTR|SIN|IND|NOM//fixed//54 särskildes//VB|PRT|SFO//conj//42 beskattningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//60 mellan//PP//case//65 de//DT|UTR/NEU|PLU|DEF//det//65 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 inkomstkategorierna//NN|UTR|PLU|DEF|NOM//obl:agent//60 .//MAD//punct//3
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;Fastigheter//NN|UTR|PLU|IND|NOM//nsubj:pass//5 i//PP//case//2 aktiebolag//NN|NEU|PLU|IND|NOM//nmod//0 kan//VB|PRS|AKT//aux//5 grovt//AB|POS//advmod//5 indelas//VB|INF|SFO//ROOT//5 i//PP//case//8 två//RG|NOM//nummod//8 kategorier//NN|UTR|PLU|IND|NOM//obl//5 ,//MID//punct//8 den//DT|UTR|SIN|DEF//det//11 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//12 avser//VB|PRS|AKT//acl:relcl//8 fastigheter//NN|UTR|PLU|IND|NOM//obj//12 som//HP|-|-|-//nsubj//15 utgör//VB|PRS|AKT//acl:relcl//13 en//DT|UTR|SIN|IND//det//18 integrerad//PC|PRF|UTR|SIN|IND|NOM//amod//18 del//NN|UTR|SIN|IND|NOM//obj//15 av//PP//case//21 en//DT|UTR|SIN|IND//det//21 näringsverksamhet//NN|UTR|SIN|IND|NOM//nmod//18 och//KN//cc//25 den//DT|UTR|SIN|DEF//det//24 andra//RO|NOM//nsubj//25 avser//VB|PRS|AKT//conj//15 fall//NN|NEU|PLU|IND|NOM//obj//25 där//HA//advmod//29 fastighetsinnehavet//NN|NEU|SIN|DEF|NOM//nsubj//29 utgör//VB|PRS|AKT//advcl//25 en//DT|UTR|SIN|IND//det//31 form//NN|UTR|SIN|IND|NOM//obj//29 av//PP//case//33 förmögenhetsförvaltning//NN|UTR|SIN|IND|NOM//nmod//31 .//MAD//punct//5
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;För//PP//case//2 förstnämnda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 kategori//NN|UTR|SIN|IND|NOM//nsubj:pass//4 kan//VB|PRS|AKT//aux//4 konstateras//VB|INF|SFO//ROOT//4 att//SN//mark//10 den//DT|UTR|SIN|DEF//det//8 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 inkomsten//NN|UTR|SIN|DEF|NOM//nsubj//10 helt//AB|POS//advmod//10 klart//AB|POS//advcl//14 till//PP//case//13 viss//JJ|POS|UTR|SIN|IND|NOM//amod//13 del//NN|UTR|SIN|IND|NOM//obl//10 utgör//VB|PRS|AKT//advcl//4 arbetsinkomst//NN|UTR|SIN|IND|NOM//obj//14 och//KN//cc//20 till//PP//case//20 viss//JJ|POS|UTR|SIN|IND|NOM//amod//19 del//NN|UTR|SIN|IND|NOM//nmod//20 kapitalinkomst//NN|UTR|SIN|IND|NOM//conj//15 .//MAD//punct//4
2.2 Behovet av nya regler för beskattning av handels- och  / Kapitalvinstbeskattning av näringsfastigheter;En//DT|UTR|SIN|IND//det//23 avyttring//NN|UTR|SIN|IND|NOM//nsubj//28 av//PP//case//27 en//DT|UTR|SIN|IND//det//27 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//27 fastighet//NN|UTR|SIN|IND|NOM//nmod//23 utgör//VB|PRS|AKT//parataxis//4 dock//AB//advmod//28 en//DT|UTR|SIN|IND//det//31 extraordinär//JJ|POS|UTR|SIN|IND|NOM//amod//35 och//KN//cc//33 oregelbundet//AB|POS//conj//31 inträffad//PC|PRF|UTR|SIN|IND|NOM//amod//35 händelse//NN|UTR|SIN|IND|NOM//obj//28 .//MID//punct//4
