6 Svenska exportkontrollorganisationen ;Den//DT|UTR|SIN|DEF//det//2 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//5 för//PP//case//4 exportkontroll//NN|UTR|SIN|IND|NOM//nmod//2 fungerar//VB|PRS|AKT//ROOT//5 i//PP//case//8 allt//DT|NEU|SIN|IND/DEF//advmod//8 väsentligt//JJ|POS|NEU|SIN|IND|NOM//advmod//9 väl//AB|POS//advmod//5 .//MAD//punct//5
6 Svenska exportkontrollorganisationen ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//23 har//VB|PRS|AKT//aux//23 intervjuat//VB|SUP|AKT//parataxis//8 ledamöterna//NN|UTR|PLU|DEF|NOM//obj//23 i//PP//case//26 EKR//PM|NOM//nmod//24 .//MAD//punct//23
6 Svenska exportkontrollorganisationen ;Samtal//NN|NEU|SIN|IND|NOM//nsubj:pass//31 har//VB|PRS|AKT//aux//31 också//AB//advmod//31 förts//VB|SUP|SFO//parataxis//23 med//PP//case//33 tjänstemän//NN|UTR|PLU|IND|NOM//obl//31 vid//PP//case//35 UD//PM|NOM//nmod//33 och//KN//cc//37 ISP//NN|AN//conj//35 samt//KN//cc//40 med//PP//case//40 ISP//PM|NOM//conj//33 ://MID//punct//40 s//PM|NOM//nummod//44 förre//JJ|POS|MAS|SIN|DEF|NOM//amod//44 chef//NN|UTR|SIN|IND|NOM//appos//40 .//MAD//punct//44
6 Svenska exportkontrollorganisationen ;Försvarsdepartementets//PM|GEN//nmod:poss//47 sakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nsubj//52 i//PP//case//49 EKR//PM|NOM//nmod//47 är//VB|PRS|AKT//cop//52 också//AB//advmod//52 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//appos//44 i//PP//case//54 utredningen//NN|UTR|SIN|DEF|NOM//nmod//52 och//KN//cc//58 har//VB|PRS|AKT//aux//58 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//58 lämnat//VB|SUP|AKT//conj//44 synpunkter//NN|UTR|PLU|IND|NOM//obj//58 .//MAD//punct//23
6 Svenska exportkontrollorganisationen ;Som//KN//mark//2 ett//DT|NEU|SIN|IND//det//2 komplement//NN|NEU|SIN|IND|NOM//obl//7 till//PP//case//4 samtalen//NN|NEU|PLU|DEF|NOM//nmod//2 har//VB|PRS|AKT//aux//7 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//7 genomfört//VB|SUP|AKT//ROOT//7 en//DT|UTR|SIN|IND//det//9 enkätundersökning//NN|UTR|SIN|IND|NOM//obj//7 bland//PP//case//11 chefer//NN|UTR|PLU|IND|NOM//nmod//9 och//KN//cc//13 handläggare//NN|UTR|PLU|IND|NOM//conj//9 på//PP//case//15 ISP//NN|AN//nmod//13 respektive//AB//cc//17 UD//PM|NOM//obl//7 ://MID//punct//17 s//NN|NEU|SIN|IND|GEN//amod//20 enhet//NN|UTR|SIN|IND|NOM//appos//17 för//PP//case//23 strategisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 exportkontroll//NN|UTR|SIN|IND|NOM//nmod//20 (//PAD//punct//20 UD-ESEK//PM|NOM//conj//20 )//PAD//punct//20 .//MAD//punct//31
6 Svenska exportkontrollorganisationen ;Organisationsfrågor//NN|UTR|PLU|IND|NOM//nsubj:pass//31 har//VB|PRS|AKT//aux//31 också//AB//advmod//31 berörts//VB|SUP|SFO//parataxis//7 i//PP//case//33 konsultationer//NN|UTR|PLU|IND|NOM//obl//31 med//PP//case//35 försvarsindustrin//NN|UTR|SIN|DEF|NOM//nmod//33 och//KN//cc//37 civilsamhället//NN|NEU|SIN|DEF|NOM//conj//35 .//MAD//punct//31
6 Svenska exportkontrollorganisationen ;För//PP//mark//41 att//IE//mark//41 få//VB|INF|AKT//advcl//53 perspektiv//NN|NEU|SIN|IND|NOM//obj//41 på//PP//case//46 den//DT|UTR|SIN|DEF//det//46 myndighetsbaserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//46 organisationsmodell//NN|UTR|SIN|IND|NOM//obl//41 som//HP|-|-|-//nsubj//48 finns//VB|PRS|SFO//acl:relcl//46 i//PP//case//50 Sverige//PM|NOM//obl//48 har//VB|PRS|AKT//aux//53 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//53 studerat//VB|SUP|AKT//parataxis//31 interdepartementala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 modeller//NN|UTR|PLU|IND|NOM//obj//53 som//HP|-|-|-//nsubj//58 är//VB|PRS|AKT//cop//58 vanligast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//acl:relcl//55 internationellt//JJ|POS|NEU|SIN|IND|NOM//xcomp//53 .//MAD//punct//7

6.1 Framväxt;De//DT|UTR/NEU|PLU|DEF//det//2 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 formerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//6 för//PP//case//4 exportkontrollen//NN|UTR|SIN|DEF|NOM//nmod//2 har//VB|PRS|AKT//aux//6 förändrats//VB|SUP|SFO//ROOT//6 avsevärt//AB|POS//advmod//6 under//PP//case//9 1900-talet//NN|NEU|SIN|DEF|NOM//obl//6 .//MID//punct//6
6.1 Framväxt;De//DT|UTR/NEU|PLU|DEF//det//14 första//RO|NOM//amod//14 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 exportkontrollagarna//NN|UTR|PLU|DEF|NOM//nsubj//17 från//PP//case//16 1918//RG|NOM//nmod//14 berättigade//VB|PRT|AKT//parataxis//6 endast//AB//advmod//17 konungen//NN|UTR|SIN|DEF|NOM//compound:prt//17 att//IE//mark//21 bevilja//VB|INF|AKT//xcomp//17 undantag//NN|NEU|SIN|IND|NOM//obj//21 från//PP//case//24 utförselförbudet//NN|NEU|SIN|DEF|NOM//nmod//22 .//MAD//punct//17
6.1 Framväxt;Genom//PP//case//28 en//DT|UTR|SIN|IND//det//28 lagändring//NN|UTR|SIN|IND|NOM//obl//30 1930//RG|NOM//nummod//28 övertog//VB|PRT|AKT//conj//17 chefen//NN|UTR|SIN|DEF|NOM//nsubj//30 för//PP//case//33 handelsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//31 ansvaret//NN|NEU|SIN|DEF|NOM//obj//30 för//PP//mark//37 att//IE//mark//37 pröva//VB|INF|AKT//advcl//30 merparten//NN|UTR|SIN|DEF|NOM//obj//37 av//PP//case//40 tillståndsansökningarna//NN|UTR|PLU|DEF|NOM//nmod//38 ,//MID//punct//46 men//KN//cc//46 när//HA//mark//45 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 gällde//VB|PRT|AKT//advcl//46 utförsel//NN|UTR|SIN|IND|NOM//conj//30 av//PP//case//49 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 omfattning//NN|UTR|SIN|IND|NOM//nmod//46 eller//KN//cc//51 vikt//NN|UTR|SIN|IND|NOM//conj//49 krävdes//VB|PRT|SFO//conj//17 fortsatt//VB|SUP|AKT//amod//55 kungens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 ställningstagande//NN|NEU|SIN|IND|NOM//xcomp//52 .//MAD//punct//17
6.1 Framväxt;Sedan//PP//mark//63 1949//RG|NOM//nsubj//63 och//KN//cc//58 fram//AB//advmod//62 till//PP//case//62 1996//RG|NOM//nummod//58 har//VB|PRS|AKT//aux//69 emellertid//AB//advmod//69 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//69 eller//KN//cc//68 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 statstråd//NN|NEU|PLU|IND|NOM//conj//65 prövat//VB|SUP|AKT//conj//6 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//71 ärenden//NN|NEU|PLU|IND|NOM//obj//69 om//PP//case//73 tillstånd//NN|NEU|SIN|IND|NOM//obl//69 till//PP//case//75 utförsel//NN|NEU|SIN|IND|NOM//nmod//73 av//PP//case//77 krigsmateriel//NN|UTR|SIN|IND|NOM//nmod//75 .//MAD//punct//69
6.1 Framväxt;År//NN|NEU|SIN|IND|NOM//nmod//80 1984//RG|NOM//punct//6 inrättade//VB|PRT|AKT//parataxis//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//81 en//DT|UTR|SIN|IND//det//85 rådgivande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 nämnd//NN|UTR|SIN|IND|NOM//obj//81 för//PP//case//87 krigsmaterielfrågor//NN|UTR|PLU|IND|NOM//nmod//85 med//PP//case//89 representanter//NN|UTR|PLU|IND|NOM//nmod//87 för//PP//case//93 de//DT|UTR/NEU|PLU|DEF//det//93 sex//RG|NOM//nummod//93 partier//NN|NEU|PLU|IND|NOM//nmod//89 som//HP|-|-|-//nsubj//98 vid//PP//case//96 tidpunkten//NN|UTR|SIN|DEF|NOM//obl//98 var//VB|PRT|AKT//cop//98 företrädda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//93 i//PP//case//100 Utrikesnämnden//NN|UTR|SIN|DEF|NOM//obl//98 .//MAD//punct//6
6.1 Framväxt;Redan//AB//advmod//4 innan//SN//mark//4 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//4 hade//VB|PRT|AKT//aux//4 röstat//VB|SUP|AKT//advcl//23 om//PP//compound:prt//4 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 krigsmateriellag//NN|NEU|PLU|IND|NOM//obl//4 och//KN//cc//9 yttrat//VB|SUP|AKT//conj//4 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//9 till//PP//case//12 fördel//NN|UTR|SIN|IND|NOM//obl//9 för//PP//case//15 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 förslag//NN|NEU|SIN|IND|NOM//obl//9 till//PP//case//17 riktlinjer//NN|UTR|PLU|IND|NOM//nmod//15 för//PP//case//19 krigsmaterielexport//NN|UTR|SIN|IND|NOM//nmod//17 och//KN//cc//22 annan//JJ|POS|UTR|SIN|IND|NOM//amod//22 utlandssamverkan//NN|UTR|SIN|IND|NOM//conj//19 diskuterades//VB|PRT|SFO//ROOT//23 möjligheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//23 att//IE//mark//26 delegera//VB|INF|AKT//acl//24 ansvaret//NN|NEU|SIN|DEF|NOM//obj//26 för//PP//case//29 krigsmaterielärendena//NN|NEU|PLU|DEF|NOM//obl//26 till//PP//case//31 myndighetsnivå//NN|UTR|SIN|IND|NOM//obl//26 .//MAD//punct//23
6.1 Framväxt;Regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 särskilde//PC|PRF|MAS|SIN|DEF|NOM//advmod//35 utredare//NN|UTR|SIN|IND|NOM//nsubj//42 av//PP//case//37 frågan//NN|UTR|SIN|DEF|NOM//nmod//35 ,//MID//punct//37 Gunnar//PM|NOM//conj//35 Lund//PM|NOM//flat:name//39 ,//MID//punct//39 överlämnade//VB|PRT|AKT//parataxis//23 i//PP//case//44 juni//NN|UTR|SIN|IND|NOM//obl//42 1993//RG|NOM//nummod//46 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//47 Kontrollen//NN|UTR|SIN|DEF|NOM//obl//42 över//PP//case//49 export//NN|UTR|SIN|IND|NOM//nmod//47 av//PP//case//53 strategiskt//AB|POS//amod//53 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 varor//NN|UTR|PLU|IND|NOM//nmod//49 (//PAD//punct//53 SOU//PM|NOM//appos//53 1993:56//RG|NOM//obl//42 )//PAD//punct//42 ,//MID//punct//62 som//HP|-|-|-//nsubj:pass//62 kom//VB|PRT|AKT//aux//62 att//IE//mark//62 remissbehandlas//VB|INF|SFO//conj//23 och//KN//cc//64 hanteras//VB|INF|SFO//conj//62 vidare//AB|KOM//compound:prt//64 i//PP//case//68 en//DT|UTR|SIN|IND//det//68 arbetsgrupp//NN|UTR|SIN|IND|NOM//obl//62 inom//PP//case//70 Regeringskansliet//NN|NEU|SIN|DEF|NOM//nmod//68 under//PP//case//72 ledning//NN|UTR|SIN|IND|NOM//nmod//68 av//PP//case//76 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 krigsmaterielinspektör//NN|UTR|SIN|IND|NOM//nmod//76 Staffan//PM|NOM//nmod//72 Sohlman//PM|NOM//flat:name//76 .//MAD//punct//23
6.1 Framväxt;Denna//DT|UTR|SIN|DEF//det//80 behandling//NN|UTR|SIN|IND|NOM//nsubj//81 resulterade//VB|PRT|AKT//parataxis//23 i//PP//case//83 propositionen//NN|UTR|SIN|DEF|NOM//nmod//85 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//85 myndighet//NN|UTR|SIN|IND|NOM//obj//81 för//PP//case//87 kontroll//NN|UTR|SIN|IND|NOM//obl//81 över//PP//case//89 krigsmateriel//NN|UTR|SIN|IND|NOM//nmod//87 och//KN//cc//94 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 strategiskt//AB|POS//advmod//93 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 produkter//NN|UTR|PLU|IND|NOM//conj//89 (//PAD//punct//81 prop//NN|UTR|SIN|IND|NOM//appos//81 .//MAD//punct//96
6.1 Framväxt;1995/96:31//RG|NOM//obl//81 )//PAD//punct//98 ,//MID//punct//102 som//HP|-|-|-//nsubj//102 vann//VB|PRT|AKT//conj//81 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//104 gillande//NN|NEU|SIN|IND|NOM//obj//102 .//MAD//punct//23
6.1 Framväxt;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 1996//RG|NOM//nummod//2 ombildades//VB|PRT|SFO//dep//31 Krigsmaterielinspektionen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 ,//MID//punct//5 som//HP|-|-|-//nsubj//8 tillhörde//VB|PRT|AKT//acl:relcl//5 handelsavdelningen//NN|UTR|SIN|DEF|NOM//obj//8 på//PP//case//11 UD//PM|NOM//nmod//9 och//KN//cc//15 var//VB|PRT|AKT//cop//15 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 beredningsorgan//NN|NEU|SIN|IND|NOM//conj//5 för//PP//case//17 krigsmaterielärenden//NN|UTR|SIN|DEF|NOM//nmod//15 ,//MID//punct//22 till//PP//case//22 en//DT|UTR|SIN|IND//det//22 ny//JJ|POS|UTR|SIN|IND|NOM//amod//22 myndighet//NN|UTR|SIN|IND|NOM//conj//4 vid//PP//case//24 namn//NN|NEU|SIN|IND|NOM//nmod//25 Inspektionen//NN|UTR|SIN|DEF|NOM//nmod//22 för//PP//case//28 strategiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 produkter//NN|UTR|PLU|IND|NOM//nmod//25 .//MAD//punct//4
6.1 Framväxt;Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//31 har//VB|PRS|AKT//ROOT//31 ansvaret//NN|NEU|SIN|DEF|NOM//obj//31 för//PP//mark//35 att//IE//mark//35 pröva//VB|INF|AKT//advcl//31 merparten//NN|UTR|SIN|DEF|NOM//obj//35 av//PP//case//38 ärenden//NN|NEU|PLU|IND|NOM//nmod//36 om//PP//case//40 kontroll//NN|UTR|SIN|IND|NOM//nmod//38 över//PP//case//42 krigsmateriel//NN|UTR|SIN|IND|NOM//nmod//40 och//KN//cc//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 strategiskt//AB|POS//advmod//46 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 produkter//NN|UTR|PLU|IND|NOM//conj//42 .//MAD//punct//31
6.1 Framväxt;De//DT|UTR/NEU|PLU|DEF//nsubj//51 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//51 omfattar//VB|PRS|AKT//appos//31 produkter//NN|UTR|PLU|IND|NOM//obj//51 med//PP//case//55 dubbla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 användningsområden//NN|NEU|PLU|IND|NOM//obl//51 och//KN//cc//57 sådant//JJ|POS|NEU|SIN|IND|NOM//conj//55 som//HP|-|-|-//nsubj//59 faller//VB|PRS|AKT//acl:relcl//57 inom//PP//case//63 ramen//NN|UTR|SIN|DEF|NOM//fixed//60 för//PP//fixed//60 Kemvapenkonventionen//NN|NEU|PLU|DEF|NOM//obl//59 .//MAD//punct//51
6.1 Framväxt;Genom//PP//case//67 ovannämnda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//67 proposition//NN|UTR|SIN|IND|NOM//obl//68 ombildades//VB|PRT|SFO//conj//51 också//AB//advmod//68 Rådgivande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 nämnden//NN|UTR|SIN|DEF|NOM//nsubj:pass//68 för//PP//case//73 krigsmaterielfrågor//NN|UTR|PLU|IND|NOM//obl//68 till//PP//case//75 EKR//PM|NOM//obl//68 .//MID//punct//51
