AVDELNING I;Uppdraget//NN|NEU|SIN|DEF|NOM//ROOT//0 ,//MID//punct//6 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//6 rätt//NN|UTR|SIN|IND|NOM//amod//6 och//KN//cc//5 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//3 överväganden//NN|NEU|PLU|IND|NOM//conj//0
1 Inledning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 fri//JJ|POS|UTR|SIN|IND|NOM//ROOT//2 att//IE//mark//4 lämna//VB|INF|AKT//advcl//2 de//DT|UTR/NEU|PLU|DEF//det//6 förslag//NN|NEU|PLU|IND|NOM//obj//4 i//PP//advmod//4 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//7 som//HA//mark//12 utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//12 kan//VB|PRS|AKT//aux//12 föranleda//VB|INF|AKT//advcl//4 .//MAD//punct//2
1 Inledning;1.2//RG|NOM//nummod//16 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 arbete//NN|NEU|SIN|IND|NOM//appos//2
1 Inledning;Under//PP//case//2 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 gång//NN|UTR|SIN|IND|NOM//obl//5 har//VB|PRS|AKT//aux//5 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 haft//VB|SUP|AKT//ROOT//5 möten//NN|NEU|PLU|IND|NOM//obj//5 med//PP//case//9 den//DT|UTR|SIN|DEF//det//9 referensgrupp//NN|UTR|SIN|IND|NOM//obl//5 som//HP|-|-|-//nsubj:pass//11 knutits//VB|SUP|SFO//acl:relcl//9 till//PP//case//13 utredningen//NN|UTR|SIN|DEF|NOM//obl//11 och//KN//cc//18 med//PP//case//18 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 intressenter//NN|UTR|PLU|IND|NOM//conj//11 .//MAD//punct//18
1 Inledning;Företrädare//NN|UTR|PLU|IND|NOM//obj//5 för//PP//case//22 utredningen//NN|UTR|SIN|DEF|NOM//nmod//20 har//VB|PRS|AKT//aux//25 också//AB//advmod//25 deltagit//VB|SUP|AKT//conj//5 i//PP//case//29 två//RG|NOM//nummod//29 nordiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 möten//NN|NEU|PLU|IND|NOM//obl//25 där//HA//advmod//34 de//DT|UTR/NEU|PLU|DEF//det//33 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 direktiven//NN|NEU|PLU|DEF|NOM//nsubj:pass//34 diskuterats//VB|SUP|SFO//acl:relcl//29 .//MAD//punct//5
1 Inledning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 inhämtat//VB|SUP|AKT//ROOT//2 synpunkter//NN|UTR|PLU|IND|NOM//obj//2 från//PP//case//6 Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 Regelnämnd//NN|UTR|SIN|IND|NOM//nmod//3 .//MAD//punct//2
1 Inledning;1.3//RG|NOM//nmod//9 Framställningar//NN|UTR|PLU|IND|NOM//appos//2
1 Inledning;Till//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//3 har//VB|PRS|AKT//aux//3 kommit//VB|SUP|AKT//ROOT//3 in//PL//compound:prt//3 skrivelser//NN|UTR|PLU|IND|NOM//obj//3 från//PP//case//10 bl.a.//AB|AN//advmod//10 Equal//UO//nmod:poss//10 Socialt//JJ|POS|NEU|SIN|IND|NOM//amod//10 företagande//NN|NEU|SIN|IND|NOM//obl//3 med//PP//case//12 synpunkter//NN|UTR|PLU|IND|NOM//nmod//10 om//PP//mark//19 hur//HA//advmod//15 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 hänsyn//NN|UTR|PLU|IND|NOM//nsubj:pass//19 skall//VB|PRS|AKT//aux//19 kunna//VB|INF|AKT//aux//19 tas//VB|INF|SFO//acl//12 vid//PP//case//21 upphandling//NN|UTR|SIN|IND|NOM//obl//19 ,//MID//punct//24 från//PP//case//24 Statskontoret//NN|NEU|SIN|DEF|NOM//conj//21 när//HA//mark//28 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//25 gäller//VB|PRS|AKT//fixed//25 användande//NN|NEU|SIN|IND|NOM//acl//24 av//PP//case//30 ramavtal//NN|NEU|PLU|IND|NOM//nmod//28 ,//MID//punct//33 från//PP//case//33 Skatteverket//PM|NOM//conj//28 med//PP//case//35 synpunkter//NN|UTR|PLU|IND|NOM//nmod//33 bl.a.//AB|AN//advmod//41 på//PP//mark//41 hur//HA//advmod//41 upphandlingsförfarande//NN|NEU|SIN|IND|NOM//nsubj:pass//41 kan//VB|PRS|AKT//aux//41 förenklas//VB|INF|SFO//advcl//3 och//KN//cc//45 från//PP//case//45 Svenska//PM|NOM//amod//45 Naturskyddsföreningen//PM|NOM//conj//41 med//PP//case//47 synpunkter//NN|UTR|PLU|IND|NOM//nmod//45 när//HA//case//51 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//48 gäller//VB|PRS|AKT//fixed//48 miljöhänsyn//NN|UTR|SIN|IND|NOM//obl//41 .//MAD//punct//3

2 Bakgrund;Regler//NN|UTR|PLU|IND|NOM//nsubj//7 för//PP//case//5 de//DT|UTR/NEU|PLU|DEF//det//4 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//5 upphandling//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//7 funnits//VB|SUP|SFO//ROOT//7 under//PP//case//10 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 1900-talet//NN|NEU|SIN|DEF|NOM//obl//7 (//PAD//punct//7 jfr//VB|AN//parataxis//7 prop//NN|UTR|SIN|IND|NOM//obj//12 .//MAD//punct//7
2 Bakgrund;1992/93:88//RG|NOM//nummod//16 s.//NN|AN//nmod//17 34//RG|NOM//nummod//18 f//NN|NEU|SIN|IND|NOM//obl//7 )//PAD//punct//7 Reglerna//NN|UTR|PLU|DEF|NOM//nsubj//25 i//PP//case//22 början//NN|UTR|SIN|DEF|NOM//nmod//20 av//PP//case//24 1900-talet//NN|NEU|SIN|DEF|NOM//nmod//22 avsåg//VB|PRT|AKT//conj//7 att//IE//mark//27 tillgodose//VB|INF|AKT//xcomp//25 den//DT|UTR|SIN|DEF//det//29 tidens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 krav//NN|NEU|SIN|IND|NOM//obj//27 på//PP//case//32 affärsmässighet//NN|UTR|SIN|IND|NOM//nmod//30 och//KN//cc//34 syftade//VB|PRT|AKT//conj//25 även//AB//advmod//34 till//PP//mark//38 att//IE//mark//38 garantera//VB|INF|AKT//advcl//34 offentlighet//NN|UTR|SIN|IND|NOM//obj//38 och//KN//cc//41 rättssäkerhet//NN|UTR|SIN|IND|NOM//conj//39 .//MAD//punct//7
2 Bakgrund;I//PP//case//3 1952//RG|NOM//nummod//2 års//NN|NEU|SIN|IND|GEN//nmod:poss//3 upphandlingskungörelse//NN|UTR|SIN|IND|NOM//obl//4 skärptes//VB|PRT|SFO//ROOT//4 kravet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 på//PP//case//7 affärsmässighet//NN|UTR|SIN|IND|NOM//nmod//5 .//MID//punct//4
2 Bakgrund;Detta//DT|NEU|SIN|DEF//det//11 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 krav//NN|NEU|SIN|IND|NOM//nsubj//12 innebar//VB|PRT|AKT//parataxis//4 att//SN//mark//18 preferensen//NN|UTR|SIN|DEF|NOM//nsubj:pass//18 för//PP//case//16 svensk//JJ|POS|UTR|SIN|IND|NOM//nmod//14 vara//NN|UTR|SIN|IND|NOM//aux:pass//18 bröts//VB|PRT|SFO//ccomp//12 ,//MID//punct//21 bl.a.//AB|AN//advmod//21 föreskrevs//VB|PRT|SFO//conj//18 ,//MID//punct//21 att//SN//mark//27 sysselsättningssituationen//NN|UTR|SIN|DEF|NOM//nsubj//27 inte//AB//advmod//27 fick//VB|PRT|AKT//aux//27 inverka//VB|INF|AKT//ccomp//21 på//PP//case//30 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//30 beslut//NN|NEU|PLU|IND|NOM//obl//27 .//MAD//punct//4
2 Bakgrund;I//PP//case//2 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//2 SOU//PM|NOM//obl//10 1971//RG|NOM//nummod//2 ://MID//punct//2
2 Bakgrund;88//RG|NOM//appos//2 ,//MID//punct//8 Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//8 upphandling//NN|UTR|SIN|IND|NOM//conj//2 ,//MID//punct//2 framlades//VB|PRT|SFO//ROOT//10 ett//DT|NEU|SIN|IND//det//12 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//10 till//PP//case//16 en//DT|UTR|SIN|IND//det//16 ny//JJ|POS|UTR|SIN|IND|NOM//amod//16 upphandlingskungörelse//NN|UTR|SIN|IND|NOM//nmod//12 .//MAD//punct//10
2 Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//19 redovisade//VB|PRT|AKT//parataxis//10 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//21 överväganden//NN|NEU|PLU|IND|NOM//obj//19 i//PP//case//23 frågan//NN|UTR|SIN|DEF|NOM//nmod//21 för//PP//case//25 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//23 i//PP//case//27 prop//NN|UTR|SIN|IND|NOM//nmod//25 .//MAD//punct//19
2 Bakgrund;1973:73//RG|NOM//discourse//32 där//HA//advmod//32 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//32 presenterade//VB|PRT|AKT//conj//19 riktlinjerna//NN|UTR|PLU|DEF|NOM//obj//32 för//PP//case//37 den//DT|UTR|SIN|DEF//det//37 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//37 upphandlingen//NN|UTR|SIN|DEF|NOM//nmod//33 på//PP//case//42 grundval//NN|NEU|SIN|IND|NOM//fixed//38 av//PP//fixed//38 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//42 betänkande//NN|NEU|SIN|IND|NOM//nmod//37 .//MAD//punct//19
2 Bakgrund;Sedan//SN//mark//2 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//2 beslutat//VB|SUP|AKT//advcl//3 godta//VB|INF|AKT//ROOT//3 de//DT|UTR/NEU|PLU|DEF//det//6 presenterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 riktlinjerna//NN|UTR|PLU|DEF|NOM//obj//3 utfärdade//VB|PRT|AKT//xcomp//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//7 upphandlingskungörelsen//NN|UTR|SIN|DEF|NOM//obj//7 (//PAD//punct//9 1973:600//RG|NOM//appos//9 )//PAD//punct//11 ,//MID//punct//9 varigenom//HA//advmod//18 1952//RG|NOM//nummod//16 års//NN|NEU|SIN|IND|GEN//nmod:poss//17 upphandlingskungörelse//NN|UTR|SIN|IND|NOM//nsubj:pass//18 upphävdes//VB|PRT|SFO//acl:relcl//9 .//MAD//punct//3
2 Bakgrund;Upphandlingsreglerna//NN|UTR|PLU|DEF|NOM//nsubj//21 omfattade//VB|PRT|AKT//parataxis//3 nu//AB//advmod//21 även//AB//advmod//21 upphandling//NN|UTR|SIN|IND|NOM//obj//21 av//PP//case//26 tjänster//NN|UTR|PLU|IND|NOM//nmod//24 .//MAD//punct//3
2 Bakgrund;År//NN|NEU|SIN|IND|NOM//nmod//1 1986//RG|NOM//obl//2 trädde//VB|PRT|AKT//ROOT//2 upphandlingsförordningen//NN|UTR|SIN|DEF|NOM//nsubj//2 (//PAD//punct//5 1986:366//RG|NOM//appos//3 )//PAD//punct//5 i//PP//case//8 kraft//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
2 Bakgrund;1986//RG|NOM//nummod//11 års//NN|NEU|SIN|IND|GEN//nmod:poss//12 förordning//NN|UTR|SIN|IND|NOM//nsubj//13 innebär//VB|PRS|AKT//parataxis//2 i//PP//advmod//17 huvudsak//NN|UTR|SIN|IND|NOM//fixed//14 en//DT|UTR|SIN|IND//det//17 omredigering//NN|UTR|SIN|IND|NOM//obl//13 och//KN//cc//19 modernisering//NN|UTR|SIN|IND|NOM//conj//17 av//PP//case//23 1973//RG|NOM//nummod//22 års//NN|NEU|SIN|IND|GEN//nmod:poss//23 kungörelse//NN|UTR|SIN|IND|NOM//nmod//19 .//MAD//punct//13
2 Bakgrund;Upphandlingsförordningen//NN|UTR|SIN|DEF|NOM//nsubj//26 gällde//VB|PRT|AKT//conj//13 fram//PL//advmod//26 till//PP//case//31 den//DT|UTR|SIN|DEF//det//31 1//RO|NOM//nummod//31 januari//NN|UTR|SIN|IND|NOM//obl//26 1994//RG|NOM//nummod//31 då//HA//mark//44 lagen//NN|UTR|SIN|DEF|NOM//nsubj//44 (//PAD//punct//36 1992:1528//RG|NOM//nmod//34 )//PAD//punct//36 om//PP//case//40 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//40 upphandling//NN|UTR|SIN|IND|NOM//nmod//34 (//PAD//punct//42 LOU//PM|NOM//appos//40 )//PAD//punct//40 trädde//VB|PRT|AKT//acl:relcl//31 i//PP//compound:prt//44 kraft//NN|UTR|SIN|IND|NOM//obl//44 .//MAD//punct//2
2 Bakgrund;Gemenskapsrätten//NN|UTR|SIN|DEF|NOM//nsubj//6 har//VB|PRS|AKT//aux//6 sedan//PP//case//4 lång//JJ|POS|UTR|SIN|IND|NOM//amod//4 tid//NN|UTR|SIN|IND|NOM//obl//6 tillbaka//AB//advmod//4 innehållit//VB|SUP|AKT//ROOT//6 regler//NN|UTR|PLU|IND|NOM//obj//6 om//PP//case//10 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//10 upphandling//NN|UTR|SIN|IND|NOM//nmod//7 och//KN//cc//13 om//PP//case//13 upphandling//NN|UTR|SIN|IND|NOM//conj//10 inom//PP//case//16 områdena//NN|NEU|PLU|DEF|NOM//nmod//16 vatten//NN|NEU|SIN|IND|NOM//nmod//13 ,//MID//punct//18 energi//NN|UTR|SIN|IND|NOM//conj//16 ,//MID//punct//20 transporter//NN|UTR|PLU|IND|NOM//conj//16 och//KN//cc//22 telekommunikation//NN|UTR|SIN|IND|NOM//conj//16 (//PAD//punct//24 försörjningssektorerna//NN|UTR|PLU|DEF|NOM//appos//13 )//PAD//punct//24 .//MAD//punct//6
2 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 är//VB|PRS|AKT//cop//31 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 fyra//RG|NOM//nummod//31 förfarandedirektiv//NN|NEU|PLU|IND|NOM//parataxis//6 som//HP|-|-|-//nsubj:pass//34 nu//AB//advmod//34 ersätts//VB|PRS|SFO//acl:relcl//31 av//PP//case//39 de//DT|UTR/NEU|PLU|DEF//det//39 två//RG|NOM//nummod//39 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 direktiven//NN|NEU|PLU|DEF|NOM//obl:agent//34 ://MAD//punct//31
2 Bakgrund;•//NN|UTR|SIN|IND|NOM//nmod//1 93/36//RG|NOM//nummod//2 /EEG//RG|NOM//ROOT//2 om//PP//case//4 upphandling//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 varor//NN|UTR|PLU|IND|NOM//nmod//4
2 Bakgrund;•//NN|UTR|SIN|IND|NOM//case//1 92/50//RG|NOM//ROOT//1 /EEG//NN|UTR|SIN|IND|NOM//nummod//1 om//PP//case//4 upphandling//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 tjänster//NN|UTR|PLU|IND|NOM//nmod//4
2 Bakgrund;•//NN|UTR|SIN|IND|NOM//nmod//1 93/38//RG|NOM//ROOT//1 /EEG//MID//flat:name//1 om//PP//case//4 upphandling//NN|UTR|SIN|IND|NOM//nmod//2 inom//PP//case//7 områdena//NN|NEU|PLU|DEF|NOM//nmod//7 vatten//NN|NEU|SIN|IND|NOM//nmod//4 ,//MID//punct//9 energi//NN|UTR|SIN|IND|NOM//conj//7 ,//MID//punct//11 transporter//NN|UTR|PLU|IND|NOM//conj//7 och//KN//cc//13 telekommunikation//NN|UTR|SIN|IND|NOM//conj//7 .//MAD//punct//1
