Sammanfattning;Den//DT|UTR|SIN|DEF//det//1 undersökning//NN|UTR|SIN|IND|NOM//nsubj//8 som//HP|-|-|-//nsubj//3 skett//VB|SUP|AKT//acl:relcl//1 vid//PP//case//5 Skattemyndigheten//PM|NOM//obl//3 i//PP//case//7 Växjöregionen//PM|NOM//nmod//5 leder//VB|PRS|AKT//ROOT//8 fram//PL//compound:prt//8 till//PP//mark//16 att//SN//mark//16 total//JJ|POS|UTR|SIN|IND|NOM//amod//13 resursåtgång//NN|UTR|SIN|IND|NOM//nsubj//16 för//PP//case//15 arbetsuppgifter//NN|UTR|PLU|IND|NOM//nmod//13 föranledda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//8 av//PP//case//18 förekomsten//NN|UTR|SIN|DEF|NOM//obl//16 av//PP//case//21 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 skattesatser//NN|UTR|PLU|IND|NOM//nmod//18 för//PP//case//23 moms//NN|UTR|SIN|IND|NOM//nmod//18 för//PP//case//25 Skatteverket//PM|NOM//nmod//23 i//PP//case//27 riket//NN|NEU|SIN|DEF|NOM//nmod//25 som//KN//nsubj:pass//31 helhet//NN|UTR|SIN|IND|NOM//nsubj:pass//31 kan//VB|PRS|AKT//aux//31 uppskattas//VB|INF|SFO//acl:relcl//18 till//PP//case//35 cirka//AB//advmod//34 130–150//RG|NOM//nummod//35 årsarbetskrafter//NN|UTR|PLU|IND|NOM//obl//31 .//MAD//punct//8
Resursåtgång i Växjöregionen;Av//PP//case//2 nedanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 sammanställning//NN|UTR|SIN|IND|NOM//obl//3 framgår//VB|PRS|AKT//ROOT//3 antal//NN|NEU|SIN|IND|NOM//nmod//5 förfrågningar//NN|UTR|PLU|IND|NOM//nsubj//3 ,//MID//punct//5 antal//NN|NEU|SIN|IND|NOM//nmod//8 svar//NN|NEU|PLU|IND|NOM//appos//5 ,//MID//punct//5 uppskattad//PC|PRF|UTR|SIN|IND|NOM//amod//11 tidsåtgång//NN|UTR|SIN|IND|NOM//conj//5 m.m.//AB|AN//conj//5 för//PP//case//15 varje//DT|UTR/NEU|SIN|IND//det//15 personalkategori//NN|UTR|SIN|IND|NOM//obl//3 samt//KN//cc//18 för//PP//case//18 regionen//NN|UTR|SIN|DEF|NOM//conj//15 i//PP//case//21 sin//PS|UTR|SIN|DEF//nmod:poss//21 helhet//NN|UTR|SIN|IND|NOM//nmod//18 .//MAD//punct//3
Resursåtgång i Växjöregionen;Med//PP//case//27 hjälp//NN|UTR|SIN|IND|NOM//fixed//23 av//PP//fixed//23 genomsnittlig//JJ|POS|UTR|SIN|IND|NOM//amod//27 tidsåtgång//NN|UTR|SIN|IND|NOM//obl//38 per//PP//case//29 person//NN|UTR|SIN|IND|NOM//nmod//27 för//PP//case//31 de//PN|UTR/NEU|PLU|DEF|SUB//nmod//27 som//HP|-|-|-//nsubj//33 besvarat//VB|SUP|AKT//acl:relcl//31 enkäten//NN|UTR|SIN|DEF|NOM//obj//33 har//VB|PRS|AKT//aux//38 total//JJ|POS|UTR|SIN|IND|NOM//amod//37 tidsåtgång//NN|UTR|SIN|IND|NOM//nsubj:pass//38 beräknats//VB|SUP|SFO//parataxis//3 för//PP//case//41 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//41 handläggare//NN|UTR|PLU|IND|NOM//obl//38 i//PP//case//44 respektive//AB//amod//44 kategorier//NN|UTR|PLU|IND|NOM//nmod//41 .//MAD//punct//3
Resursåtgång i Växjöregionen;Källa//NN|UTR|SIN|IND|NOM//ROOT//0 ://MID//punct//0
Resursåtgång i Växjöregionen;Skattemyndigheten//NN|UTR|SIN|DEF|NOM//appos//0 i//PP//case//4 Växjö//PM|NOM//nmod//2 (//PAD//punct//2 numera//AB//advmod//7 Skatteverket//PM|NOM//appos//2 Växjö//PM|NOM//obj//7 )//PAD//punct//0
Resursåtgång i Växjöregionen;Enkätsvaren//NN|UTR|SIN|DEF|NOM//nsubj//1 utvisar//VB|PRS|AKT//ROOT//1 att//SN//mark//9 uppskattad//PC|PRF|UTR|SIN|IND|NOM//amod//4 resursåtgång//NN|UTR|SIN|IND|NOM//nsubj//9 för//PP//case//6 handläggning//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//8 ärenden//NN|NEU|PLU|IND|NOM//nmod//6 relaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 till//PP//case//11 förekomsten//NN|UTR|SIN|DEF|NOM//obl//9 av//PP//case//14 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 skattesatser//NN|UTR|PLU|IND|NOM//nmod//11 för//PP//case//16 moms//NN|UTR|SIN|IND|NOM//obl//9 är//VB|PRS|AKT//cop//21 cirka//AB//advmod//19 3//RG|NOM//nummod//20 000//RG|NOM//nummod//21 dagar//NN|UTR|PLU|IND|NOM//nsubj//1 i//PP//case//23 regionen//NN|UTR|SIN|DEF|NOM//nmod//21 .//MAD//punct//1
Resursåtgång i Växjöregionen;Omräknat//PC|PRF|NEU|SIN|IND|NOM//nsubj//28 till//PP//case//27 årsarbetskrafter//NN|UTR|PLU|IND|NOM//obl//25 motsvarar//VB|PRS|AKT//parataxis//1 resursåtgången//NN|UTR|SIN|DEF|NOM//obj//28 cirka//AB//advmod//31 14//RG|NOM//nummod//32 årsarbetskrafter//NN|UTR|PLU|IND|NOM//obj//28 .//MAD//punct//28
Resursåtgång i Växjöregionen;I//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 tid//NN|UTR|SIN|IND|NOM//obl//4 har//VB|PRS|AKT//aux//4 inräknats//VB|SUP|SFO//ROOT//4 tid//NN|UTR|SIN|IND|NOM//obj//4 för//PP//case//8 direkt//JJ|POS|NEU|SIN|IND|NOM//amod//8 utredningsarbete//NN|NEU|SIN|IND|NOM//obl//4 ,//MID//punct//8 information//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//12 utformning//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//14 beslut//NN|NEU|SIN|IND|NOM//nmod//12 ,//MID//punct//16 utbildning//NN|UTR|SIN|IND|NOM//conj//14 ,//MID//punct//18 inläsning//NN|UTR|SIN|IND|NOM//conj//14 av//PP//case//21 domar//NN|UTR|PLU|IND|NOM//nmod//21 mm//AB|AN//nmod//18 .//MAD//punct//4
Resursåtgång i Växjöregionen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//26 ska//VB|PRS|AKT//aux//26 också//AB//advmod//26 noteras//VB|INF|SFO//parataxis//4 att//SN//mark//32 den//DT|UTR|SIN|DEF//det//30 angivna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//30 tidsåtgången//NN|UTR|SIN|DEF|NOM//nsubj//32 inte//AB//advmod//32 bygger//VB|PRS|AKT//advcl//26 på//PP//case//36 någon//DT|UTR|SIN|IND//det//36 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//36 tidsredovisning//NN|UTR|SIN|IND|NOM//obl//32 utan//KN//cc//38 grundar//VB|PRS|AKT//conj//32 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//38 på//PP//case//43 en//DT|UTR|SIN|IND//det//43 individuell//JJ|POS|UTR|SIN|IND|NOM//amod//43 uppskattning//NN|UTR|SIN|IND|NOM//obl//38 som//HP|-|-|-//nsubj//52 var//PN|UTR|SIN|IND|SUB/OBJ//nsubj//52 och//KN//fixed//45 en//PN|UTR|SIN|IND|SUB/OBJ//fixed//45 av//PP//case//51 de//DT|UTR/NEU|PLU|DEF//det//51 tillfrågade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//51 handläggarna//NN|UTR|PLU|DEF|NOM//nmod//47 gjort//VB|SUP|AKT//acl:relcl//43 .//MAD//punct//26
Resursåtgång i Växjöregionen;Arbetsuppgifter//NN|UTR|PLU|IND|NOM//nsubj//55 kopplade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//26 till//PP//case//58 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//58 skattesatser//NN|UTR|PLU|IND|NOM//obl//55 är//VB|PRS|AKT//cop//61 sällan//AB//advmod//61 renodlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//55 inom//PP//case//63 Skatteverket//PM|NOM//obl//61 utan//KN//case//65 förekomsten//NN|UTR|SIN|DEF|NOM//obl//61 av//PP//case//68 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//68 skattesats//NN|UTR|SIN|IND|NOM//nmod//65 utgör//VB|PRS|AKT//conj//55 ofta//AB|POS//advmod//69 ett//DT|NEU|SIN|IND//det//72 inslag//NN|NEU|SIN|IND|NOM//obj//69 av//PP//case//75 varierande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 omfattning//NN|UTR|SIN|IND|NOM//nmod//72 i//PP//case//78 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 aktiviteter//NN|UTR|PLU|IND|NOM//nmod//75 .//MAD//punct//55
Resursåtgång i Växjöregionen;Beräknad//PC|PRF|UTR|SIN|IND|NOM//amod//81 tidsåtgång//NN|UTR|SIN|IND|NOM//nsubj//84 skulle//VB|PRT|AKT//aux//84 därför//AB//advmod//84 innehålla//VB|INF|AKT//conj//55 uppskattningar//NN|UTR|PLU|IND|NOM//obj//84 oavsett//AB|POS//mark//89 om//SN//case//88 beräkningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//89 gjordes//VB|PRT|SFO//advcl//84 genom//PP//case//92 en//DT|UTR|SIN|IND//det//92 bedömning//NN|UTR|SIN|IND|NOM//obl//89 i//PP//case//94 efterhand//AB//nmod//92 eller//KN//cc//99 genom//PP//case//99 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//99 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//99 tidsredovisning//NN|UTR|SIN|IND|NOM//conj//94 .//MAD//punct//26

Uppskattad resursåtgång för riket som helhet;Antalet//NN|NEU|SIN|DEF|NOM//nmod//2 momsregistrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 företag//NN|NEU|PLU|IND|NOM//nsubj//5 inom//PP//case//4 Växjöregionen//NN|UTR|SIN|DEF|NOM//nmod//2 utgör//VB|PRS|AKT//ROOT//5 cirka//AB//advmod//7 10//RG|NOM//nummod//8 procent//NN|UTR|PLU|IND|NOM//obj//5 av//PP//case//12 det//DT|NEU|SIN|DEF//det//12 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 antalet//NN|NEU|SIN|DEF|NOM//nmod//8 momsregistrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//14 företag//NN|NEU|PLU|IND|NOM//appos//8 i//PP//case//16 riket//NN|NEU|SIN|DEF|NOM//obl//5 som//KN//mark//18 helhet//NN|UTR|SIN|IND|NOM//xcomp//5 .//MID//punct//5
Uppskattad resursåtgång för riket som helhet;Självfallet//AB|POS//advmod//21 motsvarar//VB|PRS|AKT//parataxis//5 inte//AB//advmod//21 Växjöregionens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 sammansättning//NN|UTR|SIN|IND|NOM//obj//21 av//PP//case//26 företag//NN|NEU|PLU|IND|NOM//nmod//24 exakt//AB|POS//advmod//29 en//DT|UTR|SIN|IND//det//29 sammansättning//NN|UTR|SIN|IND|NOM//obj//21 på//PP//case//31 riksnivå//NN|UTR|SIN|IND|NOM//nmod//29 .//MAD//punct//21
Uppskattad resursåtgång för riket som helhet;Som//KN//mark//37 exempel//NN|NEU|SIN|IND|NOM//fixed//33 är//VB|PRS|AKT//cop//37 antalet//NN|NEU|SIN|DEF|NOM//nsubj//37 skidliftar//NN|UTR|PLU|IND|NOM//nsubj//67 färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 i//PP//case//40 Växjöregionen//NN|UTR|SIN|DEF|NOM//obl//37 än//KN//case//43 i//PP//case//43 Östersundsregionen//NN|UTR|SIN|DEF|NOM//obl//37 .//MAD//punct//37
Uppskattad resursåtgång för riket som helhet;I//PP//advmod//54 stort//AB//fixed//45 sett//PC|PRF|NEU|SIN|IND|NOM//fixed//45 torde//VB|PRT|AKT//aux//54 dock//AB//advmod//54 inte//AB//advmod//54 några//DT|UTR/NEU|PLU|IND//det//54 mer//AB|KOM//advmod//53 väsentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 skillnader//NN|UTR|PLU|IND|NOM//appos//37 i//PP//case//56 förekomsten//NN|UTR|SIN|DEF|NOM//nmod//54 av//PP//case//59 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 skattesatser//NN|UTR|PLU|IND|NOM//nmod//56 hos//PP//case//61 företagen//NN|NEU|PLU|DEF|NOM//nmod//56 i//PP//case//64 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 delar//NN|UTR|PLU|IND|NOM//nmod//61 av//PP//case//66 landet//NN|NEU|SIN|DEF|NOM//nmod//64 finnas//VB|INF|SFO//conj//5 .//MID//punct//67
Uppskattad resursåtgång för riket som helhet;Inte//AB//advmod//72 heller//AB//advmod//72 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//72 organisation//NN|UTR|SIN|IND|NOM//nsubj//78 ,//MID//punct//72 informationsverksamhet//NN|UTR|SIN|IND|NOM//conj//72 ,//MID//punct//76 kontrollinriktning//NN|UTR|SIN|IND|NOM//conj//72 m.m.//AB|AN//conj//72 skiljer//VB|PRS|AKT//conj//67 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//78 i//PP//case//83 någon//DT|UTR|SIN|IND//det//83 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//83 utsträckning//NN|UTR|SIN|IND|NOM//obl//78 åt//PP//compound:prt//78 från//PP//case//88 den//DT|UTR|SIN|DEF//det//88 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//88 regionen//NN|UTR|SIN|DEF|NOM//obl//78 till//PP//case//91 den//DT|UTR|SIN|DEF//det//91 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//88 .//MAD//punct//5
Uppskattad resursåtgång för riket som helhet;Med//PP//case//6 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//0 från//PP//fixed//0 den//DT|UTR|SIN|DEF//det//6 ovan//AB//advmod//5 beräknade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 resursåtgången//NN|UTR|SIN|DEF|NOM//obl//13 inom//PP//case//8 Växjöregionen//NN|UTR|SIN|DEF|NOM//nmod//6 för//PP//mark//11 att//IE//mark//11 handlägga//VB|INF|AKT//acl//6 uppgifter//NN|UTR|PLU|IND|NOM//obj//11 föranledda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//13 av//PP//case//16 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//16 skattesatser//NN|UTR|PLU|IND|NOM//obl//13 för//PP//case//18 moms//NN|UTR|SIN|IND|NOM//obl//13 kan//VB|PRS|AKT//aux//28 därför//AB//advmod//23 de//DT|UTR/NEU|PLU|DEF//det//23 14//RG|NOM//nummod//23 årsarbetskrafter//NN|UTR|PLU|IND|NOM//nsubj:pass//28 som//HP|-|-|-//nsubj//25 framkommit//VB|SUP|AKT//acl:relcl//23 i//PP//case//27 regionen//NN|UTR|SIN|DEF|NOM//obl//25 räknas//VB|PRS|SFO//conj//13 upp//PL//compound:prt//28 till//PP//case//32 cirka140//NN|AN//nmod//32 årsarbetskrafter//NN|UTR|PLU|IND|NOM//obl//28 för//PP//case//34 riket//NN|NEU|SIN|DEF|NOM//nmod//32 i//PP//case//37 sin//PS|UTR|SIN|DEF//nmod:poss//37 helhet//NN|UTR|SIN|IND|NOM//nmod//34 .//MAD//punct//13
Uppskattad resursåtgång för riket som helhet;Härtill//AB//advmod//1 kommer//VB|PRS|AKT//advcl//54 resursåtgången//NN|UTR|SIN|DEF|NOM//nsubj//1 vid//PP//case//4 den//DT|UTR|SIN|DEF//det//9 för//PP//case//6 riket//NN|NEU|SIN|DEF|NOM//obl//7 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 s.k.//AB|AN//amod//9 servicejouren//NN|UTR|SIN|DEF|NOM//obl//1 i//PP//case//11 Söderhamn//PM|NOM//nmod//9 samt//KN//cc//14 de//DT|UTR/NEU|PLU|DEF//det//14 resurser//NN|UTR|PLU|IND|NOM//conj//9 som//HP|-|-|-//nsubj//16 åtgår//VB|PRS|AKT//acl:relcl//14 vid//PP//case//18 Skatteverket//PM|NOM//obl//16 centralt//AB|POS//advmod//16 .//MAD//punct//14
