5 EG-rätten ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//12 ://MID//punct//1
5.1 Bakgrund;I//PP//case//58 det//DT|NEU|SIN|DEF//det//58 följande//NN|NEU|SIN|IND|NOM//obl//64 kommer//VB|PRS|AKT//aux//64 de//DT|UTR/NEU|PLU|DEF//det//62 gamla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 artikelnumren//NN|NEU|PLU|DEF|NOM//nsubj:pass//64 att//IE//mark//64 anges//VB|INF|SFO//parataxis//6 inom//PP//case//66 parentes//NN|UTR|SIN|IND|NOM//obl//64 .//MAD//punct//6
5.1 Bakgrund;De//DT|UTR/NEU|PLU|DEF//det//1 regler//NN|UTR|PLU|IND|NOM//nsubj//21 i//PP//case//3 EG-fördraget//NN|NEU|SIN|DEF|NOM//nmod//1 som//HP|-|-|-//nsubj//8 här//AB//advmod//8 är//VB|PRS|AKT//cop//8 av//PP//case//8 betydelse//NN|UTR|SIN|IND|NOM//nmod//1 är//VB|PRS|AKT//cop//1 bl.a.//AB|AN//advmod//11 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//1 om//PP//case//14 fri//JJ|POS|UTR|SIN|IND|NOM//amod//14 rörlighet//NN|UTR|SIN|IND|NOM//nmod//11 för//PP//case//16 personer//NN|UTR|PLU|IND|NOM//nmod//14 och//KN//cc//18 tjänster//NN|UTR|PLU|IND|NOM//conj//16 .//MAD//punct//1
5.1 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//21 gäller//VB|PRS|AKT//ROOT//21 närmare//AB|KOM//advmod//23 bestämt//PC|PRF|NEU|SIN|IND|NOM//amod//24 artiklarna//NN|UTR|PLU|DEF|NOM//obj//21 om//PP//case//26 etableringsrätt//NN|UTR|SIN|IND|NOM//nmod//24 ,//MID//punct//24 främst//AB|SUV//advmod//30 artiklarna//NN|UTR|PLU|DEF|NOM//nmod//30 43//RG|NOM//appos//24 (//PAD//punct//21 f.d.//JJ|AN//parataxis//21 52//RG|NOM//nummod//32 )//PAD//punct//21 och//KN//cc//36 46//RG|NOM//conj//21 (//PAD//punct//36 f.d.//JJ|AN//amod//39 56//RG|NOM//appos//36 )//PAD//punct//36 ,//MID//punct//21 och//KN//cc//44 om//PP//case//44 tjänster//NN|UTR|PLU|IND|NOM//conj//21 ,//MID//punct//44 främst//AB|SUV//advmod//48 artiklarna//NN|UTR|PLU|DEF|NOM//nmod//48 49//RG|NOM//appos//44 (//PAD//punct//48 f.d.//JJ|AN//amod//51 59//RG|NOM//nummod//48 )//PAD//punct//44 och//KN//cc//54 55//RG|NOM//conj//44 (//PAD//punct//44 f.d.//JJ|AN//appos//44 66//RG|NOM//obj//56 )//PAD//punct//44 .//MAD//punct//21
5.1 Bakgrund;Artiklarna//NN|UTR|PLU|DEF|NOM//nsubj//61 innebär//VB|PRS|AKT//parataxis//21 i//PP//case//63 princip//NN|UTR|SIN|IND|NOM//obl//61 att//SN//mark//68 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//68 inte//AB//advmod//68 skall//VB|PRS|AKT//aux//68 finnas//VB|INF|SFO//ccomp//61 några//DT|UTR/NEU|PLU|IND//det//70 inskränkningar//NN|UTR|PLU|IND|NOM//nsubj//68 för//PP//case//72 medborgare//NN|UTR|PLU|IND|NOM//nmod//70 i//PP//case//75 en//DT|UTR|SIN|IND//det//75 medlemsstat//NN|UTR|SIN|IND|NOM//nmod//70 att//IE//mark//78 fritt//AB|POS//advmod//78 etablera//VB|INF|AKT//acl//75 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//78 eller//KN//cc//81 tillhandahålla//VB|INF|AKT//conj//78 tjänster//NN|UTR|PLU|IND|NOM//obj//81 på//PP//case//87 en//DT|UTR|SIN|IND//det//86 annan//JJ|POS|UTR|SIN|IND|NOM//amod//86 medlemsstats//NN|UTR|SIN|IND|GEN//nmod:poss//87 territorium//NN|NEU|SIN|IND|NOM//nmod//82 .//MAD//punct//78
5.1 Bakgrund;Av//PP//case//90 betydelse//NN|UTR|SIN|IND|NOM//obl//78 är//VB|PRS|AKT//cop//93 vidare//AB|KOM//advmod//91 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//21 om//PP//case//95 förbud//NN|NEU|SIN|IND|NOM//nmod//93 mot//PP//case//98 snedvriden//PC|PRF|UTR|SIN|IND|NOM//nmod//98 konkurrens//NN|UTR|SIN|IND|NOM//nmod//95 (//PAD//punct//101 inbördes//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//101 avtal//NN|NEU|SIN|IND|NOM//appos//98 och//KN//cc//103 missbruk//NN|NEU|SIN|IND|NOM//conj//101 av//PP//case//106 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//106 ställning//NN|UTR|SIN|IND|NOM//nmod//103 )//PAD//punct//101 i//PP//case//110 artiklarna//NN|UTR|PLU|DEF|NOM//nmod//110 81//RG|NOM//nmod//93 (//PAD//punct//93 f.d.//JJ|AN//appos//93 85//RG|NOM//obj//112 )//PAD//punct//93 och//KN//cc//116 82//RG|NOM//conj//93 (//PAD//punct//116 f.d.//JJ|AN//appos//116 86//RG|NOM//obj//118 )//PAD//punct//116 .//MAD//punct//21
5.1 Bakgrund;Med//PP//case//125 hänsyn//NN|UTR|SIN|IND|NOM//fixed//122 till//PP//fixed//122 uppbyggnaden//NN|UTR|SIN|DEF|NOM//obl//132 av//PP//case//129 den//DT|UTR|SIN|DEF//det//129 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//129 spelmarknaden//NN|UTR|SIN|DEF|NOM//nmod//125 är//VB|PRS|AKT//cop//132 de//DT|UTR/NEU|PLU|DEF//det//132 regler//NN|UTR|PLU|IND|NOM//obl//21 som//HP|-|-|-//nsubj//134 tar//VB|PRS|AKT//acl:relcl//132 sikte//NN|NEU|SIN|IND|NOM//obj//134 på//PP//case//138 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//138 monopol//NN|NEU|PLU|IND|NOM//obl//134 och//KN//cc//140 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//138 av//PP//case//143 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//143 intresse//NN|NEU|SIN|IND|NOM//nmod//140 .//MAD//punct//21
5.1 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//146 gäller//VB|PRS|AKT//parataxis//21 bl.a.//AB|AN//advmod//146 artikel//NN|UTR|SIN|IND|NOM//nmod//149 31//RG|NOM//obl//146 (//PAD//punct//149 f.d.//JJ|AN//appos//146 37//RG|NOM//obj//151 )//PAD//punct//146 ,//MID//punct//146 som//HP|-|-|-//nsubj//156 handlar//VB|PRS|AKT//acl:relcl//146 om//PP//case//159 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//159 handelsmonopol//NN|NEU|PLU|IND|NOM//obl//156 och//KN//cc//161 artikel//NN|UTR|SIN|IND|NOM//nmod//162 86//RG|NOM//nmod//159 (//PAD//punct//146 f.d.//JJ|AN//appos//146 90//RG|NOM//obj//164 )//PAD//punct//146 ,//MID//punct//146 som//HP|-|-|-//nsubj//169 handlar//VB|PRS|AKT//acl:relcl//146 om//PP//case//172 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//172 företag//NN|NEU|PLU|IND|NOM//obl//169 och//KN//cc//174 företag//NN|NEU|PLU|IND|NOM//conj//172 som//HP|-|-|-//obl//177 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//177 beviljar//VB|PRS|AKT//acl:relcl//174 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//181 eller//KN//cc//180 exklusiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//178 rättigheter//NN|UTR|PLU|IND|NOM//obj//177 .//MAD//punct//21
5.1 Bakgrund;Artiklarna//NN|UTR|PLU|DEF|NOM//nsubj//184 föreskriver//VB|PRS|AKT//parataxis//21 i//PP//case//186 princip//NN|UTR|SIN|IND|NOM//obl//184 att//SN//mark//193 en//DT|UTR|SIN|IND//det//189 anpassning//NN|UTR|SIN|IND|NOM//nsubj//193 av//PP//case//191 monopolen//NN|NEU|PLU|DEF|NOM//nmod//189 skall//VB|PRS|AKT//aux//193 ske//VB|INF|AKT//csubj//21 så//AB//advmod//193 att//SN//mark//198 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//197 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//198 bedrivs//VB|PRS|SFO//advcl//193 i//PP//case//203 enlighet//NN|UTR|SIN|IND|NOM//fixed//199 med//PP//fixed//199 fördragets//NN|NEU|SIN|DEF|GEN//nmod:poss//203 regler//NN|UTR|PLU|IND|NOM//obl//198 .//MAD//punct//21
5.1 Bakgrund;I//PP//case//207 detta//DT|NEU|SIN|DEF//det//207 sammanhang//NN|NEU|SIN|IND|NOM//obl//210 bör//VB|PRS|AKT//aux//210 slutligen//AB//advmod//210 pekas//VB|INF|SFO//conj//21 på//PP//case//213 artikel//NN|UTR|SIN|IND|NOM//nmod//213 295//RG|NOM//obl//210 (//PAD//punct//21 f.d.//JJ|AN//parataxis//21 222//RG|NOM//obj//215 )//PAD//punct//215 som//HP|-|-|-//nsubj//219 anger//VB|PRS|AKT//acl:cleft//21 att//SN//mark//227 fördraget//NN|NEU|SIN|DEF|NOM//nsubj//227 inte//AB//advmod//227 i//PP//case//225 något//DT|NEU|SIN|IND//det//225 hänseende//NN|NEU|SIN|IND|NOM//obl//227 skall//VB|PRS|AKT//aux//227 ingripa//VB|INF|AKT//ccomp//219 i//PP//case//230 medlemsstaternas//NN|UTR|PLU|DEF|GEN//nmod:poss//230 egendomsordning//NN|UTR|SIN|IND|NOM//obl//227 .//MAD//punct//21
5.1 Bakgrund;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//233 återkommer//VB|PRS|AKT//parataxis//21 till//PP//case//237 den//DT|UTR|SIN|DEF//det//237 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//237 innebörden//NN|UTR|SIN|DEF|NOM//obl//233 av//PP//case//239 artiklarna//NN|UTR|PLU|DEF|NOM//nmod//237 i//PP//case//242 det//DT|NEU|SIN|DEF//det//242 följande//NN|NEU|SIN|IND|NOM//nmod//239 och//KN//cc//244 lämnar//VB|PRS|AKT//conj//233 då//AB//advmod//244 också//AB//advmod//244 en//DT|UTR|SIN|IND//det//249 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//249 redogörelse//NN|UTR|SIN|IND|NOM//obj//244 för//PP//case//252 övrig//JJ|POS|UTR|SIN|IND|NOM//amod//252 EG-rätt//NN|UTR|SIN|IND|NOM//nmod//249 av//PP//case//254 intresse//NN|NEU|SIN|IND|NOM//nmod//252 .//MAD//punct//233
5.1 Bakgrund;Som//KN//case//257 bakgrund//NN|UTR|SIN|IND|NOM//obl//264 till//PP//case//260 den//DT|UTR|SIN|DEF//det//260 redogörelsen//NN|UTR|SIN|DEF|NOM//nmod//257 kan//VB|PRS|AKT//aux//264 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//264 vara//VB|INF|AKT//cop//264 lämpligt//JJ|POS|NEU|SIN|IND|NOM//conj//233 att//IE//mark//268 först//AB//advmod//267 kort//AB//advmod//268 beröra//VB|INF|AKT//csubj//264 de//DT|UTR/NEU|PLU|DEF//det//271 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//271 regler//NN|UTR|PLU|IND|NOM//obj//268 på//PP//case//273 lotteriområdet//NN|NEU|SIN|DEF|NOM//obl//268 som//HP|-|-|-//nsubj//276 kan//VB|PRS|AKT//aux//276 komma//VB|INF|AKT//acl:relcl//273 i//PP//compound:prt//276 konflikt//NN|UTR|SIN|IND|NOM//fixed//277 med//PP//case//280 EG-rätten//NN|UTR|SIN|DEF|NOM//obl//276 .//MAD//punct//233
5.1 Bakgrund;En//DT|UTR|SIN|IND//det//2 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 princip//NN|UTR|SIN|IND|NOM//nsubj//17 i//PP//case//6 den//DT|UTR|SIN|DEF//det//6 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 lotterilagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//2 har//VB|PRS|AKT//aux//17 sedan//PP//mark//17 länge//AB|POS//advmod//17 varit//VB|SUP|AKT//cop//17 att//SN//mark//17 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 vinstintressen//NN|UTR|SIN|DEF|NOM//nsubj//17 inte//AB//advmod//17 skall//VB|PRS|AKT//aux//17 få//VB|INF|AKT//aux//17 styra//VB|INF|AKT//ROOT//17 lotterimarknaden//NN|UTR|SIN|DEF|NOM//obj//17 utan//PP//mark//23 att//SN//mark//23 denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//23 skall//VB|PRS|AKT//aux//23 förbehållas//VB|INF|SFO//advcl//17 det//DT|NEU|SIN|DEF//det//28 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 eller//KN//cc//27 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//25 ändamål//NN|NEU|PLU|IND|NOM//obj//23 .//MAD//punct//17
5.1 Bakgrund;Lotterimarknaden//NN|UTR|SIN|DEF|NOM//nsubj//36 är//VB|PRS|AKT//cop//36 i//PP//advmod//36 enlighet//NN|UTR|SIN|IND|NOM//fixed//32 härmed//AB//fixed//32 f.n.//AB|AN//advmod//36 uppdelad//PC|PRF|UTR|SIN|IND|NOM//parataxis//17 på//PP//case//39 tre//RG|NOM//nummod//39 huvudaktörer//NN|UTR|PLU|IND|NOM//obl//36 ,//MID//punct//39 nämligen//AB//advmod//39 det//DT|NEU|SIN|DEF//det//44 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 spelbolaget//NN|NEU|SIN|DEF|NOM//nmod//45 AB//PM|NOM//punct//39 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//47 Spel//NN|NEU|SIN|IND|NOM//obl//36 ,//MID//punct//36 det//PN|NEU|SIN|DEF|SUB/OBJ//appos//36 av//PP//case//51 staten//NN|UTR|SIN|DEF|NOM//nmod//49 och//KN//cc//53 hästsportsorganisationerna//NN|UTR|PLU|DEF|NOM//conj//51 samägda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//55 AB//PM|NOM//nmod//53 Trav//NN|NEU|SIN|IND|NOM//flat:name//55 och//KN//cc//58 Galopp//NN|UTR|SIN|IND|NOM//conj//55 (//PAD//punct//60 ATG//PM|NOM//appos//58 )//PAD//punct//60 samt//KN//cc//64 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 föreningar//NN|UTR|PLU|IND|NOM//conj//55 med//PP//case//66 syfte//NN|NEU|SIN|IND|NOM//nmod//64 att//IE//mark//68 främja//VB|INF|AKT//acl//64 allmännyttigt//JJ|POS|NEU|SIN|IND|NOM//amod//70 ändamål//NN|NEU|SIN|IND|NOM//obj//68 inom//PP//case//72 landet//NN|NEU|SIN|DEF|NOM//obl//68 .//MAD//punct//36
5.1 Bakgrund;Privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 vinstintressen//NN|NEU|PLU|IND|NOM//nsubj//77 är//VB|PRS|AKT//cop//77 tillåtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//36 endast//AB//advmod//82 i//PP//case//82 mycket//AB|POS//advmod//81 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//82 omfattning//NN|UTR|SIN|IND|NOM//obl//77 .//MAD//punct//36
5.1 Bakgrund;Så//AB//advmod//86 är//VB|PRS|AKT//cop//86 fallet//NN|NEU|SIN|DEF|NOM//conj//36 i//PP//case//91 fråga//NN|UTR|SIN|IND|NOM//fixed//87 om//PP//fixed//87 visst//JJ|POS|NEU|SIN|IND|NOM//amod//91 automatspel//NN|NEU|SIN|IND|NOM//nmod//86 ,//MID//punct//93 restaurangkasinon//NN|UTR|SIN|IND|NOM//conj//91 –//RG|NOM//punct//93 dvs.//AB|AN//advmod//96 roulettspel//NN|NEU|SIN|IND|NOM//appos//91 ,//MID//punct//98 tärningsspel//NN|NEU|SIN|IND|NOM//conj//96 och//KN//cc//100 kortspel//NN|NEU|SIN|IND|NOM//conj//96 –//RG|NOM//punct//103 samt//KN//cc//103 marknads-//NN|UTR|-|-|SMS//conj//96 och//KN//cc//105 tivolinöjen//NN|UTR|SIN|DEF|NOM//conj//103 .//MAD//punct//36
5.1 Bakgrund;Spel-//NN|UTR|-|-|SMS//nsubj//8 och//KN//cc//2 lotteriverksamheten//NN|UTR|SIN|DEF|NOM//conj//0 är//VB|PRS|AKT//cop//8 således//AB//advmod//8 i//PP//advmod//7 huvudsak//NN|UTR|SIN|IND|NOM//fixed//5 förbehållen//PC|PRF|UTR|SIN|IND|NOM//amod//8 staten//NN|UTR|SIN|DEF|NOM//ROOT//8 och//KN//cc//10 folkrörelserna//NN|UTR|PLU|DEF|NOM//conj//8 .//MAD//punct//8
5.1 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//19 är//VB|PRS|AKT//cop//19 i//PP//case//15 praktiken//NN|UTR|SIN|DEF|NOM//obl//19 till//PP//case//18 stor//JJ|POS|UTR|SIN|IND|NOM//amod//18 del//NN|UTR|SIN|IND|NOM//obl//19 fråga//NN|UTR|SIN|IND|NOM//parataxis//8 om//PP//case//22 en//DT|UTR|SIN|IND//det//22 monopolsituation//NN|UTR|SIN|IND|NOM//obl//19 .//MAD//punct//19
5.1 Bakgrund;När//HA//mark//32 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//24 gäller//VB|PRS|AKT//fixed//24 AB//PM|NOM//fixed//24 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 Spel//NN|NEU|SIN|IND|NOM//fixed//24 och//KN//cc//31 ATG//PM|NOM//conj//29 har//VB|PRS|AKT//advcl//19 situationen//NN|UTR|SIN|DEF|NOM//nsubj//32 lagstiftningsmässigt//AB|POS//advmod//32 endast//AB//advmod//32 till//PP//case//38 liten//JJ|POS|UTR|SIN|IND|NOM//amod//38 del//NN|UTR|SIN|IND|NOM//nmod//40 sin//PS|UTR|SIN|DEF//nmod:poss//40 grund//NN|UTR|SIN|IND|NOM//obj//32 i//PP//case//43 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//43 regler//NN|UTR|PLU|IND|NOM//obl//32 som//HP|-|-|-//nsubj//45 tillerkänner//VB|PRS|AKT//acl:relcl//43 bolagen//NN|NEU|PLU|DEF|NOM//obj//45 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//50 eller//KN//cc//49 exklusiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//47 rättigheter//NN|UTR|PLU|IND|NOM//obj//45 .//MAD//punct//19
5.1 Bakgrund;Bolagen//NN|NEU|PLU|DEF|NOM//nsubj//56 har//VB|PRS|AKT//aux//56 i//PP//advmod//56 stället//NN|NEU|SIN|DEF|NOM//fixed//54 fått//VB|SUP|AKT//parataxis//19 dessa//DT|UTR/NEU|PLU|DEF//det//58 rättigheter//NN|UTR|PLU|IND|NOM//obj//56 genom//PP//case//60 beslut//NN|NEU|SIN|IND|NOM//obl//56 av//PP//case//62 regeringen//NN|UTR|SIN|DEF|NOM//nmod//60 med//PP//case//64 stöd//NN|NEU|SIN|IND|NOM//nmod//62 av//PP//case//68 45//RG|NOM//nummod//67 §//NN|AN//nmod//68 lotterilagen//NN|UTR|SIN|DEF|NOM//nmod//64 .//MAD//punct//56
5.1 Bakgrund;Enligt//PP//case//71 lagrummet//NN|NEU|SIN|DEF|NOM//obl//74 får//VB|PRS|AKT//aux//74 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//74 meddela//VB|INF|AKT//conj//19 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//76 tillstånd//NN|NEU|SIN|IND|NOM//obj//74 att//IE//mark//78 anordna//VB|INF|AKT//acl//76 lotteri//NN|NEU|SIN|IND|NOM//obj//78 i//PP//case//82 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 fall//NN|NEU|PLU|IND|NOM//obl//78 och//KN//cc//86 i//PP//case//86 annan//JJ|POS|UTR|SIN|IND|NOM//amod//86 ordning//NN|UTR|SIN|IND|NOM//conj//76 än//KN//mark//89 som//HP|-|-|-//nsubj:pass//89 anges//VB|PRS|SFO//acl//86 i//PP//case//91 lagen//NN|UTR|SIN|DEF|NOM//obl//89 .//MAD//punct//19
5.1 Bakgrund;Merparten//NN|UTR|SIN|DEF|NOM//appos//19 av//PP//case//95 AB//PM|NOM//nmod//93 Svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 Spels//PM|GEN//nmod:poss//98 spelrättigheter//NN|UTR|PLU|IND|NOM//nmod//93 –//RG|NOM//punct//93 t.ex.//AB|AN//advmod//101 tips//NN|NEU|PLU|IND|NOM//appos//93 och//KN//cc//103 lotto//NN|NEU|SIN|IND|NOM//conj//101 –//RG|NOM//punct//93 och//KN//cc//107 samtliga//PN|UTR/NEU|PLU|IND|SUB/OBJ//amod//107 ATG//PM|NOM//conj//93 ://MID//punct//107 s//NN|AN//case//110 spelrättigheter//NN|UTR|PLU|IND|NOM//nmod//107 grundar//VB|PRS|AKT//conj//19 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//111 på//PP//case//114 tillstånd//NN|NEU|SIN|IND|NOM//obl//111 enligt//PP//case//117 45//RG|NOM//nummod//117 §//NN|AN//obl//111 .//MAD//punct//19
