16.1 Uppdraget;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//6 till//PP//case//3 Trafikförsäkringsutredningen//NN|UTR|SIN|DEF|NOM//nmod//1 ska//VB|PRS|AKT//aux//6 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//6 belysa//VB|INF|AKT//ROOT//6 situationen//NN|UTR|SIN|DEF|NOM//obj//6 särskilt//AB//advmod//6 för//PP//case//11 oförsäkrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 fordonsägare//NN|UTR|PLU|IND|NOM//obl//6 samt//KN//cc//13 föreslå//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//15 ändringar//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj:pass//17 anses//VB|PRS|SFO//acl:relcl//15 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//17 för//PP//mark//26 att//SN//mark//26 antalet//NN|NEU|SIN|DEF|NOM//det//23 oförsäkrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 fordonsägare//NN|UTR|PLU|IND|NOM//nsubj//26 inte//AB//advmod//26 ska//VB|PRS|AKT//aux//26 öka//VB|INF|AKT//advcl//17 .//MAD//punct//6
16.2 Trafikförsäkringsplikten;Genom//PP//case//60 en//DT|UTR|SIN|IND//det//60 anmälan//NN|UTR|SIN|IND|NOM//obl//9 till//PP//case//62 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//nmod//60 kan//VB|PRS|AKT//aux//65 ägaren//NN|UTR|SIN|DEF|NOM//nsubj//65 få//VB|INF|AKT//ROOT//65 sitt//PS|NEU|SIN|DEF//nmod:poss//67 fordon//NN|NEU|SIN|IND|NOM//obj//65 avregistrerat//PC|PRF|NEU|SIN|IND|NOM//xcomp//65 .//MID//punct//65
16.2 Trafikförsäkringsplikten;Även//AB//advmod//72 en//DT|UTR|SIN|IND//det//72 avregistrering//NN|UTR|SIN|IND|NOM//nsubj//73 medför//VB|PRS|AKT//parataxis//65 att//SN//mark//76 försäkringsplikten//NN|UTR|SIN|DEF|NOM//nsubj//76 upphör//VB|PRS|AKT//ccomp//73 .//MAD//punct//65
16.2 Trafikförsäkringsplikten;Både//KN//cc//79 avställning//NN|UTR|SIN|IND|NOM//nsubj//82 och//KN//cc//81 avregistrering//NN|UTR|SIN|IND|NOM//conj//79 får//VB|PRS|AKT//conj//65 verkan//NN|UTR|SIN|IND|NOM//obj//82 från//PP//advmod//82 och//KN//fixed//84 med//PP//case//88 den//DT|UTR|SIN|DEF//det//88 dag//NN|UTR|SIN|IND|NOM//fixed//84 då//HA//advmod//93 en//DT|UTR|SIN|IND//det//92 fullständig//JJ|POS|UTR|SIN|IND|NOM//amod//92 anmälan//NN|UTR|SIN|IND|NOM//nsubj//93 kommer//VB|PRS|AKT//advcl//82 in//PL//compound:prt//93 till//PP//case//96 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//obl//93 .//MAD//punct//65
16.2 Trafikförsäkringsplikten;Anmälan//NN|UTR|SIN|IND|NOM//nsubj:pass//104 om//PP//case//100 avregistrering//NN|UTR|SIN|IND|NOM//nmod//98 och//KN//cc//102 avställning//NN|UTR|SIN|IND|NOM//conj//100 ska//VB|PRS|AKT//aux//104 göras//VB|INF|SFO//conj//65 skriftligen//AB//advmod//104 på//PP//case//107 registreringsbeviset//NN|NEU|SIN|DEF|NOM//obl//104 i//PP//case//109 original//NN|NEU|SIN|IND|NOM//obl//104 .//MAD//punct//104
16.2 Trafikförsäkringsplikten;Avställning//NN|UTR|SIN|IND|NOM//nsubj:pass//113 kan//VB|PRS|AKT//aux//113 göras//VB|INF|SFO//conj//65 även//AB//advmod//115 elektroniskt//JJ|POS|NEU|SIN|IND|NOM//advmod//113 eller//KN//cc//118 per//PP//case//118 knapptelefon//NN|UTR|SIN|IND|NOM//conj//115 ,//MID//punct//113 8//RG|NOM//nummod//121 kap//NN|AN//appos//113 2//RG|NOM//nummod//123 §//NN|AN//nmod//124 förordningen//NN|UTR|SIN|DEF|NOM//nmod//121 (//PAD//punct//124 2001:650//RG|NOM//appos//124 )//PAD//punct//124 om//PP//case//129 vägtrafikregister//NN|UTR|PLU|IND|NOM//nmod//124 .//MAD//punct//65
16.2 Trafikförsäkringsplikten;Vid//PP//case//1 bilköp//NN|NEU|SIN|IND|NOM//obl//6 är//VB|PRS|AKT//cop//6 den//DT|UTR|SIN|DEF//det//5 nye//JJ|POS|MAS|SIN|DEF|NOM//amod//5 ägaren//NN|UTR|SIN|DEF|NOM//nsubj//6 skyldig//JJ|POS|UTR|SIN|IND|NOM//ROOT//6 att//IE//mark//8 teckna//VB|INF|AKT//xcomp//6 trafikförsäkring//NN|UTR|SIN|IND|NOM//obj//8 samma//DT|UTR/NEU|SIN/PLU|IND//det//11 dag//NN|UTR|SIN|IND|NOM//obj//8 som//HA//obj//14 ägarbytet//NN|NEU|SIN|DEF|NOM//nsubj//14 sker//VB|PRS|AKT//acl:relcl//11 .//MAD//punct//6
16.2 Trafikförsäkringsplikten;Den//DT|UTR|SIN|DEF//det//18 registrerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//18 ägaren//NN|UTR|SIN|DEF|NOM//appos//6 och//KN//cc//22 förvärvaren//NN|UTR|SIN|DEF|NOM//nsubj//22 är//VB|PRS|AKT//cop//22 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//18 att//IE//mark//24 anmäla//VB|INF|AKT//acl//22 ägarbytet//NN|NEU|SIN|DEF|NOM//obj//24 till//PP//case//27 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//obl//24 .//MID//punct//6
16.2 Trafikförsäkringsplikten;Den//DT|UTR|SIN|DEF//det//31 nye//JJ|POS|MAS|SIN|DEF|NOM//amod//31 ägaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//32 registreras//VB|PRS|SFO//parataxis//6 från//PP//case//37 och//KN//fixed//33 med//PP//case//37 den//DT|UTR|SIN|DEF//det//37 dag//NN|UTR|SIN|IND|NOM//obl//32 som//HP|-|-|-//nsubj:pass//39 anges//VB|PRS|SFO//acl:relcl//37 i//PP//case//41 anmälan//NN|UTR|SIN|IND|NOM//obl//39 .//MAD//punct//6
16.2 Trafikförsäkringsplikten;Om//SN//mark//47 en//DT|UTR|SIN|IND//det//45 anmälan//NN|UTR|SIN|IND|NOM//nsubj//47 inte//AB//advmod//47 kommit//VB|SUP|AKT//advcl//64 in//PL//compound:prt//47 till//PP//case//50 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//obl//47 inom//PP//case//53 tio//RG|NOM//nummod//53 dagar//NN|UTR|PLU|IND|NOM//obl//47 från//PP//case//56 angiven//PC|PRF|UTR|SIN|IND|NOM//amod//56 dag//NN|UTR|SIN|IND|NOM//nmod//53 för//PP//case//58 ägarbytet//NN|NEU|SIN|DEF|NOM//obl//47 ,//MID//punct//64 ska//VB|PRS|AKT//aux//64 den//DT|UTR|SIN|DEF//det//63 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 ägaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//64 registreras//VB|PRS|SFO//advcl//6 först//AB//advmod//64 från//PP//case//70 och//KN//fixed//66 med//PP//fixed//66 den//DT|UTR|SIN|DEF//det//70 dag//NN|UTR|SIN|IND|NOM//obl//64 då//HA//advmod//73 anmälan//NN|UTR|SIN|DEF|NOM//nsubj//73 kom//VB|PRT|AKT//acl:relcl//70 in//PL//compound:prt//73 ,//MID//punct//6 se//VB|IMP|AKT//parataxis//6 10//RG|NOM//nummod//78 kap.//NN|AN//obl//76 2//RG|NOM//nummod//80 §//NN|AN//nmod//81 förordningen//NN|UTR|SIN|DEF|NOM//obj//76 om//PP//case//83 vägtrafikregister//NN|UTR|PLU|IND|NOM//nmod//81 .//MAD//punct//6
16.2 Trafikförsäkringsplikten;I//PP//case//87 de//DT|UTR/NEU|PLU|DEF//det//87 fall//NN|NEU|PLU|IND|NOM//obl//91 där//HA//advmod//90 tidsfristen//NN|UTR|SIN|DEF|NOM//nsubj:pass//90 överskrids//VB|PRS|SFO//advcl//91 blir//VB|PRS|AKT//parataxis//6 konsekvensen//NN|UTR|SIN|DEF|NOM//nsubj//91 alltså//AB//advmod//91 att//SN//mark//98 den//DT|UTR|SIN|DEF//det//97 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//97 ägaren//NN|UTR|SIN|DEF|NOM//nsubj//98 står//VB|PRS|AKT//csubj//91 kvar//PL//compound:prt//98 i//PP//case//101 vägtrafikregistret//NN|NEU|SIN|DEF|NOM//obl//98 någon//DT|UTR|SIN|IND//det//103 tid//NN|UTR|SIN|IND|NOM//obl//98 .//MID//punct//91
16.2 Trafikförsäkringsplikten;Hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//106 trafikförsäkring//NN|UTR|SIN|IND|NOM//nsubj//107 upphör//VB|PRS|AKT//parataxis//91 med//PP//case//109 automatik//NN|UTR|SIN|IND|NOM//obl//107 först//AB//advmod//113 när//HA//mark//113 ägarbytet//NN|NEU|SIN|DEF|NOM//nsubj:pass//113 registrerats//VB|SUP|SFO//advcl//107 .//MAD//punct//6
16.2 Trafikförsäkringsplikten;Försäkringsbolaget//NN|NEU|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 kontraheringsplikt//NN|UTR|SIN|IND|NOM//obj//1 och//KN//cc//7 kan//VB|PRS|AKT//aux//7 alltså//AB//advmod//7 inte//AB//advmod//7 vägra//VB|INF|AKT//conj//1 att//IE//mark//9 teckna//VB|INF|AKT//xcomp//7 en//DT|UTR|SIN|IND//det//11 försäkring//NN|UTR|SIN|IND|NOM//obj//9 även//AB//mark//17 om//SN//fixed//12 försäkringstagaren//NN|UTR|SIN|DEF|NOM//nsubj//17 inte//AB//advmod//17 är//VB|PRS|AKT//cop//17 registrerad//PC|PRF|UTR|SIN|IND|NOM//advcl//9 som//KN//case//19 ägare//NN|UTR|SIN|IND|NOM//obl//17 .//MAD//punct//1
16.2 Trafikförsäkringsplikten;En//DT|UTR|SIN|IND//det//22 försäkring//NN|UTR|SIN|IND|NOM//nsubj:pass//30 som//HP|-|-|-//nsubj:pass//24 tecknats//VB|SUP|SFO//acl:relcl//22 av//PP//case//27 någon//DT|UTR|SIN|IND//det//27 annan//JJ|POS|UTR|SIN|IND|NOM//obl//24 kan//VB|PRS|AKT//aux//30 inte//AB//advmod//30 åberopas//VB|INF|SFO//parataxis//1 med//PP//case//33 befriande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 verkan//NN|UTR|SIN|IND|NOM//obl//30 av//PP//case//35 ägaren//NN|UTR|SIN|DEF|NOM//nmod//33 .//MAD//punct//1
16.2 Trafikförsäkringsplikten;I//PP//case//3 fråga//NN|UTR|SIN|IND|NOM//fixed//0 om//PP//case//3 fordon//NN|NEU|PLU|IND|NOM//obl//11 som//HP|-|-|-//nsubj//6 är//VB|PRS|AKT//cop//6 trafikförsäkringspliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//3 men//KN//cc//9 som//HP|-|-|-//nsubj//9 saknar//VB|PRS|AKT//conj//6 trafikförsäkring//NN|UTR|SIN|IND|NOM//obj//9 svarar//VB|PRS|AKT//ROOT//11 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//13 försäkringsbolag//NN|NEU|PLU|IND|NOM//obj//11 som//HP|-|-|-//nsubj//18 vid//PP//case//16 skadetillfället//NN|NEU|SIN|DEF|NOM//obl//18 hade//VB|PRT|AKT//aux//18 tillstånd//NN|NEU|SIN|IND|NOM//acl:relcl//13 att//IE//mark//20 meddela//VB|INF|AKT//acl//18 trafikförsäkring//NN|UTR|SIN|IND|NOM//obj//20 solidariskt//AB|POS//advmod//20 för//PP//case//25 den//DT|UTR|SIN|DEF//det//25 trafikskadeersättning//NN|UTR|SIN|IND|NOM//obl//20 som//HP|-|-|-//nsubj//29 skulle//VB|PRT|AKT//aux//29 ha//VB|INF|AKT//aux//29 utgått//VB|SUP|AKT//acl:relcl//25 ,//MID//punct//13 om//SN//mark//34 försäkring//NN|UTR|SIN|IND|NOM//nsubj//34 hade//VB|PRT|AKT//aux//34 funnits//VB|SUP|SFO//acl//13 ,//MID//punct//34 16//RG|NOM//nummod//37 §//NN|AN//nmod//40 andra//RO|NOM//amod//39 stycket//NN|NEU|SIN|DEF|NOM//nmod//40 trafikskadelagen//NN|UTR|SIN|DEF|NOM//obl//34 .//MAD//punct//11
16.2 Trafikförsäkringsplikten;Försäkringsbolagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//43 företräds//VB|PRS|SFO//parataxis//11 i//PP//case//46 dessa//DT|UTR/NEU|PLU|DEF//det//46 fall//NN|NEU|PLU|IND|NOM//obl//43 av//PP//case//48 Trafikförsäkringsföreningen//NN|UTR|SIN|DEF|NOM//nmod//46 ,//MID//punct//48 33//RG|NOM//nummod//51 §//NN|AN//nmod//52 trafikskadelagen//NN|UTR|SIN|DEF|NOM//appos//48 .//MAD//punct//43
16.2 Trafikförsäkringsplikten;Regler//NN|UTR|PLU|IND|NOM//nsubj//3 om//PP//case//2 premiebetalning//NN|UTR|SIN|IND|NOM//nmod//0 finns//VB|PRS|SFO//advcl//38 i//PP//case//6 5//RG|NOM//nummod//6 kap.//NN|AN//obl//3 1//RG|NOM//nummod//8 §//NN|AN//nmod//9 försäkringsavtalslagen//NN|UTR|SIN|DEF|NOM//obl//3 (//PAD//punct//11 2005:104//RG|NOM//appos//9 )//PAD//punct//11 .//MAD//punct//9
16.2 Trafikförsäkringsplikten;Första//RO|NOM//amod//15 premien//NN|UTR|SIN|DEF|NOM//nsubj:pass//17 ska//VB|PRS|AKT//aux//17 betalas//VB|INF|SFO//acl:relcl//9 inom//PP//case//20 fjorton//RG|NOM//nummod//20 dagar//NN|UTR|PLU|IND|NOM//obl//17 och//KN//cc//23 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 premie//NN|UTR|SIN|IND|NOM//conj//20 inom//PP//case//26 en//DT|UTR|SIN|IND//det//26 månad//NN|UTR|SIN|IND|NOM//nmod//23 efter//PP//case//29 den//DT|UTR|SIN|DEF//det//29 dag//NN|UTR|SIN|IND|NOM//obl//17 då//HA//advmod//29 försäkringsbolaget//NN|NEU|SIN|DEF|NOM//nsubj//32 aviserade//VB|PRT|AKT//amod//33 premien//NN|UTR|SIN|DEF|NOM//nmod//29 .//MAD//punct//9
16.2 Trafikförsäkringsplikten;Vid//PP//case//37 underlåten//PC|PRF|UTR|SIN|IND|NOM//amod//37 premiebetalning//NN|UTR|SIN|IND|NOM//obl//38 sänder//VB|PRS|AKT//ROOT//38 bolaget//NN|NEU|SIN|DEF|NOM//nsubj//38 en//DT|UTR|SIN|IND//det//41 påminnelse//NN|UTR|SIN|IND|NOM//obj//38 som//HP|-|-|-//nsubj//43 innebär//VB|PRS|AKT//acl:relcl//41 att//SN//mark//46 bolaget//NN|NEU|SIN|DEF|NOM//nsubj//46 säger//VB|PRS|AKT//ccomp//43 upp//PL//compound:prt//46 försäkringen//NN|UTR|SIN|DEF|NOM//obj//46 från//PP//case//52 en//DT|UTR|SIN|IND//det//52 viss//JJ|POS|UTR|SIN|IND|NOM//amod//52 dag//NN|UTR|SIN|IND|NOM//obl//46 ,//MID//punct//57 om//SN//mark//57 inte//AB//advmod//57 premien//NN|UTR|SIN|DEF|NOM//nsubj:pass//57 betalas//VB|PRS|SFO//advcl//46 senast//AB|SUV//case//60 den//DT|UTR|SIN|DEF//det//60 dagen//NN|UTR|SIN|DEF|NOM//obl//57 .//MID//punct//57
16.2 Trafikförsäkringsplikten;När//HA//mark//66 en//DT|UTR|SIN|IND//det//64 trafikförsäkring//NN|UTR|SIN|IND|NOM//nsubj//66 har//VB|PRS|AKT//aux//66 upphört//VB|SUP|AKT//advcl//70 att//IE//mark//68 gälla//VB|INF|AKT//xcomp//66 ,//MID//punct//70 avanmäler//VB|PRS|AKT//conj//46 försäkringsbolaget//NN|NEU|SIN|DEF|NOM//nsubj//70 hos//PP//case//73 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//nmod//71 det//DT|NEU|SIN|DEF//obj//70 trafikförsäkringsbevis//NN|NEU|SIN|IND|NOM//obj//70 som//HP|-|-|-//nsubj:pass//77 utfärdades//VB|PRT|SFO//acl:relcl//75 för//PP//case//79 fordonet//NN|NEU|SIN|DEF|NOM//obl//77 när//HA//mark//82 försäkringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//82 tecknades//VB|PRT|SFO//advcl//77 .//MAD//punct//70
16.2 Trafikförsäkringsplikten;Vid//PP//case//85 ägarbyte//NN|NEU|SIN|IND|NOM//obl//90 ,//MID//punct//87 avställning//NN|UTR|SIN|IND|NOM//conj//85 eller//KN//cc//89 avregistrering//NN|UTR|SIN|IND|NOM//conj//85 anses//VB|PRS|SFO//conj//70 beviset//NN|NEU|SIN|DEF|NOM//nsubj:pass//90 automatiskt//AB|POS//advmod//90 som//KN//mark//94 avanmält//VB|SUP|AKT//xcomp//90 ,//MID//punct//90 om//SN//mark//100 någon//DT|UTR|SIN|IND//det//99 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//99 åtgärd//NN|UTR|SIN|IND|NOM//nsubj:pass//100 registreras//VB|PRS|SFO//advcl//90 .//MAD//punct//90
16.2 Trafikförsäkringsplikten;Vid//PP//case//103 avställning//NN|UTR|SIN|IND|NOM//obl//90 ,//MID//punct//103 som//HP|-|-|-//nsubj//107 ju//AB//advmod//107 utgör//VB|PRS|AKT//acl:relcl//103 en//DT|UTR|SIN|IND//det//110 temporär//JJ|POS|UTR|SIN|IND|NOM//amod//110 åtgärd//NN|UTR|SIN|IND|NOM//obj//107 ,//MID//punct//90 registreras//VB|PRS|SFO//conj//46 dock//AB//advmod//112 beviset//NN|NEU|SIN|DEF|NOM//nsubj:pass//112 som//KN//nsubj//116 vilande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//114 och//KN//cc//118 blir//VB|PRS|AKT//conj//46 automatiskt//AB|POS//advmod//118 giltigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//118 igen//AB//advmod//118 när//HA//mark//124 avställningen//NN|UTR|SIN|DEF|NOM//nsubj//124 upphör//VB|PRS|AKT//advcl//118 .//MAD//punct//38


16.3.1 Trafikförsäkringsavgift;I//PP//case//3 34//RG|NOM//nummod//2 §//NN|AN//nmod//3 trafikskadelagen//NN|UTR|SIN|DEF|NOM//obl//4 finns//VB|PRS|SFO//ROOT//4 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//4 om//PP//case//7 trafikförsäkringsavgift//NN|UTR|SIN|IND|NOM//nmod//5 .//MAD//punct//4
