Likvärdigt, rättssäkert och effektivt –  ett nytt nationellt system för kunskapsbedömning ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 prov//NN|NEU|PLU|IND|NOM//nmod//2

Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Examinerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 prov//NN|NEU|SIN|IND|NOM//nsubj//2 övergavs//VB|PRT|SFO//ROOT//2 i//PP//case//4 Sverige//PM|NOM//obl//2 under//PP//case//6 1950-//RG|SMS//obl//2 och//KN//cc//8 1960-talen//NN|NEU|PLU|DEF|NOM//conj//6 till//PP//case//10 förmån//NN|UTR|SIN|IND|NOM//obl//2 för//PP//case//12 prov//NN|NEU|SIN|IND|NOM//nmod//10 som//HP|-|-|-//nsubj//16 mer//AB|KOM//advmod//16 skulle//VB|PRT|AKT//aux//16 fungera//VB|INF|AKT//acl:relcl//12 som//KN//mark//18 stöd//NN|NEU|SIN|IND|NOM//xcomp//16 för//PP//case//21 lärarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//21 betygssättning//NN|UTR|SIN|IND|NOM//obl//16 .//MAD//punct//2
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Övergången//NN|UTR|SIN|DEF|NOM//nsubj//24 byggde//VB|PRT|AKT//conj//2 på//PP//case//27 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//27 insikter//NN|UTR|PLU|IND|NOM//obl//24 om//PP//mark//32 att//SN//mark//32 prov//NN|NEU|SIN|IND|NOM//nsubj//32 är//VB|PRS|AKT//cop//32 osäkra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 instrument//NN|NEU|PLU|IND|NOM//obj//24 för//PP//mark//36 att//IE//mark//36 mäta//VB|INF|AKT//acl//33 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 individers//NN|UTR|PLU|IND|GEN//nmod:poss//40 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 kunskaper//NN|UTR|PLU|IND|NOM//obj//36 .//MAD//punct//24
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Däremot//AB//advmod//24 har//VB|PRS|AKT//conj//2 de//PN|UTR/NEU|PLU|DEF|SUB//det//46 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//46 mätsäkerhet//NN|UTR|SIN|IND|NOM//obj//43 när//HA//case//51 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//47 gäller//VB|PRS|AKT//fixed//47 gruppers//NN|UTR|PLU|IND|GEN//nmod:poss//51 resultat//NN|NEU|PLU|IND|NOM//obl//43 .//MAD//punct//2
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//54 ledde//VB|PRT|AKT//conj//2 till//PP//case//57 en//DT|UTR|SIN|IND//det//57 modell//NN|UTR|SIN|IND|NOM//obl//54 där//HA//advmod//60 provresultaten//NN|UTR|SIN|DEF|NOM//nsubj//60 styrde//VB|PRT|AKT//acl:relcl//57 den//DT|UTR|SIN|DEF//det//63 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 betygsnivån//NN|UTR|SIN|DEF|NOM//obj//60 i//PP//case//66 en//DT|UTR|SIN|IND//det//66 klass//NN|UTR|SIN|IND|NOM//obl//60 även//AB//mark//70 om//SN//fixed//67 läraren//NN|UTR|SIN|DEF|NOM//nsubj//70 hade//VB|PRT|AKT//advcl//60 till//PP//case//72 uppgift//NN|UTR|SIN|IND|NOM//obl//70 att//IE//mark//74 fördela//VB|INF|AKT//acl//72 betygen//NN|NEU|PLU|DEF|NOM//obj//74 .//MAD//punct//54
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Modellen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 tillämpades//VB|PRT|SFO//ROOT//1 ,//MID//punct//1 i//PP//case//5 varje//DT|UTR/NEU|SIN|IND//det//5 fall//NN|NEU|SIN|IND|NOM//obl//1 på//PP//case//7 gymnasienivå//NN|UTR|SIN|IND|NOM//nmod//5 ,//MID//punct//5 tämligen//AB//advmod//10 strikt//AB|POS//advmod//5 under//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//14 relativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 betygens//NN|NEU|PLU|DEF|GEN//nmod:poss//15 tid//NN|UTR|SIN|IND|NOM//obl//10 och//KN//cc//20 fram//AB//advmod//20 till//PP//case//20 1990-talets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 reformer//NN|UTR|PLU|IND|NOM//conj//10 .//MAD//punct//1
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Relationen//NN|UTR|SIN|DEF|NOM//nsubj//33 mellan//PP//case//24 provbetyg//NN|NEU|PLU|IND|NOM//nmod//22 och//KN//cc//26 lärarbetyg//NN|NEU|PLU|IND|NOM//conj//24 var//VB|PRT|AKT//cop//33 under//PP//case//30 denna//DT|UTR|SIN|DEF//det//30 tid//NN|UTR|SIN|IND|NOM//obl//33 förhållandevis//AB//advmod//32 klart//AB|POS//advmod//33 reglerad//PC|PRF|UTR|SIN|IND|NOM//conj//1 .//MAD//punct//33
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;I//PP//case//38 och//KN//fixed//35 med//PP//fixed//35 införandet//NN|NEU|SIN|DEF|NOM//obl//45 av//PP//case//41 det//DT|NEU|SIN|DEF//det//41 mål-//NN|NEU|-|-|SMS//amod//44 och//KN//cc//43 kunskapsrelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//41 betygssystemet//NN|NEU|SIN|DEF|NOM//nmod//38 avskaffades//VB|PRT|SFO//conj//33 den//DT|UTR|SIN|DEF//nsubj//49 mer//AB|KOM//advmod//48 strikt//AB|POS//advmod//49 reglerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//advcl//45 relationen//NN|UTR|SIN|DEF|NOM//obj//49 mellan//PP//case//52 provbetyg//NN|NEU|PLU|IND|NOM//nmod//50 och//KN//cc//54 lärarbetyg//NN|NEU|SIN|IND|NOM//conj//52 .//MAD//punct//45
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Grunden//NN|UTR|SIN|DEF|NOM//nsubj//59 för//PP//case//58 betygssättningen//NN|UTR|SIN|DEF|NOM//nmod//56 blev//VB|PRT|AKT//parataxis//45 mer//AB|KOM//advmod//59 än//KN//mark//62 tidigare//AB|KOM//advcl//59 en//DT|UTR|SIN|IND//det//64 fråga//NN|UTR|SIN|IND|NOM//obj//59 om//PP//case//66 tolkning//NN|UTR|SIN|IND|NOM//nmod//64 av//PP//case//70 verbalt//AB|POS//advmod//69 formulerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//70 betygskriterier//NN|UTR|PLU|IND|NOM//nmod//66 än//KN//mark//73 en//DT|UTR|SIN|IND//det//73 fråga//NN|UTR|SIN|IND|NOM//acl//70 om//PP//case//76 procentuell//JJ|POS|UTR|SIN|IND|NOM//amod//76 betygsfördelning//NN|UTR|SIN|IND|NOM//nmod//73 på//PP//case//78 prov//NN|NEU|SIN|IND|NOM//nmod//76 .//MAD//punct//59
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Proven//NN|NEU|PLU|DEF|NOM//nsubj//81 tappade//VB|PRT|AKT//parataxis//59 därmed//AB//advmod//81 sin//PS|UTR|SIN|DEF//nmod:poss//85 normerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 roll//NN|UTR|SIN|IND|NOM//obj//81 .//MAD//punct//1
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Samtidigt//AB//advmod//20 har//VB|PRS|AKT//fixed//0 dock//AB//advmod//1 betyg//NN|NEU|PLU|IND|NOM//obj//1 även//AB//advmod//8 efter//PP//case//8 1994//RG|NOM//nummod//8 stor//JJ|POS|UTR|SIN|IND|NOM//amod//8 betydelse//NN|UTR|SIN|IND|NOM//nmod//3 när//HA//mark//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 gäller//VB|PRS|AKT//advcl//1 urval//NN|NEU|SIN|IND|NOM//obj//11 till//PP//case//14 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//12 och//KN//cc//18 den//DT|UTR|SIN|DEF//det//18 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 utbildningen//NN|UTR|SIN|DEF|NOM//conj//14 .//MAD//punct//1
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Frågor//NN|UTR|PLU|IND|NOM//obj//26 om//PP//case//25 rättvis//JJ|POS|UTR|SIN|IND|NOM//amod//25 och//KN//cc//24 likvärdig//JJ|POS|UTR|SIN|IND|NOM//conj//22 betygssättning//NN|UTR|SIN|IND|NOM//nmod//20 har//VB|PRS|AKT//aux//40 därför//AB//advmod//26 hög//JJ|POS|UTR|SIN|IND|NOM//amod//29 prioritet//NN|UTR|SIN|IND|NOM//obj//26 .//MID//punct//26
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 har//VB|PRS|AKT//aux//33 lett//VB|SUP|AKT//parataxis//26 till//PP//mark//36 att//SN//mark//36 betygsstödjande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//33 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 prov//NN|NEU|PLU|IND|NOM//obj//36 har//VB|PRS|AKT//aux//40 fortlevt//VB|SUP|AKT//ROOT//40 även//AB//advmod//40 i//PP//case//47 det//DT|NEU|SIN|DEF//det//44 mål-//NN|NEU|-|-|SMS//amod//47 och//KN//cc//46 kunskapsrelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//44 systemet//NN|NEU|SIN|DEF|NOM//obl//40 ,//MID//punct//56 men//KN//cc//56 med//PP//case//56 en//DT|UTR|SIN|IND//det//56 annan//JJ|POS|UTR|SIN|IND|NOM//amod//56 och//KN//cc//55 mer//AB|KOM//advmod//55 oreglerad//JJ|POS|UTR|SIN|IND|NOM//amod//56 relation//NN|UTR|SIN|IND|NOM//conj//40 till//PP//case//58 betygen//NN|NEU|PLU|DEF|NOM//nmod//56 .//MAD//punct//40
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;I//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 bilaga//NN|UTR|SIN|IND|NOM//obl//3 ges//VB|PRS|SFO//ROOT//3 en//DT|UTR|SIN|IND//det//6 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//6 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//3 av//PP//case//8 relationen//NN|UTR|SIN|DEF|NOM//nmod//6 mellan//PP//case//10 provbetyg//NN|NEU|PLU|IND|NOM//nmod//8 och//KN//cc//12 lärarbetyg//NN|NEU|PLU|IND|NOM//conj//10 ur//PP//case//16 lite//AB|POS//advmod//15 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 perspektiv//NN|NEU|PLU|IND|NOM//nmod//12 ,//MID//punct//3 bl.a.//AB|AN//advmod//20 vad//HP|NEU|SIN|IND//nsubj//20 gäller//VB|PRS|AKT//advcl//3 betygens//NN|NEU|PLU|DEF|GEN//nmod:poss//22 utveckling//NN|UTR|SIN|IND|NOM//obj//20 över//PP//case//24 tid//NN|UTR|SIN|IND|NOM//nmod//22 ,//MID//punct//22 betygens//NN|NEU|PLU|DEF|GEN//nmod:poss//27 fördelning//NN|UTR|SIN|IND|NOM//conj//22 och//KN//cc//29 nivåer//NN|UTR|PLU|IND|NOM//conj//27 i//PP//case//32 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 ämnen//NN|NEU|PLU|IND|NOM//nmod//27 ,//MID//punct//27 hur//HA//advmod//38 provbetyg//NN|NEU|PLU|IND|NOM//nsubj//38 och//KN//cc//37 lärarbetyg//NN|NEU|SIN|IND|NOM//conj//35 förhåller//VB|PRS|AKT//acl:relcl//22 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//38 för//PP//case//42 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 grupper//NN|UTR|PLU|IND|NOM//obl//38 (//PAD//punct//42 främst//AB|SUV//advmod//45 skolenheter//NN|UTR|PLU|IND|NOM//appos//42 och//KN//cc//47 klasser//NN|UTR|PLU|IND|NOM//conj//45 )//PAD//punct//42 samt//KN//cc//50 förändringar//NN|UTR|PLU|IND|NOM//conj//22 över//PP//case//52 tid//NN|UTR|SIN|IND|NOM//nmod//50 i//PP//case//55 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 avseenden//NN|NEU|PLU|IND|NOM//nmod//52 .//MAD//punct//3
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Slumpens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 inflytande//NN|NEU|SIN|IND|NOM//nsubj:pass//2 diskuteras//VB|PRS|SFO//ROOT//2 sällan//AB//advmod//2 när//HA//mark//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 gäller//VB|PRS|AKT//advcl//2 prov//NN|NEU|SIN|IND|NOM//obj//6 och//KN//cc//9 betyg//NN|NEU|PLU|IND|NOM//conj//7 .//MAD//punct//2
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;I//PP//case//13 denna//DT|UTR|SIN|DEF//det//13 bilaga//NN|UTR|SIN|IND|NOM//obl//14 redovisas//VB|PRS|SFO//parataxis//2 resultat//NN|NEU|PLU|IND|NOM//nsubj:pass//14 som//HP|-|-|-//nsubj//17 visar//VB|PRS|AKT//acl:relcl//15 att//SN//mark//25 slumpen//NN|UTR|SIN|DEF|NOM//nsubj//25 genom//PP//case//22 de//DT|UTR/NEU|PLU|DEF//det//22 mätfel//NN|NEU|PLU|IND|NOM//nmod//19 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//24 genererar//VB|PRS|AKT//acl:relcl//22 har//VB|PRS|AKT//ccomp//17 en//DT|UTR|SIN|IND//det//28 avsevärd//JJ|POS|UTR|SIN|IND|NOM//amod//28 betydelse//NN|UTR|SIN|IND|NOM//obj//25 för//PP//case//33 i//PP//fixed//29 synnerhet//NN|UTR|SIN|IND|NOM//fixed//30 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 elevgrupper//NN|UTR|PLU|IND|NOM//obl//25 och//KN//cc//37 för//PP//case//37 enstaka//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 elever//NN|UTR|PLU|IND|NOM//conj//33 (//PAD//punct//41 även//AB//advmod//41 om//SN//fixed//39 resultat//NN|NEU|SIN|IND|NOM//nsubj//45 på//PP//case//43 elevnivå//NN|UTR|SIN|IND|NOM//nmod//41 inte//AB//advmod//45 står//VB|PRS|AKT//conj//25 i//PP//advmod//45 fokus//NN|NEU|SIN|IND|NOM//fixed//46 i//PP//case//51 den//DT|UTR|SIN|DEF//det//51 här//AB//fixed//49 bilagan//NN|UTR|SIN|DEF|NOM//obl//45 )//PAD//punct//14 .//MAD//punct//2
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;De//DT|UTR/NEU|PLU|DEF//det//3 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//3 empiriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 resultaten//NN|NEU|PLU|DEF|NOM//nsubj//4 är//VB|PRS|AKT//ROOT//4 att//SN//mark//10 betygsnivån//NN|UTR|SIN|DEF|NOM//nsubj//10 för//PP//case//9 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 ämnen//NN|NEU|PLU|IND|NOM//nmod//6 varierar//VB|PRS|AKT//ccomp//4 i//PP//case//13 hög//JJ|POS|UTR|SIN|IND|NOM//amod//13 grad//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//4
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Genomgående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 betygsnivån//NN|UTR|SIN|DEF|NOM//parataxis//4 som//KN//nsubj//22 högst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//22 i//PP//case//22 ämnet//NN|NEU|SIN|DEF|NOM//nmod//22 engelska//NN|UTR|SIN|IND|NOM//acl:relcl//17 för//PP//case//25 såväl//KN//advmod//25 provbetyg//NN|NEU|PLU|IND|NOM//obl//17 som//KN//case//27 lärarbetyg//NN|NEU|SIN|IND|NOM//conj//25 .//MAD//punct//17
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Ämnet//NN|NEU|SIN|DEF|NOM//nmod//30 engelska//NN|UTR|SIN|IND|NOM//nsubj//31 har//VB|PRS|AKT//parataxis//17 också//AB//advmod//31 minst//AB|SUV//advmod//34 systematisk//JJ|POS|UTR|SIN|IND|NOM//amod//35 skillnad//NN|UTR|SIN|IND|NOM//obj//31 mellan//PP//case//37 medelvärdena//NN|NEU|PLU|DEF|NOM//nmod//35 för//PP//case//39 lärarbetyg//NN|NEU|PLU|IND|NOM//nmod//37 och//KN//cc//41 provbetyg//NN|NEU|PLU|IND|NOM//conj//39 på//PP//case//44 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//44 nivå//NN|UTR|SIN|IND|NOM//nmod//41 .//MAD//punct//31
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Ämnet//NN|NEU|SIN|DEF|NOM//nmod//47 svenska//NN|UTR|SIN|IND|NOM//nsubj//48 har//VB|PRS|AKT//parataxis//31 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 betygsnivåer//NN|UTR|PLU|IND|NOM//obj//48 och//KN//cc//53 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 skillnad//NN|UTR|SIN|IND|NOM//conj//50 mellan//PP//case//55 lärarbetyg//NN|NEU|PLU|IND|NOM//nmod//53 och//KN//cc//57 provbetyg//NN|NEU|PLU|IND|NOM//conj//55 .//MAD//punct//31
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Klart//AB|POS//amod//61 lägsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//61 betygsnivå//NN|UTR|SIN|IND|NOM//nsubj//69 och//KN//cc//64 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//64 skillnad//NN|UTR|SIN|IND|NOM//conj//61 mellan//PP//case//66 lärarbetyg//NN|NEU|PLU|IND|NOM//nmod//64 och//KN//cc//68 provbetyg//NN|NEU|PLU|IND|NOM//conj//66 har//VB|PRS|AKT//parataxis//31 de//DT|UTR/NEU|PLU|DEF//det//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 proven//NN|NEU|PLU|DEF|NOM//obj//69 i//PP//case//74 matematik//NN|UTR|SIN|IND|NOM//obl//69 .//MID//punct//17
Provbetyg, lärarbetyg och deras inbördes relationer Sammanfattning;Dessa//DT|UTR/NEU|PLU|DEF//det//77 skillnader//NN|UTR|PLU|IND|NOM//nsubj//79 har//VB|PRS|AKT//aux//79 funnits//VB|SUP|SFO//parataxis//17 och//KN//cc//83 varit//VB|SUP|AKT//cop//83 relativt//AB|POS//advmod//83 oförändrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//79 på//PP//case//86 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//86 nivå//NN|UTR|SIN|IND|NOM//obl//83 sedan//SN//mark//91 de//DT|UTR/NEU|PLU|DEF//det//90 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//90 proven//NN|NEU|PLU|DEF|NOM//nsubj//91 började//VB|PRT|AKT//advcl//83 användas//VB|INF|SFO//xcomp//91 i//PP//case//94 slutet//NN|NEU|SIN|DEF|NOM//obl//92 av//PP//case//96 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//94 och//KN//cc//98 fram//AB//conj//96 till//PP//advmod//98 i//PP//advmod//98 dag//NN|UTR|SIN|IND|NOM//fixed//100 .//MAD//punct//17
