Sammanfattning;Sammanfattningen//NN|UTR|SIN|DEF|NOM//nsubj//1 innehåller//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//5 mycket//AB|POS//advmod//4 kort//JJ|POS|UTR|SIN|IND|NOM//amod//5 beskrivning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 innehållet//NN|NEU|SIN|DEF|NOM//nmod//5 i//PP//case//10 respektive//AB//amod//10 kapitel//NN|NEU|SIN|IND|NOM//nmod//7 och//KN//cc//13 de//DT|UTR/NEU|PLU|DEF//det//13 synpunkter//NN|UTR|PLU|IND|NOM//conj//10 och//KN//cc//15 förslag//NN|NEU|PLU|IND|NOM//conj//13 vi//PN|UTR|PLU|DEF|SUB//nsubj//17 har//VB|PRS|AKT//acl:relcl//15 .//MAD//punct//1
Mål för KY;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 är//VB|PRS|AKT//cop//5 under//PP//case//4 inga//DT|UTR/NEU|PLU|IND//det//4 omständigheter//NN|UTR|PLU|IND|NOM//obl//5 acceptabelt//AB|POS//ROOT//5 att//SN//mark//8 LIA//NN|UTR|SIN|DEF|NOM//nsubj:pass//8 förläggs//VB|PRS|SFO//csubj//5 till//PP//case//10 skolan//NN|UTR|SIN|DEF|NOM//obl//8 på//PP//case//14 grund//NN|UTR|SIN|IND|NOM//fixed//11 av//PP//fixed//11 svårigheter//NN|UTR|PLU|IND|NOM//obl//8 att//IE//mark//16 skaffa//VB|INF|AKT//acl//14 arbetsplatser//NN|UTR|PLU|IND|NOM//obj//16 .//MAD//punct//5
Mål för KY;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//22 skulle//VB|PRT|AKT//aux//22 dessutom//AB//advmod//22 motverka//VB|INF|AKT//parataxis//5 syftet//NN|NEU|SIN|DEF|NOM//obj//22 med//PP//case//25 KY//PM|NOM//obl//22 ://MID//punct//22 att//IE//mark//28 åstadkomma//VB|INF|AKT//appos//22 utbildningar//NN|UTR|PLU|IND|NOM//obj//28 med//PP//case//35 en//DT|UTR|SIN|IND//det//35 stark//JJ|POS|UTR|SIN|IND|NOM//amod//35 och//KN//cc//34 aktuell//JJ|POS|UTR|SIN|IND|NOM//conj//32 arbetslivsförankring//NN|UTR|SIN|IND|NOM//nmod//29 stadda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//28 i//PP//case//39 ständig//JJ|POS|UTR|SIN|IND|NOM//amod//39 förändring//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//22
Mål för KY;Utbildning//NN|UTR|SIN|IND|NOM//nsubj:pass//20 till//PP//case//2 yrken//NN|NEU|PLU|IND|NOM//nmod//0 som//HP|-|-|-//nsubj//5 är//VB|PRS|AKT//cop//5 kopplade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//2 till//PP//case//8 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 legitimationskrav//NN|NEU|PLU|IND|NOM//obl//5 i//PP//case//11 någon//DT|UTR|SIN|IND//det//11 form//NN|UTR|SIN|IND|NOM//obl//5 ,//MID//punct//0 t.ex.//AB|AN//advmod//14 lärare//NN|UTR|PLU|IND|NOM//appos//0 och//KN//cc//16 sjuksköterskor//NN|UTR|PLU|IND|NOM//conj//14 ,//MID//punct//14 bör//VB|PRS|AKT//aux//20 inte//AB//advmod//20 bedrivas//VB|INF|SFO//ROOT//20 inom//PP//case//25 ramen//NN|UTR|SIN|DEF|NOM//fixed//21 för//PP//case//25 kvalificerad//PC|PRF|UTR|SIN|IND|NOM//amod//25 yrkesutbildning//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//20

KY och arbetslivet;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//4 behandlar//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 arbetslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//7 medverkan//NN|UTR|SIN|IND|NOM//obj//4 för//PP//case//9 utbildningarna//NN|UTR|PLU|DEF|NOM//nmod//7 både//KN//cc//12 vid//PP//case//12 planeringen//NN|UTR|SIN|DEF|NOM//obl//4 och//KN//cc//14 genomförandet//NN|NEU|SIN|DEF|NOM//conj//12 .//MAD//punct//4
KY och arbetslivet;"Vi//PN|UTR|PLU|DEF|SUB//nsubj//17 föreslår//VB|PRS|AKT//parataxis//4 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//17 ;//MAD//punct//17"
KY och arbetslivet;En//DT|UTR|SIN|IND//det//1 referensgrupp//NN|UTR|SIN|IND|NOM//nsubj:pass//4 till//PP//case//3 KY-styrelsen//NN|UTR|SIN|DEF|NOM//nmod//1 bildas//VB|PRS|SFO//ROOT//4 med//PP//case//6 expertis//NN|UTR|SIN|IND|NOM//obl//4 på//PP//case//9 arbetsmarknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 personal-//NN|UTR|-|-|SMS//nmod//6 och//KN//cc//11 kompetensbehov//NN|NEU|PLU|IND|NOM//conj//9 .//MAD//punct//4
KY och arbetslivet;Ledningsgrupperna//NN|UTR|PLU|DEF|NOM//nsubj//2 bör//VB|PRS|AKT//aux//2 innehålla//VB|INF|AKT//ROOT//2 representation//NN|UTR|SIN|IND|NOM//obj//2 från//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 grupper//NN|UTR|PLU|IND|NOM//obl//2 av//PP//case//8 anställda//NN|UTR|PLU|IND|NOM//nmod//6 som//HP|-|-|-//nsubj//10 medverkar//VB|PRS|AKT//acl:relcl//8 i//PP//case//12 utbildningen//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//2
KY och arbetslivet;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 är//VB|PRS|AKT//cop//17 också//AB//advmod//17 viktigt//JJ|POS|NEU|SIN|IND|NOM//conj//2 att//SN//mark//22 det//DT|NEU|SIN|DEF//det//21 konkreta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 arbetslivet//NN|NEU|SIN|DEF|NOM//nsubj//22 finns//VB|PRS|SFO//csubj//17 med//PL//compound:prt//22 i//PP//case//25 ledningsgrupperna//NN|UTR|PLU|DEF|NOM//obl//22 och//KN//cc//29 inte//AB//advmod//29 enbart//AB//advmod//29 representanter//NN|UTR|PLU|IND|NOM//conj//22 för//PP//case//31 branschorganisationer//NN|UTR|PLU|IND|NOM//nmod//29 .//MAD//punct//17
KY och arbetslivet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//9 bör//VB|PRS|AKT//cop//0 i//PP//case//3 ansökan//NN|UTR|SIN|IND|NOM//obl//9 om//PP//mark//7 att//IE//mark//7 få//VB|INF|AKT//aux//7 starta//VB|INF|AKT//acl//3 utbildning//NN|UTR|SIN|IND|NOM//obj//7 framgå//VB|INF|AKT//ROOT//9 hur//HA//advmod//12 arbetslivet//NN|NEU|SIN|DEF|NOM//nsubj//12 varit//VB|SUP|AKT//ccomp//9 med//PL//compound:prt//12 redan//AB//advmod//16 från//PP//case//16 början//NN|UTR|SIN|DEF|NOM//obl//12 då//HA//mark//19 utbildningen//NN|UTR|SIN|DEF|NOM//nsubj//19 vuxit//VB|SUP|AKT//acl:relcl//16 fram//PL//compound:prt//19 .//MAD//punct//9

Kvaliteten i utbildningarna;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//4 tar//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 upp//PL//compound:prt//4 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 uppföljning//NN|UTR|SIN|IND|NOM//obj//4 ,//MID//punct//10 utvärdering//NN|UTR|SIN|IND|NOM//conj//8 och//KN//cc//12 tillsyn//NN|UTR|SIN|IND|NOM//conj//8 av//PP//case//14 KY//PM|NOM//nmod//12 .//MAD//punct//4
Kvaliteten i utbildningarna;Vi//PN|UTR|PLU|DEF|SUB//nsubj//17 behandlar//VB|PRS|AKT//parataxis//4 också//AB//advmod//17 FoU//NN|AN//obj//17 inom//PP//case//21 KY//PM|NOM//nmod//19 .//MAD//punct//17
Kvaliteten i utbildningarna;Vi//PN|UTR|PLU|DEF|SUB//nsubj//24 diskuterar//VB|PRS|AKT//parataxis//17 hur//HA//advmod//30 utbildarens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//28 kvalitetsarbete//NN|NEU|SIN|IND|NOM//nsubj:pass//30 kan//VB|PRS|AKT//aux//30 bedrivas//VB|INF|SFO//ccomp//24 .//MAD//punct//24
Kvaliteten i utbildningarna;"Vi//PN|UTR|PLU|DEF|SUB//nsubj//33 har//VB|PRS|AKT//parataxis//24 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 förslag//NN|NEU|PLU|IND|NOM//obj//33 och//KN//cc//37 synpunkter//NN|UTR|PLU|IND|NOM//conj//35 ;//MID//punct//17"
Kvaliteten i utbildningarna;Både//KN//cc//1 utvärdering//NN|UTR|SIN|IND|NOM//nsubj:pass//8 ,//MID//punct//3 uppföljning//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//5 t//NN|AN//conj//1 illsyn//NN|UTR|SIN|IND|NOM//conj//1 måste//VB|PRS|AKT//aux//8 utformas//VB|INF|SFO//ROOT//8 så//AB//mark//12 att//SN//fixed//9 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//12 bidrar//VB|PRS|AKT//advcl//8 till//PP//mark//15 att//IE//mark//15 säkerställa//VB|INF|AKT//advcl//12 att//SN//mark//18 utbildningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//18 bedrivs//VB|PRS|SFO//ccomp//15 med//PP//case//21 rätt//JJ|POS|UTR|SIN|IND|NOM//amod//21 kvalitet//NN|UTR|SIN|IND|NOM//obl//18 ,//MID//punct//23 har//VB|PRS|AKT//conj//8 en//DT|UTR|SIN|IND//det//26 god//JJ|POS|UTR|SIN|IND|NOM//amod//26 arbetslivsförankring//NN|UTR|SIN|IND|NOM//obj//23 och//KN//cc//29 för//PP//case//29 individen//NN|UTR|SIN|DEF|NOM//conj//26 lägger//VB|PRS|AKT//conj//8 grunden//NN|UTR|SIN|DEF|NOM//obj//30 till//PP//case//33 framgångar//NN|UTR|PLU|IND|NOM//obl//30 i//PP//case//35 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//33 och//KN//cc//38 god//JJ|POS|UTR|SIN|IND|NOM//amod//38 utvecklingsförmåga//NN|UTR|SIN|IND|NOM//conj//35 .//MAD//punct//8
Kvaliteten i utbildningarna;En//DT|UTR|SIN|IND//det//2 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 utvärdering//NN|UTR|SIN|IND|NOM//nsubj:pass//6 av//PP//case//4 KY//PM|NOM//nmod//2 bör//VB|PRS|AKT//aux//6 bedrivas//VB|INF|SFO//ROOT//6 .//MAD//punct//6
Kvaliteten i utbildningarna;Utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//10 bör//VB|PRS|AKT//aux//10 ses//VB|INF|SFO//parataxis//6 som//KN//case//13 ett//DT|NEU|SIN|IND//det//13 instrument//NN|NEU|SIN|IND|NOM//obl//10 för//PP//case//15 verksamhetsutveckling//NN|UTR|SIN|IND|NOM//nmod//13 snarare//AB|KOM//advmod//20 än//KN//fixed//16 som//KN//case//20 en//DT|UTR|SIN|IND//det//20 beskrivning//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//10
Kvaliteten i utbildningarna;Utvärderingsuppdragen//NN|NEU|PLU|DEF|NOM//nsubj//25 bör//VB|PRS|AKT//aux//25 också//AB//advmod//25 innefatta//VB|INF|AKT//conj//10 återkoppling//NN|UTR|SIN|IND|NOM//obj//25 .//MAD//punct//10
Kvaliteten i utbildningarna;Ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//8 för//PP//case//2 finansiering//NN|UTR|SIN|IND|NOM//nmod//0 och//KN//cc//4 beställning//NN|UTR|SIN|IND|NOM//conj//2 bör//VB|PRS|AKT//aux//8 även//AB//advmod//8 fortsättningsvis//AB//advmod//8 ligga//VB|INF|AKT//ROOT//8 på//PP//case//10 KY-styrelsen//NN|UTR|SIN|DEF|NOM//obl//8 (//PAD//punct//13 nu//AB//advmod//13 kommittén//NN|UTR|SIN|DEF|NOM//appos//8 )//PAD//punct//13 .//MAD//punct//8
Kvaliteten i utbildningarna;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//19 bör//VB|PRS|AKT//aux//19 också//AB//advmod//19 innefatta//VB|INF|AKT//conj//8 att//IE//mark//21 säkerställa//VB|INF|AKT//xcomp//19 att//SN//mark//25 relevant//JJ|POS|UTR|SIN|IND|NOM//amod//24 samordning//NN|UTR|SIN|IND|NOM//nsubj//25 kommer//VB|PRS|AKT//ccomp//21 till//PP//compound:prt//25 stånd//NN|NEU|SIN|IND|NOM//fixed//26 .//MAD//punct//19
Kvaliteten i utbildningarna;Områdena//NN|NEU|PLU|DEF|NOM//nsubj//4 för//PP//case//2 utvärderingen//NN|UTR|SIN|DEF|NOM//nmod//0 kan//VB|PRS|AKT//aux//4 variera//VB|INF|AKT//ROOT//4 över//PP//case//6 tiden//NN|UTR|SIN|DEF|NOM//obl//4 ,//MID//punct//10 men//KN//cc//10 kontinuerligt//AB|POS//advmod//10 innefatta//VB|INF|AKT//conj//4 utbildningarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 kvalitet//NN|UTR|SIN|IND|NOM//obj//10 ,//MID//punct//14 ekonomi//NN|UTR|SIN|IND|NOM//conj//12 och//KN//cc//16 organisation//NN|UTR|SIN|IND|NOM//conj//12 samt//KN//cc//18 påverkan//NN|UTR|SIN|IND|NOM//conj//12 på//PP//case//20 samhälle//NN|NEU|SIN|IND|NOM//nmod//18 och//KN//cc//22 arbetsliv//NN|NEU|SIN|IND|NOM//conj//20 .//MAD//punct//4
Kvaliteten i utbildningarna;Eftersom//SN//mark//4 KY//PM|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 så//AB//advmod//4 föränderlig//JJ|POS|UTR|SIN|IND|NOM//advcl//11 över//PP//case//6 tiden//NN|UTR|SIN|DEF|NOM//obl//4 bör//VB|PRS|AKT//aux//11 uppföljningen//NN|UTR|SIN|DEF|NOM//nsubj//11 vara//VB|INF|AKT//cop//11 relativt//AB|POS//advmod//11 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//11 .//MAD//punct//11
Kvaliteten i utbildningarna;Uppföljningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 kartlägga//VB|INF|AKT//ROOT//2 i//PP//mark//7 vad//HP|NEU|SIN|IND//obj//7 mån//NN|UTR|SIN|IND|NOM//fixed//4 KY//PM|NOM//nsubj//7 uppfyller//VB|PRS|AKT//advcl//2 även//AB//advmod//9 sekundära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 mål//NN|NEU|PLU|IND|NOM//obj//7 .//MAD//punct//2
Kvaliteten i utbildningarna;Uppföljningen//NN|UTR|SIN|DEF|NOM//nsubj//2 bör//VB|PRS|AKT//aux//2 knyta//VB|INF|AKT//ROOT//2 an//PL//compound:prt//2 till//PP//case//6 högskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//6 uppföljning//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
