
En kommunallag för framtiden;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 11//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//nmod//0 2012//RG|NOM//nummod//5
Behovet av en översyn;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//appos//29 av//PP//case//59 de//DT|UTR/NEU|PLU|DEF//det//59 uppgifter//NN|UTR|PLU|IND|NOM//nmod//56 som//HP|-|-|-//obj//64 kommuner//NN|UTR|PLU|IND|NOM//nsubj//64 och//KN//cc//63 landsting//NN|NEU|SIN|IND|NOM//conj//61 ansvarar//VB|PRS|AKT//acl:relcl//59 för//PP//case//64 regleras//VB|PRS|SFO//conj//29 även//AB//advmod//66 i//PP//case//69 speciallagstiftning//NN|UTR|SIN|IND|NOM//obl//66 ,//MID//punct//29 t.ex.//AB|AN//advmod//73 i//PP//case//73 skollagen//NN|UTR|SIN|DEF|NOM//appos//29 (//PAD//punct//73 2010:800//RG|NOM//appos//73 )//PAD//punct//73 och//KN//cc//78 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//conj//73 (//PAD//punct//80 2001:453//RG|NOM//appos//78 )//PAD//punct//80 .//MAD//punct//7
Behovet av en översyn;I//PP//case//1 början//NN|UTR|SIN|DEF|NOM//obl//4 på//PP//case//3 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//1 antogs//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 kommunallagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 som//HP|-|-|-//nsubj//10 bl.a.//AB|AN//advmod//10 medförde//VB|PRT|AKT//acl:relcl//7 en//DT|UTR|SIN|IND//det//14 betydligt//AB//advmod//13 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 frihet//NN|UTR|SIN|IND|NOM//obj//10 för//PP//case//16 kommuner//NN|UTR|PLU|IND|NOM//nmod//14 och//KN//cc//18 landsting//NN|NEU|SIN|IND|NOM//conj//16 att//IE//mark//20 bestämma//VB|INF|AKT//advcl//10 över//PP//case//23 sin//PS|UTR|SIN|DEF//nmod:poss//23 organisation//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//4
Behovet av en översyn;Kommunallagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 har//VB|PRS|AKT//aux//29 sedan//PP//case//29 dess//AB//nmod:poss//29 ändrats//VB|SUP|SFO//parataxis//4 och//KN//cc//31 uppdaterats//VB|SUP|SFO//conj//29 på//PP//case//35 en//DT|UTR|SIN|IND//det//34 del//NN|UTR|SIN|IND|NOM//nmod//35 punkter//NN|UTR|PLU|IND|NOM//obl//31 men//KN//cc//40 någon//DT|UTR|SIN|IND//det//40 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//40 översyn//NN|UTR|SIN|IND|NOM//conj//29 har//VB|PRS|AKT//aux//43 inte//AB//advmod//43 gjorts//VB|SUP|SFO//conj//4 .//MAD//punct//4
Behovet av en översyn;Samtidigt//AB//advmod//46 har//VB|PRS|AKT//parataxis//4 förändringar//NN|UTR|PLU|IND|NOM//obj//46 i//PP//case//49 omvärlden//NN|UTR|SIN|DEF|NOM//nmod//47 och//KN//cc//52 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 beslut//NN|NEU|PLU|IND|NOM//conj//49 medfört//VB|SUP|AKT//aux//61 att//SN//mark//55 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//61 för//PP//case//57 kommuner//NN|UTR|PLU|IND|NOM//nmod//55 och//KN//cc//59 landsting//NN|NEU|SIN|IND|NOM//conj//57 att//IE//mark//61 utföra//VB|INF|AKT//conj//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//63 uppgifter//NN|UTR|PLU|IND|NOM//obj//61 förändrats//VB|SUP|SFO//xcomp//61 .//MID//punct//61
Behovet av en översyn;EUmedlemskapet//NN|NEU|SIN|DEF|NOM//obj//61 ,//MID//punct//69 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//69 konkurrensutsättning//NN|UTR|SIN|IND|NOM//conj//66 ,//MID//punct//72 ökade//VB|PRT|AKT//amod//72 krav//NN|NEU|PLU|IND|NOM//conj//66 på//PP//case//74 likformighet//NN|UTR|SIN|IND|NOM//nmod//72 och//KN//cc//76 likvärdighet//NN|UTR|SIN|IND|NOM//conj//74 ,//MID//punct//78 önskemål//NN|NEU|SIN|IND|NOM//conj//66 om//PP//case//81 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//81 mångfald//NN|UTR|SIN|IND|NOM//nmod//78 i//PP//case//83 utbudet//NN|NEU|SIN|DEF|NOM//nmod//81 genom//PP//case//86 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//86 aktörer//NN|UTR|PLU|IND|NOM//nmod//83 ,//MID//punct//86 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 möjligheter//NN|UTR|PLU|IND|NOM//conj//66 att//IE//mark//91 ta//VB|INF|AKT//acl//89 över//PL//case//94 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 uppgifter//NN|UTR|PLU|IND|NOM//obj//91 samt//KN//cc//97 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//97 krav//NN|NEU|PLU|IND|NOM//conj//66 på//PP//case//99 användning//NN|UTR|SIN|IND|NOM//nmod//97 av//PP//case//102 ny//JJ|POS|UTR|SIN|IND|NOM//amod//102 teknik//NN|UTR|SIN|IND|NOM//nmod//99 är//VB|PRS|AKT//cop//104 exempel//NN|NEU|PLU|IND|NOM//conj//61 på//PP//case//107 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//107 förändringar//NN|UTR|PLU|IND|NOM//nmod//104 .//MAD//punct//4
Behovet av en översyn;Vidare//AB|KOM//advmod//110 påverkas//VB|PRS|SFO//parataxis//4 kommuner//NN|UTR|PLU|IND|NOM//nsubj:pass//110 och//KN//cc//113 landsting//NN|NEU|SIN|IND|NOM//conj//111 av//PP//case//116 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//116 förändringar//NN|UTR|PLU|IND|NOM//nmod//113 ,//MID//punct//116 såsom//KN//mark//119 ut-//AB|SMS//appos//116 och//KN//cc//121 inflyttning//NN|UTR|SIN|IND|NOM//conj//119 ,//MID//punct//124 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//124 pensionsavgångar//NN|UTR|PLU|IND|NOM//conj//119 ,//MID//punct//110 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//127 krav//NN|NEU|PLU|IND|NOM//parataxis//110 på//PP//case//129 kompetens//NN|UTR|SIN|IND|NOM//nmod//127 ,//MID//punct//132 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//132 utmaningar//NN|UTR|PLU|IND|NOM//conj//129 ,//MID//punct//132 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//135 skillnader//NN|UTR|PLU|IND|NOM//conj//129 inom//PP//case//137 landet//NN|NEU|SIN|DEF|NOM//nmod//135 och//KN//cc//142 ofta//AB|POS//advmod//142 en//DT|UTR|SIN|IND//det//142 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//142 komplexitet//NN|UTR|SIN|IND|NOM//conj//129 i//PP//case//145 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//145 frågor//NN|UTR|PLU|IND|NOM//nmod//142 .//MAD//punct//110
Behovet av en översyn;Förändringarna//NN|UTR|PLU|DEF|NOM//nsubj//149 har//VB|PRS|AKT//aux//149 medfört//VB|SUP|AKT//parataxis//110 att//SN//mark//152 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//152 finns//VB|PRS|SFO//ccomp//149 skäl//NN|NEU|PLU|IND|NOM//nsubj//152 att//IE//mark//155 överväga//VB|INF|AKT//acl//153 en//DT|UTR|SIN|IND//det//157 modernisering//NN|UTR|SIN|IND|NOM//obj//155 av//PP//case//159 kommunallagen//NN|UTR|SIN|DEF|NOM//nmod//157 .//MAD//punct//149
Behovet av en översyn;Genom//PP//case//3 en//DT|UTR|SIN|IND//det//3 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//3 konkurrens//NN|UTR|SIN|IND|NOM//obl//15 och//KN//cc//8 allt//AB//advmod//6 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//8 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 aktörer//NN|UTR|PLU|IND|NOM//conj//3 inom//PP//case//10 välfärdstjänsterna//NN|UTR|PLU|DEF|NOM//nmod//8 har//VB|PRS|AKT//aux//15 valmöjligheterna//NN|UTR|PLU|DEF|NOM//nsubj//15 för//PP//case//14 medborgarna//NN|UTR|PLU|DEF|NOM//nmod//12 ökat//VB|SUP|AKT//ROOT//15 ,//MID//punct//19 vilket//HP|NEU|SIN|IND//nsubj:pass//19 också//AB//advmod//19 utnyttjas//VB|PRS|SFO//advcl//15 av//PP//case//22 allt//AB//advmod//22 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//obl:agent//19 .//MAD//punct//15
Behovet av en översyn;Konkurrensutsättningen//NN|UTR|SIN|DEF|NOM//nsubj//27 kan//VB|PRS|AKT//aux//27 också//AB//advmod//27 ha//VB|INF|AKT//parataxis//15 positiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 effekter//NN|UTR|PLU|IND|NOM//obj//27 på//PP//case//33 de//DT|UTR/NEU|PLU|DEF//det//33 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 verksamheterna//NN|UTR|PLU|DEF|NOM//obl//27 när//HA//case//37 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//34 gäller//VB|PRS|AKT//fixed//34 kvalitet//NN|UTR|SIN|IND|NOM//obl//27 och//KN//cc//39 effektivitet//NN|UTR|SIN|IND|NOM//conj//37 .//MID//punct//15
Behovet av en översyn;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 finns//VB|PRS|SFO//conj//15 skäl//NN|NEU|PLU|IND|NOM//nsubj//42 att//IE//mark//45 anta//VB|INF|AKT//acl//43 att//SN//mark//52 andelen//NN|UTR|SIN|DEF|NOM//det//49 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 utförare//NN|UTR|PLU|IND|NOM//nsubj//52 kommer//VB|PRS|AKT//aux//52 att//IE//mark//52 fortsätta//VB|INF|AKT//ccomp//45 att//IE//mark//54 öka//VB|INF|AKT//xcomp//52 och//KN//cc//60 då//AB//advmod//60 även//AB//advmod//60 inom//PP//case//60 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//60 områden//NN|NEU|PLU|IND|NOM//conj//54 .//MAD//punct//42
Behovet av en översyn;En//DT|UTR|SIN|IND//det//64 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//64 utveckling//NN|UTR|SIN|IND|NOM//nsubj//65 ökar//VB|PRS|AKT//conj//42 behovet//NN|NEU|SIN|DEF|NOM//obj//65 av//PP//case//71 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 och//KN//cc//70 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//68 förutsättningar//NN|UTR|PLU|IND|NOM//nmod//66 för//PP//case//74 såväl//KN//advmod//74 staten//NN|UTR|SIN|DEF|NOM//nmod//71 ,//MID//punct//76 kommunerna//NN|UTR|PLU|DEF|NOM//conj//74 och//KN//cc//78 landstingen//NN|NEU|PLU|DEF|NOM//conj//74 ,//MID//punct//82 som//KN//mark//82 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 utförare//NN|UTR|PLU|IND|NOM//conj//74 när//HA//mark//87 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//83 gäller//VB|PRS|AKT//fixed//83 att//IE//mark//87 bedriva//VB|INF|AKT//advcl//65 sin//PS|UTR|SIN|DEF//nmod:poss//89 verksamhet//NN|UTR|SIN|IND|NOM//obj//87 .//MAD//punct//15
Behovet av en översyn;Alltmer//AB//nsubj:pass//5 av//PP//case//4 den//DT|UTR|SIN|DEF//det//4 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//0 utförs//VB|PRS|SFO//ROOT//5 av//PP//case//8 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 aktörer//NN|UTR|PLU|IND|NOM//obl:agent//5 .//MAD//punct//8
Behovet av en översyn;Kommuner//NN|UTR|PLU|IND|NOM//appos//8 och//KN//cc//12 landsting//NN|NEU|SIN|IND|NOM//conj//10 har//VB|PRS|AKT//advcl//5 dock//AB//advmod//13 fortfarande//AB//advmod//13 huvudmannaskapet//NN|NEU|SIN|DEF|NOM//obj//13 och//KN//cc//18 ansvaret//NN|NEU|SIN|DEF|NOM//conj//16 för//PP//case//21 de//DT|UTR/NEU|PLU|DEF//det//21 verksamheter//NN|UTR|PLU|IND|NOM//nmod//18 som//HP|-|-|-//nsubj:pass//23 utförs//VB|PRS|SFO//acl:relcl//21 på//PP//case//25 entreprenad//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//5
Behovet av en översyn;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 finns//VB|PRS|SFO//parataxis//5 anledning//NN|UTR|SIN|IND|NOM//nsubj//28 att//IE//mark//31 analysera//VB|INF|AKT//advcl//28 bl.a.//AB|AN//advmod//31 om//PP//case//34 kraven//NN|NEU|PLU|DEF|NOM//obl//31 på//PP//case//39 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//39 och//KN//cc//38 landstingens//NN|NEU|PLU|DEF|GEN//conj//36 uppföljning//NN|UTR|SIN|IND|NOM//nmod//34 av//PP//case//42 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 utförare//NN|UTR|PLU|IND|NOM//nmod//39 behöver//VB|PRS|AKT//aux//44 tydliggöras//VB|INF|SFO//conj//28 .//MAD//punct//28
Behovet av en översyn;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//49 bör//VB|PRS|AKT//aux//49 även//AB//advmod//49 övervägas//VB|INF|SFO//parataxis//28 vilket//HD|NEU|SIN|IND//det//51 informationsansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//49 som//HP|-|-|-//nsubj//54 bör//VB|PRS|AKT//aux//54 gälla//VB|INF|AKT//acl:relcl//51 för//PP//case//56 kommunerna//NN|UTR|PLU|DEF|NOM//obl//54 och//KN//cc//58 landstingen//NN|NEU|PLU|DEF|NOM//conj//56 gentemot//PP//case//60 allmänheten//NN|UTR|SIN|DEF|NOM//nmod//58 .//MAD//punct//28
Behovet av en översyn;De//DT|UTR/NEU|PLU|DEF//det//2 anställdas//PC|PRF|UTR/NEU|PLU|IND/DEF|GEN//amod//2 roll//NN|UTR|SIN|IND|NOM//nsubj:pass//8 i//PP//case//4 kommuner//NN|UTR|PLU|IND|NOM//nmod//2 och//KN//cc//6 landsting//NN|NEU|SIN|IND|NOM//conj//4 har//VB|PRS|AKT//aux//8 förändrats//VB|SUP|SFO//ROOT//8 sedan//SN//case//10 kommunallagen//NN|UTR|SIN|DEF|NOM//obl//8 trädde//VB|PRT|AKT//advcl//8 i//PP//case//13 kraft//NN|UTR|SIN|IND|NOM//obl//11 ,//MID//punct//8 och//KN//cc//17 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 finns//VB|PRS|SFO//conj//8 skäl//NN|NEU|PLU|IND|NOM//nsubj//17 att//IE//mark//20 se//VB|INF|AKT//acl//18 över//PL//case//23 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 frågor//NN|UTR|PLU|IND|NOM//obl//20 rörande//PP//case//27 de//DT|UTR/NEU|PLU|DEF//det//26 anställdas//PC|PRF|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//27 roll//NN|UTR|SIN|IND|NOM//obl//20 och//KN//cc//29 beslutanderätt//NN|UTR|SIN|IND|NOM//conj//27 .//MAD//punct//8
Behovet av en översyn;Vidare//AB|KOM//advmod//32 innehåller//VB|PRS|AKT//parataxis//8 regelverket//NN|NEU|SIN|DEF|NOM//obj//32 om//PP//case//35 laglighetsprövning//NN|UTR|SIN|IND|NOM//nmod//33 av//PP//case//38 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 beslut//NN|NEU|PLU|IND|NOM//nmod//35 en//DT|UTR|SIN|IND//det//40 del//NN|UTR|SIN|IND|NOM//nmod//41 otydligheter//NN|UTR|PLU|IND|NOM//obj//32 ,//MID//punct//48 och//KN//cc//48 ändamålsenligheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//48 av//PP//case//46 regleringen//NN|UTR|SIN|DEF|NOM//nmod//44 kan//VB|PRS|AKT//aux//48 ifrågasättas//VB|INF|SFO//conj//32 i//PP//case//51 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 avseenden//NN|NEU|PLU|IND|NOM//obl//48 .//MAD//punct//32
Behovet av en översyn;EU-rätten//NN|UTR|SIN|DEF|NOM//nsubj//55 har//VB|PRS|AKT//aux//55 fått//VB|SUP|AKT//parataxis//32 en//DT|UTR|SIN|IND//det//59 allt//AB//advmod//58 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 betydelse//NN|UTR|SIN|IND|NOM//obj//55 för//PP//case//63 de//DT|UTR/NEU|PLU|DEF//det//63 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 verksamheterna//NN|UTR|PLU|DEF|NOM//nmod//59 .//MAD//punct//32
Behovet av en översyn;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//68 bör//VB|PRS|AKT//aux//68 därför//AB//advmod//68 övervägas//VB|INF|SFO//parataxis//32 hur//HA//advmod//73 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//73 i//PP//case//72 kommunallagen//NN|UTR|SIN|DEF|NOM//nmod//70 förhåller//VB|PRS|AKT//ccomp//68 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//73 till//PP//case//76 unionsrätten//NN|UTR|SIN|DEF|NOM//obl//73 .//MAD//punct//80
Behovet av en översyn;Utöver//PP//case//79 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//80 finns//VB|PRS|SFO//conj//68 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//80 även//AB//advmod//80 behov//NN|NEU|SIN|IND|NOM//nsubj//80 av//PP//mark//86 att//IE//mark//86 göra//VB|INF|AKT//acl//83 en//DT|UTR|SIN|IND//det//89 lagteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//89 översyn//NN|UTR|SIN|IND|NOM//obj//86 av//PP//case//91 kommunallagen//NN|UTR|SIN|DEF|NOM//nmod//89 och//KN//cc//94 en//DT|UTR|SIN|IND//det//94 utvärdering//NN|UTR|SIN|IND|NOM//conj//91 av//PP//case//98 den//DT|UTR|SIN|DEF//det//98 fria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//98 nämndorganisationen//NN|UTR|SIN|DEF|NOM//nmod//94 .//MAD//punct//8

