Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 haft//VB|SUP|AKT//ROOT//2 i//PP//case//4 uppdrag//NN|NEU|SIN|IND|NOM//obj//2 att//IE//mark//6 se//VB|INF|AKT//acl//4 över//PL//compound:prt//6 det//DT|NEU|SIN|DEF//det//9 disciplinansvarssystem//NN|NEU|SIN|IND|NOM//obj//6 som//HP|-|-|-//nsubj//11 gäller//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//11 och//KN//cc//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 delar//NN|UTR|PLU|IND|NOM//conj//13 av//PP//case//18 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//16 ,//MID//punct//21 och//KN//cc//21 föreslå//VB|INF|AKT//conj//2 de//DT|UTR/NEU|PLU|DEF//det//23 åtgärder//NN|UTR|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj:pass//25 behövs//VB|PRS|SFO//acl:relcl//23 för//PP//mark//33 att//SN//mark//33 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//33 om//PP//case//30 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//28 bättre//AB|KOM//advmod//33 ska//VB|PRS|AKT//aux//33 passa//VB|INF|AKT//advcl//25 det//DT|NEU|SIN|DEF//det//36 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 uppgifter//NN|UTR|PLU|IND|NOM//obj//33 .//MAD//punct//2
Bakgrund;Reglerna//NN|UTR|PLU|DEF|NOM//nsubj//63 om//PP//case//58 överklagande//NN|NEU|SIN|IND|NOM//nmod//56 och//KN//cc//60 instansordningen//NN|UTR|SIN|DEF|NOM//conj//58 i//PP//case//62 domstol//NN|UTR|SIN|IND|NOM//nmod//60 skiljer//VB|PRS|AKT//conj//50 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//63 också//AB//advmod//63 åt//PL//compound:prt//63 .//MAD//punct//3
Bakgrund;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//8 om//PP//case//2 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//0 i//PP//case//4 LDT//PM|NOM//nmod//2 har//VB|PRS|AKT//aux//8 i//PP//advmod//8 huvudsak//NN|UTR|SIN|IND|NOM//fixed//6 formats//VB|SUP|SFO//ROOT//8 i//PP//case//11 ett//DT|NEU|SIN|IND//det//11 försvar//NN|NEU|SIN|IND|NOM//obl//8 som//HP|-|-|-//nsubj//13 grundade//VB|PRT|AKT//acl:relcl//11 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//13 på//PP//case//16 värnplikt//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//8 och//KN//cc//22 där//HA//advmod//22 den//DT|UTR|SIN|DEF//det//22 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 verksamheten//NN|UTR|SIN|DEF|NOM//conj//8 som//HP|-|-|-//nsubj:pass//24 bedrevs//VB|PRT|SFO//acl:relcl//22 var//VB|PRT|AKT//advmod//24 att//IE//mark//27 utbilda//VB|INF|AKT//advcl//24 värnpliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//27 .//MAD//punct//8
Bakgrund;Den//DT|UTR|SIN|DEF//det//32 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 omställningen//NN|UTR|SIN|DEF|NOM//nsubj//35 av//PP//case//34 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//32 innebär//VB|PRS|AKT//parataxis//8 att//SN//mark//38 försvaret//NN|NEU|SIN|DEF|NOM//nsubj:pass//38 omformas//VB|PRS|SFO//ccomp//35 från//PP//case//41 en//DT|UTR|SIN|IND//det//41 organisation//NN|UTR|SIN|IND|NOM//obl//38 för//PP//case//44 främst//AB|SUV//amod//44 utbildning//NN|UTR|SIN|IND|NOM//nmod//41 av//PP//case//46 värnpliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//44 och//KN//cc//48 befäl//NN|NEU|PLU|IND|NOM//conj//46 till//PP//case//51 en//DT|UTR|SIN|IND//det//51 organisation//NN|UTR|SIN|IND|NOM//nmod//44 som//HP|-|-|-//nsubj:pass//56 i//PP//case//55 ökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 grad//NN|UTR|SIN|IND|NOM//obl//56 används//VB|PRS|SFO//acl:relcl//51 för//PP//case//61 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 och//KN//cc//60 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//58 insatser//NN|UTR|PLU|IND|NOM//obl//56 .//MAD//punct//35
Bakgrund;Enligt//PP//case//64 direktivet//NN|NEU|SIN|DEF|NOM//obl//65 behöver//VB|PRS|AKT//aux//71 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//71 om//PP//case//68 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//66 inom//PP//case//70 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//68 moderniseras//VB|PRS|SFO//conj//8 och//KN//cc//73 förändras//VB|PRS|SFO//conj//71 för//PP//mark//77 att//IE//mark//77 bättre//AB|KOM//advmod//77 passa//VB|INF|AKT//advcl//73 det//DT|NEU|SIN|DEF//det//82 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//80 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//82 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 uppgifter//NN|UTR|PLU|IND|NOM//obj//77 .//MAD//punct//8
Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//85 framgår//VB|PRS|AKT//conj//8 vidare//AB|KOM//advmod//85 att//SN//mark//92 disciplinansvarssystemet//NN|NEU|SIN|DEF|NOM//nsubj//92 även//AB//advmod//92 fortsättningsvis//AB//advmod//92 ska//VB|PRS|AKT//aux//92 omfatta//VB|INF|AKT//ccomp//85 situationer//NN|UTR|PLU|IND|NOM//obj//92 såväl//KN//advmod//96 i//PP//case//96 fredstid//NN|UTR|SIN|IND|NOM//obl//92 som//KN//nsubj//102 vid//PP//case//100 höjd//PC|PRF|UTR|SIN|IND|NOM//amod//100 beredskap//NN|UTR|SIN|IND|NOM//obl//102 och//KN//cc//102 omfatta//VB|INF|AKT//acl:relcl//96 de//DT|UTR/NEU|PLU|DEF//det//105 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 grupper//NN|UTR|PLU|IND|NOM//obj//102 som//HP|-|-|-//nsubj:pass//107 omfattas//VB|PRS|SFO//acl:relcl//105 av//PP//case//109 LDT//PM|NOM//obl:agent//107 i//PP//advmod//107 dag//NN|UTR|SIN|IND|NOM//fixed//110 .//MAD//punct//8

Resultat av kartläggningen;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 enligt//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 uppdrag//NN|NEU|SIN|IND|NOM//obl//5 kartlagt//VB|SUP|AKT//ROOT//5 och//KN//cc//7 analyserat//VB|SUP|AKT//conj//5 de//DT|UTR/NEU|PLU|DEF//det//10 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//10 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//11 praxis//NN|UTR|SIN|IND|NOM//obj//5 inom//PP//case//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//5 för//PP//case//15 disciplinärenden//NN|NEU|PLU|IND|NOM//obl//5 och//KN//cc//17 gjort//VB|SUP|AKT//conj//5 jämförelser//NN|UTR|PLU|IND|NOM//obj//17 med//PP//case//20 regleringen//NN|UTR|SIN|DEF|NOM//obl//17 av//PP//case//22 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//20 i//PP//case//27 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 jämförbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 länders//NN|NEU|PLU|IND|GEN//nmod:poss//27 försvarsorganisationer//NN|UTR|PLU|IND|NOM//nmod//22 .//MAD//punct//5
Resultat av kartläggningen;Några//DT|UTR/NEU|PLU|IND//det//30 huvuddrag//NN|NEU|PLU|IND|NOM//nsubj//33 i//PP//case//32 kartläggningen//NN|UTR|SIN|DEF|NOM//nmod//30 framträder//VB|PRS|AKT//conj//5 tydligt//AB|POS//advmod//33 .//MAD//punct//5
Resultat av kartläggningen;Antalet//NN|NEU|SIN|DEF|NOM//nmod//1 disciplinärenden//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 minskat//VB|SUP|AKT//ROOT//3 kraftigt//AB|POS//advmod//3 sedan//SN//mark//7 frivilligheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 infördes//VB|PRT|SFO//advcl//3 .//MAD//punct//3
Resultat av kartläggningen;Förbanden//NN|NEU|PLU|DEF|NOM//nsubj//10 hanterar//VB|PRS|AKT//conj//3 numera//AB//advmod//10 endast//AB//advmod//10 ett//DT|NEU|SIN|IND//det//14 fåtal//NN|NEU|SIN|IND|NOM//nmod//15 LDT-ärenden//NN|NEU|PLU|DEF|NOM//obj//10 och//KN//cc//18 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//18 avser//VB|PRS|AKT//conj//10 rekryter//NN|UTR|PLU|IND|NOM//obj//18 och//KN//cc//21 officersaspiranter//NN|UTR|PLU|IND|NOM//conj//19 .//MAD//punct//10
Resultat av kartläggningen;Hemvärnsmän//NN|UTR|PLU|IND|NOM//nsubj//24 utgör//VB|PRS|AKT//conj//3 numerärt//AB|POS//advmod//24 en//DT|UTR|SIN|IND//det//28 stor//JJ|POS|UTR|SIN|IND|NOM//amod//28 grupp//NN|UTR|SIN|IND|NOM//obj//24 inom//PP//case//30 totalförsvaret//NN|NEU|SIN|DEF|NOM//obl//24 ,//MID//punct//33 men//KN//cc//33 förekommer//VB|PRS|AKT//conj//24 överhuvudtaget//AB//nsubj//33 inte//AB//advmod//33 bland//PP//case//39 de//DT|UTR/NEU|PLU|DEF//det//39 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 disciplinärendena//NN|NEU|PLU|DEF|NOM//obl//33 .//MAD//punct//33
Resultat av kartläggningen;Förbandens//NN|NEU|PLU|DEF|GEN//nmod:poss//42 disciplinansvarsärenden//NN|UTR|SIN|IND|NOM//nsubj:pass//46 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 anställd//PC|PRF|UTR|SIN|IND|NOM//amod//45 personal//NN|UTR|SIN|IND|NOM//nsubj:pass//46 prövas//VB|PRS|SFO//xcomp//33 enligt//PP//case//48 LOA//PM|NOM//obl//46 av//PP//case//51 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 personalansvarsnämnd//NN|UTR|SIN|IND|NOM//nmod//48 .//MAD//punct//24
Resultat av kartläggningen;Antalet//NN|NEU|SIN|DEF|NOM//nmod//54 beslut//NN|NEU|PLU|IND|NOM//nsubj//59 om//PP//case//56 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//54 enligt//PP//case//58 LOA//PM|NOM//nmod//56 varierar//VB|PRS|AKT//advcl//24 mellan//PP//case//61 åren//NN|NEU|PLU|DEF|NOM//obl//59 ,//MID//punct//64 men//KN//cc//64 uppgår//VB|PRS|AKT//conj//59 i//PP//advmod//64 regel//NN|UTR|SIN|IND|NOM//fixed//65 till//PP//case//69 ett//DT|NEU|SIN|IND//det//69 20-tal//NN|NEU|SIN|IND|NOM//obl//64 .//MAD//punct//24
Resultat av kartläggningen;Det//DT|NEU|SIN|DEF//det//73 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//73 antalet//NN|NEU|SIN|DEF|NOM//nmod//74 LDT-ärenden//NN|UTR|SIN|DEF|NOM//nsubj//75 förekommer//VB|PRS|AKT//advcl//24 vid//PP//case//80 de//DT|UTR/NEU|PLU|DEF//det//80 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 insatserna//NN|UTR|PLU|DEF|NOM//obl//75 .//MAD//punct//24
Resultat av kartläggningen;Under//PP//case//86 de//DT|UTR/NEU|PLU|DEF//det//86 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//86 fyra//RG|NOM//nummod//86 åren//NN|NEU|PLU|DEF|NOM//obl//94 (//PAD//punct//86 2009//RG|NOM//nummod//86 –//NN|AN//punct//86 2012//RG|NOM//nummod//86 )//PAD//punct//86 har//VB|PRS|AKT//aux//94 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//94 förekommit//VB|SUP|AKT//conj//24 40–65//RG|NOM//nummod//98 årliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 disciplinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 ärenden//NN|NEU|PLU|IND|NOM//nsubj:pass//94 i//PP//case//104 den//DT|UTR|SIN|DEF//det//104 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 insatsen//NN|UTR|SIN|DEF|NOM//nmod//98 i//PP//case//106 Afghanistan//PM|NOM//nmod//104 (//PAD//punct//108 ISAF//PM|NOM//appos//106 )//PAD//punct//108 .//MAD//punct//24
Resultat av kartläggningen;Vid//PP//case//112 tillämpning//NN|UTR|SIN|IND|NOM//obl//24 av//PP//case//114 LDT//PM|NOM//nmod//112 har//VB|PRS|AKT//aux//121 de//DT|UTR/NEU|PLU|DEF//det//119 vanligast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//fixed//116 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//119 förseelserna//NN|UTR|PLU|DEF|NOM//nsubj//121 varit//VB|SUP|AKT//cop//121 vådaskott//NN|NEU|PLU|IND|NOM//conj//24 och//KN//cc//123 alkoholförseelser//NN|UTR|PLU|IND|NOM//conj//121 .//MAD//punct//24
Resultat av kartläggningen;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//127 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//127 underlag//NN|NEU|SIN|IND|NOM//nsubj//130 har//VB|PRS|AKT//aux//130 också//AB//advmod//130 visat//VB|SUP|AKT//conj//24 att//SN//mark//134 extratjänst//NN|UTR|SIN|IND|NOM//nsubj:pass//134 inte//AB//advmod//134 tillämpas//VB|INF|SFO//ccomp//130 som//KN//mark//136 disciplinpåföljd//NN|UTR|SIN|IND|NOM//xcomp//134 .//MID//punct//24
Resultat av kartläggningen;Vidare//AB|KOM//advmod//24 har//VB|PRS|AKT//aux//147 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//139 bl.a.//AB|AN//advmod//139 genom//PP//case//144 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//144 kontakter//NN|UTR|PLU|IND|NOM//obl//139 med//PP//case//146 förbandsföreträdare//NN|UTR|PLU|IND|NOM//nmod//144 framkommit//VB|SUP|AKT//conj//3 att//SN//mark//150 man//PN|UTR|SIN|IND|SUB//nsubj//150 följer//VB|PRS|AKT//ccomp//147 de//DT|UTR/NEU|PLU|DEF//det//152 riktlinjer//NN|UTR|PLU|IND|NOM//obj//150 för//PP//case//154 bedömningen//NN|UTR|SIN|DEF|NOM//obl//150 av//PP//case//156 disciplinärenden//NN|NEU|PLU|IND|NOM//nmod//154 som//HP|-|-|-//obj//160 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//160 har//VB|PRS|AKT//aux//160 tagit//VB|SUP|AKT//acl:relcl//156 fram//PL//compound:prt//160 för//PP//case//163 tillämpning//NN|UTR|SIN|IND|NOM//obl//160 av//PP//case//165 LDT//PM|NOM//nmod//163 .//MAD//punct//3
Resultat av kartläggningen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//168 bidrar//VB|PRS|AKT//parataxis//3 till//PP//case//170 en//PN|UTR|SIN|IND|SUB/OBJ//obl//168 ,//MID//punct//174 som//HP|-|-|-//obl//174 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//174 uppfattar//VB|PRS|AKT//acl:relcl//170 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//174 ,//MID//punct//174 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//178 tillämpning//NN|UTR|SIN|IND|NOM//obj//174 .//MAD//punct//174
Resultat av kartläggningen;Uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj//186 kring//PP//case//183 auditörs//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//183 medverkan//NN|UTR|SIN|IND|NOM//nmod//180 i//PP//case//185 beslutsprocessen//NN|UTR|SIN|DEF|NOM//nmod//183 visar//VB|PRS|AKT//conj//3 också//AB//advmod//186 att//SN//mark//190 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//190 har//VB|PRS|AKT//ccomp//186 en//DT|UTR|SIN|IND//det//193 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//193 roll//NN|UTR|SIN|IND|NOM//obj//190 då//HA//mark//196 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//196 gäller//VB|PRS|AKT//advcl//190 hur//HA//advmod//199 LDT//PM|NOM//nsubj:pass//199 tillämpas//VB|PRS|SFO//ccomp//196 .//MAD//punct//186
Resultat av kartläggningen;Enkätsvar//NN|UTR|PLU|IND|NOM//nsubj//211 och//KN//cc//203 kontakter//NN|UTR|PLU|IND|NOM//conj//201 med//PP//case//205 företrädare//NN|UTR|PLU|IND|NOM//nmod//203 för//PP//case//209 de//DT|UTR/NEU|PLU|DEF//det//209 tillämpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//209 organisationsenheterna//NN|UTR|PLU|DEF|NOM//nmod//205 har//VB|PRS|AKT//aux//211 visat//VB|SUP|AKT//conj//186 att//SN//mark//214 LDT//PM|NOM//nsubj:pass//214 uppfattas//VB|PRS|SFO//ccomp//211 som//KN//case//218 ett//DT|NEU|SIN|IND//det//218 tydligt//JJ|POS|NEU|SIN|IND|NOM//amod//218 regelverk//NN|NEU|SIN|IND|NOM//xcomp//214 ,//MID//punct//224 och//KN//cc//224 att//SN//mark//224 man//PN|UTR|SIN|IND|SUB//nsubj//224 inte//AB//advmod//224 efterlyser//VB|PRS|AKT//conj//214 några//DT|UTR/NEU|PLU|IND//det//227 principiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//227 ändringar//NN|UTR|PLU|IND|NOM//nsubj//224 av//PP//case//229 disciplinansvarssystemet//NN|NEU|SIN|DEF|NOM//nmod//227 .//MAD//punct//186
Resultat av kartläggningen;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//232 brister//NN|UTR|PLU|IND|NOM//nsubj:pass//235 har//VB|PRS|AKT//aux//235 dock//AB//advmod//235 påpekats//VB|SUP|SFO//conj//186 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//237 enskildheter//NN|UTR|PLU|IND|NOM//obl//235 i//PP//case//239 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//237 och//KN//cc//242 i//PP//case//242 tillämpningen//NN|UTR|SIN|DEF|NOM//conj//237 .//MAD//punct//186
