10 Förhållandet till yttrandefriheten ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 görs//VB|PRS|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//6 undantag//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//8 persondatalagen//NN|UTR|SIN|DEF|NOM//nmod//6 för//PP//case//12 all//DT|UTR|SIN|IND/DEF//det//12 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//12 behandling//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//14 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//12 som//HP|-|-|-//nsubj:pass//16 skyddas//VB|PRS|SFO//acl:relcl//12 av//PP//case//18 TF//PM|NOM//obl:agent//16 och//KN//cc//20 YGL//PM|NOM//conj//18 eller//KN//cc//22 utförs//VB|PRS|SFO//conj//16 som//KN//mark//25 ett//DT|NEU|SIN|IND//det//25 led//NN|NEU|SIN|IND|NOM//advcl//22 i//PP//case//28 konstnärligt//JJ|POS|NEU|SIN|IND|NOM//amod//28 skapande//NN|NEU|SIN|IND|NOM//obl//25 .//MAD//punct//1
10.1 Inledning;144//RG|NOM//dep//3


10.2.1 Allmänt;Yttrandefriheten//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 en//PN|UTR|SIN|IND|SUB/OBJ//ROOT//2 av//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 grundlagsskyddade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 fri-//JJ|POS|UTR|-|-|SMS//nmod//2 och//KN//cc//8 rättigheterna//NN|UTR|PLU|DEF|NOM//conj//6 i//PP//case//11 2//RG|NOM//nummod//11 kap.//NN|AN//nmod//14 1//RG|NOM//nummod//13 §//NN|AN//nmod//14 regeringsformen//NN|UTR|SIN|DEF|NOM//nmod//8 (//PAD//punct//14 RF//PM|NOM//appos//14 )//PAD//punct//2 .//MAD//punct//2
10.2.1 Allmänt;Friheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//22 kan//VB|PRS|AKT//aux//22 emellertid//AB//advmod//22 begränsas//VB|INF|SFO//parataxis//2 genom//PP//case//24 lag//NN|UTR|SIN|IND|NOM//obl//22 (//PAD//punct//24 8//RG|NOM//nummod//27 kap.//NN|AN//nmod//30 1//RG|NOM//nummod//29 §//NN|AN//nmod//30 RF//PM|NOM//nmod//24 )//PAD//punct//22 eller//KN//cc//39 i//PP//case//35 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 fall//NN|NEU|PLU|IND|NOM//obl//39 genom//PP//case//37 förordning//NN|UTR|SIN|IND|NOM//nmod//35 efter//PP//mark//39 bemyndigande//NN|NEU|SIN|IND|NOM//conj//22 i//PP//case//41 lag//NN|UTR|SIN|IND|NOM//obl//39 (//PAD//punct//39 8//RG|NOM//nummod//44 kap.//NN|AN//nmod//47 7//RG|NOM//nummod//46 §//NN|AN//nmod//47 RF//PM|NOM//obl//39 )//PAD//punct//22 .//MAD//punct//2
10.2.1 Allmänt;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 former//NN|UTR|PLU|IND|NOM//nsubj//57 för//PP//mark//54 att//IE//mark//54 sprida//VB|INF|AKT//acl//51 yttranden//NN|NEU|PLU|IND|NOM//obj//54 har//VB|PRS|AKT//aux//57 fått//VB|SUP|AKT//parataxis//2 ett//DT|NEU|SIN|IND//det//60 förstärkt//PC|PRF|NEU|SIN|IND|NOM//amod//60 skydd//NN|NEU|SIN|IND|NOM//obj//57 i//PP//case//62 tryckfrihetsförordningen//NN|UTR|SIN|DEF|NOM//obl//57 (//PAD//punct//62 TF//PM|NOM//nmod//62 )//PAD//punct//57 och//KN//cc//67 yttrandefrihetsgrundlagen//NN|UTR|SIN|DEF|NOM//conj//57 (//PAD//punct//67 YGL//PM|NOM//appos//67 )//PAD//punct//67 .//MAD//punct//57
10.2.1 Allmänt;De//DT|UTR/NEU|PLU|DEF//det//73 massmedier//NN|NEU|PLU|IND|NOM//nsubj//80 som//HP|-|-|-//nsubj//75 har//VB|PRS|AKT//acl:relcl//73 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//77 grundlagsskydd//NN|NEU|SIN|IND|NOM//obj//75 är//VB|PRS|AKT//cop//80 tryckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//80 skrifter//NN|UTR|PLU|IND|NOM//parataxis//57 samt//KN//cc//83 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 yttranden//NN|NEU|PLU|IND|NOM//conj//80 i//PP//case//85 radio//NN|UTR|SIN|IND|NOM//nmod//83 ,//MID//punct//87 TV//NN|UTR|SIN|IND|NOM//conj//85 och//KN//cc//90 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 överföringar//NN|UTR|PLU|IND|NOM//conj//85 ,//MID//punct//92 filmer//NN|UTR|PLU|IND|NOM//conj//90 ,//MID//punct//94 videogram//NN|NEU|PLU|IND|NOM//conj//90 och//KN//cc//97 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 upptagningar//NN|UTR|PLU|IND|NOM//conj//85 av//PP//case//100 rörliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//100 bilder//NN|UTR|PLU|IND|NOM//nmod//97 samt//KN//cc//102 ljudupptagningar//NN|UTR|PLU|IND|NOM//conj//100 .//MAD//punct//57
10.2.1 Allmänt;Spridning//NN|UTR|SIN|IND|NOM//obj//57 av//PP//case//106 yttranden//NN|NEU|PLU|IND|NOM//nmod//104 kan//VB|PRS|AKT//aux//109 numera//AB//advmod//109 ske//VB|INF|AKT//conj//57 även//AB//advmod//114 genom//PP//case//114 mer//AB|KOM//advmod//113 modern//JJ|POS|UTR|SIN|IND|NOM//amod//114 informations-//NN|UTR|-|-|SMS//obl//109 och//KN//cc//116 kommunikationsteknik//NN|UTR|SIN|IND|NOM//conj//114 .//MID//punct//57
10.2.1 Allmänt;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//128 om//PP//case//121 vilket//HD|NEU|SIN|IND//det//121 grundlagsskydd//NN|NEU|SIN|IND|NOM//nmod//118 även//AB//advmod//125 dessa//DT|UTR/NEU|PLU|DEF//det//125 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//125 former//NN|UTR|PLU|IND|NOM//nsubj//128 för//PP//case//127 yttrandefrihet//NN|UTR|SIN|IND|NOM//nmod//125 åtnjuter//VB|PRS|AKT//conj//57 eller//KN//cc//131 bör//VB|PRS|AKT//aux//131 åtnjuta//VB|INF|AKT//conj//128 är//VB|PRS|AKT//cop//133 föremål//NN|NEU|PLU|IND|NOM//obj//128 för//PP//case//135 utredning//NN|UTR|SIN|IND|NOM//nmod//133 (//PAD//punct//57 se//VB|IMP|AKT//parataxis//57 nedan//AB//advmod//137 under//PP//case//141 avsnitt//NN|NEU|SIN|IND|NOM//nmod//141 10.4//RG|NOM//obl//137 )//PAD//punct//57 .//MAD//punct//57

10.2.2 Vad innebär grundlagsskyddet?;"Skyddet//NN|NEU|SIN|DEF|NOM//nsubj//4 för//PP//case//3 tryckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//3 skrifter//NN|UTR|PLU|IND|NOM//nmod//0 bygger//VB|PRS|AKT//ROOT//4 på//PP//case//8 sex//RG|NOM//nummod//8 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 principer//NN|UTR|PLU|IND|NOM//obl//4 ;//MID//punct//4"
10.2.2 Vad innebär grundlagsskyddet?;förbud//NN|NEU|PLU|IND|NOM//parataxis//4 mot//PP//case//12 censur//NN|UTR|SIN|IND|NOM//nmod//10 och//KN//cc//16 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 hindrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 åtgärder//NN|UTR|PLU|IND|NOM//conj//12 ,//MID//punct//18 etableringsfrihet//NN|UTR|SIN|IND|NOM//conj//16 ,//MID//punct//16 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//21 regler//NN|UTR|PLU|IND|NOM//conj//10 om//PP//case//23 ansvarighet//NN|UTR|SIN|IND|NOM//nmod//21 för//PP//case//25 tryckfrihetsbrott//NN|NEU|PLU|IND|NOM//nmod//23 ,//MID//punct//27 skydd//NN|NEU|SIN|IND|NOM//conj//21 för//PP//case//29 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//27 som//HP|-|-|-//nsubj//31 anskaffar//VB|PRS|AKT//acl:relcl//29 eller//KN//cc//33 tillhandahåller//VB|PRS|AKT//conj//31 upplysningar//NN|UTR|PLU|IND|NOM//obj//33 för//PP//case//36 offentliggörande//NN|NEU|SIN|IND|NOM//obl//33 i//PP//case//39 tryckt//PC|PRF|UTR|SIN|IND|NOM//amod//39 skrift//NN|UTR|SIN|IND|NOM//nmod//36 ,//MID//punct//42 uttömmande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 angivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//36 av//PP//case//45 de//DT|UTR/NEU|PLU|DEF//det//45 gärningar//NN|UTR|PLU|IND|NOM//nmod//42 som//HP|-|-|-//nsubj:pass//48 kan//VB|PRS|AKT//aux//48 beivras//VB|INF|SFO//acl:relcl//45 som//KN//mark//50 tryckfrihetsbrott//NN|NEU|PLU|IND|NOM//xcomp//48 och//KN//cc//53 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//53 processordning//NN|UTR|SIN|IND|NOM//conj//50 för//PP//case//55 tryckfrihetsmål//NN|NEU|PLU|IND|NOM//nmod//53 .//MAD//punct//10
10.2.2 Vad innebär grundlagsskyddet?;145//RG|NOM//nummod//59  //_SP////57 YGL//PM|NOM//nsubj//60 innehåller//VB|PRS|AKT//conj//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//63 principiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 skydd//NN|NEU|SIN|IND|NOM//obj//60 som//KN//case//65 TF//PM|NOM//nmod//63 ,//MID//punct//72 dock//AB//advmod//72 att//IE//mark//72 i//PP//case//70 lag//NN|UTR|SIN|IND|NOM//obl//72 får//VB|PRS|AKT//aux//72 meddelas//VB|INF|SFO//advcl//60 föreskrifter//NN|UTR|PLU|IND|NOM//obj//72 om//PP//case//75 granskning//NN|UTR|SIN|IND|NOM//obl//72 och//KN//cc//77 godkännande//NN|NEU|SIN|IND|NOM//conj//75 av//PP//case//79 filmer//NN|UTR|PLU|IND|NOM//nmod//77 som//HP|-|-|-//nsubj:pass//82 skall//VB|PRS|AKT//aux//82 visas//VB|INF|SFO//acl:relcl//75 offentligt//AB|POS//advmod//82 (//PAD//punct//72 1//RG|NOM//nummod//86 kap.//NN|AN//nmod//88 3//RG|NOM//nummod//88 §//NN|AN//obl//72 2//RG|NOM//nummod//90 st//NN|AN//nmod//88 .//MAD//punct//60 )//PAD//punct//60 .//MAD//punct//98
10.2.2 Vad innebär grundlagsskyddet?;Vi//PN|UTR|PLU|DEF|SUB//nsubj//98 kommer//VB|PRS|AKT//aux//98 särskilt//AB//advmod//98 att//IE//mark//98 uppmärksamma//VB|INF|AKT//conj//4 förbudet//NN|NEU|SIN|DEF|NOM//obj//98 mot//PP//case//101 censur//NN|UTR|SIN|IND|NOM//obl//98 ,//MID//punct//101 144//RG|NOM//nummod//104 Artikel//NN|UTR|SIN|IND|NOM//conj//101 9//RG|NOM//nummod//104 .//MAD//punct//98
10.2.2 Vad innebär grundlagsskyddet?;145//RG|NOM//nummod//108 SOU//PM|NOM//appos//98 1983:70//RG|NOM//case//111 s.//NN|AN//nmod//111 63//RG|NOM//nmod//108 .//MAD//punct//4
10.2.2 Vad innebär grundlagsskyddet?;SOU//PM|NOM//ROOT//0 1997//RG|NOM//nummod//0 ://MID//punct//0
10.2.2 Vad innebär grundlagsskyddet?;39//RG|NOM//nummod//0
10.2.2 Vad innebär grundlagsskyddet?;Förhållandet//NN|NEU|SIN|DEF|NOM//nsubj//4 till//PP//case//2 yttrandefriheten//NN|UTR|SIN|DEF|NOM//nmod//0 223//RG|NOM//nummod//4 rätten//NN|UTR|SIN|DEF|NOM//ROOT//4 för//PP//case//6 meddelare//NN|UTR|PLU|IND|NOM//nmod//4 m.fl.//AB|AN//mark//10 att//IE//mark//10 vara//VB|INF|AKT//cop//10 anonyma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 (//PAD//punct//10 meddelarskyddet//NN|NEU|SIN|DEF|NOM//appos//10 )//PAD//punct//10 och//KN//cc//19 i//PP//case//17 viss//JJ|POS|UTR|SIN|IND|NOM//amod//17 mån//NN|UTR|SIN|IND|NOM//fixed//14 även//AB//advmod//19 tryckfrihetsbrotten//NN|UTR|SIN|DEF|NOM//conj//10 .//MAD//punct//4

10.2.3 Vilka skrifter omfattas av grundlagsskyddet?;Inte//AB//advmod//2 alla//DT|UTR/NEU|PLU|IND/DEF//det//2 yttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//6 i//PP//case//5 tryckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 skrifter//NN|UTR|PLU|IND|NOM//nmod//2 omfattas//VB|PRS|SFO//ROOT//6 av//PP//case//8 grundlagsskyddet//NN|NEU|SIN|DEF|NOM//obl:agent//6 i//PP//case//10 TF//PM|NOM//nmod//8 .//MAD//punct//6
10.2.3 Vilka skrifter omfattas av grundlagsskyddet?;Tryckfriheten//NN|UTR|SIN|DEF|NOM//nsubj//14 skall//VB|PRS|AKT//aux//14 säkerställa//VB|INF|AKT//parataxis//6 ett//DT|NEU|SIN|IND//det//17 fritt//JJ|POS|NEU|SIN|IND|NOM//amod//17 meningsutbyte//NN|NEU|SIN|IND|NOM//obj//14 och//KN//cc//21 en//DT|UTR|SIN|IND//det//21 allsidig//JJ|POS|UTR|SIN|IND|NOM//amod//21 upplysning//NN|UTR|SIN|IND|NOM//conj//17 (//PAD//punct//21 1//RG|NOM//nummod//24 kap.//NN|AN//appos//21 1//RG|NOM//nummod//26 §//NN|AN//obl//28 2//RG|NOM//nummod//26 st//NN|AN//nummod//24 .//MAD//punct//14 )//PAD//punct//14 .//MAD//punct//6
10.2.3 Vilka skrifter omfattas av grundlagsskyddet?;I//PP//case//33 motiven//NN|NEU|PLU|DEF|NOM//obl//36 till//PP//case//35 TF//PM|NOM//nmod//33 betonades//VB|PRT|SFO//conj//6 behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//36 av//PP//case//41 en//DT|UTR|SIN|IND//det//41 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//41 tryckfrihet//NN|UTR|SIN|IND|NOM//nmod//37 såsom//KN//advmod//47 grundval//NN|NEU|SIN|IND|NOM//fixed//42 för//PP//case//47 ett//DT|NEU|SIN|IND//det//47 fritt//JJ|POS|NEU|SIN|IND|NOM//amod//47 samhällsskick//NN|NEU|SIN|IND|NOM//obl//36 .//MAD//punct//6
10.2.3 Vilka skrifter omfattas av grundlagsskyddet?;Vidare//AB|KOM//punct//6 anfördes//VB|PRT|SFO//conj//6 att//SN//mark//55 tryckfriheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//55 inte//AB//advmod//55 skall//VB|PRS|AKT//aux//55 betraktas//VB|INF|SFO//ccomp//50 endast//AB//advmod//55 som//KN//case//59 en//DT|UTR|SIN|IND//det//59 rätt//NN|UTR|SIN|IND|NOM//obl//55 att//IE//mark//61 uttrycka//VB|INF|AKT//acl//59 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 tankar//NN|UTR|PLU|IND|NOM//obj//61 och//KN//cc//65 åsikter//NN|UTR|PLU|IND|NOM//conj//63 ,//MID//punct//55 utan//KN//cc//71 även//AB//advmod//71 som//KN//case//71 en//DT|UTR|SIN|IND//det//71 rätt//NN|UTR|SIN|IND|NOM//conj//55 att//IE//mark//73 lämna//VB|INF|AKT//acl//71 upplysningar//NN|UTR|PLU|IND|NOM//obj//73 om//PP//case//76 sakförhållanden//NN|NEU|PLU|IND|NOM//nmod//74 .//MAD//punct//6
10.2.3 Vilka skrifter omfattas av grundlagsskyddet?;146//RG|NOM//nummod//82  //_SP////78 Även//AB//advmod//81 konstnärliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 former//NN|UTR|PLU|IND|NOM//nsubj:pass//85 av//PP//case//84 yttranden//NN|NEU|PLU|IND|NOM//nmod//82 skyddas//VB|PRS|SFO//parataxis//6 av//PP//case//87 TF//PM|NOM//obl:agent//85 ,//MID//punct//85 t.ex.//AB|AN//advmod//90 skönlitteratur//NN|UTR|SIN|IND|NOM//parataxis//85 och//KN//cc//92 underhållning//NN|UTR|SIN|IND|NOM//conj//90 av//PP//case//95 annat//JJ|POS|NEU|SIN|IND|NOM//amod//95 slag//NN|NEU|SIN|IND|NOM//nmod//92 .//MAD//punct//6
