Släpvagnskörning med B-körkort ;–//RG|NOM//punct//6 när//HA//advmod//6 kan//VB|PRS|AKT//aux//6 de//DT|UTR/NEU|PLU|DEF//det//5 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 EU-reglerna//NN|UTR|PLU|DEF|NOM//nsubj//6 börja//VB|INF|AKT//ROOT//6 tillämpas//VB|INF|SFO//xcomp//6 ?//MAD//punct//6
Till statsrådet Åsa Torstensson;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 maj//NN|UTR|SIN|IND|NOM//obl//0 2007//RG|NOM//nummod//2
Till statsrådet Åsa Torstensson;Björn//PM|NOM//ROOT//0 Hansson//PM|NOM//flat:name//0 /Eva//MID//flat//0 Römbo//PM|NOM//flat:name//0


1.1 Utredningens uppdrag;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//2 framgår//VB|PRS|AKT//ROOT//2 av//PP//case//4 kommittédirektiven//NN|NEU|PLU|DEF|NOM//obl//2 (//PAD//punct//4 dir//NN|AN//appos//4 .//MAD//punct//4
1.1 Utredningens uppdrag;2006:119//RG|NOM//conj//4 )//PAD//punct//2 ,//MID//punct//11 se//VB|IMP|AKT//parataxis//2 bilaga//NN|UTR|SIN|IND|NOM//nmod//13 1//RG|NOM//nummod//11 .//MID//punct//2
1.1 Utredningens uppdrag; //_SP////14 Enligt//PP//case//17 direktiven//NN|NEU|PLU|DEF|NOM//obl//2 är//VB|PRS|AKT//cop//19 syftet//NN|NEU|SIN|DEF|NOM//nsubj//2 med//PP//case//21 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//19 att//IE//mark//23 göra//VB|INF|AKT//acl//19 en//DT|UTR|SIN|IND//det//25 översyn//NN|UTR|SIN|IND|NOM//obj//23 av//PP//case//27 körkortsförfattningarna//NN|UTR|PLU|DEF|NOM//nmod//25 och//KN//cc//30 med//PP//case//30 dem//PN|UTR/NEU|PLU|DEF|OBJ//conj//27 sammanhängande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 författningar//NN|UTR|PLU|IND|NOM//obj//23 .//MAD//punct//19
1.1 Utredningens uppdrag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//37 skall//VB|PRS|AKT//aux//37 också//AB//advmod//37 analysera//VB|INF|AKT//conj//2 hur//HA//advmod//43 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//42 och//KN//cc//41 rådets//NN|NEU|SIN|DEF|GEN//conj//39 direktiv//NN|NEU|PLU|IND|NOM//nsubj//43 2006/126//RG|NOM//ccomp//37 ///MID//cc//45 EG//PM|NOM//conj//43 av//PP//case//49 den//DT|UTR|SIN|DEF//det//49 20//RG|NOM//nummod//49 december//NN|UTR|SIN|IND|NOM//obl//37 2006//RG|NOM//nummod//49 om//PP//case//52 körkort//NN|NEU|SIN|IND|NOM//nmod//49 ,//MID//punct//57 det//DT|NEU|SIN|DEF//det//57 s.k.//AB|AN//amod//57 tredje//RO|NOM//amod//57 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//appos//49 ,//MID//punct//60 skall//VB|PRS|AKT//aux//60 genomföras//VB|INF|SFO//conj//37 i//PP//case//63 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//63 rätt//NN|UTR|SIN|IND|NOM//obl//60 .//MAD//punct//37
1.1 Utredningens uppdrag;I//PP//case//3 enlighet//NN|UTR|SIN|IND|NOM//fixed//0 med//PP//fixed//0 utredningsdirektiven//NN|NEU|PLU|DEF|NOM//obl//4 redovisas//VB|PRS|SFO//ROOT//4 i//PP//case//7 detta//DT|NEU|SIN|DEF//det//7 delbetänkande//NN|NEU|SIN|IND|NOM//obl//4 den//DT|UTR|SIN|DEF//det//9 del//NN|UTR|SIN|IND|NOM//nsubj:pass//4 av//PP//case//11 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//9 som//HP|-|-|-//nsubj//13 rör//VB|PRS|AKT//acl:relcl//11 förändringar//NN|UTR|PLU|IND|NOM//obj//13 av//PP//case//16 reglerna//NN|UTR|PLU|DEF|NOM//nmod//14 om//PP//case//20 högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//20 tillåtna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//20 totalvikt//NN|UTR|SIN|IND|NOM//nmod//16 för//PP//mark//23 att//IE//mark//23 dra//VB|INF|AKT//advcl//13 fordonskombinationer//NN|UTR|PLU|IND|NOM//obj//23 (//PAD//punct//9 dragbil//NN|UTR|SIN|IND|NOM//appos//9 och//KN//cc//28 släp//NN|NEU|SIN|IND|NOM//conj//26 )//PAD//punct//9 med//PP//case//31 körkortsbehörighet//NN|UTR|SIN|IND|NOM//nmod//32 B//NN|NEU|SIN|IND|NOM//nmod//9 och//KN//cc//35 som//HP|-|-|-//nsubj//35 har//VB|PRS|AKT//conj//4 sin//PS|UTR|SIN|DEF//nmod:poss//37 grund//NN|UTR|SIN|IND|NOM//obj//35 i//PP//case//41 det//DT|NEU|SIN|DEF//det//41 tredje//RO|NOM//amod//41 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//obl//35 .//MAD//punct//4
1.1 Utredningens uppdrag;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 delar//NN|UTR|PLU|IND|NOM//nsubj:pass//5 av//PP//case//3 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//1 skall//VB|PRS|AKT//aux//5 redovisas//VB|INF|SFO//ROOT//5 senast//AB|SUV//case//9 den//DT|UTR|SIN|DEF//det//9 1//RO|NOM//nummod//9 maj//NN|UTR|SIN|IND|NOM//obl//5 2008//RG|NOM//nummod//9 .//MAD//punct//5

1.2 Utredningens arbete;Den//DT|UTR|SIN|DEF//det//2 särskilde//PC|PRF|MAS|SIN|DEF|NOM//amod//2 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 genomfört//VB|SUP|AKT//ROOT//4 uppdraget//NN|NEU|SIN|DEF|NOM//obj//4 i//PP//case//8 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 samarbete//NN|NEU|SIN|IND|NOM//obl//4 med//PP//case//10 experterna//NN|UTR|PLU|DEF|NOM//nmod//8 och//KN//cc//12 utredningen//NN|UTR|SIN|DEF|NOM//conj//10 har//VB|PRS|AKT//advcl//4 i//PP//case//16 denna//DT|UTR|SIN|DEF//det//16 del//NN|UTR|SIN|IND|NOM//nmod//17 sammanträtt//VB|SUP|AKT//obj//13 vid//PP//case//20 fyra//RG|NOM//nummod//20 tillfällen//NN|NEU|PLU|IND|NOM//nmod//17 .//MAD//punct//4
1.2 Utredningens arbete;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//26 har//VB|PRS|AKT//aux//26 under//PP//advmod//26 hand//NN|UTR|SIN|IND|NOM//fixed//24 inhämtat//VB|SUP|AKT//conj//4 information//NN|UTR|SIN|IND|NOM//obj//26 från//PP//case//31 Sveriges//PM|GEN//nmod:poss//30 Trafikskolors//NN|UTR|PLU|IND|GEN//nmod:poss//31 Riksförbund//NN|NEU|SIN|IND|NOM//nmod//27 (//PAD//punct//27 STR//PM|NOM//appos//27 )//PAD//punct//26 ,//MID//punct//36 Caravan//PM|NOM//appos//4 Club//PM|NOM//flat//36 ,//MID//punct//40 Husvagnsbranschens//NN|UTR|SIN|DEF|GEN//nmod:poss//40 Riksförbund//NN|NEU|SIN|IND|NOM//conj//36 samt//KN//cc//44 från//PP//case//44 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 enheter//NN|UTR|PLU|IND|NOM//conj//36 inom//PP//case//46 Vägverket//PM|NOM//nmod//44 .//MAD//punct//4


2.1 Allmänt;Regler//NN|UTR|PLU|IND|NOM//nsubj//34 för//PP//case//2 släpvagnskombinationer//NN|UTR|PLU|IND|NOM//nmod//0 ,//MID//punct//2 dvs.//AB|AN//advmod//6 en//DT|UTR|SIN|IND//det//6 dragbil//NN|UTR|SIN|IND|NOM//conj//2 med//PP//case//10 en//DT|UTR|SIN|IND//det//10 tillkopplad//PC|PRF|UTR|SIN|IND|NOM//amod//10 släpvagn//NN|UTR|SIN|IND|NOM//nmod//6 ,//MID//punct//12 återfinns//VB|PRS|SFO//conj//0 inom//PP//case//15 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//15 lagstiftningsområden//NN|NEU|PLU|IND|NOM//obl//12 men//KN//cc//20 i//PP//case//20 huvudsak//NN|UTR|SIN|IND|NOM//fixed//17 i//PP//fixed//17 körkortslagstiftningen//NN|UTR|SIN|DEF|NOM//conj//15 ,//MID//punct//22 trafiklagstiftningen//NN|UTR|SIN|DEF|NOM//conj//20 och//KN//cc//24 fordonslagstiftningen//NN|UTR|SIN|DEF|NOM//conj//20 .//MID//punct//0
2.1 Allmänt;Körkortslagstiftningen//NN|UTR|SIN|DEF|NOM//appos//0 ,//MID//punct//26 med//PP//case//30 tillhörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 föreskrifter//NN|UTR|PLU|IND|NOM//conj//26 av//PP//case//32 Vägverket//PM|NOM//nmod//30 ,//MID//punct//26 ger//VB|PRS|AKT//ROOT//34 svar//NN|NEU|SIN|IND|NOM//obj//34 på//PP//case//38 vilka//HD|UTR/NEU|PLU|IND//det//38 körkortsbehörigheter//NN|UTR|PLU|IND|NOM//obl//34 som//HP|-|-|-//nsubj:pass//40 krävs//VB|PRS|SFO//acl:relcl//38 för//PP//mark//44 att//IE//mark//44 få//VB|INF|AKT//aux//44 köra//VB|INF|AKT//advcl//40 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 fordon//NN|NEU|PLU|IND|NOM//obj//44 och//KN//cc//50 hur//HA//advmod//50 man//PN|UTR|SIN|IND|SUB//nsubj//50 förvärvar//VB|PRS|AKT//conj//34 behörigheterna//NN|UTR|PLU|DEF|NOM//obj//50 .//MAD//punct//34
2.1 Allmänt;Trafiklagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//54 innehåller//VB|PRS|AKT//parataxis//34 bestämmelser//NN|UTR|PLU|IND|NOM//obj//54 om//PP//case//58 tillåtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//58 vikter//NN|UTR|PLU|IND|NOM//nmod//55 medan//SN//mark//61 fordonslagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//61 innehåller//VB|PRS|AKT//advcl//54 definitioner//NN|UTR|PLU|IND|NOM//obj//61 och//KN//cc//64 bestämmelser//NN|UTR|PLU|IND|NOM//conj//62 av//PP//case//67 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//67 karaktär//NN|UTR|SIN|IND|NOM//nmod//64 .//MID//punct//54
2.1 Allmänt;Alla//DT|UTR/NEU|PLU|IND/DEF//det//72 de//DT|UTR/NEU|PLU|DEF//det//72 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//72 lagstiftningsområdena//NN|NEU|PLU|DEF|NOM//nsubj//73 innehåller//VB|PRS|AKT//parataxis//54 ansvarsbestämmelser//NN|UTR|PLU|IND|NOM//obj//73 .//MAD//punct//54
2.1 Allmänt;Därutöver//AB//advmod//77 finns//VB|PRS|SFO//conj//34 särskilt//AB//advmod//79 reglerat//PC|PRF|NEU|SIN|IND|NOM//xcomp//77 om//PP//case//81 uttag//NN|NEU|SIN|IND|NOM//obl//77 av//PP//case//83 överlastavgift//NN|UTR|SIN|IND|NOM//nmod//81 .//MAD//punct//77
2.1 Allmänt;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//86 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//88 är//VB|PRS|AKT//cop//88 inriktat//PC|PRF|NEU|SIN|IND|NOM//parataxis//77 på//PP//case//90 behörighetsfrågor//NN|UTR|PLU|IND|NOM//obl//88 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//92 rätten//NN|UTR|SIN|DEF|NOM//obl//88 att//IE//mark//97 med//PP//case//96 en//DT|UTR|SIN|IND//det//96 personbil//NN|UTR|SIN|IND|NOM//obl//97 dra//VB|INF|AKT//acl//92 en//DT|UTR|SIN|IND//det//99 släpvagn//NN|UTR|SIN|IND|NOM//obj//97 .//MAD//punct//77
2.1 Allmänt;De//DT|UTR/NEU|PLU|DEF//det//102 bestämmelser//NN|UTR|PLU|IND|NOM//appos//77 som//HP|-|-|-//nsubj//105 främst//AB|SUV//advmod//105 kommer//VB|PRS|AKT//acl:relcl//102 i//PP//advmod//105 fråga//NN|UTR|SIN|IND|NOM//fixed//106 är//VB|PRS|AKT//cop//102 därför//AB//advmod//102 bestämmelserna//NN|UTR|PLU|DEF|NOM//appos//102 om//PP//case//112 körkortsbehörigheter//NN|UTR|PLU|IND|NOM//nmod//110 i//PP//case//114 körkortslagen//NN|UTR|SIN|DEF|NOM//nmod//112 (//PAD//punct//102 1998:488//RG|NOM//appos//102 )//PAD//punct//102 ,//MID//punct//119 KKL//PM|NOM//appos//102 .//MAD//punct//34
2.1 Allmänt;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 avsnitt//NN|NEU|SIN|IND|NOM//obl//3 kartlägger//VB|PRS|AKT//ROOT//3 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//8 rätt//JJ|POS|NEU|SIN|IND|NOM//advmod//7 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 behörighetsreglerna//NN|UTR|PLU|DEF|NOM//obl//3 samt//KN//cc//10 bestämmelser//NN|UTR|PLU|IND|NOM//conj//8 som//HP|-|-|-//nsubj//12 anknyter//VB|PRS|AKT//acl:relcl//10 till//PP//case//14 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//12 .//MAD//punct//3
2.1 Allmänt;Kartläggningen//NN|UTR|SIN|DEF|NOM//nsubj//17 syftar//VB|PRS|AKT//parataxis//3 till//PP//mark//20 att//IE//mark//20 ge//VB|INF|AKT//advcl//17 underlag//NN|NEU|SIN|IND|NOM//obj//20 för//PP//case//23 bedömningen//NN|UTR|SIN|DEF|NOM//nmod//21 av//PP//mark//36 dels//KN//advmod//36 hur//HA//advmod//36 de//DT|UTR/NEU|PLU|DEF//det//29 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//36 om//PP//case//31 dragbil//NN|UTR|SIN|IND|NOM//nsubj:pass//36 och//KN//cc//33 släp//NN|NEU|SIN|IND|NOM//conj//31 lämpligen//AB//advmod//36 bör//VB|PRS|AKT//aux//36 genomföras//VB|INF|SFO//acl//23 i//PP//case//38 Sverige//PM|NOM//obl//36 ,//MID//punct//44 dels//KN//advmod//44 om//SN//mark//44 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//44 är//VB|PRS|AKT//cop//44 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//17 att//IE//mark//46 införa//VB|INF|AKT//csubj//44 dessa//DT|UTR/NEU|PLU|DEF//det//48 bestämmelser//NN|UTR|PLU|IND|NOM//obj//46 tidigare//AB|KOM//advmod//46 än//KN//case//52 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 bestämmelser//NN|UTR|PLU|IND|NOM//obl//46 som//HP|-|-|-//obj//57 det//DT|NEU|SIN|DEF//det//56 tredje//RO|NOM//amod//56 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//nsubj//57 leder//VB|PRS|AKT//acl:relcl//52 till//PP//compound:prt//57 .//MAD//punct//3

2.2 Körkortsdirektivets behörighetsregler;Gränserna//NN|UTR|PLU|DEF|NOM//nsubj//14 för//PP//case//4 hur//HA//advmod//3 tunga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 släpvagnskombinationer//NN|UTR|PLU|IND|NOM//acl//0 som//HP|-|-|-//nsubj:pass//7 får//VB|PRS|AKT//aux//7 framföras//VB|INF|SFO//acl:relcl//4 med//PP//case//10 visst//JJ|POS|NEU|SIN|IND|NOM//amod//10 slag//NN|NEU|SIN|IND|NOM//obl//7 av//PP//case//12 körkort//NN|NEU|PLU|IND|NOM//nmod//10 är//VB|PRS|AKT//cop//14 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//14 i//PP//case//16 EU//PM|NOM//obl//14 och//KN//cc//19 inom//PP//case//19 EES//PM|NOM//conj//16 och//KN//cc//21 styrs//VB|PRS|SFO//conj//14 i//PP//advmod//21 dag//NN|UTR|SIN|IND|NOM//fixed//22 av//PP//case//27 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//27 direktiv//NN|NEU|SIN|IND|NOM//amod//27 91/439//RG|NOM//obl//21 ///MID//cc//29 EEG//NN|AN//conj//27 ,//MID//punct//14 det//DT|NEU|SIN|DEF//det//34 s.k.//AB|AN//amod//34 andra//RO|NOM//amod//34 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//conj//14 .//MAD//punct//14
2.2 Körkortsdirektivets behörighetsregler;I//PP//case//38 artikel//NN|UTR|SIN|IND|NOM//nmod//38 3//RG|NOM//nummod//39 sägs//VB|PRS|SFO//conj//14 att//IE//advmod//39 med//PP//case//42 körkort//NN|NEU|SIN|IND|NOM//obl//39 med//PP//case//44 behörighet//NN|UTR|SIN|IND|NOM//nmod//42
2.2 Körkortsdirektivets behörighetsregler;för//PP//case//1 fordon//NN|NEU|PLU|IND|NOM//obl//8 enligt//PP//case//4 kategori//NN|UTR|SIN|IND|NOM//nmod//4 B//NN|NEU|SIN|IND|NOM//nmod//1 (//PAD//punct//4 B-körkort//NN|UTR|SIN|IND|NOM//appos//4 )//PAD//punct//4 får//VB|PRS|AKT//aux//11 en//DT|UTR|SIN|IND//det//10 förare//NN|UTR|SIN|IND|NOM//nsubj//11 köra//VB|INF|AKT//ROOT//11 en//DT|UTR|SIN|IND//det//13 bil//NN|UTR|SIN|IND|NOM//obj//11 med//PP//case//16 en//DT|UTR|SIN|IND//det//16 totalvikt//NN|UTR|SIN|IND|NOM//obl//11 som//HP|-|-|-//nsubj//19 inte//AB//advmod//19 överstiger//VB|PRS|AKT//acl:relcl//16 3//RG|NOM//nummod//22 500//RG|NOM//nummod//22 kg//NN|AN//obj//19 och//KN//cc//26 som//HP|-|-|-//nsubj//26 inte//AB//advmod//26 har//VB|PRS|AKT//conj//19 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//30 än//KN//fixed//27 åtta//RG|NOM//nummod//30 sittplatser//NN|UTR|PLU|IND|NOM//obj//26 utöver//PP//case//32 förarsätet//NN|NEU|SIN|DEF|NOM//nmod//30 (//PAD//punct//11 dvs.//AB|AN//advmod//36 en//DT|UTR|SIN|IND//det//36 personbil//NN|UTR|SIN|IND|NOM//parataxis//11 eller//KN//cc//40 en//DT|UTR|SIN|IND//det//40 lätt//JJ|POS|UTR|SIN|IND|NOM//amod//40 lastbil//NN|UTR|SIN|IND|NOM//conj//36 )//PAD//punct//11 .//MAD//punct//11
2.2 Körkortsdirektivets behörighetsregler;Till//PP//case//45 en//DT|UTR|SIN|IND//det//45 bil//NN|UTR|SIN|IND|NOM//obl//50 i//PP//case//48 denna//DT|UTR|SIN|DEF//det//48 kategori//NN|UTR|SIN|IND|NOM//nmod//45 får//VB|PRS|AKT//aux//50 kopplas//VB|INF|SFO//conj//11 en//DT|UTR|SIN|IND//det//52 släpvagn//NN|UTR|SIN|IND|NOM//nsubj:pass//50 med//PP//case//56 en//DT|UTR|SIN|IND//det//55 tillåten//JJ|POS|UTR|SIN|IND|NOM//nmod//56 totalvikt//NN|UTR|SIN|IND|NOM//obl//50 som//HP|-|-|-//nsubj//59 inte//AB//advmod//59 överstiger//VB|PRS|AKT//acl:relcl//56 750//RG|NOM//nummod//61 kg//NN|AN//obj//59 .//MAD//punct//11
