Till statsrådet Lars-Erik Lövdén ;Statsrådet//NN|NEU|SIN|DEF|NOM//nmod//1 Lars-Erik//PM|NOM//nsubj//3 Lövdén//PM|NOM//flat:name//1 har//VB|PRS|AKT//ROOT//3 den//DT|UTR|SIN|DEF//det//6 24//RG|NOM//nummod//6 oktober//NN|UTR|SIN|IND|NOM//obj//3 2000//RG|NOM//nummod//6 gett//VB|SUP|AKT//conj//3 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//11 Birger//PM|NOM//obj//8 Bäckström//PM|NOM//flat:name//11 uppdraget//NN|NEU|SIN|DEF|NOM//flat:name//11 att//IE//mark//15 följa//VB|INF|AKT//xcomp//8 upp//PL//compound:prt//15 och//KN//cc//18 stödja//VB|INF|AKT//conj//15 de//DT|UTR/NEU|PLU|DEF//det//20 kommuner//NN|UTR|PLU|IND|NOM//obj//18 och//KN//cc//22 landsting//NN|NEU|PLU|IND|NOM//conj//20 vars//HS|DEF//nmod:poss//24 ansökningar//NN|UTR|PLU|IND|NOM//nsubj:pass//25 beretts//VB|SUP|SFO//acl:relcl//20 av//PP//case//27 Kommundelegationen//NN|UTR|SIN|DEF|NOM//obl:agent//25 och//KN//cc//32 som//HP|-|-|-//nsubj:pass//32 av//PP//case//31 regeringen//NN|UTR|SIN|DEF|NOM//obl//32 beviljats//VB|SUP|SFO//conj//25 bidrag//NN|NEU|PLU|IND|NOM//obj//32 från//PP//case//36 anslaget//NN|NEU|SIN|DEF|NOM//nmod//36 Bidrag//NN|NEU|PLU|IND|NOM//nmod//33 till//PP//case//39 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 insatser//NN|UTR|PLU|IND|NOM//obl//32 i//PP//case//42 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 kommuner//NN|UTR|PLU|IND|NOM//nmod//39 och//KN//cc//44 landsting//NN|NEU|SIN|IND|NOM//conj//42 .//MAD//punct//3

1.1 Utredningsdirektiv;En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallades//VB|PRT|SFO//ROOT//3 i//PP//case//5 oktober//NN|UTR|SIN|IND|NOM//obl//3 2000//RG|NOM//nummod//5 med//PP//case//8 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//10 följa//VB|INF|AKT//acl//8 upp//PL//compound:prt//10 och//KN//cc//13 stödja//VB|INF|AKT//conj//10 de//DT|UTR/NEU|PLU|DEF//det//15 kommuner//NN|UTR|PLU|IND|NOM//obj//13 och//KN//cc//17 landsting//NN|NEU|PLU|IND|NOM//conj//15 vars//HS|DEF//nmod:poss//19 ansökningar//NN|UTR|PLU|IND|NOM//nsubj:pass//20 beretts//VB|SUP|SFO//acl:relcl//15 av//PP//case//22 Kommundelegationen//NN|UTR|SIN|DEF|NOM//obl:agent//20 och//KN//cc//27 som//HP|-|-|-//nsubj:pass//27 av//PP//case//26 regeringen//NN|UTR|SIN|DEF|NOM//obl//27 beviljats//VB|SUP|SFO//conj//20 bidrag//NN|NEU|PLU|IND|NOM//obj//27 från//PP//case//31 anslaget//NN|NEU|SIN|DEF|NOM//nmod//31 Bidrag//NN|NEU|PLU|IND|NOM//nmod//28 till//PP//case//34 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 insatser//NN|UTR|PLU|IND|NOM//obl//27 i//PP//case//37 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 kommuner//NN|UTR|PLU|IND|NOM//nmod//34 och//KN//cc//39 landsting//NN|NEU|SIN|IND|NOM//conj//37
1.1 Utredningsdirektiv;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 i//PP//case//3 oktober//NN|UTR|SIN|IND|NOM//obl//1 om//PP//case//5 direktiv//NN|NEU|PLU|IND|NOM//obl//1 för//PP//case//7 uppföljning//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//10 Kommundelegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 ärenden//NN|NEU|PLU|IND|NOM//nmod//7 (//PAD//punct//1 dir//NN|AN//nmod:poss//13 2000:71//RG|NOM//appos//1 )//PAD//punct//13 .//MAD//punct//1
1.1 Utredningsdirektiv;Sammanfattningsvis//AB//advmod//19 har//VB|PRS|AKT//aux//19 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//19 varit//VB|SUP|AKT//conj//1 att//IE//advmod//19 ://MAD//punct//19
1.1 Utredningsdirektiv;•//NN|UTR|SIN|IND|NOM//obl//2 aktivt//AB|POS//advmod//2 följa//VB|INF|AKT//ROOT//2 genomförandet//NN|NEU|SIN|DEF|NOM//obj//2 av//PP//case//5 åtgärdsplanerna//NN|UTR|PLU|DEF|NOM//nmod//3 samt//KN//cc//7 utvecklingen//NN|UTR|SIN|DEF|NOM//conj//5 av//PP//case//11 den//DT|UTR|SIN|DEF//det//11 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 situationen//NN|UTR|SIN|DEF|NOM//nmod//7 i//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 kommuner//NN|UTR|PLU|IND|NOM//nmod//11 och//KN//cc//16 landsting//NN|NEU|PLU|IND|NOM//conj//14 som//HP|-|-|-//nsubj:pass//18 beviljats//VB|SUP|SFO//acl:relcl//16 stöd//NN|NEU|SIN|IND|NOM//obj//18 av//PP//case//21 regeringen//NN|UTR|SIN|DEF|NOM//nmod//19 ,//MID//punct//2
1.1 Utredningsdirektiv;•//NN|UTR|SIN|IND|NOM//nsubj//1 följa//VB|INF|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//1 i//PP//case//7 de//DT|UTR/NEU|PLU|DEF//det//7 kommuner//NN|UTR|PLU|IND|NOM//obl//1 som//HP|-|-|-//nsubj//9 tecknat//VB|SUP|AKT//acl:relcl//7 avtal//NN|NEU|SIN|IND|NOM//obj//9 med//PP//obl//9 och//KN//cc//13 beviljats//VB|SUP|SFO//conj//9 stöd//NN|NEU|SIN|IND|NOM//obj//13 i//PP//case//16 samråd//NN|NEU|SIN|IND|NOM//obl//13 med//PP//case//18 Bostadsdelegationen//NN|UTR|SIN|DEF|NOM//nmod//16 ,//MID//punct//1
1.1 Utredningsdirektiv;•//NN|UTR|SIN|IND|NOM//nsubj//2 vara//VB|INF|AKT//cop//2 samrådspart//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 kommunerna//NN|UTR|PLU|DEF|NOM//nmod//2 och//KN//cc//6 landstingen//NN|NEU|PLU|DEF|NOM//conj//4 när//HA//case//11 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//7 gäller//VB|PRS|AKT//fixed//7 de//DT|UTR/NEU|PLU|DEF//det//11 redovisningar//NN|UTR|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//14 skall//VB|PRS|AKT//aux//14 lämnas//VB|INF|SFO//acl:relcl//11 till//PP//case//16 regeringen//NN|UTR|SIN|DEF|NOM//obl//14 .//MAD//punct//2

1.2 Kommuner och landsting som beviljats stöd;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 36//RG|NOM//nummod//2 kommuner//NN|UTR|PLU|IND|NOM//nsubj//7 och//KN//cc//5 4//RG|NOM//nummod//5 landsting//NN|NEU|PLU|IND|NOM//conj//2 har//VB|PRS|AKT//aux//7 tecknat//VB|SUP|AKT//ROOT//7 en//DT|UTR|SIN|IND//det//9 överenskommelse//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//11 staten//NN|UTR|SIN|DEF|NOM//nmod//9 om//PP//mark//14 att//IE//mark//14 sänka//VB|INF|AKT//acl//9 sin//PS|UTR|SIN|DEF//nmod:poss//16 bruttokostnadsnivå//NN|UTR|SIN|IND|NOM//obj//14 och//KN//cc//18 uppnå//VB|INF|AKT//conj//14 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//20 balans//NN|UTR|SIN|IND|NOM//obj//18 senast//AB|SUV//case//23 vid//PP//case//23 bokslutet//NN|NEU|SIN|DEF|NOM//obl//18 för//PP//case//25 2002//RG|NOM//nmod//23 och//KN//cc//27 beviljats//VB|SUP|SFO//conj//14 stöd//NN|NEU|SIN|IND|NOM//obj//27 under//PP//case//31 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 villkor//NN|NEU|PLU|IND|NOM//obl//27 ://MAD//punct//7
1.2 Kommuner och landsting som beviljats stöd;Arvidsjaurs//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//ROOT//1
1.2 Kommuner och landsting som beviljats stöd;Askersunds//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//ROOT//1
1.2 Kommuner och landsting som beviljats stöd;Bjurholms//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//ROOT//1
1.2 Kommuner och landsting som beviljats stöd;Bodens//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//ROOT//1
1.2 Kommuner och landsting som beviljats stöd;Borgholms//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//ROOT//1
1.2 Kommuner och landsting som beviljats stöd;Bromölla//PM|GEN//amod//1 kommun//NN|UTR|SIN|IND|NOM//nmod//2 Dorotea//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//nmod//4 Gällivare//PM|GEN//amod//5 kommun//NN|UTR|SIN|IND|NOM//ROOT//5 Hagfors//PM|GEN//nmod:poss//7 kommun//NN|UTR|SIN|IND|NOM//conj//5 Hedemora//PM|GEN//conj//5 kommun//NN|UTR|SIN|IND|NOM//nsubj//8 Haparandas//PM|GEN//nmod:poss//11 kommun//NN|UTR|SIN|IND|NOM//iobj//8 Hofors//PM|GEN//nmod:poss//13 kommun//NN|UTR|SIN|IND|NOM//nmod//15 Hultsfreds//PM|GEN//nmod:poss//15 kommun//NN|UTR|SIN|IND|NOM//conj//5 Håbo//PM|GEN//nmod:poss//17 kommun//NN|UTR|SIN|IND|NOM//conj//5 Hällefors//PM|GEN//nmod:poss//19 kommun//NN|UTR|SIN|IND|NOM//conj//5 Härnösands//PM|GEN//nmod:poss//21 kommun//NN|UTR|SIN|IND|NOM//conj//5 Jokkmokks//PM|GEN//nmod:poss//23 kommun//NN|UTR|SIN|IND|NOM//conj//5 Karlsborgs//PM|GEN//nmod:poss//25 kommun//NN|UTR|SIN|IND|NOM//conj//5 Kramfors//PM|GEN//nmod:poss//27 kommun//NN|UTR|SIN|IND|NOM//conj//5 Kils//PM|GEN//nmod:poss//29 kommun//NN|UTR|SIN|IND|NOM//conj//5 Kristinehamns//PM|GEN//nmod:poss//31 kommun//NN|UTR|SIN|IND|NOM//conj//5 Krokoms//PM|GEN//nmod:poss//33 kommun//NN|UTR|SIN|IND|NOM//conj//5 Ljusnarsbergs//PM|GEN//nmod:poss//35 kommun//NN|UTR|SIN|IND|NOM//conj//33 Melleruds//PM|GEN//nmod:poss//37 kommun//NN|UTR|SIN|IND|NOM//conj//33 Munkfors//PM|GEN//nmod:poss//39 kommun//NN|UTR|SIN|IND|NOM//nmod//40 Nora//PM|GEN//amod//43 kommun//NN|UTR|SIN|IND|NOM//flat//40 Nordmalings//PM|GEN//nmod:poss//43 kommun//NN|UTR|SIN|IND|NOM//conj//33 Olofströms//PM|GEN//nmod:poss//45 kommun//NN|UTR|SIN|IND|NOM//obl//46 Pajala//PM|NOM//nmod:poss//47 kommun//NN|UTR|SIN|IND|NOM//conj//33 Ragunda//PM|GEN//amod//49 kommun//NN|UTR|SIN|IND|NOM//conj//33 Rättviks//PM|GEN//nmod:poss//51 kommun//NN|UTR|SIN|IND|NOM//conj//5
1.2 Kommuner och landsting som beviljats stöd;Smedjebackens//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//nsubj//3 Sollefteå//PM|GEN//amod//3 kommun//NN|UTR|SIN|IND|NOM//nmod//4 Surahammars//PM|GEN//nmod:poss//5 kommun//NN|UTR|SIN|IND|NOM//ROOT//5 Vindelns//PM|GEN//nmod:poss//7 kommun//NN|UTR|SIN|IND|NOM//conj//5 Älvdalens//PM|GEN//nmod:poss//9 kommun//NN|UTR|SIN|IND|NOM//conj//5 Dalarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 läns//NN|NEU|SIN|IND|GEN//nmod:poss//12 landsting//NN|NEU|SIN|IND|NOM//nmod//15 Värmlands//PM|GEN//nmod:poss//15 läns//NN|NEU|SIN|IND|GEN//amod//15 landsting//NN|NEU|SIN|IND|NOM//conj//5
1.2 Kommuner och landsting som beviljats stöd;Västernorrlands//PM|GEN//nmod:poss//2 läns//NN|NEU|SIN|IND|GEN//amod//2 landsting//NN|NEU|SIN|IND|NOM//nmod//5 Norrbottens//PM|GEN//nmod:poss//5 läns//NN|NEU|SIN|IND|GEN//nmod:poss//5 landsting//NN|NEU|SIN|IND|NOM//ROOT//5 (//PAD//punct//5 För//PP//case//9 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 information//NN|UTR|SIN|IND|NOM//obl//10 se//VB|INF|AKT//parataxis//5 bilagor//NN|UTR|PLU|IND|NOM//nsubj//10 regeringsbeslut//NN|NEU|PLU|IND|NOM//advmod//13 5//RG|NOM//nummod//14 oktober//NN|UTR|SIN|IND|NOM//obj//10 2000//RG|NOM//nummod//14 nr//NN|AN//nmod//17 8//RG|NOM//nmod//18 9//RG|NOM//obl//10 ,//MID//punct//10 2//RG|NOM//nummod//21 december//NN|UTR|SIN|IND|NOM//appos//10 2000//RG|NOM//nummod//21 nr//NN|AN//nmod//24 21//RG|NOM//nmod//21 samt//KN//cc//30 21//RG|NOM//nummod//27 december//NN|UTR|SIN|IND|NOM//nmod//30 2000//RG|NOM//case//30 nr//NN|AN//nmod//30 31//RG|NOM//nummod//21 .//MAD//punct//5 )//PAD//punct//5


2.1 Bakgrund till bildandet av Kommundelegationen;År//NN|NEU|SIN|IND|NOM//nmod//1 2000//RG|NOM//obl//2 började//VB|PRT|AKT//ROOT//2 kravet//NN|NEU|SIN|DEF|NOM//nsubj//2 på//PP//case//6 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//6 balans//NN|UTR|SIN|IND|NOM//nmod//3 för//PP//case//8 kommuner//NN|UTR|PLU|IND|NOM//nmod//6 ,//MID//punct//10 landsting//NN|NEU|SIN|IND|NOM//conj//8 och//KN//cc//12 kommunalförbund//NN|NEU|SIN|IND|NOM//conj//8 att//IE//mark//14 gälla//VB|INF|AKT//xcomp//2 .//MAD//punct//2
2.1 Bakgrund till bildandet av Kommundelegationen;Kravet//NN|NEU|SIN|DEF|NOM//nsubj//17 innebär//VB|PRS|AKT//parataxis//2 att//SN//mark//23 budgeten//NN|UTR|SIN|DEF|NOM//nsubj:pass//23 varje//DT|UTR/NEU|SIN|IND//det//21 år//NN|NEU|SIN|IND|NOM//nmod//19 skall//VB|PRS|AKT//aux//23 upprättas//VB|INF|SFO//ccomp//17 så//AB//mark//27 att//SN//mark//27 intäkterna//NN|UTR|PLU|DEF|NOM//nsubj//27 överstiger//VB|PRS|AKT//advcl//23 kostnaderna//NN|UTR|PLU|DEF|NOM//obj//27 .//MID//punct//17
2.1 Bakgrund till bildandet av Kommundelegationen;Ett//DT|NEU|SIN|IND//det//33 eventuellt//AB|POS//advmod//32 negativt//JJ|POS|NEU|SIN|IND|NOM//amod//33 resultat//NN|NEU|SIN|IND|NOM//nsubj:pass//38 vid//PP//case//36 räkenskapsårets//NN|NEU|SIN|DEF|GEN//nmod:poss//36 slut//NN|NEU|SIN|IND|NOM//nmod//33 skall//VB|PRS|AKT//aux//38 återställas//VB|INF|SFO//advcl//17 inom//PP//case//41 två//RG|NOM//nummod//41 år//NN|NEU|PLU|IND|NOM//obl//38 .//MAD//punct//17
2.1 Bakgrund till bildandet av Kommundelegationen;Balanskravet//NN|NEU|SIN|DEF|NOM//nsubj//45 skall//VB|PRS|AKT//aux//45 förhindra//VB|INF|AKT//parataxis//17 en//DT|UTR|SIN|IND//det//48 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 urgröpning//NN|UTR|SIN|IND|NOM//obj//45 av//PP//case//50 ekonomin//NN|UTR|SIN|DEF|NOM//nmod//48 och//KN//cc//52 ge//VB|INF|AKT//conj//45 förutsättningar//NN|UTR|PLU|IND|NOM//obj//52 för//PP//case//59 en//DT|UTR|SIN|IND//det//59 långsiktigt//AB|POS//advmod//57 stabil//JJ|POS|UTR|SIN|IND|NOM//amod//59 finansiell//JJ|POS|UTR|SIN|IND|NOM//amod//59 utveckling//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//45
2.1 Bakgrund till bildandet av Kommundelegationen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 har//VB|PRS|AKT//aux//3 emellertid//AB//advmod//3 funnits//VB|SUP|SFO//ROOT//3 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 problem//NN|NEU|PLU|IND|NOM//obj//3 i//PP//case//9 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 kommuner//NN|UTR|PLU|IND|NOM//obl//3 och//KN//cc//11 landsting//NN|NEU|PLU|IND|NOM//conj//9 under//PP//case//14 andra//RO|NOM//amod//14 hälften//NN|UTR|SIN|DEF|NOM//obl//3 av//PP//case//16 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//14 .//MAD//punct//3
2.1 Bakgrund till bildandet av Kommundelegationen;Från//PP//case//19 1996//RG|NOM//obl//3 har//VB|PRS|AKT//aux//22 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//22 haft//VB|SUP|AKT//conj//3 medel//NN|NEU|SIN|IND|NOM//obj//22 till//PP//case//26 sitt//PS|NEU|SIN|DEF//nmod:poss//26 förfogande//NN|NEU|SIN|IND|NOM//obl//22 för//PP//case//29 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//29 insatser//NN|UTR|PLU|IND|NOM//obl//22 i//PP//case//32 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 kommuner//NN|UTR|PLU|IND|NOM//nmod//29 och//KN//cc//34 landsting//NN|NEU|SIN|IND|NOM//conj//32 med//PP//case//40 en//DT|UTR|SIN|IND//det//40 särskilt//AB//advmod//38 svår//JJ|POS|UTR|SIN|IND|NOM//amod//40 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//40 situation//NN|UTR|SIN|IND|NOM//nmod//34 .//MAD//punct//3
