Etik och demokratisk statskonst (1);Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skrift//NN|UTR|SIN|IND|NOM//nmod//3 nr//NN|AN//nmod//3 15//RG|NOM//ROOT//3
Förord;För//PP//mark//3 att//IE//mark//3 sammantaget//AB//nsubj//3 få//VB|INF|AKT//advcl//13 ett//DT|NEU|SIN|IND//det//7 så//AB//advmod//6 rikt//JJ|POS|NEU|SIN|IND|NOM//amod//7 diskussionsunderlag//NN|NEU|SIN|IND|NOM//obj//3 som//KN//mark//9 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//7 i//PP//case//12 sitt//PS|NEU|SIN|DEF//nmod:poss//12 arbete//NN|NEU|SIN|IND|NOM//obl//9 ger//VB|PRS|AKT//ROOT//13 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//obj//13 på//PP//case//19 det//DT|NEU|SIN|DEF//det//18 här//AB//fixed//16 sättet//NN|NEU|SIN|DEF|NOM//nmod//19 möjligheter//NN|UTR|PLU|IND|NOM//obl//13 för//PP//case//21 debattörer//NN|UTR|PLU|IND|NOM//nmod//19 från//PP//case//25 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 miljöer//NN|UTR|PLU|IND|NOM//nmod//21 att//IE//mark//27 ge//VB|INF|AKT//acl//19 sin//PS|UTR|SIN|DEF//nmod:poss//29 syn//NN|UTR|SIN|IND|NOM//obj//27 på//PP//case//34 den//DT|UTR|SIN|DEF//det//33 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 folkstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 utveckling//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//13
Förord;Ledamöterna//NN|UTR|PLU|DEF|NOM//nsubj//37 tar//VB|PRS|AKT//parataxis//13 i//PP//case//41 det//DT|NEU|SIN|DEF//det//41 här//AB//fixed//39 sammanhanget//NN|NEU|SIN|DEF|NOM//nmod//43 inte//AB//advmod//43 ställning//NN|UTR|SIN|IND|NOM//obj//37 till//PP//case//46 författarens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 uppfattningar//NN|UTR|PLU|IND|NOM//obl//43 .//MAD//punct//13
Förord;Erik//PM|NOM//ROOT//0 Amnå//PM|NOM//flat:name//0
Förord;Huvudsekreterare//NN|UTR|SIN|IND|NOM//ROOT//0 .//MAD//punct//0 .//MAD//punct//0

Etik och demokratisk statskonst (2);Hans//PM|NOM//nmod//1 L//PM|NOM//ROOT//1 Zetterberg//PM|NOM//flat:name//1
Etik och demokratisk statskonst (2);Denna//DT|UTR|SIN|DEF//det//1 uppsats//NN|UTR|SIN|IND|NOM//nsubj:pass//3 har//VB|PRS|AKT//aux//3 skrivits//VB|SUP|SFO//ROOT//3 för//PP//case//6  //_SP////4 Utredningen//NN|UTR|SIN|DEF|NOM//obl//3 om//PP//case//8 folkstyret//NN|NEU|SIN|DEF|NOM//nmod//6 i//PP//case//10 Sverige//PM|NOM//nmod//8 inför//PP//case//12 2000-talet//NN|NEU|SIN|DEF|NOM//nmod//8 (//PAD//punct//6 SB//PM|NOM//appos//6 1997:01//RG|NOM//flat//14 )//PAD//punct//14 vilken//HP|UTR|SIN|IND//nsubj:pass//19 har//VB|PRS|AKT//aux//19 tillkallats//VB|SUP|SFO//acl:relcl//6 för//PP//mark//22 att//IE//mark//22 belysa//VB|INF|AKT//advcl//19 folkstyrets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 förutsättningar//NN|UTR|PLU|IND|NOM//obj//22 ,//MID//punct//26 problem//NN|NEU|PLU|IND|NOM//conj//24 och//KN//cc//28 möjligheter//NN|UTR|PLU|IND|NOM//conj//24 inför//PP//case//31 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 sekel//NN|NEU|SIN|IND|NOM//nmod//28 .//MAD//punct//3
Etik och demokratisk statskonst (2);Uppsatsen//NN|UTR|SIN|DEF|NOM//nsubj//34 innehåller//VB|PRS|AKT//parataxis//3 inte//AB//advmod//34 ny//JJ|POS|UTR|SIN|IND|NOM//amod//37 forskning//NN|UTR|SIN|IND|NOM//obj//34 utan//KN//cc//41 är//VB|PRS|AKT//cop//41 ett//DT|NEU|SIN|IND//det//41 sammandrag//NN|NEU|SIN|IND|NOM//conj//34 av//PP//case//43 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//41 av//PP//case//46 författarens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 slutsatser//NN|UTR|PLU|IND|NOM//nmod//43 i//PP//case//51 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 och//KN//cc//50 populära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//48 artiklar//NN|UTR|PLU|IND|NOM//nmod//46 de//DT|UTR/NEU|PLU|DEF//det//55 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//55 15//RG|NOM//nummod//55 åren//NN|NEU|PLU|DEF|NOM//nmod//43 .//MAD//punct//34
Etik och demokratisk statskonst (2);Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 formuleringar//NN|UTR|PLU|IND|NOM//appos//34 i//PP//case//61 dessa//DT|UTR/NEU|PLU|DEF//det//61 artiklar//NN|UTR|PLU|IND|NOM//nmod//58 som//HP|-|-|-//nsubj//63 bedömts//VB|SUP|SFO//acl:relcl//61 som//KN//mark//67 hållbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//67 har//VB|PRS|AKT//aux//67 återanvänts//VB|SUP|SFO//advcl//63 ordagrant//AB|POS//advmod//67 .//MAD//punct//34 .//MAD//punct//34

1. Totalsamhället;Problemen//NN|NEU|PLU|DEF|NOM//ROOT//0 för//PP//case//2 demokratin//NN|UTR|SIN|DEF|NOM//nmod//0
1. Totalsamhället;Den//DT|UTR|SIN|DEF//det//2 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 demokratin//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 kodifierades//VB|PRT|SFO//ROOT//3 i//PP//case//6 1970-talets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 grundlagar//NN|UTR|PLU|IND|NOM//obl//3 .//MAD//punct//3
1. Totalsamhället;Statskunskap//NN|UTR|SIN|IND|NOM//parataxis//3 och//KN//cc//11 konstitutionell//JJ|POS|UTR|SIN|IND|NOM//amod//11 juridik//NN|UTR|SIN|IND|NOM//conj//8 dominerade//VB|PRT|AKT//conj//3 de//DT|UTR/NEU|PLU|DEF//det//16 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 utredningarna//NN|UTR|PLU|DEF|NOM//obj//12 som//HP|-|-|-//nsubj//18 ledde//VB|PRT|AKT//acl:relcl//16 till//PP//case//22 den//DT|UTR|SIN|DEF//det//22 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 konstitutionen//NN|UTR|SIN|DEF|NOM//obl//18 .//MAD//punct//3
1. Totalsamhället;Utredningarna//NN|UTR|PLU|DEF|NOM//nsubj//25 handlade//VB|PRT|AKT//parataxis//3 om//PP//case//27 statsmakten//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//25
1. Totalsamhället;Folkrörelserna//NN|UTR|PLU|DEF|NOM//nsubj//39 ,//MID//punct//29 som//HP|-|-|-//nsubj:pass//32 sågs//VB|PRT|SFO//acl:relcl//29 som//KN//case//37 den//DT|UTR|SIN|DEF//det//36 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//37 vagga//NN|UTR|SIN|IND|NOM//xcomp//32 ,//MID//punct//29 fick//VB|PRT|AKT//conj//25 dock//AB//advmod//39 en//DT|UTR|SIN|IND//det//43 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//43 utredning//NN|UTR|SIN|IND|NOM//obj//39 .//MAD//punct//25
1. Totalsamhället;Hur//HA//advmod//1 annorlunda//AB//ROOT//1 är//VB|PRS|AKT//cop//7 inte//AB//advmod//7 1997//RG|NOM//nummod//5 års//NN|NEU|SIN|IND|GEN//nmod//7 ”//JJ|POS|UTR|SIN|IND|NOM//nmod//7 Utredning//NN|UTR|SIN|IND|NOM//nsubj//1 om//PP//case//9 folkstyret//NN|NEU|SIN|DEF|NOM//nmod//7 i//PP//case//11 Sverige//PM|NOM//nmod//9 inför//PP//case//13 2000-talet//NN|NEU|SIN|DEF|NOM//nmod//9 ”//RG|NOM//punct//7 (//PAD//punct//7 Dir//NN|AN//appos//7 .//MID//punct//16
1. Totalsamhället;1997:101//RG|NOM//conj//7 )//PAD//punct//18 .//MAD//punct//1
1. Totalsamhället;Här//AB//advmod//22 återkommer//VB|PRS|AKT//parataxis//1 naturligtvis//AB//advmod//22 de//DT|UTR/NEU|PLU|DEF//det//27 grundlagsfästa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 processerna//NN|UTR|PLU|DEF|NOM//nsubj//22 ,//MID//punct//31 men//KN//cc//31 här//AB//advmod//31 domineras//VB|PRS|SFO//conj//22 texterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//31 inte//AB//advmod//31 av//PP//case//35 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//31 .//MAD//punct//1
1. Totalsamhället;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 processer//NN|UTR|PLU|IND|NOM//nsubj//44 som//HP|-|-|-//nsubj:pass//42 inte//AB//advmod//42 utretts//VB|SUP|SFO//acl:relcl//39 tidigare//AB|KOM//advmod//42 finns//VB|PRS|SFO//parataxis//1 med//PL//compound:prt//44 ,//MID//punct//44 t.ex.//AB|AN//advmod//48 lobbying//NN|UTR|SIN|IND|NOM//appos//44 och//KN//cc//50 korruption//NN|UTR|SIN|IND|NOM//conj//48 .//MAD//punct//1
1. Totalsamhället;En//DT|UTR|SIN|IND//det//53 blick//NN|UTR|SIN|IND|NOM//nsubj//63 på//PP//case//55 listan//NN|UTR|SIN|DEF|NOM//nmod//53 av//PP//case//57 utkomna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//60 och//KN//cc//59 planerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//57 publikationer//NN|UTR|PLU|IND|NOM//nmod//55 från//PP//case//62 utredningen//NN|UTR|SIN|DEF|NOM//nmod//60 visar//VB|PRS|AKT//parataxis//1 emellertid//AB//advmod//63 en//DT|UTR|SIN|IND//det//66 uppsjö//NN|UTR|SIN|IND|NOM//obj//63 av//PP//case//69 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 typer//NN|UTR|PLU|IND|NOM//nmod//66 av//PP//case//71 ämnen//NN|NEU|PLU|IND|NOM//nmod//69 som//HP|-|-|-//nsubj//73 hör//VB|PRS|AKT//acl:relcl//71 hemma//PL//advmod//73 också//AB//advmod//73 i//PP//case//78 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 samhällssfärer//NN|UTR|PLU|IND|NOM//obl//73 än//KN//mark//80 statsmaktens//NN|UTR|SIN|DEF|GEN//acl//78 .//MAD//punct//1
1. Totalsamhället;Författarna//NN|UTR|PLU|DEF|NOM//nsubj//83 tar//VB|PRS|AKT//parataxis//1 upp//PL//compound:prt//83 problem//NN|NEU|PLU|IND|NOM//obj//83 med//PP//case//87 globalisering//NN|UTR|SIN|IND|NOM//obl//83 ,//MID//punct//89 finansmarknad//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//91 företag//NN|NEU|SIN|IND|NOM//conj//87 ,//MID//punct//93 konsumtion//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//95 konst//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//97 kulturinstitutioner//NN|UTR|PLU|IND|NOM//conj//87 ,//MID//punct//99 arbetarkultur//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//101 tidningsläsning//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//103 hälsa//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//105 välfärd//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//107 religion//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//109 skola//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//111 folkbildning//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//113 civilsamhälle//NN|NEU|SIN|IND|NOM//conj//87 ,//MID//punct//115 IT//NN|AN//conj//87 med//PP//compound:prt//83 mera//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//116 .//MAD//punct//83
1. Totalsamhället;Själv//JJ|POS|UTR|SIN|IND|NOM//advmod//125 skall//VB|PRS|AKT//aux//125 jag//PN|UTR|SIN|DEF|SUB//nsubj//125 i//PP//case//124 denna//DT|UTR|SIN|DEF//det//124 skrift//NN|UTR|SIN|IND|NOM//obl//125 bidra//VB|INF|AKT//conj//83 till//PP//case//128 ämnet//NN|NEU|SIN|DEF|NOM//nmod//128 demokrati//NN|UTR|SIN|IND|NOM//obl//125 och//KN//cc//130 etik//NN|UTR|SIN|IND|NOM//conj//128 .//MAD//punct//83
1. Totalsamhället;Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nsubj//133 arbetar//VB|PRS|AKT//parataxis//83 som//HP|-|-|-//mark//135 synes//VB|PRS|SFO//advcl//133 enligt//PP//case//137 antagandet//NN|NEU|SIN|DEF|NOM//obl//133 att//SN//mark//145 allt//PN|NEU|SIN|IND|SUB/OBJ//nsubj:pass//145 som//HP|-|-|-//nsubj//141 finns//VB|PRS|SFO//acl:relcl//139 i//PP//case//143 totalsamhället//NN|NEU|SIN|DEF|NOM//obl//141 kan//VB|PRS|AKT//aux//145 ses//VB|INF|SFO//ccomp//133 som//KN//mark//148 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//148 problem//NN|NEU|PLU|IND|NOM//xcomp//145 .//MAD//punct//83
1. Totalsamhället;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//154 är//VB|PRS|AKT//cop//154 en//DT|UTR|SIN|IND//det//154 vanlig//JJ|POS|UTR|SIN|IND|NOM//amod//154 föreställning//NN|UTR|SIN|IND|NOM//conj//83 i//PP//case//159 det//DT|NEU|SIN|DEF//det//158 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//158 1900-talets//NN|NEU|SIN|DEF|GEN//nmod:poss//159 Sverige//PM|NOM//nmod//154 ,//MID//punct//162 en//DT|UTR|SIN|IND//det//162 del//NN|UTR|SIN|IND|NOM//conj//154 av//PP//case//166 den//DT|UTR|SIN|DEF//det//166 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//166 marinaden//NN|UTR|SIN|DEF|NOM//nmod//162 av//PP//case//168 föreställningar//NN|UTR|PLU|IND|NOM//nmod//166 och//KN//cc//170 värderingar//NN|UTR|PLU|IND|NOM//conj//168 i//PP//case//172 vilken//HP|UTR|SIN|IND//obl//175 vi//PN|UTR|PLU|DEF|SUB//nsubj//175 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//175 blivit//VB|SUP|AKT//acl:relcl//162 indränkta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//175 .//MAD//punct//154
1. Totalsamhället;Om//SN//mark//3 demokratin//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 skall//VB|PRS|AKT//aux//3 användas//VB|INF|SFO//advcl//12 till//PP//mark//6 att//IE//mark//6 ge//VB|INF|AKT//advcl//3 lösningar//NN|UTR|PLU|IND|NOM//obj//6 på//PP//case//11 totalsamhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 problem//NN|NEU|PLU|IND|NOM//obl//6 är//VB|PRS|AKT//cop//14 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 bäst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//ROOT//14 att//IE//mark//17 först//AB//advmod//17 utreda//VB|INF|AKT//csubj//14 hur//HA//advmod//20 totalsamhället//NN|NEU|SIN|DEF|NOM//nsubj//20 ser//VB|PRS|AKT//ccomp//17 ut//PL//compound:prt//20 ,//MID//punct//20 sedan//AB//mark//26 hur//HA//advmod//26 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//26 ser//VB|PRS|AKT//advcl//20 ut//PL//compound:prt//26 ,//MID//punct//20 och//KN//cc//32 till//PP//advmod//32 sist//AB|SUV//fixed//30 utreda//VB|INF|AKT//conj//20 när//HA//advmod//32 och//KN//cc//38 hur//HA//advmod//38 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//38 kan//VB|PRS|AKT//aux//38 bidra//VB|INF|AKT//conj//20 med//PP//case//40 lösningar//NN|UTR|PLU|IND|NOM//obl//38 .//MAD//punct//14
1. Totalsamhället;Så//AB//advmod//44 är//VB|PRS|AKT//cop//44 uppläggningen//NN|UTR|SIN|DEF|NOM//parataxis//14 av//PP//case//48 de//DT|UTR/NEU|PLU|DEF//det//48 tre//RG|NOM//nummod//48 avsnitten//NN|NEU|PLU|DEF|NOM//nmod//44 i//PP//case//51 denna//DT|UTR|SIN|DEF//det//51 uppsats//NN|UTR|SIN|IND|NOM//nmod//48 .//MAD//punct//44
1. Totalsamhället;Detta//DT|NEU|SIN|DEF//det//55 första//RO|NOM//amod//55 avsnitt//NN|NEU|SIN|IND|NOM//nsubj//57 skall//VB|PRS|AKT//aux//57 handla//VB|INF|AKT//parataxis//44 om//PP//case//59 totalsamhället//NN|NEU|SIN|DEF|NOM//obl//57 och//KN//cc//62 etikens//NN|UTR|SIN|DEF|GEN//nmod:poss//62 plats//NN|UTR|SIN|IND|NOM//conj//59 i//PP//case//64 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//62 .//MAD//punct//44
1. Totalsamhället;Redan//AB//advmod//1 nu//AB//advmod//5 vill//VB|PRS|AKT//aux//5 jag//PN|UTR|SIN|DEF|SUB//nsubj//5 emellertid//AB//advmod//5 redovisa//VB|INF|AKT//ROOT//5 att//SN//mark//9 jag//PN|UTR|SIN|DEF|SUB//nsubj//9 är//VB|PRS|AKT//cop//9 skeptisk//JJ|POS|UTR|SIN|IND|NOM//ccomp//5 mot//PP//case//11 grundtanken//NN|UTR|SIN|DEF|NOM//obl//9 att//SN//mark//21 alla//DT|UTR/NEU|PLU|IND/DEF//det//14 problem//NN|NEU|PLU|IND|NOM//nsubj//21 som//HP|-|-|-//nsubj//16 finns//VB|PRS|SFO//acl:relcl//14 i//PP//case//18 totalsamhället//NN|NEU|SIN|DEF|NOM//obl//16 är//VB|PRS|AKT//cop//21 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//21 problem//NN|NEU|SIN|IND|NOM//advcl//9 .//MAD//punct//5
