Utredningsuppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 skall//VB|PRS|AKT//aux//6 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//6 såvitt//SN//advmod//6 avser//VB|PRS|AKT//ROOT//6 de//DT|UTR/NEU|PLU|DEF//det//8 frågor//NN|UTR|PLU|IND|NOM//obj//6 som//HP|-|-|-//nsubj:pass//10 behandlas//VB|PRS|SFO//acl:relcl//8 i//PP//case//13 detta//DT|NEU|SIN|DEF//det//13 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//10 göra//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//16 i//PP//case//22 34//RG|NOM//nummod//21 §//NN|AN//nmod//22 konsumentkreditlagen//NN|UTR|SIN|DEF|NOM//nmod//18 (//PAD//punct//22 1992:830//RG|NOM//appos//22 )//PAD//punct//22 om//PP//case//29 en//DT|UTR|SIN|IND//det//28 kontohavares//NN|UTR|SIN|IND|GEN//nmod:poss//29 betalningsansvar//NN|NEU|SIN|IND|NOM//obl//14 för//PP//case//32 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//32 användning//NN|UTR|SIN|IND|NOM//nmod//29 av//PP//case//34 kontokort//NN|NEU|PLU|IND|NOM//nmod//32 .//MAD//punct//6
Behovet av lagändringar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 ansett//VB|SUP|AKT//ROOT//2 att//SN//mark//13 lagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//13 om//PP//case//6 betalningsansvar//NN|NEU|SIN|IND|NOM//nmod//4 vid//PP//case//9 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//9 användning//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//11 kontokort//NN|NEU|PLU|IND|NOM//nmod//9 bör//VB|PRS|AKT//aux//13 anpassas//VB|INF|SFO//ccomp//2 till//PP//case//15 marknads-//NN|UTR|-|-|SMS//obl//13 och//KN//cc//17 teknikutvecklingen//NN|UTR|SIN|DEF|NOM//conj//15 .//MAD//punct//2
Behovet av lagändringar;Vidare//AB|KOM//advmod//22 bör//VB|PRS|AKT//aux//22 konsumentskyddet//NN|NEU|SIN|DEF|NOM//nsubj:pass//22 stärkas//VB|INF|SFO//conj//2 genom//PP//mark//35 att//SN//mark//35 de//DT|UTR/NEU|PLU|DEF//det//26 risker//NN|UTR|PLU|IND|NOM//nsubj:pass//35 som//HP|-|-|-//obj//30 en//DT|UTR|SIN|IND//det//29 konsument//NN|UTR|SIN|IND|NOM//nsubj//30 löper//VB|PRS|AKT//acl:relcl//26 vid//PP//case//32 användning//NN|UTR|SIN|IND|NOM//obl//30 av//PP//case//34 kontokort//NN|NEU|PLU|IND|NOM//nmod//32 begränsas//VB|PRS|SFO//advcl//22 .//MAD//punct//40
Behovet av lagändringar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//40 har//VB|PRS|AKT//aux//40 också//AB//advmod//40 ansett//VB|SUP|AKT//parataxis//22 att//SN//mark//49 den//DT|UTR|SIN|DEF//det//43 reglering//NN|UTR|SIN|IND|NOM//nsubj//49 som//HP|-|-|-//nsubj:pass//45 föreslås//VB|PRS|SFO//acl:relcl//43 bör//VB|PRS|AKT//aux//49 vara//VB|INF|AKT//cop//49 så//AB//advmod//49 lättillämpad//PC|PRF|UTR|SIN|IND|NOM//ccomp//40 att//SN//mark//59 flertalet//NN|NEU|SIN|DEF|NOM//nmod//52 ärenden//NN|NEU|PLU|IND|NOM//nsubj:pass//59 om//PP//case//55 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//55 användning//NN|UTR|SIN|IND|NOM//nmod//52 av//PP//case//57 kontokort//NN|NEU|PLU|IND|NOM//nmod//55 kan//VB|PRS|AKT//aux//59 lösas//VB|INF|SFO//ccomp//49 snabbt//AB|POS//advmod//59 och//KN//cc//64 utan//PP//case//64 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 resursåtgång//NN|UTR|SIN|IND|NOM//conj//59 .//MAD//punct//22
Behovet av lagändringar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//68 har//VB|PRS|AKT//aux//68 eftersträvat//VB|SUP|AKT//parataxis//22 en//DT|UTR|SIN|IND//det//72 väl//AB|POS//advmod//71 avvägd//PC|PRF|UTR|SIN|IND|NOM//amod//72 helhetslösning//NN|UTR|SIN|IND|NOM//obj//68 som//HP|-|-|-//nsubj//78 så//AB//advmod//75 långt//AB|POS//advmod//78 som//KN//mark//77 möjligt//JJ|POS|NEU|SIN|IND|NOM//advmod//78 uppfyller//VB|PRS|AKT//acl:relcl//72 dessa//DT|UTR/NEU|PLU|DEF//det//80 krav//NN|NEU|PLU|IND|NOM//obj//78 .//MAD//punct//68

Begränsning av kontohavarens ansvar;Det//DT|NEU|SIN|DEF//expl//1 förhållandet//NN|NEU|SIN|DEF|NOM//nsubj//14 att//SN//mark//6 en//DT|UTR|SIN|IND//det//4 kontohavare//NN|UTR|SIN|IND|NOM//nsubj:pass//6 kan//VB|PRS|AKT//aux//6 hållas//VB|INF|SFO//csubj//1 obegränsat//AB|POS//amod//8 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//obj//6 vid//PP//case//11 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 transaktioner//NN|UTR|PLU|IND|NOM//obl//6 med//PP//case//13 kontokort//NN|NEU|PLU|IND|NOM//nmod//11 innebär//VB|PRS|AKT//ROOT//14 att//SN//mark//22 innehavet//NN|NEU|SIN|DEF|NOM//nsubj//22 av//PP//case//19 ett//DT|NEU|SIN|IND//det//19 kontokort//NN|NEU|SIN|IND|NOM//nmod//16 kan//VB|PRS|AKT//aux//22 vara//VB|INF|AKT//cop//22 förknippat//PC|PRF|NEU|SIN|IND|NOM//ccomp//14 med//PP//case//27 en//DT|UTR|SIN|IND//det//27 avsevärd//JJ|POS|UTR|SIN|IND|NOM//amod//27 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//27 risk//NN|UTR|SIN|IND|NOM//obl//22 .//MAD//punct//14
Begränsning av kontohavarens ansvar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 bedömt//VB|SUP|AKT//parataxis//14 att//SN//mark//35 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//35 inte//AB//advmod//35 gagnar//VB|PRS|AKT//ccomp//31 tilltron//NN|UTR|SIN|DEF|NOM//obj//35 till//PP//case//38 kontokortet//NN|NEU|SIN|DEF|NOM//obl//35 som//KN//mark//42 ett//DT|NEU|SIN|IND//det//42 säkert//JJ|POS|NEU|SIN|IND|NOM//amod//42 betalningsmedel//NN|NEU|SIN|IND|NOM//obl//35 som//HP|-|-|-//nsubj:pass//45 kan//VB|PRS|AKT//aux//45 användas//VB|INF|SFO//acl:relcl//42 av//PP//case//47 konsumenter//NN|UTR|PLU|IND|NOM//obl:agent//45 i//PP//advmod//45 allmänhet//NN|UTR|SIN|IND|NOM//fixed//48 .//MAD//punct//31
Begränsning av kontohavarens ansvar;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//55 kan//VB|PRS|AKT//aux//55 inte//AB//advmod//55 heller//AB//advmod//55 anses//VB|INF|SFO//conj//31 tillfredsställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//55 att//SN//mark//65 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 skillnader//NN|UTR|PLU|IND|NOM//nsubj//65 i//PP//case//61 hanteringen//NN|UTR|SIN|DEF|NOM//nmod//59 av//PP//case//63 kortet//NN|NEU|SIN|DEF|NOM//nmod//61 kan//VB|PRS|AKT//aux//65 leda//VB|INF|AKT//advcl//55 till//PP//case//69 antingen//KN//cc//68 obegränsat//JJ|POS|NEU|SIN|IND|NOM//amod//69 ansvar//NN|NEU|SIN|IND|NOM//obl//65 för//PP//case//71 kontohavaren//NN|UTR|SIN|DEF|NOM//nmod//69 eller//KN//cc//74 inget//DT|NEU|SIN|IND//det//74 ansvar//NN|NEU|SIN|IND|NOM//conj//71 alls//AB//nmod//74 .//MAD//punct//31
Begränsning av kontohavarens ansvar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 således//AB//advmod//3 ansett//VB|SUP|AKT//ROOT//3 att//SN//mark//5 utfärdaren//NN|UTR|SIN|DEF|NOM//ccomp//3 av//PP//case//8 ett//DT|NEU|SIN|IND//det//8 kontokort//NN|NEU|SIN|IND|NOM//nmod//5 skall//VB|PRS|AKT//aux//11 kunna//VB|INF|AKT//aux//11 hålla//VB|INF|AKT//conj//3 kontohavaren//NN|UTR|SIN|DEF|NOM//obj//11 obegränsat//AB|POS//amod//14 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//obj//11 för//PP//case//17 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 transaktioner//NN|UTR|PLU|IND|NOM//obl//11 endast//AB//advmod//24 om//SN//mark//24 han//PN|UTR|SIN|DEF|SUB//nsubj//24 eller//KN//cc//22 hon//PN|UTR|SIN|DEF|SUB//conj//20 frivilligt//AB|POS//advmod//24 överlämnat//VB|SUP|AKT//advcl//11 kortet//NN|NEU|SIN|DEF|NOM//obj//24 eller//KN//cc//27 uppgett//VB|SUP|AKT//conj//24 koden//NN|UTR|SIN|DEF|NOM//obj//27 för//PP//case//30 annan//JJ|POS|UTR|SIN|IND|NOM//obl//27 ,//MID//punct//38 eller//KN//cc//38 om//SN//mark//38 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//38 genom//PP//case//36 svek//NN|NEU|SIN|IND|NOM//nmod//34 har//VB|PRS|AKT//aux//38 bidragit//VB|SUP|AKT//conj//24 till//PP//mark//44 att//SN//mark//44 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 transaktioner//NN|UTR|PLU|IND|NOM//nsubj:pass//44 kunnat//VB|SUP|AKT//aux//44 genomföras//VB|INF|SFO//advcl//38 .//MAD//punct//3
Begränsning av kontohavarens ansvar;Ett//DT|NEU|SIN|IND//det//2 begränsat//PC|PRF|NEU|SIN|IND|NOM//amod//2 ansvar//NN|NEU|SIN|IND|NOM//nsubj//5 bör//VB|PRS|AKT//aux//5 kunna//VB|INF|AKT//aux//5 komma//VB|INF|AKT//ROOT//5 i//PP//compound:prt//5 fråga//NN|UTR|SIN|IND|NOM//fixed//6 om//PP//fixed//6 de//DT|UTR/NEU|PLU|DEF//det//11 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//13 kunnat//VB|SUP|AKT//aux//13 genomföras//VB|INF|SFO//advcl//5 på//PP//mark//19 grund//NN|UTR|SIN|IND|NOM//fixed//14 av//PP//fixed//14 att//SN//mark//19 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//19 handlat//VB|SUP|AKT//advcl//13 grovt//AB|POS//advmod//21 oaktsamt//JJ|POS|NEU|SIN|IND|NOM//xcomp//19 eller//KN//cc//23 underlåtit//VB|SUP|AKT//conj//19 att//IE//mark//26 snarast//AB|SUV//advmod//26 underrätta//VB|INF|AKT//xcomp//23 utfärdaren//NN|UTR|SIN|DEF|NOM//obj//26 av//PP//case//29 kortet//NN|NEU|SIN|DEF|NOM//nmod//27 om//PP//mark//33 att//SN//mark//33 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//33 förlorats//VB|SUP|SFO//advcl//26 eller//KN//cc//37 att//SN//mark//37 koden//NN|UTR|SIN|DEF|NOM//nsubj//37 kommit//VB|SUP|AKT//conj//33 till//PP//case//40 annans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//40 kännedom//NN|UTR|SIN|IND|NOM//obl//37 .//MAD//punct//5
Begränsning av kontohavarens ansvar;Vid//PP//case//43 bedömningen//NN|UTR|SIN|DEF|NOM//obl//65 av//PP//mark//47 om//SN//mark//47 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//47 handlat//VB|SUP|AKT//acl//43 grovt//AB|POS//advmod//49 oaktsamt//JJ|POS|NEU|SIN|IND|NOM//xcomp//47 skall//VB|PRS|AKT//aux//65 hanteringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//65 av//PP//case//54 såväl//KN//advmod//54 kortet//NN|NEU|SIN|DEF|NOM//nmod//51 som//HA//mark//57 koden//NN|UTR|SIN|DEF|NOM//nsubj:pass//57 beaktas//VB|PRS|SFO//acl:relcl//51 ,//MID//punct//51 förutsatt//AB//mark//65 förstås//AB//fixed//59 att//SN//mark//65 de//DT|UTR/NEU|PLU|DEF//det//64 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//65 utförts//VB|SUP|SFO//advcl//5 genom//PP//case//67 inknappning//NN|UTR|SIN|IND|NOM//obl//65 av//PP//case//69 kod//NN|UTR|SIN|IND|NOM//nmod//67 .//MAD//punct//5
Begränsning av kontohavarens ansvar;Begreppet//NN|NEU|SIN|DEF|NOM//nmod//73 grov//JJ|POS|UTR|SIN|IND|NOM//amod//73 oaktsamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//76 skall//VB|PRS|AKT//aux//76 härvid//AB//advmod//76 tillämpas//VB|INF|SFO//parataxis//5 på//PP//case//79 samma//DT|UTR/NEU|SIN/PLU|IND//det//79 sätt//NN|NEU|SIN|IND|NOM//obl//76 som//KN//mark//89 i//PP//case//83 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 delar//NN|UTR|PLU|IND|NOM//obl//89 av//PP//case//87 den//DT|UTR|SIN|DEF//det//87 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//87 civilrätten//NN|UTR|SIN|DEF|NOM//nmod//83 .//MAD//punct//83
Begränsning av kontohavarens ansvar;Ansvar//NN|NEU|SIN|IND|NOM//nsubj//96 enligt//PP//case//92 denna//DT|UTR|SIN|DEF//det//92 bestämmelse//NN|UTR|SIN|IND|NOM//nmod//89 skall//VB|PRS|AKT//aux//96 således//AB//advmod//96 endast//AB//advmod//96 komma//VB|INF|AKT//conj//5 i//PP//compound:prt//96 fråga//NN|UTR|SIN|IND|NOM//fixed//97 i//PP//case//101 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//101 undantagsfall//NN|NEU|PLU|IND|NOM//obl//96 .//MAD//punct//96
Begränsning av kontohavarens ansvar;I//PP//case//105 dessa//DT|UTR/NEU|PLU|DEF//det//105 situationer//NN|UTR|PLU|IND|NOM//obl//109 skall//VB|PRS|AKT//aux//109 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//109 kunna//VB|INF|AKT//aux//109 hållas//VB|INF|SFO//conj//96 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//xcomp//109 med//PP//case//114 12//RG|NOM//nummod//113 000//RG|NOM//nummod//114 kr//NN|AN//obl//109 eller//KN//cc//118 det//DT|NEU|SIN|DEF//det//118 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//118 belopp//NN|NEU|SIN|IND|NOM//conj//96 som//HP|-|-|-//obj//121 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj//121 avser//VB|PRS|AKT//acl:relcl//118 .//MAD//punct//5

Självrisk;Kontohavarens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 hantering//NN|UTR|SIN|IND|NOM//nsubj//9 av//PP//case//3 den//PN|UTR|SIN|DEF|SUB/OBJ//det//8 till//PP//case//6 ett//DT|NEU|SIN|IND//det//6 kontokort//NN|NEU|SIN|IND|NOM//amod//8 hörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 koden//NN|UTR|SIN|DEF|NOM//nmod//1 utgör//VB|PRS|AKT//advcl//31 en//DT|UTR|SIN|IND//det//12 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//12 del//NN|UTR|SIN|IND|NOM//obj//9 av//PP//case//14 systemsäkerheten//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//9
Självrisk;Har//VB|PRS|AKT//aux//20 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 transaktioner//NN|UTR|PLU|IND|NOM//nsubj:pass//20 kunnat//VB|SUP|AKT//aux//20 utföras//VB|INF|SFO//parataxis//9 med//PP//case//22 användning//NN|UTR|SIN|IND|NOM//obl//20 av//PP//case//25 rätt//JJ|POS|UTR|SIN|IND|NOM//amod//25 kod//NN|UTR|SIN|IND|NOM//nmod//22 kan//VB|PRS|AKT//aux//31 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//31 i//PP//case//30 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 fall//NN|NEU|PLU|IND|NOM//obl//31 antas//VB|INF|SFO//ROOT//31 bero//VB|INF|AKT//xcomp//31 på//PP//mark//39 att//SN//mark//39 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//39 på//PP//case//38 något//DT|NEU|SIN|IND//det//38 sätt//NN|NEU|SIN|IND|NOM//obl//39 förvarat//VB|SUP|AKT//advcl//31 en//DT|UTR|SIN|IND//det//41 anteckning//NN|UTR|SIN|IND|NOM//obj//39 om//SN//case//43 koden//NN|UTR|SIN|DEF|NOM//nmod//41 tillsammans//AB//advmod//46 med//PP//case//46 kortet//NN|NEU|SIN|DEF|NOM//nmod//43 .//MID//punct//31
