Till statsrådet Maj-Inger Klingvall ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//4 februari//NN|UTR|SIN|IND|NOM//obl//6 1996//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//10 Anna//PM|NOM//obj//6 Hedborg//PM|NOM//flat:name//10 att//IE//mark//13 tillkalla//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//16 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//16 kommitté//NN|UTR|SIN|IND|NOM//obj//13 med//PP//case//18 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//16 att//IE//mark//20 göra//VB|INF|AKT//acl//16 en//DT|UTR|SIN|IND//det//23 bred//JJ|POS|UTR|SIN|IND|NOM//amod//23 översyn//NN|UTR|SIN|IND|NOM//obj//20 av//PP//mark//30 hur//HA//advmod//30 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//27 lagstiftning//NN|UTR|SIN|IND|NOM//nsubj//30 och//KN//cc//29 praxis//NN|UTR|SIN|IND|NOM//conj//27 förhåller//VB|PRS|AKT//acl//23 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//30 till//PP//case//33 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//30 i//PP//case//35 FN//PM|NOM//nmod//33 ://MID//punct//35 s//NN|NEU|SIN|IND|GEN//nummod//38 konvention//NN|UTR|SIN|IND|NOM//obl//30 om//PP//case//41 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//41 rättigheter//NN|UTR|PLU|IND|NOM//nmod//38 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;mag//NN|AN//nmod//34 Louise//PM|NOM//nsubj//37 Bernstein//PM|NOM//flat:name//34 ,//MID//punct//34 bitr//NN|UTR|SIN|IND|NOM//parataxis//18 .//MAD//punct//37
Till statsrådet Maj-Inger Klingvall ;sekreterare//NN|UTR|SIN|IND|NOM//conj//18 (//PAD//punct//39 fr.o.m.//AB|AN//case//44 den//DT|UTR|SIN|DEF//det//44 7//RO|NOM//nummod//44 oktober//NN|UTR|SIN|IND|NOM//appos//39 1996//RG|NOM//nummod//44 )//PAD//punct//39 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//8 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Barnkommittén//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//0 påbörjade//VB|PRT|AKT//ROOT//8 sitt//PS|NEU|SIN|DEF//nmod:poss//10 arbete//NN|NEU|SIN|IND|NOM//obj//8 den//DT|UTR|SIN|DEF//det//13 28//RG|NOM//nummod//13 mars//NN|UTR|SIN|IND|NOM//obl//8 1996//RG|NOM//nummod//13 .//MAD//punct//8
Till statsrådet Maj-Inger Klingvall ;Barnkommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 lämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 28//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 1996//RG|NOM//nummod//6 delrapporten//NN|UTR|SIN|DEF|NOM//nmod//7 Barnkonventionen//NN|UTR|SIN|DEF|NOM//nmod//4 och//KN//cc//9 utlänningslagen//NN|UTR|SIN|DEF|NOM//conj//7 (//PAD//punct//4 SOU//PM|NOM//nmod//12 1996:115//RG|NOM//appos//4 )//PAD//punct//4 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 Barnkommitténs//PM|GEN//nmod:poss//5 huvudbetänkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 Barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//5 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//nsubj:pass//1 i//PP//case//8 främsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//8 rummet//NN|NEU|SIN|DEF|NOM//obl//1 –//RG|NOM//punct//10 FN//PM|NOM//appos//8 ://MID//punct//10 s//NN|NEU|SIN|IND|GEN//nummod//13 konvention//NN|UTR|SIN|IND|NOM//nsubj:pass//17 om//PP//case//16 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//16 rättigheter//NN|UTR|PLU|IND|NOM//nmod//13 förverkligas//VB|PRS|SFO//acl//10 i//PP//case//19 Sverige//PM|NOM//obl//17 .//MAD//punct//10
Till statsrådet Maj-Inger Klingvall ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 därmed//AB//advmod//24 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//24
Till statsrådet Maj-Inger Klingvall ;Till//PP//case//1 betänkandet//NN|NEU|SIN|DEF|NOM//obl//2 fogas//VB|PRS|SFO//ROOT//2 som//KN//case//4 bilaga//NN|UTR|SIN|IND|NOM//obl//2 en//DT|UTR|SIN|IND//det//6 antologi//NN|UTR|SIN|IND|NOM//obl//2 ,//MID//punct//6 där//HA//advmod//19 uppsatser//NN|UTR|PLU|IND|NOM//nsubj:pass//19 av//PP//case//11 forskare//NN|UTR|PLU|IND|NOM//nmod//9 ,//MID//punct//13 barnrättsexperter//NN|UTR|PLU|IND|NOM//conj//11 samt//KN//cc//15 barn//NN|NEU|PLU|IND|NOM//conj//11 och//KN//cc//17 ungdomar//NN|UTR|PLU|IND|NOM//conj//11 har//VB|PRS|AKT//aux//19 samlats//VB|SUP|SFO//acl:relcl//6 i//PP//case//21 syfte//NN|NEU|SIN|IND|NOM//obl//19 att//IE//mark//23 belysa//VB|INF|AKT//advcl//19 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//25 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obj//23 och//KN//cc//27 barnperspektiv//NN|NEU|SIN|IND|NOM//conj//25 ur//PP//case//30 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 synvinklar//NN|UTR|PLU|IND|NOM//obl//23 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Reservationer//NN|UTR|PLU|IND|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 lämnats//VB|SUP|SFO//ROOT//2 av//PP//case//5 Lena//PM|NOM//nmod//5 Ek//PM|NOM//obl:agent//2 (//PAD//punct//5 c//NN|NEU|SIN|IND|NOM//appos//5 )//PAD//punct//5 ,//MID//punct//10 Bertil//PM|NOM//obl//2 Måbrink//PM|NOM//flat:name//10 (//PAD//punct//10 v//NN|NEU|SIN|IND|NOM//nmod//10 )//PAD//punct//10 ,//MID//punct//16 Siw//PM|NOM//parataxis//2 Persson//PM|NOM//flat:name//16 (//PAD//punct//16 fp//PM|NOM//dep//16 )//PAD//punct//16 och//KN//cc//23 Ragnhild//PM|NOM//nsubj//23 Pohanka//PM|NOM//conj//2 (//PAD//punct//25 mp//PM|NOM//appos//23 )//PAD//punct//25 .//MAD//punct//32
Till statsrådet Maj-Inger Klingvall ;Ragnhild//PM|NOM//nsubj//32 Pohanka//PM|NOM//nsubj//32 har//VB|PRS|AKT//aux//32 också//AB//advmod//32 avgivit//VB|SUP|AKT//parataxis//23 ett//DT|NEU|SIN|IND//det//35 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//35 yttrande//NN|NEU|SIN|IND|NOM//obj//32
Till statsrådet Maj-Inger Klingvall ;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 20//RG|NOM//nummod//3 augusti//NN|UTR|SIN|IND|NOM//obj//0 1997//RG|NOM//nummod//3 /Carin//NN|UTR|SIN|DEF|NOM//nmod//6 Jahn//PM|NOM//appos//0 Barbro//PM|NOM//flat:name//6 Holmberg//PM|NOM//flat:name//6 Lennart//PM|NOM//nmod//10 Östblom//PM|NOM//conj//6

