Till statsrådet Maj-Inger Klingvall ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslöt//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 1997//RG|NOM//nummod//4 att//SN//mark//11 en//DT|UTR|SIN|IND//det//9 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//9 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//11 skulle//VB|PRT|AKT//aux//11 tillkallas//VB|INF|SFO//ccomp//1 med//PP//case//13 uppgift//NN|UTR|SIN|IND|NOM//obl//11 att//IE//mark//15 se//VB|INF|AKT//acl//13 över//PL//compound:prt//15 arbetsskadeförsäkringen//NN|UTR|SIN|DEF|NOM//obj//15 (//PAD//punct//17 Dir//NN|AN//appos//17 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 (//PAD//punct//0 S//PM|NOM//appos//0 1997:12//RG|NOM//case//2 )//PAD//punct//0 har//VB|PRS|AKT//aux//6 antagit//VB|SUP|AKT//ROOT//6 namnet//NN|NEU|SIN|DEF|NOM//nmod//8 Arbetsskadeutredningen//NN|UTR|SIN|DEF|NOM//obj//6 1997//RG|NOM//nummod//8 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 Den//DT|UTR|SIN|DEF//det//6 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 arbetsskadeförsäkringen//NN|UTR|SIN|DEF|NOM//obj//1 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 yttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//3 har//VB|PRS|AKT//aux//3 lämnats//VB|SUP|SFO//ROOT//3 av//PP//case//5 Paul//PM|NOM//obl:agent//3 Carlsson//PM|NOM//flat//5 och//KN//cc//8 Anna-Stina//PM|NOM//conj//5 Elfving//PM|NOM//flat:name//8 ,//MID//punct//11 Alf//PM|NOM//conj//5 Eckerhall//PM|NOM//flat:name//11 ,//MID//punct//11 Hans//PM|NOM//conj//5 Goine//PM|NOM//flat//14 ,//MID//punct//14 Jens//PM|NOM//conj//5 Karlsson//PM|NOM//flat//17 ,//MID//punct//20 Margareta//PM|NOM//conj//5 Sjöberg//PM|NOM//flat:name//20 och//KN//cc//23 Jan//PM|NOM//conj//5 Svensson//PM|NOM//flat:name//23 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 1998//RG|NOM//nummod//2
Till statsrådet Maj-Inger Klingvall ;Lars//PM|NOM//ROOT//0 Grönwall//PM|NOM//flat:name//0 ///MID//cc//3 Maria//PM|NOM//conj//0 Norberg//PM|NOM//flat:name//3
Till statsrådet Maj-Inger Klingvall ;Anna//PM|NOM//nmod:poss//2 Åkerrén//PM|NOM//flat:name//0 4.2.2//RG|NOM//nmod//4 Några//DT|UTR/NEU|PLU|IND//det//4 slutsatser//NN|UTR|PLU|IND|NOM//obl//53 om//PP//case//6 målstatistiken//NN|UTR|SIN|DEF|NOM//nmod//4 i//PP//case//9 4.3//RG|NOM//nmod//9 Kammarrätterna//NN|UTR|PLU|DEF|NOM//nmod//6 –//RG|NOM//punct//12 en//DT|UTR|SIN|IND//det//12 undersökning//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//17 de//DT|UTR/NEU|PLU|DEF//det//16 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 4.4//RG|NOM//nmod//17 Regeringsrätten//NN|UTR|SIN|DEF|NOM//nmod//12 –//RG|NOM//punct//20 en//DT|UTR|SIN|IND//det//20 undersökning//NN|UTR|SIN|IND|NOM//conj//12 av//PP//case//26 de//DT|UTR/NEU|PLU|DEF//det//25 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 5.7.4//RG|NOM//amod//25 Förhållandet//NN|NEU|SIN|DEF|NOM//nmod//26 skadeståndsregler//NN|UTR|PLU|IND|NOM//nmod//20 ,//MID//punct//28 socialförsäkring//NN|UTR|SIN|IND|NOM//conj//26 samt//KN//cc//30 5.7.5//RG|NOM//conj//26 Ett//DT|NEU|SIN|IND//det//33 teoretiskt//JJ|POS|NEU|SIN|IND|NOM//amod//33 perspektiv//NN|NEU|SIN|IND|NOM//conj//12 på//PP//case//35 ersättningsrätten//NN|UTR|SIN|DEF|NOM//nmod//33 vid//PP//case//37 5.9.2//RG|NOM//nmod//35 Sveriges//PM|GEN//nmod:poss//39 tillämpning//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//42 ILOs//PM|GEN//amod//42 konvention//NN|UTR|SIN|IND|NOM//nmod//39 nr//NN|AN//nmod//44 121//RG|NOM//conj//39 om//PP//case//46 5.10.9//PM|NOM//nmod//39 Närmare//AB|KOM//nmod//46 om//PP//case//50 omställningsersättningens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 förutsättningar//NN|UTR|PLU|IND|NOM//obl//53 5.11.2//RG|NOM//nmod//50 Hur//HA//advmod//53 försäkras//VB|PRS|SFO//ROOT//53 kvinnor//NN|UTR|PLU|IND|NOM//nsubj:pass//53 och//KN//cc//56 män//NN|UTR|PLU|IND|NOM//conj//54 i//PP//case//60 det//DT|NEU|SIN|DEF//det//60 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 5.11//RG|NOM//nmod//61 5//RG|NOM//nummod//63 Vilka//HD|UTR/NEU|PLU|IND//det//63 konsekvenser//NN|UTR|PLU|IND|NOM//nsubj:pass//53 ur//PP//case//66 ett//DT|NEU|SIN|IND//det//66 genderperspektiv//NN|NEU|SIN|IND|NOM//nmod//63 får//VB|PRS|AKT//parataxis//53 de//DT|UTR/NEU|PLU|DEF//det//69 förslag//NN|NEU|PLU|IND|NOM//obj//67 till//PP//case//71 förbättringar//NN|UTR|PLU|IND|NOM//nmod//69 av//PP//case//73 arbetsskadeskyddet//NN|NEU|SIN|DEF|NOM//nmod//71 som//HP|-|-|-//obl//76 vi//PN|UTR|PLU|DEF|SUB//nsubj//76 6.7//RG|NOM//advcl//67 Några//DT|UTR/NEU|PLU|IND//det//79 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 utredningar//NN|UTR|PLU|IND|NOM//obj//67 om//PP//case//81 arbetsskadestatistik//NN|UTR|SIN|IND|NOM//nmod//79 m.m.235//PM|NOM//nmod//83 6.7.2//RG|NOM//nmod//81 Prop//NN|NEU|PLU|IND|NOM//flat//83 .//MAD//punct//53
Till statsrådet Maj-Inger Klingvall ;"1996/97:63//RG|NOM//nsubj:pass//53 om//PP//case//88 samverkan//NN|UTR|SIN|IND|NOM//nmod//86 ,//MID//punct//86 socialförsäkringens//NN|UTR|SIN|DEF|GEN//nmod:poss//92 6.7.3//RG|NOM//case//92 Regeringsuppdrag//NN|NEU|PLU|IND|NOM//conj//86 till//PP//case//94 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//nmod//92 och//KN//cc//96 6.8//RG|NOM//nummod//97 Frågan//NN|UTR|SIN|DEF|NOM//nmod//86 om//PP//case//100 skadeförebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//100 åtgärder//NN|UTR|PLU|IND|NOM//nmod//97 i//PP//case//102 form//NN|UTR|SIN|IND|NOM//nmod//100 av//PP//case//106 6.9//RG|NOM//nummod//106 Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//106 överväganden//NN|NEU|PLU|IND|NOM//nmod//102 och//KN//cc//108 förslag//NN|NEU|PLU|IND|NOM//conj//106 om//PP//case//110 arbetsskaderapporteringen//NN|UTR|SIN|DEF|NOM//nmod//108 och//KN//cc//113 differentierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//113 avgifter//NN|UTR|PLU|IND|NOM//conj//110 i//PP//case//115 7.4//RG|NOM//nmod//113 Förslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//117 betydelse//NN|UTR|SIN|IND|NOM//nsubj:pass//53 för//PP//case//122 de//DT|UTR/NEU|PLU|DEF//det//121 avtalsbundna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//121 7.4.3//RG|NOM//nmod//122 Förslaget//NN|NEU|SIN|DEF|NOM//obl//53 om//PP//case//125 en//DT|UTR|SIN|IND//det//125 tilläggsförsäkring//NN|UTR|SIN|IND|NOM//nmod//122 administrerad//PC|PRF|UTR|SIN|IND|NOM//acl//125 av//PP//case//130 7.5//RG|NOM//nmod:poss//130 Generella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//130 direktiv//NN|NEU|PLU|IND|NOM//obl:agent//126 till//PP//case//133 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//133 kommittéer//NN|UTR|PLU|IND|NOM//obl//126 och//KN//cc//136 10.5.3//RG|NOM//nummod//136 Sjuk-//NN|UTR|-|-|SMS//conj//133 och//KN//cc//138 arbetsskadekommittén//NN|UTR|SIN|DEF|NOM//conj//136 och//KN//cc//140 frågan//NN|UTR|SIN|DEF|NOM//conj//133 om//PP//case//144 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//143 10.7//RG|NOM//nummod//144 Författningskommentarer//NN|UTR|PLU|IND|NOM//nmod//140 till//PP//case//146 förslaget//NN|NEU|SIN|DEF|NOM//nmod//144 till//PP//case//133 ""//PAD//punct//122 ILAGOR//PM|NOM//nmod//150 1.1//RG|NOM//nummod//152 Olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//152 metoder//NN|UTR|PLU|IND|NOM//appos//122 att//IE//mark//154 avgränsa//VB|INF|AKT//acl//152 arbetsskadebegreppet//NN|NEU|SIN|DEF|NOM//obj//154 i//PP//case//157 förteckning//NN|UTR|SIN|IND|NOM//obl//154 samt//KN//cc//160 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//160 konventioner//NN|UTR|PLU|IND|NOM//conj//157 och//KN//cc//162 rekommendationer//NN|UTR|PLU|IND|NOM//conj//160 i//PP//case//164 2.1//RG|NOM//nmod//162 Exempel//NN|NEU|PLU|IND|NOM//conj//157 på//PP//case//167 tillämpning//NN|UTR|SIN|IND|NOM//obl//154 av//PP//case//169 arbetsskadeförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//167 för//PP//case//171 skador//NN|UTR|PLU|IND|NOM//nmod//169 ///MID//cc//173 sjukdomar//NN|UTR|PLU|IND|NOM//conj//171 i//PP//case//175 rörelseorganen//NN|NEU|PLU|DEF|NOM//nmod//169 (//PAD//punct//152 rygg//NN|UTR|SIN|IND|NOM//appos//152 ,//MID//punct//179 leder//NN|UTR|PLU|IND|NOM//conj//152 och//KN//cc//181 muskler//NN|UTR|PLU|IND|NOM//conj//179 )//PAD//punct//152 av//PP//case//122"


