Till statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 17//RG|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 1998//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 utvärdera//VB|INF|AKT//acl//12 resegarantisystemet//NN|NEU|SIN|DEF|NOM//obj//14 och//KN//cc//17 analysera//VB|INF|AKT//conj//14 om//SN//mark//21 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//21 bör//VB|PRS|AKT//aux//21 ändras//VB|INF|SFO//ccomp//17 och//KN//cc//29 ,//MID//punct//29 om//SN//mark//27 så//AB//advmod//27 är//VB|PRS|AKT//cop//27 fallet//NN|NEU|SIN|DEF|NOM//advcl//29 ,//MID//punct//29 lämna//VB|INF|AKT//conj//21 förslag//NN|NEU|SIN|IND|NOM//obj//29 till//PP//case//33 ny//JJ|POS|UTR|SIN|IND|NOM//amod//33 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//30 på//PP//case//35 området//NN|NEU|SIN|DEF|NOM//nmod//33 samt//KN//cc//39 slutligen//AB//mark//39 att//IE//mark//39 analysera//VB|INF|AKT//conj//21 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//42 frågor//NN|UTR|PLU|IND|NOM//obj//39 rörande//PP//case//44 tillämpningen//NN|UTR|SIN|DEF|NOM//obl//39 av//PP//case//46 resegarantilagen//NN|UTR|SIN|DEF|NOM//nmod//44 (//PAD//punct//48 1972:204//RG|NOM//appos//46 )//PAD//punct//48 .//MAD//punct//54

1 §;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 syftar//VB|PRS|AKT//ROOT//2 till//PP//mark//5 att//IE//mark//5 skydda//VB|INF|AKT//xcomp//2 resenärers//NN|UTR|PLU|IND|GEN//nmod:poss//7 anspråk//NN|NEU|PLU|IND|NOM//obj//5 när//HA//mark//12 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//12 som//HP|-|-|-//nsubj//11 är//VB|PRS|AKT//cop//12 registreringsskyldig//JJ|POS|UTR|SIN|IND|NOM//advcl//2 enligt//PP//case//14 lagen//NN|UTR|SIN|DEF|NOM//obl//12 är//VB|PRS|AKT//cop//17 på//PP//case//17 obestånd//NN|NEU|SIN|IND|NOM//obl//2 eller//KN//cc//20 kan//VB|PRS|AKT//aux//20 befaras//VB|INF|SFO//conj//2 hamna//VB|INF|AKT//xcomp//20 på//PP//case//23 obestånd//NN|NEU|SIN|IND|NOM//obl//21 .//MAD//punct//2

2 §;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//4 i//PP//case//2 lagen//NN|UTR|SIN|DEF|NOM//nmod//0 skall//VB|PRS|AKT//aux//4 tillämpas//VB|INF|SFO//ROOT//4 endast//AB//advmod//4 på//PP//case//7 paketresor//NN|UTR|PLU|IND|NOM//obl//4 och//KN//cc//10 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 resor//NN|UTR|PLU|IND|NOM//conj//7 som//HP|-|-|-//nsubj:pass//12 marknadsförs//VB|PRS|SFO//acl:relcl//10 eller//KN//cc//14 säljs//VB|PRS|SFO//conj//12 i//PP//case//16 Sverige//PM|NOM//obl//14 .//MAD//punct//4
2 §;För//PP//case//2 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 resor//NN|UTR|PLU|IND|NOM//obl//10 än//KN//mark//4 paketresor//NN|UTR|PLU|IND|NOM//nmod//2 skall//VB|PRS|AKT//aux//10 dock//AB//advmod//10 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//10 i//PP//case//9 lagen//NN|UTR|SIN|DEF|NOM//nmod//7 tillämpas//VB|PRS|SFO//ROOT//10 endast//AB//advmod//10 om//SN//case//13 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//10 som//HP|-|-|-//nsubj//15 förvärvar//VB|PRS|AKT//acl:relcl//13 resan//NN|UTR|SIN|DEF|NOM//obj//15 gör//VB|PRS|AKT//advcl//10 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//17 huvudsakligen//AB//advmod//17 för//PP//case//22 enskilt//JJ|POS|NEU|SIN|IND|NOM//amod//22 ändamål//NN|NEU|SIN|IND|NOM//obl//17 .//MAD//punct//10
2 §;Registreringsskyldighet//NN|UTR|SIN|IND|NOM//ROOT//0

3 §;En//DT|UTR|SIN|IND//det//1 arrangör//NN|UTR|SIN|IND|NOM//nsubj//11 eller//KN//cc//3 återförsäljare//NN|UTR|SIN|IND|NOM//conj//1 enligt//PP//case//5 lagen//NN|UTR|SIN|DEF|NOM//nmod//1 (//PAD//punct//1 1992:1672//RG|NOM//appos//1 )//PAD//punct//7 om//PP//case//10 paketresor//NN|UTR|PLU|IND|NOM//conj//1 skall//VB|PRS|AKT//aux//19 vid//PP//case//13 marknadsföring//NN|UTR|SIN|IND|NOM//obl//19 eller//KN//cc//15 försäljning//NN|UTR|SIN|IND|NOM//conj//13 av//PP//case//17 paketresor//NN|UTR|PLU|IND|NOM//nmod//15 vara//VB|INF|AKT//aux:pass//19 registrerad//PC|PRF|UTR|SIN|IND|NOM//ROOT//19 hos//PP//case//21 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//obl//19 (//PAD//punct//23 registreringsskyldig//NN|NEU|SIN|IND|NOM//appos//21 )//PAD//punct//23 .//MAD//punct//27
3 §;Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//27 prövar//VB|PRS|AKT//conj//19 frågor//NN|UTR|PLU|IND|NOM//obj//27 om//PP//case//30 registrering//NN|UTR|SIN|IND|NOM//nmod//28 .//MAD//punct//19
3 §;Registreringsskyldig//PM|NOM//advmod//3 är//VB|PRS|AKT//cop//0 även//AB//advmod//3 den//PN|UTR|SIN|DEF|SUB/OBJ//ROOT//3 som//KN//case//5 annat//PN|NEU|SIN|IND|SUB/OBJ//amod//3 än//KN//mark//7 tillfälligtvis//AB//advmod//8 marknadsför//VB|PRS|AKT//advmod//3 eller//KN//cc//10 säljer//VB|PRS|AKT//conj//8 1//RG|NOM//nummod//10 .//MAD//punct//3
3 §;transporter//NN|UTR|PLU|IND|NOM//parataxis//3 som//HP|-|-|-//nsubj//18 inte//AB//advmod//18 endast//AB//advmod//18 undantagsvis//AB//advmod//18 sker//VB|PRS|AKT//acl:relcl//13 tillsammans//AB//advmod//18 med//PP//case//21 paketresor//NN|UTR|PLU|IND|NOM//obl//18 ,//MID//punct//18 2//RG|NOM//nummod//13 .//MAD//punct//13
3 §;transporter//NN|UTR|PLU|IND|NOM//appos//13 ,//MID//punct//27 inkvartering//NN|UTR|SIN|IND|NOM//conj//25 och//KN//cc//30 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 turisttjänster//NN|UTR|PLU|IND|NOM//conj//25 som//KN//mark//33 separata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 tjänster//NN|UTR|PLU|IND|NOM//conj//25 ,//MID//punct//25 om//SN//mark//38 en//DT|UTR|SIN|IND//det//37 resenär//NN|UTR|SIN|IND|NOM//nsubj//38 förvärvar//VB|PRS|AKT//acl:relcl//13 en//DT|UTR|SIN|IND//det//40 transporttjänst//NN|UTR|SIN|IND|NOM//obj//38 jämte//PP//case//44 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//43 en//DT|UTR|SIN|IND//det//44 tjänst//NN|UTR|SIN|IND|NOM//obl//38 och//KN//cc//48 tjänsterna//NN|UTR|PLU|DEF|NOM//nsubj//48 sammantagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advmod//48 företer//VB|PRS|AKT//conj//38 påtagliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 likheter//NN|UTR|PLU|IND|NOM//obj//48 med//PP//case//53 en//DT|UTR|SIN|IND//det//53 paketresa//NN|UTR|SIN|IND|NOM//obl//48 ,//MID//punct//13 samt//KN//cc//56 3//RG|NOM//conj//13 .//MAD//punct//13
3 §;resor//NN|UTR|PLU|IND|NOM//nsubj//59 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//13 av//PP//case//61 transport//NN|UTR|SIN|IND|NOM//obl:agent//59 och//KN//cc//63 utbildningsvistelse//NN|UTR|SIN|IND|NOM//conj//61 ,//MID//punct//76 även//AB//mark//76 om//SN//fixed//65 den//DT|UTR|SIN|DEF//det//68 inkvartering//NN|UTR|SIN|IND|NOM//nsubj//76 som//HP|-|-|-//nsubj:pass//70 erbjuds//VB|PRS|SFO//acl:relcl//68 i//PP//case//74 samband//NN|NEU|SIN|IND|NOM//fixed//71 med//PP//fixed//71 utbildningsvistelsen//NN|UTR|SIN|DEF|NOM//obl//70 är//VB|PRS|AKT//cop//76 kostnadsfri//JJ|POS|UTR|SIN|IND|NOM//conj//59 .//MAD//punct//3

4 §;Om//SN//mark//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 finns//VB|PRS|SFO//advcl//17 anledning//NN|UTR|SIN|IND|NOM//nsubj//2 att//IE//mark//5 anta//VB|INF|AKT//csubj//2 att//SN//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//det//9 föreligger//VB|PRS|AKT//amod//9 skyldighet//NN|UTR|SIN|IND|NOM//ccomp//5 att//IE//mark//11 ansöka//VB|INF|AKT//acl//9 om//PP//case//13 registrering//NN|UTR|SIN|IND|NOM//obl//11 ,//MID//punct//2 får//VB|PRS|AKT//aux//17 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//17 ålägga//VB|INF|AKT//ROOT//17 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//17 som//HP|-|-|-//nsubj//20 marknadsför//VB|PRS|AKT//acl:relcl//18 eller//KN//cc//22 säljer//VB|PRS|AKT//conj//17 en//DT|UTR|SIN|IND//det//24 resa//NN|UTR|SIN|IND|NOM//obj//22 att//IE//mark//26 lämna//VB|INF|AKT//acl//24 de//DT|UTR/NEU|PLU|DEF//det//28 uppgifter//NN|UTR|PLU|IND|NOM//obj//26 om//PP//case//31 sin//PS|UTR|SIN|DEF//nmod:poss//31 verksamhet//NN|UTR|SIN|IND|NOM//obl//26 som//HP|-|-|-//nsubj//34 är//VB|PRS|AKT//cop//34 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//31 för//PP//mark//40 att//SN//mark//40 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//40 skall//VB|PRS|AKT//aux//40 kunna//VB|INF|AKT//aux//40 pröva//VB|INF|AKT//advcl//34 om//SN//mark//43 han//PN|UTR|SIN|DEF|SUB//nsubj//43 är//VB|PRS|AKT//cop//44 registreringsskyldig//JJ|POS|UTR|SIN|IND|NOM//advmod//17 .//MAD//punct//17
4 §;Om//SN//mark//8 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//8 som//HP|-|-|-//nsubj:pass//3 avses//VB|PRS|SFO//acl:relcl//1 i//PP//case//6 första//RO|NOM//amod//6 stycket//NN|NEU|SIN|DEF|NOM//obl//3 inte//AB//advmod//8 lämnar//VB|PRS|AKT//advcl//15 de//DT|UTR/NEU|PLU|DEF//obj//8 begärda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//8 uppgifterna//NN|UTR|PLU|DEF|NOM//obj//10 ,//MID//punct//8 får//VB|PRS|AKT//aux//15 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//15 förelägga//VB|INF|AKT//ROOT//15 honom//PN|UTR|SIN|DEF|OBJ//obj//15 vid//PP//case//18 vite//NN|NEU|SIN|IND|NOM//obl//15 att//IE//mark//20 fullgöra//VB|INF|AKT//acl//18 sin//PS|UTR|SIN|DEF//nmod:poss//22 skyldighet//NN|UTR|SIN|IND|NOM//obj//20 .//MAD//punct//15

5 §;Om//SN//mark//6 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//6 som//HP|-|-|-//nsubj//4 är//VB|PRS|AKT//cop//4 registreringsskyldig//JJ|POS|UTR|SIN|IND|NOM//advmod//6 inte//AB//advmod//6 ansöker//VB|PRS|AKT//advcl//15 om//PP//case//8 registrering//NN|UTR|SIN|IND|NOM//obl//6 enligt//PP//case//11 denna//DT|UTR|SIN|DEF//det//11 lag//NN|UTR|SIN|IND|NOM//nmod//8 ,//MID//punct//6 får//VB|PRS|AKT//aux//15 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//15 förelägga//VB|INF|AKT//ROOT//15 honom//PN|UTR|SIN|DEF|OBJ//obj//15 vid//PP//case//18 vite//NN|NEU|SIN|IND|NOM//obl//15 att//IE//mark//20 fullgöra//VB|INF|AKT//acl//18 sin//PS|UTR|SIN|DEF//nmod:poss//22 skyldighet//NN|UTR|SIN|IND|NOM//obj//20 .//MAD//punct//15
5 §;Krav//NN|NEU|PLU|IND|NOM//ROOT//0 för//PP//case//2 registrering//NN|UTR|SIN|IND|NOM//nmod//0

6 §;För//PP//case//1 registrering//NN|UTR|SIN|IND|NOM//obl//2 krävs//VB|PRS|SFO//ROOT//2 att//SN//mark//9 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//9 som//HP|-|-|-//nsubj//7 är//VB|PRS|AKT//cop//7 registreringsskyldig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//4 har//VB|PRS|AKT//aux//9 uppfyllt//VB|SUP|AKT//dep//2 kravet//NN|NEU|SIN|DEF|NOM//obj//9 på//PP//case//12 garanti//NN|UTR|SIN|IND|NOM//nmod//10 enligt//PP//case//15 7//RG|NOM//nummod//15 §//NN|AN//nmod//10 .//MAD//punct//2
6 §;Tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//1 garanti//NN|UTR|SIN|IND|NOM//ROOT//1 ,//MID//punct//3 m.m.//AB|AN//conj//1

7 §;När//HA//mark//3 en//DT|UTR|SIN|IND//det//2 registreringsskyldig//NN|UTR|SIN|IND|NOM//nsubj//3 ansöker//VB|PRS|AKT//advcl//8 om//PP//case//5 registrering//NN|UTR|SIN|IND|NOM//obl//3 skall//VB|PRS|AKT//aux//8 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//8 fastställa//VB|INF|AKT//ROOT//8 en//DT|UTR|SIN|IND//det//10 garanti//NN|UTR|SIN|IND|NOM//obj//8 till//PP//case//13 ett//DT|NEU|SIN|IND//det//13 belopp//NN|NEU|SIN|IND|NOM//obl//8 som//HP|-|-|-//mark//22 med//PP//advmod//22 hänsyn//NN|UTR|SIN|IND|NOM//fixed//15 till//PP//case//19 reseverksamhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 art//NN|UTR|SIN|IND|NOM//fixed//15 och//KN//cc//21 omfattning//NN|UTR|SIN|IND|NOM//conj//19 bedöms//VB|PRS|SFO//acl:relcl//13 vara//VB|INF|AKT//cop//24 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//22 för//PP//case//27 de//DT|UTR/NEU|PLU|DEF//det//27 ändamål//NN|NEU|PLU|IND|NOM//obl//24 som//HP|-|-|-//nsubj:pass//29 avses//VB|PRS|SFO//acl:relcl//27 i//PP//case//32 11//RG|NOM//nummod//32 §//NN|AN//obl//29 .//MAD//punct//8
7 §;Kammarkollegiets//NN|NEU|SIN|DEF|GEN//nmod:poss//35 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//41 om//PP//mark//38 att//IE//mark//38 fastställa//VB|INF|AKT//acl//35 garanti//NN|UTR|SIN|IND|NOM//obj//38 får//VB|PRS|AKT//aux//41 förenas//VB|INF|SFO//parataxis//8 med//PP//case//43 villkor//NN|NEU|PLU|IND|NOM//obl//41 .//MAD//punct//8
7 §;Om//SN//mark//47 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//47 finns//VB|PRS|SFO//advcl//53 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//49 skäl//NN|NEU|PLU|IND|NOM//nsubj//47 ,//MID//punct//53 får//VB|PRS|AKT//aux//53 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//53 besluta//VB|INF|AKT//conj//8 att//SN//mark//58 garanti//NN|UTR|SIN|IND|NOM//nsubj:pass//58 inte//AB//advmod//58 behöver//VB|PRS|AKT//aux//58 ställas//VB|INF|SFO//ccomp//53 .//MAD//punct//8
7 §;Garanti//NN|UTR|SIN|IND|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 bestå//VB|INF|AKT//ROOT//2 av//PP//case//4 en//DT|UTR|SIN|IND//det//10 av//PP//case//6 bank//NN|UTR|SIN|IND|NOM//nmod//4 eller//KN//cc//8 försäkringsbolag//NN|NEU|SIN|IND|NOM//conj//6 utfärdad//PC|PRF|UTR|SIN|IND|NOM//amod//10 betalningsutfästelse//NN|UTR|SIN|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//12 fullgörs//VB|PRS|SFO//acl:relcl//10 vid//PP//case//14 anfordran//NN|UTR|SIN|DEF|NOM//obl//12 ,//MID//punct//19 om//SN//mark//19 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//19 inte//AB//advmod//19 beslutar//VB|PRS|AKT//conj//2 annat//PN|NEU|SIN|IND|SUB/OBJ//obj//19 .//MAD//punct//2
7 §;För//PP//mark//5 att//SN//fixed//0 garanti//NN|UTR|SIN|IND|NOM//nsubj:pass//5 skall//VB|PRS|AKT//aux//5 kunna//VB|INF|AKT//aux//5 ställas//VB|INF|SFO//advcl//9 i//PP//case//8 annan//JJ|POS|UTR|SIN|IND|NOM//amod//8 form//NN|UTR|SIN|IND|NOM//obl//5 krävs//VB|PRS|SFO//ROOT//9 att//SN//mark//14 garantin//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 omedelbart//AB|POS//advmod//14 kan//VB|PRS|AKT//aux//14 tas//VB|INF|SFO//dep//9 i//PP//case//16 anspråk//NN|NEU|SIN|IND|NOM//obl//14 för//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//19 ändamål//NN|NEU|PLU|IND|NOM//obl//14 som//HP|-|-|-//nsubj:pass//21 avses//VB|PRS|SFO//acl:relcl//19 i//PP//case//24 11//RG|NOM//nummod//24 §//NN|AN//obl//21 och//KN//cc//30 att//SN//mark//30 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//30 inte//AB//advmod//30 kan//VB|PRS|AKT//aux//30 utnyttjas//VB|INF|SFO//conj//14 för//PP//case//33 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 syften//NN|NEU|PLU|IND|NOM//obl//30 .//MAD//punct//9

8 §;När//HA//mark//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 finns//VB|PRS|SFO//advcl//6 anledning//NN|UTR|SIN|IND|NOM//nsubj//2 skall//VB|PRS|AKT//aux//6 Kammarkollegiet//NN|NEU|SIN|DEF|NOM//nsubj//6 pröva//VB|INF|AKT//ROOT//6 om//SN//case//10 den//DT|UTR|SIN|DEF//det//10 ställda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//10 garantin//NN|UTR|SIN|DEF|NOM//obl//6 motsvarar//VB|PRS|AKT//advcl//6 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 krav//NN|NEU|PLU|IND|NOM//obj//11 .//MAD//punct//6
