Skyddet för den personliga integriteten;Kartläggning//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 analys//NN|UTR|SIN|IND|NOM//conj//0
25.1 Regler om sekretess;Även//AB//advmod//87 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//98 att//IE//mark//89 företräda//VB|INF|AKT//acl//87 det//DT|NEU|SIN|DEF//det//91 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//obj//89 som//KN//mark//93 part//NN|UTR|SIN|IND|NOM//obl//89 i//PP//case//95 skatteprocess//NN|UTR|SIN|IND|NOM//obl//89 i//PP//case//97 domstol//NN|UTR|SIN|IND|NOM//nmod//95 faller//VB|PRS|AKT//parataxis//72 in//PL//compound:prt//98 under//PP//case//102 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//102 verksamhet//NN|UTR|SIN|IND|NOM//obl//98 som//HP|-|-|-//nsubj:pass//105 här//AB//advmod//105 avses//VB|PRS|SFO//acl:relcl//102 .//MAD//punct//8
25.1 Regler om sekretess;Sekretessen//NN|UTR|SIN|DEF|NOM//nsubj//1 omfattar//VB|PRS|AKT//ROOT//1 uppgifter//NN|UTR|PLU|IND|NOM//obj//1 om//PP//case//5 både//KN//cc//5 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//1 som//HP|-|-|-//nsubj//8 är//VB|PRS|AKT//cop//8 föremål//NN|NEU|SIN|IND|NOM//acl:relcl//5 för//PP//case//10 taxering//NN|UTR|SIN|IND|NOM//nmod//8 etc.//AB|AN//nmod//8 och//KN//cc//14 tredje//RO|NOM//amod//14 man//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//5 vars//HS|DEF//nmod:poss//17 förhållanden//NN|NEU|PLU|IND|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//5 .//MAD//punct//1
25.1 Regler om sekretess;Regeln//NN|UTR|SIN|DEF|NOM//nsubj//22 förutsätter//VB|PRS|AKT//parataxis//1 att//SN//mark//26 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 är//VB|PRS|AKT//cop//26 fråga//NN|UTR|SIN|IND|NOM//ccomp//22 om//PP//case//29 enskilds//JJ|POS|UTR|SIN|IND|GEN//amod//29 förhållanden//NN|NEU|PLU|IND|NOM//obl//26 (//PAD//punct//29 i//PP//case//32 sekretesslagen//NN|UTR|SIN|DEF|NOM//obl//26 avses//VB|PRS|SFO//conj//22 med//PP//case//38 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//38 både//KN//cc//37 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 personer//NN|UTR|PLU|IND|NOM//obl//33 och//KN//cc//41 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 personer//NN|UTR|PLU|IND|NOM//conj//38 ,//MID//punct//44 undantaget//NN|NEU|SIN|DEF|NOM//advmod//44 de//PN|UTR/NEU|PLU|DEF|SUB//conj//38 som//HP|-|-|-//nsubj//46 getts//VB|SUP|SFO//acl:relcl//44 myndighetsutövande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 uppgifter//NN|UTR|PLU|IND|NOM//obj//46 )//PAD//punct//22 ,//MID//punct//55 varför//HA//advmod//55 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//55 t.ex.//AB|AN//advmod//55 inte//AB//advmod//55 omfattar//VB|PRS|AKT//conj//1 en//DT|UTR|SIN|IND//det//57 kommun//NN|UTR|SIN|IND|NOM//obj//55 som//HP|-|-|-//nsubj//60 är//VB|PRS|AKT//cop//60 part//NN|UTR|SIN|IND|NOM//acl:relcl//57 i//PP//case//63 ett//DT|NEU|SIN|IND//det//63 skatteärende//NN|NEU|SIN|IND|NOM//nmod//60 .//MAD//punct//1
25.1 Regler om sekretess;Motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 sekretess//NN|UTR|SIN|IND|NOM//nsubj//2 gäller//VB|PRS|AKT//ROOT//2 också//AB//advmod//2 i//PP//case//8 fråga//NN|UTR|SIN|IND|NOM//fixed//4 om//PP//fixed//4 myndighets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 verksamhet//NN|UTR|SIN|IND|NOM//obl//2 som//HP|-|-|-//nsubj//10 avser//VB|PRS|AKT//acl:relcl//8 förande//NN|NEU|SIN|IND|NOM//obj//10 av//PP//case//14 eller//KN//cc//14 uttag//NN|NEU|SIN|IND|NOM//obl//10 ur//PP//case//16 beskattningsdatabasen//NN|UTR|SIN|DEF|NOM//nmod//14 enligt//PP//case//18 lagen//NN|UTR|SIN|DEF|NOM//obl//10 (//PAD//punct//20 2001:181//RG|NOM//nmod//18 )//PAD//punct//20 om//PP//case//23 behandling//NN|UTR|SIN|IND|NOM//obl//10 av//PP//case//25 uppgifter//NN|UTR|PLU|IND|NOM//nmod//23 i//PP//case//28 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//28 beskattningsverksamhet//NN|UTR|SIN|IND|NOM//nmod//23 (//PAD//punct//23 ang.//NN|AN//appos//23 denna//DT|UTR|SIN|DEF//det//32 databas//NN|UTR|SIN|IND|NOM//obj//30 ,//MID//punct//34 se//VB|IMP|AKT//conj//2 nedan//AB//advmod//34 avsnitt//NN|NEU|SIN|IND|NOM//nmod//37 25.2.2//RG|NOM//obl//34 )//PAD//punct//2 .//MAD//punct//2
25.1 Regler om sekretess;Bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj//41 gäller//VB|PRS|AKT//parataxis//2 inte//AB//advmod//41 bara//AB//advmod//41 inom//PP//case//45 Skatteverket//PM|NOM//obl//41 utan//KN//cc//49 också//AB//advmod//49 hos//PP//case//49 Kronofogdemyndigheten//PM|NOM//conj//45 och//KN//cc//51 Tullverket//PM|NOM//conj//49 ,//MID//punct//55 som//HP|-|-|-//nsubj//55 får//VB|PRS|AKT//aux//55 ha//VB|INF|AKT//acl:relcl//49 direktåtkomst//NN|UTR|SIN|IND|NOM//obj//55 i//PP//case//61 fråga//NN|UTR|SIN|IND|NOM//fixed//57 om//PP//case//61 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 uppgifter//NN|UTR|PLU|IND|NOM//obl//55 i//PP//case//63 beskattningsdatabasen//NN|UTR|SIN|DEF|NOM//nmod//61 .//MAD//punct//41
25.1 Regler om sekretess;Uttrycket//NN|NEU|SIN|DEF|NOM//appos//41 ”//PAD//punct//65 förande//NN|NEU|SIN|IND|NOM//appos//65 av//PP//case//67 eller//KN//cc//70 uttag//NN|NEU|SIN|IND|NOM//conj//67 ur//PP//case//67 ”//PM|NOM//punct//41 innebär//VB|PRS|AKT//conj//2 att//SN//mark//83 den//DT|UTR|SIN|DEF//det//76 sekretess//NN|UTR|SIN|IND|NOM//nsubj//83 som//HP|-|-|-//nsubj//78 gäller//VB|PRS|AKT//acl:relcl//76 hos//PP//case//82 den//DT|UTR|SIN|DEF//det//82 registerförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//82 myndigheten//NN|UTR|SIN|DEF|NOM//obl//78 blir//VB|PRS|AKT//ccomp//73 tillämplig//JJ|POS|UTR|SIN|IND|NOM//xcomp//83 också//AB//advmod//84 hos//PP//case//88 direktanslutna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//88 myndigheter//NN|UTR|PLU|IND|NOM//obl//84 ,//MID//punct//83 så//AB//advmod//91 länge//AB|POS//advcl//83 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//93 är//VB|PRS|AKT//advcl//83 kvar//PL//advmod//93 i//PP//case//96 registret//NN|NEU|SIN|DEF|NOM//obl//93 .//MAD//punct//2
25.1 Regler om sekretess;Görs//VB|PRS|SFO//parataxis//2 ett//DT|NEU|SIN|IND//det//100 utdrag//NN|NEU|SIN|IND|NOM//nsubj:pass//98 ur//PP//case//102 registret//NN|NEU|SIN|DEF|NOM//nmod//100 eller//KN//cc//104 används//VB|PRS|SFO//conj//98 uppgifter//NN|UTR|PLU|IND|NOM//obj//104 ur//PP//case//107 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//104 på//PP//case//110 annat//JJ|POS|NEU|SIN|IND|NOM//amod//110 sätt//NN|NEU|SIN|IND|NOM//obl//104 i//PP//case//115 den//DT|UTR|SIN|DEF//det//114 direktanslutna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//114 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//115 verksamhet//NN|UTR|SIN|IND|NOM//nmod//110 ,//MID//punct//117 blir//VB|PRS|AKT//parataxis//2 de//DT|UTR/NEU|PLU|DEF//det//119 sekretessbestämmelser//NN|UTR|PLU|IND|NOM//nsubj//117 som//HP|-|-|-//nsubj:pass//122 kan//VB|PRS|AKT//aux//122 finnas//VB|INF|SFO//acl:relcl//119 för//PP//case//125 denna//DT|UTR|SIN|DEF//det//125 verksamhet//NN|UTR|SIN|IND|NOM//obl//122 i//PP//case//128 stället//NN|NEU|SIN|DEF|NOM//fixed//126 tillämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//122 (//PAD//punct//128 Regner//UO//appos//128 m.fl.//AB|AN//conj//128 ,//MID//punct//134 s.//NN|AN//nmod//134 9:58//RG|NOM//nmod//131 )//PAD//punct//117 .//MAD//punct//2
25.1 Regler om sekretess;Sekretessen//NN|UTR|SIN|DEF|NOM//nsubj//8 enligt//PP//case//3 9//RG|NOM//nummod//3 kap.//NN|AN//nmod//0 1//RG|NOM//nummod//5 §//NN|AN//nmod//0 första//RO|NOM//amod//7 stycket//NN|NEU|SIN|DEF|NOM//nmod//5 gäller//VB|PRS|AKT//ROOT//8 också//AB//advmod//8 i//PP//case//13 ett//DT|NEU|SIN|IND//det//12 par//NN|NEU|SIN|IND|NOM//nmod//13 fall//NN|NEU|PLU|IND|NOM//obl//8 där//HA//advmod//16 Skatteverket//PM|NOM//nsubj//16 lämnar//VB|PRS|AKT//acl:relcl//13 uppgifter//NN|UTR|PLU|IND|NOM//obj//16 till//PP//case//20 annan//JJ|POS|UTR|SIN|IND|NOM//amod//20 myndighet//NN|UTR|SIN|IND|NOM//obl//16 .//MAD//punct//8
25.1 Regler om sekretess;Sekretessen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//2 beskattningsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//4 absolut//JJ|POS|UTR|SIN|IND|NOM//ROOT//4 ,//MID//punct//4 dvs.//AB|AN//advmod//7 något//DT|NEU|SIN|IND//det//8 skaderekvisit//NN|NEU|SIN|IND|NOM//nsubj//9 finns//VB|PRS|SFO//parataxis//4 inte//AB//advmod//9 .//MAD//punct//9
25.1 Regler om sekretess;Ett//DT|NEU|SIN|IND//det//13 undantag//NN|NEU|SIN|IND|NOM//nsubj//16 är//VB|PRS|AKT//cop//16 dock//AB//advmod//16 skatteprocess//NN|UTR|SIN|IND|NOM//parataxis//9 hos//PP//case//18 domstol//NN|UTR|SIN|IND|NOM//nmod//16 ,//MID//punct//18 då//HA//advmod//24 ett//DT|NEU|SIN|IND//det//23 rakt//JJ|POS|NEU|SIN|IND|NOM//amod//23 skaderekvisit//NN|NEU|SIN|IND|NOM//nsubj//24 gäller//VB|PRS|AKT//advcl//16 för//PP//case//26 uppgift//NN|UTR|SIN|IND|NOM//obl//24 i//PP//case//28 mål//NN|NEU|SIN|IND|NOM//nmod//26 hos//PP//case//30 domstolen//NN|UTR|SIN|DEF|NOM//nmod//26 .//MAD//punct//9
25.1 Regler om sekretess;I//PP//case//33 propositionen//NN|UTR|SIN|DEF|NOM//obl//38 med//PP//case//35 förslag//NN|NEU|SIN|IND|NOM//nmod//33 till//PP//case//37 sekretesslag//NN|NEU|SIN|IND|NOM//nmod//35 anförde//VB|PRT|AKT//conj//9 föredragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 statsrådet//NN|NEU|SIN|DEF|NOM//obj//38 beträffande//PP//case//42 valet//NN|NEU|SIN|DEF|NOM//obl//38 av//PP//case//44 styrka//NN|UTR|SIN|IND|NOM//nmod//42 hos//PP//case//46 sekretessen//NN|UTR|SIN|DEF|NOM//nmod//44 på//PP//case//49 detta//DT|NEU|SIN|DEF//det//49 område//NN|NEU|SIN|IND|NOM//nmod//42 att//SN//mark//53 man//PN|UTR|SIN|IND|SUB//nsubj//53 måste//VB|PRS|AKT//aux//53 eftersträva//VB|INF|AKT//ccomp//38 en//DT|UTR|SIN|IND//det//56 lämplig//JJ|POS|UTR|SIN|IND|NOM//amod//56 avvägning//NN|UTR|SIN|IND|NOM//obj//53 mellan//PP//case//58 skydds-//NN|NEU|-|-|SMS//nmod//56 och//KN//cc//60 offentlighetsintressena//NN|NEU|PLU|DEF|NOM//conj//58 (//PAD//punct//56 prop//NN|UTR|SIN|IND|NOM//appos//56 .//MAD//punct//9
25.1 Regler om sekretess;1979/80:2//RG|NOM//nummod//68 Del//PM|NOM//nmod//66 A//PM|NOM//nummod//64 256//RG|NOM//nummod//68 f.//NN|AN//appos//9 )//PAD//punct//68 .//MAD//punct//9
25.1 Regler om sekretess;De//DT|UTR/NEU|PLU|DEF//nsubj:pass//72 skattskyldigas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//74 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//74 plikt//NN|UTR|SIN|IND|NOM//parataxis//9 att//IE//mark//76 lämna//VB|INF|AKT//acl//74 uppgifter//NN|UTR|PLU|IND|NOM//obj//76 om//PP//case//80 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//80 förhållanden//NN|NEU|PLU|IND|NOM//obl//76 gav//VB|PRT|AKT//conj//4 skyddsaspekten//NN|NEU|PLU|DEF|NOM//nsubj//81 en//DT|UTR|SIN|IND//det//85 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//85 tyngd//NN|UTR|SIN|IND|NOM//obj//81 .//MAD//punct//4
25.1 Regler om sekretess;Man//PN|UTR|SIN|IND|SUB//nsubj//91 kunde//VB|PRT|AKT//aux//91 nämligen//AB//advmod//91 inte//AB//advmod//91 bortse//VB|INF|AKT//parataxis//4 från//PP//mark//101 att//SN//mark//101 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//101 av//PP//case//98 den//DT|UTR|SIN|DEF//det//98 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//98 mängden//NN|UTR|SIN|DEF|NOM//nmod//99 skattskyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//101 skulle//VB|PRT|AKT//aux//101 upplevas//VB|INF|SFO//advcl//91 som//KN//mark//103 integritetskränkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//101 att//SN//mark//109 uppgifter//NN|UTR|PLU|IND|NOM//nsubj//109 i//PP//case//108 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//108 självdeklarationer//NN|UTR|PLU|IND|NOM//nmod//105 kom//VB|PRT|AKT//advcl//101 till//PP//case//111 offentligheten//NN|UTR|SIN|DEF|NOM//obl//109 ,//MID//punct//116 även//AB//advmod//116 om//SN//fixed//113 en//DT|UTR|SIN|IND//det//116 del//NN|UTR|SIN|IND|NOM//conj//91 av//PP//case//119 dessa//DT|UTR/NEU|PLU|DEF//det//119 uppgifter//NN|UTR|PLU|IND|NOM//nmod//116 i//PP//case//128 och//KN//fixed//120 för//PP//fixed//120 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//120 var//VB|PRT|AKT//cop//128 av//PP//case//128 tämligen//AB//advmod//127 alldaglig//JJ|POS|UTR|SIN|IND|NOM//amod//128 beskaffenhet//NN|UTR|SIN|IND|NOM//nmod//116 .//MAD//punct//91
25.1 Regler om sekretess;Vidare//AB|KOM//advmod//133 var//VB|PRT|AKT//cop//133 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//133 klart//JJ|POS|NEU|SIN|IND|NOM//parataxis//91 att//SN//mark//147 ett//DT|NEU|SIN|IND//det//136 utlämnande//NN|NEU|SIN|IND|NOM//nsubj//147 av//PP//case//138 uppgifter//NN|UTR|PLU|IND|NOM//nmod//136 om//PP//case//142 ett//DT|NEU|SIN|IND//det//141 företags//NN|NEU|SIN|IND|GEN//nmod:poss//142 affärs-//NN|UTR|-|-|SMS//nmod//136 och//KN//cc//144 driftförhållanden//NN|NEU|PLU|IND|NOM//conj//142 ofta//AB|POS//advmod//147 kunde//VB|PRT|AKT//aux//147 medföra//VB|INF|AKT//csubj//133 skada//NN|UTR|SIN|IND|NOM//obj//147 för//PP//case//150 företaget//NN|NEU|SIN|DEF|NOM//nmod//148 .//MAD//punct//133
25.1 Regler om sekretess;I//PP//case//155 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//155 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//155 typer//NN|UTR|PLU|IND|NOM//obl//161 av//PP//case//157 skatteärenden//NN|NEU|PLU|IND|NOM//nmod//155 var//VB|PRT|AKT//cop//161 skyddsintresset//NN|NEU|SIN|DEF|NOM//nsubj//161 särskilt//AB//advmod//161 uttalat//PC|PRF|NEU|SIN|IND|NOM//ccomp//91 .//MAD//punct//161
25.1 Regler om sekretess;Enligt//PP//case//165 föredragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//165 statsrådet//NN|NEU|SIN|DEF|NOM//obl//168 kunde//VB|PRT|AKT//aux//168 insynsintresset//NN|NEU|SIN|DEF|NOM//nsubj:pass//168 tillgodoses//VB|PRS|SFO//parataxis//161 genom//PP//mark//172 att//SN//mark//172 man//PN|UTR|SIN|IND|SUB//nsubj//172 lät//VB|PRT|AKT//advcl//168 processen//NN|UTR|SIN|DEF|NOM//obj//172 vid//PP//case//175 skattedomstol//NN|UTR|SIN|IND|NOM//nmod//173 vara//VB|INF|AKT//cop//177 offentlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//172 samt//KN//cc//181 att//SN//mark//181 man//PN|UTR|SIN|IND|SUB//nsubj//181 undantog//VB|PRT|AKT//conj//172 beslut//NN|NEU|SIN|IND|NOM//obj//181 om//PP//case//184 taxering//NN|UTR|SIN|IND|NOM//obl//181 och//KN//cc//187 om//PP//case//187 skatt//NN|UTR|SIN|IND|NOM//conj//184 m.m.//AB|AN//nmod//187 från//PP//case//190 sekretessen//NN|UTR|SIN|DEF|NOM//nmod//187 .//MAD//punct//91
25.1 Regler om sekretess;I//PP//case//2 en//DT|UTR|SIN|IND//det//2 skatteprocess//NN|UTR|SIN|IND|NOM//obl//5 vid//PP//case//4 domstol//NN|UTR|SIN|IND|NOM//nmod//2 råder//VB|PRS|AKT//advcl//103 alltså//AB//advmod//5 presumtion//NN|UTR|SIN|IND|NOM//nsubj//5 för//PP//case//9 offentlighet//NN|UTR|SIN|IND|NOM//obl//5 .//MID//punct//5
25.1 Regler om sekretess;Det//DT|NEU|SIN|DEF//det//13 raka//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 skaderekvisitet//NN|NEU|SIN|DEF|NOM//nsubj:pass//14 tillämpas//VB|PRS|SFO//parataxis//5 bl.a.//AB|AN//advmod//14 på//PP//case//18 alla//DT|UTR/NEU|PLU|IND/DEF//det//18 uppgifter//NN|UTR|PLU|IND|NOM//obl//14 som//HP|-|-|-//nsubj//20 är//VB|PRS|AKT//acl:relcl//18 av//PP//case//22 betydelse//NN|UTR|SIN|IND|NOM//obl//20 i//PP//case//24 målet//NN|NEU|SIN|DEF|NOM//nmod//22 .//MAD//punct//5
25.1 Regler om sekretess;(//PAD//punct//5 a.//NN|NEU|SIN|IND|NOM//nmod//28 prop//NN|UTR|SIN|IND|NOM//nsubj//5 .//MAD//punct//5
25.1 Regler om sekretess;s.//NN|AN//nmod//31 258//RG|NOM//nummod//32 f.//NN|AN//nsubj//5 )//PAD//punct//5 För//PP//mark//36 att//IE//mark//36 vara//VB|INF|AKT//advcl//43 av//PP//case//38 betydelse//NN|UTR|SIN|IND|NOM//obl//36 i//PP//case//40 målet//NN|NEU|SIN|DEF|NOM//obl//36 skall//VB|PRS|AKT//aux//43 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//43 hänföra//VB|INF|AKT//advcl//5 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//43 till//PP//case//47 en//DT|UTR|SIN|IND//det//47 fråga//NN|UTR|SIN|IND|NOM//obl//43 som//HP|-|-|-//nsubj//50 är//VB|PRS|AKT//cop//50 föremål//NN|NEU|SIN|IND|NOM//acl:relcl//47 för//PP//case//53 domstolens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 prövning//NN|UTR|SIN|IND|NOM//nmod//50 .//MID//punct//5
25.1 Regler om sekretess;Alla//DT|UTR/NEU|PLU|IND/DEF//det//56 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//62 som//HP|-|-|-//nsubj//58 finns//VB|PRS|SFO//acl:relcl//56 i//PP//case//61 en//DT|UTR|SIN|IND//det//61 deklaration//NN|UTR|SIN|IND|NOM//obl//58 omfattas//VB|PRS|SFO//parataxis//5 således//AB//advmod//62 inte//AB//advmod//62 av//PP//case//68 det//DT|NEU|SIN|DEF//det//68 raka//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 skaderekvisitet//NN|NEU|SIN|DEF|NOM//obl:agent//62 vid//PP//case//70 skatteprocessen//NN|UTR|SIN|DEF|NOM//nmod//68 i//PP//case//72 domstol//NN|UTR|SIN|IND|NOM//nmod//70 utan//KN//cc//75 endast//AB//advmod//75 de//PN|UTR/NEU|PLU|DEF|SUB//conj//62 som//HP|-|-|-//nsubj//77 hänför//VB|PRS|AKT//acl:relcl//75 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//77 till//PP//case//81 den//DT|UTR|SIN|DEF//det//81 punkt//NN|UTR|SIN|IND|NOM//obl//77 i//PP//case//83 deklarationen//NN|UTR|SIN|DEF|NOM//nmod//81 ,//MID//punct//75 t.ex.//AB|AN//advmod//87 rörande//PP//amod//87 avdrag//NN|NEU|PLU|IND|NOM//appos//75 för//PP//case//90 dubbel//JJ|POS|UTR|SIN|IND|NOM//amod//90 bosättning//NN|UTR|SIN|IND|NOM//nmod//87 ,//MID//punct//90 som//HP|-|-|-//nsubj:pass//93 överklagats//VB|SUP|SFO//acl:relcl//90 .//MAD//punct//5
