3 Ekonomiska och materiella resurser ;Jan//PM|NOM//ROOT//0 O.//PM|NOM//flat:name//0 Jonsson//PM|NOM//flat:name//1
3.1 Inledning;"Det//DT|NEU|SIN|DEF//det//107 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//appos//91 är//VB|PRS|AKT//cop//107 att//SN//mark//112 när//HA//mark//112 ekonomin//NN|UTR|SIN|DEF|NOM//nsubj//112 blir//VB|PRS|AKT//ccomp//108 knapp//JJ|POS|UTR|SIN|IND|NOM//xcomp//112 ,//MID//punct//123 kan//VB|PRS|AKT//aux//123 fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//123 av//PP//case//119 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//119 resurser//NN|UTR|PLU|IND|NOM//nmod//116 alltmer//AB//advmod//123 komma//VB|INF|AKT//aux//123 att//IE//mark//123 ske//VB|INF|AKT//conj//91 efter//PP//case//126 traditionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 principer//NN|UTR|PLU|IND|NOM//obl//123 (//PAD//punct//126 kön//NN|NEU|SIN|IND|NOM//appos//126 och//KN//cc//130 ålder//NN|UTR|SIN|IND|NOM//conj//128 )//PAD//punct//91 snarare//AB|KOM//advmod//138 än//KN//case//138 efter//PP//case//138 en//DT|UTR|SIN|IND//det//138 mer//AB|KOM//advmod//137 jämlik//JJ|POS|UTR|SIN|IND|NOM//amod//138 fördelning//NN|UTR|SIN|IND|NOM//obl//91 efter//PP//case//140 principen//NN|UTR|SIN|DEF|NOM//nmod//138 ”//PM|NOM//punct//91 till//PP//case//144 alla//DT|UTR/NEU|PLU|IND/DEF//det//144 hushållsmedlemmar//NN|UTR|PLU|IND|NOM//obl//91 en//DT|UTR|SIN|IND//det//148 lika//AB//advmod//147 stor//JJ|POS|UTR|SIN|IND|NOM//amod//148 del//NN|UTR|SIN|IND|NOM//obj//91 av//PP//case//150 kakan//NN|UTR|SIN|DEF|NOM//nmod//148 ”//PM|NOM//punct//91 (//PAD//punct//151 Kellerhals//PM|NOM//appos//151 ,//MID//punct//155 Coenen-Huther//PM|NOM//conj//153 och//KN//cc//157 Modak//PM|NOM//conj//153 1990//RG|NOM//flat:name//157 ;//MID//punct//153"
3.1 Inledning;O//PM|NOM//conj//153 ’//PM|NOM//punct//162 Brien//PM|NOM//nmod//160 1995//RG|NOM//nummod//162 )//PAD//punct//153 .//MAD//punct//3
3.1 Inledning;Det//DT|NEU|SIN|DEF//det//168 andra//RO|NOM//amod//168 scenariet//NN|NEU|SIN|DEF|NOM//nsubj//200 är//VB|PRS|AKT//cop//168 att//SN//mark//177 familjer//NN|UTR|PLU|IND|NOM//nsubj//177 som//HP|-|-|-//nsubj//173 har//VB|PRS|AKT//acl:relcl//171 knappa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//175 resurser//NN|UTR|PLU|IND|NOM//obj//173 främst//AB|SUV//advmod//177 lägger//VB|PRS|AKT//csubj//168 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obj//177 på//PP//case//180 barnen//NN|NEU|PLU|DEF|NOM//obl//177 för//PP//mark//183 att//IE//mark//183 hålla//VB|INF|AKT//advcl//177 dessa//DT|UTR/NEU|PLU|DEF//obj//183 ”//PAD//punct//186 skadeslösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//183 ”//PAD//punct//168 för//PP//case//191 föräldrarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//191 dåliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//191 ekonomi//NN|UTR|SIN|IND|NOM//nmod//168 .//MAD//punct//168
3.1 Inledning;Denna//DT|UTR|SIN|DEF//det//195 ”//PAD//punct//195 altruism//NN|UTR|SIN|IND|NOM//nsubj//200 ”//RG|NOM//punct//195 skulle//VB|PRT|AKT//aux//200 då//AB//advmod//200 vara//VB|INF|AKT//cop//200 driven//PC|PRF|UTR|SIN|IND|NOM//parataxis//3 av//PP//case//203 en//DT|UTR|SIN|IND//det//203 önskan//NN|UTR|SIN|IND|NOM//obl//200 att//SN//mark//208 barnen//NN|NEU|PLU|DEF|NOM//nsubj//208 skall//VB|PRS|AKT//aux//208 kunna//VB|INF|AKT//aux//208 leva//VB|INF|AKT//acl//203 ett//DT|NEU|SIN|IND//det//210 liv//NN|NEU|SIN|IND|NOM//obj//208 någorlunda//AB//advmod//212 likt//AB//advmod//208 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//214 kamraters//NN|UTR|PLU|IND|GEN//obj//208 och//KN//cc//219 därmed//AB//advmod//219 inte//AB//advmod//219 bli//VB|INF|AKT//aux:pass//219 utpekade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//208 som//KN//mark//221 fattiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//219 ,//MID//punct//226 vilket//HP|NEU|SIN|IND//nsubj//226 skulle//VB|PRT|AKT//aux//226 kunna//VB|INF|AKT//aux//226 ha//VB|INF|AKT//conj//208 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//229 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//229 konsekvenser//NN|UTR|PLU|IND|NOM//obj//226 och//KN//cc//231 leda//VB|INF|AKT//conj//226 till//PP//mark//235 att//SN//mark//235 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//235 mår//VB|PRS|AKT//advcl//231 dåligt//AB|POS//advmod//235 .//MAD//punct//3
3.1 Inledning;Att//SN//mark//241 t.ex.//AB|AN//advmod//241 ensamstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//241 föräldrar//NN|UTR|PLU|IND|NOM//ccomp//3 ”//PN|UTR|PLU|DEF|SUB//punct//3 kompenserar//VB|PRS|AKT//parataxis//3 ”//NN|UTR|SIN|IND|NOM//punct//243 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//246 barn//NN|NEU|PLU|IND|NOM//obj//243 tidsmässigt//AB|POS//advmod//243 genom//PP//mark//250 att//IE//mark//250 dra//VB|INF|AKT//advcl//243 ner//PL//advmod//250 på//PP//case//253 hushållsarbete//NN|NEU|SIN|IND|NOM//obl//250 är//VB|PRS|AKT//cop//257 ett//DT|NEU|SIN|IND//det//257 indirekt//JJ|POS|NEU|SIN|IND|NOM//amod//257 stöd//NN|NEU|SIN|IND|NOM//obj//3 för//PP//mark//263 att//SN//mark//263 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//261 föräldrastrategier//NN|UTR|PLU|IND|NOM//nsubj//263 är//VB|PRS|AKT//cop//263 vanliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//257 (//PAD//punct//3 jfr//VB|AN//parataxis//3 Rydenstam//PM|NOM//obj//265 1992//RG|NOM//nummod//265 )//PAD//punct//3 .//MAD//punct//3
3.1 Inledning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 har//VB|PRS|AKT//ROOT//1 inga//DT|UTR/NEU|PLU|IND//det//4 direkta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 mått//NN|NEU|PLU|IND|NOM//obj//1 på//PP//case//6 överförandet//NN|NEU|SIN|DEF|NOM//obl//1 av//PP//case//9 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 resurser//NN|UTR|PLU|IND|NOM//nmod//6 mellan//PP//case//11 föräldrar//NN|UTR|PLU|IND|NOM//nmod//9 och//KN//cc//13 barn//NN|NEU|PLU|IND|NOM//conj//11 ,//MID//punct//1 men//KN//cc//19 vi//PN|UTR|PLU|DEF|SUB//nsubj//19 vill//VB|PRS|AKT//aux//19 inte//AB//advmod//19 stanna//VB|INF|AKT//conj//1 vid//PP//case//22 en//DT|UTR|SIN|IND//det//22 beskrivning//NN|UTR|SIN|IND|NOM//obl//19 av//PP//case//26 hushållets//NN|NEU|SIN|DEF|GEN//nmod:poss//26  //_SP////24 ekonomi//NN|UTR|SIN|IND|NOM//nmod//22 utan//KN//cc//30 kommer//VB|PRS|AKT//aux//30 att//IE//mark//30 försöka//VB|INF|AKT//conj//1 ,//MID//punct//35 så//AB//advmod//35 gott//AB|POS//fixed//32 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 går//VB|PRS|AKT//conj//1 ,//MID//punct//35 att//IE//mark//39 också//AB//advmod//39 studera//VB|INF|AKT//conj//1 barns//NN|NEU|PLU|IND|GEN//nmod:poss//43 och//KN//cc//42 ungdomars//NN|UTR|PLU|IND|GEN//conj//40 ekonomi//NN|UTR|SIN|IND|NOM//obj//39 direkt//AB|POS//advmod//39 .//MAD//punct//1
3.1 Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//obj//47 gör//VB|PRS|AKT//parataxis//1 vi//PN|UTR|PLU|DEF|SUB//nsubj//47 på//PP//case//50 basis//NN|UTR|SIN|IND|NOM//obl//47 av//PP//case//54 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//54 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 uppgifter//NN|UTR|PLU|IND|NOM//nmod//50 om//PP//case//57 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 medel//NN|NEU|PLU|IND|NOM//nmod//54 och//KN//cc//59 saker//NN|UTR|PLU|IND|NOM//conj//57 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//61 äger//VB|PRS|AKT//acl:relcl//59 .//MAD//punct//47
3.1 Inledning;Ur//PP//case//65 barnens//NN|NEU|PLU|DEF|GEN//nmod:poss//65 perspektiv//NN|NEU|SIN|IND|NOM//obl//69 skulle//VB|PRT|AKT//aux//69 man//PN|UTR|SIN|IND|SUB//nsubj//69 kunna//VB|INF|AKT//aux//69 argumentera//VB|INF|AKT//parataxis//47 för//PP//mark//75 att//SN//mark//75 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//75 är//VB|PRS|AKT//cop//75 detta//DT|NEU|SIN|DEF//det//75 perspektiv//NN|NEU|SIN|IND|NOM//obl//69 som//HP|-|-|-//nsubj//79 är//VB|PRS|AKT//cop//79 det//DT|NEU|SIN|DEF//nsubj//79 centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//acl:relcl//75 ,//MID//punct//102 men//KN//cc//102 även//AB//mark//94 om//SN//fixed//82 barnens//NN|NEU|PLU|DEF|GEN//nmod:poss//86 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//86 situation//NN|UTR|SIN|IND|NOM//nsubj:pass//94 vid//PP//case//90 en//DT|UTR|SIN|IND//det//90 viss//JJ|POS|UTR|SIN|IND|NOM//amod//90 tidpunkt//NN|UTR|SIN|IND|NOM//obl//94 inte//AB//advmod//94 skulle//VB|PRT|AKT//aux//94 vara//VB|INF|AKT//cop//94 relaterad//PC|PRF|UTR|SIN|IND|NOM//advcl//102 till//PP//case//97 familjens//NN|UTR|SIN|DEF|GEN//nmod:poss//97 ekonomi//NN|UTR|SIN|IND|NOM//obl//94 ,//MID//punct//102 måste//VB|PRS|AKT//aux//102 denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//102 ändå//AB//advmod//102 betraktas//VB|INF|SFO//conj//75 som//KN//mark//104 fundamental//NN|UTR|SIN|IND|NOM//xcomp//102 .//MAD//punct//47
3.1 Inledning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//107 ger//VB|PRS|AKT//parataxis//47 trygghet//NN|UTR|SIN|IND|NOM//obj//107 och//KN//cc//110 handlingsmöjligheter//NN|UTR|PLU|IND|NOM//conj//108 och//KN//cc//112 präglar//VB|PRS|AKT//conj//107 barnens//NN|NEU|PLU|DEF|GEN//nmod:poss//114 levnadsvillkor//NN|NEU|PLU|IND|NOM//obj//112 på//PP//case//117 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//117 sätt//NN|NEU|PLU|IND|NOM//obl//112 som//HP|-|-|-//nsubj//122 inte//AB//advmod//122 har//VB|PRS|AKT//aux//122 att//IE//mark//122 göra//VB|INF|AKT//acl:relcl//117 med//PP//case//126 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//126 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//126 ekonomi//NN|UTR|SIN|IND|NOM//obl//122 .//MAD//punct//47

3.2 Betydelsen av ekonomiska resurser;Den//DT|UTR|SIN|DEF//det//4 omedelbara//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 och//KN//cc//3 viktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//1 funktionen//NN|UTR|SIN|DEF|NOM//nsubj//8 av//PP//case//7 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 resurser//NN|UTR|PLU|IND|NOM//nmod//4 är//VB|PRS|AKT//cop//36 att//IE//mark//10 öka//VB|INF|AKT//ccomp//8 handlingsfriheten//NN|UTR|SIN|DEF|NOM//obj//10 (//PAD//punct//8 jfr//VB|AN//parataxis//8 Kapitel//NN|NEU|SIN|IND|NOM//nmod//15 1//RG|NOM//obj//13 )//PAD//punct//8 .//MAD//punct//20
3.2 Betydelsen av ekonomiska resurser;En//DT|UTR|SIN|IND//det//20 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//20 grundtrygghet//NN|UTR|SIN|IND|NOM//nsubj//36 och//KN//cc//22 möjligheter//NN|UTR|PLU|IND|NOM//conj//20 att//IE//mark//24 välja//VB|INF|AKT//acl//22 (//PAD//punct//26 bostad//NN|UTR|SIN|IND|NOM//obj//24 ,//MID//punct//28 semestermål//NN|NEU|PLU|IND|NOM//conj//26 ,//MID//punct//30 fritidsaktiviteter//NN|UTR|PLU|IND|NOM//conj//26 etc.//AB|AN//conj//26 )//PAD//punct//20 är//VB|PRS|AKT//cop//36 därmed//AB//advmod//36 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 indikatorer//NN|UTR|PLU|IND|NOM//ROOT//36 på//PP//case//41 barns//NN|NEU|PLU|IND|GEN//nmod:poss//41 och//KN//cc//40 ungdomars//NN|UTR|PLU|IND|GEN//conj//38 levnadsnivå//NN|UTR|SIN|IND|NOM//nmod//36 .//MAD//punct//36
3.2 Betydelsen av ekonomiska resurser;Förutom//PP//case//3 den//DT|UTR|SIN|DEF//det//3 omedelbara//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 vikten//NN|UTR|SIN|DEF|NOM//obl//9 av//PP//case//6 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 resurser//NN|UTR|PLU|IND|NOM//nmod//3 kan//VB|PRS|AKT//aux//9 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//9 ha//VB|INF|AKT//ROOT//9 betydelse//NN|UTR|SIN|IND|NOM//obj//9 även//AB//advmod//14 på//PP//case//14 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 sikt//NN|UTR|SIN|IND|NOM//obl//9 .//MAD//punct//9
3.2 Betydelsen av ekonomiska resurser;"Internationell//JJ|POS|UTR|SIN|IND|NOM//amod//17 forskning//NN|UTR|SIN|IND|NOM//nsubj//18 talar//VB|PRS|AKT//parataxis//9 för//PP//mark//23 att//SN//mark//23 hushållsinkomsten//NN|UTR|SIN|DEF|NOM//nsubj//23 är//VB|PRS|AKT//cop//23 betydelsefull//JJ|POS|UTR|SIN|IND|NOM//advcl//18 för//PP//case//26 barnens//NN|NEU|PLU|DEF|GEN//nmod:poss//26 utveckling//NN|UTR|SIN|IND|NOM//obl//23 ,//MID//punct//30 men//KN//cc//30 sannolikt//AB|POS//advmod//30 mer//AB|KOM//conj//18 för//PP//case//33 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//33 framgångar//NN|UTR|PLU|IND|NOM//obl//30 i//PP//case//35 skolan//NN|UTR|SIN|DEF|NOM//obl//30 än//KN//mark//42 för//PP//case//42 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//42 fysiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 och//KN//cc//41 psykiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//39 hälsa//NN|UTR|SIN|IND|NOM//obl//30 (//PAD//punct//30 Haveman//NN|UTR|SIN|DEF|NOM//appos//30 och//KN//cc//46 Wolfe//PM|NOM//conj//44 1995//RG|NOM//nummod//46 ;//MID//punct//30"
3.2 Betydelsen av ekonomiska resurser;Duncan//PM|NOM//obl//18 och//KN//cc//51 BrooksGunn//PM|NOM//conj//49 1997//RG|NOM//nummod//51 )//PAD//punct//49 .//MAD//punct//58
3.2 Betydelsen av ekonomiska resurser;Att//SN//mark//58 barns//NN|NEU|PLU|IND|GEN//nmod:poss//57 ekonomi//NN|UTR|SIN|IND|NOM//nsubj//58 påverkar//VB|PRS|AKT//conj//18 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//61 psykiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 välbefinnande//NN|NEU|SIN|IND|NOM//obj//58 framgår//VB|PRS|AKT//advcl//58 av//PP//case//64 analyserna//NN|UTR|PLU|DEF|NOM//obl//62 i//PP//case//67 Kapitel//NN|NEU|SIN|IND|NOM//nmod//67 8//RG|NOM//nmod//64 .//MAD//punct//9
