Reservation;av//PP//case//2 ledamöterna//NN|UTR|PLU|DEF|NOM//nmod//2 Henrik//PM|NOM//ROOT//2 S.//PM|NOM//flat:name//2 Järrel//PM|NOM//flat:name//2 (//PAD//punct//4 m//PM|NOM//nummod//2 )//PAD//punct//2 Ulf//PM|NOM//conj//2 Isaksson//PM|NOM//flat:name//8 (//PAD//punct//8 fp//PM|NOM//flat:name//2 )//PAD//punct//11 Marcela//PM|NOM//conj//2 Arosenius//PM|NOM//flat//13 (//PAD//punct//14 c//NN|NEU|SIN|IND|NOM//appos//14 )//PAD//punct//13 ,//MID//punct//2 och//KN//cc//21 Peter//PM|NOM//nmod//21 Flensburg//PM|NOM//conj//2 (//PAD//punct//21 kd//PM|NOM//appos//21 )//PAD//punct//21 samt//KN//cc//27 fr.o.m.//AB|AN//case//27 punkt//NN|UTR|SIN|IND|NOM//conj//2 3//RG|NOM//nummod//27 även//AB//advmod//33 av//PP//case//33 ledamoten//NN|UTR|SIN|DEF|NOM//nmod//32 Anders//PM|NOM//nmod//33 Drejare//PM|NOM//flat:name//2 (//PAD//punct//35 mp//NN|AN//appos//33 )//PAD//punct//2
2 Utökat ansvar för trafikförsäkringen;Om//SN//mark//4 den//DT|UTR|SIN|DEF//det//3 obligatoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 trafikförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 ges//VB|PRS|SFO//advcl//15 ett//DT|NEU|SIN|IND//det//8 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//8 ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//8 ansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//4 för//PP//case//10 personskador//NN|UTR|PLU|IND|NOM//nmod//8 i//PP//case//12 trafiken//NN|UTR|SIN|DEF|NOM//obl//4 bör//VB|PRS|AKT//aux//15 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 leda//VB|INF|AKT//ROOT//15 till//PP//mark//22 att//SN//mark//22 medborgarna//NN|UTR|PLU|DEF|NOM//nsubj//22 och//KN//cc//21 det//DT|NEU|SIN|DEF//det//21 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//18 får//VB|PRS|AKT//advcl//15 en//DT|UTR|SIN|IND//det//25 klarare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 bild//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//29 de//DT|UTR/NEU|PLU|DEF//det//29 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//29 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//25 för//PP//case//32 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//32 skador//NN|UTR|PLU|IND|NOM//nmod//29 .//MAD//punct//15
2 Utökat ansvar för trafikförsäkringen;Likaså//AB//advmod//35 tjänas//VB|PRS|SFO//conj//15 det//DT|NEU|SIN|DEF//det//38 eftersträvansvärda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 syftet//NN|NEU|SIN|DEF|NOM//nsubj:pass//35 att//IE//mark//40 hänföra//VB|INF|AKT//acl//38 verkliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 kostnader//NN|UTR|PLU|IND|NOM//obj//40 till//PP//case//45 det//DT|NEU|SIN|DEF//det//45 ställe//NN|NEU|SIN|IND|NOM//obl//40 där//HA//advmod//48 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//48 hör//VB|PRS|AKT//acl:relcl//45 hemma//PL//advmod//48 .//MID//punct//15
2 Utökat ansvar för trafikförsäkringen;Dessutom//AB//advmod//55 bör//VB|PRS|AKT//aux//55 försäkringsbolagens//NN|NEU|PLU|DEF|GEN//nmod:poss//54 intresse//NN|NEU|SIN|IND|NOM//nsubj//55 öka//VB|INF|AKT//conj//15 av//PP//mark//61 att//IE//mark//61 i//PP//case//60 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 former//NN|UTR|PLU|IND|NOM//obl//61 medverka//VB|INF|AKT//advcl//55 till//PP//mark//64 att//IE//mark//64 stärka//VB|INF|AKT//advcl//61 säkerheten//NN|UTR|SIN|DEF|NOM//obj//64 i//PP//case//67 trafiken//NN|UTR|SIN|DEF|NOM//obl//64 ju//KN//advmod//70 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//70 andel//NN|UTR|SIN|IND|NOM//obl//61 av//PP//case//74 de//DT|UTR/NEU|PLU|DEF//det//74 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//74 skadekostnaderna//NN|UTR|PLU|DEF|NOM//nmod//70 som//HP|-|-|-//nsubj//76 belastar//VB|PRS|AKT//acl:relcl//74 försäkringen//NN|UTR|SIN|DEF|NOM//obj//76 .//MAD//punct//15
2 Utökat ansvar för trafikförsäkringen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//80 förutsätter//VB|PRS|AKT//parataxis//15 också//AB//advmod//80 att//SN//mark//88 den//DT|UTR|SIN|DEF//det//85 obligatoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//85 ansvarsförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//88 fortsättningsvis//AB//advmod//88 kan//VB|PRS|AKT//aux//88 erbjudas//VB|INF|SFO//ccomp//80 på//PP//case//92 en//DT|UTR|SIN|IND//det//92 konkurrensutsatt//PC|PRF|UTR|SIN|IND|NOM//amod//92 marknad//NN|UTR|SIN|IND|NOM//obl//88 där//HA//advmod//95 försäkringsbolagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//95 tillåts//VB|PRS|SFO//acl:relcl//92 utforma//VB|INF|AKT//xcomp//95 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 försäkringsvillkor//NN|UTR|PLU|IND|NOM//obj//96 ovanför//PP//case//101 en//DT|UTR|SIN|IND//det//101 minimistandard//NN|UTR|SIN|IND|NOM//obl//96 .//MAD//punct//80

2.1 Flera betydande fördelar;En//DT|UTR|SIN|IND//det//2 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//2 fördel//NN|UTR|SIN|IND|NOM//nsubj//12 med//PP//mark//5 att//IE//mark//5 utvidga//VB|INF|AKT//acl//2 trafikförsäkringen//NN|UTR|SIN|DEF|NOM//obj//5 till//PP//mark//9 att//IE//mark//9 avse//VB|INF|AKT//advcl//5 en//DT|UTR|SIN|IND//det//11 trafikskadeförsäkring//NN|UTR|SIN|IND|NOM//obj//9 vore//VB|KON|PRT|AKT//ROOT//12 att//SN//mark//15 trafikförsäkringsbolagen//NN|UTR|SIN|DEF|NOM//nsubj//15 blir//VB|PRS|AKT//ccomp//12 direkt//AB|POS//advmod//17 engagerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//15 i//PP//case//19 rehabiliteringsverksamheten//NN|UTR|SIN|DEF|NOM//obl//17 .//MAD//punct//12
2.1 Flera betydande fördelar;Om//SN//mark//24 bolagen//NN|NEU|PLU|DEF|NOM//nsubj//24 får//VB|PRS|AKT//aux//24 bära//VB|INF|AKT//advcl//12 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 ansvaret//NN|NEU|SIN|DEF|NOM//obj//24 för//PP//case//30 den//DT|UTR|SIN|DEF//det//29 skadades//PC|PRF|MAS|SIN|DEF|GEN//nmod:poss//30 inkomstförlust//NN|UTR|SIN|IND|NOM//obl//24 ,//MID//punct//33 inklusive//PP//case//33 vård-//NN|UTR|-|-|SMS//conj//30 och//KN//cc//35 sjukskrivningskostnader//NN|UTR|PLU|IND|NOM//conj//33 ,//MID//punct//40 kommer//VB|PRS|AKT//aux//40 bolagen//NN|NEU|PLU|DEF|NOM//nsubj//40 att//IE//mark//40 få//VB|INF|AKT//conj//24 ett//DT|NEU|SIN|IND//det//44 starkt//JJ|POS|NEU|SIN|IND|NOM//advmod//43 ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//44 incitament//NN|NEU|SIN|IND|NOM//obj//40 att//IE//mark//46 verka//VB|INF|AKT//acl//44 för//PP//mark//53 att//SN//mark//53 dessa//DT|UTR/NEU|PLU|DEF//det//50 personer//NN|UTR|PLU|IND|NOM//nsubj//53 snabbt//AB|POS//advmod//53 kan//VB|PRS|AKT//aux//53 återgå//VB|INF|AKT//advcl//46 i//PP//case//55 arbete//NN|NEU|SIN|IND|NOM//obl//53 .//MAD//punct//24
2.1 Flera betydande fördelar;Genom//PP//mark//68 att//SN//mark//68 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj:pass//68 för//PP//case//62 såväl//KN//advmod//62 utförande//NN|NEU|SIN|IND|NOM//nmod//59 som//KN//cc//64 finansiering//NN|UTR|SIN|IND|NOM//nmod//59 av//PP//case//66 rehabiliteringen//NN|UTR|SIN|DEF|NOM//nmod//64 också//AB//advmod//68 läggs//VB|PRS|SFO//conj//24 på//PP//case//70 bolagen//NN|NEU|PLU|DEF|NOM//obl//68 ,//MID//punct//76 bör//VB|PRS|AKT//aux//76 den//DT|UTR|SIN|DEF//det//75 rehabiliterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//76 vinna//VB|INF|AKT//conj//24 i//PP//case//78 effektivitet//NN|UTR|SIN|IND|NOM//obl//76 .//MAD//punct//24
2.1 Flera betydande fördelar;En//DT|UTR|SIN|IND//det//82 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//82 effektivitetshöjning//NN|UTR|SIN|IND|NOM//nsubj//85 är//VB|PRS|AKT//cop//85 naturligtvis//AB//advmod//85 värdefull//JJ|POS|UTR|SIN|IND|NOM//parataxis//24 framförallt//AB//advmod//85 för//PP//case//89 de//DT|UTR/NEU|PLU|DEF//det//89 skadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//24 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 men//KN//cc//92 får//VB|PRS|AKT//conj//24 naturligtvis//AB//advmod//92 också//AB//advmod//92 gynnsamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 effekter//NN|UTR|PLU|IND|NOM//obj//92 utifrån//PP//case//100 en//DT|UTR|SIN|IND//det//100 samhällsekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//100 synvinkel//NN|UTR|SIN|IND|NOM//nmod//96 .//MAD//punct//12
2.1 Flera betydande fördelar;En//DT|UTR|SIN|IND//det//3 annan//JJ|POS|UTR|SIN|IND|NOM//amod//3 gynnsam//JJ|POS|UTR|SIN|IND|NOM//amod//3 effekt//NN|UTR|SIN|IND|NOM//nsubj:pass//10 för//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 skadelidande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//3 om//PP//case//9 trafikförsäkringens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 ansvar//NN|NEU|SIN|IND|NOM//nmod//6 utvidgades//VB|PRT|SFO//ROOT//10 till//PP//mark//13 att//IE//mark//13 omfatta//VB|INF|AKT//advcl//10 all//DT|UTR|SIN|IND/DEF//det//15 inkomstförlust//NN|UTR|SIN|IND|NOM//obj//13 till//PP//case//20 följd//NN|UTR|SIN|IND|NOM//fixed//16 av//PP//fixed//16 en//DT|UTR|SIN|IND//det//20 trafikskada//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//10 vore//VB|KON|PRT|AKT//parataxis//10 att//SN//mark//33 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 beslut//NN|NEU|PLU|IND|NOM//nsubj//33 om//PP//case//28 ändrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//28 regler//NN|UTR|PLU|IND|NOM//nmod//25 för//PP//case//30 socialförsäkringsförmånerna//NN|UTR|PLU|DEF|NOM//nmod//28 inte//AB//advmod//33 skulle//VB|PRT|AKT//aux//33 drabba//VB|INF|AKT//ccomp//22 de//DT|UTR/NEU|PLU|DEF//det//35 ersättningsberättigade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//33 i//PP//case//39 den//DT|UTR|SIN|DEF//det//39 här//AB//fixed//37 kategorin//NN|UTR|SIN|DEF|NOM//obl//33 .//MAD//punct//10
2.1 Flera betydande fördelar;Ytterligare//AB|KOM//advmod//1 en//DT|UTR|SIN|IND//det//2 fördel//NN|UTR|SIN|IND|NOM//nsubj//4 skulle//VB|PRT|AKT//aux//4 vara//VB|INF|AKT//ROOT//4 att//SN//mark//9 skaderegleringen//NN|UTR|SIN|DEF|NOM//nsubj//9 inte//AB//advmod//9 längre//AB|KOM//advmod//9 blir//VB|PRS|AKT//ccomp//4 uppdelad//PC|PRF|UTR|SIN|IND|NOM//xcomp//9 på//PP//case//13 två//RG|NOM//nummod//13 system//NN|NEU|PLU|IND|NOM//obl//10 som//HP|-|-|-//mark//15 i//PP//acl:relcl//13 dag//NN|UTR|SIN|IND|NOM//fixed//15 .//MAD//punct//4
2.1 Flera betydande fördelar;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//21 av//PP//case//20 oss//PN|UTR|PLU|DEF|OBJ//nmod//18 förordade//VB|PRT|AKT//parataxis//4 ändringen//NN|UTR|SIN|DEF|NOM//obj//21 skulle//VB|PRT|AKT//aux//25 snarare//AB|KOM//advmod//25 leda//VB|INF|AKT//conj//4 till//PP//case//28 snabbare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 handläggning//NN|UTR|SIN|IND|NOM//obl//25 och//KN//cc//32 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 sammanlagda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//32 administrationskostnader//NN|UTR|PLU|IND|NOM//conj//28 .//MAD//punct//4
2.1 Flera betydande fördelar;I//PP//advmod//41 dag//NN|UTR|SIN|IND|NOM//fixed//34 kan//VB|PRS|AKT//aux//41 en//DT|UTR|SIN|IND//det//40 och//KN//fixed//37 samma//DT|UTR/NEU|SIN/PLU|IND//fixed//37 fråga//NN|UTR|SIN|IND|NOM//nsubj//41 behöva//VB|INF|AKT//parataxis//4 utredas//VB|INF|SFO//xcomp//41 både//KN//cc//45 hos//PP//case//45 Försäkringskassan//NN|UTR|SIN|DEF|NOM//obl//42 och//KN//cc//48 hos//PP//case//48 trafikförsäkringsbolaget//NN|NEU|SIN|DEF|NOM//conj//45 .//MAD//punct//41
2.1 Flera betydande fördelar;I//PP//advmod//41 dag//NN|UTR|SIN|IND|NOM//fixed//50 gäller//VB|PRS|AKT//xcomp//41 också//AB//advmod//52 att//SN//mark//62 en//DT|UTR|SIN|IND//det//56 slutreglering//NN|UTR|SIN|IND|NOM//nsubj//62 från//PP//case//59 trafikförsäkringens//NN|UTR|SIN|DEF|GEN//nmod:poss//59 sida//NN|UTR|SIN|IND|NOM//nmod//56 inte//AB//advmod//62 kan//VB|PRS|AKT//aux//62 ske//VB|INF|AKT//advcl//52 förrän//SN//case//64 frågan//NN|UTR|SIN|DEF|NOM//obl//62 om//PP//case//66 ersättning//NN|UTR|SIN|IND|NOM//nmod//64 från//PP//case//70 den//DT|UTR|SIN|DEF//det//70 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//70 försäkringen//NN|UTR|SIN|DEF|NOM//nmod//66 har//VB|PRS|AKT//aux//72 blivit//VB|SUP|AKT//advcl//41 slutligt//AB|POS//advmod//74 avgjord//PC|PRF|UTR|SIN|IND|NOM//xcomp//72 ,//MID//punct//41 vilket//HP|NEU|SIN|IND//nsubj//79 inte//AB//advmod//79 sällan//AB//advmod//79 leder//VB|PRS|AKT//appos//41 till//PP//case//82 onödiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 fördröjningar//NN|UTR|PLU|IND|NOM//obl//79 .//MAD//punct//41
2.1 Flera betydande fördelar;En//DT|UTR|SIN|IND//det//1 ordning//NN|UTR|SIN|IND|NOM//nsubj//10 av//PP//case//4 skissat//PC|PRF|NEU|SIN|IND|NOM//amod//4 slag//NN|NEU|SIN|IND|NOM//nmod//1 skulle//VB|PRT|AKT//aux//10 f.ö.//AB|AN//advmod//10 till//PP//case//9 god//JJ|POS|UTR|SIN|IND|NOM//amod//9 del//NN|UTR|SIN|IND|NOM//obl//10 påminna//VB|INF|AKT//ROOT//10 om//PP//case//12 läget//NN|NEU|SIN|DEF|NOM//obl//10 på//PP//case//15 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 område//NN|NEU|SIN|IND|NOM//nmod//12 i//PP//case//17 Finland//PM|NOM//nmod//15 .//MAD//punct//10

