8 Premiepensionssystemets basalternativ ;I//PP//case//2 premiepensionssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 basalternativ//NN|NEU|SIN|IND|NOM//obl//6 ,//MID//punct//4 Premiesparfonden//NN|UTR|SIN|DEF|NOM//conj//2 ,//MID//punct//4 placeras//VB|PRS|SFO//ROOT//6 medel//NN|NEU|PLU|IND|NOM//nsubj:pass//6 för//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 pensionssparare//NN|UTR|PLU|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//13 inte//AB//advmod//13 gör//VB|PRS|AKT//acl:relcl//10 ett//DT|NEU|SIN|IND//det//16 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//16 val//NN|NEU|SIN|IND|NOM//obj//13 av//PP//case//18 fondförvaltare//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Fonden//NN|UTR|SIN|DEF|NOM//nsubj//28 var//VB|PRT|AKT//cop//28 femtonde//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//28 fond//NN|UTR|SIN|IND|NOM//parataxis//1 i//PP//case//30 systemet//NN|NEU|SIN|DEF|NOM//nmod//28 .//MAD//punct//28
8 Premiepensionssystemets basalternativ ;8.1//RG|NOM//nmod//33 Utformningen//NN|UTR|SIN|DEF|NOM//obj//1 av//PP//case//38 Sjunde//RO|NOM//amod//37  //_SP////35 AP-fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//38 fonder//NN|UTR|PLU|IND|NOM//nmod//33
8 Premiepensionssystemets basalternativ ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//6 ://MID//punct//1
8 Premiepensionssystemets basalternativ ;Premiepensionssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//4 basalternativ//NN|NEU|SIN|IND|NOM//nsubj//6 bör//VB|PRS|AKT//aux//6 få//VB|INF|AKT//ROOT//6 en//DT|UTR|SIN|IND//det//8 generationsfondsprofil//NN|UTR|SIN|IND|NOM//obj//6 ,//MID//punct//8 dvs.//AB|AN//advmod//11 risknivån//NN|UTR|SIN|DEF|NOM//nsubj:pass//15 i//PP//case//13 basalternativet//NN|NEU|SIN|DEF|NOM//nmod//11 bör//VB|PRS|AKT//aux//15 trappas//VB|INF|SFO//acl:relcl//8 ned//PL//advmod//15 i//PP//case//18 takt//NN|UTR|SIN|IND|NOM//obl//15 med//PP//case//21 pensionsspararnas//NN|UTR|PLU|DEF|GEN//nmod:poss//21 ålder//NN|UTR|SIN|IND|NOM//obl//15 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Premiesparfonden//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 skall//VB|PRS|AKT//aux//2 ersättas//VB|INF|SFO//ROOT//2 med//PP//case//6 ett//DT|NEU|SIN|IND//det//5 antal//NN|NEU|SIN|IND|NOM//nmod//6 tillgångsslagsfonder//NN|UTR|PLU|IND|NOM//obl//2 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Sjunde//RO|NOM//amod//9 AP-fonden//NN|UTR|SIN|DEF|NOM//nsubj//11 får//VB|PRS|AKT//aux//11 sätta//VB|INF|AKT//conj//2 upp//PL//compound:prt//11 de//DT|UTR/NEU|PLU|DEF//det//14 fonder//NN|UTR|PLU|IND|NOM//obj//11 som//HP|-|-|-//nsubj:pass//16 behövs//VB|PRS|SFO//acl:relcl//14 för//PP//mark//23 att//IE//mark//23 på//PP//case//22 ett//DT|NEU|SIN|IND//det//22 kostnadseffektivt//JJ|POS|NEU|SIN|IND|NOM//amod//22 sätt//NN|NEU|SIN|IND|NOM//obl//23 förvalta//VB|INF|AKT//advcl//16 medlen//NN|NEU|PLU|DEF|NOM//obj//23 och//KN//cc//30 så//AB//mark//30 att//SN//fixed//26 placeringarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//30 kan//VB|PRS|AKT//aux//30 anpassas//VB|INF|SFO//conj//23 efter//PP//case//33 pensionsspararnas//NN|UTR|PLU|DEF|GEN//nmod:poss//33 ålder//NN|UTR|SIN|IND|NOM//obl//30 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;Sjunde//RO|NOM//amod//1 AP-fonden//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 besluta//VB|INF|AKT//ROOT//3 om//PP//case//7 den//DT|UTR|SIN|DEF//det//7 strategiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 allokeringen//NN|UTR|SIN|DEF|NOM//obl//3 i//PP//case//9 generationsfondsprofilen//NN|UTR|SIN|DEF|NOM//nmod//7 och//KN//cc//14 i//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 underliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 tillgångsslagsfonderna//NN|UTR|PLU|DEF|NOM//conj//9 .//MAD//punct//3
8 Premiepensionssystemets basalternativ ;Hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//parataxis//3 den//DT|UTR|SIN|DEF//det//19 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//19 ålderspensionen//NN|UTR|SIN|DEF|NOM//obj//16 ,//MID//punct//22 inklusive//PP//case//22 inkomst-//NN|UTR|-|-|SMS//conj//16 och//KN//cc//24 garantipension//NN|UTR|SIN|IND|NOM//conj//22 ,//MID//punct//27 bör//VB|PRS|AKT//aux//27 beaktas//VB|INF|SFO//conj//16 när//HA//mark//32 risknivån//NN|UTR|SIN|DEF|NOM//nsubj:pass//32 i//PP//case//31 generationsfondsprofilen//NN|UTR|SIN|DEF|NOM//nmod//29 fastställs//VB|PRS|SFO//advcl//27 .//MAD//punct//3
8 Premiepensionssystemets basalternativ ;Kravet//NN|NEU|SIN|DEF|NOM//nsubj:pass//43 på//PP//case//37 låg//JJ|POS|UTR|SIN|IND|NOM//amod//37 risk//NN|UTR|SIN|IND|NOM//nmod//34 vid//PP//case//39 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//37 av//PP//case//41 Premiesparfonden//NN|UTR|SIN|DEF|NOM//nmod//39 bör//VB|PRS|AKT//aux//43 ersättas//VB|INF|SFO//parataxis//3 med//PP//case//46 en//DT|UTR|SIN|IND//det//46 aktsamhetsprincip//NN|UTR|SIN|IND|NOM//obl//43 för//PP//case//50 Sjunde//RO|NOM//amod//49 AP-fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 verksamhet//NN|UTR|SIN|IND|NOM//nmod//46 .//MAD//punct//3
8 Premiepensionssystemets basalternativ ;Som//KN//mark//1 ovan//AB//advmod//2 konstateras//VB|PRS|SFO//ROOT//2 upplever//VB|PRS|AKT//xcomp//2 endast//AB//advmod//3 en//DT|UTR|SIN|IND//det//7 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 andel//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//9 pensionsspararna//NN|UTR|PLU|DEF|NOM//nmod//7 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//3 ha//VB|INF|AKT//xcomp//3 tillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 kunskaper//NN|UTR|PLU|IND|NOM//obj//11 för//PP//mark//17 att//IE//mark//17 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//17 ta//VB|INF|AKT//advcl//11 hand//NN|UTR|SIN|IND|NOM//compound:prt//17 om//PP//case//21 sitt//PS|NEU|SIN|DEF//nmod:poss//21 premiepensionssparande//NN|NEU|SIN|IND|NOM//obl//17 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;Genom//PP//case//25 de//DT|UTR/NEU|PLU|DEF//det//25 förslag//NN|NEU|PLU|IND|NOM//obl//35 till//PP//case//27 beslutsstöd//NN|NEU|SIN|IND|NOM//nmod//25 som//HP|-|-|-//nsubj:pass//29 diskuteras//VB|PRS|SFO//acl:relcl//27 i//PP//case//32 kapitel//NN|NEU|SIN|IND|NOM//nmod//32 11//RG|NOM//obl//29 kan//VB|PRS|AKT//aux//35 förvisso//AB//advmod//35 förutsättas//VB|INF|SFO//advcl//2 att//SN//mark//45 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//45 av//PP//case//39 pensionsspararna//NN|UTR|PLU|DEF|NOM//nmod//37 i//PP//case//41 framtiden//NN|UTR|SIN|DEF|NOM//nmod//39 kommer//VB|PRS|AKT//aux//45 att//IE//mark//45 kunna//VB|INF|AKT//aux//45 ta//VB|INF|AKT//advcl//35 ett//DT|NEU|SIN|IND//det//48 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 ansvar//NN|NEU|SIN|IND|NOM//obj//45 för//PP//case//52 sitt//PS|NEU|SIN|DEF//nmod:poss//52 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//52 sparande//NN|NEU|SIN|IND|NOM//obl//45 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//55 innebär//VB|PRS|AKT//parataxis//2 att//SN//mark//60 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//58 fondsparare//NN|UTR|PLU|IND|NOM//nsubj:pass//60 kan//VB|PRS|AKT//aux//60 förväntas//VB|INF|SFO//ccomp//55 sätta//VB|INF|AKT//xcomp//60 samman//PL//compound:prt//61 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//65 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 fondportföljer//NN|UTR|PLU|IND|NOM//obj//61 .//MAD//punct//55
8 Premiepensionssystemets basalternativ ;Trots//PP//mark//69 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//69 kommer//VB|PRS|AKT//advcl//55 basalternativet//NN|NEU|SIN|DEF|NOM//nsubj//69 även//AB//advmod//72 fortsättningsvis//AB//advmod//69 att//IE//mark//74 vara//VB|INF|AKT//advcl//69 av//PP//case//77 stor//JJ|POS|UTR|SIN|IND|NOM//amod//77 betydelse//NN|UTR|SIN|IND|NOM//obl//74 för//PP//case//80 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 pensionssparare//NN|UTR|PLU|IND|NOM//obl//74 .//MAD//punct//55
8 Premiepensionssystemets basalternativ ;Hur//HA//advmod//3 systemets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 basalternativ//NN|NEU|PLU|IND|NOM//nsubj:pass//3 utformas//VB|PRS|SFO//csubj//6 är//VB|PRS|AKT//cop//6 inte//AB//advmod//6 betydelsefullt//JJ|POS|NEU|SIN|IND|NOM//ROOT//6 bara//AB//advmod//14 till//PP//case//14 följd//NN|UTR|SIN|IND|NOM//fixed//8 av//PP//fixed//8 det//DT|NEU|SIN|DEF//det//13 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 antal//NN|NEU|SIN|IND|NOM//nmod//14 människor//NN|UTR|PLU|IND|NOM//obl//6 som//HP|-|-|-//obj//19 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//19 kommer//VB|PRS|AKT//aux//19 att//IE//mark//19 omfatta//VB|INF|AKT//acl:relcl//14 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;De//DT|UTR/NEU|PLU|DEF//det//22 grupper//NN|UTR|PLU|IND|NOM//nsubj//27 som//HP|-|-|-//nsubj//24 väljer//VB|PRS|AKT//acl:relcl//22 basalternativet//NN|NEU|SIN|DEF|NOM//obj//24 är//VB|PRS|AKT//cop//27 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//parataxis//6 för//PP//mark//31 vilka//HP|UTR/NEU|PLU|IND//det//30 premiepensionen//NN|UTR|SIN|DEF|NOM//nsubj//31 har//VB|PRS|AKT//advcl//27 störst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//33 betydelse//NN|UTR|SIN|IND|NOM//obj//31 .//MAD//punct//27
8 Premiepensionssystemets basalternativ ;I//PP//advmod//37 dag//NN|UTR|SIN|IND|NOM//fixed//35 har//VB|PRS|AKT//conj//6 pensionsspararna//NN|UTR|PLU|DEF|NOM//nsubj//37 i//PP//case//40 Premiesparfonden//NN|UTR|SIN|DEF|NOM//nmod//38 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 inkomst//NN|UTR|SIN|IND|NOM//obj//37 än//KN//case//44 genomsnittet//NN|NEU|SIN|DEF|NOM//acl//42 .//MID//punct//37
8 Premiepensionssystemets basalternativ ;Dessutom//AB//advmod//50 kan//VB|PRS|AKT//aux//50 basalternativets//NN|NEU|SIN|DEF|GEN//nmod:poss//49 utformning//NN|UTR|SIN|IND|NOM//nsubj//50 få//VB|INF|AKT//parataxis//37 indirekt//JJ|POS|UTR|SIN|IND|NOM//amod//52 betydelse//NN|UTR|SIN|IND|NOM//obj//50 eftersom//SN//mark//55 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//55 tenderar//VB|PRS|AKT//advcl//50 att//IE//mark//57 bli//VB|INF|AKT//xcomp//55 ett//DT|NEU|SIN|IND//det//59 riktmärke//NN|NEU|SIN|IND|NOM//xcomp//57 ,//MID//punct//62 som//KN//case//62 jämförelsenorm//NN|UTR|SIN|IND|NOM//acl:relcl//59 ,//MID//punct//67 också//AB//advmod//67 för//PP//case//67 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 väljare//NN|UTR|PLU|IND|NOM//conj//62 ,//MID//punct//69 se//VB|IMP|AKT//conj//50 kapitel//NN|NEU|SIN|IND|NOM//nmod//71 11//RG|NOM//obj//69 .//MAD//punct//50
8 Premiepensionssystemets basalternativ ;Valet//NN|NEU|SIN|DEF|NOM//nsubj//5 av//PP//case//2 risknivå//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//4 basalternativet//NN|NEU|SIN|DEF|NOM//nmod//2 är//VB|PRS|AKT//ROOT//5 av//PP//case//8 central//JJ|POS|UTR|SIN|IND|NOM//amod//8 betydelse//NN|UTR|SIN|IND|NOM//obl//5 i//PP//case//11 ett//DT|NEU|SIN|IND//det//11 system//NN|NEU|SIN|IND|NOM//obl//5 med//PP//case//14 fria//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 fondval//NN|NEU|PLU|IND|NOM//nmod//11 .//MAD//punct//5
8 Premiepensionssystemets basalternativ ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 finns//VB|PRS|SFO//parataxis//5 ett//DT|NEU|SIN|IND//det//20 positivt//JJ|POS|NEU|SIN|IND|NOM//amod//20 samband//NN|NEU|SIN|IND|NOM//nsubj//17 mellan//PP//case//23 vald//PC|PRF|UTR|SIN|IND|NOM//amod//23 risknivå//NN|UTR|SIN|IND|NOM//nmod//20 i//PP//case//26 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 portföljer//NN|UTR|PLU|IND|NOM//nmod//23 och//KN//cc//29 den//DT|UTR|SIN|DEF//det//29 avkastning//NN|UTR|SIN|IND|NOM//conj//26 som//HP|-|-|-//nsubj:pass//32 kan//VB|PRS|AKT//aux//32 förväntas//VB|INF|SFO//acl:relcl//29 .//MAD//punct//17
8 Premiepensionssystemets basalternativ ;Kännetecknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//17 för//PP//case//37 ett//DT|NEU|SIN|IND//det//37 alternativ//NN|NEU|SIN|IND|NOM//nmod//34 med//PP//case//40 hög//JJ|POS|UTR|SIN|IND|NOM//amod//40 risk//NN|UTR|SIN|IND|NOM//nmod//37 är//VB|PRS|AKT//cop//34 att//SN//mark//47 värdet//NN|NEU|SIN|DEF|NOM//nsubj//47 på//PP//case//45 fondandelarna//NN|UTR|PLU|DEF|NOM//nmod//43 är//VB|PRS|AKT//cop//47 volatilt//JJ|POS|NEU|SIN|IND|NOM//csubj//34 ,//MID//punct//50 vilket//HP|NEU|SIN|IND//nsubj//50 innebär//VB|PRS|AKT//conj//17 att//SN//mark//54 värdet//NN|NEU|SIN|DEF|NOM//nsubj//54 kan//VB|PRS|AKT//aux//54 svänga//VB|INF|AKT//ccomp//50 kraftigt//AB|POS//advmod//54 såväl//KN//advmod//57 upp//AB//advmod//54 som//KN//case//59 ner//AB//advmod//54 .//MID//punct//17
8 Premiepensionssystemets basalternativ ;Ett//DT|NEU|SIN|IND//det//62 alternativ//NN|NEU|SIN|IND|NOM//nsubj//66 med//PP//case//65 låg//JJ|POS|UTR|SIN|IND|NOM//amod//65 risk//NN|UTR|SIN|IND|NOM//nmod//62 innebär//VB|PRS|AKT//conj//17 däremot//AB//advmod//66 att//SN//mark//71 pensionsspararen//NN|UTR|SIN|DEF|NOM//nsubj//71 medvetet//AB|POS//nsubj//71 undviker//VB|PRS|AKT//ccomp//66 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 svängningar//NN|UTR|PLU|IND|NOM//obj//71 i//PP//case//75 värde//NN|NEU|SIN|IND|NOM//nmod//73 men//KN//cc//79 därmed//AB//advmod//79 också//AB//advmod//79 avstår//VB|PRS|AKT//conj//71 från//PP//case//81 möjligheterna//NN|UTR|PLU|DEF|NOM//obl//79 till//PP//case//84 hög//JJ|POS|UTR|SIN|IND|NOM//amod//84 avkastning//NN|UTR|SIN|IND|NOM//nmod//81 .//MID//punct//17
