6 Vinst i vården och vården som marknad? ;I//PP//case//1 målen//NN|NEU|PLU|DEF|NOM//obl//8 för//PP//case//3 hälso-//NN|UTR|-|-|SMS//nmod//1 och//KN//cc//5 sjukvården//NN|UTR|SIN|DEF|NOM//conj//3 i//PP//case//7 Sverige//PM|NOM//nmod//5 anges//VB|PRS|SFO//ROOT//8 att//SN//mark//12 vården//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 skall//VB|PRS|AKT//aux//12 ges//VB|INF|SFO//ccomp//8 efter//PP//case//14 behov//NN|NEU|SIN|IND|NOM//obl//12 –//PAD//punct//8 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//22 med//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//20 behoven//NN|NEU|PLU|DEF|NOM//nmod//16 skall//VB|PRS|AKT//aux//22 ha//VB|INF|AKT//parataxis//8 vård//NN|UTR|SIN|IND|NOM//obj//22 först//AB//advmod//22 .//MAD//punct//22
6.1 Vård och marknad;Den//DT|UTR|SIN|DEF//det//97 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//97 rörligheten//NN|UTR|SIN|DEF|NOM//nsubj//100 för//PP//case//99 arbetskraften//NN|UTR|SIN|DEF|NOM//nmod//97 innebär//VB|PRS|AKT//parataxis//72 att//SN//mark//111 lönerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//111 i//PP//case//104 framtiden//NN|UTR|SIN|DEF|NOM//nmod//102 i//PP//case//108 allt//AB//advmod//107 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//108 utsträckning//NN|UTR|SIN|IND|NOM//obl//111 kommer//VB|PRS|AKT//aux//111 att//IE//mark//111 påverkas//VB|INF|SFO//ccomp//100 av//PP//case//113 förhållanden//NN|NEU|PLU|IND|NOM//obl:agent//111 som//HP|-|-|-//nsubj//115 ligger//VB|PRS|AKT//acl:relcl//113 utanför//PP//case//117 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//115 vi//PN|UTR|PLU|DEF|SUB//nsubj//121 direkt//AB|POS//advmod//121 kan//VB|PRS|AKT//aux//121 påverka//VB|INF|AKT//acl:relcl//117 .//MAD//punct//100
6.1 Vård och marknad;Internationalisering//NN|UTR|SIN|IND|NOM//ROOT//0
6.1 Vård och marknad;En//DT|UTR|SIN|IND//det//1 faktor//NN|UTR|SIN|IND|NOM//nsubj//20 som//HP|-|-|-//nsubj//3 talar//VB|PRS|AKT//acl:relcl//1 för//PP//case//14 att//SN//mark//14 separationen//NN|UTR|SIN|DEF|NOM//nsubj//14 av//PP//case//8 finansiering//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//10 produktion//NN|UTR|SIN|IND|NOM//conj//8 är//VB|PRS|AKT//cop//14 ett//DT|NEU|SIN|IND//det//14 bestående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 inslag//NN|NEU|SIN|IND|NOM//obl//3 i//PP//case//16 sjukvårdsorganisationen//NN|UTR|SIN|DEF|NOM//nmod//14 är//VB|PRS|AKT//cop//20 den//DT|UTR|SIN|DEF//det//20 ökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 internationaliseringen//NN|UTR|SIN|DEF|NOM//dislocated//28 av//PP//case//22 sjukvården//NN|UTR|SIN|DEF|NOM//nmod//20 .//MAD//punct//20
6.1 Vård och marknad;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 kan//VB|PRS|AKT//aux//28 komma//VB|INF|AKT//aux//28 att//IE//mark//28 bli//VB|INF|AKT//ROOT//28 problem//NN|NEU|PLU|IND|NOM//obj//28 att//IE//mark//31 neka//VB|INF|AKT//xcomp//28 medborgare//NN|UTR|PLU|IND|NOM//obj//31 ersättning//NN|UTR|SIN|IND|NOM//obj//31 för//PP//case//35 vård//NN|UTR|SIN|IND|NOM//obl//31 som//HP|-|-|-//nsubj:pass//37 ges//VB|PRS|SFO//acl:relcl//35 vid//PP//case//39 vårdinrättningar//NN|UTR|PLU|IND|NOM//obl//37 i//PP//case//42 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 länder//NN|NEU|PLU|IND|NOM//obl//37 .//MAD//punct//28
6.1 Vård och marknad;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 länder//NN|NEU|PLU|IND|NOM//nsubj//46 kommer//VB|PRS|AKT//parataxis//28 troligen//AB//advmod//46 också//AB//advmod//46 systematiskt//AB|POS//advmod//46 att//IE//mark//51 utnyttja//VB|INF|AKT//advcl//46 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//51 att//IE//mark//54 köpa//VB|INF|AKT//acl//52 vård//NN|UTR|SIN|IND|NOM//obj//54 i//PP//case//58 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 länder//NN|NEU|PLU|IND|NOM//obl//54 istället//AB//advmod//54 för//PP//mark//62 att//IE//mark//62 bygga//VB|INF|AKT//advcl//54 upp//PL//compound:prt//62 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//65 kapacitet//NN|UTR|SIN|IND|NOM//obj//62 .//MAD//punct//28
6.1 Vård och marknad;Specialisering//NN|UTR|SIN|IND|NOM//appos//28 och//KN//cc//69 arbetsfördelning//NN|UTR|SIN|IND|NOM//conj//67 kommer//VB|PRS|AKT//aux//72 att//IE//mark//72 karaktärisera//VB|INF|AKT//conj//28 sjukvården//NN|UTR|SIN|DEF|NOM//obj//72 på//PP//case//76 samma//DT|UTR/NEU|SIN/PLU|IND//det//76 sätt//NN|NEU|SIN|IND|NOM//obl//72 som//HP|-|-|-//mark//79 vi//PN|UTR|PLU|DEF|SUB//nsubj//79 sett//VB|SUP|AKT//acl:relcl//76 rörande//PP//amod//81 industri//NN|UTR|SIN|IND|NOM//obj//79 och//KN//cc//84 annan//JJ|POS|UTR|SIN|IND|NOM//amod//84 service//NN|UTR|SIN|IND|NOM//conj//81 .//MID//punct//28
6.1 Vård och marknad;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//88 är//VB|PRS|AKT//cop//88 omöjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//28 att//IE//mark//90 säga//VB|INF|AKT//csubj//88 hur//HA//advmod//92 långt//AB|POS//advmod//97 denna//DT|UTR|SIN|DEF//det//94 process//NN|UTR|SIN|IND|NOM//nsubj//97 kommer//VB|PRS|AKT//aux//97 att//IE//mark//97 gå//VB|INF|AKT//advcl//88 ,//MID//punct//101 men//KN//cc//101 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//101 blir//VB|PRS|AKT//conj//88 alltmer//AB//advmod//103 osannolikt//JJ|POS|NEU|SIN|IND|NOM//xcomp//101 att//SN//mark//111 varje//DT|UTR/NEU|SIN|IND//det//106 vårdhuvudman//NN|UTR|SIN|IND|NOM//nsubj//111 själv//JJ|POS|UTR|SIN|IND|NOM//amod//106 kommer//VB|PRS|AKT//aux//111 att//IE//mark//111 kunna//VB|INF|AKT//aux//111 svara//VB|INF|AKT//acl//103 för//PP//case//114 alla//DT|UTR/NEU|PLU|IND/DEF//det//114 vårdåtgärder//NN|UTR|PLU|IND|NOM//obl//111 .//MAD//punct//28
6.1 Vård och marknad;Det//DT|NEU|SIN|DEF//det//118 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//118 utbyte//NN|NEU|SIN|IND|NOM//nsubj//128 av//PP//case//120 vårdinsatser//NN|UTR|PLU|IND|NOM//nmod//118 som//HP|-|-|-//nsubj//123 idag//AB//advmod//123 finns//VB|PRS|SFO//acl:relcl//120 mellan//PP//case//125 landstingen//NN|NEU|PLU|DEF|NOM//obl//123 är//VB|PRS|AKT//cop//128 ett//DT|NEU|SIN|IND//det//128 exempel//NN|NEU|SIN|IND|NOM//parataxis//28 på//PP//case//130 utvecklingen//NN|UTR|SIN|DEF|NOM//nmod//128 .//MAD//punct//28
6.1 Vård och marknad;Inget//PN|NEU|SIN|IND|SUB/OBJ//nsubj//133 talar//VB|PRS|AKT//parataxis//28 för//PP//mark//139 att//SN//mark//139 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//139 kommer//VB|PRS|AKT//aux//139 att//IE//mark//139 sluta//VB|INF|AKT//advcl//133 vid//PP//case//141 nationsgränserna//NN|UTR|PLU|DEF|NOM//obl//139 .//MAD//punct//28
6.1 Vård och marknad;Planerna//NN|UTR|PLU|DEF|NOM//nsubj//150 på//PP//case//145 samarbete//NN|NEU|SIN|IND|NOM//nmod//143 inom//PP//case//147 Öresundsregionen//PM|NOM//nmod//145 är//VB|PRS|AKT//cop//150 ett//DT|NEU|SIN|IND//det//150 exempel//NN|NEU|SIN|IND|NOM//parataxis//28 på//PP//mark//157 att//SN//mark//157 det//DT|NEU|SIN|DEF//det//155 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//155 samarbetet//NN|NEU|SIN|DEF|NOM//nsubj//157 redan//AB//advmod//157 är//VB|PRS|AKT//advcl//150 under//PP//case//159 utveckling//NN|UTR|SIN|IND|NOM//obl//157 .//MAD//punct//28
6.1 Vård och marknad;I//PP//case//163 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//163 utsträckning//NN|UTR|SIN|IND|NOM//obl//166 måste//VB|PRS|AKT//aux//166 vi//PN|UTR|PLU|DEF|SUB//nsubj//166 se//VB|INF|AKT//parataxis//28 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//168 universitetssjukhus//NN|NEU|PLU|IND|NOM//obj//166 inte//AB//advmod//166 bara//AB//advmod//166 i//PP//case//177 ett//DT|NEU|SIN|IND//det//177 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//177 utan//KN//cc//177 också//AB//advmod//177 internationellt//JJ|POS|NEU|SIN|IND|NOM//amod//177 perspektiv//NN|NEU|SIN|IND|NOM//obl//166 för//PP//mark//180 att//IE//mark//180 utveckla//VB|INF|AKT//acl//177 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//180 som//KN//case//184 en//DT|UTR|SIN|IND//det//184 resurs//NN|UTR|SIN|IND|NOM//obl//180 för//PP//case//187 såväl//KN//advmod//187 sjukvård//NN|UTR|SIN|IND|NOM//nmod//184 ,//MID//punct//189 utbildning//NN|UTR|SIN|IND|NOM//conj//187 och//KN//cc//191 forskning//NN|UTR|SIN|IND|NOM//conj//187 .//MAD//punct//28

6.2 Vinst i vården?;I//PP//case//2 alla//DT|UTR/NEU|PLU|IND/DEF//det//2 organisationsformer//NN|UTR|PLU|IND|NOM//obl//14 ,//MID//punct//4 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//2 eller//KN//cc//6 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//4 med//PP//case//10 eller//KN//cc//10 utan//PP//case//10 vinstsyfte//NN|NEU|SIN|IND|NOM//obl//4 ,//MID//punct//2 bör//VB|PRS|AKT//aux//14 ambitionen//NN|UTR|SIN|DEF|NOM//nsubj//14 vara//VB|INF|AKT//ROOT//14 att//SN//mark//17 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//17 går//VB|PRS|AKT//ccomp//14 ihop//PL//compound:prt//17 ekonomiskt//AB|POS//advmod//17 .//MAD//punct//14
6.2 Vinst i vården?;Oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//26 av//PP//case//23 ägar-//NN|UTR|-|-|SMS//nmod//21 eller//KN//cc//25 driftsform//NN|UTR|SIN|IND|NOM//conj//23 bäddar//VB|PRS|AKT//appos//14 intäkter//NN|UTR|PLU|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj//30 är//VB|PRS|AKT//cop//30 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//27 än//KN//case//32 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//30 för//PP//case//34 lugn//NN|NEU|SIN|IND|NOM//nmod//32 och//KN//cc//36 utveckling//NN|UTR|SIN|IND|NOM//conj//34 ,//MID//punct//26 medan//SN//mark//46 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 kostnader//NN|UTR|PLU|IND|NOM//nsubj//46 än//KN//mark//42 intäkter//NN|UTR|PLU|IND|NOM//nmod//40 förr//AB//advmod//40 eller//KN//cc//45 senare//AB|KOM//conj//43 får//VB|PRS|AKT//advcl//26 obehagliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 konsekvenser//NN|UTR|PLU|IND|NOM//obj//46 .//MAD//punct//14
6.2 Vinst i vården?;Människan//NN|UTR|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 också//AB//advmod//3 densamma//DT|UTR|SIN|DEF//ROOT//3 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//3 av//PP//fixed//4 i//PP//case//8 vilken//HD|UTR|SIN|IND//det//8 organisation//NN|UTR|SIN|IND|NOM//obl//4 hon//PN|UTR|SIN|DEF|SUB//nsubj//10 verkar//VB|PRS|AKT//acl:relcl//8 .//MAD//punct//3
6.2 Vinst i vården?;Ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 drivkrafter//NN|UTR|PLU|IND|NOM//nsubj//21 ,//MID//punct//15 egenintresse//NN|NEU|SIN|IND|NOM//conj//13 och//KN//cc//17 önskan//NN|UTR|SIN|DEF|NOM//conj//13 om//PP//case//20 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 villkor//NN|NEU|PLU|IND|NOM//nmod//17 finns//VB|PRS|SFO//parataxis//3 i//PP//case//24 alla//DT|UTR/NEU|PLU|IND/DEF//det//24 typer//NN|UTR|PLU|IND|NOM//obl//21 av//PP//case//26 verksamheter//NN|UTR|PLU|IND|NOM//nmod//24 ,//MID//punct//30 men//KN//cc//30 också//AB//advmod//30 önskan//NN|UTR|SIN|DEF|NOM//conj//21 om//PP//case//32 erkännande//NN|NEU|SIN|IND|NOM//nmod//30 och//KN//cc//34 uppskattning//NN|UTR|SIN|IND|NOM//conj//32 liksom//PP//mark//36 önskan//NN|UTR|SIN|DEF|NOM//nmod//30 att//IE//mark//39 kunna//VB|INF|AKT//aux//39 hjälpa//VB|INF|AKT//acl//36 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//39 .//MAD//punct//30
6.2 Vinst i vården?;Friskoleutredningen//NN|UTR|SIN|DEF|NOM//ROOT//0
6.2 Vinst i vården?;Friskoleutredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 (//PAD//punct//0 SOU//PM|NOM//appos//0 2001:12//RG|NOM//conj//0 )//PAD//punct//0 avvisade//VB|PRT|AKT//ROOT//5 tanken//NN|UTR|SIN|DEF|NOM//obj//5 om//PP//case//8 förbud//NN|NEU|PLU|IND|NOM//nmod//6 mot//PP//case//11 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 skolor//NN|UTR|PLU|IND|NOM//nmod//6 som//HP|-|-|-//nsubj:pass//13 drivs//VB|PRS|SFO//acl:relcl//11 med//PP//case//15 vinstsyfte//NN|NEU|SIN|IND|NOM//obl//13 .//MAD//punct//5
6.2 Vinst i vården?;Man//PN|UTR|SIN|IND|SUB//nsubj//18 menade//VB|PRT|AKT//conj//5 att//SN//mark//23 vinstförbud//NN|NEU|SIN|IND|NOM//nsubj:pass//23 alltid//AB//advmod//23 kan//VB|PRS|AKT//aux//23 kringgås//VB|INF|SFO//ccomp//18 och//KN//cc//25 gav//VB|PRT|AKT//conj//23 som//KN//compound:prt//25 exempel//NN|NEU|SIN|IND|NOM//fixed//26 bl.a.//AB|AN//advmod//25 ://MAD//punct//18
6.2 Vinst i vården?;En//DT|UTR|SIN|IND//det//1 ägare//NN|UTR|SIN|IND|NOM//nsubj//3 kan//VB|PRS|AKT//aux//3 ta//VB|INF|AKT//ROOT//3 ut//PL//compound:prt//3 vinst//NN|UTR|SIN|IND|NOM//obj//3 genom//PP//case//8 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 hyra//NN|UTR|SIN|IND|NOM//obl//3 för//PP//case//10 lokaler//NN|UTR|PLU|IND|NOM//nmod//8
6.2 Vinst i vården?;Ägaren//NN|UTR|SIN|DEF|NOM//nsubj//5 eller//KN//cc//3 annan//JJ|POS|UTR|SIN|IND|NOM//amod//3 huvudman//NN|UTR|SIN|IND|NOM//conj//0 kan//VB|PRS|AKT//aux//5 påverka//VB|INF|AKT//ROOT//5 belopp//NN|NEU|PLU|IND|NOM//obj//5 som//HP|-|-|-//nsubj:pass//8 faktureras//VB|PRS|SFO//acl:relcl//6 skolan//NN|UTR|SIN|DEF|NOM//obj//8 för//PP//case//11 tjänster//NN|UTR|PLU|IND|NOM//obl//8
6.2 Vinst i vården?;Lån//NN|NEU|PLU|IND|NOM//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 ges//VB|INF|SFO//ROOT//2 med//PP//case//5 hög//JJ|POS|UTR|SIN|IND|NOM//amod//5 ränta//NN|UTR|SIN|IND|NOM//obl//2 med//PP//case//7 hänvisning//NN|UTR|SIN|IND|NOM//obl//2 till//PP//case//9 risk//NN|UTR|SIN|IND|NOM//nmod//7
6.2 Vinst i vården?;Friskoleutredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 kom//VB|PRT|AKT//ROOT//1 därför//AB//advmod//1 i//PP//case//5 sin//PS|UTR|SIN|DEF//nmod:poss//5 bedömning//NN|UTR|SIN|IND|NOM//obl//1 fram//AB//advmod//1 till//PP//case//14 att//SN//mark//14 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 inte//AB//advmod//14 var//VB|PRT|AKT//cop//14 en//DT|UTR|SIN|IND//det//14 framkomlig//JJ|POS|UTR|SIN|IND|NOM//amod//14 väg//NN|UTR|SIN|IND|NOM//obl//1 att//IE//mark//16 förbjuda//VB|INF|AKT//acl//14 vinstutdelning//NN|UTR|SIN|IND|NOM//obj//16 och//KN//cc//20 därmed//AB//advmod//20 begränsa//VB|INF|AKT//conj//16 rätten//NN|UTR|SIN|DEF|NOM//obj//20 att//IE//mark//23 driva//VB|INF|AKT//acl//21 friskolor//NN|UTR|PLU|IND|NOM//obj//23 till//PP//case//26 företag//NN|NEU|PLU|IND|NOM//obl//23 eller//KN//cc//28 organisationer//NN|UTR|PLU|IND|NOM//conj//26 som//HP|-|-|-//nsubj//30 avsåg//VB|PRT|AKT//acl:relcl//28 att//IE//mark//32 göra//VB|INF|AKT//xcomp//30 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//32 utan//PP//case//35 vinstsyfte//NN|NEU|SIN|IND|NOM//obl//32 .//MAD//punct//1
6.2 Vinst i vården?;Man//PN|UTR|SIN|IND|SUB//nsubj//38 menade//VB|PRT|AKT//parataxis//1 att//SN//mark//43 ett//DT|NEU|SIN|IND//det//41 förbud//NN|NEU|SIN|IND|NOM//nsubj//43 skulle//VB|PRT|AKT//aux//43 leda//VB|INF|AKT//ccomp//38 till//PP//case//45 smygvägar//NN|UTR|PLU|IND|NOM//obl//43 som//HP|-|-|-//nsubj//48 skulle//VB|PRT|AKT//aux//48 göra//VB|INF|AKT//acl:relcl//45 den//DT|UTR|SIN|DEF//det//51 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 redovisningen//NN|UTR|SIN|DEF|NOM//obj//48 otydlig//JJ|POS|UTR|SIN|IND|NOM//advmod//48 .//MAD//punct//38
6.2 Vinst i vården?;Istället//AB//advmod//58 borde//VB|PRT|AKT//aux//58 oskäliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 vinster//NN|UTR|PLU|IND|NOM//nsubj:pass//58 motverkas//VB|INF|SFO//conj//38 genom//PP//case//62 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//62 redovisning//NN|UTR|SIN|IND|NOM//obl//58 och//KN//cc//64 kontroll//NN|UTR|SIN|IND|NOM//conj//62 och//KN//cc//69 genom//PP//mark//69 att//SN//mark//69 man//PN|UTR|SIN|IND|SUB//nsubj//69 täpper//VB|PRS|AKT//conj//58 till//PP//case//73 de//DT|UTR/NEU|PLU|DEF//det//73 ”//PAD//punct//73 ventiler//NN|UTR|PLU|IND|NOM//obl//69 ”//PAD//punct//73 genom//PP//case//76 vilka//HP|UTR/NEU|PLU|IND//obl//79 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//79 kan//VB|PRS|AKT//aux//79 uppstå//VB|INF|AKT//acl:relcl//73 .//MAD//punct//38
6.2 Vinst i vården?;Vinst//NN|UTR|SIN|IND|NOM//ROOT//0 i//PP//case//2 vården//NN|UTR|SIN|DEF|NOM//nmod//0
6.2 Vinst i vården?;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 menar//VB|PRS|AKT//ROOT//1 att//SN//mark//13 en//DT|UTR|SIN|IND//det//5 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//5 analys//NN|UTR|SIN|IND|NOM//nsubj//13 och//KN//cc//7 bedömning//NN|UTR|SIN|IND|NOM//conj//5 av//PP//case//10 vinstsyftets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 inverkan//NN|UTR|SIN|IND|NOM//nmod//7 är//VB|PRS|AKT//cop//13 för//AB//advmod//13 snäv//JJ|POS|UTR|SIN|IND|NOM//ccomp//1 .//MAD//punct//1
6.2 Vinst i vården?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 gäller//VB|PRS|AKT//conj//1 för//PP//case//18 skolan//NN|UTR|SIN|DEF|NOM//obl//16 men//KN//cc//21 ännu//AB//advmod//21 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//16 inom//PP//case//23 hälso-//NN|UTR|-|-|SMS//nmod//21 och//KN//cc//25 sjukvården//NN|UTR|SIN|DEF|NOM//conj//23 .//MAD//punct//21
6.2 Vinst i vården?;För//PP//case//29 skolans//NN|UTR|SIN|DEF|GEN//nmod:poss//29 verksamhet//NN|UTR|SIN|IND|NOM//obl//30 gäller//VB|PRS|AKT//parataxis//21 att//SN//mark//39 antalet//NN|NEU|SIN|DEF|NOM//nsubj//39 barn//NN|NEU|PLU|IND|NOM//nsubj//39 och//KN//cc//35 ungdomar//NN|UTR|PLU|IND|NOM//conj//33 i//PP//case//37 skolålder//NN|UTR|SIN|IND|NOM//nmod//35 är//VB|PRS|AKT//cop//39 givet//PC|PRF|NEU|SIN|IND|NOM//ccomp//30 .//MAD//punct//16
6.2 Vinst i vården?;Ersättning//NN|UTR|SIN|IND|NOM//nsubj:pass//42 ges//VB|PRS|SFO//parataxis//16 dessutom//AB//advmod//42 med//PP//case//46 enhetliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 belopp//NN|NEU|PLU|IND|NOM//obl//42 per//PP//case//48 elev//NN|UTR|SIN|IND|NOM//nmod//46 för//PP//case//51 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 typer//NN|UTR|PLU|IND|NOM//nmod//48 av//PP//case//53 utbildning//NN|UTR|SIN|IND|NOM//nmod//51 (//PAD//punct//53 skolpeng//NN|UTR|SIN|IND|NOM//appos//53 )//PAD//punct//53 med//PP//case//61 i//PP//case//60 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 fall//NN|NEU|PLU|IND|NOM//nmod//61 kompletteringar//NN|UTR|PLU|IND|NOM//obl//42 för//PP//mark//64 att//IE//mark//64 kompensera//VB|INF|AKT//acl//61 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//66 behov//NN|NEU|PLU|IND|NOM//obj//64 av//PP//case//68 stöd//NN|NEU|SIN|IND|NOM//nmod//66 och//KN//cc//70 resurser//NN|UTR|PLU|IND|NOM//conj//68 .//MAD//punct//1
6.2 Vinst i vården?;För//PP//case//1 vården//NN|UTR|SIN|DEF|NOM//obl//5 är//VB|PRS|AKT//cop//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 betydligt//AB//advmod//5 svårare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//5 att//IE//mark//7 fastställa//VB|INF|AKT//csubj//5 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 marknader//NN|UTR|PLU|IND|NOM//obj//7 och//KN//cc//11 intäkter//NN|UTR|PLU|IND|NOM//conj//9 .//MAD//punct//5
6.2 Vinst i vården?;Utbudet//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 av//PP//case//15 vård//NN|UTR|SIN|IND|NOM//nmod//13 bestäms//VB|PRS|SFO//parataxis//5 inte//AB//advmod//16 genom//PP//case//22 ett//DT|NEU|SIN|IND//det//22 tydligt//AB|POS//advmod//21 fixerat//PC|PRF|NEU|SIN|IND|NOM//amod//22 vårdbehov//NN|NEU|SIN|IND|NOM//obl//16 utan//KN//cc//26 i//PP//case//26 komplicerat//PC|PRF|NEU|SIN|IND|NOM//amod//26 samspel//NN|NEU|SIN|IND|NOM//nmod//22 av//PP//case//30 bl.a.//AB|AN//advmod//30 patienternas//NN|UTR|PLU|DEF|GEN//nmod:poss//30 behov//NN|NEU|PLU|IND|NOM//nmod//26 och//KN//cc//32 förväntningar//NN|UTR|PLU|IND|NOM//conj//30 ,//MID//punct//36 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 professioners//NN|UTR|PLU|IND|GEN//nmod:poss//36 ambitioner//NN|UTR|PLU|IND|NOM//conj//30 ,//MID//punct//39 medicinska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 landvinningar//NN|UTR|PLU|IND|NOM//conj//30 ,//MID//punct//39 vårdgivarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//42 strategier//NN|UTR|PLU|IND|NOM//conj//30 och//KN//cc//44 kapacitet//NN|UTR|SIN|IND|NOM//conj//42 och//KN//cc//46 sist//AB|SUV//conj//30 men//KN//cc//50 inte//AB//advmod//50 minst//AB|SUV//advmod//50 formerna//NN|UTR|PLU|DEF|NOM//conj//30 för//PP//case//52 ersättning//NN|UTR|SIN|IND|NOM//nmod//50 och//KN//cc//54 kostnadskontroll//NN|UTR|SIN|IND|NOM//conj//52 från//PP//case//56 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//54 som//HP|-|-|-//nsubj//58 betalar//VB|PRS|AKT//acl:relcl//56 .//MAD//punct//5
6.2 Vinst i vården?;De//DT|UTR/NEU|PLU|DEF//det//2 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 incitamenten//NN|NEU|PLU|DEF|NOM//nsubj//3 har//VB|PRS|AKT//ROOT//3 stor//JJ|POS|UTR|SIN|IND|NOM//amod//5 verkan//NN|UTR|SIN|IND|NOM//obj//3 .//MAD//punct//3
6.2 Vinst i vården?;När//HA//mark//9 sjukhusvård//NN|UTR|SIN|IND|NOM//nsubj:pass//9 ersätts//VB|PRS|SFO//advcl//3 per//PP//case//11 vårddygn//NN|UTR|PLU|IND|NOM//obl//9 har//VB|PRS|AKT//advcl//3 sjukhusen//NN|NEU|PLU|DEF|NOM//nsubj//12 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 vårdtider//NN|UTR|PLU|IND|NOM//obj//12 och//KN//cc//18 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//18 sängar//NN|UTR|PLU|IND|NOM//conj//15 (//PAD//punct//20 Tyskland//PM|NOM//appos//18 )//PAD//punct//20 .//MAD//punct//3
