F-skatt åt flera ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Till statsrådet Anders Borg;Den//DT|UTR|SIN|DEF//det//103 10//RG|NOM//nummod//103 mars//NN|UTR|SIN|IND|NOM//obl//105 2008//RG|NOM//nummod//103 entledigades//VB|PRT|SFO//parataxis//4 Ann//PM|NOM//nsubj:pass//105 Düring//PM|NOM//flat//106 och//KN//cc//112 som//KN//nsubj:pass//112 ny//JJ|POS|UTR|SIN|IND|NOM//amod//111 expert//NN|UTR|SIN|IND|NOM//amod//112 förordnades//VB|PRT|SFO//conj//105 sakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//115 Anders//PM|NOM//nmod//115 Fogelberg//PM|NOM//obj//112 .//MAD//punct//4
Till statsrådet Anders Borg;Den//DT|UTR|SIN|DEF//det//119 20//RG|NOM//nummod//119 mars//NN|UTR|SIN|IND|NOM//obl//121 2008//RG|NOM//nummod//119 entledigades//VB|PRT|SFO//parataxis//4 John//PM|NOM//nsubj:pass//121 Wahlstedt//PM|NOM//flat//122 och//KN//cc//128 som//KN//obl//128 ny//JJ|POS|UTR|SIN|IND|NOM//amod//127 expert//NN|UTR|SIN|IND|NOM//amod//128 förordnades//VB|PRT|SFO//conj//121 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//130 Lena//PM|NOM//obj//128 Maier//PM|NOM//flat:name//130 Söderberg//PM|NOM//flat:name//130 .//MAD//punct//4
Till statsrådet Anders Borg;Kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Carina//PM|NOM//nsubj:pass//4 Ferm//PM|NOM//flat:name//1 Brodén//PM|NOM//flat:name//1 förordnades//VB|PRT|SFO//ROOT//4 som//KN//case//6 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 fr.o.m.//AB|AN//case//11 den//DT|UTR|SIN|DEF//det//10 20//RG|NOM//nummod//10 augusti//NN|UTR|SIN|IND|NOM//nmod//11 2007//RG|NOM//obl//4 .//MAD//punct//4
Till statsrådet Anders Borg;Kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//compound//15 Birgitta//PM|NOM//flat//13 Törnered//PM|NOM//nsubj:pass//16 förordnades//VB|PRT|SFO//parataxis//4 som//KN//case//18 sekreterare//NN|UTR|SIN|IND|NOM//obl//16 fr.o.m.//AB|AN//case//22 den//DT|UTR|SIN|DEF//det//22 2//RO|NOM//nummod//22 oktober//NN|UTR|SIN|IND|NOM//obl//16 2007//RG|NOM//nummod//22 .//MAD//punct//4
Till statsrådet Anders Borg;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 skulle//VB|PRT|AKT//aux//4 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 redovisa//VB|INF|AKT//ROOT//4 sitt//PS|NEU|SIN|DEF//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//obj//4 senast//AB|SUV//case//10 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 juni//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//10 .//MAD//punct//4
Till statsrådet Anders Borg;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 beviljades//VB|PRT|SFO//conj//4 dock//AB//advmod//14 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//17 tid//NN|UTR|SIN|IND|NOM//obj//14 för//PP//case//19 redovisningen//NN|UTR|SIN|DEF|NOM//obl//14 till//PP//case//24 senast//AB|SUV//case//24 den//DT|UTR|SIN|DEF//det//24 1//RO|NOM//nummod//24 juli//NN|UTR|SIN|IND|NOM//nmod//19 2008//RG|NOM//nummod//24 .//MAD//punct//4
Till statsrådet Anders Borg;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 betänkande//NN|NEU|SIN|IND|NOM//amod//4 F-skatt//NN|UTR|SIN|IND|NOM//nsubj:pass//1 åt//PP//case//6 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//1 (//PAD//punct//6 SOU//PM|NOM//appos//6 2008:76//RG|NOM//obl//1 )//PAD//punct//1 .//MID//punct//16
Till statsrådet Anders Borg;Vårt//PS|NEU|SIN|DEF//nmod:poss//13 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//16 är//VB|PRS|AKT//cop//16 därmed//AB//advmod//16 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//16
Till statsrådet Anders Borg;Till//PP//case//19 betänkandet//NN|NEU|SIN|DEF|NOM//obl//20 fogas//VB|PRS|SFO//conj//1 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//22 yttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//20 .//MAD//punct//20
Till statsrådet Anders Borg;Sundsvall//PM|NOM//ROOT//0 i//PP//case//2 juli//NN|UTR|SIN|IND|NOM//nmod//0 2008//RG|NOM//nummod//2
Till statsrådet Anders Borg;Christer//PM|NOM//nsubj//1 Sjödin//PM|NOM//ROOT//1 /Carina//MID//cc//3 Ferm//PM|NOM//conj//1 Brodén//PM|NOM//flat:name//3
Till statsrådet Anders Borg;Birgitta//PM|NOM//nsubj//1 Törnered//PM|NOM//ROOT//1

Författningsförslag;1//RG|NOM//nummod//1 Förslag//NN|NEU|PLU|IND|NOM//ROOT//1 till//PP//case//3 lag//NN|UTR|SIN|IND|NOM//nmod//1 om//PP//case//5 ändring//NN|UTR|SIN|IND|NOM//nmod//3 i//PP//case//7 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//1 1999:1229//RG|NOM//appos//1 )//PAD//punct//1
Författningsförslag;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//dep//1 13//RG|NOM//nummod//4 kap.//NN|AN//nmod//5 1//RG|NOM//dep//2 och//KN//cc//5 1//RG|NOM//nummod//5 a//NN|NEU|SIN|IND|NOM//case//11 §//NN|AN//nmod//11 §//NN|AN//nmod//11 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//obl//1 (//PAD//punct//11 1999:1229//RG|NOM//appos//11 )//PAD//punct//11 ska//VB|PRS|AKT//aux//16 ha//VB|INF|AKT//conj//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 lydelse//NN|UTR|SIN|IND|NOM//obj//16
Författningsförslag;Innehav//NN|NEU|PLU|IND|NOM//ROOT//0 av//PP//case//2 näringsfastigheter//NN|UTR|PLU|IND|NOM//nmod//0 och//KN//cc//4 näringsbostadsrätter//NN|UTR|PLU|IND|NOM//conj//2 samt//KN//cc//10 av//PP//case//7 avverkningsrätt//NN|UTR|SIN|IND|NOM//obl//10 till//PP//case//9 skog//NN|UTR|SIN|IND|NOM//nmod//7 räknas//VB|PRS|SFO//conj//0 alltid//AB//advmod//10 som//KN//mark//13 näringsverksamhet//NN|UTR|SIN|IND|NOM//xcomp//10 .//MID//punct//10
Författningsförslag;Privatbostadsfastigheter//NN|UTR|PLU|IND|NOM//nsubj//23 ,//MID//punct//17 privatbostadsrätter//NN|UTR|PLU|IND|NOM//conj//15 och//KN//cc//20 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 privatbostäder//NN|UTR|PLU|IND|NOM//conj//15 kan//VB|PRS|AKT//aux//23 inte//AB//advmod//23 ingå//VB|INF|AKT//parataxis//0 i//PP//case//26 en//DT|UTR|SIN|IND//det//26 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//0
Författningsförslag;I//PP//case//2 27//RG|NOM//nummod//2 kap.//NN|AN//obl//3 finns//VB|PRS|SFO//ROOT//3 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//3 om//PP//mark//12 att//SN//mark//12 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//12 som//HP|-|-|-//nsubj//9 innehar//VB|PRS|AKT//acl:relcl//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 tillgångar//NN|UTR|PLU|IND|NOM//obj//9 anses//VB|PRS|SFO//advcl//3 bedriva//VB|INF|AKT//xcomp//12 näringsverksamhet//NN|UTR|SIN|IND|NOM//obj//13 i//PP//case//16 form//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//18 byggnadsrörelse//NN|UTR|SIN|IND|NOM//nmod//16 eller//KN//cc//20 handel//NN|UTR|SIN|IND|NOM//conj//18 med//PP//case//22 fastigheter//NN|UTR|PLU|IND|NOM//nmod//20 .//MAD//punct//3
Författningsförslag;Där//AB//advmod//25 finns//VB|PRS|SFO//parataxis//3 också//AB//advmod//25 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//25 om//PP//mark//31 vad//HP|NEU|SIN|IND//dislocated//31 som//HP|-|-|-//nsubj:pass//31 räknas//VB|PRS|SFO//advcl//25 som//KN//mark//33 tomtrörelse//NN|UTR|SIN|IND|NOM//xcomp//31 .//MAD//punct//25
Författningsförslag;1//RG|NOM//nummod//37 a//NN|NEU|SIN|IND|NOM//case//37 §//NN|AN//conj//3
Författningsförslag;Innehav//NN|NEU|PLU|IND|NOM//ROOT//0 av//PP//case//2 näringsfastigheter//NN|UTR|PLU|IND|NOM//nmod//0 och//KN//cc//4 näringsbostadsrätter//NN|UTR|PLU|IND|NOM//conj//2 samt//KN//cc//10 av//PP//case//7 avverkningsrätt//NN|UTR|SIN|IND|NOM//obl//10 till//PP//case//9 skog//NN|UTR|SIN|IND|NOM//nmod//7 räknas//VB|PRS|SFO//conj//0 alltid//AB//advmod//10 som//KN//mark//13 näringsverksamhet//NN|UTR|SIN|IND|NOM//xcomp//10 .//MID//punct//10
Författningsförslag;Privatbostadsfastigheter//NN|UTR|PLU|IND|NOM//nsubj//23 ,//MID//punct//17 privatbostadsrätter//NN|UTR|PLU|IND|NOM//conj//15 och//KN//cc//20 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 privatbostäder//NN|UTR|PLU|IND|NOM//conj//15 kan//VB|PRS|AKT//aux//23 inte//AB//advmod//23 ingå//VB|INF|AKT//parataxis//0 i//PP//case//26 en//DT|UTR|SIN|IND//det//26 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//0
Författningsförslag;I//PP//case//2 27//RG|NOM//nummod//2 kap.//NN|AN//obl//3 finns//VB|PRS|SFO//ROOT//3 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//3 om//PP//mark//12 att//SN//mark//12 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//12 som//HP|-|-|-//nsubj//9 innehar//VB|PRS|AKT//acl:relcl//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 tillgångar//NN|UTR|PLU|IND|NOM//obj//9 anses//VB|PRS|SFO//advcl//3 bedriva//VB|INF|AKT//xcomp//12 näringsverksamhet//NN|UTR|SIN|IND|NOM//obj//13 i//PP//case//16 form//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//18 byggnadsrörelse//NN|UTR|SIN|IND|NOM//nmod//16 eller//KN//cc//20 handel//NN|UTR|SIN|IND|NOM//conj//18 med//PP//case//22 fastigheter//NN|UTR|PLU|IND|NOM//nmod//20 .//MAD//punct//3
Författningsförslag;Där//AB//advmod//25 finns//VB|PRS|SFO//parataxis//3 också//AB//advmod//25 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//25 om//PP//mark//31 vad//HP|NEU|SIN|IND//dislocated//31 som//HP|-|-|-//nsubj:pass//31 räknas//VB|PRS|SFO//advcl//25 som//KN//case//33 tomtrörelse//NN|UTR|SIN|IND|NOM//xcomp//31 .//MAD//punct//25
Författningsförslag;U//NN|NEU|SIN|IND|NOM//ROOT//0
Författningsförslag;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2009//RG|NOM//nummod//7 och//KN//cc//10 tillämpas//VB|PRS|SFO//conj//2 första//RO|NOM//amod//12 gången//NN|UTR|SIN|DEF|NOM//obl//10 vid//PP//case//16 2011//RG|NOM//nummod//15 års//NN|NEU|SIN|IND|GEN//nmod:poss//16 taxering//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//2


1.1 Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//5 i//PP//advmod//5 uppdrag//NN|NEU|SIN|IND|NOM//fixed//2 att//IE//mark//5 se//VB|INF|AKT//ROOT//5 över//PL//case//7 självständighetsrekvisitet//NN|NEU|SIN|DEF|NOM//obl//5 i//PP//case//9 inkomstskattelagens//NN|UTR|SIN|DEF|GEN//obl//5 (//PAD//punct//9 1999:1229//RG|NOM//appos//9 )//PAD//punct//9 ,//MID//punct//14 IL//PM|NOM//conj//9 ,//MID//punct//16 näringsverksamhetsbegrepp//NN|NEU|SIN|IND|NOM//conj//9 .//MID//punct//5
1.1 Uppdraget;Syftet//NN|NEU|SIN|DEF|NOM//obj//5 med//PP//case//20 översynen//NN|UTR|SIN|DEF|NOM//nmod//18 är//VB|PRS|AKT//cop//18 att//SN//mark//25 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 ska//VB|PRS|AKT//aux//25 bli//VB|INF|AKT//ccomp//21 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//25 att//IE//mark//28 starta//VB|INF|AKT//acl//26 näringsverksamhet//NN|UTR|SIN|IND|NOM//obj//28 ,//MID//punct//25 bl.a.//AB|AN//advmod//33 för//PP//case//33 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//25 som//HP|-|-|-//nsubj//35 har//VB|PRS|AKT//acl:relcl//33 en//RG|UTR|SIN|IND|NOM//det//39 eller//KN//fixed//36 ett//DT|NEU|SIN|IND//det//39 fåtal//NN|NEU|SIN|IND|NOM//nmod//40 uppdragsgivare//NN|UTR|PLU|IND|NOM//obj//35 .//MAD//punct//40
1.1 Uppdraget;Som//KN//case//43 utgångspunkter//NN|UTR|PLU|IND|NOM//nsubj:pass//48 i//PP//case//46 det//DT|NEU|SIN|DEF//det//46 arbetet//NN|NEU|SIN|DEF|NOM//nmod//43 ska//VB|PRS|AKT//aux//48 beaktas//VB|INF|SFO//advcl//25 dels//KN//advmod//48 att//SN//mark//59 parternas//NN|UTR|PLU|DEF|GEN//nmod:poss//52 vilja//NN|UTR|SIN|IND|NOM//nsubj//59 i//PP//case//55 ett//DT|NEU|SIN|IND//det//55 avtal//NN|NEU|SIN|IND|NOM//obl//59 om//PP//case//57 arbete//NN|NEU|SIN|IND|NOM//nmod//55 bör//VB|PRS|AKT//aux//59 ges//VB|INF|SFO//ccomp//48 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//61 vikt//NN|UTR|SIN|IND|NOM//obj//59 vid//PP//case//63 bedömningen//NN|UTR|SIN|DEF|NOM//obl//59 av//PP//mark//68 om//SN//mark//68 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//68 är//VB|PRS|AKT//cop//68 fråga//NN|UTR|SIN|IND|NOM//acl//63 om//PP//case//70 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//68 eller//KN//cc//74 om//PP//case//74 ett//DT|NEU|SIN|IND//det//74 anställningsförhållande//NN|NEU|SIN|IND|NOM//conj//68 ,//MID//punct//77 dels//KN//advmod//77 behovet//NN|NEU|SIN|DEF|NOM//appos//18 av//PP//case//79 skydd//NN|NEU|SIN|IND|NOM//nmod//77 för//PP//case//83 den//DT|UTR|SIN|DEF//det//83 svagare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//83 parten//NN|UTR|SIN|DEF|NOM//nmod//77 i//PP//case//86 ett//DT|NEU|SIN|IND//det//86 arbets-//NN|NEU|-|-|SMS//nmod//83 eller//KN//cc//88 uppdragsavtal//NN|NEU|SIN|IND|NOM//conj//86 .//MAD//punct//77
1.1 Uppdraget;En//DT|UTR|SIN|IND//det//92 annan//JJ|POS|UTR|SIN|IND|NOM//amod//92 utgångspunkt//NN|UTR|SIN|IND|NOM//conj//77 för//PP//case//94 arbetet//NN|NEU|SIN|DEF|NOM//nmod//92 är//VB|PRS|AKT//cop//110 att//SN//mark//110 gränsdragningen//NN|UTR|SIN|DEF|NOM//nsubj//110 mellan//PP//case//100 inkomstslagen//PC|PRF|UTR|SIN|IND|NOM//amod//100 tjänst//NN|UTR|SIN|IND|NOM//nmod//97 och//KN//cc//102 näringsverksamhet//NN|UTR|SIN|IND|NOM//conj//100 i//PP//case//104 IL//PM|NOM//nmod//102 ://MID//punct//97 s//JJ|AN//nummod//107 mening//NN|UTR|SIN|IND|NOM//nmod//97 bör//VB|PRS|AKT//aux//110 vara//VB|INF|AKT//cop//110 likartad//PC|PRF|UTR|SIN|IND|NOM//ccomp//5 med//PP//case//113 den//DT|UTR|SIN|DEF//det//113 gränsdragning//NN|UTR|SIN|IND|NOM//obl//110 mellan//PP//case//115 inkomst//NN|UTR|SIN|IND|NOM//nmod//113 av//PP//case//117 anställning//NN|UTR|SIN|IND|NOM//nmod//115 och//KN//cc//119 inkomst//NN|UTR|SIN|IND|NOM//conj//117 av//PP//case//122 annan//JJ|POS|UTR|SIN|IND|NOM//amod//122 förvärvsverksamhet//NN|UTR|SIN|IND|NOM//nmod//119 som//HP|-|-|-//nsubj:pass//124 görs//VB|PRS|SFO//acl:relcl//113 inom//PP//case//126 socialförsäkringslagstiftningen//NN|UTR|SIN|DEF|NOM//obl//124 .//MAD//punct//5
1.1 Uppdraget;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//1 innefattar//VB|PRS|AKT//ROOT//1 också//AB//advmod//1 att//IE//mark//4 utreda//VB|INF|AKT//xcomp//1 om//SN//mark//8 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 är//VB|PRS|AKT//cop//8 ändamålsenligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//4 att//IE//mark//10 behålla//VB|INF|AKT//csubj//8 kravet//NN|NEU|SIN|DEF|NOM//obj//10 på//PP//mark//14 att//IE//mark//14 bedriva//VB|INF|AKT//acl//11 näringsverksamhet//NN|UTR|SIN|IND|NOM//obj//14 för//PP//mark//18 att//IE//mark//18 få//VB|INF|AKT//advcl//14 F-skattsedel//NN|UTR|SIN|IND|NOM//obj//18 eller//KN//cc//23 om//SN//mark//23 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//23 finns//VB|PRS|SFO//conj//1 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 sätt//NN|NEU|PLU|IND|NOM//nsubj//23 att//IE//mark//27 avgöra//VB|INF|AKT//acl//25 vem//HP|UTR|SIN|IND//nsubj//32 som//HP|-|-|-//fixed//28 själv//JJ|POS|UTR|SIN|IND|NOM//amod//28 ska//VB|PRS|AKT//aux//32 betala//VB|INF|AKT//ccomp//27 in//PL//compound:prt//32 sin//PS|UTR|SIN|DEF//nmod:poss//36 preliminära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 skatt//NN|UTR|SIN|IND|NOM//obj//32 på//PP//case//38 arbetsinkomst//NN|UTR|SIN|IND|NOM//obl//32 och//KN//cc//41 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//41 socialavgifter//NN|UTR|PLU|IND|NOM//conj//38 .//MAD//punct//1
