5 Förslagets konsekvenser ;Vilka//HP|UTR/NEU|PLU|IND//nsubj:pass//15 som//HP|-|-|-//nsubj//5 kan//VB|PRS|AKT//aux//5 komma//VB|INF|AKT//aux//5 att//IE//mark//5 träffas//VB|INF|SFO//acl:relcl//0 av//PP//case//7 de//DT|UTR/NEU|PLU|DEF//obl//5 i//PP//case//11 enlighet//NN|UTR|SIN|IND|NOM//fixed//8 med//PP//fixed//8 direktivet//NN|NEU|SIN|DEF|NOM//obl//12 införda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//15 har//VB|PRS|AKT//aux//15 behandlats//VB|SUP|SFO//advcl//34 i//PP//case//18 avsnitt//NN|NEU|SIN|IND|NOM//nmod//18 3//RG|NOM//obl//15 med//PP//case//20 utgångspunkt//NN|UTR|SIN|IND|NOM//obl//15 i//PP//case//24 den//DT|UTR|SIN|DEF//det//24 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//24 kartläggningen//NN|UTR|SIN|DEF|NOM//nmod//20 som//HP|-|-|-//nsubj//26 finns//VB|PRS|SFO//acl:relcl//24 i//PP//case//29 bilaga//NN|UTR|SIN|IND|NOM//nmod//29 4//RG|NOM//obl//26 .//MAD//punct//15
5 Förslagets konsekvenser ;En//DT|UTR|SIN|IND//det//90 mera//AB|KOM//advmod//89 utvecklad//PC|PRF|UTR|SIN|IND|NOM//amod//90 redovisningsmässig//JJ|POS|UTR|SIN|IND|NOM//amod//91 separering//NN|UTR|SIN|IND|NOM//obj//57 av//PP//case//94 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 verksamheter//NN|UTR|PLU|IND|NOM//nmod//91 kan//VB|PRS|AKT//aux//98 för//PP//advmod//98 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//96 förbättra//VB|INF|AKT//conj//57 möjligheten//NN|UTR|SIN|DEF|NOM//obj//98 för//PP//case//101 företagen//NN|NEU|PLU|DEF|NOM//nmod//99 och//KN//cc//104 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//104 ägare//NN|UTR|PLU|IND|NOM//conj//101 att//IE//mark//106 analysera//VB|INF|AKT//advcl//98 lönsamheten//NN|UTR|SIN|DEF|NOM//obj//106 i//PP//case//111 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//111 bedrivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//111 aktiviteter//NN|UTR|PLU|IND|NOM//obl//106 .//MAD//punct//57
5 Förslagets konsekvenser ;Därigenom//AB//advmod//114 förbättras//VB|PRS|SFO//conj//57 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//114 att//IE//mark//117 bedriva//VB|INF|AKT//acl//115 affärsverksamheter//NN|UTR|PLU|IND|NOM//obj//117 på//PP//case//123 ett//DT|NEU|SIN|IND//det//123 företagsekonomiskt//AB|POS//amod//123 effektivt//JJ|POS|NEU|SIN|IND|NOM//amod//123 sätt//NN|NEU|SIN|IND|NOM//obl//117 .//MAD//punct//114
5 Förslagets konsekvenser ;Även//AB//mark//130 om//SN//fixed//125 vinsterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//130 inte//AB//advmod//130 skall//VB|PRS|AKT//aux//130 överskattas//VB|INF|SFO//advcl//133 kan//VB|PRS|AKT//aux//133 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//133 leda//VB|INF|AKT//parataxis//114 till//PP//case//135 kostnadsbesparingar//NN|UTR|PLU|IND|NOM//obl//133 och//KN//cc//137 effektivitetsvinster//NN|UTR|PLU|IND|NOM//conj//135 som//HP|-|-|-//nsubj//140 ytterst//AB|SUV//advmod//140 kommer//VB|PRS|AKT//acl:relcl//137 ägare//NN|UTR|PLU|IND|NOM//nsubj:pass//162 och//KN//cc//162 ,//MID//punct//145 såvitt//SN//advmod//145 gäller//VB|PRS|AKT//advcl//162 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//147 företag//NN|NEU|PLU|IND|NOM//obj//145 ,//MID//punct//147 allmänheten//NN|UTR|SIN|DEF|NOM//appos//147 till//PP//advmod//145 godo//NN|-|-|-|-//fixed//150 .//MAD//punct//145
5 Förslagets konsekvenser ;Under//PP//case//155 alla//DT|UTR/NEU|PLU|IND/DEF//det//155 förhållanden//NN|NEU|PLU|IND|NOM//obl//162 måste//VB|PRS|AKT//aux//162 ett//DT|NEU|SIN|IND//det//158 krav//NN|NEU|SIN|IND|NOM//nsubj:pass//162 på//PP//case//161 separat//JJ|POS|UTR|SIN|IND|NOM//amod//161 redovisning//NN|UTR|SIN|IND|NOM//nmod//158 genomföras//VB|INF|SFO//conj//57 enligt//PP//case//164 direktivet//NN|NEU|SIN|DEF|NOM//obl//162 .//MID//punct//13
5 Förslagets konsekvenser ;De//DT|UTR/NEU|PLU|DEF//det//167 undantag//NN|NEU|PLU|IND|NOM//nsubj:pass//173 som//HP|-|-|-//obj//170 direktivet//NN|NEU|SIN|DEF|NOM//nsubj//170 medger//VB|PRS|AKT//acl:relcl//167 har//VB|PRS|AKT//aux//173 också//AB//advmod//173 utnyttjats//VB|SUP|SFO//parataxis//13 .//MID//punct//13
5 Förslagets konsekvenser ;De//DT|UTR/NEU|PLU|DEF//det//177 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//177 merkostnader//NN|UTR|PLU|IND|NOM//nsubj//181 som//HP|-|-|-//nsubj//180 kan//VB|PRS|AKT//aux//180 uppkomma//VB|INF|AKT//acl:relcl//177 utgör//VB|PRS|AKT//parataxis//13 alltså//AB//advmod//181 en//DT|UTR|SIN|IND//det//185 ofrånkomlig//JJ|POS|UTR|SIN|IND|NOM//amod//185 följd//NN|UTR|SIN|IND|NOM//obj//181 av//PP//case//187 direktivet//NN|NEU|SIN|DEF|NOM//nmod//185 .//MAD//punct//13
5 Förslagets konsekvenser ;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 att//SN//mark//9 de//DT|UTR/NEU|PLU|DEF//det//5 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 redovisningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//9 enligt//PP//case//7 direktivet//NN|NEU|SIN|DEF|NOM//nmod//5 skall//VB|PRS|AKT//aux//9 granskas//VB|INF|SFO//ccomp//1 av//PP//case//11 revisor//NN|UTR|SIN|IND|NOM//obl:agent//9 eller//KN//cc//14 annan//JJ|POS|UTR|SIN|IND|NOM//amod//14 sakkunnig//NN|UTR|SIN|IND|NOM//conj//11 .//MAD//punct//1
5 Förslagets konsekvenser ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//18 kan//VB|PRS|AKT//aux//18 medföra//VB|INF|AKT//parataxis//1 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//21 kostnader//NN|UTR|PLU|IND|NOM//obj//18 för//PP//case//24 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//24 företag//NN|NEU|PLU|IND|NOM//nmod//21 ,//MID//punct//26 kommuner//NN|UTR|PLU|IND|NOM//conj//24 och//KN//cc//28 landsting//NN|NEU|SIN|IND|NOM//conj//24 .//MAD//punct//18
5 Förslagets konsekvenser ;Granskningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//35 får//VB|PRS|AKT//aux//35 dock//AB//advmod//35 enligt//PP//case//34 förslaget//NN|NEU|SIN|DEF|NOM//obl//35 göras//VB|INF|SFO//parataxis//18 av//PP//case//38 företagets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 revisor//NN|UTR|SIN|IND|NOM//obl:agent//35 och//KN//cc//45 inom//PP//case//45 ramen//NN|UTR|SIN|DEF|NOM//fixed//40 för//PP//fixed//40 den//DT|UTR|SIN|DEF//det//45 vanliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 revisionen//NN|UTR|SIN|DEF|NOM//conj//38 .//MAD//punct//18
5 Förslagets konsekvenser ;Därigenom//AB//advmod//48 begränsas//VB|PRS|SFO//parataxis//18 merkostnaderna//NN|UTR|PLU|DEF|NOM//nsubj:pass//48 .//MID//punct//48
5 Förslagets konsekvenser ;Eftersom//SN//mark//54 Sverige//PM|NOM//nsubj//54 är//VB|PRS|AKT//cop//54 skyldigt//JJ|POS|NEU|SIN|IND|NOM//csubj//70 att//IE//mark//56 se//VB|INF|AKT//xcomp//54 till//PL//compound:prt//56 att//SN//mark//61 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//60 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//61 tillämpas//VB|PRS|SFO//ccomp//56 på//PP//case//64 rätt//JJ|POS|NEU|SIN|IND|NOM//amod//64 sätt//NN|NEU|SIN|IND|NOM//obl//61 av//PP//case//67 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//67 företag//NN|NEU|PLU|IND|NOM//nmod//64 och//KN//cc//69 myndigheter//NN|UTR|PLU|IND|NOM//conj//67 är//VB|PRS|AKT//cop//76 även//AB//advmod//73 dessa//DT|UTR/NEU|PLU|DEF//det//73 merkostnader//NN|UTR|PLU|IND|NOM//nsubj//76 en//DT|UTR|SIN|IND//det//76 nödvändig//JJ|POS|UTR|SIN|IND|NOM//amod//76 följd//NN|UTR|SIN|IND|NOM//nsubj:pass//48 av//PP//case//78 direktivet//NN|NEU|SIN|DEF|NOM//nmod//76 .//MAD//punct//18
5 Förslagets konsekvenser ;Den//DT|UTR|SIN|DEF//det//2 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 rapporteringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 för//PP//case//5 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 tillverkningsföretag//NN|NEU|PLU|IND|NOM//nmod//2 fullgörs//VB|PRS|SFO//ROOT//6 idag//AB//advmod//6 av//PP//case//9 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//6 men//KN//cc//14 skall//VB|PRS|AKT//aux//14 enligt//PP//case//13 förslaget//NN|NEU|SIN|DEF|NOM//obl//14 göras//VB|INF|SFO//conj//6 av//PP//case//16 Konkurrensverket//PM|NOM//obl:agent//14 .//MAD//punct//6
5 Förslagets konsekvenser ;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//23 är//VB|PRS|AKT//cop//23 i//PP//case//22 denna//DT|UTR|SIN|DEF//det//22 del//NN|UTR|SIN|IND|NOM//obl//23 kostnadsneutralt//JJ|POS|NEU|SIN|IND|NOM//parataxis//6 för//PP//case//25 staten//NN|UTR|SIN|DEF|NOM//obl//23 eftersom//SN//mark//32 en//DT|UTR|SIN|IND//det//29 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//29 merkostnad//NN|UTR|SIN|IND|NOM//nsubj:pass//32 för//PP//case//31 verket//NN|NEU|SIN|DEF|NOM//nmod//29 kompenseras//VB|PRS|SFO//advcl//23 av//PP//case//34 kostnadsbesparingar//NN|UTR|PLU|IND|NOM//obl:agent//32 hos//PP//case//36 regeringen//NN|UTR|SIN|DEF|NOM//nmod//34 .//MAD//punct//23
5 Förslagets konsekvenser ;Endast//AB//advmod//42 ett//DT|NEU|SIN|IND//det//40 fåtal//NN|NEU|SIN|IND|NOM//nmod//41 företag//NN|NEU|PLU|IND|NOM//nsubj:pass//42 berörs//VB|PRS|SFO//conj//23 av//PP//case//44 rapporteringen//NN|UTR|SIN|DEF|NOM//obl:agent//42 i//PP//case//47 denna//DT|UTR|SIN|DEF//det//47 del//NN|UTR|SIN|IND|NOM//obl//42 och//KN//cc//50 dessa//DT|UTR/NEU|PLU|DEF//det//50 företag//NN|NEU|PLU|IND|NOM//conj//47 skulle//VB|PRT|AKT//aux//57 oavsett//PP//case//53 lagstiftning//NN|UTR|SIN|IND|NOM//obl//57 ändå//AB//advmod//56 ha//VB|INF|AKT//aux//56 behövt//VB|SUP|AKT//aux//57 anmodas//VB|INF|SFO//conj//6 att//IE//mark//60 årligen//AB//advmod//60 lämna//VB|INF|AKT//xcomp//57 in//PL//compound:prt//60 redovisningar//NN|UTR|PLU|IND|NOM//obj//60 .//MAD//punct//6
5 Förslagets konsekvenser ;Den//DT|UTR|SIN|DEF//det//65 information//NN|UTR|SIN|IND|NOM//nsubj//72 som//HP|-|-|-//nsubj:pass//68 skall//VB|PRS|AKT//aux//68 lämnas//VB|INF|SFO//acl:relcl//65 är//VB|PRS|AKT//cop//72 för//PP//advmod//72 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//70 årsredovisning//NN|UTR|SIN|IND|NOM//parataxis//6 ,//MID//punct//75 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 handlingar//NN|UTR|PLU|IND|NOM//conj//72 och//KN//cc//79 viss//JJ|POS|UTR|SIN|IND|NOM//amod//79 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 information//NN|UTR|SIN|IND|NOM//conj//72 som//HP|-|-|-//nsubj//82 redan//AB//advmod//82 finns//VB|PRS|SFO//acl:relcl//79 tillgänglig//JJ|POS|UTR|SIN|IND|NOM//xcomp//82 hos//PP//case//85 företag//NN|NEU|PLU|IND|NOM//obl//82 .//MAD//punct//6
5 Förslagets konsekvenser ;Lagförslaget//NN|NEU|SIN|DEF|NOM//nsubj//91 i//PP//case//90 denna//DT|UTR|SIN|DEF//det//90 del//NN|UTR|SIN|IND|NOM//nmod//87 bedöms//VB|PRS|SFO//parataxis//6 därför//AB//advmod//94 inte//AB//advmod//94 få//VB|INF|AKT//xcomp//91 några//DT|UTR/NEU|PLU|IND//det//98 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//98 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 konsekvenser//NN|UTR|PLU|IND|NOM//obj//94 för//PP//case//101 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//101 företag//NN|NEU|PLU|IND|NOM//obl//94 .//MAD//punct//6
5 Förslagets konsekvenser ;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//1 får//VB|PRS|AKT//ROOT//1 konsekvenser//NN|UTR|PLU|IND|NOM//obj//1 för//PP//case//4 Konkurrensverket//PM|NOM//nmod//2 i//PP//case//9 form//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 myndighetsuppgifter//NN|UTR|PLU|IND|NOM//obl//1 .//MAD//punct//1
5 Förslagets konsekvenser ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//12 föreslås//VB|PRS|SFO//parataxis//1 för//PP//case//15 det//DT|NEU|SIN|DEF//det//15 första//RO|NOM//obl//12 att//SN//mark//18 verket//NN|NEU|SIN|DEF|NOM//nsubj//18 får//VB|PRS|AKT//advcl//12 uppgiften//NN|UTR|SIN|DEF|NOM//obj//18 att//IE//mark//21 utöva//VB|INF|AKT//xcomp//18 tillsyn//NN|UTR|SIN|IND|NOM//obj//21 över//PP//case//24 efterlevnaden//NN|UTR|SIN|DEF|NOM//obl//21 i//PP//case//26 lagen//NN|UTR|SIN|DEF|NOM//nmod//24 .//MAD//punct//12
5 Förslagets konsekvenser ;Även//AB//mark//31 om//SN//fixed//28 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 förutsätts//VB|PRS|SFO//advcl//12 att//SN//mark//36 verket//NN|NEU|SIN|DEF|NOM//nsubj//36 inte//AB//advmod//36 skall//VB|PRS|AKT//aux//36 behöva//VB|INF|AKT//ccomp//31 bedriva//VB|INF|AKT//xcomp//36 någon//DT|UTR|SIN|IND//det//42 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 och//KN//cc//41 aktiv//JJ|POS|UTR|SIN|IND|NOM//conj//39 tillsyn//NN|UTR|SIN|IND|NOM//obj//37 ,//MID//punct//46 utan//KN//cc//46 mer//AB|KOM//advmod//46 inrikta//VB|INF|AKT//conj//36 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//46 på//PP//mark//50 att//IE//mark//50 ingripa//VB|INF|AKT//xcomp//46 om//PP//mark//54 ett//DT|NEU|SIN|IND//det//53 missförhållande//NN|NEU|SIN|IND|NOM//nsubj//54 anmäls//VB|PRS|SFO//ccomp//50 eller//KN//cc//56 uppmärksammas//VB|INF|SFO//conj//54 i//PP//case//60 ett//DT|NEU|SIN|IND//det//60 enskilt//JJ|POS|NEU|SIN|IND|NOM//amod//60 fall//NN|NEU|SIN|IND|NOM//obl//56 ,//MID//punct//46 så//AB//advmod//65 är//VB|PRS|AKT//cop//65 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//65 sannolikt//JJ|POS|NEU|SIN|IND|NOM//conj//1 att//SN//mark//72 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//69 kvalificerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//69 ärenden//NN|NEU|PLU|IND|NOM//nsubj:pass//72 kommer//VB|PRS|AKT//aux//72 att//IE//mark//72 aktualiseras//VB|INF|SFO//csubj//65 om//PP//case//75 reglernas//NN|UTR|PLU|DEF|GEN//nmod:poss//75 efterlevnad//NN|UTR|SIN|IND|NOM//obl//72 .//MAD//punct//1
5 Förslagets konsekvenser ;För//PP//case//80 den//DT|UTR|SIN|DEF//det//80 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//80 uppgiften//NN|UTR|SIN|DEF|NOM//obl//81 behöver//VB|PRS|AKT//aux//84 verket//NN|NEU|SIN|DEF|NOM//nsubj//84 även//AB//advmod//84 anskaffa//VB|INF|AKT//parataxis//1 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//86 kompetens//NN|UTR|SIN|IND|NOM//obj//84 som//HP|-|-|-//nsubj//88 täcker//VB|PRS|AKT//acl:relcl//86 redovisningsfrågor//NN|UTR|PLU|IND|NOM//obj//88 och//KN//cc//92 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//92 analys//NN|UTR|SIN|IND|NOM//conj//89 .//MID//punct//84
