Nytt regelverk för marksänd digital-TV ;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Radio-//NN|UTR|-|-|SMS//nmod//0 och//KN//cc//4 TV-lagsutredningen//NN|UTR|SIN|DEF|NOM//conj//2
Till statsrådet Marita Ulvskog;2001:11//RG|NOM//nmod//1 )//PAD//punct//1 skulle//VB|PRT|AKT//aux//9 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//9 redovisat//VB|SUP|AKT//ROOT//9 sitt//PS|NEU|SIN|DEF//nmod:poss//11 arbete//NN|NEU|SIN|IND|NOM//obj//9 senast//AB|SUV//case//15 den//DT|UTR|SIN|DEF//det//15 31//RG|NOM//nummod//15 maj//NN|UTR|SIN|IND|NOM//obl//9 2002//RG|NOM//nummod//15 .//MAD//punct//9
Till statsrådet Marita Ulvskog;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//19 beslutade//VB|PRT|AKT//parataxis//9 den//DT|UTR|SIN|DEF//det//22 13//RG|NOM//nummod//22 mars//NN|UTR|SIN|IND|NOM//obl//19 2003//RG|NOM//nummod//22 om//PP//case//26 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//19 (//PAD//punct//26 Dir//NN|AN//appos//26 .//MAD//punct//26
Till statsrådet Marita Ulvskog;2003:30//RG|NOM//punct//9 )//PAD//punct//35 varigenom//HA//advmod//35 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 uppdrag//NN|NEU|SIN|IND|NOM//nsubj:pass//35 utökades//VB|PRT|SFO//parataxis//9 till//PP//mark//38 att//IE//mark//38 omfatta//VB|INF|AKT//advcl//35 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//40 frågor//NN|UTR|PLU|IND|NOM//obj//38 .//MAD//punct//35
Till statsrådet Marita Ulvskog;Tiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//48 för//PP//case//44 redovisning//NN|UTR|SIN|IND|NOM//nmod//42 av//PP//case//47 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//47 överväganden//NN|NEU|PLU|IND|NOM//nmod//44 förlängdes//VB|PRT|SFO//parataxis//35 till//PP//case//50 utgången//NN|UTR|SIN|DEF|NOM//obl//48 av//PP//case//53 år//NN|NEU|SIN|IND|NOM//nmod//53 2004//RG|NOM//nmod//50 .//MAD//punct//35
Till statsrådet Marita Ulvskog;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//61 om//PP//mark//57 tillåten//JJ|POS|UTR|SIN|IND|NOM//nmod//55 annonstid//NN|UTR|SIN|IND|NOM//obj//57 skulle//VB|PRT|AKT//aux//61 dock//AB//advmod//61 redovisas//VB|INF|SFO//parataxis//35 före//PP//case//63 utgången//NN|UTR|SIN|DEF|NOM//obl//61 av//PP//case//66 juni//NN|UTR|SIN|IND|NOM//nmod//66 2003//RG|NOM//nmod//63 och//KN//cc//68 frågan//NN|UTR|SIN|DEF|NOM//conj//63 om//PP//case//70 vidaresändningsplikten//NN|UTR|SIN|DEF|NOM//nmod//68 efter//PP//case//72 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//70 att//SN//fixed//72 de//DT|UTR/NEU|PLU|DEF//det//76 analoga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 marksändningarna//NN|UTR|PLU|DEF|NOM//nsubj//78 har//VB|PRS|AKT//aux//78 upphört//VB|SUP|AKT//acl:relcl//68 redovisas//VB|INF|SFO//xcomp//78 före//PP//case//81 utgången//NN|UTR|SIN|DEF|NOM//obl//79 av//PP//case//83 november//NN|UTR|SIN|IND|NOM//nmod//81 2003//RG|NOM//nummod//83 .//MAD//punct//35
Till statsrådet Marita Ulvskog;Genom//PP//case//89 ett//DT|NEU|SIN|IND//det//89 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//89 tilläggsdirektiv//NN|NEU|SIN|IND|NOM//obl//9 (//PAD//punct//89 Dir//NN|AN//appos//89 .//MID//punct//89
Till statsrådet Marita Ulvskog;2003:100//RG|NOM//appos//89 )//PAD//punct//89 den//DT|UTR|SIN|DEF//det//97 21//RG|NOM//nummod//97 augusti//NN|UTR|SIN|IND|NOM//obl//99 2003//RG|NOM//nummod//97 fick//VB|PRT|AKT//parataxis//89 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//99 vidare//AB|KOM//advmod//99 i//PP//case//103 uppdrag//NN|NEU|SIN|IND|NOM//obl//99 att//IE//mark//105 behandla//VB|INF|AKT//acl//103 de//DT|UTR/NEU|PLU|DEF//det//107 frågor//NN|UTR|PLU|IND|NOM//obj//105 som//HP|-|-|-//nsubj//109 rör//VB|PRS|AKT//acl:relcl//107 Digital-TV-kommitténs//PM|SMS//nmod:poss//111 förslag//NN|NEU|PLU|IND|NOM//obj//109 i//PP//case//114 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//114 avseenden//NN|NEU|PLU|IND|NOM//nmod//111 i//PP//case//117 ett//DT|NEU|SIN|IND//det//117 delbetänkande//NN|NEU|SIN|IND|NOM//obl//109 före//PP//case//119 utgången//NN|UTR|SIN|DEF|NOM//nmod//117 av//PP//case//121 februari//NN|UTR|SIN|IND|NOM//nmod//119 2004//RG|NOM//nummod//121 .//MAD//punct//89
Till statsrådet Marita Ulvskog;Genom//PP//case//125 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//appos//89 den//DT|UTR|SIN|DEF//det//128 9//RO|NOM//nummod//128 oktober//NN|UTR|SIN|IND|NOM//obl//125 2003//RG|NOM//nummod//128 (//PAD//punct//129 Dir//NN|AN//nummod//125 .//MID//punct//125
Till statsrådet Marita Ulvskog;2003:121//RG|NOM//appos//125 )//PAD//punct//125 avfördes//VB|PRT|SFO//conj//9 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//135 om//PP//case//139 vilka//HD|UTR/NEU|PLU|IND//det//139 TV-mottagare//NN|UTR|PLU|IND|NOM//nmod//136 som//HP|-|-|-//nsubj//141 skall//VB|PRS|AKT//acl:relcl//139 grunda//VB|INF|AKT//amod//143 avgiftsskyldighet//NN|UTR|SIN|IND|NOM//obj//141 från//PP//case//146 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//146 uppdrag//NN|NEU|SIN|IND|NOM//obl//141 .//MAD//punct//9
Till statsrådet Marita Ulvskog;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 30//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2003//RG|NOM//nummod//4 delbetänkandet//NN|NEU|SIN|DEF|NOM//obj//1 Reklamtid//NN|UTR|SIN|IND|NOM//obj//1 i//PP//case//9 TV//NN|UTR|SIN|IND|NOM//nmod//7 ,//MID//punct//11 SOU//PM|NOM//obl//1 2003:62//RG|NOM//nummod//11 ,//MID//punct//17 och//KN//cc//17 den//DT|UTR|SIN|DEF//det//17 28//RG|NOM//nummod//17 november//NN|UTR|SIN|IND|NOM//conj//1 2003//RG|NOM//nummod//17 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//21 Must//UO//nmod//21 carry//UO//conj//17 ,//MID//punct//17 SOU//PM|NOM//nmod//24 2003:109//RG|NOM//appos//17 .//MAD//punct//1
Till statsrådet Marita Ulvskog;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//6 Nytt//JJ|POS|NEU|SIN|IND|NOM//amod//6 regelverk//NN|NEU|SIN|IND|NOM//obj//3 för//PP//case//8 marksänd//PC|PRF|UTR|SIN|IND|NOM//nmod//6  //_SP////8 digital-TV//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//12 SOU//PM|NOM//conj//8 2004:39//RG|NOM//conj//8 .//MAD//punct//3
Till statsrådet Marita Ulvskog;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//17 har//VB|PRS|AKT//aux//17 ställt//VB|SUP|AKT//conj//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//17 bakom//PL//case//22 de//DT|UTR/NEU|PLU|DEF//det//22 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//22 förslagen//NN|NEU|PLU|DEF|NOM//obl//17 och//KN//cc//24 övervägandena//NN|NEU|PLU|DEF|NOM//conj//22 .//MAD//punct//17
Till statsrådet Marita Ulvskog;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//28 har//VB|PRS|AKT//aux//28 markerats//VB|SUP|SFO//parataxis//17 genom//PP//mark//33 att//SN//mark//33 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//33 har//VB|PRS|AKT//aux//33 avfattats//VB|SUP|SFO//advcl//28 med//PP//case//35 användning//NN|UTR|SIN|IND|NOM//obl//33 av//PP//case//37 vi-form//NN|UTR|SIN|IND|NOM//nmod//35 .//MAD//punct//17
Till statsrådet Marita Ulvskog;Återstående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//8 som//HP|-|-|-//nsubj:pass//3 omfattas//VB|PRS|SFO//acl:relcl//1 av//PP//case//5 uppdraget//NN|NEU|SIN|DEF|NOM//obl//3 kommer//VB|PRS|AKT//aux//8 att//IE//mark//8 behandlas//VB|INF|SFO//ROOT//8 i//PP//case//11 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//8 senast//AB|SUV//advmod//14 vid//PP//case//14 utgången//NN|UTR|SIN|DEF|NOM//obl//8 av//PP//case//17 år//NN|NEU|SIN|IND|NOM//nmod//17 2004//RG|NOM//nmod//14 .//MAD//punct//8
Till statsrådet Marita Ulvskog;Malmö//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 31//RG|NOM//nummod//3 mars//NN|UTR|SIN|IND|NOM//nmod//0 2004//RG|NOM//nummod//3

Författningsförslag;1//RG|NOM//nummod//1 Förslag//NN|NEU|PLU|IND|NOM//ROOT//1 till//PP//case//1

lag om ändring i radio- och TV-lagen (1996:844);Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//case//5 radio-//NN|UTR|-|-|SMS//obl//1 och//KN//cc//7 TV-lagen//NN|UTR|SIN|DEF|NOM//conj//5 (//PAD//punct//1 1996:844//RG|NOM//appos//1 )//PAD//punct//9 dels//KN//advmod//1  //_SP////11 att//SN//mark//24 9//RG|NOM//nummod//15 kap.//NN|AN//nmod//16 7//RG|NOM//nummod//21 ,//MID//punct//16 9//RG|NOM//nummod//16 och//KN//cc//16 10//RG|NOM//nummod//21 §//NN|AN//nmod//22 §//NN|AN//nsubj//24 skall//VB|PRS|AKT//aux//24 upphöra//VB|INF|AKT//acl//11 att//IE//mark//26 gälla//VB|INF|AKT//advcl//24 ,//MID//punct//1
lag om ändring i radio- och TV-lagen (1996:844);dels//KN//advmod//12  //_SP////0 att//SN//mark//12 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//6 9//RG|NOM//nummod//5 kap.//NN|AN//nmod//6 11//RG|NOM//nummod//9 och//KN//cc//6 12//RG|NOM//nummod//6 §//NN|AN//nmod//10 §//NN|AN//nsubj:pass//12 skall//VB|PRS|AKT//aux//12 betecknas//VB|INF|SFO//ROOT//12 9//RG|NOM//nummod//14 kap.//NN|AN//nmod//15 10//RG|NOM//nummod//18 och//KN//cc//15 11//RG|NOM//nummod//15 §//NN|AN//nmod//19 §//NN|AN//obl//12 ,//MID//punct//12
lag om ändring i radio- och TV-lagen (1996:844);dels//KN//advmod//14  //_SP////0 att//SN//mark//14 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//6 3//RG|NOM//nummod//5 kap.//NN|AN//nmod//6 1-4//RG|NOM//nummod//11 ,//MID//punct//6 7//RG|NOM//nummod//6 och//KN//cc//6 8//RG|NOM//nummod//6 §//NN|AN//nmod//12 §//NN|AN//nsubj:pass//14 skall//VB|PRS|AKT//aux//14 betecknas//VB|INF|SFO//ROOT//14 3//RG|NOM//nummod//16 kap.//NN|AN//nmod//17 7//RG|NOM//obl//14 –//NN|AN//punct//17 10//RG|NOM//nummod//17 ,//MID//punct//19 20//RG|NOM//nummod//17 och//KN//cc//21 21//RG|NOM//nummod//24 §//NN|AN//nmod//25 §//NN|AN//obl//14 ,//MID//punct//14
lag om ändring i radio- och TV-lagen (1996:844);dels//KN//advmod//19  //_SP////0 att//SN//mark//15 de//DT|UTR/NEU|PLU|DEF//det//6 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 3//RG|NOM//nummod//6 kap.//NN|AN//nmod//7 7–10//RG|NOM//nsubj//15 ,//MID//punct//9 20//RG|NOM//conj//7 och//KN//cc//9 21//RG|NOM//nummod//12 §//NN|AN//nmod//13 §//NN|AN//nmod//7 skall//VB|PRS|AKT//aux//15 ha//VB|INF|AKT//advcl//0 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 lydelse//NN|UTR|SIN|IND|NOM//obj//15 ,//MID//punct//15 dels//KN//ROOT//19  //_SP////19 att//SN//fixed//19 1//RG|NOM//nummod//23 kap.//NN|AN//nmod//24 1//RG|NOM//nummod//29 ,//MID//punct//24 2//RG|NOM//nummod//24 och//KN//cc//24 5//RG|NOM//nummod//24 §//NN|AN//nmod//30 §//NN|AN//dep//21 ,//MID//punct//30 2//RG|NOM//nummod//33 kap.//NN|AN//nmod//34 1//RG|NOM//nmod//30 och//KN//cc//34 2//RG|NOM//nummod//34 §//NN|AN//nmod//38 §//NN|AN//nmod//30 ,//MID//punct//38 3//RG|NOM//nummod//41 kap.//NN|AN//nmod//42 5//RG|NOM//nmod//38 och//KN//cc//42 6//RG|NOM//nummod//42 §//NN|AN//nmod//46 §//NN|AN//nmod//30 ,//MID//punct//46 6//RG|NOM//nummod//49 kap.//NN|AN//nmod//51 8//RG|NOM//nummod//51 §//NN|AN//nmod//30 ,//MID//punct//51 7//RG|NOM//nummod//54 kap.//NN|AN//nmod//30 1//RG|NOM//nummod//56 §//NN|AN//nmod//30 ,//MID//punct//56 8//RG|NOM//nummod//59 kap.//NN|AN//nmod//30 1//RG|NOM//nummod//61 §//NN|AN//nmod//30 ,//MID//punct//61 9//RG|NOM//nummod//64 kap.//NN|AN//nmod//65 2//RG|NOM//nmod//61 ,//MID//punct//65 4//RG|NOM//nummod//65 och//KN//cc//65 5//RG|NOM//nummod//65 §//NN|AN//nmod//71 §//NN|AN//nmod//30 ,//MID//punct//71 10//RG|NOM//nummod//74 kap.//NN|AN//nmod//75 5//RG|NOM//nmod//30 ,//MID//punct//75 8//RG|NOM//nummod//75
lag om ändring i radio- och TV-lagen (1996:844);och//KN//cc//3 9//RG|NOM//nummod//2 §//NN|AN//nmod//3 §//NN|AN//nsubj//38 ,//MID//punct//3 11//RG|NOM//nummod//6 kap.//NN|AN//nmod//7 1//RG|NOM//nmod//3 och//KN//cc//7 2//RG|NOM//nummod//7 §//NN|AN//nmod//11 §//NN|AN//nmod//3 ,//MID//punct//11 12//RG|NOM//nummod//14 kap.//NN|AN//nmod//15 1//RG|NOM//nummod//3 och//KN//cc//15 2//RG|NOM//nummod//15 §//NN|AN//nmod//19 §//NN|AN//nmod//3 ,//MID//punct//19 13//RG|NOM//nummod//22 kap.//NN|AN//nmod//23 1//RG|NOM//nummod//26 och//KN//cc//23 3//RG|NOM//nummod//23 §//NN|AN//nmod//27 §//NN|AN//nmod//3 samt//KN//cc//29 rubrikerna//NN|UTR|PLU|DEF|NOM//conj//27 till//PP//case//31 3//RG|NOM//nmod//29 ,//MID//punct//31 11//RG|NOM//nummod//31 och//KN//cc//33 12//RG|NOM//nummod//36 kap.//NN|AN//nmod//3 skall//VB|PRS|AKT//aux//38 ha//VB|INF|AKT//ROOT//38 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 lydelse//NN|UTR|SIN|IND|NOM//obj//38 ,//MID//punct//38
lag om ändring i radio- och TV-lagen (1996:844);dels//KN//advmod//7  //_SP////0 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//7 i//PP//case//5 lagen//NN|UTR|SIN|DEF|NOM//obl//7 skall//VB|PRS|AKT//aux//7 införas//VB|INF|SFO//ROOT//7 22//RG|NOM//nummod//10 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 paragrafer//NN|UTR|PLU|IND|NOM//nsubj:pass//7 ,//MID//punct//10 1//RG|NOM//nummod//13 kap.//NN|AN//nmod//20 1//RG|NOM//nummod//13 a//NN|NEU|SIN|IND|NOM//case//16 §//NN|AN//nmod//13 ,//MID//punct//13 3//RG|NOM//nummod//19 kap.//NN|AN//nmod//20 1–4//RG|NOM//nmod//10 ,//MID//punct//22 11–19//RG|NOM//conj//20 ,//MID//punct//24 22//RG|NOM//conj//20 och//KN//cc//20 23//RG|NOM//nummod//27 §//NN|AN//nmod//28 §//NN|AN//nmod//20 ,//MID//punct//20 9//RG|NOM//nummod//31 kap.//NN|AN//nmod//32 7//RG|NOM//nmod//20 ,//MID//punct//32 9//RG|NOM//nummod//32 och//KN//cc//32 12//RG|NOM//nummod//32 §//NN|AN//nmod//38 §//NN|AN//nmod//20 ,//MID//punct//20 10//RG|NOM//nummod//41 kap.//NN|AN//nmod//43 13//RG|NOM//nummod//43 §//NN|AN//nmod//20 ,//MID//punct//43 11//RG|NOM//nummod//46 kap.//NN|AN//nmod//47 7//RG|NOM//nmod//43 och//KN//cc//47 8//RG|NOM//nummod//47 §//NN|AN//nmod//51 §//NN|AN//nmod//20 ,//MID//punct//10 av//PP//case//55 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 lydelse//NN|UTR|SIN|IND|NOM//nmod//10 .//MAD//punct//7
lag om ändring i radio- och TV-lagen (1996:844);1//RG|NOM//nummod//1 §//NN|AN//ROOT//1
lag om ändring i radio- och TV-lagen (1996:844);En//DT|UTR|SIN|IND//det//1 sändning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anses//VB|PRS|SFO//ROOT//2 riktad//PC|PRF|UTR|SIN|IND|NOM//xcomp//2 till//PP//case//5 allmänheten//NN|UTR|SIN|DEF|NOM//obl//2 endast//AB//mark//15 om//SN//fixed//6 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//15 samtidigt//AB//advmod//15 och//KN//fixed//9 utan//PP//case//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 begäran//NN|UTR|SIN|IND|NOM//fixed//9 är//VB|PRS|AKT//cop//15 tillgänglig//JJ|POS|UTR|SIN|IND|NOM//advcl//2 för//PP//case//17 vem//HP|UTR|SIN|IND//obl//15 som//KN//case//19 helst//AB|SUV//advmod//17 som//HP|-|-|-//nsubj//22 vill//VB|PRS|AKT//aux//22 ta//VB|INF|AKT//acl:relcl//17 emot//PL//compound:prt//22 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//22 .//MAD//punct//2
