– dokumentation från ett seminarium;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skrift//NN|UTR|SIN|IND|NOM//nmod//3 nr//NN|AN//nmod//3 12//RG|NOM//ROOT//3
Inledning;Gunnar//PM|NOM//ROOT//0 Larsson//PM|NOM//flat:name//0 ,//MID//punct//3 ledamot//NN|UTR|SIN|IND|NOM//conj//0 (//PAD//punct//3 s//PM|NOM//nmod//3 )//PAD//punct//3 av//PP//case//8 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Inledning;Jag//PN|UTR|SIN|DEF|SUB//nsubj//1 ber//VB|PRS|AKT//ROOT//1 att//IE//mark//7 som//KN//mark//4 ledamot//NN|UTR|SIN|IND|NOM//advcl//7 av//PP//case//6 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nmod//4 få//VB|INF|AKT//ccomp//1 hälsa//VB|INF|AKT//obj//7 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//det//11 varmt//AB|POS//amod//11 välkomna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//7 till//PP//case//14 Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 seminarium//NN|NEU|SIN|IND|NOM//obl//7 ://MID//punct//14
Inledning;EU//PM|NOM//appos//14 –//RG|NOM//punct//19 ett//DT|NEU|SIN|IND//det//19 demokratiprojekt//NN|NEU|SIN|IND|NOM//conj//16 ?//MID//punct//19
Inledning;Detta//DT|NEU|SIN|DEF//det//22 tema//NN|NEU|SIN|IND|NOM//conj//16 är//VB|PRS|AKT//cop//24 ett//PN|NEU|SIN|IND|SUB/OBJ//obj//7 av//PP//case//27 de//DT|UTR/NEU|PLU|DEF//det//27 områden//NN|NEU|PLU|IND|NOM//nmod//24 som//HP|-|-|-//obl//31 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 fått//VB|SUP|AKT//acl:relcl//27 mandat//NN|NEU|PLU|IND|NOM//obj//31 att//IE//mark//34 belysa//VB|INF|AKT//xcomp//31 och//KN//cc//37 vi//PN|UTR|PLU|DEF|SUB//nsubj//37 hoppas//VB|PRS|SFO//conj//7 att//SN//mark//43 den//DT|UTR|SIN|DEF//det//41 här//AB//fixed//39 seminariedagen//NN|UTR|SIN|DEF|NOM//nsubj//43 ska//VB|PRS|AKT//aux//43 ge//VB|INF|AKT//ccomp//37 oss//PN|UTR|PLU|DEF|OBJ//iobj//43 värdefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 bidrag//NN|NEU|PLU|IND|NOM//obj//43 till//PP//case//50 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//50 arbete//NN|NEU|SIN|IND|NOM//nmod//46 .//MAD//punct//1
Inledning;Senast//AB|SUV//case//2 31//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//6 1999//RG|NOM//nummod//2 skall//VB|PRS|AKT//aux//6 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 överlämna//VB|INF|AKT//ROOT//6 sitt//PS|NEU|SIN|DEF//nmod:poss//8 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//6 .//MAD//punct//6
Inledning;För//PP//mark//12 att//IE//mark//12 ge//VB|INF|AKT//advcl//6 en//DT|UTR|SIN|IND//det//14 bild//NN|UTR|SIN|IND|NOM//obj//12 av//PP//case//16 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//14 som//HP|-|-|-//nsubj//20 är//VB|PRS|AKT//cop//20 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 arbetsuppgifter//NN|UTR|PLU|IND|NOM//obj//12 så//AB//advmod//24 vill//VB|PRS|AKT//aux//24 jag//PN|UTR|SIN|DEF|SUB//nsubj//24 saxa//VB|INF|AKT//advmod//12 några//DT|UTR/NEU|PLU|IND//det//26 uppgifter//NN|UTR|PLU|IND|NOM//obj//12 ur//PP//case//28 direktiven//NN|NEU|PLU|DEF|NOM//obl//12 .//MAD//punct//6
Inledning;Själva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 grundsatsen//NN|UTR|SIN|DEF|NOM//appos//6 är//VB|PRS|AKT//cop//31 att//SN//mark//36 vi//PN|UTR|PLU|DEF|SUB//nsubj//36 ska//VB|PRS|AKT//aux//36 belysa//VB|INF|AKT//csubj//31 de//DT|UTR/NEU|PLU|DEF//det//39 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 förutsättningar//NN|UTR|PLU|IND|NOM//obj//36 ,//MID//punct//41 problem//NN|NEU|PLU|IND|NOM//conj//39 och//KN//cc//43 möjligheter//NN|UTR|PLU|IND|NOM//conj//39 som//HP|-|-|-//obj//48 det//DT|NEU|SIN|DEF//det//47 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//47 folkstyret//NN|NEU|SIN|DEF|NOM//nsubj//48 möter//VB|PRS|AKT//acl:relcl//43 inför//PP//case//50 2000-talet//NN|NEU|SIN|DEF|NOM//obl//48 .//MAD//punct//31
Inledning;Utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//60 för//PP//case//55 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//55 arbete//NN|NEU|SIN|IND|NOM//nmod//52 bör//VB|PRS|AKT//aux//60 vara//VB|INF|AKT//cop//60 varje//DT|UTR/NEU|SIN|IND//det//59 medborgares//NN|UTR|SIN|IND|GEN//nmod:poss//60 rätt//NN|UTR|SIN|IND|NOM//conj//31 till//PP//case//63 full//JJ|POS|UTR|SIN|IND|NOM//amod//63 delaktighet//NN|UTR|SIN|IND|NOM//nmod//60 i//PP//case//65 samhället//NN|NEU|SIN|DEF|NOM//nmod//63 .//MAD//punct//6
Inledning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//3 ska//VB|PRS|AKT//aux//3 också//AB//advmod//3 summera//VB|INF|AKT//ROOT//3 och//KN//cc//5 värdera//VB|INF|AKT//conj//3 de//DT|UTR/NEU|PLU|DEF//det//8 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//8 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//9 demokratiutredningar//NN|UTR|PLU|IND|NOM//obj//5 och//KN//cc//11 demokratiforskning//NN|UTR|SIN|IND|NOM//conj//9 och//KN//cc//13 bedöma//VB|INF|AKT//conj//3 om//SN//mark//20 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 undersökningar//NN|UTR|PLU|IND|NOM//nsubj:pass//20 och//KN//cc//18 forskning//NN|UTR|SIN|IND|NOM//conj//16 bör//VB|PRS|AKT//aux//20 initieras//VB|INF|SFO//advcl//13 .//MAD//punct//3
Inledning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//24 skall//VB|PRS|AKT//aux//24 bedriva//VB|INF|AKT//conj//3 arbetet//NN|NEU|SIN|DEF|NOM//obj//24 så//SN//mark//37 att//SN//fixed//26 det//DT|NEU|SIN|DEF//det//30 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 samtalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//37 kring//PP//case//32 demokratin//NN|UTR|SIN|DEF|NOM//nmod//30 och//KN//cc//36 det//DT|NEU|SIN|DEF//det//36 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 folkstyret//NN|NEU|SIN|DEF|NOM//nsubj:pass//37 stimuleras//VB|INF|SFO//advcl//24 och//KN//cc//39 utvecklas//VB|INF|SFO//conj//37 .//MAD//punct//3
Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 är//VB|PRS|AKT//cop//45 denna//DT|UTR|SIN|DEF//det//45 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//45 sats//NN|UTR|SIN|IND|NOM//parataxis//3 som//HP|-|-|-//nsubj//48 är//VB|PRS|AKT//cop//48 anledningen//NN|UTR|SIN|DEF|NOM//acl:relcl//45 till//PP//mark//52 att//SN//mark//52 vi//PN|UTR|PLU|DEF|SUB//nsubj//52 arrangerar//VB|PRS|AKT//acl//48 seminarier//NN|NEU|PLU|IND|NOM//obj//52 av//PP//case//56 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 slag//NN|NEU|PLU|IND|NOM//nmod//53 runt//AB//advmod//53 om//AB//fixed//57 i//PP//case//60 landet//NN|NEU|SIN|DEF|NOM//obl//57 kring//PP//case//64 de//DT|UTR/NEU|PLU|DEF//det//64 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 ämnesområden//NN|NEU|PLU|IND|NOM//obl//52 som//HP|-|-|-//dislocated//68 vi//PN|UTR|PLU|DEF|SUB//nsubj//68 är//VB|PRS|AKT//cop//68 satta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//64 att//IE//mark//70 utreda//VB|INF|AKT//xcomp//68 .//MAD//punct//45
Inledning;Till//PP//case//74 dessa//DT|UTR/NEU|PLU|DEF//det//74 seminarier//NN|NEU|PLU|IND|NOM//obl//75 bjuder//VB|PRS|AKT//conj//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//75 in//PL//compound:prt//75 forskare//NN|UTR|PLU|IND|NOM//obj//75 och//KN//cc//80 idédebattörer//NN|UTR|PLU|IND|NOM//conj//78 att//IE//mark//82 bidra//VB|INF|AKT//acl//80 med//PP//case//85 sin//PS|UTR|SIN|DEF//nmod:poss//85 kunskap//NN|UTR|SIN|IND|NOM//obl//82 och//KN//cc//88 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//88 värderingar//NN|UTR|PLU|IND|NOM//conj//85 kring//PP//case//91 de//DT|UTR/NEU|PLU|DEF//det//91 frågor//NN|UTR|PLU|IND|NOM//nmod//88 som//HP|-|-|-//obj//94 vi//PN|UTR|PLU|DEF|SUB//nsubj//94 tycker//VB|PRS|AKT//acl:relcl//91 är//VB|PRS|AKT//cop//96 värdefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//75 att//IE//mark//98 samtala//VB|INF|AKT//acl//96 kring//PP//advmod//98 och//KN//cc//101 avsikten//NN|UTR|SIN|DEF|NOM//conj//99 är//VB|PRS|AKT//aux:pass//108 också//AB//advmod//108 att//SN//mark//108 varje//DT|UTR/NEU|SIN|IND//det//106 seminarium//NN|NEU|SIN|IND|NOM//nsubj:pass//108 skall//VB|PRS|AKT//aux//108 dokumenteras//VB|INF|SFO//conj//3 i//PP//case//110 form//NN|UTR|SIN|IND|NOM//obl//108 av//PP//case//113 en//DT|UTR|SIN|IND//det//113 skrift//NN|UTR|SIN|IND|NOM//nmod//110 .//MAD//punct//3
Inledning;I//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//2 sägs//VB|PRS|SFO//ROOT//2 också//AB//advmod//2 att//SN//mark//8 vårt//PS|NEU|SIN|DEF//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//8 skall//VB|PRS|AKT//aux//8 koncentreras//VB|INF|SFO//csubj//2 till//PP//case//10 följande//NN|NEU|SIN|IND|NOM//obl//8 ,//MID//punct//13 närmare//AB|KOM//advmod//13 bestämt//PC|PRF|NEU|SIN|IND|NOM//amod//16 fyra//RG|NOM//nummod//16 ,//MID//punct//14 områden//NN|NEU|PLU|IND|NOM//obl//8 .//MAD//punct//16
Inledning;"Ett//DT|NEU|SIN|IND//det//19 område//NN|NEU|SIN|IND|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 internationaliseringen//NN|UTR|SIN|DEF|NOM//nsubj//2 av//PP//case//23 ekonomin//NN|UTR|SIN|DEF|NOM//nmod//21 ;//MID//punct//25"
Inledning;ekonomi//NN|UTR|SIN|IND|NOM//conj//23 och//KN//cc//27 demokrati//NN|UTR|SIN|IND|NOM//conj//23 i//PP//case//29 samspel//NN|NEU|SIN|IND|NOM//nmod//27 .//MAD//punct//2
Inledning;I//PP//case//1 NLEDNING//NN|UTR|SIN|IND|NOM//ROOT//1
Inledning;"Ett//DT|NEU|SIN|IND//det//2 annan//JJ|POS|UTR|SIN|IND|NOM//amod//2 område//NN|NEU|SIN|IND|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 informations-//NN|UTR|-|-|SMS//nsubj//19 och//KN//cc//7 kommunikationsmönster//NN|UTR|PLU|IND|NOM//conj//5 ;//MID//punct//5"
Inledning;informationstekniken//NN|UTR|SIN|DEF|NOM//conj//5 och//KN//cc//13 det//DT|NEU|SIN|DEF//det//13 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 medialandskapet//NN|NEU|SIN|DEF|NOM//conj//9 .//MAD//punct//9
Inledning;"Ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//17 ett//DT|NEU|SIN|IND//det//17 område//NN|NEU|SIN|IND|NOM//conj//9 är//VB|PRS|AKT//cop//19 förändringarna//NN|UTR|PLU|DEF|NOM//ROOT//19 i//PP//case//23 den//DT|UTR|SIN|DEF//det//23 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 sektorn//NN|UTR|SIN|DEF|NOM//nmod//19 ;//MID//punct//19"
Inledning;utvecklingen//NN|UTR|SIN|DEF|NOM//appos//19 inom//PP//case//27 folkrörelserna//NN|UTR|PLU|DEF|NOM//nmod//25 och//KN//cc//35 sist//AB|SUV//advmod//32 men//KN//fixed//29 sannerligen//AB//fixed//29 inte//AB//advmod//33 minst//AB|SUV//advmod//35 ,//MID//punct//35 Sverige//PM|NOM//conj//27 i//PP//case//38 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 unionen//NN|UTR|SIN|DEF|NOM//nmod//35 .//MAD//punct//19
Inledning;Där//AB//advmod//44 har//VB|PRS|AKT//aux//44 vi//PN|UTR|PLU|DEF|SUB//nsubj//44 att//IE//mark//44 överväga//VB|INF|AKT//parataxis//19 på//PP//case//47 vilket//HD|NEU|SIN|IND//det//47 sätt//NN|NEU|SIN|IND|NOM//obl//44 ,//MID//punct//44 inom//PP//case//52 ramen//NN|UTR|SIN|DEF|NOM//fixed//49 för//PP//fixed//49 EU//PM|NOM//obl//44 ://MID//punct//52 s//NN|AN//case//56 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 beslutsformer//NN|UTR|PLU|IND|NOM//obl//60 ,//MID//punct//56 man//PN|UTR|SIN|IND|SUB//nsubj//60 kan//VB|PRS|AKT//aux//60 förbättra//VB|INF|AKT//parataxis//19 de//DT|UTR/NEU|PLU|DEF//det//63 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 medborgarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//64 inflytande//NN|NEU|SIN|IND|NOM//obj//60 över//PP//nmod//64 och//KN//cc//67 delaktighet//NN|UTR|SIN|IND|NOM//conj//64 i//PP//case//69 samarbetet//NN|NEU|SIN|DEF|NOM//nmod//67 inom//PP//case//71 EU//PM|NOM//nmod//69 .//MAD//punct//19
Inledning;I//PP//case//1 uppgiften//NN|UTR|SIN|DEF|NOM//obl//2 ingår//VB|PRS|AKT//ROOT//2 också//AB//advmod//2 att//IE//mark//5 belysa//VB|INF|AKT//xcomp//2 på//PP//case//8 vilket//HD|NEU|SIN|IND//det//8 sätt//NN|NEU|SIN|IND|NOM//obl//5 erfarenheterna//NN|UTR|PLU|DEF|NOM//obj//5 från//PP//case//11 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//14 och//KN//cc//13 regional//JJ|POS|UTR|SIN|IND|NOM//conj//11 verksamhet//NN|UTR|SIN|IND|NOM//obl//5 kan//VB|PRS|AKT//aux//16 tillföras//VB|INF|SFO//conj//2 EU-arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 och//KN//cc//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 är//VB|PRS|AKT//cop//24 just//AB//advmod//24 med//PP//case//24 den//DT|UTR|SIN|DEF//det//24 grundsatsen//NN|UTR|SIN|DEF|NOM//conj//2 som//KN//nsubj:pass//29 detta//DT|NEU|SIN|DEF//det//27 seminarium//NN|NEU|SIN|IND|NOM//nsubj:pass//29 nu//AB//advmod//29 arrangeras//VB|PRS|SFO//acl:relcl//24 och//KN//cc//32 jag//PN|UTR|SIN|DEF|SUB//nsubj//32 tror//VB|PRS|AKT//conj//2 att//SN//mark//36 vi//PN|UTR|PLU|DEF|SUB//nsubj//36 kan//VB|PRS|AKT//aux//36 se//VB|INF|AKT//ccomp//32 fram//PL//compound:prt//36 emot//PP//case//41 en//DT|UTR|SIN|IND//det//41 spännande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 dag//NN|UTR|SIN|IND|NOM//obl//36 där//HA//advmod//45 vi//PN|UTR|PLU|DEF|SUB//nsubj//45 kan//VB|PRS|AKT//aux//45 få//VB|INF|AKT//acl:relcl//41 fina//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 utblickar//NN|UTR|PLU|IND|NOM//obj//45 mot//PP//case//50 framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 Europa//PM|NOM//obl//45 och//KN//cc//54 framför//PP//case//54 allt//PN|NEU|SIN|IND|SUB/OBJ//det//54 demokratiaspekten//NN|UTR|SIN|DEF|NOM//conj//45 .//MAD//punct//2
Inledning;"Jag//PN|UTR|SIN|DEF|SUB//nsubj//57 tror//VB|PRS|AKT//parataxis//2 för//PP//case//60 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//60 del//NN|UTR|SIN|IND|NOM//obl//57 att//SN//mark//69 just//AB//advmod//63 EU//PM|NOM//nsubj//69 och//KN//cc//65 demokratin//NN|UTR|SIN|DEF|NOM//conj//63 kommer//VB|PRS|AKT//aux//69 att//IE//mark//69 vara//VB|INF|AKT//cop//69 en//PN|UTR|SIN|IND|SUB/OBJ//ccomp//57 av//PP//case//74 de//DT|UTR/NEU|PLU|DEF//det//74 allra//AB//advmod//73 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//74 frågorna//NN|UTR|PLU|DEF|NOM//nmod//69 framöver//AB//advmod//69 ;//MID//punct//57"
Inledning;hur//HA//advmod//81 människor//NN|UTR|PLU|IND|NOM//nsubj//81 kommer//VB|PRS|AKT//aux//81 att//IE//mark//81 uppleva//VB|INF|AKT//appos//57 demokratin//NN|UTR|SIN|DEF|NOM//obj//81 i//PP//case//84 samhället//NN|NEU|SIN|DEF|NOM//obl//81 .//MAD//punct//81
