Civilsamhället;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 forskarvolym//NN|NEU|SIN|IND|NOM//amod//2 VIII//RG|NOM//ROOT//2
Förord;Tack//NN|NEU|SIN|IND|NOM//mark//63 vare//VB|KON|PRS|AKT//mark//63 att//SN//mark//63 nästan//AB//advmod//58 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//63 som//HP|-|-|-//nsubj//61 blivit//VB|SUP|AKT//aux:pass//61 ombedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//58 också//AB//advmod//63 lämnat//VB|SUP|AKT//advcl//37 ett//DT|NEU|SIN|IND//det//65 bidrag//NN|NEU|SIN|IND|NOM//obj//63 har//VB|PRS|AKT//conj//2 denna//DT|UTR|SIN|DEF//det//75 breda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//75 ,//MID//punct//68 om//AB//mark//75 än//AB//case//75 långt//AB|POS//advmod//75 ifrån//PP//case//75 fullständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 exponering//NN|UTR|SIN|IND|NOM//obj//66 av//PP//case//79 vår//PS|UTR|SIN|DEF//nmod:poss//79 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//79 kunskap//NN|UTR|SIN|IND|NOM//nmod//75 om//PP//mark//82 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//82 blivit//VB|SUP|AKT//advcl//75 möjlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//82 .//MID//punct//2
Förord;Att//SN//mark//87 forskarna//NN|UTR|PLU|DEF|NOM//nsubj//87 ser//VB|PRS|AKT//csubj//103 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//87 som//KN//case//91 en//DT|UTR|SIN|IND//det//91 del//NN|UTR|SIN|IND|NOM//obl//87 av//PP//case//94 sin//PS|UTR|SIN|DEF//nmod:poss//94 yrkesroll//NN|UTR|SIN|IND|NOM//nmod//91 att//IE//mark//96 leverera//VB|INF|AKT//acl//91 underlag//NN|NEU|SIN|IND|NOM//obj//96 för//PP//case//101 det//DT|NEU|SIN|DEF//det//101 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//101 samtalet//NN|NEU|SIN|DEF|NOM//nmod//97 är//VB|PRS|AKT//cop//103 värt//JJ|POS|NEU|SIN|IND|NOM//conj//2 att//IE//mark//105 notera//VB|INF|AKT//advcl//103 med//PP//case//107 tillfredsställelse//NN|UTR|SIN|IND|NOM//obl//105 .//MID//punct//2
Förord;Inte//AB//advmod//114 för//PP//mark//114 att//SN//mark//114 forskarna//NN|UTR|PLU|DEF|NOM//nsubj//114 skulle//VB|PRT|AKT//aux//114 sitta//VB|INF|AKT//conj//2 inne//PL//compound:prt//114 med//PP//case//118 alla//DT|UTR/NEU|PLU|IND/DEF//det//118 svaren//NN|NEU|PLU|DEF|NOM//obl//114 .//MAD//punct//114
Förord;Men//KN//cc//136 för//PP//mark//131 att//SN//fixed//121 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//126 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 teoretiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 infallsvinklar//NN|UTR|PLU|IND|NOM//nsubj//131 och//KN//cc//128 verklighetsbilder//NN|UTR|PLU|IND|NOM//conj//126 kanske//AB//advmod//131 kan//VB|PRS|AKT//aux//131 göra//VB|INF|AKT//advcl//136 det//DT|NEU|SIN|DEF//det//134 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//134 samtalet//NN|NEU|SIN|DEF|NOM//obj//131 mer//AB|KOM//advmod//136 insiktsfullt//AB|POS//conj//114 .//MAD//punct//2
Förord;Förhoppningen//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 nu//AB//ROOT//2 att//SN//mark//8 dessa//DT|UTR/NEU|PLU|DEF//det//5 texter//NN|UTR|PLU|IND|NOM//nsubj:pass//8 ska//VB|PRS|AKT//aux//8 kunna//VB|INF|AKT//aux//8 läsas//VB|INF|SFO//advcl//2 med//PP//case//10 behållning//NN|UTR|SIN|IND|NOM//obl//8 även//AB//advmod//13 utanför//PP//case//13 forskarsamhället//NN|NEU|SIN|DEF|NOM//obl//8 .//MID//punct//2
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 betyder//VB|PRS|AKT//parataxis//2 inte//AB//advmod//16 att//SN//mark//20 författarna//NN|UTR|PLU|DEF|NOM//nsubj//20 förenklat//AB//ccomp//16 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 orsakssammanhang//NN|NEU|PLU|IND|NOM//obj//20 .//MAD//punct//16
Förord;Men//KN//cc//26 jag//PN|UTR|SIN|DEF|SUB//nsubj//26 bad//VB|PRT|AKT//conj//16 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//26 ”//PAD//punct//26 skriva//VB|INF|AKT//conj//26 så//AB//advmod//29 att//SN//mark//33 texten//NN|UTR|SIN|DEF|NOM//nsubj//33 blir//VB|PRS|AKT//advcl//29 läsbar//JJ|POS|UTR|SIN|IND|NOM//xcomp//33 för//PP//case//38 inte//AB//advmod//38 bara//AB//advmod//38 forskare//NN|UTR|PLU|IND|NOM//obl//33 inom//PP//case//41 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 ämnesområden//NN|NEU|PLU|IND|NOM//nmod//38 utan//KN//cc//47 även//AB//advmod//47 för//PP//case//47 en//DT|UTR|SIN|IND//det//47 allmänbildad//PC|PRF|UTR|SIN|IND|NOM//amod//47 medborgare//NN|UTR|SIN|IND|NOM//conj//38 .//MAD//punct//26
Förord;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 kan//VB|PRS|AKT//aux//51 kräva//VB|INF|AKT//parataxis//26 viss//JJ|POS|UTR|SIN|IND|NOM//amod//53 återhållsamhet//NN|UTR|SIN|IND|NOM//obj//51 med//PP//case//56 inomvetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 jargonger//NN|UTR|PLU|IND|NOM//obl//51 .//MAD//punct//51
Förord;Särskilt//AB//advmod//59 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 och//KN//cc//61 komplicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//59 tankegångar//NN|UTR|PLU|IND|NOM//nsubj//64 kan//VB|PRS|AKT//aux//64 behöva//VB|INF|AKT//parataxis//51 en//DT|UTR|SIN|IND//det//68 något//AB//advmod//67 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 pedagogisk//JJ|POS|UTR|SIN|IND|NOM//xcomp//64
Förord;F//PM|NOM//ROOT//0 ÖRORD//PC|PRF|UTR|SIN|IND|NOM//amod//2 omsorg//NN|UTR|SIN|IND|NOM//nmod//0 än//KN//case//5 vanligt//AB|POS//amod//5 ”//PAD//obl//0 .//MAD//punct//0
Förord;Av//PP//case//9 samma//DT|UTR/NEU|SIN/PLU|IND//det//9 skäl//NN|NEU|SIN|IND|NOM//obl//10 har//VB|PRS|AKT//parataxis//0 Eva//PM|NOM//nsubj//10 Dahlström//PM|NOM//flat:name//11 biträtt//VB|SUP|AKT//obj//10 med//PP//case//17 en//DT|UTR|SIN|IND//det//17 språklig//JJ|POS|UTR|SIN|IND|NOM//amod//17 granskning//NN|UTR|SIN|IND|NOM//obl//10 av//PP//case//22 nära//AB|POS//amod//22 nog//AB//advmod//22 alla//DT|UTR/NEU|PLU|IND/DEF//det//22 texter//NN|UTR|PLU|IND|NOM//nmod//17 i//PP//case//26 den//DT|UTR|SIN|DEF//det//26 här//AB//fixed//24 volymen//NN|UTR|SIN|DEF|NOM//nmod//22 .//MAD//punct//10
Förord;Civilsamhället//NN|NEU|SIN|DEF|NOM//nsubj//5 och//KN//cc//4 det//DT|NEU|SIN|DEF//det//4 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 kapitalet//NN|NEU|SIN|DEF|NOM//conj//0 blev//VB|PRT|AKT//ROOT//5 två//RG|NOM//xcomp//5 av//PP//case//11 nittiotalets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 mest//AB|SUV//advmod//10 använda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 begrepp//NN|NEU|SIN|IND|NOM//nmod//6 inom//PP//case//13 samhällsforskningen//NN|UTR|SIN|DEF|NOM//obl//5 .//MAD//punct//5
Förord;Båda//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//16 refererar//VB|PRS|AKT//parataxis//5 till//PP//compound:prt//16 hur//HA//advmod//29 och//KN//cc//24 var//VB|PRT|AKT//cop//24 någonstans//AB//advmod//24 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//24 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 värden//NN|NEU|PLU|IND|NOM//conj//18 ,//MID//punct//26 förhållningssätt//NN|NEU|PLU|IND|NOM//conj//18 och//KN//cc//28 färdigheter//NN|UTR|PLU|IND|NOM//conj//18 utvecklas//VB|PRS|SFO//ccomp//16 medborgare//NN|UTR|PLU|IND|NOM//nsubj:pass//29 emellan//PP//case//29 .//MID//punct//16
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//34 bygger//VB|PRS|AKT//parataxis//16 på//PP//case//37 en//DT|UTR|SIN|IND//det//37 insikt//NN|UTR|SIN|IND|NOM//obl//34 om//PP//mark//42 att//IE//mark//42 utan//PP//case//41 demokrater//NN|UTR|PLU|IND|NOM//obl//42 stannar//VB|PRS|AKT//acl//37 demokratin//NN|UTR|SIN|DEF|NOM//obj//42 .//MAD//punct//34
Förord;Mot//PP//case//46 medborgare//NN|UTR|PLU|IND|NOM//obl//34 som//HP|-|-|-//nsubj//56 varken//KN//cc//56 kan//VB|PRS|AKT//fixed//48 eller//KN//cc//52 vill//VB|PRS|AKT//aux//52 ta//VB|INF|AKT//conj//48 det//DT|NEU|SIN|DEF//det//54 ansvar//NN|NEU|SIN|IND|NOM//amod//55 folkstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//56 kräver//VB|PRS|AKT//acl:relcl//46 förslår//VB|PRS|AKT//xcomp//56 inga//DT|UTR/NEU|PLU|IND//det//59 institutionsbyggen//NN|UTR|SIN|DEF|NOM//nsubj//57 .//MAD//punct//34
Förord;Begreppen//NN|NEU|PLU|DEF|NOM//nsubj//62 rör//VB|PRS|AKT//conj//34 vid//PP//case//67 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//67 allra//AB//advmod//66 grannaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//67 rottrådar//NN|UTR|PLU|IND|NOM//obl//62 .//MAD//punct//62
Förord;När//HA//advmod//76 i//PP//fixed//69 synnerhet//NN|UTR|SIN|IND|NOM//fixed//70 begreppet//NN|NEU|SIN|DEF|NOM//nmod//74 ”//PAD//punct//74 civilsamhället//NN|NEU|SIN|DEF|NOM//nsubj:pass//76 ”//PM|NOM//punct//74 importerades//VB|PRT|SFO//advcl//79 till//PP//case//78 Sverige//PM|NOM//obl//76 blev//VB|PRT|AKT//advcl//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//79 emellertid//AB//advmod//79 ideologiskt//AB|POS//advmod//79 så//AB//advmod//84 exploaterat//PC|PRF|NEU|SIN|IND|NOM//xcomp//79 och//KN//cc//89 med//PP//case//87 tiden//NN|UTR|SIN|DEF|NOM//obl//89 så//AB//advmod//89 oklart//JJ|POS|NEU|SIN|IND|NOM//conj//79 ,//MID//punct//89 att//SN//mark//95 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//95 nära//AB|POS//advmod//95 nog//AB//advmod//95 föreföll//VB|PRT|AKT//ccomp//89 otjänligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//95 för//PP//case//99 vetenskapligt//JJ|POS|NEU|SIN|IND|NOM//amod//99 bruk//NN|NEU|SIN|IND|NOM//nmod//96 ,//MID//punct//106 vilket//HP|NEU|SIN|IND//obj//106 Lars//PM|NOM//nsubj//106 Trägårdh//PM|NOM//flat:name//102  //_SP////103 också//AB//advmod//106 påpekar//VB|PRS|AKT//advcl//95 i//PP//case//110 sitt//PS|NEU|SIN|DEF//nmod:poss//110 inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//110 kapitel//NN|NEU|SIN|IND|NOM//obl//106 .//MID//punct//5
Förord;Han//PN|UTR|SIN|DEF|SUB//nsubj//113 börjar//VB|PRS|AKT//parataxis//5 med//PP//mark//116 att//IE//mark//116 lokalisera//VB|INF|AKT//advcl//113 debatten//NN|UTR|SIN|DEF|NOM//obj//116 om//PP//case//119 civil-samhället//NN|NEU|SIN|DEF|NOM//nmod//117 i//PP//case//123 den//DT|UTR|SIN|DEF//det//123 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//123 samtiden//NN|UTR|SIN|DEF|NOM//nmod//119 .//MAD//punct//113
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//134 för//PP//case//127 honom//PN|UTR|SIN|DEF|OBJ//nmod//125 bland//PP//case//131 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//128 till//PP//fixed//128 östeuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//134 och//KN//cc//133 latinamerikanska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//131 dissidentmiljöer//NN|UTR|PLU|IND|NOM//parataxis//113 men//KN//cc//140 också//AB//advmod//140 till//PP//case//140 den//DT|UTR|SIN|DEF//det//140 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//140 vänster//JJ|POS|UTR|SIN|IND|NOM//conj//134 ///MID//cc//142 höger-debatten//NN|UTR|SIN|DEF|NOM//conj//140 .//MAD//punct//113
Förord;Därifrån//AB//advmod//145 försöker//VB|PRS|AKT//parataxis//113 han//PN|UTR|SIN|DEF|SUB//nsubj//145 historiskt//AB|POS//advmod//145 förklara//VB|INF|AKT//xcomp//145 hur//HA//advmod//165 det//DT|NEU|SIN|DEF//det//152 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//152 arvet//NN|NEU|SIN|DEF|NOM//nsubj//165 av//PP//case//157 både//KN//cc//157 en//DT|UTR|SIN|IND//det//157 stark//JJ|POS|UTR|SIN|IND|NOM//amod//157 stat//NN|UTR|SIN|IND|NOM//nmod//152 och//KN//cc//161 ett//DT|NEU|SIN|IND//det//161 brett//JJ|POS|NEU|SIN|IND|NOM//amod//161 deltagande//NN|NEU|SIN|IND|NOM//conj//157 i//PP//case//164 sockenstugans//NN|UTR|SIN|DEF|GEN//nmod:poss//164 angelägenheter//NN|UTR|PLU|IND|NOM//nmod//161 smält//VB|SUP|AKT//ccomp//148 samman//PL//compound:prt//165 i//PP//case//170 ett//DT|NEU|SIN|IND//det//170 statsbärande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//170 parti//NN|NEU|SIN|IND|NOM//obl//165 .//MAD//punct//113
Förord;Det//DT|NEU|SIN|DEF//det//174 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//174 civilsamhället//NN|NEU|SIN|DEF|NOM//nsubj//175 har//VB|PRS|AKT//parataxis//113 därigenom//AB//advmod//175 ,//MID//punct//178 anser//VB|PRS|AKT//parataxis//5 han//PN|UTR|SIN|DEF|SUB//nsubj//178 ,//MID//punct//178 en//DT|UTR|SIN|IND//det//184 mycket//AB|POS//advmod//183 stark//JJ|POS|UTR|SIN|IND|NOM//amod//184 koppling//NN|UTR|SIN|IND|NOM//obj//178 till//PP//case//190 ett//DT|NEU|SIN|IND//det//190 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//190 och//KN//cc//189 nationalstatligt//JJ|POS|NEU|SIN|IND|NOM//conj//187 projekt//NN|NEU|SIN|IND|NOM//nmod//184 .//MAD//punct//178
Förord;I//PP//case//198 jämförelse//NN|UTR|SIN|IND|NOM//fixed//192 med//PP//case//198 t.ex.//AB|AN//advmod//198 det//DT|NEU|SIN|DEF//det//198 tyska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//198 civilsamhället//NN|NEU|SIN|DEF|NOM//obl//200 har//VB|PRS|AKT//aux//200 däför//AB//parataxis//178 det//DT|NEU|SIN|DEF//det//204 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//204 betydligt//AB//advmod//204 svårare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//200 att//IE//mark//206 utvecklas//VB|INF|SFO//acl//204 mot//PP//case//212 en//DT|UTR|SIN|IND//det//212 transnationell//JJ|POS|UTR|SIN|IND|NOM//amod//212 ,//MID//punct//212 civil//JJ|POS|UTR|SIN|IND|NOM//amod//212 arena//NN|UTR|SIN|IND|NOM//obl//206 .//MID//punct//5
Förord;Somliga//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//215 menar//VB|PRS|AKT//parataxis//5 att//SN//mark//220 ekonomins//NN|UTR|SIN|DEF|GEN//nmod:poss//218 globalisering//NN|UTR|SIN|IND|NOM//nsubj:pass//220 kan//VB|PRS|AKT//aux//220 matchas//VB|INF|SFO//ccomp//215 av//PP//case//224 ett//DT|NEU|SIN|IND//det//224 globaliserat//PC|PRF|NEU|SIN|IND|NOM//amod//224 civilsamhälle//NN|NEU|SIN|IND|NOM//obl//220 .//MAD//punct//215
Förord;Men//KN//cc//228 ,//MID//punct//228 menar//VB|PRS|AKT//conj//5 Trägårdh//PM|NOM//nsubj//228 ,//MID//punct//228 den//DT|UTR|SIN|DEF//det//234 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//234 nationalstatscentrerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//234 traditionen//NN|UTR|SIN|DEF|NOM//nsubj//235 hämmar//VB|PRS|AKT//parataxis//228 en//DT|UTR|SIN|IND//det//238 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//238 utvidgning//NN|UTR|SIN|IND|NOM//obj//235 av//PP//case//241 folkstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//241 territorium//NN|NEU|SIN|IND|NOM//nmod//238 .//MAD//punct//228
Förord;Den//DT|UTR|SIN|DEF//det//246 något//AB//det//246 motsägelsefulla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//246 slutsatsen//NN|UTR|SIN|DEF|NOM//nsubj//249 skulle//VB|PRT|AKT//aux//249 alltså//AB//advmod//249 vara//VB|INF|AKT//parataxis//228 ,//MID//punct//249 att//SN//mark//256 ett//DT|NEU|SIN|IND//det//255 starkt//JJ|POS|NEU|SIN|IND|NOM//advmod//254 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//255 civilsamhälle//NN|NEU|SIN|IND|NOM//nsubj//256 motverkar//VB|PRS|AKT//ccomp//249 folkstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//258 utbredning//NN|UTR|SIN|IND|NOM//obj//256 .//MAD//punct//5
