Våra förslag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//7 om//PP//case//2 försäljning//NN|UTR|SIN|IND|NOM//nmod//0 av//PP//case//5 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//2 har//VB|PRS|AKT//aux//7 haft//VB|SUP|AKT//ROOT//7 i//PP//case//10 huvudsakligt//JJ|POS|NEU|SIN|IND|NOM//amod//10 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 dels//KN//advmod//14  //_SP////11 att//IE//mark//14 förbättra//VB|INF|AKT//advcl//7 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//14 för//PP//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 boende//NN|UTR|PLU|IND|NOM//nmod//15 i//PP//case//21 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//18 att//IE//mark//23 förvärva//VB|INF|AKT//advcl//14 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//25 hus//NN|NEU|PLU|IND|NOM//obj//23 för//PP//case//27 ombildning//NN|UTR|SIN|IND|NOM//obl//23 till//PP//case//30 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//30 hyresrätt//NN|UTR|SIN|IND|NOM//nmod//27 ,//MID//punct//7 dels//KN//advmod//35  //_SP////32 att//IE//mark//35 se//VB|INF|AKT//advcl//7 över//PL//compound:prt//35 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//35 för//PP//case//40 allmännyttiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 bostadsföretag//NN|NEU|PLU|IND|NOM//nmod//37 att//IE//mark//42 förvärva//VB|INF|AKT//advcl//35 bostäder//NN|UTR|PLU|IND|NOM//obj//42 eller//KN//cc//45 företag//NN|NEU|PLU|IND|NOM//conj//43 som//HP|-|-|-//nsubj:pass//48 skall//VB|PRS|AKT//aux//48 säljas//VB|INF|SFO//acl:relcl//45 .//MAD//punct//7

3. Ombildningslagen bör särskilt gynna kooperativa hyresrättsföreningar;Ombildningslagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 ändras//VB|INF|SFO//ROOT//2 för//PP//case//5 de//DT|UTR/NEU|PLU|DEF//det//5 fall//NN|NEU|PLU|IND|NOM//obl//2 där//HA//advmod//11 överlåtaren//NN|UTR|SIN|DEF|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 ett//DT|NEU|SIN|IND//det//11 kommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//11 bostadsföretag//NN|NEU|SIN|IND|NOM//obl//2 .//MAD//punct//2
3. Ombildningslagen bör särskilt gynna kooperativa hyresrättsföreningar;I//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 fallen//NN|NEU|PLU|DEF|NOM//obl//20 bör//VB|PRS|AKT//aux//20 de//DT|UTR/NEU|PLU|DEF//det//19 kooperativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 hyresrättsföreningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//20 gynnas//VB|PRS|SFO//parataxis//2 som//KN//mark//22 upplåtelseform//NN|UTR|SIN|IND|NOM//xcomp//20 genom//PP//mark//28 att//SN//mark//28 hyresgästerna//NN|UTR|PLU|DEF|NOM//nsubj//28 bara//AB//advmod//28 kan//VB|PRS|AKT//aux//28 utnyttja//VB|INF|AKT//advcl//20 sin//PS|UTR|SIN|DEF//nmod:poss//30 företrädesrätt//NN|UTR|SIN|IND|NOM//obj//28 enligt//PP//case//32 lagen//NN|UTR|SIN|DEF|NOM//obl//28 om//SN//mark//35 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//35 gör//VB|PRS|AKT//advcl//28 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//35 genom//PP//case//40 en//DT|UTR|SIN|IND//det//40 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//40 hyresrättsförening//NN|UTR|SIN|IND|NOM//obl//35 .//MAD//punct//2
3. Ombildningslagen bör särskilt gynna kooperativa hyresrättsföreningar;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//44 bör//VB|PRS|AKT//aux//44 alltså//AB//advmod//51 inte//AB//advmod//51 ,//MID//punct//45 som//HP|-|-|-//mark//48 hittills//AB//advcl//51 ,//MID//punct//51 kunna//VB|INF|AKT//aux//51 göra//VB|INF|AKT//parataxis//2 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//51 genom//PP//case//55 en//DT|UTR|SIN|IND//det//55 bostadsrättsförening//NN|UTR|SIN|IND|NOM//obl//51 i//PP//case//58 dessa//DT|UTR/NEU|PLU|DEF//det//58 fall//NN|NEU|PLU|IND|NOM//nmod//55 .//MAD//punct//2
3. Ombildningslagen bör särskilt gynna kooperativa hyresrättsföreningar;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//61 påverkar//VB|PRS|AKT//parataxis//2 inte//AB//advmod//61 hyresgästerna//NN|UTR|PLU|DEF|NOM//obj//61 i//PP//case//65 fastigheter//NN|UTR|PLU|IND|NOM//nmod//63 som//HP|-|-|-//nsubj:pass//67 ägs//VB|PRS|SFO//acl:relcl//65 av//PP//case//70 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 bostadsföretag//NN|NEU|PLU|IND|NOM//obl//67 .//MAD//punct//61

4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;Kooperativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 hyresrättsföreningar//NN|UTR|PLU|IND|NOM//nsubj//3 bör//VB|PRS|AKT//aux//3 bli//VB|INF|AKT//ROOT//3 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//3 att//IE//mark//6 ha//VB|INF|AKT//acl//4 system//NN|NEU|PLU|IND|NOM//obj//6 för//PP//case//9 fördelning//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//12 föreningens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 lägenheter//NN|UTR|PLU|IND|NOM//nmod//9 till//PP//case//14 medlemmar//NN|UTR|PLU|IND|NOM//nmod//12 i//PP//case//16 föreningen//NN|UTR|SIN|DEF|NOM//nmod//14 .//MAD//punct//3
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//22 bör//VB|PRS|AKT//aux//22 även//AB//advmod//22 vara//VB|INF|AKT//cop//22 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//3 att//IE//mark//24 ta//VB|INF|AKT//advcl//22 emot//PL//compound:prt//24 minst//AB|SUV//advmod//27 tre//RG|NOM//nummod//28 gånger//NN|UTR|PLU|IND|NOM//obl//29 så//AB//advmod//30 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 medlemmar//NN|UTR|PLU|IND|NOM//obj//24 som//HP|-|-|-//obl//34 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//34 har//VB|PRS|AKT//acl:relcl//31 kooperativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 hyresrättslägenheter//NN|UTR|PLU|IND|NOM//obj//34 .//MID//punct//22
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;Alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//43 i//PP//case//40 föreningen//NN|UTR|SIN|DEF|NOM//nmod//38 kommer//VB|PRS|AKT//aux//43 att//IE//mark//43 ha//VB|INF|AKT//parataxis//22 samma//DT|UTR/NEU|SIN/PLU|IND//det//45 rösträtt//NN|UTR|SIN|IND|NOM//obj//43 när//HA//mark//52 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//46 gäller//VB|PRS|AKT//fixed//46 beslut//NN|NEU|SIN|IND|NOM//obj//48 om//PP//mark//52 att//IE//mark//52 överlåta//VB|INF|AKT//advcl//43 föreningens//NN|UTR|SIN|DEF|GEN//nmod:poss//54 hus//NN|NEU|SIN|IND|NOM//obj//52 .//MAD//punct//43
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;De//DT|UTR/NEU|PLU|DEF//det//57 medlemmar//NN|UTR|PLU|IND|NOM//nsubj//69 som//HP|-|-|-//nsubj//59 står//VB|PRS|AKT//acl:relcl//57 i//PP//advmod//59 kö//NN|UTR|SIN|IND|NOM//fixed//60 för//PP//mark//64 att//IE//mark//64 få//VB|INF|AKT//advcl//59 en//DT|UTR|SIN|IND//det//66 lägenhet//NN|UTR|SIN|IND|NOM//obj//64 kommer//VB|PRS|AKT//aux//69 att//IE//mark//69 ha//VB|INF|AKT//parataxis//43 intresse//NN|NEU|SIN|IND|NOM//obj//69 av//PP//mark//75 att//SN//mark//75 föreningens//NN|UTR|SIN|DEF|GEN//nmod:poss//74 hus//NN|NEU|SIN|IND|NOM//nsubj//75 stannar//VB|PRS|AKT//acl//70 kvar//PL//compound:prt//75 i//PP//case//80 den//DT|UTR|SIN|DEF//det//80 kooperativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//80 hyresrättsföreningen//NN|UTR|SIN|DEF|NOM//obl//75 och//KN//cc//83 inte//AB//advmod//83 överlåts//VB|PRS|SFO//conj//75 till//PP//case//86 en//DT|UTR|SIN|IND//det//86 bostadsrättsförening//NN|UTR|SIN|IND|NOM//obl//83 .//MAD//punct//3
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;Genom//PP//case//1 införandet//NN|NEU|SIN|DEF|NOM//obl//7 av//PP//case//4 ett//DT|NEU|SIN|IND//det//4 system//NN|NEU|SIN|IND|NOM//nmod//1 för//PP//case//6 lägenhetsfördelning//NN|UTR|SIN|IND|NOM//nmod//4 förhindrar//VB|PRS|AKT//ROOT//7 vi//PN|UTR|PLU|DEF|SUB//nsubj//7 därmed//AB//advmod//7 ombildningar//NN|UTR|PLU|IND|NOM//obj//7 från//PP//case//13 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//13 hyresrätt//NN|UTR|SIN|IND|NOM//nmod//10 till//PP//case//15 bostadsrätt//NN|UTR|SIN|IND|NOM//obl//7 ,//MID//punct//7 vilket//HP|NEU|SIN|IND//nsubj//20 varit//VB|SUP|AKT//cop//20 en//DT|UTR|SIN|IND//det//20 del//NN|UTR|SIN|IND|NOM//appos//7 av//PP//case//23 vårt//PS|NEU|SIN|DEF//nmod:poss//23 uppdrag//NN|NEU|SIN|IND|NOM//nmod//20 .//MAD//punct//7
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;Dessutom//AB//advmod//26 ger//VB|PRS|AKT//parataxis//7 existensen//NN|UTR|SIN|DEF|NOM//obj//26 av//PP//case//29 fördelningssystem//NN|NEU|SIN|IND|NOM//nmod//27 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 möjligheter//NN|UTR|PLU|IND|NOM//obj//26 att//IE//mark//34 söka//VB|INF|AKT//acl//32 bostad//NN|UTR|SIN|IND|NOM//obj//34 .//MAD//punct//26
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;För//PP//mark//43 att//SN//fixed//37 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//43 inte//AB//advmod//43 skall//VB|PRS|AKT//aux//43 kunna//VB|INF|AKT//aux//43 kringgås//VB|INF|SFO//advcl//26 ,//MID//punct//26 föreslår//VB|PRS|AKT//parataxis//7 vi//PN|UTR|PLU|DEF|SUB//nsubj//45 att//SN//mark//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//49 kombineras//VB|PRS|SFO//ccomp//45 med//PP//case//52 ett//DT|NEU|SIN|IND//det//52 bestämmelse//NN|UTR|SIN|IND|NOM//obl//49 om//PP//mark//63 att//SN//mark//63 en//DT|UTR|SIN|IND//det//56 förening//NN|UTR|SIN|IND|NOM//nsubj//63 som//HP|-|-|-//nsubj//58 förvärvat//VB|SUP|AKT//acl:relcl//56 ett//DT|NEU|SIN|IND//det//60 hus//NN|NEU|SIN|IND|NOM//obj//58 inte//AB//advmod//63 får//VB|PRS|AKT//aux//63 överlåta//VB|INF|AKT//acl//52 huset//NN|NEU|SIN|DEF|NOM//obj//63 under//PP//case//68 det//DT|NEU|SIN|DEF//det//68 första//RO|NOM//amod//68 året//NN|NEU|SIN|DEF|NOM//obl//63 efter//PP//case//70 förvärvet//NN|NEU|SIN|DEF|NOM//nmod//68 .//MAD//punct//7
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar;Införandet//NN|NEU|SIN|DEF|NOM//nsubj//4 av//PP//case//3 ett//DT|NEU|SIN|IND//det//3 fördelningssystem//NN|NEU|SIN|IND|NOM//nmod//0 påverkar//VB|PRS|AKT//ROOT//4 inte//AB//advmod//4 de//DT|UTR/NEU|PLU|DEF//det//7 möjligheter//NN|UTR|PLU|IND|NOM//obj//4 till//PP//case//9 byte//NN|NEU|SIN|IND|NOM//nmod//7 och//KN//cc//11 övertagande//NN|NEU|SIN|IND|NOM//conj//9 av//PP//case//14 en//DT|UTR|SIN|IND//det//14 lägenhet//NN|UTR|SIN|IND|NOM//nmod//11 som//HP|-|-|-//obj//20 hyreslagen//NN|UTR|SIN|DEF|NOM//nsubj//20 i//PP//case//19 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 fall//NN|NEU|PLU|IND|NOM//obl//20 ger//VB|PRS|AKT//acl:relcl//14 hyresgästerna//NN|UTR|PLU|DEF|NOM//obj//20 .//MAD//punct//4

4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar / Den kommunala självstyrelsen;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//1 förslag//NN|NEU|PLU|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 väl//AB|POS//advmod//4 förenliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//4 med//PP//case//8 den//DT|UTR|SIN|DEF//det//8 grundlagsskyddade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//8 principen//NN|UTR|SIN|DEF|NOM//obl//4 om//PP//case//11 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//11 självstyrelse//NN|UTR|SIN|IND|NOM//nmod//8 .//MAD//punct//4

4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar / Framtiden;Skulle//VB|PRT|AKT//aux//7 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//2 förslag//NN|NEU|PLU|IND|NOM//nsubj//7 vid//PP//case//6 en//DT|UTR|SIN|IND//det//6 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 utvärdering//NN|UTR|SIN|IND|NOM//nmod//2 visa//VB|INF|AKT//advcl//17 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//7 ha//VB|INF|AKT//aux//10 haft//VB|SUP|AKT//xcomp//7 otillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 effekter//NN|UTR|PLU|IND|NOM//obj//10 ,//MID//punct//7 kan//VB|PRS|AKT//aux//17 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//17 behöva//VB|INF|AKT//aux:pass//17 övervägas//VB|INF|SFO//ROOT//17 om//SN//case//20 en//DT|UTR|SIN|IND//det//20 företrädesordning//NN|UTR|SIN|IND|NOM//nsubj:pass//22 skall//VB|PRS|AKT//aux//22 införas//VB|INF|SFO//conj//17 .//MAD//punct//17
4. Obligatoriskt system för lägenhetsfördelning samt minimiantal medlemmar i kooperativa hyresrättsföreningar / Framtiden;Vi//PN|UTR|PLU|DEF|SUB//nsubj//26 har//VB|PRS|AKT//aux//26 utvecklat//VB|SUP|AKT//parataxis//17 två//RG|NOM//nummod//28 förslag//NN|NEU|PLU|IND|NOM//obj//26 till//PP//case//30 företrädesordningar//NN|UTR|PLU|IND|NOM//nmod//28 .//MAD//punct//26
