5 UTÖ-modellen ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 beskrivs//VB|PRS|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//5 simuleringsmodell//NN|UTR|SIN|IND|NOM//nsubj:pass//3 som//HP|-|-|-//nsubj:pass//7 utvecklats//VB|SUP|SFO//acl:relcl//5 av//PP//case//9 UTÖ-utredningen//NN|UTR|SIN|DEF|NOM//obl:agent//7 .//MAD//punct//3
5 UTÖ-modellen ;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 år//NN|NEU|PLU|IND|NOM//appos//26 ,//MID//punct//32 när//HA//mark//36 utgifterna//NN|UTR|PLU|DEF|NOM//nsubj//36 överstiger//VB|PRS|AKT//advcl//26 avgiftsinkomsterna//NN|UTR|PLU|DEF|NOM//obj//36 ,//MID//punct//39 tas//VB|PRS|SFO//conj//26 medel//NN|NEU|SIN|IND|NOM//nsubj:pass//39 ur//PP//case//42 buffertfonden//NN|NEU|PLU|IND|NOM//obl//39 i//PP//case//44 anspråk//NN|NEU|SIN|IND|NOM//nmod//42 för//PP//case//46 utbetalning//NN|UTR|SIN|IND|NOM//nmod//44 av//PP//case//48 pension//NN|UTR|SIN|IND|NOM//nmod//46 .//MAD//punct//26
5 UTÖ-modellen ;Buffertfondens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 behållning//NN|UTR|SIN|IND|NOM//nsubj:pass//52 påverkas//VB|PRS|SFO//conj//26 dessutom//AB//advmod//52 av//PP//case//55 avkastningen//NN|UTR|SIN|DEF|NOM//obl:agent//52 på//PP//case//58 de//DT|UTR/NEU|PLU|DEF//det//58 tillgångar//NN|UTR|PLU|IND|NOM//nmod//55 som//HP|-|-|-//obj//61 fonden//NN|UTR|SIN|DEF|NOM//nsubj//61 placerar//VB|PRS|AKT//acl:relcl//58 i//PP//case//61 .//MAD//punct//26
5 UTÖ-modellen ;Dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//65 storlek//NN|UTR|SIN|IND|NOM//nsubj:pass//69 kommer//VB|PRS|AKT//aux//69 därför//AB//advmod//69 att//IE//mark//69 styras//VB|INF|SFO//conj//26 av//PP//case//74 såväl//KN//advmod//74 de//DT|UTR/NEU|PLU|DEF//det//74 årliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 avgiftsnettona//NN|NEU|PLU|DEF|NOM//obl:agent//69 som//HP|-|-|-//mark//76 avkastningen//NN|UTR|SIN|DEF|NOM//xcomp//69 på//PP//case//78 aktier//NN|UTR|PLU|IND|NOM//nmod//76 och//KN//cc//80 obligationer//NN|UTR|PLU|IND|NOM//conj//78 .//MAD//punct//5
5 UTÖ-modellen ;En//DT|UTR|SIN|IND//det//1 simuleringsmodell//NN|UTR|SIN|IND|NOM//nsubj//7 som//KN//case//3 år//NN|NEU|SIN|IND|NOM//nmod//1 för//PP//case//5 år//NN|NEU|SIN|IND|NOM//nmod//3 skall//VB|PRS|AKT//aux//7 avbilda//VB|INF|AKT//ROOT//7 hur//HA//advmod//12 befolkning//NN|UTR|SIN|IND|NOM//nsubj//12 och//KN//cc//11 samhällsekonomi//NN|UTR|SIN|IND|NOM//conj//9 bestämmer//VB|PRS|AKT//ccomp//7 in-//AB|SMS//obj//12 och//KN//cc//15 utbetalningar//NN|UTR|PLU|IND|NOM//conj//13 i//PP//case//18 ett//DT|NEU|SIN|IND//det//18 pensionssystem//NN|NEU|SIN|IND|NOM//nmod//15 och//KN//cc//25 hur//HA//advmod//25 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//25 i//PP//case//24 sin//PS|UTR|SIN|DEF//nmod:poss//24 tur//NN|UTR|SIN|IND|NOM//obl//25 styr//VB|PRS|AKT//conj//12 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//25 av//PP//case//29 systemets//NN|NEU|SIN|DEF|GEN//nmod:poss//29 tillgångar//NN|UTR|PLU|IND|NOM//nmod//26 och//KN//cc//31 skulder//NN|UTR|PLU|IND|NOM//conj//29 ,//MID//punct//35 bör//VB|PRS|AKT//aux//35 kunna//VB|INF|AKT//aux//35 beakta//VB|INF|AKT//conj//12 såväl//KN//advmod//37 trender//NN|UTR|PLU|IND|NOM//obj//35 som//KN//case//40 kortsiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 fluktuationer//NN|UTR|PLU|IND|NOM//nmod//37 .//MAD//punct//7
5 UTÖ-modellen ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//17 den//DT|UTR|SIN|DEF//det//4 metod//NN|UTR|SIN|IND|NOM//nsubj//17 med//PP//case//8 en//DT|UTR|SIN|IND//det//8 stokastisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 simuleringsmodell//NN|UTR|SIN|IND|NOM//nmod//4 som//HP|-|-|-//nsubj:pass//10 presenterats//VB|SUP|SFO//acl:relcl//8 i//PP//case//13 kapitel//NN|NEU|SIN|IND|NOM//nmod//13 4//RG|NOM//obl//10 är//VB|PRS|AKT//cop//17 den//DT|UTR|SIN|DEF//det//17 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 möjligheten//NN|UTR|SIN|DEF|NOM//ccomp//1 att//IE//mark//25 ,//MID//punct//25 om//AB//mark//25 än//AB//mark//23 utan//PP//case//23 exakthet//NN|UTR|SIN|IND|NOM//advcl//25 ,//MID//punct//25 avspegla//VB|INF|AKT//acl//17 de//DT|UTR/NEU|PLU|DEF//det//27 konsekvenser//NN|UTR|PLU|IND|NOM//obj//25 som//HP|-|-|-//obl//32 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 utdelningsbestämmelser//NN|UTR|PLU|IND|NOM//nsubj//32 kan//VB|PRS|AKT//aux//32 ge//VB|INF|AKT//acl:relcl//27 upphov//NN|NEU|SIN|IND|NOM//obj//32 till//PP//case//28 .//MAD//punct//1
5 UTÖ-modellen ;Hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//38 måste//VB|PRS|AKT//aux//38 tas//VB|INF|SFO//conj//1 till//PP//case//40 risken//NN|UTR|SIN|DEF|NOM//obl//38 att//SN//mark//44 utdelning//NN|UTR|SIN|IND|NOM//nsubj//44 kan//VB|PRS|AKT//aux//44 leda//VB|INF|AKT//acl//40 till//PP//case//47 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//47 situationer//NN|UTR|PLU|IND|NOM//obl//44 med//PP//case//49 underskott//NN|NEU|SIN|IND|NOM//nmod//47 i//PP//case//51 framtiden//NN|UTR|SIN|DEF|NOM//nmod//49 .//MAD//punct//38
5 UTÖ-modellen ;Utifrån//PP//case//54 simuleringsresultat//NN|NEU|PLU|IND|NOM//obl//55 drar//VB|PRS|AKT//conj//1 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//55 i//PP//case//60 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 kapitel//NN|NEU|SIN|IND|NOM//nmod:poss//60 slutsatser//NN|UTR|PLU|IND|NOM//obl//55 om//PP//case//62 lämpligheten//NN|UTR|SIN|DEF|NOM//nmod//60 av//PP//case//65 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 balanstalsgränser//NN|UTR|PLU|IND|NOM//nmod//62 för//PP//case//67 utdelning//NN|UTR|SIN|IND|NOM//nmod//65 .//MAD//punct//1
5 UTÖ-modellen ;Syftet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 med//PP//case//2 modellen//NN|UTR|SIN|DEF|NOM//nmod//0 kan//VB|PRS|AKT//aux//4 sammanfattas//VB|INF|SFO//ROOT//4 som//KN//nsubj//6 följer//VB|PRS|AKT//advcl//4 ://MAD//punct//4
5 UTÖ-modellen ;•//NN|UTR|SIN|IND|NOM//mark//3 Modellen//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 visa//VB|INF|AKT//ROOT//3 hur//HA//advmod//9  //_SP////4 systemets//NN|NEU|SIN|DEF|GEN//nmod:poss//9  //_SP////6 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 ställning//NN|UTR|SIN|IND|NOM//obj//3 i//PP//case//11 termer//NN|UTR|PLU|IND|NOM//nmod//9 av//PP//case//14 årliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 in-//AB|SMS//nmod//11 och//KN//cc//16 utbetalningar//NN|UTR|PLU|IND|NOM//conj//14 ,//MID//punct//18 buffertfond//NN|UTR|SIN|IND|NOM//conj//14 ,//MID//punct//20 avgiftstillgång//NN|UTR|SIN|IND|NOM//conj//14 och//KN//cc//22 pensionsskuld//NN|UTR|SIN|IND|NOM//conj//14 utvecklas//VB|PRS|SFO//xcomp//3 över//PP//case//25 tid//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//3
5 UTÖ-modellen ;Hur//HA//advmod//28 utvecklas//VB|PRS|SFO//parataxis//3 balanstalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//28 och//KN//cc//32 därmed//AB//advmod//32 risken//NN|UTR|SIN|DEF|NOM//conj//28 för//PP//case//34 underskottsbalansering//NN|UTR|SIN|IND|NOM//nmod//32 ?//MID//punct//32
5 UTÖ-modellen ;Hur//HA//advmod//37 ofta//AB|POS//advmod//38 uppkommer//VB|PRS|AKT//parataxis//32 situationer//NN|UTR|PLU|IND|NOM//obj//38 med//PP//case//42 utdelningsbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 överskott//NN|NEU|PLU|IND|NOM//nmod//39 ?//MAD//punct//28
5 UTÖ-modellen ;•//NN|UTR|SIN|IND|NOM//advmod//4 Modellen//NN|UTR|SIN|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 kunna//VB|INF|AKT//aux//4 belysa//VB|INF|AKT//ROOT//4 utfall//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//9 form//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 resultat//NN|NEU|SIN|IND|NOM//nmod//5 för//PP//fixed//5  //_SP////10 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//13 försäkrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//4 .//MAD//punct//4
5 UTÖ-modellen ; //_SP////14 Hur//HA//advmod//17 påverkas//VB|PRS|SFO//parataxis//4 pensionernas//NN|UTR|PLU|DEF|GEN//nmod:poss//19 nivå//NN|UTR|SIN|IND|NOM//nsubj:pass//17 av//PP//case//21 underskottsbalanseringar//NN|UTR|PLU|IND|NOM//nmod//19 och//KN//cc//23 överskottbalanseringar//NN|UTR|PLU|IND|NOM//conj//21 ?//MID//punct//25
5 UTÖ-modellen ;Uppkommer//VB|PRS|AKT//parataxis//4 konsekvenser//NN|UTR|PLU|IND|NOM//obj//25 i//PP//case//28 form//NN|UTR|SIN|IND|NOM//nmod//26 av//PP//case//30 orättvisa//NN|UTR|SIN|IND|NOM//nmod//28 mellan//PP//case//32 generationer//NN|UTR|PLU|IND|NOM//nmod//30 ?//MID//punct//25
5 UTÖ-modellen ;5.2//RG|NOM//nummod//35 Modellegenskaper//NN|UTR|PLU|IND|NOM//appos//25
5 UTÖ-modellen ;I//PP//case//2 en//DT|UTR|SIN|IND//det//2 modell//NN|UTR|SIN|IND|NOM//obl//7 för//PP//case//4 framskrivning//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 förlopp//NN|NEU|SIN|IND|NOM//nmod//4 finns//VB|PRS|SFO//advcl//55 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 variabler//NN|UTR|PLU|IND|NOM//nsubj//7 som//HP|-|-|-//nsubj//14 för//PP//case//13 varje//DT|UTR/NEU|SIN|IND//det//13 år//NN|NEU|SIN|IND|NOM//obl//14 antar//VB|PRS|AKT//acl:relcl//9 ett//DT|NEU|SIN|IND//det//16 värde//NN|NEU|SIN|IND|NOM//obj//14 .//MAD//punct//7
5 UTÖ-modellen ;Exempel//NN|NEU|SIN|IND|NOM//nsubj//26 på//PP//case//21 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//21 variabler//NN|UTR|PLU|IND|NOM//nmod//18 i//PP//case//23 UTÖmodellen//NN|UTR|SIN|DEF|NOM//nmod//21 är//VB|PRS|AKT//cop//26 årlig//JJ|POS|UTR|SIN|IND|NOM//amod//26 pensionsutbetalning//NN|UTR|SIN|IND|NOM//parataxis//7 ,//MID//punct//26 årlig//JJ|POS|UTR|SIN|IND|NOM//amod//29 avgiftsinkomst//NN|UTR|SIN|IND|NOM//conj//26 ,//MID//punct//31 tillgångar//NN|UTR|PLU|IND|NOM//conj//26 i//PP//case//33 buffertfonden//NN|NEU|PLU|IND|NOM//nmod//31 ,//MID//punct//36 antal//NN|NEU|SIN|IND|NOM//nmod//36 sysselsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//26 och//KN//cc//39 antal//NN|NEU|PLU|IND|NOM//nmod//39 pensionärer//NN|UTR|PLU|IND|NOM//conj//26 .//MAD//punct//26
5 UTÖ-modellen ;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 variabler//NN|UTR|PLU|IND|NOM//nsubj//46 i//PP//case//44 modellen//NN|UTR|SIN|DEF|NOM//nmod//42 är//VB|PRS|AKT//cop//46 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 av//PP//case//50 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 variablers//NN|UTR|PLU|IND|GEN//nmod:poss//50 utfall//NN|NEU|PLU|IND|NOM//obl//46 .//MAD//punct//26
5 UTÖ-modellen ;I//PP//case//54 en//DT|UTR|SIN|IND//det//54 modell//NN|UTR|SIN|IND|NOM//obl//55 skiljer//VB|PRS|AKT//ROOT//55 man//PN|UTR|SIN|IND|SUB//nsubj//55 på//PP//case//58 endogena//NN|NEU|PLU|DEF|NOM//obl//55 och//KN//cc//61 exogena//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 variabler//NN|UTR|PLU|IND|NOM//conj//58 .//MAD//punct//55
5 UTÖ-modellen ;En//DT|UTR|SIN|IND//det//64 exogen//JJ|POS|UTR|SIN|IND|NOM//nsubj//86 variabels//NN|UTR|SIN|IND|GEN//det//66 värde//NN|NEU|SIN|IND|NOM//nsubj//70 är//VB|PRS|AKT//cop//70 i//PP//case//69 modellen//NN|UTR|SIN|DEF|NOM//obl//70 bestämt//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//64 på//PP//compound:prt//70 förhand//NN|UTR|SIN|IND|NOM//fixed//71 och//KN//cc//74 påverkas//VB|PRS|SFO//conj//70 därför//AB//advmod//74 inte//AB//advmod//74 av//PP//case//78 framskrivningen//NN|UTR|SIN|DEF|NOM//obl//74 i//PP//case//80 modellen//NN|UTR|SIN|DEF|NOM//nmod//78 .//MAD//punct//64
5 UTÖ-modellen ;Endogena//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 variablers//NN|UTR|PLU|IND|GEN//nmod:poss//84 värde//NN|NEU|SIN|IND|NOM//nsubj//86 är//VB|PRS|AKT//cop//86 resultat//NN|NEU|SIN|IND|NOM//parataxis//55 av//PP//case//88 modellberäkningen//NN|UTR|SIN|DEF|NOM//nmod//86 .//MAD//punct//55
5 UTÖ-modellen ;Befolkningsutveckling//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 sysselsättning//NN|UTR|SIN|IND|NOM//conj//0
5 UTÖ-modellen ;I//PP//case//1 UTÖ-modellen//NN|UTR|SIN|DEF|NOM//obl//5 är//VB|PRS|AKT//cop//5 befolkningsutvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//5 exogent//AB|POS//advmod//5 given//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 i//PP//case//9 form//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 SCB//PM|NOM//obl//5 ://MID//punct//9 s//PP//case//12 befolkningsprognos//NN|UTR|SIN|IND|NOM//obl//5 från//PP//case//15 år//NN|NEU|SIN|IND|NOM//nmod//15 2003//RG|NOM//nmod//12 .//MAD//punct//5
5 UTÖ-modellen ;Antalet//NN|NEU|SIN|DEF|NOM//nmod//18 individer//NN|UTR|PLU|IND|NOM//nsubj:pass//22 i//PP//case//21 respektive//AB//amod//21 ålder//NN|UTR|SIN|IND|NOM//nmod//18 styrs//VB|PRS|SFO//parataxis//5 alltså//AB//advmod//22 av//PP//case//27 de//DT|UTR/NEU|PLU|DEF//det//26 antaganden//NN|NEU|PLU|IND|NOM//nmod//27 SCB//PM|NOM//obl//22 gjort//VB|SUP|AKT//advcl//22 om//PP//case//30 födelsetal//NN|NEU|SIN|IND|NOM//obl//28 ,//MID//punct//32 livslängdsförändring//NN|UTR|SIN|IND|NOM//conj//30 samt//KN//cc//34 in-//AB|SMS//conj//30 och//KN//cc//36 utvandring//NN|UTR|SIN|IND|NOM//conj//30 under//PP//case//38 perioden//NN|UTR|SIN|DEF|NOM//nmod//36 fram//AB//advmod//42 till//PP//case//42 år//NN|NEU|SIN|IND|NOM//nmod//42 2050//RG|NOM//obl//28 .//MAD//punct//22
5 UTÖ-modellen ;I//PP//case//45 SCB//PM|NOM//obl//49 ://MID//punct//45 s//NN|NEU|SIN|IND|GEN//nummod//48 prognos//NN|UTR|SIN|IND|NOM//appos//45 antas//VB|PRS|SFO//conj//22 nativiteten//NN|UTR|SIN|DEF|NOM//nsubj:pass//49 öka//VB|INF|AKT//xcomp//49 från//PP//case//55 2002//RG|NOM//nummod//54 års//NN|NEU|SIN|IND|GEN//nmod:poss//55 nivå//NN|UTR|SIN|IND|NOM//obl//51 på//PP//case//58 1,65//RG|NOM//amod//58 barn//NN|NEU|PLU|IND|NOM//nmod//55 per//PP//case//60 kvinna//NN|UTR|SIN|IND|NOM//nmod//58 till//PP//case//64 1,86//RG|NOM//nummod//63 år//NN|NEU|SIN|IND|NOM//nmod//64 2010//RG|NOM//obl//51 och//KN//cc//67 därefter//AB//advmod//67 ligga//VB|INF|AKT//conj//49 kvar//PL//compound:prt//67 på//PP//case//71 den//DT|UTR|SIN|DEF//det//71 nivån//NN|UTR|SIN|DEF|NOM//obl//67 .//MAD//punct//5
