4WFOTL  LPE  GÚS   CPMBHTTUZSOJOH ;&//KN|AN//cc//2 ÚRSLAG//JJ|POS|UTR/NEU|SIN|DEF|NOM//mark//2 FRÍN//PM|NOM//ROOT//2 +//MID//cc//4 ODGRUPPEN//PM|NOM//conj//2
Förord;Rolf//PM|NOM//nsubj//61 Skog//PM|NOM//flat:name//55 och//KN//cc//58 Per//PM|NOM//conj//55 Thorell//PM|NOM//flat:name//58 har//VB|PRS|AKT//aux//61 medverkat//VB|SUP|AKT//parataxis//50 som//KN//mark//63 experter//NN|UTR|PLU|IND|NOM//obl//61 .//MAD//punct//61
Förord;Sekretariatet//NN|NEU|SIN|DEF|NOM//nsubj//67 har//VB|PRS|AKT//aux//67 bestått//VB|SUP|AKT//conj//4 av//PP//case//69 Per//PM|NOM//obl//67 Lekvall//PM|NOM//flat//69 ,//MID//punct//72 huvudsekreterare//NN|UTR|SIN|IND|NOM//conj//69 ,//MID//punct//77 samt//KN//cc//77 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//76 sekreterarna//NN|UTR|PLU|DEF|NOM//nmod//77 Mårten//PM|NOM//conj//69 Steen//PM|NOM//flat:name//77 från//PP//case//80 oktober//NN|UTR|SIN|IND|NOM//nmod//69 till//PP//case//82 november//NN|UTR|SIN|IND|NOM//nmod//69 2003//RG|NOM//nummod//82 och//KN//cc//86 därefter//AB//advmod//86 Björn//PM|NOM//conj//69 Kristiansson//PM|NOM//flat:name//86 .//MAD//punct//67
Förord;Kodgruppen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 sammanträtt//VB|SUP|AKT//ROOT//2 åtta//RG|NOM//nummod//4 gånger//NN|UTR|PLU|IND|NOM//obl//2 under//PP//case//6 perioden//NN|UTR|SIN|DEF|NOM//obl//2 oktober//NN|UTR|SIN|IND|NOM//case//8 2003–april//RG|NOM//nmod//6 2004//RG|NOM//nummod//8 .//MAD//punct//2
Förord;Förtroendekommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 referensgrupp//NN|UTR|SIN|IND|NOM//nsubj//13 har//VB|PRS|AKT//parataxis//2 vid//PP//case//16 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//16 sammanträden//NN|NEU|PLU|IND|NOM//obl//17 behandlat//VB|SUP|AKT//conj//2 koden//NN|UTR|SIN|DEF|NOM//obj//17 i//PP//case//21 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 utvecklingsstadier//NN|NEU|PLU|IND|NOM//obl//17 .//MAD//punct//2
Förord;Tre//RG|NOM//nummod//24 externa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod:poss//25 referensmöten//NN|NEU|PLU|DEF|NOM//nsubj:pass//27 har//VB|PRS|AKT//aux//27 hållits//VB|SUP|SFO//parataxis//2 ,//MID//punct//27 ett//PN|NEU|SIN|IND|SUB/OBJ//conj//27 med//PP//case//33 en//DT|UTR|SIN|IND//det//32 grupp//NN|UTR|SIN|IND|NOM//nmod//33 bolagsjurister//NN|UTR|PLU|IND|NOM//nmod//29 ,//MID//punct//27 ett//RG|NEU|SIN|IND|NOM//conj//27 med//PP//case//37 experter//NN|UTR|PLU|IND|NOM//nmod//35 inom//PP//case//39 redovisning//NN|UTR|SIN|IND|NOM//nmod//37 och//KN//cc//41 revision//NN|UTR|SIN|IND|NOM//conj//39 och//KN//cc//43 ett//PN|NEU|SIN|IND|SUB/OBJ//conj//37 med//PP//case//45 företrädare//NN|UTR|PLU|IND|NOM//nmod//43 för//PP//case//51 de//DT|UTR/NEU|PLU|DEF//det//51 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 institutionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 ägarna//NN|UTR|PLU|DEF|NOM//nmod//45 .//MAD//punct//2
Förord;Vår//PS|UTR|SIN|DEF//nmod:poss//1 avsikt//NN|UTR|SIN|IND|NOM//nsubj//57 är//VB|PRS|AKT//cop//1 att//SN//mark//8 den//DT|UTR|SIN|DEF//det//6 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 koden//NN|UTR|SIN|DEF|NOM//nsubj//8 skall//VB|PRS|AKT//aux//8 bli//VB|INF|AKT//csubj//1 föremål//NN|NEU|SIN|IND|NOM//xcomp//8 för//PP//case//12 såväl//KN//amod//12 remissbehandling//NN|UTR|SIN|IND|NOM//nmod//9 som//KN//cc//16 en//DT|UTR|SIN|IND//det//16 bred//JJ|POS|UTR|SIN|IND|NOM//amod//16 diskussion//NN|UTR|SIN|IND|NOM//obl//8 och//KN//cc//18 debatt//NN|UTR|SIN|IND|NOM//conj//16 inom//PP//case//20 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//18 och//KN//cc//22 samhället//NN|NEU|SIN|DEF|NOM//conj//20 i//PP//advmod//8 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//23 .//MAD//punct//1
Förord;Vi//PN|UTR|PLU|DEF|SUB//nsubj//27 inbjuder//VB|PRS|AKT//parataxis//1 alla//DT|UTR/NEU|PLU|IND/DEF//det//30 intresserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//30 parter//NN|UTR|PLU|IND|NOM//obj//27 att//IE//mark//32 inkomma//VB|INF|AKT//acl//30 med//PP//case//34 kommentarer//NN|UTR|PLU|IND|NOM//obl//32 och//KN//cc//36 förslag//NN|NEU|PLU|IND|NOM//conj//34 till//PP//case//38 förbättringar//NN|UTR|PLU|IND|NOM//nmod//36 .//MAD//punct//27
Förord;Inkomna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//41 synpunkter//NN|UTR|PLU|IND|NOM//nsubj//42 kommer//VB|PRS|AKT//aux//47 under//PP//case//44 hösten//NN|UTR|SIN|DEF|NOM//obl//47 2004//RG|NOM//nummod//44 att//IE//mark//47 sammanställas//VB|INF|SFO//conj//27 och//KN//cc//49 läggas//VB|INF|SFO//conj//47 till//PP//case//55 grund//NN|UTR|SIN|IND|NOM//fixed//50 för//PP//fixed//50 kodens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 slutliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 utformning//NN|UTR|SIN|IND|NOM//obl//49 .//MAD//punct//27
Förord;Avsikten//NN|UTR|SIN|DEF|NOM//ROOT//57 är//VB|PRS|AKT//cop//57 att//SN//mark//64 koden//NN|UTR|SIN|DEF|NOM//nsubj:pass//64 därefter//AB//advmod//64 skall//VB|PRS|AKT//aux//64 kunna//VB|INF|AKT//aux//64 tillämpas//VB|INF|SFO//ccomp//57 från//PP//case//68 och//KN//cc//67 med//PP//conj//65 2005//RG|NOM//obl//64 .//MAD//punct//57
Förord;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 21//RG|NOM//nummod//3 april//NN|UTR|SIN|IND|NOM//obj//0 2004//RG|NOM//nummod//3
Förord;Erik//PM|NOM//ROOT//0 Åsbrink//PM|NOM//flat:name//0

I. Inledning;Corporate//PM|NOM//nmod:poss//1 governance//UO//nsubj//11 ,//MID//punct//4 eller//KN//cc//4 bolagsstyrning//NN|UTR|SIN|IND|NOM//conj//1  //_SP////4 med//PP//case//9 en//DT|UTR|SIN|IND//det//9 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//9 term//NN|UTR|SIN|IND|NOM//nmod//4 ,//MID//punct//1 handlar//VB|PRS|AKT//ROOT//11 om//PP//mark//15 att//SN//mark//15 bolagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//15 styrs//VB|PRS|SFO//advcl//11 på//PP//case//18 ett//DT|NEU|SIN|IND//det//18 sätt//NN|NEU|SIN|IND|NOM//obl//15 som//HP|-|-|-//nsubj//20 gör//VB|PRS|AKT//acl:relcl//18 att//SN//mark//23 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//23 uppfyller//VB|PRS|AKT//ccomp//20 ägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//25 krav//NN|NEU|PLU|IND|NOM//obj//23 på//PP//case//27 avkastning//NN|UTR|SIN|IND|NOM//obl//23 på//PP//case//31 det//DT|NEU|SIN|DEF//det//31 investerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//31 kapitalet//NN|NEU|SIN|DEF|NOM//nmod//27 och//KN//cc//34 därigenom//AB//advmod//34 bidrar//VB|PRS|AKT//conj//23 till//PP//case//37 samhällsekonomins//NN|UTR|SIN|DEF|GEN//nmod:poss//37 effektivitet//NN|UTR|SIN|IND|NOM//obl//34 och//KN//cc//39 tillväxt//NN|UTR|SIN|IND|NOM//conj//37 .//MAD//punct//11
I. Inledning;Det//DT|NEU|SIN|DEF//det//2 moderna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 corporate//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod:poss//3 governance-synsättet//NN|NEU|SIN|DEF|NOM//nsubj//4 växte//VB|PRT|AKT//ROOT//4 fram//PL//advmod//4 i//PP//case//7 USA//PM|NOM//obl//4 i//PP//case//9 mitten//NN|UTR|SIN|DEF|NOM//obl//4 av//PP//case//11 1980-talet//NN|NEU|SIN|DEF|NOM//nmod//9 som//KN//case//14 en//DT|UTR|SIN|IND//det//14 reaktion//NN|UTR|SIN|IND|NOM//obl//4 från//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//18 institutionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 ägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//19 sida//NN|UTR|SIN|IND|NOM//nmod//14 mot//PP//case//24 självsvåldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 och//KN//cc//23 egenmäktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//21 bolagsledningar//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//4
I. Inledning;I//PP//case//27 Europa//PM|NOM//obl//28 kom//VB|PRT|AKT//conj//4 genombrottet//NN|NEU|SIN|DEF|NOM//nsubj//28 i//PP//case//31 början//NN|UTR|SIN|DEF|NOM//obl//28 av//PP//case//33 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//31 i//PP//case//35 samband//NN|NEU|SIN|IND|NOM//nmod//33 med//PP//case//38 ett//DT|NEU|SIN|IND//det//38 antal//NN|NEU|SIN|IND|NOM//obl//39 uppmärksammade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//28 bolagsskandaler//NN|UTR|PLU|IND|NOM//xcomp//39 i//PP//case//43 främst//AB|SUV//advmod//43 Storbritannien//PM|NOM//obl//39 ,//MID//punct//46 vilket//HP|NEU|SIN|IND//nsubj//46 ledde//VB|PRT|AKT//advcl//28 till//PP//compound:prt//46 att//SN//mark//52 den//DT|UTR|SIN|DEF//det//51 s.k.//AB|AN//amod//51 Cadbury-rapporten//NN|UTR|SIN|DEF|NOM//nsubj:pass//52 utarbetades//VB|PRT|SFO//ccomp//46 1992//RG|NOM//nummod//52 .//MAD//punct//4
I. Inledning;Därefter//AB//advmod//59 har//VB|PRS|AKT//aux//59 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//59 varit//VB|SUP|AKT//cop//59 snabb//JJ|POS|UTR|SIN|IND|NOM//conj//4 och//KN//cc//63 bland//PP//advmod//63 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//61 lett//VB|SUP|AKT//conj//59 till//PP//case//65 utarbetandet//NN|NEU|SIN|DEF|NOM//obl//63 av//PP//case//72 mer//AB|KOM//advmod//70 eller//KN//fixed//67 mindre//AB|KOM//fixed//67 officiellt//AB|POS//advmod//71 sanktionerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//72 koder//NN|UTR|PLU|IND|NOM//nmod//65 för//PP//case//74 bolagsstyrning//NN|UTR|SIN|IND|NOM//nmod//72 i//PP//case//79 ett//DT|NEU|SIN|IND//det//78 stort//JJ|POS|NEU|SIN|IND|NOM//amod//78 antal//NN|NEU|SIN|IND|NOM//nmod//79 länder//NN|NEU|PLU|IND|NOM//nmod//74 i//PP//case//81 Europa//PM|NOM//nmod//79 och//KN//cc//84 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//84 delar//NN|UTR|PLU|IND|NOM//conj//79 av//PP//case//86 världen//NN|UTR|SIN|DEF|NOM//nmod//84 .//MAD//punct//59
I. Inledning;I//PP//case//89 Norden//PM|NOM//obl//4 har//VB|PRS|AKT//aux//93 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//92 koder//NN|UTR|PLU|IND|NOM//nsubj:pass//93 givits//VB|SUP|SFO//conj//4 ut//PL//compound:prt//93 i//PP//case//96 Danmark//PM|NOM//obl//93 ,//MID//punct//98 Finland//PM|NOM//conj//96 och//KN//cc//100 Norge//PM|NOM//conj//96 .//MID//punct//4
I. Inledning;OECD//PM|NOM//nsubj//103 publicerade//VB|PRT|AKT//parataxis//4 1999//RG|NOM//nummod//105 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//106 principer//NN|UTR|PLU|IND|NOM//obj//103 för//PP//case//109 corporate//UO//amod//109 governance//UO//nmod//106 ,//MID//punct//115 vilka//HP|UTR/NEU|PLU|IND//nsubj//115 för//PP//case//113 närvarande//NN|NEU|SIN|IND|NOM//obl//115 är//VB|PRS|AKT//cop//115 föremål//NN|NEU|SIN|IND|NOM//acl:relcl//106 för//PP//case//117 uppdatering//NN|UTR|SIN|IND|NOM//nmod//115 ,//MID//punct//103 och//KN//cc//122 inom//PP//case//121 EU//PM|NOM//obl//122 bedrivs//VB|PRS|SFO//conj//103 sedan//PP//case//125 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//125 år//NN|NEU|PLU|IND|NOM//obl//122 ett//DT|NEU|SIN|IND//det//128 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//128 arbete//NN|NEU|SIN|IND|NOM//obl//122 inom//PP//case//131 corporate//UO//nmod:poss//131 governance-området//NN|NEU|SIN|DEF|NOM//obl//122 .//MAD//punct//4

1 En svensk kod för bolagsstyrning;I//PP//case//1 Sverige//PM|NOM//obl//2 har//VB|PRS|AKT//aux//5 corporate//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod:poss//4 governance-frågorna//NN|UTR|PLU|DEF|NOM//nsubj//5 stått//VB|SUP|AKT//ROOT//5 högt//AB|POS//advmod//5 på//PP//case//8 dagordningen//NN|UTR|SIN|DEF|NOM//obl//5 under//PP//case//12 en//DT|UTR|SIN|IND//det//12 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 tid//NN|UTR|SIN|IND|NOM//obl//5 .//MAD//punct//5
1 En svensk kod för bolagsstyrning;Redan//AB//advmod//17 under//PP//case//17 andra//RO|NOM//amod//17 hälften//NN|UTR|SIN|DEF|NOM//obl//5 av//PP//case//19 1980-talet//NN|NEU|SIN|DEF|NOM//nmod//17 genomförde//VB|PRT|AKT//conj//5 Ägarutredningen//NN|UTR|SIN|DEF|NOM//nsubj//20 ett//DT|NEU|SIN|IND//det//24 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 utredningsarbete//NN|NEU|SIN|IND|NOM//obj//20 om//PP//case//26 frågor//NN|UTR|PLU|IND|NOM//nmod//24 som//HP|-|-|-//nsubj:pass//29 idag//AB//advmod//29 diskuteras//VB|PRS|SFO//acl:relcl//26 under//PP//case//33 rubriken//NN|UTR|SIN|DEF|NOM//nmod//33 corporate//UO//amod//33 governance//UO//obl//29 .//MAD//punct//5
1 En svensk kod för bolagsstyrning;Den//DT|UTR|SIN|DEF//det//37 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//37 corporate//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod:poss//38 governance-debatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 har//VB|PRS|AKT//aux//41 därefter//AB//advmod//41 intensifierats//VB|SUP|SFO//parataxis//5 .//MAD//punct//5
1 En svensk kod för bolagsstyrning;Från//PP//case//44 1990//RG|NOM//obl//5 har//VB|PRS|AKT//aux//53 en//DT|UTR|SIN|IND//det//48 successiv//JJ|POS|UTR|SIN|IND|NOM//amod//48 översyn//NN|UTR|SIN|IND|NOM//obj//45 och//KN//cc//50 modernisering//NN|UTR|SIN|IND|NOM//conj//48 av//PP//case//52 aktiebolagslagen//NN|UTR|SIN|DEF|NOM//nmod//50 skett//VB|SUP|AKT//conj//5 inom//PP//case//58 ramen//NN|UTR|SIN|DEF|NOM//fixed//54 för//PP//fixed//54 Aktiebolagskommitténs//PM|GEN//nmod:poss//58 arbete//NN|NEU|SIN|IND|NOM//obl//53 .//MAD//punct//5
1 En svensk kod för bolagsstyrning;1993//RG|NOM//punct//5 publicerade//VB|PRT|AKT//conj//5 Sveriges//PM|GEN//nmod:poss//64 Aktiesparares//NN|UTR|PLU|IND|GEN//compound//64 Riksförbund//NN|NEU|SIN|IND|NOM//nsubj//61 den//DT|UTR|SIN|DEF//det//69 första//RO|NOM//amod//67 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 s.k.//AB|AN//amod//69 ägarpolicyn//NN|UTR|SIN|DEF|NOM//obj//61 ,//MID//punct//69 en//DT|UTR|SIN|IND//det//72 sammanställning//NN|UTR|SIN|IND|NOM//conj//69 av//PP//case//74 riktlinjer//NN|UTR|PLU|IND|NOM//nmod//72 för//PP//mark//79 hur//HA//advmod//79 ägarrollen//NN|UTR|SIN|DEF|NOM//nsubj:pass//79 borde//VB|PRT|AKT//aux//79 utövas//VB|INF|SFO//advcl//61 .//MAD//punct//5
1 En svensk kod för bolagsstyrning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//84 har//VB|PRS|AKT//aux//84 därefter//AB//advmod//84 följts//VB|SUP|SFO//parataxis//5 av//PP//case//90 ett//DT|NEU|SIN|IND//det//88 stort//JJ|POS|NEU|SIN|IND|NOM//amod//88 antal//NN|NEU|SIN|IND|NOM//nmod//90 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 sammanställningar//NN|UTR|PLU|IND|NOM//obl:agent//84 ,//MID//punct//84 och//KN//cc//98 de//DT|UTR/NEU|PLU|DEF//det//96 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//96 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//96 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 ägarinstitutioner//NN|UTR|PLU|IND|NOM//nsubj//98 har//VB|PRS|AKT//conj//84 idag//AB//advmod//98 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//101 ägarpolicies//NN|NEU|PLU|IND|NOM//obj//98 .//MAD//punct//84
1 En svensk kod för bolagsstyrning;2003//RG|NOM//punct//5 presenterade//VB|PRT|AKT//parataxis//5 StyrelseAkademien//PM|NOM//nsubj//104 sin//PS|UTR|SIN|DEF//flat//105
1 En svensk kod för bolagsstyrning;Vägledning//NN|UTR|SIN|IND|NOM//ROOT//0 till//PP//case//3 god//JJ|POS|UTR|SIN|IND|NOM//amod//3 styrelsesed//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//3 en//DT|UTR|SIN|IND//det//7 heltäckande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 sammanställning//NN|UTR|SIN|IND|NOM//appos//3 av//PP//case//10 god//JJ|POS|UTR|SIN|IND|NOM//amod//10 praxis//NN|UTR|SIN|IND|NOM//nmod//7 för//PP//case//12 styrelsearbete//NN|NEU|SIN|IND|NOM//nmod//10 i//PP//case//15 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 aktiebolag//NN|NEU|PLU|IND|NOM//nmod//12 .//MAD//punct//0
1 En svensk kod för bolagsstyrning;De//DT|UTR/NEU|PLU|DEF//det//19 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 självregleringsorganen//NN|NEU|PLU|DEF|NOM//appos//0 inom//PP//case//21 området//NN|NEU|SIN|DEF|NOM//nmod//19 ,//MID//punct//19 främst//AB|SUV//advmod//24 Stockholmsbörsen//PM|NOM//nsubj//32 ,//MID//punct//27 Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//27 Börskommitté//NN|UTR|SIN|IND|NOM//conj//24 och//KN//cc//29 Aktiemarknadsnämnden//NN|UTR|SIN|DEF|NOM//conj//24 har//VB|PRS|AKT//aux//32 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//32 infogat//VB|SUP|AKT//appos//19 ett//DT|NEU|SIN|IND//det//34 flertal//NN|NEU|SIN|IND|NOM//nmod//35 bestämmelser//NN|UTR|PLU|IND|NOM//obj//32 i//PP//case//39 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 corporate//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod:poss//39 governance-frågor//NN|UTR|PLU|IND|NOM//nmod//35 i//PP//case//43 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//43 respektive//AB//amod//43 regelverk//NN|NEU|PLU|IND|NOM//obl//32 .//MAD//punct//0
1 En svensk kod för bolagsstyrning;Någon//DT|UTR|SIN|IND//det//5 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//5 och//KN//cc//3 brett//AB|POS//conj//1 förankrad//PC|PRF|UTR|SIN|IND|NOM//amod//5 kod//NN|UTR|SIN|IND|NOM//nsubj:pass//15 för//PP//case//7 styrning//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//10 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 aktiebolag//NN|NEU|PLU|IND|NOM//nmod//7 har//VB|PRS|AKT//aux//15 emellertid//AB//advmod//15 ännu//AB//advmod//15 inte//AB//advmod//15 utarbetats//VB|SUP|SFO//ROOT//15 .//MAD//punct//15
