Promemoria;2013-11-11//RG|NOM//ROOT//0
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Kultur-//NN|UTR|-|-|SMS//nmod:poss//5 och//KN//cc//2 idrottsminister//NN|UTR|SIN|IND|NOM//conj//0 Lena//PM|NOM//conj//0 Adelsohn//PM|NOM//flat:name//3 Liljeroth//PM|NOM//nsubj//6 inledde//VB|PRT|AKT//ROOT//6 hearingen//NN|UTR|SIN|DEF|NOM//nsubj//6 med//PP//mark//10 att//IE//mark//10 hälsa//VB|INF|AKT//advcl//6 alla//DT|UTR/NEU|PLU|IND/DEF//det//12 välkomna//VB|INF|AKT//obj//10 samt//KN//cc//14 framhöll//VB|PRT|AKT//conj//10 att//SN//mark//22 en//PN|UTR|SIN|IND|SUB/OBJ//nsubj//22 av//PP//case//20 Kulturdepartementets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 främsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//20 uppgifter//NN|UTR|PLU|IND|NOM//nmod//16 framöver//AB//nmod//16 blir//VB|PRS|AKT//ccomp//14 att//IE//mark//24 stödja//VB|INF|AKT//xcomp//22 parternas//NN|UTR|PLU|DEF|GEN//nmod:poss//27 fortsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//27 arbete//NN|NEU|SIN|IND|NOM//obj//24 .//MAD//punct//6
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Hon//PN|UTR|SIN|DEF|SUB//nsubj//30 tackade//VB|PRT|AKT//parataxis//6 även//AB//advmod//30 av//PP//case//38 den//DT|UTR|SIN|DEF//det//38 före//PP//amod//37 detta//DT|NEU|SIN|DEF//det//37 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//37 samordnaren//NN|UTR|SIN|DEF|NOM//nmod//38 Björn//PM|NOM//obl:agent//30 Eriksson//PM|NOM//flat:name//38 och//KN//cc//43 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//42 sekreterare//NN|UTR|SIN|IND|NOM//nmod//43 Stefan//PM|NOM//conj//38 Dellså//PM|NOM//flat:name//43 .//MAD//punct//30
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Nedan//AB//advmod//1 följer//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 kort//JJ|POS|UTR|SIN|IND|NOM//amod//4 sammanställning//NN|UTR|SIN|IND|NOM//nsubj//1 av//PP//mark//10 vad//HP|NEU|SIN|IND//obj//10 de//DT|UTR/NEU|PLU|DEF//det//9 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 aktörerna//NN|UTR|PLU|DEF|NOM//nsubj//10 anförde//VB|PRT|AKT//acl//4 .//MAD//punct//1
Hearing den 23 oktober 2013 – Mera glädje för pengarna;Moderator//NN|UTR|SIN|IND|NOM//nsubj//6 under//PP//case//2 dagen//NN|UTR|SIN|DEF|NOM//nmod//0 var//VB|PRT|AKT//cop//6 Nedjma//PM|NOM//nmod//5 Chaouche//PM|NOM//nmod//6 Liljedahl//PM|NOM//ROOT//6 .//MAD//punct//6

Sveriges Riksidrottsförbund;Tommy//PM|NOM//ROOT//0 Ohlström//PM|NOM//flat//0 ,//MID//punct//3 styrelseledamot//NN|UTR|SIN|IND|NOM//conj//0
Sveriges Riksidrottsförbund;Riksidrottsförbundet//NN|NEU|SIN|DEF|NOM//nsubj//4 (//PAD//punct//0 RF//PM|NOM//appos//0 )//PAD//punct//0 består//VB|PRS|AKT//ROOT//4 av//PP//case//9 ca//AB|AN//advmod//7 3,3//RG|NOM//nummod//8 miljoner//NN|UTR|PLU|IND|NOM//nmod//9 medlemmar//NN|UTR|PLU|IND|NOM//obl//4 .//MID//punct//4
Sveriges Riksidrottsförbund;Om//SN//mark//18 endast//AB//advmod//14 en//RG|UTR|SIN|IND|NOM//det//14 procent//NN|UTR|SIN|IND|NOM//nsubj//18 av//PP//case//16 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nmod//14 skulle//VB|PRT|AKT//aux//18 välja//VB|INF|AKT//advcl//33 att//IE//mark//20 avstå//VB|INF|AKT//xcomp//18 från//PP//mark//23 att//IE//mark//23 engagera//VB|INF|AKT//advcl//20 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//23 i//PP//case//26 idrotten//NN|UTR|SIN|DEF|NOM//obl//23 till//PP//case//30 följd//NN|UTR|SIN|IND|NOM//fixed//27 av//PP//fixed//27 idrottsvåldet//NN|NEU|SIN|DEF|NOM//obl//23 skulle//VB|PRT|AKT//aux//33 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 ge//VB|INF|AKT//parataxis//4 ett//DT|NEU|SIN|IND//det//36 stort//JJ|POS|NEU|SIN|IND|NOM//amod//36 bortfall//NN|NEU|SIN|IND|NOM//obj//33 på//PP//case//39 aggregerad//PC|PRF|UTR|SIN|IND|NOM//amod//39 nivå//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//4
Sveriges Riksidrottsförbund;Samma//DT|UTR/NEU|SIN/PLU|IND//det//42 sak//NN|UTR|SIN|IND|NOM//nsubj//43 gäller//VB|PRS|AKT//conj//4 för//PP//case//45 engagemanget//NN|NEU|SIN|DEF|NOM//obl//43 och//KN//cc//47 stödet//NN|NEU|SIN|DEF|NOM//conj//45 från//PP//case//49 ledare//NN|UTR|PLU|IND|NOM//nmod//47 ,//MID//punct//51 sponsorer//NN|UTR|PLU|IND|NOM//conj//49 och//KN//cc//55 inte//AB//advmod//55 minst//AB|SUV//advmod//55 skattebetalare//NN|UTR|SIN|IND|NOM//conj//49 .//MAD//punct//4
Sveriges Riksidrottsförbund;RF//PM|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 generellt//AB|POS//advmod//3 nöjda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//3 med//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 insatser//NN|UTR|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//9 är//VB|PRS|AKT//cop//9 genomförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//6 eller//KN//cc//11 på//PP//conj//9 gång//NN|UTR|SIN|IND|NOM//fixed//11 ://MID//punct//3 -//MID//punct//15
Sveriges Riksidrottsförbund;frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//35 om//PP//case//17 poliskostnader//NN|UTR|PLU|IND|NOM//nmod//15 löst//PC|PRF|UTR|SIN|IND|NOM//nmod//15 -//MID//punct//15 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//21 samordnare//NN|UTR|SIN|IND|NOM//nsubj:pass//22 utsedd//PC|PRF|UTR|SIN|IND|NOM//acl//15 -//MID//punct//22 ny//JJ|POS|UTR|SIN|IND|NOM//amod//25 lag//NN|UTR|SIN|IND|NOM//nsubj//15 om//PP//case//27 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//25 -//MID//punct//29 tillträdesförbud//NN|NEU|SIN|IND|NOM//conj//27 och//KN//cc//32 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//32 register//NN|NEU|SIN|IND|NOM//conj//27 -//MID//punct//15 straffskalan//NN|UTR|SIN|DEF|NOM//conj//15 höjs//VB|PRS|SFO//parataxis//3 -//MID//punct//38 maskeringsförbud//NN|NEU|SIN|IND|NOM//nsubj//38 verkar//VB|PRS|AKT//conj//3 vara//VB|INF|AKT//xcomp//38 på//PP//case//41 gång//NN|UTR|SIN|IND|NOM//advmod//39 .//MAD//punct//3
Sveriges Riksidrottsförbund;RF//PM|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 särskilt//AB//advmod//3 glada//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//3 att//SN//mark//9 frågan//NN|UTR|SIN|DEF|NOM//nsubj//9 om//PP//case//7 poliskostnader//NN|UTR|PLU|IND|NOM//nmod//5 är//VB|PRS|AKT//cop//9 löst//JJ|POS|NEU|SIN|IND|NOM//ccomp//3 .//MID//punct//3
Sveriges Riksidrottsförbund;De//DT|UTR/NEU|PLU|DEF//det//12 frågor//NN|UTR|PLU|IND|NOM//nsubj//25 som//HP|-|-|-//obl//15 RF//PM|NOM//nsubj//15 ser//VB|PRS|AKT//acl:relcl//12 behov//NN|NEU|SIN|IND|NOM//obj//15 av//PP//mark//19 att//IE//mark//19 ta//VB|INF|AKT//acl//16 tag//NN|NEU|SIN|IND|NOM//compound:prt//19 i//PP//case//22 framöver//NN|NEU|SIN|IND|NOM//obl//19 är//VB|PRS|AKT//cop//25 dels//KN//advmod//25 förhållandet//NN|NEU|SIN|DEF|NOM//parataxis//3 mellan//PP//case//27 polislagen//NN|UTR|SIN|DEF|NOM//nmod//25 och//KN//cc//29 ordningslagen//NN|UTR|SIN|DEF|NOM//conj//27 ,//MID//punct//34 dels//KN//advmod//34 en//DT|UTR|SIN|IND//det//34 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//34 utvidgning//NN|UTR|SIN|IND|NOM//conj//25 av//PP//case//36 tillträdesförbudet//NN|NEU|SIN|DEF|NOM//nmod//34 till//PP//mark//40 att//IE//mark//40 även//AB//advmod//40 omfatta//VB|INF|AKT//acl//34 området//NN|NEU|SIN|DEF|NOM//obj//40 omkring//PP//case//43 arenorna//NN|UTR|PLU|DEF|NOM//nmod//41 .//MAD//punct//25
Sveriges Riksidrottsförbund;RF//PM|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 glada//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//2 att//SN//mark//9 en//DT|UTR|SIN|IND//det//7 ny//JJ|POS|UTR|SIN|IND|NOM//amod//7 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//7 samordnare//NN|UTR|SIN|IND|NOM//nsubj:pass//9 har//VB|PRS|AKT//aux//9 utsetts//VB|SUP|SFO//acl//2 och//KN//cc//11 upplever//VB|PRS|AKT//conj//9 att//SN//mark//13 fokus//NN|NEU|SIN|IND|NOM//xcomp//11 i//PP//case//15 Rose-Marie//PM|NOM//nmod:poss//17 Frebrans//NN|UTR|SIN|DEF|GEN//flat//15 uppdrag//NN|NEU|SIN|IND|NOM//nmod//13 ligger//VB|PRS|AKT//conj//2 på//PP//case//22 den//DT|UTR|SIN|DEF//det//22 positiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 supporterkulturen//NN|UTR|SIN|DEF|NOM//obl//18 och//KN//cc//27 att//SN//mark//27 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//27 inte//AB//advmod//27 har//VB|PRS|AKT//conj//2 samma//DT|UTR/NEU|SIN/PLU|IND//det//30 repressiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 ansats//NN|UTR|SIN|IND|NOM//obj//27 som//KN//mark//36 den//DT|UTR|SIN|DEF//det//35 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//34 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 samordnarens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 uppdrag//NN|NEU|SIN|IND|NOM//obl//27 .//MAD//punct//2
Sveriges Riksidrottsförbund;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 gör//VB|PRS|AKT//conj//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 lättare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//39 att//IE//mark//43 agera//VB|INF|AKT//acl//41 för//PP//case//45 idrottsrörelsen//NN|UTR|SIN|DEF|NOM//obl//43 och//KN//cc//47 RF//PM|NOM//conj//45 lovar//VB|PRS|AKT//advcl//39 att//IE//mark//50 göra//VB|INF|AKT//xcomp//48 vad//HP|NEU|SIN|IND//obj//56 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//56 kan//VB|PRS|AKT//aux//56 för//PP//mark//56 att//IE//mark//56 bidra//VB|INF|AKT//ccomp//50 till//PP//mark//59 att//IE//mark//59 förbättra//VB|INF|AKT//advcl//56 situationen//NN|UTR|SIN|DEF|NOM//obj//59 .//MAD//punct//39
Sveriges Riksidrottsförbund;Om//SN//mark//71 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//66 åtta//RG|NOM//nummod//66 skarpa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//71 som//HP|-|-|-//nsubj:pass//68 presenterades//VB|PRT|SFO//acl:relcl//66 i//PP//case//70 utredningen//NN|UTR|SIN|DEF|NOM//obl//68 genomförs//VB|PRS|SFO//advcl//72 anser//VB|PRS|AKT//conj//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//72 RF//PM|NOM//obj//72 ha//VB|INF|AKT//xcomp//72 ett//DT|NEU|SIN|IND//det//77 ansvar//NN|NEU|SIN|IND|NOM//obj//75 att//IE//mark//79 ta//VB|INF|AKT//acl//77 vid//PL//compound:prt//79 och//KN//cc//82 höja//VB|INF|AKT//conj//79 sin//PS|UTR|SIN|DEF//nmod:poss//84 insats//NN|UTR|SIN|IND|NOM//obj//82 .//MAD//punct//2

Svenska Fotbollförbundet;Börje//PM|NOM//ROOT//0 Sandgren//PM|NOM//flat//0 ,//MID//punct//4 ordförande//NN|UTR|SIN|IND|NOM//amod//4 säkerhetsgruppen//NN|UTR|SIN|DEF|NOM//conj//0
Svenska Fotbollförbundet;Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Fotbollförbundet//PM|NOM//nsubj//40 (//PAD//punct//1 SvFF//PM|NOM//appos//1 )//PAD//punct//3 framför//PP//mark//13 att//SN//fixed//5 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//13 är//VB|PRS|AKT//cop//13 ett//DT|NEU|SIN|IND//det//13 gediget//JJ|POS|NEU|SIN|IND|NOM//amod//13 och//KN//cc//12 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//10 arbete//NN|NEU|SIN|IND|NOM//conj//1 som//HP|-|-|-//nsubj//16 är//VB|PRS|AKT//aux:pass//16 nedlagt//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//13 i//PP//case//18 utredningen//NN|UTR|SIN|DEF|NOM//obl//16 ,//MID//punct//1 med//PP//case//23 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 positiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 förslag//NN|NEU|PLU|IND|NOM//nmod//1 till//PP//case//25 åtgärder//NN|UTR|PLU|IND|NOM//nmod//23 för//PP//mark//28 att//IE//mark//28 komma//VB|INF|AKT//advcl//1 åt//PL//compound:prt//28 den//DT|UTR|SIN|DEF//det//32 idrottsrelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//32 brottsligheten//NN|UTR|SIN|DEF|NOM//obj//28 och//KN//cc//34 stärka//VB|INF|AKT//conj//1 tryggheten//NN|UTR|SIN|DEF|NOM//obj//34 på//PP//case//37 läktarna//NN|UTR|PLU|DEF|NOM//nmod//35 .//MAD//punct//1
Svenska Fotbollförbundet;Förbundet//NN|NEU|SIN|DEF|NOM//nsubj//40 välkomnar//VB|PRS|AKT//ROOT//40 att//SN//mark//44 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//44 har//VB|PRS|AKT//aux//44 utsett//VB|SUP|AKT//ccomp//40 en//DT|UTR|SIN|IND//det//48 ny//JJ|POS|UTR|SIN|IND|NOM//amod//48 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//48 samordnare//NN|UTR|SIN|IND|NOM//obj//44 och//KN//cc//50 önskar//VB|PRS|AKT//conj//44 att//SN//mark//53 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//53 blir//VB|PRS|AKT//ccomp//50 en//DT|UTR|SIN|IND//det//56 permanent//JJ|POS|UTR|SIN|IND|NOM//amod//56 befattning//NN|UTR|SIN|IND|NOM//nsubj//53 .//MAD//punct//40
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//59 gläds//VB|PRS|SFO//parataxis//40 även//AB//advmod//59 åt//PP//mark//64 att//SN//mark//64 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//64 verkar//VB|PRS|AKT//advcl//59 gå//VB|INF|AKT//xcomp//64 vidare//AB|KOM//advmod//65 med//PP//case//68 frågorna//NN|UTR|PLU|DEF|NOM//obl//65 om//PP//case//70 maskeringsförbud//NN|NEU|SIN|IND|NOM//nmod//68 och//KN//cc//73 en//DT|UTR|SIN|IND//det//73 skärpning//NN|UTR|SIN|IND|NOM//conj//70 av//PP//case//75 tillträdesförbudet//NN|NEU|SIN|DEF|NOM//nmod//73 .//MAD//punct//40
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//1 menar//VB|PRS|AKT//ROOT//1 att//SN//mark//5 problemen//NN|NEU|PLU|DEF|NOM//nsubj//5 endast//AB//advmod//5 finns//VB|PRS|SFO//ccomp//1 inom//PP//case//7 herridrotten//NN|UTR|SIN|DEF|NOM//obl//5 och//KN//cc//9 betonar//VB|PRS|AKT//conj//5 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//12 krävs//VB|PRS|SFO//ccomp//9 ett//DT|NEU|SIN|IND//det//15 gemensamt//JJ|POS|NEU|SIN|IND|NOM//amod//15 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//12 från//PP//case//19 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//19 involverade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//19 aktörer//NN|UTR|PLU|IND|NOM//obl//12 för//PP//mark//22 att//IE//mark//22 uppnå//VB|INF|AKT//acl//19 ett//DT|NEU|SIN|IND//det//25 positivt//JJ|POS|NEU|SIN|IND|NOM//amod//25 resultat//NN|NEU|SIN|IND|NOM//obj//22 .//MAD//punct//1
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//28 lägger//VB|PRS|AKT//parataxis//1 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//30 tid//NN|UTR|SIN|IND|NOM//obj//28 och//KN//cc//32 arbete//NN|NEU|SIN|IND|NOM//conj//30 på//PP//mark//35 att//IE//mark//35 skapa//VB|INF|AKT//advcl//28 trygghet//NN|UTR|SIN|IND|NOM//obj//35 vid//PP//case//39 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//39 arrangemang//NN|NEU|PLU|IND|NOM//obl//35 genom//PP//mark//46 att//IE//mark//46 tillsammans//AB//advmod//45 med//PP//case//45 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//45 parter//NN|UTR|PLU|IND|NOM//obl//46 samordna//VB|INF|AKT//advcl//35 och//KN//cc//48 planera//VB|INF|AKT//conj//46 varje//DT|UTR/NEU|SIN|IND//det//50 match//NN|UTR|SIN|IND|NOM//obl//48 långt//AB|POS//advmod//52 i//PP//advmod//48 förväg//NN|UTR|SIN|IND|NOM//fixed//52 .//MAD//punct//28
Svenska Fotbollförbundet;Varje//DT|UTR/NEU|SIN|IND//det//56 fotbollsklubb//NN|UTR|SIN|IND|NOM//nsubj:pass//60 har//VB|PRS|AKT//aux//60 en//DT|UTR|SIN|IND//det//59 säkerhetsansvarig//JJ|POS|UTR|SIN|IND|NOM//nsubj:pass//60 utsedd//PC|PRF|UTR|SIN|IND|NOM//conj//28 och//KN//cc//65 i//PP//case//64 varje//DT|UTR/NEU|SIN|IND//det//64 styrelse//NN|UTR|SIN|IND|NOM//obl//65 finns//VB|PRS|SFO//conj//60 ledamöter//NN|UTR|PLU|IND|NOM//nsubj//65 med//PP//case//68 ansvar//NN|NEU|SIN|IND|NOM//nmod//66 för//PP//case//70 säkerheten//NN|UTR|SIN|DEF|NOM//nmod//68 .//MAD//punct//28
Svenska Fotbollförbundet;Vid//PP//case//74 varje//DT|UTR/NEU|SIN|IND//det//74 evenemang//NN|NEU|SIN|IND|NOM//obl//80 är//VB|PRS|AKT//cop//80 ca//AB|AN//advmod//77 2//RG|NOM//nummod//78 000//RG|NOM//nummod//79 personer//NN|UTR|PLU|IND|NOM//nsubj//80 engagerade//VB|PRT|AKT//conj//28 för//PP//mark//83 att//IE//mark//83 hantera//VB|INF|AKT//advcl//80 säkerhet//NN|UTR|SIN|IND|NOM//obj//83 ,//MID//punct//86 trygghet//NN|UTR|SIN|IND|NOM//conj//84 och//KN//cc//88 service//NN|UTR|SIN|IND|NOM//conj//84 i//PP//case//92 samband//NN|NEU|SIN|IND|NOM//fixed//89 med//PP//fixed//89 matchen//NN|UTR|SIN|DEF|NOM//nmod//88 .//MAD//punct//28
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//1 prioriterar//VB|PRS|AKT//ROOT//1 nu//AB//advmod//1 att//IE//mark//4 arbeta//VB|INF|AKT//xcomp//1 vidare//AB|KOM//compound:prt//4 med//PP//case//4 ://MID//punct//1 -//MID//punct//1
Svenska Fotbollförbundet;Ansvarsfrågor//NN|UTR|PLU|IND|NOM//obj//1  //_SP////9 –//PAD//punct//14 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//14 måste//VB|PRS|AKT//aux//14 klargöras//VB|INF|SFO//parataxis//1 vem//HP|UTR|SIN|IND//dislocated//17 som//HP|-|-|-//nsubj//17 har//VB|PRS|AKT//acl:relcl//14 ansvaret//NN|NEU|SIN|DEF|NOM//obj//17 i//PP//case//22 de//DT|UTR/NEU|PLU|DEF//det//22 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 delarna//NN|UTR|PLU|DEF|NOM//obl//17 .//MAD//punct//1
