Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//8 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//7 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//5 författningsregleras//VB|PRS|SFO//ccomp//2 och//KN//cc//10 anpassas//VB|INF|SFO//conj//8 till//PP//case//12 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//10 i//PP//case//14 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//12 (//PAD//punct//8 1998:204//RG|NOM//conj//8 )//PAD//punct//8 .//MAD//punct//2
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Den//DT|UTR|SIN|DEF//det//59 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//59 lagen//NN|UTR|SIN|DEF|NOM//nsubj//60 innehåller//VB|PRS|AKT//parataxis//3 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//62 bestämmelser//NN|UTR|PLU|IND|NOM//obj//60 .//MAD//punct//60
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Om//SN//mark//67 inget//DT|NEU|SIN|IND//det//66 annat//JJ|POS|NEU|SIN|IND|NOM//nsubj//67 följer//VB|PRS|AKT//advcl//73 av//PP//compound:prt//67 den//DT|UTR|SIN|DEF//det//71 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//71 lagen//NN|UTR|SIN|DEF|NOM//obj//67 ,//MID//punct//73 tillämpas//VB|PRS|SFO//advcl//60 emellertid//AB//advmod//73 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//73 vid//PP//case//77 behandling//NN|UTR|SIN|IND|NOM//obl//73 av//PP//case//79 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//77 inom//PP//case//81 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//77 .//MAD//punct//60
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Begreppet//NN|NEU|SIN|DEF|NOM//nmod//1 socialtjänst//NN|UTR|SIN|IND|NOM//nsubj:pass//2 definieras//VB|PRS|SFO//ROOT//2 i//PP//case//4 lagen//NN|UTR|SIN|DEF|NOM//obl//2 (//PAD//punct//7 avsnitt//NN|NEU|SIN|IND|NOM//nmod//7 6.2.1//RG|NOM//appos//4 )//PAD//punct//7 .//MAD//punct//2
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Med//PP//case//11 socialtjänst//NN|UTR|SIN|IND|NOM//obl//12 förstås//VB|PRS|SFO//advmod//2 i//PP//case//15 detta//DT|NEU|SIN|DEF//det//15 sammanhang//NN|NEU|SIN|IND|NOM//obl//2 1//RG|NOM//nummod//15 .//MAD//punct//2
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;verksamhet//NN|UTR|SIN|IND|NOM//obl//2 enligt//PP//case//20 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//18 om//PP//case//22 socialtjänst//NN|UTR|SIN|IND|NOM//nmod//20 och//KN//cc//26 den//DT|UTR|SIN|DEF//det//26 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//26 lagstiftningen//NN|UTR|SIN|DEF|NOM//conj//18 om//PP//case//28 vård//NN|UTR|SIN|IND|NOM//nmod//26 av//PP//case//30 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//28 och//KN//cc//33 av//PP//case//33 missbrukare//NN|UTR|PLU|IND|NOM//conj//30 utan//PP//case//35 samtycke//NN|NEU|SIN|IND|NOM//nmod//33 ,//MID//punct//26 2//RG|NOM//nummod//26 .//MID//punct//18
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;verksamhet//NN|UTR|SIN|IND|NOM//conj//2 som//HP|-|-|-//nsubj//46 i//PP//case//43 annat//JJ|POS|NEU|SIN|IND|NOM//amod//43 fall//NN|NEU|SIN|IND|NOM//obl//46 enligt//PP//case//45 lag//NN|UTR|SIN|IND|NOM//nmod//43 handhas//VB|PRS|SFO//acl:relcl//39 av//PP//case//48 socialnämnd//NN|UTR|SIN|IND|NOM//obl:agent//46 ,//MID//punct//48 3//RG|NOM//nummod//46 .//MAD//punct//39
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;verksamhet//NN|UTR|SIN|IND|NOM//conj//2 som//HP|-|-|-//nsubj:pass//54 bedrivs//VB|PRS|SFO//acl:relcl//52 av//PP//case//57 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//57 institutionsstyrelse//NN|UTR|SIN|IND|NOM//obl:agent//54 ,//MID//punct//57 4//RG|NOM//conj//57 .//MID//punct//52
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;verksamhet//NN|UTR|SIN|IND|NOM//conj//52 hos//PP//case//64 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//64 invandrarbyrå//NN|UTR|SIN|IND|NOM//nmod//61 ,//MID//punct//64 5//RG|NOM//nummod//64 .//MAD//punct//61
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;handläggning//NN|UTR|SIN|IND|NOM//conj//61 av//PP//case//70 ärenden//NN|NEU|PLU|IND|NOM//nmod//68 om//PP//case//72 bistånd//NN|NEU|SIN|IND|NOM//nmod//70 som//HP|-|-|-//nsubj:pass//74 lämnas//VB|PRS|SFO//acl:relcl//68 av//PP//case//76 socialnämnd//NN|UTR|SIN|IND|NOM//obl:agent//74 åt//PP//case//78 asylsökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//74 och//KN//cc//80 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//78 utlänningar//NN|UTR|PLU|IND|NOM//conj//78 ,//MID//punct//68 6//RG|NOM//nummod//68 .//MAD//punct//61
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;handläggning//NN|UTR|SIN|IND|NOM//conj//61 av//PP//case//87 ärenden//NN|NEU|PLU|IND|NOM//nmod//85 om//PP//case//89 introduktionsersättning//NN|UTR|SIN|IND|NOM//nmod//87 för//PP//case//91 flyktingar//NN|UTR|PLU|IND|NOM//nmod//89 och//KN//cc//95 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 utlänningar//NN|UTR|PLU|IND|NOM//conj//91 ,//MID//punct//95 7//RG|NOM//nummod//85 .//MAD//punct//61
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;handläggning//NN|UTR|SIN|IND|NOM//conj//61 av//PP//case//101 ärenden//NN|NEU|PLU|IND|NOM//nmod//99 om//PP//case//103 tillstånd//NN|NEU|SIN|IND|NOM//nmod//101 till//PP//case//105 parkering//NN|UTR|SIN|IND|NOM//nmod//103 för//PP//case//107 rörelsehindrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//99 ,//MID//punct//99 8//RG|NOM//nummod//99 .//MAD//punct//61
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;verksamhet//NN|UTR|SIN|IND|NOM//conj//61 enligt//PP//case//113 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//111 om//PP//case//115 stöd//NN|NEU|SIN|IND|NOM//nmod//113 och//KN//cc//117 service//NN|UTR|SIN|IND|NOM//conj//115 till//PP//case//120 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//120 funktionshindrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//61 ,//MID//punct//61 samt//KN//cc//123 9//RG|NOM//conj//61 .//MAD//punct//52
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;tillsyn//NN|UTR|SIN|IND|NOM//appos//52 ,//MID//punct//127 uppföljning//NN|UTR|SIN|IND|NOM//conj//125 ,//MID//punct//129 utvärdering//NN|UTR|SIN|IND|NOM//conj//125 ,//MID//punct//131 kvalitetssäkring//NN|UTR|SIN|IND|NOM//conj//125 och//KN//cc//133 administration//NN|UTR|SIN|IND|NOM//conj//125 av//PP//case//135 verksamhet//NN|UTR|SIN|IND|NOM//nmod//133 som//HP|-|-|-//nsubj:pass//137 avses//VB|PRS|SFO//acl:relcl//135 i//PP//case//140  //_SP////138 1–8//RG|NOM//obl//137 .//MAD//punct//2
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Den//DT|UTR|SIN|DEF//det//2 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 uppräkningen//NN|UTR|SIN|DEF|NOM//nsubj//12 av//PP//case//5 verksamheter//NN|UTR|PLU|IND|NOM//amod//5 m.m.//AB|AN//nmod//2 som//HP|-|-|-//nsubj:pass//7 innefattas//VB|PRS|SFO//acl:relcl//2 i//PP//case//10 begreppet//NN|NEU|SIN|DEF|NOM//nmod//10 socialtjänst//NN|UTR|SIN|IND|NOM//obl//7 är//VB|PRS|AKT//cop//12 uttömmande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//12 .//MAD//punct//12
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Utanför//PP//case//16 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 tillämpningsområde//NN|NEU|SIN|IND|NOM//obl//20 kommer//VB|PRS|AKT//aux//20 därmed//AB//advmod//20 att//IE//mark//20 falla//VB|INF|AKT//conj//12 t.ex.//AB|AN//advmod//20 färdtjänstverksamhet//NN|UTR|SIN|IND|NOM//obj//20 samt//KN//cc//24 förskoleverksamhet//NN|UTR|SIN|IND|NOM//conj//22 m.m.//AB|AN//conj//22 ,//MID//punct//29 vilka//HD|UTR/NEU|PLU|IND//det//28 verksamheter//NN|UTR|PLU|IND|NOM//nsubj:pass//29 regleras//VB|PRS|SFO//advcl//20 av//PP//case//31 lagen//NN|UTR|SIN|DEF|NOM//obl:agent//29 (//PAD//punct//33 1997:735//RG|NOM//appos//31 )//PAD//punct//33 om//PP//case//36 riksfärdtjänst//NN|UTR|SIN|IND|NOM//nmod//31 och//KN//cc//38 lagen//NN|UTR|SIN|DEF|NOM//conj//36 (//PAD//punct//40 1997:736//RG|NOM//appos//31 )//PAD//punct//40 om//PP//case//43 färdtjänst//NN|UTR|SIN|IND|NOM//obl//29 respektive//AB//cc//45 skollagen//NN|UTR|SIN|DEF|NOM//conj//43 (//PAD//punct//45 1985:1100//RG|NOM//appos//45 )//PAD//punct//45 .//MAD//punct//53
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//53 bör//VB|PRS|AKT//aux//53 dock//AB//advmod//53 framhållas//VB|INF|SFO//conj//12 att//SN//mark//70 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//56 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//70 och//KN//cc//59 annan//JJ|POS|UTR|SIN|IND|NOM//amod//59 verksamhet//NN|UTR|SIN|IND|NOM//conj//56 som//HP|-|-|-//nsubj:pass//62 inte//AB//advmod//62 omfattas//VB|PRS|SFO//acl:relcl//59 av//PP//case//65 denna//DT|UTR|SIN|DEF//det//65 lag//NN|UTR|SIN|IND|NOM//obl:agent//62 eller//KN//cc//69 av//PP//case//69 annan//JJ|POS|UTR|SIN|IND|NOM//amod//69 särlagstiftning//NN|UTR|SIN|IND|NOM//conj//65 omfattas//VB|PRS|SFO//advcl//53 av//PP//case//72 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//obl:agent//70 .//MAD//punct//53
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Konsekvensen//NN|UTR|SIN|DEF|NOM//nsubj//81 av//PP//mark//78 att//SN//mark//78 man//PN|UTR|SIN|IND|SUB//nsubj//78 låter//VB|PRS|AKT//acl//74 en//DT|UTR|SIN|IND//det//80 verksamhet//NN|UTR|SIN|IND|NOM//obj//78 falla//VB|INF|AKT//parataxis//53 utanför//PP//case//86 den//DT|UTR|SIN|DEF//det//85 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//85 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//86 tillämpningsområde//NN|NEU|SIN|IND|NOM//obl//81 blir//VB|PRS|AKT//advcl//81 alltså//AB//advmod//87 inte//AB//advmod//87 att//SN//mark//98 behandlingen//NN|UTR|SIN|DEF|NOM//nsubj//98 av//PP//case//93 person//NN|UTR|SIN|IND|NOM//nmod//91 uppgifter//NN|UTR|PLU|IND|NOM//nmod//91 i//PP//case//97 den//DT|UTR|SIN|DEF//det//97 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//94 förblir//VB|PRS|AKT//advcl//87 oreglerad//JJ|POS|UTR|SIN|IND|NOM//xcomp//98 .//MAD//punct//81
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Huruvida//SN//mark//114 de//DT|UTR/NEU|PLU|DEF//det//103 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//114 som//HP|-|-|-//nsubj:pass//106 har//VB|PRS|AKT//aux//106 samlats//VB|SUP|SFO//acl:relcl//103 in//PL//compound:prt//106 med//PP//case//109 stöd//NN|NEU|SIN|IND|NOM//obl//106 av//PP//case//112 denna//DT|UTR|SIN|DEF//det//112 lag//NN|UTR|SIN|IND|NOM//nmod//109 får//VB|PRS|AKT//aux//114 behandlas//VB|INF|SFO//advcl//81 för//PP//case//118 t.ex.//AB|AN//advmod//118 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//118 verksamhet//NN|UTR|SIN|IND|NOM//obl//114 som//HP|-|-|-//nsubj//121 nu//AB//advmod//121 nämnts//VB|SUP|SFO//acl:relcl//118 ,//MID//punct//121 dvs.//AB|AN//advmod//125 utanför//PP//case//125 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//121 ,//MID//punct//129 får//VB|PRS|AKT//aux//129 således//AB//advmod//129 avgöras//VB|INF|SFO//conj//81 efter//PP//case//132 en//DT|UTR|SIN|IND//det//132 tillämpning//NN|UTR|SIN|IND|NOM//obl//129 av//PP//case//134 person//NN|UTR|SIN|IND|NOM//nmod//132 uppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//132 .//MAD//punct//81
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//146 om//SN//mark//141 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//141 får//VB|PRS|AKT//aux//141 lämnas//VB|INF|SFO//acl//137 ut//PL//compound:prt//141 måste//VB|PRS|AKT//aux//146 naturligtvis//AB//advmod//146 också//AB//advmod//146 prövas//VB|INF|SFO//parataxis//81 enligt//PP//case//148 sekretesslagen//NN|UTR|SIN|DEF|NOM//obl//146 (//PAD//punct//150 1980:100//RG|NOM//appos//148 )//PAD//punct//150 .//MAD//punct//12
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Enligt//PP//case//1 förslaget//NN|NEU|SIN|DEF|NOM//obl//4 är//VB|PRS|AKT//cop//4 lagen//NN|UTR|SIN|DEF|NOM//nsubj//4 tillämplig//JJ|POS|UTR|SIN|IND|NOM//ROOT//4 oavsett//PP//case//7 vilket//HD|NEU|SIN|IND//det//7 subjekt//NN|NEU|SIN|IND|NOM//obl//4 som//HP|-|-|-//nsubj//9 behandlar//VB|PRS|AKT//acl:relcl//7 personuppgifter//NN|UTR|PLU|IND|NOM//obj//9 ,//MID//punct//13 under//PP//case//13 förutsättning//NN|UTR|SIN|IND|NOM//conj//7 att//SN//mark//17 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//17 är//VB|PRS|AKT//cop//17 fråga//NN|UTR|SIN|IND|NOM//acl//13 om//PP//case//19 socialtjänst//NN|UTR|SIN|IND|NOM//obl//17 i//PP//case//22 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 mening//NN|UTR|SIN|IND|NOM//nmod//19 .//MAD//punct//4
