Statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 bemyndigade//VB|PRT|AKT//ROOT//1 genom//PP//case//3 beslut//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//6 21//RG|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//obl//1 2000//RG|NOM//nummod//6 det//DT|NEU|SIN|DEF//det//9 statsråd//NN|NEU|SIN|IND|NOM//obl//1 som//HP|-|-|-//nsubj//11 ansvarar//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 frågor//NN|UTR|PLU|IND|NOM//obl//11 om//PP//case//16 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//16 ekonomi//NN|UTR|SIN|IND|NOM//nmod//13 att//IE//mark//18 tillkalla//VB|INF|AKT//acl//16 en//DT|UTR|SIN|IND//det//21 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//21 utredare//NN|UTR|SIN|IND|NOM//obj//18 med//PP//case//23 uppdrag//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//25 utreda//VB|INF|AKT//acl//23 frågan//NN|UTR|SIN|DEF|NOM//obj//25 om//PP//case//28 kontroll//NN|UTR|SIN|IND|NOM//nmod//26 och//KN//cc//30 omprövning//NN|UTR|SIN|IND|NOM//conj//28 av//PP//case//32 beslut//NN|NEU|SIN|IND|NOM//nmod//30 om//PP//case//34 utbetalning//NN|UTR|SIN|IND|NOM//obl//25 i//PP//case//36 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//34 .//MAD//punct//1
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Förfarandet//NN|NEU|SIN|DEF|NOM//ROOT//0 8//RG|NOM//nummod//2 §//NN|AN//nmod//0
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Med//PP//case//1 kommun//NN|UTR|SIN|IND|NOM//obl//2 avses//VB|PRS|SFO//ROOT//2 i//PP//case//4 10//RG|NOM//nummod//7 och//KN//cc//4 13–19//RG|NOM//nummod//7 §//NN|AN//nmod//8 §//NN|AN//nsubj:pass//2 även//AB//advmod//10 landsting//NN|NEU|SIN|IND|NOM//xcomp//2 ,//MID//punct//12 kommunalförbund//NN|NEU|SIN|IND|NOM//conj//10 ,//MID//punct//15 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//15 regionförbund//NN|NEU|SIN|IND|NOM//conj//10 som//HP|-|-|-//nsubj:pass//17 avses//VB|PRS|SFO//acl:relcl//15 i//PP//case//22 5//RG|NOM//nummod//20 §//NN|AN//nmod//22 tredje//RO|NOM//amod//22 stycket//NN|NEU|SIN|DEF|NOM//obl//17 samt//KN//cc//25 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//25 beställarförbund//NN|NEU|SIN|IND|NOM//conj//22 som//HP|-|-|-//nsubj:pass//27 avses//VB|PRS|SFO//acl:relcl//25 i//PP//case//30 7//RG|NOM//nummod//30 §//NN|AN//obl//27 andra//RO|NOM//amod//32 stycket//NN|NEU|SIN|DEF|NOM//obl//27 2//RG|NOM//nummod//32 .//MAD//punct//2
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 lydelse//NN|UTR|SIN|IND|NOM//nmod//3 Föreslagen//PC|PRF|UTR|SIN|IND|NOM//amod//3 lydelse//NN|UTR|SIN|IND|NOM//ROOT//3
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Ansökan//NN|UTR|SIN|IND|NOM//ROOT//0 9//RG|NOM//nummod//2 §//NN|AN//nmod//0
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//10 om//PP//case//2 ersättning//NN|UTR|SIN|IND|NOM//nmod//0 enligt//PP//case//8 5//RG|NOM//nummod//7 och//KN//cc//4 7//RG|NOM//nummod//4 §//NN|AN//nmod//8 §//NN|AN//nmod//2 skall//VB|PRS|AKT//aux//10 ges//VB|INF|SFO//ROOT//10 in//PL//compound:prt//10 till//PP//case//13 Riksskatteverket//NN|NEU|SIN|DEF|NOM//obl//10 .//MAD//punct//10
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Ansökan//NN|UTR|SIN|IND|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 avse//VB|INF|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//4 ersättningsperiod//NN|UTR|SIN|IND|NOM//obj//2 om//PP//case//7 en//DT|UTR|SIN|IND//det//7 kalendermånad//NN|UTR|SIN|IND|NOM//nmod//4 eller//KN//cc//10 om//PP//case//10 tre//RG|NOM//nummod//14 på//PP//case//12 varandra//PN|UTR/NEU|PLU|DEF|OBJ//nmod//10 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 kalendermånader//NN|UTR|PLU|IND|NOM//obl//2 .//MAD//punct//2
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//2 skall//VB|PRS|AKT//aux//2 lämnas//VB|INF|SFO//ROOT//2 på//PP//case//4 blankett//NN|UTR|SIN|IND|NOM//obl//2 enligt//PP//case//7 fastställt//PC|PRF|NEU|SIN|IND|NOM//amod//7 formulär//NN|NEU|SIN|IND|NOM//nmod//4 .//MAD//punct//2
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Årsuppgift//NN|UTR|SIN|IND|NOM//nmod//2 10//RG|NOM//nummod//2 §//NN|AN//ROOT//2
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;För//PP//case//2 varje//DT|UTR/NEU|SIN|IND//det//2 kalenderår//NN|NEU|SIN|IND|NOM//obl//5 skall//VB|PRS|AKT//aux//5 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//5 lämna//VB|INF|AKT//ROOT//5 uppgift//NN|UTR|SIN|IND|NOM//obj//5 om//PP//case//10 det//DT|NEU|SIN|DEF//det//10 sammanlagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//10 belopp//NN|NEU|SIN|IND|NOM//obl//5 som//HP|-|-|-//nsubj:pass//14 för//PP//case//13 året//NN|NEU|SIN|DEF|NOM//obl//14 bokförts//VB|SUP|SFO//acl:relcl//10 på//PP//case//16 konton//NN|NEU|PLU|IND|NOM//obl//14 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//19 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//19 mervärdesskatt//NN|UTR|SIN|IND|NOM//obl//14 och//KN//cc//22 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//22 schablonbelopp//NN|NEU|PLU|IND|NOM//conj//19 som//HP|-|-|-//nsubj:pass//24 ersätts//VB|PRS|SFO//acl:relcl//22 från//PP//case//26 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//obl//24 (//PAD//punct//26 årsuppgift//NN|UTR|SIN|IND|NOM//appos//26 )//PAD//punct//26 .//MAD//punct//5
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Årsuppgiften//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 vara//VB|INF|AKT//cop//3 undertecknad//PC|PRF|UTR|SIN|IND|NOM//ROOT//3 och//KN//cc//6 ha//VB|INF|AKT//aux//6 kommit//VB|SUP|AKT//conj//3 in//PL//compound:prt//6 till//PP//case//9 Riksskatteverket//NN|NEU|SIN|DEF|NOM//obl//6 senast//AB|SUV//case//12 före//PP//case//12 utgången//NN|UTR|SIN|DEF|NOM//obl//6 av//PP//case//15 juni//NN|UTR|SIN|IND|NOM//nmod//15 året//NN|NEU|SIN|DEF|NOM//nmod//12 efter//PP//case//18 det//DT|NEU|SIN|DEF//det//18 kalenderår//NN|NEU|SIN|IND|NOM//obl//6 som//HP|-|-|-//obj//21 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//21 avser//VB|PRS|AKT//acl:relcl//18 .//MAD//punct//3
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Årsuppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//2 skall//VB|PRS|AKT//aux//2 lämnas//VB|INF|SFO//ROOT//2 på//PP//case//4 blankett//NN|UTR|SIN|IND|NOM//obl//2 enligt//PP//case//7 fastställt//PC|PRF|NEU|SIN|IND|NOM//amod//7 formulär//NN|NEU|SIN|IND|NOM//nmod//4 .//MAD//punct//2
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;En//DT|UTR|SIN|IND//det//2 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//2 ändring//NN|UTR|SIN|IND|NOM//nsubj//22 av//PP//case//4 beslut//NN|NEU|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 omfattar//VB|PRS|AKT//acl:relcl//4 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//8 ersättningsperioder//NN|UTR|PLU|IND|NOM//obj//6 under//PP//case//11 ett//DT|NEU|SIN|IND//det//11 kalenderår//NN|NEU|SIN|IND|NOM//obl//6 och//KN//cc//14 som//HP|-|-|-//nsubj:pass//14 görs//VB|PRS|SFO//conj//6 efter//PP//case//16 utgången//NN|UTR|SIN|DEF|NOM//obl//14 av//PP//case//18 kalenderåret//NN|NEU|SIN|DEF|NOM//nmod//16 ,//MID//punct//2 får//VB|PRS|AKT//aux//22 Riksskatteverket//NN|NEU|SIN|DEF|NOM//nsubj//22 hänföra//VB|INF|AKT//ROOT//22 till//PP//case//26 den//DT|UTR|SIN|DEF//det//26 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//26 ersättningsperioden//NN|UTR|SIN|DEF|NOM//obl//22 under//PP//case//28 kalenderåret//NN|NEU|SIN|DEF|NOM//obl//22 .//MAD//punct//22
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;13//RG|NOM//nummod//31 §//NN|AN//obl//22
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Innan//SN//mark//3 ett//DT|NEU|SIN|IND//det//2 ersättningsärende//NN|NEU|SIN|IND|NOM//nsubj:pass//3 avgörs//VB|PRS|SFO//advcl//6 skall//VB|PRS|AKT//aux//6 kommunen//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 ges//VB|INF|SFO//ROOT//6 tillfälle//NN|NEU|SIN|IND|NOM//nsubj:pass//6 att//IE//mark//9 yttra//VB|INF|AKT//acl//7 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//9 om//SN//mark//15 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 inte//AB//advmod//15 är//VB|PRS|AKT//cop//15 onödigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//9 .//MAD//punct//6
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Ett//DT|NEU|SIN|IND//det//1 ersättningsärende//NN|NEU|SIN|IND|NOM//nsubj:pass//4 får//VB|PRS|AKT//aux//4 inte//AB//advmod//4 avgöras//VB|INF|SFO//ROOT//4 utan//PP//mark//8 att//SN//mark//8 kommunen//NN|UTR|SIN|DEF|NOM//nsubj:pass//8 underrättats//VB|SUP|SFO//advcl//4 om//PP//case//11 en//DT|UTR|SIN|IND//det//11 uppgift//NN|UTR|SIN|IND|NOM//obl//8 som//HP|-|-|-//nsubj:pass//14 har//VB|PRS|AKT//aux//14 tillförts//VB|SUP|SFO//acl:relcl//11 av//PP//case//16 annan//JJ|POS|UTR|SIN|IND|NOM//obl:agent//14 än//KN//case//18 kommunen//NN|UTR|SIN|DEF|NOM//nmod//16 och//KN//cc//20 kommunen//NN|UTR|SIN|DEF|NOM//conj//18 har//VB|PRS|AKT//aux//22 fått//VB|SUP|AKT//conj//4 tillfälle//NN|NEU|SIN|IND|NOM//obj//22 att//IE//mark//25 yttra//VB|INF|AKT//acl//23 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//25 över//PP//case//28 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//25 .//MAD//punct//4
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 gäller//VB|PRS|AKT//parataxis//4 dock//AB//advmod//31 inte//AB//advmod//31 om//SN//mark//38 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//38 är//VB|PRS|AKT//cop//38 uppenbart//AB|POS//advmod//38 obehövligt//JJ|POS|NEU|SIN|IND|NOM//advcl//31 .//MAD//punct//31
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 lydelse//NN|UTR|SIN|IND|NOM//nmod//3 Föreslagen//PC|PRF|UTR|SIN|IND|NOM//amod//3 lydelse//NN|UTR|SIN|IND|NOM//ROOT//3
1.1 Förslag till lag om ändring i lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting Härigenom föreskrivs i fråga om lagen (1995:1518) om mervärdesskattekonton för kommuner och landsting;Utredning//NN|UTR|SIN|IND|NOM//ROOT//0 14//RG|NOM//nummod//2 §//NN|AN//nmod//0
