
INNEHÅLL;Referenser//NN|UTR|PLU|IND|NOM//ROOT//0
1.2 Bakgrund (1);Enligt//PP//case//63 SBU//PM|NOM//obl//27 (//PAD//punct//63 2006//RG|NOM//nummod//63 )//PAD//punct//63 beräknas//VB|PRS|SFO//conj//27 50-60//RG|NOM//nummod//70 nyfödda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//70 barn//NN|NEU|PLU|IND|NOM//nsubj:pass//67 per//PP//case//72 år//NN|NEU|SIN|IND|NOM//nmod//70 komma//VB|INF|AKT//aux//75 att//IE//mark//75 bli//VB|INF|AKT//xcomp//2 föremål//NN|NEU|SIN|IND|NOM//xcomp//75 för//PP//case//78 cochleaimplantation//NN|UTR|SIN|IND|NOM//nmod//76 .//MAD//punct//2
1.2 Bakgrund (1);Det//DT|NEU|SIN|DEF//det//82 första//RO|NOM//amod//82 barnet//NN|NEU|SIN|DEF|NOM//nsubj:pass//83 opererades//VB|PRT|SFO//parataxis//2 1991//RG|NOM//nummod//83 .//MAD//punct//2
1.2 Bakgrund (1);Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//87 innebär//VB|PRS|AKT//parataxis//2 att//SN//mark//102 när//HA//mark//102 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//91 barn//NN|NEU|PLU|IND|NOM//nsubj//102 med//PP//case//93 behov//NN|NEU|SIN|IND|NOM//nmod//91 av//PP//case//95 cochleaimplantat//NN|NEU|PLU|IND|NOM//nmod//93 ,//MID//punct//97 CI//PM|NOM//conj//95 ,//MID//punct//102 i//PP//case//100 framtiden//NN|UTR|SIN|DEF|NOM//obl//102 har//VB|PRS|AKT//aux//102 opererats//VB|SUP|SFO//ccomp//87 kommer//VB|PRS|AKT//aux//106 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//106 att//IE//mark//106 finnas//VB|INF|SFO//ccomp//87 ca//AB|AN//advmod//108 500//RG|NOM//nummod//109 barn//NN|NEU|PLU|IND|NOM//obj//106 med//PP//case//111 CI//PM|NOM//nmod//109 i//PP//case//113 grundskoleålder//NN|UTR|PLU|IND|NOM//obl//106 varje//DT|UTR/NEU|SIN|IND//det//115 år//NN|NEU|SIN|IND|NOM//obl//106 (//PAD//punct//115 SOU//PM|NOM//appos//115 2011:30//RG|NOM//nummod//117 )//PAD//punct//115 .//MAD//punct//2 ”//PAD//punct//123
1.2 Bakgrund (1);En//DT|UTR|SIN|IND//det//123 skola//NN|UTR|SIN|IND|NOM//parataxis//2 för//PP//case//125 alla//DT|UTR/NEU|PLU|IND/DEF//nmod//123 ”//PAD//punct//123 ,//MID//punct//129 ett//DT|NEU|SIN|IND//det//129 begrepp//NN|NEU|SIN|IND|NOM//appos//123 som//HP|-|-|-//nsubj:pass//131 myntades//VB|PRT|SFO//acl:relcl//129 i//PP//case//135 samband//NN|NEU|SIN|IND|NOM//fixed//132 med//PP//fixed//132 införandet//NN|NEU|SIN|DEF|NOM//obl//131 av//PP//case//139 den//DT|UTR|SIN|DEF//det//139 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//139 läroplanen//NN|UTR|SIN|DEF|NOM//nmod//135 1980//RG|NOM//nummod//139 ,//MID//punct//123 innebär//VB|PRS|AKT//conj//2 att//SN//mark//147 alla//DT|UTR/NEU|PLU|IND/DEF//det//145 barn//NN|NEU|PLU|IND|NOM//nsubj//147 ska//VB|PRS|AKT//aux//147 få//VB|INF|AKT//ccomp//142 de//DT|UTR/NEU|PLU|DEF//det//150 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//150 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//147 för//PP//case//154 sin//PS|UTR|SIN|DEF//nmod:poss//154 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//154 utveckling//NN|UTR|SIN|IND|NOM//obl//147 ,//MID//punct//167 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//167 av//PP//case//167 fysiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//167 ,//MID//punct//160 intellektuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//158 ,//MID//punct//162 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//158 ,//MID//punct//164 emotionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//158 och//KN//cc//166 språkliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//158 förmågor//NN|UTR|PLU|IND|NOM//obl//147 .//MAD//punct//147
1.2 Bakgrund (1);För//PP//case//170 barn//NN|NEU|SIN|IND|NOM//obl//173 med//PP//case//172 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//170 finns//VB|PRS|SFO//conj//147 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//176 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//176 skolformer//NN|UTR|PLU|IND|NOM//nsubj//173 .//MAD//punct//173
1.2 Bakgrund (1);För//PP//case//179 elever//NN|UTR|PLU|IND|NOM//obl//147 med//PP//case//181 grav//NN|UTR|SIN|IND|NOM//nmod//179 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//179 eller//KN//cc//184 dövhet//NN|UTR|SIN|IND|NOM//conj//182 finns//VB|PRS|SFO//parataxis//2 specialskolor//NN|UTR|PLU|IND|NOM//nsubj//185 och//KN//cc//189 för//PP//case//189 barn//NN|NEU|PLU|IND|NOM//conj//186 med//PP//case//191 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//189 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//193 specialskola//NN|UTR|SIN|IND|NOM//nsubj//185 ,//MID//punct//195 regional//JJ|POS|UTR|SIN|IND|NOM//conj//193 eller//KN//cc//197 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//198 hörselskola//NN|UTR|SIN|IND|NOM//conj//193 och//KN//cc//200 inkludering//NN|UTR|SIN|IND|NOM//conj//198 i//PP//case//202 hemskola//NN|UTR|SIN|IND|NOM//nmod//200 .//MAD//punct//2
1.2 Bakgrund (1);Utveckling//NN|UTR|SIN|IND|NOM//parataxis//2 av//PP//case//206 teknik//NN|UTR|SIN|IND|NOM//nmod//204 ,//MID//punct//204 t.ex.//AB|AN//advmod//212 i//PP//case//212 form//NN|UTR|SIN|IND|NOM//fixed//209 av//PP//fixed//209 CI//PM|NOM//nmod//204 ,//MID//punct//217 men//KN//cc//217 också//AB//advmod//216 minskande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//217 barnkullar//NN|UTR|PLU|IND|NOM//conj//204 ,//MID//punct//220 har//VB|PRS|AKT//aux//220 inneburit//VB|SUP|AKT//conj//2 en//DT|UTR|SIN|IND//det//222 minskning//NN|UTR|SIN|IND|NOM//obj//220 i//PP//case//224 elevantal//NN|NEU|SIN|IND|NOM//nmod//222 vid//PP//case//226 specialskolorna//NN|UTR|PLU|DEF|NOM//nmod//224 med//PP//case//230 cirka//AB//advmod//229 30//RG|NOM//nummod//230 %//NN|AN//obl//220 (//PAD//punct//220 SPSM//PM|NOM//appos//220 ,//MID//punct//232 2012//RG|NOM//conj//232 )//PAD//punct//220 .//MAD//punct//2
1.2 Bakgrund (1);Ca//AB|AN//advmod//238 85//RG|NOM//nummod//239 %//NN|AN//nsubj//246 av//PP//case//242 alla//DT|UTR/NEU|PLU|IND/DEF//det//242 elever//NN|UTR|PLU|IND|NOM//nmod//239 med//PP//case//245 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//245 hörsel//NN|UTR|SIN|IND|NOM//nmod//242 går//VB|PRS|AKT//conj//2 i//PP//case//249 vanliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//249 klasser//NN|UTR|PLU|IND|NOM//obl//246 i//PP//case//251 grund-//NN|NEU|-|-|SMS//obl//246 och//KN//cc//253 gymnasieskola//NN|UTR|SIN|IND|NOM//conj//251 .//MAD//punct//2
1.2 Bakgrund (1);I//PP//case//2 Nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//2 Kvalitetsregister//NN|NEU|SIN|IND|NOM//obl//17 för//PP//case//4 Öron-//NN|UTR|-|-|SMS//nmod//2 ,//MID//punct//6 näs-//NN|NEU|-|-|SMS//conj//4 och//KN//cc//8 halssjukvård//NN|UTR|SIN|IND|NOM//conj//4 ,//MID//punct//11 ett//DT|NEU|SIN|IND//det//11 vårdregister//NN|NEU|SIN|IND|NOM//appos//2 som//HP|-|-|-//nsubj:pass//13 stöds//VB|PRS|SFO//acl:relcl//11 av//PP//case//15 Socialstyrelsen//PM|NOM//obl:agent//13 ,//MID//punct//17 finns//VB|PRS|SFO//ROOT//17 Hörselbarnsregistret//NN|NEU|SIN|DEF|NOM//nsubj//17 (//PAD//punct//18 Konradsson//PM|NOM//appos//18 &//KN|AN//cc//20 Järvholm//PM|NOM//conj//20 ,//MID//punct//20 2004//RG|NOM//nummod//20 )//PAD//punct//18 .//MAD//punct//17
1.2 Bakgrund (1);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 omfattar//VB|PRS|AKT//parataxis//17 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 barn//NN|NEU|PLU|IND|NOM//obj//28 yngre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 än//KN//fixed//31 19//RG|NOM//nummod//34 år//NN|NEU|PLU|IND|NOM//obl//28 med//PP//case//37 permanent//JJ|POS|UTR|SIN|IND|NOM//amod//37 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//34 med//PP//case//40 >//MID//nmod//40 29dB//RG|NOM//nmod//37 på//PP//case//43 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//43 örat//NN|NEU|SIN|DEF|NOM//nmod//40 i//PP//case//45 genomsnitt//NN|NEU|SIN|IND|NOM//nmod//43 över//PP//case//48 500-4000//RG|NOM//nummod//48 Hz//NN|AN//nmod//40 .//MAD//punct//28
1.2 Bakgrund (1);2012-09-19//RG|NOM//appos//28 fanns//VB|PRT|SFO//expl//50 760//RG|NOM//nummod//53 barn//NN|NEU|PLU|IND|NOM//nsubj//54 registrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//50 från//PP//case//56 20//RG|NOM//obl//54 av//PP//case//60 ca//AB|AN//advmod//59 30//RG|NOM//nummod//60 kliniker//NN|UTR|PLU|IND|NOM//nmod//56 (//PAD//punct//50 Årsrapport//NN|UTR|SIN|IND|NOM//appos//50 för//PP//case//64 2011-2012//RG|NOM//nmod//62 )//PAD//punct//50 .//MAD//punct//28
1.2 Bakgrund (1);Härigenom//AB//advmod//68 ges//VB|PRS|SFO//conj//17 möjligheter//NN|UTR|PLU|IND|NOM//nsubj:pass//68 att//IE//mark//71 följa//VB|INF|AKT//acl//69 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//71 och//KN//cc//74 få//VB|INF|AKT//conj//71 en//DT|UTR|SIN|IND//det//76 uppfattning//NN|UTR|SIN|IND|NOM//obj//74 om//PP//case//78 omfattningen//NN|UTR|SIN|DEF|NOM//nmod//76 av//PP//case//80 hörselnedsättningar//NN|UTR|PLU|IND|NOM//nmod//78 hos//PP//case//82 barn//NN|NEU|PLU|IND|NOM//nmod//78 .//MAD//punct//68
1.2 Bakgrund (1);I//PP//case//86 en//DT|UTR|SIN|IND//det//86 studie//NN|UTR|SIN|IND|NOM//obl//94 av//PP//case//88 Konradsson//PM|NOM//nmod//86 och//KN//cc//90 Järvholm//PM|NOM//conj//88 (//PAD//punct//88 2004//RG|NOM//conj//88 )//PAD//punct//86 ingick//VB|PRT|AKT//parataxis//68 449//RG|NOM//nummod//96 barn//NN|NEU|PLU|IND|NOM//obj//94 från//PP//case//98 registret//NN|NEU|SIN|DEF|NOM//obl//94 .//MAD//punct//94
1.2 Bakgrund (1);Genomsnittlig//JJ|POS|UTR|SIN|IND|NOM//amod//101 ålder//NN|UTR|SIN|IND|NOM//nsubj//106 vid//PP//case//103 upptäckt//NN|UTR|SIN|IND|NOM//nmod//101 var//VB|PRT|AKT//cop//106 2,7//RG|NOM//nummod//106 år//NN|NEU|PLU|IND|NOM//conj//94 .//MAD//punct//94
1.2 Bakgrund (1);Barn//NN|NEU|PLU|IND|NOM//nsubj:pass//112 med//PP//case//110 grav//NN|UTR|SIN|IND|NOM//nmod//108 hörselnedsättning//NN|UTR|SIN|IND|NOM//conj//108 identifierades//VB|PRT|SFO//parataxis//94 vanligtvis//AB//advmod//112 tidigare//AB|KOM//advmod//112 än//KN//case//116 barn//NN|NEU|PLU|IND|NOM//obl//112 med//PP//case//119 måttlig//JJ|POS|UTR|SIN|IND|NOM//amod//119 nedsättning//NN|UTR|SIN|IND|NOM//nmod//116 och//KN//cc//121 pojkar//NN|UTR|PLU|IND|NOM//conj//119 upptäcktes//VB|PRT|SFO//conj//94 signifikant//AB|POS//advmod//122 tidigare//AB|KOM//advmod//122 än//KN//mark//126 flickor//NN|UTR|PLU|IND|NOM//obl//122 (//PAD//punct//94 medel//NN|NEU|PLU|IND|NOM//nmod//129 3,0//RG|NOM//appos//94 och//KN//cc//131 3,5//RG|NOM//nummod//132 år//NN|NEU|PLU|IND|NOM//obl//129 ,//MID//punct//94 resp.//AB|AN//cc//94 )//PAD//punct//94 .//MAD//punct//94
1.2 Bakgrund (1);1.2.1//RG|NOM//nmod//138 Barn//NN|NEU|PLU|IND|NOM//nsubj//94 med//PP//case//140 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//138 ,//MID//punct//144 ett//DT|NEU|SIN|IND//det//144 förändrat//PC|PRF|NEU|SIN|IND|NOM//amod//144 scenario//NN|NEU|SIN|IND|NOM//conj//138
1.2 Bakgrund (1);Mycket//PN|NEU|SIN|IND|SUB/OBJ//nsubj//7 av//PP//case//3 den//DT|UTR|SIN|DEF//det//3 forskning//NN|UTR|SIN|IND|NOM//nmod//0 som//HP|-|-|-//nsubj:pass//5 redovisas//VB|PRS|SFO//acl:relcl//3 nedan//AB//advmod//5 rör//VB|PRS|AKT//advcl//80 konsekvenserna//NN|UTR|PLU|DEF|NOM//obj//7 av//PP//mark//14 att//SN//mark//14 allt//AB//advmod//12 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//13 barn//NN|NEU|PLU|IND|NOM//nsubj//14 får//VB|PRS|AKT//advcl//7 CI//PM|NOM//obj//14 allt//AB//advmod//17 tidigare//AB|KOM//advmod//14 ,//MID//punct//20 vilket//HP|NEU|SIN|IND//nsubj//20 innebär//VB|PRS|AKT//conj//7 att//SN//mark//29 bilden//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 av//PP//case//24 barnet//NN|NEU|SIN|DEF|NOM//nmod//22 med//PP//case//26 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//22 i//PP//case//28 skolan//NN|UTR|SIN|DEF|NOM//nmod//26 förändras//VB|PRS|SFO//ccomp//20 .//MAD//punct//29
1.2 Bakgrund (1);Även//AB//advmod//32 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//35 av//PP//case//34 teknik//NN|UTR|SIN|IND|NOM//nmod//32 leder//VB|PRS|AKT//conj//29 i//PP//case//38 samma//DT|UTR/NEU|SIN/PLU|IND//det//38 riktning//NN|UTR|SIN|IND|NOM//obl//35 ://MID//punct//20
1.2 Bakgrund (1);allt//AB//advmod//41 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//42 föräldrar//NN|UTR|PLU|IND|NOM//nsubj//43 önskar//VB|PRS|AKT//parataxis//20 för//PP//case//46 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//46 barn//NN|NEU|PLU|IND|NOM//obl//43 en//DT|UTR|SIN|IND//det//49 tvåspråkig//JJ|POS|UTR|SIN|IND|NOM//amod//49 skola//NN|UTR|SIN|IND|NOM//obj//43 ,//MID//punct//49 en//DT|UTR|SIN|IND//det//52 tvåspråkighet//NN|UTR|SIN|IND|NOM//appos//49 som//HP|-|-|-//nsubj//54 innebär//VB|PRS|AKT//acl:relcl//52 inte//AB//advmod//54 bara//AB//advmod//54 teckenspråk//NN|NEU|SIN|IND|NOM//obj//54 och//KN//cc//60 skriven//PC|PRF|UTR|SIN|IND|NOM//amod//60 svenska//NN|UTR|SIN|IND|NOM//conj//57 utan//KN//cc//64 också//AB//advmod//63 talad//PC|PRF|UTR|SIN|IND|NOM//amod//64 svenska//NN|UTR|SIN|IND|NOM//conj//57 .//MAD//punct//7
1.2 Bakgrund (1);Exempel//NN|NEU|PLU|IND|NOM//obj//7 på//PP//case//68 frågor//NN|UTR|PLU|IND|NOM//nmod//66 som//HP|-|-|-//nsubj:pass//70 studeras//VB|PRS|SFO//acl:relcl//68 och//KN//cc//73 som//HP|-|-|-//nsubj:pass//73 belyses//VB|PRS|SFO//conj//70 i//PP//case//75 forskningsöversikten//NN|UTR|SIN|DEF|NOM//obl//73 är//VB|PRS|AKT//punct//7 ://MID//punct//7
1.2 Bakgrund (1);ska//VB|PRS|AKT//aux//80 barnen//NN|NEU|PLU|DEF|NOM//nsubj:pass//80 betraktas//VB|INF|SFO//ROOT//80 som//KN//mark//82 funktionsnedsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//80 eller//KN//cc//85 som//KN//mark//85 normalfungerande//NN|NEU|SIN|IND|NOM//conj//80 med//PP//case//89 hjälp//NN|UTR|SIN|IND|NOM//fixed//86 av//PP//fixed//86 tekniken//NN|UTR|SIN|DEF|NOM//obl//85 ?//MID//punct//80
1.2 Bakgrund (1);Hur//HA//advmod//92 påverkas//VB|PRS|SFO//parataxis//80 hörseln//NN|UTR|SIN|DEF|NOM//nsubj:pass//92 av//PP//case//95 ljud//NN|NEU|SIN|IND|NOM//nmod//93 i//PP//case//97 omgivningen//NN|UTR|SIN|DEF|NOM//obl//92 ?//MID//punct//103
1.2 Bakgrund (1);Är//VB|PRS|AKT//cop//103 hörseln//NN|UTR|SIN|DEF|NOM//nsubj//103 tillräckligt//AB|POS//advmod//102 väl//AB|POS//advmod//103 fungerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//80 för//PP//mark//109 att//SN//mark//109 barnet//NN|NEU|SIN|DEF|NOM//nsubj//109 ska//VB|PRS|AKT//aux//109 kunna//VB|INF|AKT//aux//109 använda//VB|INF|AKT//advcl//103 det//DT|NEU|SIN|DEF//det//112 talade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//112 språket//NN|NEU|SIN|DEF|NOM//obj//109 fullt//AB|POS//advmod//114 ut//AB//advmod//109 eller//KN//cc//118 är//VB|PRS|AKT//cop//118 teckenspråk//NN|NEU|SIN|IND|NOM//advmod//118 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//conj//109 som//KN//mark//120 komplement//NN|NEU|SIN|IND|NOM//acl//118 ?//MID//punct//122
1.2 Bakgrund (1);Främjar//VB|PRS|AKT//parataxis//103 i//PP//advmod//122 så//AB//advmod//126 fall//NN|NEU|SIN|IND|NOM//fixed//124 teckenspråket//NN|NEU|SIN|DEF|NOM//nmod//127 tal-//NN|NEU|-|-|SMS//obj//122 och//KN//cc//129 språkutvecklingen//NN|UTR|SIN|DEF|NOM//conj//127 eller//KN//cc//134 är//VB|PRS|AKT//cop//134 teckenspråket//NN|NEU|SIN|DEF|NOM//nsubj//134 ett//DT|NEU|SIN|IND//det//134 hinder//NN|NEU|SIN|IND|NOM//conj//127 ?//MID//punct//80
1.2 Bakgrund (1);Finns//VB|PRS|SFO//parataxis//80 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//136 en//DT|UTR|SIN|IND//det//140 optimal//JJ|POS|UTR|SIN|IND|NOM//amod//140 tidpunkt//NN|UTR|SIN|IND|NOM//nsubj//136 ,//MID//punct//144 ett//DT|NEU|SIN|IND//det//144 öppet//JJ|POS|NEU|SIN|IND|NOM//amod//144 fönster//NN|NEU|SIN|IND|NOM//appos//140 ,//MID//punct//148 i//PP//case//148 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//148 utveckling//NN|UTR|SIN|IND|NOM//obl//136 när//HA//mark//152 teckenspråk//NN|NEU|SIN|IND|NOM//nsubj:pass//152 ska//VB|PRS|AKT//aux//152 introduceras//VB|INF|SFO//advcl//136 för//PP//case//156 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//156 möjliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//156 kommunikation//NN|UTR|SIN|IND|NOM//obl//152 ?//MID//punct//164
