4 1983 års Ubåtsskyddskommission ;Den//DT|UTR|SIN|DEF//det//2 21//RG|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 1982//RG|NOM//nummod//2 tillkallades//VB|PRT|SFO//ROOT//4 en//DT|UTR|SIN|IND//det//6 kommission//NN|UTR|SIN|IND|NOM//nsubj:pass//4 med//PP//case//8 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//6 att//IE//mark//10 undersöka//VB|INF|AKT//acl//6 ubåtskränkningarna//NN|UTR|PLU|DEF|NOM//obj//10 av//PP//case//14 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//14 territorium//NN|NEU|SIN|IND|NOM//nmod//11 .//MAD//punct//4
4 1983 års Ubåtsskyddskommission ;Denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//60 sammanfattades//VB|PRT|SFO//conj//1 i//PP//case//63 en//DT|UTR|SIN|IND//det//63 beskrivning//NN|UTR|SIN|IND|NOM//obl//60 enligt//PP//case//67 vilken//HP|UTR|SIN|IND//det//67 tre//RG|NOM//nummod//67 moderubåtar//NN|UTR|PLU|IND|NOM//nmod//63 och//KN//cc//71 tre//RG|NOM//nummod//70 miniubåtar//NN|UTR|PLU|IND|NOM//nsubj//71 opererade//VB|PRT|AKT//conj//60 i//PP//case//77 Stockholms//PM|GEN//nmod:poss//77 södra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//77 och//KN//cc//76 mellersta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//conj//74 skärgård//NN|UTR|SIN|IND|NOM//obl//71 .//MAD//punct//1
4 1983 års Ubåtsskyddskommission ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 framgår//VB|PRS|AKT//ROOT//1 av//PP//case//4 de//DT|UTR/NEU|PLU|DEF//det//4 intervjuer//NN|UTR|PLU|IND|NOM//obl//1 och//KN//cc//6 samtal//NN|NEU|PLU|IND|NOM//conj//4 som//HP|-|-|-//obj//9 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//9 genomfört//VB|SUP|AKT//acl:relcl//6 med//PP//case//13 de//DT|UTR/NEU|PLU|DEF//det//13 militärt//AB|POS//amod//13 ansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//9 i//PP//case//16 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 Försvarsstaben//NN|UTR|SIN|DEF|NOM//nmod//13 ,//MID//punct//18 Marina//PM|NOM//conj//1 Analysgruppen//NN|UTR|SIN|DEF|NOM//flat//18 ,//MID//punct//21 Grandingruppen//PM|NOM//conj//18 ,//MID//punct//24 Stockholms//PM|GEN//nmod:poss//24 Kustartilleriförsvar//NN|NEU|SIN|IND|NOM//conj//18 och//KN//cc//26 marinstaben//NN|UTR|SIN|DEF|NOM//conj//18 att//SN//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 som//HP|-|-|-//obj//31 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//31 presenterat//VB|SUP|AKT//acl:relcl//28 som//KN//mark//36 ”//VB|PRS|AKT//punct//36 det//DT|NEU|SIN|DEF//det//36 sannolika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 händelseförloppet//NN|NEU|SIN|DEF|NOM//nmod//28 ”//PM|NOM//punct//36 inte//AB//advmod//40 var//VB|PRT|AKT//cop//40 annat//PN|NEU|SIN|IND|SUB/OBJ//dep//18 än//KN//case//42 ett//PN|NEU|SIN|IND|SUB/OBJ//nmod//40 av//PP//case//46 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//46 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 skeenden//NN|NEU|PLU|IND|NOM//nmod//42 som//HP|-|-|-//obj//52 Försvarsstaben//NN|UTR|SIN|DEF|NOM//nsubj//52 och//KN//cc//50 Marina//PM|NOM//conj//48 Analysgruppen//NN|UTR|SIN|DEF|NOM//flat//50 tagit//VB|SUP|AKT//acl:relcl//46 fram//PL//compound:prt//52 för//PP//case//56 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//56 räkning//NN|UTR|SIN|IND|NOM//obl//52 .//MAD//punct//18
4 1983 års Ubåtsskyddskommission ;För//PP//case//59 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//66 som//HP|-|-|-//nsubj//61 arbetat//VB|SUP|AKT//acl:relcl//59 med//PP//case//65 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//65 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 scenarier//NN|NEU|PLU|IND|NOM//obl//61 blev//VB|PRT|AKT//conj//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//66 en//DT|UTR|SIN|IND//det//69 överraskning//NN|UTR|SIN|IND|NOM//nsubj//66 att//IE//mark//73 i//PP//case//72 kommissionsrapporten//NN|UTR|SIN|DEF|NOM//obl//73 se//VB|INF|AKT//acl//69 ett//PN|NEU|SIN|IND|SUB/OBJ//obj//73 av//PP//case//76 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nmod//74 som//KN//mark//79 sannolikt//JJ|POS|NEU|SIN|IND|NOM//amod//79 händelseförlopp//NN|NEU|SIN|IND|NOM//acl//76 .//MAD//punct//73
4 1983 års Ubåtsskyddskommission ;Även//AB//advmod//82 Grandin-gruppen//NN|UTR|SIN|DEF|NOM//nsubj//83 diskuterade//VB|PRT|AKT//conj//73 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 scenarier//NN|NEU|PLU|IND|NOM//obj//83 men//KN//cc//87 konstaterade//VB|PRT|AKT//conj//83 samtidigt//AB//advmod//87 ://MID//punct//87 ”//PAD//punct//92
4 1983 års Ubåtsskyddskommission ;Någon//DT|UTR|SIN|IND//det//92 möjlighet//NN|UTR|SIN|IND|NOM//appos//87 att//IE//mark//100 med//PP//case//97 någon//DT|UTR|SIN|IND//det//97 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//97 grad//NN|UTR|SIN|IND|NOM//obl//100 av//PP//case//99 sannolikhet//NN|UTR|SIN|IND|NOM//nmod//97 analysera//VB|INF|AKT//acl//92 fram//PL//compound:prt//100 hur//HA//advmod//105 ubåtarna//NN|UTR|PLU|DEF|NOM//nsubj//105 har//VB|PRS|AKT//aux//105 rört//VB|SUP|AKT//ccomp//100 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//105 inne//AB//advmod//105 i//PP//case//110 Stockholms//PM|GEN//nmod:poss//110 skärgård//NN|UTR|SIN|IND|NOM//obl//105 förefinns//VB|PRS|SFO//conj//100 ej//AB//advmod//111 ”//PAD//punct//92 .//MAD//punct//1
4 1983 års Ubåtsskyddskommission ;Ubåtsskyddskommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj//6 ,//MID//punct//1 Michael//PM|NOM//nmod//1 Sahlin//PM|NOM//flat//3 ,//MID//punct//1 har//VB|PRS|AKT//aux//12 i//PP//case//8 samtal//NN|NEU|PLU|IND|NOM//obl//12 med//PP//case//10 utredningen//NN|UTR|SIN|DEF|NOM//nmod//8 också//AB//advmod//12 bekräftat//VB|SUP|AKT//ROOT//12 att//SN//mark//24 den//DT|UTR|SIN|DEF//det//15 företagsbeskrivning//NN|UTR|SIN|IND|NOM//nsubj//24 som//HP|-|-|-//nsubj:pass//17 redovisas//VB|PRS|SFO//acl:relcl//15 i//PP//case//20 Ubåtsskyddskommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 betänkande//NN|NEU|SIN|IND|NOM//obl//17 var//VB|PRT|AKT//cop//24 en//DT|UTR|SIN|IND//det//24 möjlig//JJ|POS|UTR|SIN|IND|NOM//amod//24 rekonstruktion//NN|UTR|SIN|IND|NOM//ccomp//12 ,//MID//punct//29 inte//AB//advmod//29 nödvändigtvis//AB//advmod//29 en//DT|UTR|SIN|IND//det//29 verklighetsbeskrivning//NN|UTR|SIN|IND|NOM//conj//24 .//MAD//punct//12
4 1983 års Ubåtsskyddskommission ;Problemet//NN|NEU|SIN|DEF|NOM//nsubj//1 var//VB|PRT|AKT//ROOT//1 att//SN//mark//11 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//11 i//PP//case//6 sitt//PS|NEU|SIN|DEF//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//nmod//3 inte//AB//advmod//10 i//PP//case//10 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//10 grad//NN|UTR|SIN|IND|NOM//obl//11 iakttog//VB|PRT|AKT//ccomp//1 distinktionen//NN|UTR|SIN|DEF|NOM//obj//11 mellan//PP//case//14 företagsbedömning//NN|UTR|SIN|IND|NOM//obl//11 för//PP//case//19 militärt//AB|POS//amod//19 operativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19  //_SP////17 ändamål//NN|NEU|PLU|IND|NOM//nmod//14 och//KN//cc//21 företagsbedömning//NN|UTR|SIN|IND|NOM//conj//19 för//PP//case//25 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25  //_SP////23 ändamål//NN|NEU|PLU|IND|NOM//nmod//21 .//MAD//punct//1
4 1983 års Ubåtsskyddskommission ;Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 företagsbedömningar//NN|UTR|PLU|IND|NOM//nsubj//30 är//VB|PRS|AKT//cop//30 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//1 ,//MID//punct//34 ehuru//AB//advmod//34 ofta//AB|POS//advmod//34 bristfälliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//30 ,//MID//punct//38 på//PP//case//37 indikationer//NN|UTR|PLU|IND|NOM//obl//38 baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 provisorier//NN|UTR|PLU|IND|NOM//obj//30 ,//MID//punct//39 som//HP|-|-|-//nsubj//42 möjliggör//VB|PRS|AKT//acl:relcl//39 direkta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 beslut//NN|NEU|PLU|IND|NOM//obj//42 och//KN//cc//47 operationer//NN|UTR|PLU|IND|NOM//conj//45 .//MAD//punct//39
4 1983 års Ubåtsskyddskommission ;För//PP//case//50 regeringen//NN|UTR|SIN|DEF|NOM//obl//65 och//KN//cc//55 en//DT|UTR|SIN|IND//det//55 politiskt//AB|POS//advmod//54 sammansatt//PC|PRF|UTR|SIN|IND|NOM//amod//55 grupp//NN|UTR|SIN|IND|NOM//conj//50 som//KN//mark//57 Ubåtsskyddskommissionen//PM|NOM//nmod//55 liksom//PP//advmod//60 för//PP//case//60 media//NN|UTR|SIN|IND|NOM//conj//50 ,//MID//punct//50 måste//VB|PRS|AKT//aux//63 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//64 företagsbedömningar//NN|UTR|PLU|IND|NOM//nsubj//65 ha//VB|INF|AKT//conj//30 en//DT|UTR|SIN|IND//det//67 konkretion//NN|UTR|SIN|IND|NOM//obj//65 och//KN//cc//69 precision//NN|UTR|SIN|IND|NOM//conj//67 som//HP|-|-|-//nsubj//71 blir//VB|PRS|AKT//acl:relcl//69 underlag//NN|NEU|SIN|IND|NOM//xcomp//71 för//PP//case//75 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 ställningstaganden//NN|NEU|PLU|IND|NOM//nmod//72 .//MAD//punct//30
4 1983 års Ubåtsskyddskommission ;De//DT|UTR/NEU|PLU|DEF//det//78 företagsbedömningar//NN|UTR|PLU|IND|NOM//conj//30 som//HP|-|-|-//obj//81 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//81 antog//VB|PRT|AKT//acl:relcl//78 hade//VB|PRT|AKT//cop//78 sålunda//AB//advmod//86 inte//AB//advmod//86 den//DT|UTR|SIN|DEF//det//86 stabilitet//NN|UTR|SIN|IND|NOM//obj//78 och//KN//cc//88 verklighetsförankring//NN|UTR|SIN|IND|NOM//conj//86 som//HP|-|-|-//nsubj:pass//90 krävdes//VB|PRT|SFO//acl:relcl//88 för//PP//case//95 ett//DT|NEU|SIN|IND//det//95 balanserat//PC|PRF|NEU|SIN|IND|NOM//amod//95 politiskt//JJ|POS|NEU|SIN|IND|NOM//amod//95 ställningstagande//NN|NEU|SIN|IND|NOM//obl//90 .//MAD//punct//1
4 1983 års Ubåtsskyddskommission ;Detta//DT|NEU|SIN|DEF//det//3 suggestivt//AB|POS//amod//3 beskrivna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//3 händelseförlopp//NN|NEU|SIN|IND|NOM//nsubj//4 tydde//VB|PRT|AKT//ROOT//4 på//PP//mark//12 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//12 i//PP//case//9 Hårsfjärden-incidenten//NN|UTR|SIN|DEF|NOM//obl//12 inte//AB//advmod//12 var//VB|PRT|AKT//cop//12 fråga//NN|UTR|SIN|IND|NOM//advcl//4 om//PP//mark//23 ett//DT|NEU|SIN|IND//det//23 klumpigt//JJ|POS|NEU|SIN|IND|NOM//fixed//14 och//KN//cc//17 oskickligt//JJ|POS|NEU|SIN|IND|NOM//conj//15 ,//MID//punct//15 avsiktligt//AB|POS//conj//15 eller//KN//cc//21 oavsiktligt//AB|POS//conj//19 ,//MID//punct//15 inträngande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//12 på//PP//case//26 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//26 territorium//NN|NEU|SIN|IND|NOM//obl//23 av//PP//case//29 den//DT|UTR|SIN|DEF//det//29 typ//NN|UTR|SIN|IND|NOM//nmod//26 som//HP|-|-|-//obl//33 året//NN|NEU|SIN|DEF|NOM//nsubj:pass//33 innan//AB//mark//33 genomförts//VB|SUP|SFO//acl:relcl//29 av//PP//case//35 ubåt//NN|UTR|SIN|IND|NOM//obl:agent//33 U//NN|NEU|SIN|IND|NOM//nmod//37 137//RG|NOM//nmod//35 .//MID//punct//4
4 1983 års Ubåtsskyddskommission ;Företagets//NN|NEU|SIN|DEF|GEN//nmod:poss//40 omfattning//NN|UTR|SIN|IND|NOM//nsubj//41 tydde//VB|PRT|AKT//parataxis//4 snarare//AB|KOM//advmod//41 på//PP//case//47 en//DT|UTR|SIN|IND//det//47 direkt//JJ|POS|UTR|SIN|IND|NOM//advmod//46 säkerhetspolitisk//JJ|POS|UTR|SIN|IND|NOM//amod//47 utpressning//NN|UTR|SIN|IND|NOM//obl//41 .//MAD//punct//41
