2003-11-27 N2002/4470/ESB ;Näringsdepartementet//NN|NEU|SIN|DEF|NOM//ROOT//0
2003-11-27 N2002/4470/ESB ;Svea//PM|NOM//nsubj//77 Hovrätt//PM|NOM//flat//16 (//PAD//punct//19 Miljööverdomstolen//NN|UTR|SIN|DEF|NOM//appos//16 )//PAD//punct//19 ,//MID//punct//22 Styrelsen//NN|UTR|SIN|DEF|NOM//conj//16 för//PP//case//25 internationellt//JJ|POS|NEU|SIN|IND|NOM//amod//25 utvecklingsarbete//NN|NEU|SIN|IND|NOM//nmod//22 ,//MID//punct//27 Tullverket//PM|NOM//conj//25 ,//MID//punct//29 Riksrevisionsverket//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//31 Vetenskapsrådet//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//34 Stockholms//PM|GEN//nmod:poss//34 universitet//NN|NEU|SIN|IND|NOM//conj//25 (//PAD//punct//37 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//37 fakulteten//NN|UTR|SIN|DEF|NOM//appos//22 )//PAD//punct//37 ,//MID//punct//41 Stockholms//PM|GEN//nmod:poss//41 universitet//NN|NEU|SIN|IND|NOM//conj//16 (//PAD//punct//44 samhällsvetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 fakulteten//NN|UTR|SIN|DEF|NOM//appos//16 )//PAD//punct//44 ,//MID//punct//48 Uppsala//PM|GEN//amod//48 universitet//NN|NEU|SIN|IND|NOM//conj//16 ,//MID//punct//51 Uppsala//PM|GEN//amod//51 universitet//NN|NEU|SIN|IND|NOM//conj//16 (//PAD//punct//54 samhällsvetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 fakulteten//NN|UTR|SIN|DEF|NOM//appos//16 )//PAD//punct//16 ,//MID//punct//57 Linköpings//PM|GEN//nmod:poss//58 universitet//NN|NEU|SIN|IND|NOM//appos//16 ,//MID//punct//61 Lunds//PM|GEN//nmod:poss//61 universitet//NN|NEU|SIN|IND|NOM//conj//16 ,//MID//punct//64 Lunds//PM|GEN//nmod:poss//64 universitet//NN|NEU|SIN|IND|NOM//conj//16 (//PAD//punct//16 Juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//67 fakulteten//NN|UTR|SIN|DEF|NOM//appos//16 )//PAD//punct//16 ,//MID//punct//71 Göteborgs//PM|GEN//nmod:poss//71 universitet//NN|NEU|SIN|IND|NOM//appos//16 (//PAD//punct//74 samhällsvetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//74 fakultetsnämnden//NN|UTR|SIN|DEF|NOM//appos//71 )//PAD//punct//71 ,//MID//punct//77 Umeå//PM|GEN//conj//3 universitet//NN|NEU|SIN|IND|NOM//obj//77 ,//MID//punct//80 Handelshögskolan//NN|UTR|SIN|DEF|NOM//conj//77 i//PP//case//82 Stockholm//PM|NOM//nmod//80 ,//MID//punct//85 Sveriges//PM|GEN//nmod:poss//85 Lantbruksuniversitet//NN|NEU|SIN|IND|NOM//conj//77 ,//MID//punct//85 Forskningsrådet//NN|NEU|SIN|DEF|NOM//obj//77 för//PP//case//89 miljö//NN|UTR|SIN|IND|NOM//nmod//87 ,//MID//punct//91 areella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//92 näringar//NN|UTR|PLU|IND|NOM//conj//87 och//KN//cc//94 samhällsbyggande//NN|NEU|SIN|IND|NOM//conj//92 ,//MID//punct//96 Kungl.//JJ|AN//conj//77
2003-11-27 N2002/4470/ESB ;ingenjörsvetenskapsakademin//NN|UTR|SIN|IND|NOM//ROOT//0 ,//MID//punct//2 Landstingsförbundet//PM|NOM//conj//0 ,//MID//punct//5 Företagarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//5 Riksorganisation//NN|UTR|SIN|IND|NOM//conj//0 ,//MID//punct//9 Sveriges//PM|GEN//nmod:poss//8 Akademikers//NN|UTR|PLU|IND|GEN//nmod:poss//9 Centralorganisation//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//12 Industrins//NN|UTR|SIN|DEF|GEN//nmod:poss//12 utredningsinstitut//NN|NEU|SIN|IND|NOM//conj//0 .//MAD//punct//0
2003-11-27 N2002/4470/ESB ;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 remissinstanser//NN|UTR|PLU|IND|NOM//nsubj//6 har//VB|PRS|AKT//aux//6 på//PP//case//5 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//5 initiativ//NN|NEU|SIN|IND|NOM//obl//6 inkommit//VB|SUP|AKT//ROOT//6 med//PP//case//8 yttrande//NN|NEU|SIN|IND|NOM//obl//6 (//PAD//punct//8 7//RG|NOM//nummod//11 st//NN|AN//appos//8 )//PAD//punct//6 ://MID//punct//15
2003-11-27 N2002/4470/ESB ; //_SP////13 S-nätverket//NN|NEU|SIN|DEF|NOM//parataxis//6 för//PP//case//17 orter//NN|UTR|PLU|IND|NOM//nmod//15 med//PP//case//20 energiintensiv//JJ|POS|UTR|SIN|IND|NOM//amod//20 industri//NN|UTR|SIN|IND|NOM//nmod//17 ,//MID//punct//22 LuossavaaraKiirunavaara//PM|NOM//conj//15 Aktiebolag//PM|NOM//flat//22 (//PAD//punct//22 LKAB//PM|NOM//appos//22 )//PAD//punct//22 ,//MID//punct//28 Mineralullsindustrin//NN|UTR|SIN|DEF|NOM//conj//15 ,//MID//punct//30 Cementa//PM|NOM//conj//15 AB//PM|NOM//nummod//30 ,//MID//punct//30 Pilkington//PM|NOM//nummod//34 Floatglas//PM|NOM//appos//15 AB//PM|NOM//nummod//34 ,//MID//punct//34 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//38 Mineralindustri//NN|UTR|SIN|IND|NOM//conj//34 ,//MID//punct//38 ochTransportindustriförbundet//IN//conj//34 .//MAD//punct//6
2003-11-27 N2002/4470/ESB ;Allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 överväganden//NN|NEU|PLU|IND|NOM//ROOT//1
2003-11-27 N2002/4470/ESB ;Konsumentverket//NN|NEU|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//10 delbetänkandets//NN|NEU|SIN|DEF|GEN//nmod:poss//5 olika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 förslag//NN|NEU|PLU|IND|NOM//nsubj//10 över//PP//case//7 lag//NN|NEU|SIN|IND|NOM//nmod//5 är//VB|PRS|AKT//cop//10 väl//AB|POS//advmod//10 belysta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 samt//KN//cc//12 rimliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//10 .//MAD//punct//1
2003-11-27 N2002/4470/ESB ;Kommerskollegium//NN|NEU|SIN|DEF|NOM//nsubj//1 välkomnar//VB|PRS|AKT//ROOT//1 ett//DT|NEU|SIN|IND//det//3 system//NN|NEU|SIN|IND|NOM//obj//1 med//PP//case//6 överlåtbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 utsläppsrätter//NN|NEU|PLU|IND|NOM//nmod//3 på//PP//case//8 gemenskapsnivå//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//10 instämmer//VB|PRS|AKT//conj//1 i//PP//case//12 resonemanget//NN|NEU|SIN|DEF|NOM//obl//10 att//SN//mark//22 innan//SN//mark//22 ett//DT|NEU|SIN|IND//det//17 slutgiltigt//JJ|POS|NEU|SIN|IND|NOM//amod//17 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//22 till//PP//case//21 den//DT|UTR|SIN|DEF//det//21 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 fördelningsplanen//NN|UTR|SIN|DEF|NOM//nmod//17 utformas//VB|PRS|SFO//advcl//10 för//PP//case//25 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//25 del//NN|UTR|SIN|IND|NOM//obl//22 ,//MID//punct//1 bör//VB|PRS|AKT//aux//30 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//29 antagande//NN|NEU|SIN|IND|NOM//nsubj:pass//30 inväntas//VB|PRS|SFO//conj//1 .//MAD//punct//1
2003-11-27 N2002/4470/ESB ;Riksskatteverket//NN|NEU|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 ingen//DT|UTR|SIN|IND//det//3 erinran//NN|UTR|SIN|IND|NOM//obj//1 mot//PP//case//5 förslagen//NN|NEU|PLU|DEF|NOM//nmod//3 i//PP//case//7 delbetänkandet//NN|NEU|SIN|DEF|NOM//nmod//5 .//MAD//punct//1
2003-11-27 N2002/4470/ESB ;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//5 i//PP//case//4 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 Götalands//PM|GEN//nmod:poss//4 län//NN|NEU|SIN|IND|NOM//nmod//0 stödjer//VB|PRS|AKT//ROOT//5 i//PP//advmod//5 huvudsak//NN|UTR|SIN|IND|NOM//fixed//6 de//DT|UTR/NEU|PLU|DEF//det//9 förslag//NN|NEU|PLU|IND|NOM//obj//5 som//HP|-|-|-//obj//12 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//12 presenterar//VB|PRS|AKT//acl:relcl//9 .//MAD//punct//5
2003-11-27 N2002/4470/ESB ;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//7 i//PP//case//3 Örebro//PM|GEN//amod//3 län//NN|NEU|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//7 endast//AB//advmod//7 översiktligt//AB|POS//advmod//7 studerat//VB|SUP|AKT//ROOT//7 delbetänkandets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 förslag//NN|NEU|PLU|IND|NOM//obj//7 och//KN//cc//12 gör//VB|PRS|AKT//conj//7 bedömningen//NN|UTR|SIN|DEF|NOM//obj//12 att//SN//mark//20 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//20 över//PP//case//17 lag//NN|UTR|SIN|IND|NOM//obl//20 är//VB|PRS|AKT//cop//20 väl//AB|POS//advmod//20 belysta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//12 samt//KN//cc//22 rimliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//20 .//MAD//punct//7
2003-11-27 N2002/4470/ESB ;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//5 i//PP//case//3 Västernorrlands//PM|GEN//nmod:poss//3 län//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//5 positiv//JJ|POS|UTR|SIN|IND|NOM//ROOT//5 till//PP//case//8 ett//DT|NEU|SIN|IND//det//8 handelssystem//NN|NEU|SIN|IND|NOM//obl//5 för//PP//case//10 utsläppsrätter//NN|NEU|PLU|IND|NOM//nmod//8 ,//MID//punct//5 och//KN//cc//14 länsstyrelsen//NN|UTR|SIN|DEF|NOM//nmod//14 delar//VB|PRS|AKT//conj//5 i//PP//case//18 stort//JJ|POS|NEU|SIN|IND|NOM//amod//17 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 förslag//NN|NEU|SIN|IND|NOM//nmod//14 .//MAD//punct//5
2003-11-27 N2002/4470/ESB ;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//3 Västerbottens//PM|GEN//nmod:poss//3 län//NN|NEU|SIN|IND|NOM//nmod//0 instämmer//VB|PRS|AKT//ROOT//4 i//PP//advmod//4 huvudsak//NN|UTR|SIN|IND|NOM//fixed//5 med//PP//case//9 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 förslag//NN|NEU|SIN|IND|NOM//obl//4 att//SN//mark//19 handel//NN|UTR|SIN|IND|NOM//nsubj//19 med//PP//case//13 utsläppsrätter//NN|NEU|PLU|IND|NOM//nmod//11 är//VB|PRS|AKT//cop//19 ett//DT|NEU|SIN|IND//det//19 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//19 ,//MID//punct//16 kostnadseffektivt//JJ|POS|NEU|SIN|IND|NOM//amod//19 styrmedel//NN|NEU|SIN|IND|NOM//obj//4 för//PP//mark//22 att//IE//mark//22 verka//VB|INF|AKT//acl//19 i//PP//case//26 riktning//NN|UTR|SIN|IND|NOM//fixed//23 mot//PP//fixed//23 målet//NN|NEU|SIN|DEF|NOM//obl//22 att//IE//mark//28 stabilisera//VB|INF|AKT//acl//26 koncentrationen//NN|UTR|SIN|DEF|NOM//obj//28 av//PP//case//31 växthusgaser//NN|UTR|PLU|IND|NOM//nmod//29 i//PP//case//33 atmosfären//NN|UTR|SIN|DEF|NOM//nmod//31 .//MAD//punct//4
