Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//1 utredning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 tillsätts//VB|PRS|SFO//ROOT//2 med//PP//case//4 uppgift//NN|UTR|SIN|IND|NOM//obl//2 att//IE//mark//6 redovisa//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//9 syn//NN|UTR|SIN|IND|NOM//obj//6 på//PP//case//11 Försvarsmaktenspersonalförsörjning//NN|UTR|SIN|IND|NOM//obl//6 .//MAD//punct//2
Bakgrund;Försvarsutskottet//NN|NEU|SIN|DEF|NOM//nsubj//31 anförde//VB|PRT|AKT//conj//1 i//PP//case//33 betänkandet//NN|NEU|SIN|DEF|NOM//obl//31 att//SN//mark//37 utskottet//NN|NEU|SIN|DEF|NOM//nsubj//37 kunde//VB|PRT|AKT//aux//37 ansluta//VB|INF|AKT//ccomp//31 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//37 till//PP//case//41 den//DT|UTR|SIN|DEF//det//41 problembeskrivning//NN|UTR|SIN|IND|NOM//obl//37 som//HP|-|-|-//obj//44 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//44 gjorde//VB|PRT|AKT//acl:relcl//41 i//PP//case//46 propositionen//NN|UTR|SIN|DEF|NOM//obl//44 i//PP//case//51 fråga//NN|UTR|SIN|IND|NOM//fixed//47 om//PP//fixed//47 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 personalförsörjning//NN|UTR|SIN|IND|NOM//obl//44 samt//KN//cc//56 att//SN//mark//56 utskottet//NN|NEU|SIN|DEF|NOM//nsubj//56 inte//AB//advmod//56 hade//VB|PRT|AKT//conj//31 några//DT|UTR/NEU|PLU|IND//det//58 synpunkter//NN|UTR|PLU|IND|NOM//obj//56 på//PP//case//61 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//61 redogörelse//NN|UTR|SIN|IND|NOM//nmod//58 för//PP//case//66 den//DT|UTR|SIN|DEF//det//65 s.k.//AB|AN//amod//65 skolutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//66 förslag//NN|NEU|SIN|IND|NOM//nmod//61 om//PP//case//70 en//DT|UTR|SIN|IND//det//70 samordnad//PC|PRF|UTR|SIN|IND|NOM//amod//70 officersutbildning//NN|UTR|SIN|IND|NOM//nmod//66 och//KN//cc//72 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//70 därmed//AB//advmod//75 sammanhängande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 frågor//NN|UTR|PLU|IND|NOM//conj//70 (//PAD//punct//75 bet//VB|PRT|AKT//obl//56 .//MAD//punct//31
Bakgrund;1998/99//RG|NOM//obl//1 ://MID//punct//79
Bakgrund;UFöU1//NN|UTR|SIN|IND|NOM//appos//79 ,//MID//punct//81 rskr//NN|NEU|SIN|IND|NOM//conj//81 .//MID//punct//81
Bakgrund;1998/99:222//RG|NOM//conj//81 ,//MID//punct//85 bet//VB|PRT|AKT//conj//81 .//MAD//punct//81
Bakgrund;1998/99//RG|NOM//conj//81 ://MID//punct//89
Bakgrund;FöU5//PM|NOM//conj//81 ,//MID//punct//93 rskr//PM|NOM//conj//91 .//MID//punct//81
Bakgrund;1998/99:224//RG|NOM//conj//81 )//PAD//punct//81 .//MAD//punct//1
Bakgrund;I//PP//case//2 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 underlag//NN|NEU|SIN|IND|NOM//obl//16 den//DT|UTR|SIN|DEF//det//5 10//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//obl//16 1998//RG|NOM//nummod//5 (//PAD//punct//5 Fo98/2107//PM|NOM//appos//5 ///MID//cc//10 MIL//PM|NOM//conj//8 )//PAD//punct//5 till//PP//case//15 den//DT|UTR|SIN|DEF//det//15 säkerhetspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 kontrollstationen//NN|UTR|SIN|DEF|NOM//obl//16 framhölls//VB|PRT|SFO//ROOT//16 att//SN//mark//25 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 personalförsörjningssystem//NN|NEU|SIN|IND|NOM//nsubj//25 i//PP//case//23 fråga//NN|UTR|SIN|IND|NOM//fixed//20 om//SN//fixed//20 officerare//NN|UTR|PLU|IND|NOM//nmod//19 inte//AB//advmod//25 svarade//VB|PRT|AKT//ccomp//16 mot//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 krav//NN|NEU|PLU|IND|NOM//obl//25 som//HP|-|-|-//obj//33 den//DT|UTR|SIN|DEF//det//32 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//33 ställer//VB|PRS|AKT//acl:relcl//28 .//MAD//punct//16
Bakgrund;Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//36 ansåg//VB|PRT|AKT//parataxis//16 därvid//AB//advmod//36 att//SN//mark//43 ett//DT|NEU|SIN|IND//det//41 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//41 system//NN|NEU|SIN|IND|NOM//nsubj:pass//43 borde//VB|PRT|AKT//aux//43 tas//VB|INF|SFO//ccomp//36 fram//PL//compound:prt//43 .//MAD//punct//36
Bakgrund;Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//47 avsåg//VB|PRT|AKT//parataxis//36 därför//AB//mark//50 att//IE//mark//50 påbörja//VB|INF|AKT//advcl//47 en//DT|UTR|SIN|IND//det//52 översyn//NN|UTR|SIN|IND|NOM//obj//50 av//PP//case//55 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 system//NN|NEU|SIN|IND|NOM//nmod//52 med//PP//case//57 syfte//NN|NEU|SIN|IND|NOM//obl//50 att//IE//mark//59 ge//VB|INF|AKT//advcl//50 statsmakterna//NN|UTR|PLU|DEF|NOM//iobj//59 underlag//NN|NEU|SIN|IND|NOM//obj//59 för//PP//case//64 de//DT|UTR/NEU|PLU|DEF//det//64 beslut//NN|NEU|PLU|IND|NOM//obl//59 som//HP|-|-|-//nsubj:pass//66 behövdes//VB|PRT|SFO//acl:relcl//64 om//PP//case//69 slutlig//JJ|POS|UTR|SIN|IND|NOM//amod//69 utformning//NN|UTR|SIN|IND|NOM//obl//66 och//KN//cc//71 införande//NN|NEU|SIN|IND|NOM//conj//69 av//PP//case//75 ett//DT|NEU|SIN|IND//det//75 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//75 system//NN|NEU|SIN|IND|NOM//nmod//71 .//MAD//punct//36
Bakgrund;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 ovannämnda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 propositionen//NN|UTR|SIN|DEF|NOM//obl//4 konstaterade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 bl.a.//AB|AN//advmod//4 att//IE//mark//12 på//PP//case//12 grund//NN|UTR|SIN|IND|NOM//fixed//8 av//PP//fixed//8 de//DT|UTR/NEU|PLU|DEF//det//12 osäkerheter//NN|UTR|PLU|IND|NOM//obl//4 som//HP|-|-|-//nsubj//14 råder//VB|PRS|AKT//acl:relcl//12 i//PP//case//17 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 underlag//NN|NEU|SIN|IND|NOM//obl//14 när//HA//mark//35 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//18 gäller//VB|PRS|AKT//fixed//18 personalfrågorna//NN|UTR|PLU|DEF|NOM//obj//20 i//PP//case//24 vid//JJ|POS|UTR|SIN|IND|NOM//case//24 bemärkelse//NN|UTR|SIN|IND|NOM//obl//20 och//KN//cc//29 de//DT|UTR/NEU|PLU|DEF//det//29 förestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 omstruktureringarna//NN|UTR|PLU|DEF|NOM//conj//24 av//PP//case//31 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//29 var//VB|PRT|AKT//cop//35 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 inte//AB//advmod//35 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//14 att//IE//mark//37 ge//VB|INF|AKT//csubj//35 en//DT|UTR|SIN|IND//det//40 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//40 syn//NN|UTR|SIN|IND|NOM//obj//37 på//PP//case//44 ett//DT|NEU|SIN|IND//det//44 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 personalförsörjningssystem//NN|NEU|SIN|IND|NOM//obl//37 för//PP//case//46 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//44 .//MAD//punct//4
Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 framförde//VB|PRT|AKT//ROOT//1 vidare//AB|KOM//advmod//1 i//PP//case//4 propositionen//NN|UTR|SIN|DEF|NOM//obl//1 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 var//VB|PRT|AKT//cop//10 av//PP//case//10 stor//JJ|POS|UTR|SIN|IND|NOM//amod//10 vikt//NN|UTR|SIN|IND|NOM//ccomp//1 att//SN//mark//15 ett//DT|NEU|SIN|IND//det//14 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//14 personalförsörjningssystem//NN|NEU|SIN|IND|NOM//nsubj:pass//15 togs//VB|PRT|SFO//acl//10 fram//PL//compound:prt//15 .//MAD//punct//1
Bakgrund;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//22 borde//VB|PRT|AKT//aux//22 enligt//PP//case//21 regeringen//NN|UTR|SIN|DEF|NOM//obl//22 innefatta//VB|INF|AKT//parataxis//1 alla//DT|UTR/NEU|PLU|IND/DEF//det//24 kategorier//NN|UTR|PLU|IND|NOM//obj//22 ,//MID//punct//24 således//AB//advmod//28 även//AB//advmod//28 civilanställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//appos//24 ,//MID//punct//30 reservofficerare//NN|UTR|PLU|IND|NOM//conj//28 ,//MID//punct//32 pliktpersonal//NN|NEU|PLU|IND|NOM//conj//28 och//KN//cc//34 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//28 .//MAD//punct//22
Bakgrund;I//PP//case//39 ett//DT|NEU|SIN|IND//det//39 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//39 personalförsörjningssystem//NN|NEU|SIN|IND|NOM//obl//42 borde//VB|PRT|AKT//aux//42 jämställdhetsfrågorna//NN|UTR|PLU|DEF|NOM//nsubj//42 få//VB|INF|AKT//advcl//22 en//DT|UTR|SIN|IND//det//45 framträdande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 roll//NN|UTR|SIN|IND|NOM//obj//42 .//MAD//punct//22
Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//48 avsåg//VB|PRT|AKT//parataxis//22 att//SN//mark//52 sedan//SN//mark//52 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//52 lämnat//VB|SUP|AKT//ccomp//48 sitt//PS|NEU|SIN|DEF//nmod:poss//54 underlag//NN|NEU|SIN|IND|NOM//obj//52 överväga//VB|INF|AKT//xcomp//52 om//SN//case//58 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//58 utredning//NN|UTR|SIN|IND|NOM//nsubj:pass//61 eller//KN//cc//60 uppdrag//NN|NEU|SIN|IND|NOM//conj//58 behövdes//VB|PRT|SFO//conj//52 .//MAD//punct//22
Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 gav//VB|PRT|AKT//ROOT//1 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obj//1 i//PP//case//4 uppdrag//NN|NEU|SIN|IND|NOM//obl//1 att//SN//mark//11 senast//AB|SUV//case//9 den//DT|UTR|SIN|DEF//det//9 19//RG|NOM//nummod//9 maj//NN|UTR|SIN|IND|NOM//obl//11 1999//RG|NOM//nummod//9 redovisa//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//15 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//15 principiell//JJ|POS|UTR|SIN|IND|NOM//amod//15 syn//NN|UTR|SIN|IND|NOM//obj//11 på//PP//case//19 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//15 .//MAD//punct//1
Bakgrund;Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//8 i//PP//case//6 underlaget//NN|NEU|SIN|DEF|NOM//fixed//2 den//DT|UTR|SIN|DEF//det//6 19//RG|NOM//nummod//6 maj//NN|UTR|SIN|IND|NOM//obl//8 1999//RG|NOM//nummod//6 redovisat//VB|SUP|AKT//ROOT//8 sin//PS|UTR|SIN|DEF//nmod:poss//10 syn//NN|UTR|SIN|IND|NOM//obj//8 på//PP//case//12 personalförsörjningen//NN|UTR|SIN|DEF|NOM//obl//8 .//MAD//punct//8
Bakgrund;Sveriges//PM|GEN//nmod:poss//1 Reservofficersförbund//NN|NEU|SIN|IND|NOM//nsubj//10 har//VB|PRS|AKT//aux//10 i//PP//case//5 en//DT|UTR|SIN|IND//det//5 skrivelse//NN|UTR|SIN|IND|NOM//obl//10 den//DT|UTR|SIN|DEF//det//8 4//RO|NOM//nummod//8 juli//NN|UTR|SIN|IND|NOM//obl//10 1999//RG|NOM//nummod//8 lämnat//VB|SUP|AKT//ROOT//10 sin//PS|UTR|SIN|DEF//nmod:poss//12 syn//NN|UTR|SIN|IND|NOM//obj//10 på//PP//case//15 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 underlag//NN|NEU|SIN|IND|NOM//obl//10 i//PP//case//20 fråga//NN|UTR|SIN|IND|NOM//fixed//16 om//PP//case//20 reservofficerarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//20 utnyttjande//NN|NEU|SIN|IND|NOM//nmod//15 i//PP//case//24 den//DT|UTR|SIN|DEF//det//24 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 försvarsmaktsorganisationen//NN|UTR|SIN|DEF|NOM//nmod//20 .//MAD//punct//10
Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 nu//AB//advmod//1 att//SN//mark//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 finns//VB|PRS|SFO//ccomp//1 skäl//NN|NEU|PLU|IND|NOM//nsubj//5 till//PP//case//9 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 utredning//NN|UTR|SIN|IND|NOM//obl//5 i//PP//case//14 fråga//NN|UTR|SIN|IND|NOM//fixed//10 om//PP//fixed//10 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//9 .//MAD//punct//1

Uppdraget;En//DT|UTR|SIN|IND//det//2 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//2 syn//NN|UTR|SIN|IND|NOM//ROOT//2 på//PP//case//4 personalförsörjningen//NN|UTR|SIN|DEF|NOM//nmod//2
Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 redovisa//VB|INF|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//5 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//5 syn//NN|UTR|SIN|IND|NOM//obj//2 på//PP//case//8 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//5 .//MAD//punct//2
Uppdraget;En//DT|UTR|SIN|IND//det//3 väl//AB|POS//advmod//2 avvägd//PC|PRF|UTR|SIN|IND|NOM//amod//3 personalförsörjning//NN|UTR|SIN|IND|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 förutsättning//NN|UTR|SIN|IND|NOM//ROOT//6 för//PP//mark//12 att//SN//mark//12 myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//12 ska//VB|PRS|AKT//aux//12 kunna//VB|INF|AKT//aux//12 nå//VB|INF|AKT//advcl//6 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//14 verksamhetsmål//NN|NEU|PLU|IND|NOM//obj//12 .//MAD//punct//6
