MATS LEDERHAUSEN  ,  strategiansvarig, globalt McDonald’s Corp, USA, samtalsledare MICHAEL TRESCHOW  ,  koncernchef Electrolux ;HANS//PM|NOM//nmod//1 VON//PM|NOM//nmod//2 UTHMANN//PM|NOM//ROOT//2  //_SP////2 ,//MID//punct//7  //_SP////4 koncernchef//NN|UTR|SIN|IND|NOM//nmod//7 Shell//PM|NOM//conj//2 Sverige//PM|NOM//flat//7
Den viktigaste drivkraften;En//DT|UTR|SIN|IND//det//45 vision//NN|UTR|SIN|IND|NOM//nsubj//48 måste//VB|PRS|AKT//aux//48 vara//VB|INF|AKT//cop//48 sådan//JJ|POS|UTR|SIN|IND|NOM//parataxis//40 att//SN//mark//51 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//51 berör//VB|PRS|AKT//advcl//48 och//KN//cc//53 känns//VB|PRS|SFO//conj//51 ,//MID//punct//51 därför//AB//advmod//58 är//VB|PRS|AKT//cop//58 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//58 svårt//JJ|POS|NEU|SIN|IND|NOM//conj//48 att//IE//mark//60 ha//VB|INF|AKT//acl//58 som//KN//mark//62 vision//NN|UTR|SIN|IND|NOM//obj//60 att//IE//mark//64 tjäna//VB|INF|AKT//acl//62 pengar//NN|UTR|PLU|IND|NOM//obj//64 .//MAD//punct//1
Den viktigaste drivkraften;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//69 är//VB|PRS|AKT//cop//69 rätt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 ,//MID//punct//74 men//KN//cc//74 man//PN|UTR|SIN|IND|SUB//nsubj//74 måste//VB|PRS|AKT//aux//74 uttrycka//VB|INF|AKT//conj//69 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//74 på//PP//case//79 ett//DT|NEU|SIN|IND//det//79 annat//JJ|POS|NEU|SIN|IND|NOM//amod//79 sätt//NN|NEU|SIN|IND|NOM//obl//74 .//MAD//punct//69
Den viktigaste drivkraften;Vårt//PS|NEU|SIN|DEF//nmod:poss//82 mål//NN|NEU|SIN|IND|NOM//conj//69 och//KN//cc//85 vår//PS|UTR|SIN|DEF//nmod:poss//85 vision//NN|UTR|SIN|IND|NOM//conj//82 ,//MID//punct//85 min//PS|UTR|SIN|DEF//conj//82 och//KN//cc//89 Electrolux//PM|NOM//conj//87 ,//MID//punct//82 är//VB|PRS|AKT//punct//1 att//IE//mark//93 skapa//VB|INF|AKT//xcomp//91 ett//DT|NEU|SIN|IND//det//97 väldigt//AB|POS//advmod//96 attraktivt//JJ|POS|NEU|SIN|IND|NOM//amod//97 Electrolux//PM|NOM//obj//93 .//MAD//punct//1
Den viktigaste drivkraften;Jag//PN|UTR|SIN|DEF|SUB//nsubj//1 tycker//VB|PRS|AKT//ROOT//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 är//VB|PRS|AKT//cop//5 mer//AB|KOM//advmod//5 intressant//JJ|POS|NEU|SIN|IND|NOM//ccomp//1 att//IE//mark//7 fundera//VB|INF|AKT//csubj//5 på//PP//mark//11 hur//HA//advmod//11 man//PN|UTR|SIN|IND|SUB//nsubj//11 får//VB|PRS|AKT//ccomp//7 till//PP//case//13 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//11 ,//MID//punct//17 inte//AB//advmod//17 att//IE//mark//17 fundera//VB|INF|AKT//advcl//11 över//PP//case//20 vackra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 företagarteorier//NN|NEU|PLU|IND|NOM//obl//17 .//MAD//punct//1
Den viktigaste drivkraften;Det//DT|NEU|SIN|DEF//det//23 viktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//1 är//VB|PRS|AKT//cop//23 ju//AB//advmod//23 hur//HA//advmod//28 jag//PN|UTR|SIN|DEF|SUB//nsubj//28 får//VB|PRS|AKT//acl:relcl//23 fram//PL//compound:prt//28 resultat//NN|NEU|SIN|IND|NOM//obj//28 gång//NN|UTR|SIN|IND|NOM//advmod//28 på//PP//case//33 gång//NN|UTR|SIN|IND|NOM//obl//28 och//KN//cc//38 i//PP//case//36 slutändan//NN|UTR|SIN|DEF|NOM//obl//38 kan//VB|PRS|AKT//aux//38 säga//VB|INF|AKT//conj//28 att//SN//mark//43 Electrolux//PM|NOM//nsubj//43 är//VB|PRS|AKT//cop//43 mer//AB|KOM//advmod//43 attraktivt//JJ|POS|NEU|SIN|IND|NOM//ccomp//38 när//HA//mark//46 jag//PN|UTR|SIN|DEF|SUB//nsubj//46 lämnar//VB|PRS|AKT//advcl//43 över//PL//compound:prt//46 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//46 till//PP//advmod//46 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//49 än//KN//mark//54 då//HA//mark//54 jag//PN|UTR|SIN|DEF|SUB//nsubj//54 ﬁck//VB|PRT|AKT//advcl//46 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//54 .//MAD//punct//1

Den nya transparensen;–//PP//punct//6 Det//DT|NEU|SIN|DEF//det//2 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 den//DT|UTR|SIN|DEF//det//6 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 transparensen//NN|UTR|SIN|DEF|NOM//obl//69 ,//MID//punct//6 menar//VB|PRS|AKT//parataxis//6 Jacob//PM|NOM//nsubj//8 Wallenberg//PM|NOM//flat:name//9 ,//MID//punct//8 där//HA//advmod//16 en//DT|UTR|SIN|IND//det//14 företagsledare//NN|UTR|SIN|IND|NOM//nsubj//16 får//VB|PRS|AKT//aux//16 vara//VB|INF|AKT//advcl//8 i//PP//case//18 TV//NN|UTR|SIN|IND|NOM//obl//16 och//KN//cc//20 tidningar//NN|UTR|PLU|IND|NOM//conj//18 och//KN//cc//22 stå//VB|INF|AKT//conj//16 till//PP//case//24 svars//NN|NEU|SIN|IND|GEN//obl//22 för//PP//case//27 företagets//NN|NEU|SIN|DEF|GEN//nmod:poss//27 utveckling//NN|UTR|SIN|IND|NOM//nmod//24 ,//MID//punct//6 vare//KN//cc//32 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//29 han//PN|UTR|SIN|DEF|SUB//nsubj//32 tycker//VB|PRS|AKT//conj//6 om//PL//case//34 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//32 eller//KN//cc//36 inte//AB//conj//34 .//MAD//punct//6
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 ﬁnns//VB|PRS|SFO//parataxis//6 en//DT|UTR|SIN|IND//det//43 helt//AB|POS//advmod//42 annan//JJ|POS|UTR|SIN|IND|NOM//amod//43 tydlighet//NN|UTR|SIN|IND|NOM//nsubj//39 och//KN//cc//49 därmed//AB//advmod//49 en//DT|UTR|SIN|IND//det//49 helt//AB|POS//advmod//48 annan//JJ|POS|UTR|SIN|IND|NOM//amod//49 förmåga//NN|UTR|SIN|IND|NOM//conj//43 för//PP//case//51 omvärlden//NN|UTR|SIN|DEF|NOM//nmod//49 att//IE//mark//53 göra//VB|INF|AKT//acl//49 en//DT|UTR|SIN|IND//det//55 bedömning//NN|UTR|SIN|IND|NOM//obj//53 av//PP//case//58 en//DT|UTR|SIN|IND//det//58 företagsledare//NN|UTR|SIN|IND|NOM//nmod//55 .//MAD//punct//39
Den nya transparensen;Om//SN//mark//64 en//DT|UTR|SIN|IND//det//62 företagsledare//NN|UTR|SIN|IND|NOM//nsubj//64 inte//AB//advmod//64 gör//VB|PRS|AKT//advcl//39 ett//DT|NEU|SIN|IND//det//67 strålande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//67 arbete//NN|NEU|SIN|IND|NOM//obj//64 ,//MID//punct//69 märks//VB|PRS|SFO//ROOT//69 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//69 väldigt//AB|POS//advmod//72 snabbt//AB|POS//advmod//69 och//KN//cc//75 reaktionerna//NN|UTR|PLU|DEF|NOM//nsubj//75 kommer//VB|PRS|AKT//conj//69 .//MAD//punct//69
Den nya transparensen;I//PP//advmod//69 dag//NN|UTR|SIN|IND|NOM//fixed//77 ﬁnns//VB|PRS|SFO//parataxis//69 det//PN|NEU|SIN|DEF|SUB/OBJ//det//81 t//NN|AN//nmod//82 ex//NN|AN//nsubj//69 listor//NN|UTR|PLU|IND|NOM//obj//69 i//PP//case//85 tidningarna//NN|UTR|PLU|DEF|NOM//obl//69 på//PP//mark//92 om//SN//mark//92 du//PN|UTR|SIN|DEF|SUB//nsubj//92 är//VB|PRS|AKT//cop//92 en//DT|UTR|SIN|IND//det//92 duktig//JJ|POS|UTR|SIN|IND|NOM//amod//92 ledare//NN|UTR|SIN|IND|NOM//obl//69 .//MAD//punct//69
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//4 är//VB|PRS|AKT//cop//4 en//DT|UTR|SIN|IND//det//4 radikal//JJ|POS|UTR|SIN|IND|NOM//amod//4 förändring//NN|UTR|SIN|IND|NOM//ROOT//4 av//PP//case//7 medias//NN|UTR|SIN|IND|GEN//nmod:poss//7 genomslag//NN|NEU|SIN|IND|NOM//nmod//4 och//KN//cc//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 understryker//VB|PRS|AKT//conj//4 kommunikationsbehovet//NN|NEU|SIN|DEF|NOM//obj//10 ,//MID//punct//14 hur//HA//advmod//14 viktigt//JJ|POS|NEU|SIN|IND|NOM//appos//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 är//VB|PRS|AKT//cop//14 att//SN//mark//21 vi//PN|UTR|PLU|DEF|SUB//nsubj//21 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//18 kan//VB|PRS|AKT//aux//21 handskas//VB|INF|SFO//csubj//14 med//PP//case//25 den//DT|UTR|SIN|DEF//det//25 här//AB//fixed//23 frågan//NN|UTR|SIN|DEF|NOM//obl//21 när//HA//mark//28 vi//PN|UTR|PLU|DEF|SUB//nsubj//28 går//VB|PRS|AKT//advcl//21 in//PL//compound:prt//28 i//PP//case//31 2000-talet//NN|NEU|SIN|DEF|NOM//obl//28 .//MID//punct//4
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 är//VB|PRS|AKT//cop//35 en//PN|UTR|SIN|IND|SUB/OBJ//parataxis//4 av//PP//case//40 de//DT|UTR/NEU|PLU|DEF//det//40 riktigt//AB//advmod//39 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 frågorna//NN|UTR|PLU|DEF|NOM//nmod//35 ,//MID//punct//47 och//KN//cc//47 där//AB//advmod//47 är//VB|PRS|AKT//cop//47 näringslivet//NN|NEU|SIN|DEF|NOM//nsubj//47 illa//AB//advmod//47 förberett//PC|PRF|NEU|SIN|IND|NOM//conj//35 .//MAD//punct//35
Den nya transparensen;Titta//VB|IMP|AKT//advcl//30 på//PP//case//2 Sverige//PM|NOM//obl//0 i//PP//advmod//0 dag//NN|UTR|SIN|IND|NOM//fixed//3 .//MAD//punct//0
Den nya transparensen;Hur//HA//advmod//11 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 företagsledare//NN|UTR|PLU|IND|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 överhuvudtaget//AB//nsubj//11 villiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//0 att//IE//mark//13 ta//VB|INF|AKT//advcl//11 ansvar//NN|NEU|SIN|IND|NOM//obj//13 genom//PP//mark//17 att//IE//mark//17 ta//VB|INF|AKT//advcl//13 ofﬁciell//JJ|POS|UTR|SIN|IND|NOM//amod//19 ställning//NN|UTR|SIN|IND|NOM//obj//17 i//PP//case//22 en//DT|UTR|SIN|IND//det//22 fråga//NN|UTR|SIN|IND|NOM//obl//17 ?//MID//punct//0
Den nya transparensen;Uppenbarligen//AB//appos//0 har//VB|PRS|AKT//aux//30 företagsledarna//NN|UTR|PLU|DEF|NOM//nsubj//30 inte//AB//advmod//30 varit//VB|SUP|AKT//cop//30 så//AB//advmod//30 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//30 på//PP//mark//33 att//IE//mark//33 kommunicera//VB|INF|AKT//advcl//30 kring//PP//case//37 de//DT|UTR/NEU|PLU|DEF//det//37 här//AB//fixed//35 frågorna//NN|UTR|PLU|DEF|NOM//obl//33 och//KN//cc//39 politikerna//NN|UTR|PLU|DEF|NOM//conj//37 har//VB|PRS|AKT//aux//44 inte//AB//advmod//44 heller//AB//advmod//44 kunnat//VB|SUP|AKT//aux//44 handskas//VB|INF|SFO//conj//30 med//PP//case//46 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//44 .//MAD//punct//30
Den nya transparensen;FÖRTYDLIGA//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//0 ROLLEN//PM|NOM//obj//0 –//RG|NOM//punct//0 Egentligen//AB//advmod//4 är//VB|PRS|AKT//conj//0 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 väl//AB//advmod//4 så//AB//mark//11 att//SN//fixed//7 man//PN|UTR|SIN|IND|SUB//nsubj//11 inte//AB//advmod//11 behöver//VB|PRS|AKT//advcl//4 omdeﬁniera//VB|INF|AKT//xcomp//11 företagets//NN|NEU|SIN|DEF|GEN//nmod:poss//14 roll//NN|UTR|SIN|IND|NOM//obj//12 .//MAD//punct//0
Den nya transparensen;Men//KN//cc//19 man//PN|UTR|SIN|IND|SUB//nsubj//19 kanske//AB//advmod//19 behöver//VB|PRS|AKT//conj//0 förtydliga//VB|INF|AKT//xcomp//19 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//20 och//KN//cc//23 beskriva//VB|INF|AKT//conj//19 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//23 i//PP//case//28 mer//AB|KOM//advmod//27 förståeliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 termer//NN|UTR|PLU|IND|NOM//obl//23 ,//MID//punct//30 säger//VB|PRS|AKT//parataxis//19 Michael//PM|NOM//nsubj//30 Treschow//PM|NOM//flat//31 .//MAD//punct//30
Den nya transparensen;Jag//PN|UTR|SIN|DEF|SUB//nsubj//38 kan//VB|PRS|AKT//aux//38 inte//AB//advmod//38 bara//AB//advmod//38 säga//VB|INF|AKT//conj//19 ”//PAD//punct//40 pengar//NN|UTR|PLU|IND|NOM//obj//38 ”//RG|NOM//punct//40 ,//MID//punct//47 även//AB//mark//47 om//SN//fixed//43 pengar//NN|UTR|PLU|IND|NOM//nsubj//47 är//VB|PRS|AKT//cop//47 viktigt//JJ|POS|NEU|SIN|IND|NOM//advcl//38 i//PP//case//49 slutändan//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//47
Den nya transparensen;Jag//PN|UTR|SIN|DEF|SUB//nsubj//53 måste//VB|PRS|AKT//aux//53 använda//VB|INF|AKT//conj//38 ett//DT|NEU|SIN|IND//det//56 annat//JJ|POS|NEU|SIN|IND|NOM//amod//56 språk//NN|NEU|SIN|IND|NOM//obj//53 som//HP|-|-|-//nsubj//59 egentligen//AB//advmod//59 säger//VB|PRS|AKT//acl:relcl//56 samma//DT|UTR/NEU|SIN/PLU|IND//det//61 sak//NN|UTR|SIN|IND|NOM//obj//59 ,//MID//punct//53 men//KN//cc//64 ger//VB|PRS|AKT//conj//53 ett//DT|NEU|SIN|IND//det//67 mer//AB|KOM//amod//67 appellerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//68 intryck//NN|NEU|SIN|IND|NOM//obj//64 .//MAD//punct//53
Den nya transparensen;Mats//PM|NOM//nsubj//2 Lederhausen//PM|NOM//flat//0 menar//VB|PRS|AKT//ROOT//2 att//SN//mark//7 om//SN//mark//6 man//PN|UTR|SIN|IND|SUB//nsubj//6 skulle//VB|PRT|AKT//aux//7 fråga//VB|INF|AKT//ccomp//2 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 folket//NN|NEU|SIN|DEF|NOM//obj//7 ,//MID//punct//39 och//KN//cc//39 särskilt//AB//advmod//13 de//PN|UTR/NEU|PLU|DEF|SUB//dislocated//39 som//HP|-|-|-//nsubj//16 aldrig//AB//advmod//16 jobbat//VB|SUP|AKT//acl:relcl//13 i//PP//case//20 ett//DT|NEU|SIN|IND//det//20 privat//JJ|POS|NEU|SIN|IND|NOM//amod//20 företag//NN|NEU|SIN|IND|NOM//obl//16 –//PAD//punct//20 ungefär//AB//advmod//23 sextio//RG|NOM//nummod//24 procent//NN|UTR|PLU|IND|NOM//appos//20 av//PP//case//26 befolkningen//NN|UTR|SIN|DEF|NOM//nmod//24 –//RG|NOM//punct//33 om//PP//mark//33 vad//HP|NEU|SIN|IND//obj//33 företaget//NN|NEU|SIN|DEF|NOM//nsubj//33 eller//KN//cc//32 företagsledaren//NN|UTR|SIN|DEF|NOM//conj//30 ser//VB|PRS|AKT//acl:relcl//13 som//KN//mark//36 sin//PS|UTR|SIN|DEF//nmod:poss//36 uppgift//NN|UTR|SIN|IND|NOM//xcomp//33 ,//MID//punct//33 så//AB//advmod//39 tror//VB|PRS|AKT//conj//7 han//PN|UTR|SIN|DEF|SUB//nsubj//39 inte//AB//advmod//39 att//SN//mark//46 svaret//NN|NEU|SIN|DEF|NOM//nsubj//46 kommer//VB|PRS|AKT//aux//46 att//IE//mark//46 överensstämma//VB|INF|AKT//ccomp//39 med//PP//case//48 Michael//PM|NOM//obl//46 Treschows//PM|NOM//flat//48 .//MAD//punct//39 –//PAD//punct//53
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//obj//53 tror//VB|PRS|AKT//parataxis//39 jag//PN|UTR|SIN|DEF|SUB//nsubj//57 är//VB|PRS|AKT//cop//57 ett//DT|NEU|SIN|IND//det//57 problem//NN|NEU|SIN|IND|NOM//obj//53 ,//MID//punct//59 menar//VB|PRS|AKT//parataxis//53 han//PN|UTR|SIN|DEF|SUB//nsubj//59 .//MAD//punct//53
Den nya transparensen;Vi//PN|UTR|PLU|DEF|SUB//nsubj//67 i//PP//case//64 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//62 är//VB|PRS|AKT//cop//67 inte//AB//advmod//67 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//53 på//PP//mark//70 att//IE//mark//70 kommunicera//VB|INF|AKT//advcl//67 företagets//NN|NEU|SIN|DEF|GEN//nmod:poss//72 roll//NN|UTR|SIN|IND|NOM//obj//70 .//MAD//punct//53 –//PAD//punct//76
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//76 är//VB|PRS|AKT//cop//78 kanske//AB//advmod//78 det//PN|NEU|SIN|DEF|SUB/OBJ//parataxis//53 som//HP|-|-|-//nsubj//83 är//VB|PRS|AKT//cop//83 den//DT|UTR|SIN|DEF//det//83 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//83 frågeställningen//NN|UTR|SIN|DEF|NOM//acl:cleft//78 ,//MID//punct//83 att//SN//mark//90 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//90 är//VB|PRS|AKT//cop//90 för//AB//case//90 stor//JJ|POS|UTR|SIN|IND|NOM//amod//90 avvikelse//NN|UTR|SIN|IND|NOM//acl//83 mellan//PP//mark//96 hur//HA//advmod//96 vi//PN|UTR|PLU|DEF|SUB//nsubj//96 och//KN//cc//95 allmänheten//NN|UTR|SIN|DEF|NOM//conj//93 ser//VB|PRS|AKT//csubj//90 vår//PS|UTR|SIN|DEF//nmod:poss//98 roll//NN|UTR|SIN|IND|NOM//obj//96 .//MAD//punct//53
Den nya transparensen;Hur//HA//advmod//101 skapar//VB|PRS|AKT//parataxis//53 vi//PN|UTR|PLU|DEF|SUB//nsubj//101 då//AB//advmod//101 mer//AB|KOM//amod//105 kongruens//NN|UTR|SIN|IND|NOM//obj//101 mellan//PP//case//109 den//DT|UTR|SIN|DEF//det//109 verkliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//109 rollen//NN|UTR|SIN|DEF|NOM//nmod//105 och//KN//cc//111 perceptionen//NN|UTR|SIN|DEF|NOM//conj//109 ?//MID//punct//53
Den nya transparensen;frågar//VB|PRS|AKT//parataxis//53 Michael//PM|NOM//nsubj//113 Treschow//PM|NOM//flat//114 .//MAD//punct//2
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//5 är//VB|PRS|AKT//cop//5 ju//AB//advmod//5 inte//AB//advmod//5 bara//AB//advmod//5 förväntan//NN|UTR|SIN|IND|NOM//ROOT//5 hos//PP//case//7 allmänheten//NN|UTR|SIN|DEF|NOM//nmod//5 ,//MID//punct//9 menar//VB|PRS|AKT//parataxis//5 Hans//PM|NOM//nmod:poss//11 von//PM|NOM//nmod//12 Uthmann//PM|NOM//nsubj//9 ,//MID//punct//17 utan//KN//cc//17 också//AB//advmod//17 hos//PP//case//17 kunder//NN|UTR|PLU|IND|NOM//obl//9 och//KN//cc//19 medierna//NN|NEU|PLU|DEF|NOM//conj//17 .//MID//punct//5
Den nya transparensen;Hur//HA//advmod//22 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 gånger//NN|UTR|PLU|IND|NOM//obl//27 har//VB|PRS|AKT//aux//27 man//PN|UTR|SIN|IND|SUB//nsubj//27 inte//AB//advmod//27 fått//VB|SUP|AKT//parataxis//5 frågan//NN|UTR|SIN|DEF|NOM//obj//27 ://MID//punct//28 ”//PAD//punct//33
Den nya transparensen;Vad//HP|NEU|SIN|IND//nsubj//33 är//VB|PRS|AKT//cop//33 viktigast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//conj//5 för//PP//case//35 dig//PN|UTR|SIN|DEF|OBJ//obl//33 ,//MID//punct//39 är//VB|PRS|AKT//cop//39 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 pengar//NN|UTR|PLU|IND|NOM//conj//33 åt//PP//case//41 aktieägarna//NN|UTR|PLU|DEF|NOM//nmod//39 ,//MID//punct//33 är//VB|PRS|AKT//cop//45 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//45 personalen//NN|UTR|SIN|DEF|NOM//conj//33 ,//MID//punct//49 är//VB|PRS|AKT//cop//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 kunderna//NN|UTR|PLU|DEF|NOM//conj//33 ?//MID//punct//49 ”//PAD//punct//33
Den nya transparensen;Men//KN//cc//57 det//DT|NEU|SIN|DEF//det//54 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//57 är//VB|PRS|AKT//cop//57 en//DT|UTR|SIN|IND//det//57 förutsättning//NN|UTR|SIN|IND|NOM//conj//33 för//PP//case//60 det//DT|NEU|SIN|DEF//det//60 andra//RO|NOM//nmod//57 .//MAD//punct//57
Den nya transparensen;Utan//PP//cc//70 en//PN|UTR|SIN|IND|SUB/OBJ//obl//70 av//PP//case//65 beståndsdelarna//NN|UTR|PLU|DEF|NOM//nmod//63 kommer//VB|PRS|AKT//aux//70 du//PN|UTR|SIN|DEF|SUB//nsubj//66 aldrig//AB//advmod//66 att//IE//mark//70 lyckas//VB|INF|SFO//conj//57 med//PP//case//73 det//DT|NEU|SIN|DEF//det//73 andra//RO|NOM//obl//70 ,//MID//punct//76 att//IE//mark//76 visa//VB|INF|AKT//advcl//70 resultat//NN|NEU|SIN|IND|NOM//obj//76 gång//NN|UTR|SIN|IND|NOM//advmod//76 på//PP//case//80 gång//NN|UTR|SIN|IND|NOM//obl//76 .//MAD//punct//57 –//PAD//punct//84
Den nya transparensen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//84 ﬁnns//VB|PRS|SFO//obl//117 ett//DT|NEU|SIN|IND//det//86 antal//NN|NEU|SIN|IND|NOM//nmod//87 sprickor//NN|UTR|PLU|IND|NOM//nsubj//84 här//AB//advmod//84 ,//MID//punct//90 konstaterar//VB|PRS|AKT//parataxis//84 Mats//PM|NOM//nsubj//90 Lederhausen//PM|NOM//flat:name//91 .//MAD//punct//90
Den nya transparensen;En//PN|UTR|SIN|IND|SUB/OBJ//nsubj//95 går//VB|PRS|AKT//parataxis//90 mellan//PP//case//98 vår//PS|UTR|SIN|DEF//nmod:poss//98 självuppfattning//NN|UTR|SIN|IND|NOM//obl//95 och//KN//cc//101 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//101 perception//NN|UTR|SIN|IND|NOM//conj//98 av//PP//case//104 vår//PS|UTR|SIN|DEF//nmod:poss//104 uppfattning//NN|UTR|SIN|IND|NOM//nmod//101 .//MAD//punct//95
Den nya transparensen;En//DT|UTR|SIN|IND//det//107 annan//JJ|POS|UTR|SIN|IND|NOM//nsubj//111 är//VB|PRS|AKT//cop//111 vår//PS|UTR|SIN|DEF//nmod:poss//111 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//111 verklighet//NN|UTR|SIN|IND|NOM//conj//95 .//MAD//punct//95
Den nya transparensen;Vi//PN|UTR|PLU|DEF|SUB//nsubj//117 ska//VB|PRS|AKT//aux//117 varenda//DT|UTR/NEU|SIN|IND//det//116 dag//NN|UTR|SIN|IND|NOM//obl//117 balansera//VB|INF|AKT//conj//33 de//DT|UTR/NEU|PLU|DEF//det//121 här//AB//fixed//118 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 prioriteringarna//NN|UTR|PLU|DEF|NOM//obj//117 .//MAD//punct//33
Den nya transparensen;"Varje//DT|UTR/NEU|SIN|IND//det//124 företag//NN|NEU|SIN|IND|NOM//nsubj//125 gör//VB|PRS|AKT//parataxis//33 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//125 ;//MID//punct//33"
Den nya transparensen;även//AB//advmod//129 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//140 som//HP|-|-|-//nsubj//133 varje//DT|UTR/NEU|SIN|IND//det//132 dag//NN|UTR|SIN|IND|NOM//obl//133 förfäktar//VB|PRS|AKT//acl:relcl//129 att//SN//mark//138 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//138 bara//AB//advmod//138 vill//VB|PRS|AKT//aux//138 tjäna//VB|INF|AKT//ccomp//133 pengar//NN|UTR|PLU|IND|NOM//obj//138 tar//VB|PRS|AKT//conj//33 ju//AB//advmod//140 varje//DT|UTR/NEU|SIN|IND//det//143 dag//NN|UTR|SIN|IND|NOM//obl//140 de//DT|UTR/NEU|PLU|DEF//det//146 här//AB//fixed//144 besluten//NN|NEU|PLU|DEF|NOM//obl//140 .//MAD//punct//33

Media skapar motsättningar;Jacob//PM|NOM//nsubj//2 Wallenberg//PM|NOM//flat:name//0 återvänder//VB|PRS|AKT//ROOT//2 till//PP//case//5 medias//NN|UTR|SIN|IND|GEN//nmod:poss//5 roll//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2 –//PAD//punct//11
Media skapar motsättningar;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//11 har//VB|PRS|AKT//aux//11 alltid//AB//advmod//11 funnits//VB|SUP|SFO//parataxis//2 motsättningar//NN|UTR|PLU|IND|NOM//obj//11 och//KN//cc//18 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//18 har//VB|PRS|AKT//aux//18 varit//VB|SUP|AKT//cop//18 lagom//AB//advmod//18 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//11 ,//MID//punct//20 säger//VB|PRS|AKT//parataxis//2 han//PN|UTR|SIN|DEF|SUB//nsubj//20 .//MAD//punct//2
