4 Försäkringsskydd på transportområdet ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 kartlägger//VB|PRS|AKT//ROOT//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 hur//HA//advmod//7 försäkringsutbudet//NN|NEU|SIN|DEF|NOM//nsubj//7 ser//VB|PRS|AKT//ccomp//3 ut//PL//compound:prt//7 på//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 transportområdena//NN|NEU|PLU|DEF|NOM//obl//7 .//MAD//punct//3
4.1 Allmänt om skadeförsäkring;När//HA//mark//99 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//99 gäller//VB|PRS|AKT//advcl//111 risker//NN|UTR|PLU|IND|NOM//obj//99 som//HP|-|-|-//nsubj//103 kan//VB|PRS|AKT//aux//103 orsaka//VB|INF|AKT//acl:relcl//100 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 skador//NN|UTR|PLU|IND|NOM//obj//103 kan//VB|PRS|AKT//aux//111 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//108 spridning//NN|UTR|SIN|IND|NOM//nsubj//111 av//PP//case//110 risk//NN|UTR|SIN|IND|NOM//nmod//108 ske//VB|INF|AKT//conj//89 genom//PP//mark//116 att//SN//mark//116 försäkringsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//116 antingen//KN//cc//116 återförsäkrar//VB|PRS|AKT//advcl//111 delar//NN|UTR|PLU|IND|NOM//obj//116 av//PP//case//119 risken//NN|UTR|SIN|DEF|NOM//nmod//117 hos//PP//case//122 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//122 försäkringsföretag//NN|NEU|PLU|IND|NOM//nmod//119 eller//KN//cc//124 går//VB|PRS|AKT//conj//116 samman//PL//compound:prt//124 med//PP//case//128 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//128 försäkringsgivare//NN|UTR|PLU|IND|NOM//obl//124 i//PP//case//130 pooler//NN|UTR|PLU|IND|NOM//nmod//128 .//MAD//punct//44
4.1 Allmänt om skadeförsäkring;En//DT|UTR|SIN|IND//det//1 form//NN|UTR|SIN|IND|NOM//nsubj//11 av//PP//case//3 skaderisk//NN|UTR|SIN|IND|NOM//nmod//1 som//HP|-|-|-//obl//6 försäkringsbranschen//NN|UTR|SIN|DEF|NOM//nsubj//6 har//VB|PRS|AKT//acl:relcl//1 svårt//AB|POS//obj//6 att//IE//mark//9 hantera//VB|INF|AKT//advcl//6 är//VB|PRS|AKT//cop//11 händelser//NN|UTR|PLU|IND|NOM//ROOT//11 som//HP|-|-|-//nsubj//13 inträffar//VB|PRS|AKT//acl:relcl//11 sällan//AB//advmod//13 men//KN//cc//20 som//HA//nsubj//20 när//HA//mark//19 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//19 inträffar//VB|PRS|AKT//advcl//20 ger//VB|PRS|AKT//conj//13 upphov//NN|NEU|SIN|IND|NOM//obj//20 till//PP//case//25 mycket//AB|POS//advmod//24 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 skador//NN|UTR|PLU|IND|NOM//obl//20 ,//MID//punct//25 såsom//KN//advmod//29 t.ex.//AB|AN//advmod//29 naturkatastrofer//NN|UTR|PLU|IND|NOM//acl:relcl//25 och//KN//cc//31 skador//NN|UTR|PLU|IND|NOM//conj//29 till//PP//case//35 följd//NN|UTR|SIN|IND|NOM//fixed//32 av//PP//fixed//32 krigshandlingar//NN|UTR|PLU|IND|NOM//obl//29 och//KN//cc//37 terrordåd//NN|NEU|PLU|IND|NOM//conj//35 .//MAD//punct//11
4.1 Allmänt om skadeförsäkring;Försäkringsbranschen//NN|UTR|SIN|DEF|NOM//nsubj//45 har//VB|PRS|AKT//aux//45 sedan//PP//case//42 början//NN|UTR|SIN|DEF|NOM//obl//45 av//PP//case//44 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//42 utvecklat//VB|SUP|AKT//parataxis//11 analysen//NN|UTR|SIN|DEF|NOM//obj//45 av//PP//case//48 katastrofrisker//NN|UTR|PLU|IND|NOM//nmod//46 .//MAD//punct//11
4.1 Allmänt om skadeförsäkring;Man//PN|UTR|SIN|IND|SUB//nsubj//52 har//VB|PRS|AKT//aux//52 utvecklat//VB|SUP|AKT//parataxis//11 sofistikerade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 analysmetoder//NN|UTR|PLU|IND|NOM//obj//52 för//PP//mark//58 att//IE//mark//58 kunna//VB|INF|AKT//aux//58 förutse//VB|INF|AKT//advcl//52 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 typer//NN|UTR|PLU|IND|NOM//obj//58 av//PP//case//62 katastrofer//NN|UTR|PLU|IND|NOM//nmod//60 .//MAD//punct//52
4.1 Allmänt om skadeförsäkring;"Försäkringsföretag//NN|NEU|PLU|IND|NOM//parataxis//52 och//KN//cc//66 återförsäkringsföretag//NN|NEU|PLU|IND|NOM//conj//64 har//VB|PRS|AKT//conj//52 analysavdelningar//NN|UTR|PLU|IND|NOM//obj//67 som//HP|-|-|-//nsubj//70 ägnar//VB|PRS|AKT//acl:relcl//68 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//70 åt//PP//case//73 omvärldsbevakning//NN|UTR|SIN|IND|NOM//obl//70 på//PP//case//76 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 fronter//NN|UTR|PLU|IND|NOM//obl//70 ;//MID//punct//52"
4.1 Allmänt om skadeförsäkring;politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//52 ,//MID//punct//80 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//78 ,//MID//punct//83 och//KN//cc//83 naturvetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//78 och//KN//cc//87 i//PP//advmod//87 dag//NN|UTR|SIN|IND|NOM//fixed//85 utgör//VB|PRS|AKT//conj//78 globala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 analyser//NN|UTR|PLU|IND|NOM//nsubj//87 ett//DT|NEU|SIN|IND//det//92 betydelsefullt//JJ|POS|NEU|SIN|IND|NOM//amod//92 beslutsunderlag//NN|NEU|SIN|IND|NOM//obj//87 för//PP//case//94 prissättning//NN|UTR|SIN|IND|NOM//nmod//92 och//KN//cc//96 riskexponering//NN|UTR|SIN|IND|NOM//conj//94 .//MAD//punct//52
4.1 Allmänt om skadeförsäkring;Till//PP//case//100 sin//PS|UTR|SIN|DEF//nmod:poss//100 hjälp//NN|UTR|SIN|IND|NOM//obl//101 tar//VB|PRS|AKT//conj//52 man//PN|UTR|SIN|IND|SUB//nsubj//101 bl.a.//AB|AN//advmod//101 expertis//NN|UTR|SIN|IND|NOM//obj//101 inom//PP//case//106 meteorologi//NN|UTR|SIN|IND|NOM//obl//101 för//PP//mark//109 att//IE//mark//109 förutse//VB|INF|AKT//advcl//101 naturkatastrofer//NN|UTR|PLU|IND|NOM//obj//109 och//KN//cc//112 säkerhetsexpertis//NN|UTR|SIN|IND|NOM//conj//110 för//PP//mark//115 att//IE//mark//115 förutse//VB|INF|AKT//advcl//109 terroraktioner//NN|UTR|PLU|IND|NOM//obj//115 .//MAD//punct//52
4.1 Allmänt om skadeförsäkring;Riskkvantifiering//NN|UTR|SIN|IND|NOM//nsubj//123 och//KN//cc//120 riskhantering//NN|UTR|SIN|IND|NOM//conj//118 är//VB|PRS|AKT//cop//123 högprioriterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//123 områden//NN|NEU|PLU|IND|NOM//parataxis//52 för//PP//case//125 försäkringsföretagen//NN|NEU|PLU|DEF|NOM//nmod//123 .//MAD//punct//123
4.1 Allmänt om skadeförsäkring;Även//AB//advmod//128 försäkringsförmedlarna//NN|UTR|PLU|DEF|NOM//nsubj//129 har//VB|PRS|AKT//conj//52 verktyg//NN|NEU|PLU|IND|NOM//obj//129 för//PP//mark//135 att//IE//mark//135 på//PP//case//134 klientnivå//NN|UTR|SIN|IND|NOM//obl//135 hjälpa//VB|INF|AKT//advcl//129 t.ex.//AB|AN//advmod//135 rederier//NN|UTR|PLU|IND|NOM//obj//135 att//IE//mark//139 bedöma//VB|INF|AKT//acl//137 och//KN//cc//141 hantera//VB|INF|AKT//conj//139 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//143 katastrofriskexponeringar//NN|UTR|PLU|IND|NOM//obj//141 .//MAD//punct//52
4.1 Allmänt om skadeförsäkring;Med//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 metoderna//NN|UTR|PLU|DEF|NOM//obl//8 och//KN//cc//8 genom//PP//case//7 global//JJ|POS|UTR|SIN|IND|NOM//amod//7 riskspridning//NN|UTR|SIN|IND|NOM//obl//8 finns//VB|PRS|SFO//ROOT//8 en//DT|UTR|SIN|IND//det//10 försäkringsmarknad//NN|UTR|SIN|IND|NOM//nsubj//8 även//AB//advmod//13 för//PP//case//13 risker//NN|UTR|PLU|IND|NOM//obl//8 som//HP|-|-|-//nsubj//16 kan//VB|PRS|AKT//aux//16 ge//VB|INF|AKT//acl:relcl//13 upphov//NN|NEU|SIN|IND|NOM//obj//16 till//PP//case//21 mycket//AB|POS//advmod//20 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 skador//NN|UTR|PLU|IND|NOM//obl//16 ,//MID//punct//21 som//KN//case//26 t.ex.//AB|AN//advmod//26 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 typer//NN|UTR|PLU|IND|NOM//appos//21 av//PP//case//28 naturkatastrofer//NN|UTR|PLU|IND|NOM//nmod//26 och//KN//cc//30 kärnkraftsolyckor//NN|UTR|PLU|IND|NOM//conj//28 .//MID//punct//8
4.1 Allmänt om skadeförsäkring;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 bygger//VB|PRS|AKT//parataxis//8 dock//AB//advmod//33 på//PP//mark//45 att//SN//mark//45 risken//NN|UTR|SIN|DEF|NOM//nsubj//45 för//PP//mark//42 att//SN//mark//42 skadan//NN|UTR|SIN|DEF|NOM//nsubj//42 ska//VB|PRS|AKT//aux//42 inträffa//VB|INF|AKT//acl//37 är//VB|PRS|AKT//cop//45 relativt//AB|POS//advmod//45 liten//JJ|POS|UTR|SIN|IND|NOM//advcl//33 .//MAD//punct//33
4.1 Allmänt om skadeförsäkring;De//DT|UTR/NEU|PLU|DEF//det//48 risker//NN|UTR|PLU|IND|NOM//appos//33 som//HP|-|-|-//obj//52 försäkringsmarknaden//NN|UTR|SIN|DEF|NOM//nsubj//52 inte//AB//advmod//52 klarar//VB|PRS|AKT//acl:relcl//48 är//VB|PRS|AKT//cop//55 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 skador//NN|UTR|PLU|IND|NOM//obj//52 som//HP|-|-|-//nsubj//57 har//VB|PRS|AKT//acl:relcl//55 hög//JJ|POS|UTR|SIN|IND|NOM//amod//59 sannolikhet//NN|UTR|SIN|IND|NOM//obj//57 att//IE//mark//61 inträffa//VB|INF|AKT//advcl//57 ,//MID//punct//55 såsom//KN//case//65 t.ex.//AB|AN//advmod//65 skador//NN|UTR|PLU|IND|NOM//appos//55 till//PP//case//69 följd//NN|UTR|SIN|IND|NOM//fixed//66 av//PP//fixed//66 krig//NN|NEU|SIN|IND|NOM//nmod//65 i//PP//case//71 krigssituationer//NN|UTR|PLU|IND|NOM//nmod//65 .//MAD//punct//74
4.1 Allmänt om skadeförsäkring;För//PP//case//74 risker//NN|UTR|PLU|IND|NOM//nmod//65 som//HP|-|-|-//mark//77 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//77 råder//VB|PRS|AKT//acl:relcl//74 stor//JJ|POS|UTR|SIN|IND|NOM//amod//79 osäkerhet//NN|UTR|SIN|IND|NOM//nsubj//77 om//SN//mark//88 och//KN//cc//88 där//HA//advmod//88 bedömningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//88 av//PP//case//85 risken//NN|UTR|SIN|DEF|NOM//nmod//83 plötsligt//AB|POS//advmod//88 kan//VB|PRS|AKT//aux//88 ändras//VB|INF|SFO//advcl//77 har//VB|PRS|AKT//aux//109 därför//AB//advmod//89 försäkringsgivarna//NN|UTR|PLU|DEF|NOM//obj//89 i//PP//advmod//89 regel//NN|UTR|SIN|IND|NOM//fixed//92 klausuler//NN|UTR|PLU|IND|NOM//nsubj//109 i//PP//case//96 kontraktet//NN|NEU|SIN|DEF|NOM//nmod//94 som//HP|-|-|-//nsubj//98 ger//VB|PRS|AKT//acl:relcl//96 dem//PN|UTR/NEU|PLU|DEF|OBJ//iobj//98 rätt//NN|UTR|SIN|IND|NOM//obj//98 att//IE//mark//105 med//PP//case//104 kort//JJ|POS|UTR|SIN|IND|NOM//amod//104 varsel//NN|NEU|SIN|IND|NOM//obl//105 ändra//VB|INF|AKT//acl//100 försäkringsvillkoren//NN|UTR|SIN|DEF|NOM//obj//105 ,//MID//punct//94 t.ex.//AB|AN//advmod//109 höja//VB|INF|AKT//xcomp//88 premien//NN|UTR|SIN|DEF|NOM//obj//109 eller//KN//cc//112 säga//VB|INF|AKT//conj//88 upp//PL//compound:prt//112 försäkringen//NN|UTR|SIN|DEF|NOM//obj//112 .//MAD//punct//65
4.1 Allmänt om skadeförsäkring;Stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 katastrofer//NN|UTR|PLU|IND|NOM//nsubj//2 får//VB|PRS|AKT//aux//47 typiskt//JJ|POS|NEU|SIN|IND|NOM//amod//4 effekter//NN|UTR|PLU|IND|NOM//obj//2 på//PP//case//6 premierna//NN|UTR|PLU|DEF|NOM//nmod//4 för//PP//case//8 försäkringar//NN|UTR|PLU|IND|NOM//obl//2 mot//PP//case//11 den//DT|UTR|SIN|DEF//det//11 typen//NN|UTR|SIN|DEF|NOM//nmod//8 av//PP//case//13 skador//NN|UTR|PLU|IND|NOM//nmod//11 .//MAD//punct//2
4.1 Allmänt om skadeförsäkring;Kapaciteten//NN|UTR|SIN|DEF|NOM//nsubj//23 och//KN//cc//17 prissättningen//NN|UTR|SIN|DEF|NOM//conj//15 på//PP//case//19 försäkringsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//17 och//KN//cc//21 återförsäkringsmarknaden//NN|UTR|SIN|DEF|NOM//conj//19 är//VB|PRS|AKT//cop//23 känslig//JJ|POS|UTR|SIN|IND|NOM//parataxis//2 för//PP//advmod//23 inträffade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//2 katastrofer//NN|UTR|PLU|IND|NOM//obj//25 med//PP//case//30 påföljande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 förluster//NN|UTR|PLU|IND|NOM//nmod//26 .//MAD//punct//2
4.1 Allmänt om skadeförsäkring;Marknaden//NN|UTR|SIN|DEF|NOM//nsubj//33 följer//VB|PRS|AKT//conj//2 ett//DT|NEU|SIN|IND//det//36 cykliskt//JJ|POS|NEU|SIN|IND|NOM//amod//36 mönster//NN|NEU|SIN|IND|NOM//obj//33 som//HP|-|-|-//nsubj:pass//38 påverkas//VB|PRS|SFO//acl:relcl//36 av//PP//case//41 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 katastrofhändelser//NN|UTR|PLU|IND|NOM//obl//38 .//MAD//punct//33
4.1 Allmänt om skadeförsäkring;En//DT|UTR|SIN|IND//det//46 nyligen//AB//advmod//45 inträffad//PC|PRF|UTR|SIN|IND|NOM//amod//46 katastrof//NN|UTR|SIN|IND|NOM//nsubj//47 medför//VB|PRS|AKT//ROOT//47 att//SN//mark//50 premierna//NN|UTR|PLU|DEF|NOM//nsubj//50 stiger//VB|PRS|AKT//ccomp//47 .//MAD//punct//50
4.1 Allmänt om skadeförsäkring;Efter//PP//case//53 hand//NN|UTR|SIN|IND|NOM//obl//50 som//HA//mark//58 kapaciteten//NN|UTR|SIN|DEF|NOM//nsubj:pass//58 på//PP//case//57 försäkringsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//55 byggs//VB|PRS|SFO//acl:relcl//53 upp//PL//compound:prt//58 sjunker//VB|PRS|AKT//parataxis//47 premierna//NN|UTR|PLU|DEF|NOM//nsubj//60 .//MID//punct//47
4.1 Allmänt om skadeförsäkring;Om//SN//mark//65 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//65 varit//VB|SUP|AKT//advcl//74 länge//AB|POS//advmod//65 sedan//AB//mark//71 en//DT|UTR|SIN|IND//det//70 stor//JJ|POS|UTR|SIN|IND|NOM//amod//70 skada//NN|UTR|SIN|IND|NOM//nsubj:pass//71 inträffat//VB|SUP|AKT//advcl//65 kan//VB|PRS|AKT//aux//74 premierna//NN|UTR|PLU|DEF|NOM//nsubj//74 nå//VB|INF|AKT//parataxis//47 mycket//AB|POS//advmod//76 låga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 nivåer//NN|UTR|PLU|IND|NOM//obj//74 .//MAD//punct//47


4.2.1 Sjöförsäkringsmarknaden;Den//DT|UTR|SIN|DEF//det//2 nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 marknaden//NN|UTR|SIN|DEF|NOM//ROOT//2
4.2.1 Sjöförsäkringsmarknaden;På//PP//case//3 den//DT|UTR|SIN|DEF//det//3 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 marknaden//NN|UTR|SIN|DEF|NOM//obl//4 tillhandahålls//VB|PRS|SFO//ROOT//4 sjöförsäkringar//NN|UTR|PLU|IND|NOM//nsubj:pass//4 av//PP//case//8 dels//KN//advmod//8 försäkringsbolag//NN|NEU|PLU|IND|NOM//nmod//5 ,//MID//punct//12 dels//KN//advmod//12 ömsesidiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 försäkringsklubbar//NN|UTR|PLU|IND|NOM//conj//8 .//MAD//punct//12
4.2.1 Sjöförsäkringsmarknaden;Under//PP//case//16 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 år//NN|NEU|PLU|IND|NOM//obl//19 har//VB|PRS|AKT//aux//19 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//19 skett//VB|SUP|AKT//advcl//4 en//DT|UTR|SIN|IND//det//21 utveckling//NN|UTR|SIN|IND|NOM//nsubj//19 mot//PP//case//24 färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 försäkringsgivare//NN|UTR|PLU|IND|NOM//nmod//21 som//HP|-|-|-//nsubj//26 verkar//VB|PRS|AKT//acl:relcl//24 på//PP//case//29 nordiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 marknader//NN|UTR|PLU|IND|NOM//obl//26 .//MAD//punct//4
4.2.1 Sjöförsäkringsmarknaden;Flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//34 av//PP//case//33 försäkringsföretagen//NN|NEU|PLU|DEF|NOM//nmod//31 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//4 i//PP//case//36 Sverige//PM|NOM//obl//34 är//VB|PRS|AKT//cop//39 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 aktörer//NN|UTR|PLU|IND|NOM//conj//4 .//MAD//punct//39
