Utredningens förslag i ett bredare sammanhang;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//9 om//PP//case//4 Riksbankens//PM|GEN//nmod:poss//4 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//1 oberoende//NN|NEU|SIN|IND|NOM//advmod//9 och//KN//cc//7 balansräkning//NN|UTR|SIN|IND|NOM//conj//5 ska//VB|PRS|AKT//aux//9 ses//VB|INF|SFO//ROOT//9 i//PP//case//13 ett//DT|NEU|SIN|IND//det//13 bredare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 sammanhang//NN|NEU|SIN|IND|NOM//obl//9 .//MAD//punct//9
Riksbankens finansiella oberoende stärks;Riksbanken//PM|NOM//nsubj//33 får//VB|PRS|AKT//parataxis//3 rätt//NN|UTR|SIN|IND|NOM//obj//33 att//IE//mark//38 vid//PP//case//37 behov//NN|NEU|SIN|IND|NOM//obl//38 förstärka//VB|INF|AKT//acl//34 sin//PS|UTR|SIN|DEF//nmod:poss//40 valutareserv//NN|UTR|SIN|IND|NOM//obj//38 i//PP//advmod//38 förväg//NN|UTR|SIN|IND|NOM//fixed//41 inom//PP//case//46 en//DT|UTR|SIN|IND//det//46 given//PC|PRF|UTR|SIN|IND|NOM//amod//46 ram//NN|UTR|SIN|IND|NOM//obl//38 och//KN//cc//48 får//VB|PRS|AKT//conj//38 rätt//NN|UTR|SIN|IND|NOM//obj//48 att//IE//mark//51 återställa//VB|INF|AKT//acl//49 valutareserven//NN|UTR|SIN|DEF|NOM//obj//51 när//HA//mark//56 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//56 har//VB|PRS|AKT//aux//56 använts//VB|SUP|SFO//advcl//51 för//PP//mark//59 att//IE//mark//59 lämna//VB|INF|AKT//advcl//56 likviditetsstöd//NN|NEU|SIN|IND|NOM//obj//59 genom//PP//case//62 upplåning//NN|UTR|SIN|IND|NOM//obl//59 i//PP//case//65 obegränsad//PC|PRF|UTR|SIN|IND|NOM//amod//65 omfattning//NN|UTR|SIN|IND|NOM//nmod//62 .//MAD//punct//33
Riksbankens finansiella oberoende stärks;Reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//72 för//PP//case//69 vinstutdelning//NN|UTR|SIN|IND|NOM//nmod//67 till//PP//case//71 staten//NN|UTR|SIN|DEF|NOM//nmod//69 fastställs//VB|PRS|SFO//advcl//33 i//PP//case//74 lag//NN|UTR|SIN|IND|NOM//obl//72 .//MAD//punct//33
Riksbankens finansiella oberoende stärks;Sverige//PM|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 åtaganden//NN|NEU|PLU|IND|NOM//obj//1 mot//PP//case//4 IMF//PM|NOM//obl//1 om//PP//case//6 utlåning//NN|UTR|SIN|IND|NOM//obl//1 av//PP//case//9 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//9 valuta//NN|UTR|SIN|IND|NOM//nmod//6 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//11 180//RG|NOM//nummod//12 miljarder//NN|UTR|PLU|IND|NOM//nmod//13 kronor//NN|UTR|PLU|IND|NOM//nmod//6 .//MID//punct//1
Riksbankens finansiella oberoende stärks;Dessa//DT|UTR/NEU|PLU|DEF//det//16 åtaganden//NN|NEU|PLU|IND|NOM//nsubj//17 finns//VB|PRS|SFO//parataxis//1 i//PP//advmod//17 dag//NN|UTR|SIN|IND|NOM//fixed//18 på//PP//advmod//17 och//KN//cc//17 vid//PP//case//23 sidan//NN|UTR|SIN|DEF|NOM//fixed//21 av//PP//case//26 Riksbankens//PM|GEN//nmod:poss//26 balansräkning//NN|UTR|SIN|IND|NOM//nmod//23 .//MAD//punct//17
Riksbankens finansiella oberoende stärks;Uppfyllande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//17 av//PP//case//30 åtagandena//NN|NEU|PLU|DEF|NOM//nmod//28 kan//VB|PRS|AKT//aux//32 kräva//VB|INF|AKT//conj//17 att//SN//mark//35 valutareserver//NN|UTR|SIN|IND|NOM//nsubj:pass//35 tas//VB|PRS|SFO//ccomp//32 i//PP//case//37 anspråk//NN|NEU|SIN|IND|NOM//obl//35 och//KN//cc//41 kan//VB|PRS|AKT//aux//41 därigenom//AB//advmod//41 inverka//VB|INF|AKT//conj//17 på//PP//case//44 Riksbankens//PM|GEN//nmod:poss//44 förmåga//NN|UTR|SIN|IND|NOM//obl//41 att//IE//mark//46 genomföra//VB|INF|AKT//acl//44 penningpolitiken//NN|UTR|SIN|DEF|NOM//obj//46 och//KN//cc//50 att//IE//mark//50 lämna//VB|INF|AKT//conj//46 likviditetsstöd//NN|NEU|SIN|IND|NOM//obj//50 .//MAD//punct//17
Riksbankens finansiella oberoende stärks;Därför//AB//advmod//54 föreslås//VB|PRS|SFO//conj//17 att//SN//mark//57 IMFåtagandena//NN|NEU|PLU|DEF|NOM//nsubj:pass//57 förs//VB|PRS|SFO//ccomp//54 i//PP//case//61 en//DT|UTR|SIN|IND//det//61 separat//JJ|POS|UTR|SIN|IND|NOM//amod//61 balansräkning//NN|UTR|SIN|IND|NOM//obl//57 och//KN//cc//67 att//SN//mark//67 regering//NN|UTR|SIN|IND|NOM//nsubj:pass//67 och//KN//cc//66 riksdag//NN|UTR|SIN|IND|NOM//conj//64 görs//VB|PRS|SFO//conj//57 ansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//67 för//PP//case//71 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 förluster//NN|UTR|PLU|IND|NOM//obl//67 .//MAD//punct//17
Riksbankens finansiella oberoende stärks;Utlåning//NN|UTR|SIN|IND|NOM//nsubj:pass//76 till//PP//case//75 IMF//PM|NOM//nmod//73 finansieras//VB|PRS|SFO//conj//1 genom//PP//case//78 upplåning//NN|UTR|SIN|IND|NOM//obl//76 av//PP//case//80 Riksgäldskontoret//PM|NOM//nmod//78 .//MAD//punct//76

Kostnaderna för den upplånade delen av valutareserven bör bäras av bankerna genom avgifter;Banker//NN|UTR|PLU|IND|NOM//nsubj//4 och//KN//cc//3 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 finansinstitut//NN|NEU|PLU|IND|NOM//conj//0 har//VB|PRS|AKT//ROOT//4 i//PP//advmod//4 dag//NN|UTR|SIN|IND|NOM//fixed//5 en//DT|UTR|SIN|IND//det//9 implicit//JJ|POS|UTR|SIN|IND|NOM//amod//9 försäkring//NN|UTR|SIN|IND|NOM//obj//4 mot//PP//mark//12 att//IE//mark//12 råka//VB|INF|AKT//advcl//4 i//PP//case//14 likviditetsnöd//NN|UTR|SIN|IND|NOM//obl//12 i//PP//case//17 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//17 valuta//NN|UTR|SIN|IND|NOM//nmod//14 .//MAD//punct//4
Kostnaderna för den upplånade delen av valutareserven bör bäras av bankerna genom avgifter;Staten//NN|UTR|SIN|DEF|NOM//nsubj//20 tillhandahåller//VB|PRS|AKT//parataxis//4 denna//DT|UTR|SIN|DEF//det//22 försäkring//NN|UTR|SIN|IND|NOM//obj//20 via//PP//case//24 Riksbanken//PM|NOM//nmod//22 utan//PP//case//27 särskild//JJ|POS|UTR|SIN|IND|NOM//amod//27 avgift//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//20
Kostnaderna för den upplånade delen av valutareserven bör bäras av bankerna genom avgifter;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 kan//VB|PRS|AKT//aux//31 locka//VB|INF|AKT//conj//20 bankerna//NN|UTR|PLU|DEF|NOM//obj//31 till//PP//case//36 en//DT|UTR|SIN|IND//det//36 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 utlåning//NN|UTR|SIN|IND|NOM//obl//31 och//KN//cc//38 upplåning//NN|UTR|SIN|IND|NOM//conj//36 i//PP//case//41 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//41 valuta//NN|UTR|SIN|IND|NOM//nmod//38 än//KN//mark//43 vad//HP|NEU|SIN|IND//dislocated//48 som//HP|-|-|-//nsubj//48 annars//AB//advmod//48 hade//VB|PRT|AKT//aux//48 varit//VB|SUP|AKT//cop//48 fallet//NN|NEU|SIN|DEF|NOM//advcl//31 .//MID//punct//48
Kostnaderna för den upplånade delen av valutareserven bör bäras av bankerna genom avgifter;De//DT|UTR/NEU|PLU|DEF//det//51 banker//NN|UTR|PLU|IND|NOM//nsubj//62 som//HP|-|-|-//nsubj//53 har//VB|PRS|AKT//acl:relcl//51 upplåning//NN|UTR|SIN|IND|NOM//obj//53 och//KN//cc//56 utlåning//NN|UTR|SIN|IND|NOM//conj//54 i//PP//case//59 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//59 valuta//NN|UTR|SIN|IND|NOM//nmod//56 bör//VB|PRS|AKT//aux//62 därför//AB//advmod//62 ingå//VB|INF|AKT//parataxis//48 i//PP//case//66 en//DT|UTR|SIN|IND//det//66 obligatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//66 försäkring//NN|UTR|SIN|IND|NOM//obl//62 som//HP|-|-|-//nsubj//68 garanterar//VB|PRS|AKT//acl:relcl//66 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//68 likviditetsstöd//NN|NEU|SIN|IND|NOM//obj//68 vid//PP//case//72 behov//NN|NEU|SIN|IND|NOM//obl//68 .//MAD//punct//4
Kostnaderna för den upplånade delen av valutareserven bör bäras av bankerna genom avgifter;Den//DT|UTR|SIN|DEF//det//2 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 utformningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 av//PP//case//5 en//DT|UTR|SIN|IND//det//5 försäkring//NN|UTR|SIN|IND|NOM//nmod//2 bör//VB|PRS|AKT//aux//7 utredas//VB|INF|SFO//ROOT//7 .//MAD//punct//7

Valutarisken som följer med valutareserven bör elimineras genom att flyttas till Riksgäldskontoret;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//10 om//PP//case//5 ett//DT|NEU|SIN|IND//det//5 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//5 kapital//NN|NEU|SIN|IND|NOM//nmod//1 på//PP//case//9 30//RG|NOM//nummod//8 miljarder//NN|UTR|PLU|IND|NOM//nmod//9 kronor//NN|UTR|PLU|IND|NOM//nmod//5 bygger//VB|PRS|AKT//ROOT//10 på//PP//mark//23 att//SN//mark//23 valutarisken//NN|UTR|SIN|DEF|NOM//nsubj//23 som//HP|-|-|-//nsubj//15 följer//VB|PRS|AKT//acl:relcl//13 av//PP//compound:prt//15 att//SN//mark//19 Riksbanken//PM|NOM//nsubj//19 har//VB|PRS|AKT//ccomp//15 en//DT|UTR|SIN|IND//det//21 valutareserv//NN|UTR|SIN|IND|NOM//obj//19 är//VB|PRS|AKT//cop//23 eliminerad//PC|PRF|UTR|SIN|IND|NOM//advcl//10 .//MAD//punct//10
Valutarisken som följer med valutareserven bör elimineras genom att flyttas till Riksgäldskontoret;Utan//PP//case//26 valutasäkring//NN|UTR|SIN|IND|NOM//obl//37 skulle//VB|PRT|AKT//aux//30 för//PP//case//29 närvarande//NN|NEU|SIN|IND|NOM//obl//30 uppskattningsvis//AB//advmod//36 ytterligare//AB|KOM//advmod//32 ca//AB|AN//advmod//33 27//RG|NOM//nummod//34 miljarder//NN|UTR|PLU|IND|NOM//nmod//35 kronor//NN|UTR|PLU|IND|NOM//nsubj//36 behöva//VB|INF|AKT//aux//37 bindas//VB|INF|SFO//advcl//10 i//PP//case//40 Riksbankens//PM|GEN//nmod:poss//40 balansräkning//NN|UTR|SIN|IND|NOM//obl//37 .//MAD//punct//10
Valutarisken som följer med valutareserven bör elimineras genom att flyttas till Riksgäldskontoret;Att//IE//mark//1 överföra//VB|INF|AKT//csubj//5 risken//NN|UTR|SIN|DEF|NOM//obj//1 till//PP//case//4 Riksgäldskontoret//PM|NOM//nmod//2 påverkar//VB|PRS|AKT//ROOT//5 inte//AB//advmod//5 Riksbankens//PM|GEN//nmod:poss//8 möjligheter//NN|UTR|PLU|IND|NOM//obj//5 att//IE//mark//10 sköta//VB|INF|AKT//acl//8 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//12 uppgifter//NN|UTR|PLU|IND|NOM//obj//10 .//MAD//punct//5
Valutarisken som följer med valutareserven bör elimineras genom att flyttas till Riksgäldskontoret;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 innebär//VB|PRS|AKT//parataxis//5 heller//AB//advmod//15 inga//DT|UTR/NEU|PLU|IND//det//18 kostnader//NN|UTR|PLU|IND|NOM//obj//15 för//PP//case//20 Riksgäldskontoret//PM|NOM//nmod//18 ,//MID//punct//32 eftersom//SN//mark//32 Riksgäldskontoret//PM|NOM//nsubj//32 ,//MID//punct//28 till//PP//case//28 skillnad//NN|UTR|SIN|IND|NOM//fixed//25 mot//PP//case//28 Riksbanken//PM|NOM//nmod//23 ,//MID//punct//32 inte//AB//advmod//32 behöver//VB|PRS|AKT//aux//32 hålla//VB|INF|AKT//advcl//15 en//DT|UTR|SIN|IND//det//34 buffert//NN|UTR|SIN|IND|NOM//obj//32 mot//PP//case//36 valutakursförluster//NN|UTR|PLU|IND|NOM//obl//32 .//MAD//punct//15
Valutarisken som följer med valutareserven bör elimineras genom att flyttas till Riksgäldskontoret;Tvärtom//AB//advmod//39 bidrar//VB|PRS|AKT//parataxis//15 förslaget//NN|NEU|SIN|DEF|NOM//obj//39 till//PP//mark//43 att//IE//mark//43 minska//VB|INF|AKT//advcl//39 valutarisken//NN|UTR|SIN|DEF|NOM//obj//43 i//PP//case//47 Riksgäldskontorets//PM|GEN//nmod:poss//47 upplåning//NN|UTR|SIN|IND|NOM//nmod//44 för//PP//case//50 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 räkning//NN|UTR|SIN|IND|NOM//nmod//47 i//PP//case//53 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//53 valuta//NN|UTR|SIN|IND|NOM//nmod//50 ,//MID//punct//43 eftersom//SN//mark//59 riskerna//NN|UTR|PLU|DEF|NOM//nsubj//59 i//PP//advmod//59 stort//AB//fixed//57 tar//VB|PRS|AKT//advcl//43 ut//PL//compound:prt//59 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//59 .//MAD//punct//5

Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//6 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 kapital//NN|NEU|SIN|IND|NOM//nsubj:pass//6 binds//VB|PRS|SFO//ccomp//2 i//PP//case//8 Riksbanken//PM|NOM//obl//6 .//MAD//punct//2
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Balansomslutningen//NN|UTR|SIN|DEF|NOM//nsubj//11 blir//VB|PRS|AKT//parataxis//2 för//PP//advmod//15 närvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//12 minst//AB|SUV//advmod//15 125//RG|NOM//xcomp//11 och//KN//cc//15 –//RG|NOM//punct//11 med//PP//case//20 maximal//JJ|POS|UTR|SIN|IND|NOM//amod//20 upplåning//NN|UTR|SIN|IND|NOM//obl//11 –//RG|NOM//punct//20 högst//AB|SUV//advmod//23 200//RG|NOM//nummod//24 miljarder//NN|UTR|PLU|IND|NOM//nmod//25 kronor//NN|UTR|PLU|IND|NOM//appos//20 .//MAD//punct//11
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Riksbankens//PM|GEN//nmod:poss//28 balansomslutning//NN|UTR|SIN|IND|NOM//nsubj//29 blir//VB|PRS|AKT//advcl//11 –//RG|NOM//punct//29 med//PP//case//32 den//DT|UTR|SIN|DEF//obl//11 senast//AB|SUV//advmod//34 beslutade//PC|PRF|UTR/NEU|SIN|DEF|NOM//acl:relcl//32 förstärkningen//NN|UTR|SIN|DEF|NOM//obj//34 –//RG|NOM//punct//34 ca//AB|AN//advmod//38 415//RG|NOM//nummod//39 miljarder//NN|UTR|PLU|IND|NOM//nmod//40 kronor//NN|UTR|PLU|IND|NOM//appos//34 (//PAD//punct//40 exklusive//AB//advmod//43 IMF-relaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//44 poster//NN|UTR|PLU|IND|NOM//appos//40 )//PAD//punct//11 .//MAD//punct//54
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Utan//PP//case//48 förstärkningar//NN|UTR|PLU|IND|NOM//obl//54 är//VB|PRS|AKT//cop//54 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//54 ca//AB|AN//advmod//52 215//RG|NOM//nummod//53 miljarder//NN|UTR|PLU|IND|NOM//nmod//54 kronor//NN|UTR|PLU|IND|NOM//obj//2 .//MAD//punct//54
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Med//PP//case//58 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//58 förslag//NN|NEU|SIN|IND|NOM//obl//61 skulle//VB|PRT|AKT//aux//61 kapitalbindningen//NN|UTR|SIN|DEF|NOM//nsubj//61 minska//VB|INF|AKT//advcl//2 med//PP//case//66 ca//AB|AN//advmod//64 215//RG|NOM//nummod//65 miljarder//NN|UTR|PLU|IND|NOM//nmod//66 kronor//NN|UTR|PLU|IND|NOM//obl//61 med//PP//case//69 förstärkt//PC|PRF|UTR|SIN|IND|NOM//amod//69 valutareserv//NN|UTR|SIN|IND|NOM//nmod//66 och//KN//cc//75 med//PP//case//75 ca//AB|AN//advmod//73 90//RG|NOM//nummod//74 miljarder//NN|UTR|PLU|IND|NOM//nmod//75 kronor//NN|UTR|PLU|IND|NOM//conj//66 i//PP//case//78 normala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 tider//NN|UTR|PLU|IND|NOM//nmod//75 .//MAD//punct//2
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 kostnad//NN|UTR|SIN|IND|NOM//nsubj:pass//9 för//PP//mark//4 att//IE//mark//4 binda//VB|INF|AKT//acl//1 kapital//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//7 Riksbanken//PM|NOM//obl//4 kan//VB|PRS|AKT//aux//9 uppskattas//VB|INF|SFO//ROOT//9 till//PP//compound:prt//9 mellan//PP//case//12 0,2//RG|NOM//obl//9 till//PP//case//15 0,3//RG|NOM//nummod//15 procent//NN|UTR|PLU|IND|NOM//obl//9 av//PP//case//17 beloppet//NN|NEU|SIN|DEF|NOM//nmod//15 per//PP//case//19 år//NN|NEU|SIN|IND|NOM//nmod//17 .//MAD//punct//9
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;En//DT|UTR|SIN|IND//det//23 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//23 kapitalbindning//NN|UTR|SIN|IND|NOM//nsubj//28 med//PP//case//27 215//RG|NOM//nummod//26 miljarder//NN|UTR|PLU|IND|NOM//nmod//27 kronor//NN|UTR|PLU|IND|NOM//nmod//23 medför//VB|PRS|AKT//parataxis//9 att//SN//mark//31 staten//NN|UTR|SIN|DEF|NOM//nsubj//31 vinner//VB|PRS|AKT//ccomp//28 mellan//PP//case//37 430//RG|NOM//nummod//36 och//KN//cc//33 645//RG|NOM//nummod//33 miljoner//NN|UTR|PLU|IND|NOM//nmod//37 kronor//NN|UTR|PLU|IND|NOM//obl//31 per//PP//case//39 år//NN|NEU|SIN|IND|NOM//nmod//37 ,//MID//punct//31 medan//SN//mark//49 en//DT|UTR|SIN|IND//det//44 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//44 kapitalbindning//NN|UTR|SIN|IND|NOM//nsubj//49 med//PP//case//48 90//RG|NOM//nummod//47 miljarder//NN|UTR|PLU|IND|NOM//nmod//48 kronor//NN|UTR|PLU|IND|NOM//nmod//44 medför//VB|PRS|AKT//advcl//31 en//DT|UTR|SIN|IND//det//51 vinst//NN|UTR|SIN|IND|NOM//obj//49 på//PP//case//58 mellan//PP//case//58 180//RG|NOM//nummod//57 och//KN//cc//54 270//RG|NOM//conj//54 miljoner//NN|UTR|PLU|IND|NOM//nmod//58 kronor//NN|UTR|PLU|IND|NOM//nmod//51 per//PP//case//60 år//NN|NEU|SIN|IND|NOM//nmod//58 .//MAD//punct//9
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Diskonteras//VB|PRS|SFO//parataxis//9 de//DT|UTR/NEU|PLU|DEF//det//65 årliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 vinsterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//62 med//PP//case//69 en//DT|UTR|SIN|IND//det//69 antagen//PC|PRF|UTR|SIN|IND|NOM//amod//69 realränta//NN|UTR|SIN|IND|NOM//nmod//65 på//PP//case//72 2//RG|NOM//nummod//72 procent//NN|UTR|PLU|IND|NOM//nmod//69 ,//MID//punct//74 uppgår//VB|PRS|AKT//parataxis//9 nuvärdet//NN|NEU|SIN|DEF|NOM//nsubj//74 i//PP//case//78 normala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 tider//NN|UTR|PLU|IND|NOM//obl//74 till//PP//case//85 mellan//PP//case//81 9//RG|NOM//nummod//84 och//KN//cc//81 14//RG|NOM//nummod//81 miljarder//NN|UTR|PLU|IND|NOM//nmod//85 kronor//NN|UTR|PLU|IND|NOM//obl//74 .//MAD//punct//9
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Ovanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 vinster//NN|UTR|PLU|IND|NOM//nsubj//2 utgör//VB|PRS|AKT//ROOT//2 såväl//KN//advmod//4 statsfinansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//2 som//KN//mark//7 samhällsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 vinster//NN|UTR|PLU|IND|NOM//obl//2 .//MAD//punct//2
Utredningens förslag uppskattas ge en samhällsekonomisk vinst på 430 till 645 miljoner kronor per år med förstärkt valutareserv, och 180 till 270 miljoner per år i normala tider;Om//SN//mark//16 en//DT|UTR|SIN|IND//det//11 del//NN|UTR|SIN|IND|NOM//nsubj:pass//16 av//PP//case//15 eller//KN//cc//15 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 valutareserven//NN|UTR|SIN|DEF|NOM//nmod//11 finansieras//VB|PRS|SFO//advcl//2 genom//PP//case//18 avgifter//NN|UTR|PLU|IND|NOM//obl//16 på//PP//case//20 bankerna//NN|UTR|PLU|DEF|NOM//nmod//18 ,//MID//punct//22 flyttas//VB|PRS|SFO//conj//2 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 kostnad//NN|UTR|SIN|IND|NOM//nsubj:pass//22 från//PP//case//26 staten//NN|UTR|SIN|DEF|NOM//nmod//24 till//PP//case//28 bankerna//NN|UTR|PLU|DEF|NOM//obl//22 ,//MID//punct//34 men//KN//cc//34 den//DT|UTR|SIN|DEF//det//33 samhällsekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 vinsten//NN|UTR|SIN|DEF|NOM//nsubj//34 kvarstår//VB|PRS|AKT//conj//2 .//MAD//punct//2

