9 Samhällsekonomiska konsekvenser ;I//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//2 anges//VB|PRS|SFO//ROOT//2 att//SN//mark//8 ”//PM|NOM//punct//8 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//8 skall//VB|PRS|AKT//aux//8 inte//AB//advmod//8 innebära//VB|INF|AKT//dep//2 några//DT|UTR/NEU|PLU|IND//det//11 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 kostnader//NN|UTR|PLU|IND|NOM//obj//8 för//PP//case//15 den//DT|UTR|SIN|DEF//det//15 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 sektorn//NN|UTR|SIN|DEF|NOM//nmod//11 ”//PM|NOM//punct//8 .//MAD//punct//19
9 Samhällsekonomiska konsekvenser ;En//DT|UTR|SIN|IND//det//2 samhällsekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 analys//NN|UTR|SIN|IND|NOM//nsubj//3 visar//VB|PRS|AKT//ROOT//3 hur//HA//advmod//8 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 resurser//NN|UTR|PLU|IND|NOM//nsubj:pass//8 kan//VB|PRS|AKT//aux//8 användas//VB|INF|SFO//ccomp//3 effektivt//AB|POS//advmod//8 .//MAD//punct//3
9 Samhällsekonomiska konsekvenser ;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//12 ger//VB|PRS|AKT//parataxis//3 underlag//NN|NEU|SIN|IND|NOM//obj//12 för//PP//case//15 prioritering//NN|UTR|SIN|IND|NOM//obl//12 av//PP//case//18 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 resurser//NN|UTR|PLU|IND|NOM//nmod//15 för//PP//mark//21 att//IE//mark//21 få//VB|INF|AKT//advcl//12 så//AB//advmod//23 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 positiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 effekter//NN|UTR|PLU|IND|NOM//obj//21 som//KN//mark//27 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//25 för//PP//case//29 pengarna//NN|UTR|PLU|DEF|NOM//obl//21 .//MAD//punct//12
9 Samhällsekonomiska konsekvenser ;Analysen//NN|UTR|SIN|DEF|NOM//nsubj//32 visar//VB|PRS|AKT//conj//3 också//AB//advmod//32 vilka//HD|UTR/NEU|PLU|IND//det//35 kostnader//NN|UTR|PLU|IND|NOM//obj//32 och//KN//cc//37 intäkter//NN|UTR|PLU|IND|NOM//conj//35 som//HP|-|-|-//nsubj//39 uppstår//VB|PRS|AKT//acl:relcl//37 för//PP//case//42 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 aktörer//NN|UTR|PLU|IND|NOM//obl//39 till//PP//case//47 följd//NN|UTR|SIN|IND|NOM//fixed//43 av//PP//case//47 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 insatser//NN|UTR|PLU|IND|NOM//nmod//42 .//MAD//punct//32
9 Samhällsekonomiska konsekvenser ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//51 är//VB|PRS|AKT//cop//51 viktigt//JJ|POS|NEU|SIN|IND|NOM//conj//32 att//IE//mark//53 ta//VB|INF|AKT//csubj//51 hänsyn//NN|UTR|SIN|IND|NOM//obj//53 till//PP//mark//62 att//SN//mark//62 kostnader//NN|UTR|PLU|IND|NOM//nsubj//62 och//KN//cc//60 positiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 effekter//NN|UTR|PLU|IND|NOM//conj//57 inte//AB//advmod//62 uppstår//VB|PRS|AKT//advcl//53 samtidigt//AB//advmod//62 .//MAD//punct//51
9 Samhällsekonomiska konsekvenser ;Många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 gångar//NN|UTR|PLU|IND|NOM//obj//70 måste//VB|PRS|AKT//aux//70 beslutsfattare//NN|UTR|PLU|IND|NOM//nsubj//70 vara//VB|INF|AKT//cop//70 beredda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//51 att//IE//mark//72 satsa//VB|INF|AKT//advcl//70 långsiktigt//AB|POS//advmod//72 om//SN//mark//81 de//DT|UTR/NEU|PLU|DEF//det//78 mest//AB|SUV//advmod//77 kostnadseffektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 insatserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//81 ska//VB|PRS|AKT//aux//81 kunna//VB|INF|AKT//aux//81 väljas//VB|INF|SFO//advcl//72 .//MAD//punct//32
9 Samhällsekonomiska konsekvenser ;Samhällsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 analyser//NN|UTR|PLU|IND|NOM//nsubj//10 med//PP//case//6 ett//DT|NEU|SIN|IND//det//6 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//6 brett//JJ|POS|NEU|SIN|IND|NOM//amod//6 anslag//NN|NEU|SIN|IND|NOM//nmod//1 är//VB|PRS|AKT//cop//10 dock//AB//advmod//10 mycket//AB|POS//advmod//10 komplicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//10 och//KN//cc//12 resurskrävande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//10 att//IE//mark//14 genomföra//VB|INF|AKT//advcl//10 och//KN//cc//19 därför//AB//advmod//19 ytterst//AB|SUV//advmod//18 sällsynt//AB|POS//amod//19 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//14 .//MAD//punct//10
9 Samhällsekonomiska konsekvenser ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 emellertid//AB//advmod//1 ett//DT|NEU|SIN|IND//det//4 antal//NN|NEU|SIN|IND|NOM//nmod//5 studier//NN|UTR|PLU|IND|NOM//nsubj//1 genomförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//5 inom//PP//case//8 sjukvård//NN|UTR|SIN|IND|NOM//obl//6 och//KN//cc//10 socialtjänst//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//5 till//PP//advmod//1 exempel//NN|NEU|SIN|IND|NOM//fixed//12 inom//PP//case//15 missbrukarvården//NN|UTR|SIN|DEF|NOM//obl//1 ,//MID//punct//1 med//PP//case//21 den//DT|UTR|SIN|DEF//det//21 så//AB//advmod//20 kallade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//21 scenariometoden//NN|UTR|SIN|DEF|NOM//obl//1 och//KN//cc//24 som//HP|-|-|-//nsubj:pass//24 refereras//VB|PRS|SFO//acl:relcl//21 i//PP//case//28 ovan//AB//advmod//27 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//28 rapport//NN|UTR|SIN|IND|NOM//obl//24
9 Samhällsekonomiska konsekvenser ;Tänk//VB|IMP|AKT//ROOT//0 långsiktigt//JJ|POS|NEU|SIN|IND|NOM//advmod//0 (//PAD//punct//0 sidorna//NN|UTR|PLU|DEF|NOM//nmod//4 74–81//RG|NOM//appos//0 )//PAD//punct//0 .//MAD//punct//0
9 Samhällsekonomiska konsekvenser ;Dessa//DT|UTR/NEU|PLU|DEF//det//1 studier//NN|UTR|PLU|IND|NOM//nsubj//2 avser//VB|PRS|AKT//ROOT//2 målgrupper//NN|UTR|PLU|IND|NOM//obj//2 med//PP//case//6 komplex//JJ|POS|UTR|SIN|IND|NOM//amod//6 problematik//NN|UTR|SIN|IND|NOM//nmod//3 kring//PP//case//10 vilka//HP|UTR/NEU|PLU|IND//det//10 främst//AB|SUV//advmod//10 socialtjänst//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//12 sjukvård//NN|UTR|SIN|IND|NOM//conj//10 ,//MID//punct//17 men//KN//cc//17 även//AB//advmod//16 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 samhällsorgan//NN|NEU|PLU|IND|NOM//conj//2 som//KN//mark//19 försäkringskassa//NN|UTR|SIN|IND|NOM//appos//17 ,//MID//punct//21 arbetsförmedling//NN|UTR|SIN|IND|NOM//conj//19 ,//MID//punct//23 rättsmyndigheter//NN|UTR|PLU|IND|NOM//conj//19 ,//MID//punct//25 möts//VB|PRS|SFO//conj//19 och//KN//cc//27 förväntas//VB|PRS|SFO//conj//19 samverka//VB|INF|AKT//xcomp//27 .//MAD//punct//17
9 Samhällsekonomiska konsekvenser ;Förutom//PP//case//31 målgrupperna//NN|UTR|PLU|DEF|NOM//obl//32 personer//NN|UTR|PLU|IND|NOM//appos//17 med//PP//case//35 tungt//JJ|POS|NEU|SIN|IND|NOM//amod//35 missbruk//NN|NEU|SIN|IND|NOM//nmod//32 och//KN//cc//37 personer//NN|UTR|PLU|IND|NOM//conj//35 med//PP//case//41 svårare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 psykiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 funktionshinder//NN|NEU|PLU|IND|NOM//nmod//32 ,//MID//punct//41 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//cop//46 mest//AB|SUV//advmod//46 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//41 här//AB//advmod//46 ,//MID//punct//17 har//VB|PRS|AKT//aux//52 även//AB//advmod//49 målgrupperna//NN|UTR|PLU|DEF|NOM//obj//49 personer//NN|UTR|PLU|IND|NOM//acl//17 med//PP//case//55 sjuklig//JJ|POS|UTR|SIN|IND|NOM//amod//55 fetma//NN|UTR|SIN|IND|NOM//nmod//52 ///MID//cc//57 övervikt//NN|UTR|SIN|IND|NOM//conj//55 och//KN//cc//59 personer//NN|UTR|PLU|IND|NOM//conj//55 med//PP//case//62 diffusa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 ryggproblem//NN|NEU|PLU|IND|NOM//nmod//59 med//PP//case//65 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//65 studerats//VB|SUP|SFO//obl//52 .//MAD//punct//2
9 Samhällsekonomiska konsekvenser ;Ett//DT|NEU|SIN|IND//det//2 första//RO|NOM//amod//2 syfte//NN|NEU|SIN|IND|NOM//nsubj//7 med//PP//case//4 studierna//NN|UTR|PLU|DEF|NOM//nmod//2 är//VB|PRS|AKT//cop//7 att//IE//mark//7 redovisa//VB|INF|AKT//ROOT//7 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 totala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 kostnader//NN|UTR|PLU|IND|NOM//obj//7 för//PP//case//12 klient//NN|UTR|SIN|IND|NOM//obl//7 ///MID//cc//14 patientgruppen//NN|UTR|SIN|DEF|NOM//conj//12 genom//PP//mark//18 att//IE//mark//18 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//18 beskriva//VB|INF|AKT//advcl//7 och//KN//cc//20 kostnadsberäkna//VB|INF|AKT//conj//18 sjukdoms-/problemutvecklingen//AB|AN//advmod//20 med//PP//case//23 ledning//NN|UTR|SIN|IND|NOM//obl//20 av//PP//case//25 kontakter//NN|UTR|PLU|IND|NOM//nmod//23 med//PP//case//28 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//28 myndigheter//NN|UTR|PLU|IND|NOM//nmod//25 ,//MID//punct//30 organisationer//NN|UTR|PLU|IND|NOM//conj//28 ,//MID//punct//32 allmänhet//NN|UTR|SIN|IND|NOM//conj//28 ,//MID//punct//35 personligt//JJ|POS|NEU|SIN|IND|NOM//amod//35 nätverk//NN|NEU|SIN|IND|NOM//conj//28 med//PP//case//28 mera//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//20 .//MAD//punct//7
9 Samhällsekonomiska konsekvenser ;Ett//DT|NEU|SIN|IND//det//2 andra//RO|NOM//amod//2 syfte//NN|NEU|SIN|IND|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 att//IE//mark//5 identifiera//VB|INF|AKT//ROOT//5 och//KN//cc//7 analysera//VB|INF|AKT//conj//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 effekter//NN|UTR|PLU|IND|NOM//obj//7 av//PP//case//11 resursförstärkningar//NN|UTR|PLU|IND|NOM//nmod//9 ,//MID//punct//14 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//14 samverkan//NN|UTR|SIN|IND|NOM//conj//11 och//KN//cc//17 medveten//JJ|POS|UTR|SIN|IND|NOM//amod//17 metodik//NN|UTR|SIN|IND|NOM//conj//11 .//MAD//punct//5
9 Samhällsekonomiska konsekvenser ;Blir//VB|PRS|AKT//parataxis//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//19 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//19 eller//KN//cc//23 sämre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//21 ?//MID//punct//25
9 Samhällsekonomiska konsekvenser ;Blir//VB|PRS|AKT//conj//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 dyrare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//25 eller//KN//cc//29 billigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//27 ?//MID//punct//25
9 Samhällsekonomiska konsekvenser ;Vem//HP|UTR|SIN|IND//nsubj//32 vinner//VB|PRS|AKT//conj//5 och//KN//cc//35 vem//HP|UTR|SIN|IND//nsubj//35 förlorar//VB|PRS|AKT//conj//32 ?//MID//punct//32
9 Samhällsekonomiska konsekvenser ;Vilka//HD|UTR/NEU|PLU|IND//det//38 effekter//NN|UTR|PLU|IND|NOM//nsubj//39 uppträder//VB|PRS|AKT//conj//32 på//PP//case//41 kort//AB//advmod//39 och//KN//cc//45 på//PP//case//45 lång//JJ|POS|UTR|SIN|IND|NOM//amod//45 sikt//NN|UTR|SIN|IND|NOM//conj//41 ?//MAD//punct//5
