– vad betyder mest?;Bilaga//NN|UTR|SIN|IND|NOM//ROOT//0   //_SP////0 till//PP//case//3 Långtidsutredningen//NN|UTR|SIN|DEF|NOM//obl//0
Förord;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//40 har//VB|PRS|AKT//aux//40 följts//VB|SUP|SFO//conj//12 av//PP//case//43 en//DT|UTR|SIN|IND//det//43 referensgrupp//NN|UTR|SIN|IND|NOM//obl:agent//40 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//43 av//PP//case//47 departementsråd//NN|NEU|SIN|IND|NOM//nmod//47 Henrik//PM|NOM//nmod//44 Braconier//PM|NOM//flat:name//47 (//PAD//punct//47 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//47 )//PAD//punct//47 ,//MID//punct//54 enhetschef//NN|UTR|SIN|IND|NOM//nmod//54 Fredrik//PM|NOM//conj//12 Bystedt//PM|NOM//flat//54 (//PAD//punct//54 Konjunkturinstitutet//PM|NOM//appos//54 )//PAD//punct//54 ,//MID//punct//60 enhetschef//NN|UTR|SIN|IND|NOM//nmod//61 Jesper//PM|NOM//conj//12 Hansson//PM|NOM//flat//61 (//PAD//punct//61 Riksbanken//PM|NOM//appos//61 )//PAD//punct//61 ,//MID//punct//68 forskningsledare//NN|UTR|SIN|IND|NOM//nmod//68 Thomas//PM|NOM//conj//12 Lindh//PM|NOM//flat:name//68 (//PAD//punct//68 Institutet//NN|NEU|SIN|DEF|NOM//obj//12 för//PP//case//73 framtidsstudier//NN|UTR|PLU|IND|NOM//nmod//71 )//PAD//punct//71 ,//MID//punct//76 fil//NN|AN//conj//71 .//MAD//punct//71
Förord;dr//NN|AN//nmod//80 .//MAD//punct//78
Förord;Tomas//PM|NOM//conj//12 Lindström//PM|NOM//flat:name//80 (//PAD//punct//80 SEB//PM|NOM//appos//80 )//PAD//punct//80 .//MAD//punct//12
Förord;Ansvaret//NN|NEU|SIN|DEF|NOM//ROOT//0 för//PP//case//3 Långtidsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 bilagor//NN|UTR|PLU|IND|NOM//nmod//0 och//KN//cc//6 de//DT|UTR/NEU|PLU|DEF//det//6 bedömningar//NN|UTR|PLU|IND|NOM//conj//3 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//8 innehåller//VB|PRS|AKT//acl:relcl//6 vilar//VB|PRS|AKT//xcomp//8 helt//AB|POS//advmod//9 på//PP//case//13 bilagornas//NN|UTR|PLU|DEF|GEN//nmod:poss//13 författare//NN|UTR|PLU|IND|NOM//obl//9 .//MAD//punct//0
Förord;Finansdepartementets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 kontaktperson//NN|UTR|SIN|IND|NOM//nsubj//12 har//VB|PRS|AKT//aux//3 varit//VB|SUP|AKT//cop//12 ämnessakkunnig//NN|UTR|SIN|IND|NOM//nmod//5 Philip//PM|NOM//nsubj//12 Löf//PM|NOM//flat:name//5 .//MAD//punct//5
Förord;Kanslisekreterare//NN|UTR|SIN|IND|NOM//nmod//9 Charlotte//PM|NOM//nsubj//12 Korfitsen//NN|UTR|SIN|DEF|NOM//flat:name//9 har//VB|PRS|AKT//aux//12 redigerat//VB|SUP|AKT//ROOT//12 manus//NN|NEU|SIN|IND|NOM//obj//12 .//MAD//punct//12
Förord;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 februari//NN|UTR|SIN|IND|NOM//obl//0 2008//RG|NOM//nummod//0
Förord;Annika//PM|NOM//nmod//1 Århammar//PM|NOM//ROOT//1
Förord;Kansliråd//NN|NEU|SIN|IND|NOM//ROOT//0
Förord;Projektledare//NN|UTR|SIN|IND|NOM//amod//1 Långtidsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 bilagor//NN|UTR|PLU|IND|NOM//ROOT//2

