%DNJUXQG;OLJW//PM|NOM//ROOT//0 VWUXNWXUELGUDJ//PM|NOM//obj//0
%DNJUXQG;PHG//PM|NOM//nsubj//1 PRWVYDUDQGH//PM|NOM//ROOT//1 EHORSS//PM|NOM//advmod//1 7DEHOO//AB|AN//punct//2 6HNWRU//AB|AN//nummod//2 .RPPXQ//MID//punct//2 /DQGVWLQJ//MAD//parataxis//1 7RWDOW//NN|AN//nummod//8 %//NN|AN//nmod//9 HORSS//NN|NEU|SIN|DEF|NOM//nsubj//6

6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Inför//PP//case//2 varje//DT|UTR/NEU|SIN|IND//det//2 bidragsår//NN|NEU|SIN|IND|NOM//obl//3 uppdateras//VB|PRS|SFO//ROOT//3 alla//DT|UTR/NEU|PLU|IND/DEF//det//8 demografiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 och//KN//cc//7 socioekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//5 variabler//NN|UTR|PLU|IND|NOM//nsubj:pass//3 i//PP//case//10 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//obl//3 .//MAD//punct//3
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 variabler//NN|UTR|PLU|IND|NOM//parataxis//3 såsom//KN//mark//16 tätortsbefolkning//NN|UTR|SIN|IND|NOM//nsubj:pass//16 uppdateras//VB|PRS|SFO//acl//13 när//HA//mark//19 tillfälle//NN|NEU|SIN|IND|NOM//nsubj:pass//19 ges//VB|INF|SFO//advcl//16 .//MAD//punct//3
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//40 kan//VB|PRS|AKT//aux//40 och//KN//cc//25 skall//VB|PRS|AKT//aux//25 ge//VB|INF|AKT//conj//22 förändrat//PC|PRF|NEU|SIN|IND|NOM//amod//27 utfall//NN|NEU|SIN|IND|NOM//obj//25 för//PP//case//30 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 kommuner//NN|UTR|PLU|IND|NOM//nmod//27 .//MID//punct//22
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Om//SN//case//35 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 relativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 kostnadsläge//NN|NEU|SIN|IND|NOM//obl//40 gentemot//PP//case//38 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 kommuner//NN|UTR|PLU|IND|NOM//nmod//35 har//VB|PRS|AKT//aux//40 förändrats//VB|SUP|SFO//parataxis//3 som//HA//mark//43 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//43 beräknas//VB|PRS|SFO//advcl//40 i//PP//case//45 utjämningsmodellen//NN|UTR|SIN|DEF|NOM//obl//43 skall//VB|PRS|AKT//aux//48 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//48 återspeglas//VB|INF|SFO//conj//3 i//PP//case//52 en//DT|UTR|SIN|IND//det//52 förändrad//PC|PRF|UTR|SIN|IND|NOM//amod//52 standardkostnad//NN|UTR|SIN|IND|NOM//obl//48 .//MAD//punct//3
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Dessutom//AB//advmod//1 görs//VB|PRS|SFO//ROOT//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 en//DT|UTR|SIN|IND//det//4 nivåjustering//NN|UTR|SIN|IND|NOM//nsubj:pass//1 av//PP//case//6 delmodellerna//NN|UTR|PLU|DEF|NOM//nmod//4 då//HA//advmod//11 den//DT|UTR|SIN|DEF//det//10 riksgenomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kostnaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//11 uppdateras//VB|PRS|SFO//acl:relcl//4 .//MAD//punct//1
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Om//SN//mark//17 kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//17 i//PP//case//16 kommunsektorn//NN|UTR|SIN|DEF|NOM//nmod//14 ökar//VB|PRS|AKT//advcl//1 mellan//PP//case//19 åren//NN|NEU|PLU|DEF|NOM//obl//17 kommer//VB|PRS|AKT//punct//1 omfördelningen//NN|UTR|SIN|DEF|NOM//advmod//20 att//IE//mark//23 öka//VB|INF|AKT//advcl//20 över//PP//case//25 tiden//NN|UTR|SIN|DEF|NOM//obl//23 .//MAD//punct//1
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;En//DT|UTR|SIN|IND//det//29 förändrad//PC|PRF|UTR|SIN|IND|NOM//amod//29 standardkostnad//NN|UTR|SIN|IND|NOM//nsubj//30 behöver//VB|PRS|AKT//aux//33 således//AB//advmod//33 inte//AB//advmod//33 betyda//VB|INF|AKT//parataxis//1 förändrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//36 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 förutsättningar//NN|UTR|PLU|IND|NOM//obj//33 .//MID//punct//1
6 Utfallsförändringar på grund av den löpande uppdateringen i kostnadsutjämningen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 är//VB|PRS|AKT//cop//40 förändringen//NN|UTR|SIN|DEF|NOM//parataxis//1 av//PP//case//42 tillägget//NN|NEU|SIN|DEF|NOM//nmod//40 ///MID//cc//44 avdraget//NN|NEU|SIN|DEF|NOM//conj//42 i//PP//case//47 respektive//AB//amod//47 delmodell//NN|UTR|SIN|IND|NOM//nmod//40 som//HP|-|-|-//nsubj//50 är//VB|PRS|AKT//cop//50 intressant//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//47 att//IE//mark//52 studera//VB|INF|AKT//acl//50 .//MAD//punct//40

6.1 Utjämning inte bidrag;Man//PN|UTR|SIN|IND|SUB//nsubj//2 kan//VB|PRS|AKT//aux//2 säga//VB|INF|AKT//ROOT//2 att//IE//mark//6 via//PP//case//5 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//obl//6 fördelas//VB|PRS|SFO//ccomp//2 det//DT|NEU|SIN|DEF//det//9 demografiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 trycket//NN|NEU|SIN|DEF|NOM//nsubj//6 lika//AB//advmod//6 på//PP//case//13 alla//DT|UTR/NEU|PLU|IND/DEF//det//13 kommuner//NN|UTR|PLU|IND|NOM//obl//6 .//MAD//punct//2
6.1 Utjämning inte bidrag;De//DT|UTR/NEU|PLU|DEF//det//16 kommuner//NN|UTR|PLU|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj//18 har//VB|PRS|AKT//acl:relcl//16 en//DT|UTR|SIN|IND//det//20 utveckling//NN|UTR|SIN|IND|NOM//obj//18 som//HP|-|-|-//nsubj//23 är//VB|PRS|AKT//cop//23 kraftigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//20 än//KN//case//25 riket//NN|NEU|SIN|DEF|NOM//nsubj//26 får//VB|PRS|AKT//parataxis//2 ett//DT|NEU|SIN|IND//det//29 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//29 bidrag//NN|NEU|SIN|IND|NOM//obj//26 ///MID//cc//32 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//32 avgift//NN|UTR|SIN|IND|NOM//conj//29 .//MAD//punct//26
6.1 Utjämning inte bidrag;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//40 med//PP//case//38 en//DT|UTR|SIN|IND//det//38 svagare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 utvecklingen//NN|UTR|SIN|DEF|NOM//nmod//34 får//VB|PRS|AKT//aux//40 vara//VB|INF|AKT//parataxis//26 med//PL//compound:prt//40 och//KN//cc//43 betala//VB|INF|AKT//conj//40 via//PP//case//46 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//46 avgift//NN|UTR|SIN|IND|NOM//obl//43 ///MID//cc//48 minskat//PC|PRF|NEU|SIN|IND|NOM//conj//40 bidrag//NN|NEU|SIN|IND|NOM//obj//48 .//MAD//punct//2
6.1 Utjämning inte bidrag;På//PP//case//6 grund//NN|UTR|SIN|IND|NOM//fixed//0 av//PP//fixed//0 en//DT|UTR|SIN|IND//det//6 allt//AB//advmod//5 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 befolkning//NN|UTR|SIN|IND|NOM//obl//24 och//KN//cc//9 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//9 elever//NN|UTR|PLU|IND|NOM//conj//6 i//PP//case//11 grund-//NN|UTR|-|-|SMS//nmod//9 och//KN//cc//13 gymnasieskolan//NN|UTR|SIN|DEF|NOM//conj//11 i//PP//case//15 riket//NN|NEU|SIN|DEF|NOM//nmod//13 i//PP//advmod//6 allmänhet//NN|UTR|SIN|IND|NOM//fixed//16 de//DT|UTR/NEU|PLU|DEF//det//20 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//20 åren//NN|NEU|PLU|DEF|NOM//conj//6 har//VB|PRS|AKT//aux//24 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//24 ofta//AB|POS//advmod//24 beskyllts//VB|SUP|SFO//ROOT//24 för//PP//mark//28 att//IE//mark//28 vara//VB|INF|AKT//cop//28 orättvis//JJ|POS|UTR|SIN|IND|NOM//advcl//24 .//MAD//punct//28
6.1 Utjämning inte bidrag;Finansieringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//42 av//PP//case//34 det//DT|NEU|SIN|DEF//det//34 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//34 trycket//NN|NEU|SIN|DEF|NOM//nmod//30 på//PP//case//37 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//37 service//NN|UTR|SIN|IND|NOM//nmod//34 i//PP//case//39 landet//NN|NEU|SIN|DEF|NOM//nmod//37 som//KN//nsubj:pass//42 helhet//NN|UTR|SIN|IND|NOM//nsubj:pass//42 löses//VB|PRS|SFO//parataxis//28 inte//AB//advmod//42 via//PP//case//45 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//obl//42 utan//KN//cc//48 via//PP//case//48 tillskott//NN|NEU|PLU|IND|NOM//obl//42 i//PP//case//52 det//DT|NEU|SIN|DEF//det//52 generella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 statsbidraget//NN|NEU|SIN|DEF|NOM//nmod//48 eller//KN//cc//56 genom//PP//case//56 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//56 skatteintäkter//NN|UTR|PLU|IND|NOM//conj//52 .//MAD//punct//42
6.1 Utjämning inte bidrag;6.1.1//RG|NOM//appos//24 Exemplet//NN|NEU|SIN|DEF|NOM//nsubj//58 grundskolan//NN|UTR|SIN|DEF|NOM//obj//58
6.1 Utjämning inte bidrag;Under//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//3 åren//NN|NEU|PLU|DEF|NOM//obl//7 har//VB|PRS|AKT//aux//7 andelen//NN|UTR|SIN|DEF|NOM//nsubj//7 skolelever//NN|UTR|PLU|IND|NOM//nsubj//7 ökat//VB|SUP|AKT//ROOT//7 i//PP//case//9 riket//NN|NEU|SIN|DEF|NOM//obl//7 som//KN//mark//11 helhet//NN|UTR|SIN|IND|NOM//xcomp//7 .//MID//punct//7
6.1 Utjämning inte bidrag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 finns//VB|PRS|SFO//parataxis//7 dock//AB//advmod//14 kommuner//NN|UTR|PLU|IND|NOM//nsubj//14 som//HP|-|-|-//nsubj//18 minskat//VB|SUP|AKT//acl:relcl//16 sin//PS|UTR|SIN|DEF//nmod:poss//20 andel//NN|UTR|SIN|IND|NOM//obj//18 samtidigt//AB//mark//24 som//HA//fixed//21 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 finns//VB|PRS|SFO//advcl//18 kommuner//NN|UTR|PLU|IND|NOM//nsubj//24 vars//HS|DEF//nmod:poss//27 andel//NN|UTR|SIN|IND|NOM//nsubj//28 ökat//VB|SUP|AKT//acl:relcl//25 betydligt//AB//advmod//30 snabbare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//28 än//KN//case//32 genomsnittet//NN|NEU|SIN|DEF|NOM//obl//28 .//MAD//punct//14
6.1 Utjämning inte bidrag;Via//PP//case//1 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//obl//8 och//KN//cc//5 då//AB//advmod//5 främst//AB|SUV//advmod//5 delmodellen//NN|UTR|SIN|DEF|NOM//conj//1 för//PP//case//7 grundskolan//NN|UTR|SIN|DEF|NOM//nmod//5 justeras//VB|PRS|SFO//ROOT//8 tillägg//NN|NEU|SIN|IND|NOM//nsubj:pass//8 ///MID//cc//11 avdrag//NN|NEU|SIN|IND|NOM//conj//9 utifrån//PP//case//15 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 relativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 läge//NN|NEU|SIN|IND|NOM//obl//8 .//MAD//punct//8
6.1 Utjämning inte bidrag;I//PP//case//19 figur//NN|UTR|SIN|IND|NOM//nmod//19 6.1//RG|NOM//obl//21 nedan//AB//nmod//19 redovisas//VB|PRS|SFO//parataxis//8 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//21 av//PP//case//25 andelen//NN|UTR|SIN|DEF|NOM//nmod//25 skolelever//NN|UTR|PLU|IND|NOM//nmod//22 i//PP//case//28 tre//RG|NOM//nummod//28 kommuner//NN|UTR|PLU|IND|NOM//nmod//25 samt//KN//cc//31 i//PP//case//31 riket//NN|NEU|SIN|DEF|NOM//conj//28 .//MAD//punct//8
6.1 Utjämning inte bidrag;Sigtuna//PM|GEN//amod//1 kommun//NN|UTR|SIN|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 upplevt//VB|SUP|AKT//ROOT//3 en//DT|UTR|SIN|IND//det//6 kraftig//JJ|POS|UTR|SIN|IND|NOM//amod//6 ökning//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//9 andelen//NN|UTR|SIN|DEF|NOM//nmod//9 skolbarn//NN|NEU|PLU|IND|NOM//nmod//6 under//PP//case//11 perioden//NN|UTR|SIN|DEF|NOM//obl//3 1999//RG|NOM//nummod//11 till//PP//case//14 2001//RG|NOM//nummod//15 Ökningen//NN|UTR|SIN|DEF|NOM//obl//3 har//VB|PRS|AKT//aux//19 dessutom//AB//advmod//19 varit//VB|SUP|AKT//cop//19 kraftigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//3 än//KN//case//22 i//PP//case//22 riket//NN|NEU|SIN|DEF|NOM//obl//19 .//MID//punct//3
6.1 Utjämning inte bidrag;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 har//VB|PRS|AKT//aux//26 resulterat//VB|SUP|AKT//parataxis//3 i//PP//case//30 ett//DT|NEU|SIN|IND//det//30 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//30 tillägg//NN|NEU|SIN|IND|NOM//obl//26 i//PP//case//32 delmodellen//NN|UTR|SIN|DEF|NOM//nmod//30 för//PP//case//34 grundskolan//NN|UTR|SIN|DEF|NOM//nmod//30 då//HA//advmod//41 Sigtunas//PM|GEN//nmod:poss//37 ”//PAD//nmod//40 ogynnsamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 ”//PAD//punct//38 åldersstruktur//NN|UTR|SIN|IND|NOM//nsubj//41 blivit//VB|SUP|AKT//advcl//26 allt//AB//advmod//43 mer//AB|KOM//advmod//44 ogynnsam//JJ|POS|UTR|SIN|IND|NOM//xcomp//41 under//PP//case//46 perioden//NN|UTR|SIN|DEF|NOM//obl//41 (//PAD//punct//26 plus//AB//cc//50 456//RG|NOM//nummod//50 kronor//NN|UTR|PLU|IND|NOM//conj//26 per//PP//case//52 invånare//NN|UTR|SIN|IND|NOM//nmod//50 mellan//PP//case//54 2000//RG|NOM//nmod//52 och//KN//cc//56 2003//RG|NOM//conj//54 )//PAD//punct//26 .//MAD//punct//3
6.1 Utjämning inte bidrag;I//PP//case//3 Upplands//PM|GEN//nmod:poss//3 Väsby//PM|GEN//amod//3 kommun//NN|UTR|SIN|IND|NOM//obl//8 har//VB|PRS|AKT//aux//8 andelen//NN|UTR|SIN|DEF|NOM//nsubj//8 skolelever//NN|UTR|PLU|IND|NOM//nsubj//8 också//AB//advmod//8 ökat//VB|SUP|AKT//ROOT//8 ,//MID//punct//8 om//AB//mark//16 än//AB//advmod//16 i//PP//case//16 en//DT|UTR|SIN|IND//det//16 något//AB//det//16 lugnare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 takt//NN|UTR|SIN|IND|NOM//advcl//8 .//MAD//punct//8
6.1 Utjämning inte bidrag;Ökning//NN|UTR|SIN|IND|NOM//parataxis//8 är//VB|PRS|AKT//cop//22 ungefär//AB//advmod//22 den//DT|UTR|SIN|DEF//det//22 samma//JJ|POS|UTR/NEU|SIN|DEF|NOM//nsubj//18 som//HP|-|-|-//obl//29 den//DT|UTR|SIN|DEF//fixed//23 i//PP//case//26 riket//NN|NEU|SIN|DEF|NOM//obl//23 ,//MID//punct//29 vilket//HP|NEU|SIN|IND//nsubj//29 gett//VB|SUP|AKT//acl:relcl//22 en//DT|UTR|SIN|IND//det//32 liten//JJ|POS|UTR|SIN|IND|NOM//amod//32 ökning//NN|UTR|SIN|IND|NOM//obj//29 av//PP//case//34 tillägget//NN|NEU|SIN|DEF|NOM//nmod//32 (//PAD//punct//22 plus//AB//cc//38 16//RG|NOM//nummod//38 kronor//NN|UTR|PLU|IND|NOM//appos//22 per//PP//case//40 invånare//NN|UTR|SIN|IND|NOM//nmod//38 2000//RG|NOM//nummod//40 till//PP//case//43 2003//RG|NOM//obl//38 )//PAD//punct//8 .//MAD//punct//8
6.1 Utjämning inte bidrag;Kommunen//NN|UTR|SIN|DEF|NOM//nsubj//47 får//VB|PRS|AKT//parataxis//8 alltså//AB//advmod//47 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//50 elever//NN|UTR|PLU|IND|NOM//obj//47 men//KN//cc//54 inte//AB//advmod//54 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 pengar//NN|UTR|PLU|IND|NOM//conj//50 då//HA//mark//57 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//57 handlar//VB|PRS|AKT//acl:relcl//54 om//PP//case//60 en//DT|UTR|SIN|IND//det//60 utjämning//NN|UTR|SIN|IND|NOM//obl//57 .//MAD//punct//8
6.1 Utjämning inte bidrag;Elevantalet//NN|NEU|SIN|DEF|NOM//nsubj//5 i//PP//case//3 Lekebergs//PM|GEN//nmod:poss//3 kommun//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//5 minskat//VB|SUP|AKT//ROOT//5 kraftigt//AB|POS//advmod//5 under//PP//case//8 perioden//NN|UTR|SIN|DEF|NOM//obl//5 .//MAD//punct//5
6.1 Utjämning inte bidrag;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//11 gör//VB|PRS|AKT//conj//5 att//SN//mark//14 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//14 får//VB|PRS|AKT//ccomp//11 ett//DT|NEU|SIN|IND//det//17 minskat//PC|PRF|NEU|SIN|IND|NOM//amod//17 tillägg//NN|NEU|SIN|IND|NOM//obj//14 ,//MID//punct//24 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 tidigare//AB|KOM//advmod//21 ogynnsamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 struktur//NN|UTR|SIN|IND|NOM//nsubj//24 har//VB|PRS|AKT//aux//24 närmat//VB|SUP|AKT//conj//14 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//24 nivån//NN|UTR|SIN|DEF|NOM//obj//24 i//PP//case//28 riket//NN|NEU|SIN|DEF|NOM//obl//24 .//MAD//punct//11
6.1 Utjämning inte bidrag;Minskningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//37 av//PP//case//32 tilläget//NN|NEU|SIN|DEF|NOM//nmod//30 är//VB|PRS|AKT//cop//37 dock//AB//advmod//37 inte//AB//advmod//37 bara//AB//advmod//37 kopplad//PC|PRF|UTR|SIN|IND|NOM//parataxis//11 till//PP//case//41 den//DT|UTR|SIN|DEF//det//41 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 minskningen//NN|UTR|SIN|DEF|NOM//obl//37 utan//KN//cc//45 även//AB//advmod//44 en//DT|UTR|SIN|IND//det//45 effekt//NN|UTR|SIN|IND|NOM//obl//37 av//PP//mark//51 att//SN//mark//51 genomsnittet//NN|NEU|SIN|DEF|NOM//nsubj//51 i//PP//case//50 riket//NN|NEU|SIN|DEF|NOM//nmod//48 ökar//VB|PRS|AKT//acl//45 .//MAD//punct//11
6.1 Utjämning inte bidrag;Totalt//AB|POS//advmod//56 har//VB|PRS|AKT//aux//56 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//56 fått//VB|SUP|AKT//conj//11 en//DT|UTR|SIN|IND//det//58 minskning//NN|UTR|SIN|IND|NOM//obj//56 av//PP//case//60 tillägget//NN|NEU|SIN|DEF|NOM//nmod//58 med//PP//case//63 299//RG|NOM//nummod//63 kronor//NN|UTR|PLU|IND|NOM//nmod//58 per//PP//case//65 invånare//NN|UTR|SIN|IND|NOM//nmod//63 mellan//PP//case//67 2000//RG|NOM//nmod//65 och//KN//cc//67 2003//RG|NOM//nummod//67 .//MAD//punct//11
6.1 Utjämning inte bidrag;Nedan//AB//advmod//1 redovisas//VB|PRS|SFO//ROOT//1 effekterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//1 av//PP//mark//5 att//SN//mark//5 personer//NN|UTR|PLU|IND|NOM//nmod//2 i//PP//case//8 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 åldrar//NN|UTR|PLU|IND|NOM//nmod//5 flyttar//VB|PRS|AKT//xcomp//1 in//PL//compound:prt//9 till//PP//case//13 Tranås//PM|GEN//amod//13 kommun//NN|UTR|SIN|IND|NOM//obl//9 .//MAD//punct//1
