
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Antal//NN|UTR|PLU|IND|NOM//nmod//1 döda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//5 100//RG|NOM//nummod//4 000//RG|NOM//nummod//5 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//9 följd//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 olycksfall//NN|NEU|PLU|IND|NOM//obl//1
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Pojkar//NN|UTR|PLU|IND|NOM//ROOT//0 13-20//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//obj//0
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Flickor//NN|UTR|PLU|IND|NOM//ROOT//0 0-12//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//nmod//0
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Flickor//NN|UTR|PLU|IND|NOM//ROOT//0 13-20//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//obj//0
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Antal//NN|UTR|PLU|IND|NOM//nsubj//1 skadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//4 1000//RG|NOM//nummod//4 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//10 följd//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 avsiktlig//JJ|POS|UTR|SIN|IND|NOM//advmod//9 självdestruktiv//JJ|POS|UTR|SIN|IND|NOM//amod//10 handling//NN|UTR|SIN|IND|NOM//obl//1

5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000 / Antal skadade per 1000 barn till följd av;övergrepp///PM|GEN//case//1 våld//NN|NEU|SIN|IND|NOM//ROOT//1
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000 / Antal skadade per 1000 barn till följd av;Pojkar//NN|UTR|PLU|IND|NOM//ROOT//0 0-12//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//nmod//0
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000 / Antal skadade per 1000 barn till följd av;Pojkar//NN|UTR|PLU|IND|NOM//ROOT//0 13-20//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//obj//0
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000 / Antal skadade per 1000 barn till följd av;Flickor//NN|UTR|PLU|IND|NOM//ROOT//0 0-12//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//nmod//0
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000 / Antal skadade per 1000 barn till följd av;Flickor//NN|UTR|PLU|IND|NOM//ROOT//0 13-20//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//obj//0

5.2.2. Vårdade i sluten vård till följd av skada i Sverige 1998–2000. Fördelning av den yttre orsaken till skadan. Barn 0–17 år;4//RG|NOM//nummod//1 %//NN|AN//nmod//2 15//RG|NOM//nummod//3 %//NN|AN//obl//4 26//RG|NOM//nummod//5 %//NN|AN//obl//6 29//RG|NOM//nummod//7 %//NN|AN//nmod//9 51//RG|NOM//nummod//9 %//NN|AN//ROOT//9
5.2.2. Vårdade i sluten vård till följd av skada i Sverige 1998–2000. Fördelning av den yttre orsaken till skadan. Barn 0–17 år;Flickor//NN|UTR|PLU|IND|NOM//ROOT//0 (//PAD//punct//0 n=22//NN|UTR|SIN|IND|NOM//nmod//3 245//RG|NOM//appos//0 )//PAD//punct//0

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000;Antal//NN|UTR|PLU|IND|NOM//nsubj//1 skadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//4 1000//RG|NOM//nummod//4 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//8 följd//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 vägtransportolycka//NN|UTR|SIN|IND|NOM//obl//1

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Norrbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Västerbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Jämtland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Västernorrland//NN|NEU|SIN|IND|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Gävleborg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Dalarna//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Uppsala//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Värmland//PM|NOM//ROOT//0  //_SP////0 Västmanland//PM|NOM//conj//0  //_SP////2 Stockholm//PM|NOM//conj//2
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Örebro//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Södermanland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Östergötland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Jönköping//PM|NOM//nmod//1 Gotland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Halland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Kalmar//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Kronoberg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Pojkar 0-12 år Flickor 0-12 år;Skåne//PM|NOM//ROOT//0  //_SP////0 Blekinge//PM|NOM//conj//0

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Vägtransportolycka//NN|UTR|SIN|IND|NOM//nmod//1 1,58//RG|NOM//ROOT//1 till//PP//case//4 1,83//RG|NOM//nmod//4 1,21//RG|NOM//obl//1 till//PP//case//7 1,58//RG|NOM//nummod//7 1,08//RG|NOM//obl//1 till//PP//case//9 1,21//RG|NOM//nmod//7  //_SP////9 0,69//RG|NOM//conj//1 till//PP//case//13 1,08//RG|NOM//obl//11
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Norrbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Västerbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Jämtland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Västernorrland//NN|NEU|SIN|IND|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Gävleborg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Dalarna//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Uppsala//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Värmland//PM|NOM//advmod//1 Västmanland//PM|NOM//compound//3   //_SP////1 Stockholm//PM|NOM//ROOT//3
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Örebro//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Södermanland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Östergötland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Jönköping//PM|NOM//nmod//1 Gotland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Halland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Kalmar//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Kronoberg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 0-12 år/1000;Skåne//PM|NOM//ROOT//0  //_SP////0 Blekinge//PM|NOM//conj//0

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Vägtransportolycka//NN|UTR|SIN|IND|NOM//amod//1 1,28//RG|NOM//ROOT//1 till//PP//case//4 2,00//RG|NOM//amod//4 1,03//RG|NOM//obl//1 till//PP//case//6 1,28//RG|NOM//nummod//7 0,86//RG|NOM//conj//1 till//PP//case//11 1,03//RG|NOM//nummod//11  //_SP////9 0,41//RG|NOM//obl//1 till//PP//case//13 0,86//RG|NOM//obl//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Norrbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Västerbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Jämtland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Västernorrland//NN|NEU|SIN|IND|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Gävleborg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Dalarna//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Uppsala//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Värmland//PM|NOM//ROOT//0  //_SP////0 Västmanland//PM|NOM//conj//0  //_SP////2 Stockholm//PM|NOM//conj//2
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Örebro//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Södermanland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Östergötland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Jönköping//PM|NOM//nmod//1 Gotland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Halland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Kalmar//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Kronoberg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 0-12 år/1000;Skåne//PM|NOM//ROOT//0  //_SP////0 Blekinge//PM|NOM//conj//0

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Vägtransportolycka//NN|UTR|SIN|IND|NOM//nsubj//1 4,17//RG|NOM//ROOT//1 till//PP//case//3 5,75//RG|NOM//nummod//4 3,60//RG|NOM//obl//1 till//PP//case//7 4,17//RG|NOM//amod//7 3,23//RG|NOM//nmod//4 till//PP//case//9 3,60//RG|NOM//obl//1  //_SP////9 1,74//RG|NOM//obl//1 till//PP//case//13 3,23//RG|NOM//obl//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Norrbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Västerbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Jämtland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Västernorrland//NN|NEU|SIN|IND|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Gävleborg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Dalarna//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Uppsala//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Värmland//PM|NOM//advmod//1 Västmanland//PM|NOM//compound//3   //_SP////1 Stockholm//PM|NOM//ROOT//3
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Örebro//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Södermanland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Östergötland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Jönköping//PM|NOM//nmod//1 Gotland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Halland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Kalmar//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Kronoberg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år/1000;Skåne//PM|NOM//ROOT//0  //_SP////0 Blekinge//PM|NOM//conj//0

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Vägtransportolycka//NN|UTR|SIN|IND|NOM//nsubj//1 3,22//RG|NOM//ROOT//1 till//PP//case//3 5,18//RG|NOM//obl//1 2,83//RG|NOM//advmod//1 till//PP//case//7 3,22//RG|NOM//nummod//7 2,20//RG|NOM//obl//1 till//PP//case//11 2,83//RG|NOM//nummod//11  //_SP////9 1,39//RG|NOM//obl//1 till//PP//case//13 2,20//RG|NOM//obl//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Fallolycka//NN|UTR|SIN|IND|NOM//nsubj//1 8,10//RG|NOM//ROOT//1 till//PP//case//3 9,02//RG|NOM//advmod//1 6,54//RG|NOM//conj//1 till//PP//case//6 8,10//RG|NOM//obl//7 5,30//RG|NOM//conj//1 till//PP//case//9 6,54//RG|NOM//nmod//7  //_SP////9 2,86//RG|NOM//conj//1 till//PP//case//13 5,30//RG|NOM//obl//11
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Fallolycka//NN|UTR|SIN|IND|NOM//nsubj//1 6,08//RG|NOM//ROOT//1 till//PP//case//3 6,64//RG|NOM//nmod//4 4,79//RG|NOM//obl//1 till//PP//case//7 6,08//RG|NOM//nummod//7 3,78//RG|NOM//obl//1 till//PP//case//11 4,79//RG|NOM//nummod//11  //_SP////9 1,88//RG|NOM//obl//1 till//PP//case//13 3,78//RG|NOM//obl//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Norrbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Västerbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Jämtland//PM|NOM//ROOT//0
