B I L A G A 5;Landstingens//NN|NEU|PLU|DEF|GEN//ROOT//0
10. Har landstinget etablerat forsknings- och utvecklingsarbete i samarbete med universitet eller högskola för att förbättra diagnos- och behandlingsmetoder för patienter som tror sig vara sjuka av amalgam eller andra dentala material?;3//RG|NOM//nummod//7 landsting//NN|NEU|PLU|IND|NOM//nsubj//8 svarade//VB|PRT|AKT//conj//3 att//SN//mark//11 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//11 har//VB|PRS|AKT//ccomp//8 ett//DT|NEU|SIN|IND//det//14 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//14 forsknings-//NN|UTR|-|-|SMS//obj//11 och//KN//cc//16 utvecklingssamarbete//NN|NEU|SIN|IND|NOM//conj//14 .//MAD//punct//8
10. Har landstinget etablerat forsknings- och utvecklingsarbete i samarbete med universitet eller högskola för att förbättra diagnos- och behandlingsmetoder för patienter som tror sig vara sjuka av amalgam eller andra dentala material?;I//PP//case//19 Stockholm//PM|NOM//obl//8  //_SP////19 samarbetar//VB|PRS|AKT//conj//8 landstingets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 beställarenhet//NN|UTR|SIN|IND|NOM//obj//21 med//PP//case//26 Odontologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 institutionen//NN|UTR|SIN|DEF|NOM//nmod//23 som//HP|-|-|-//nsubj//29 har//VB|PRS|AKT//aux//29 gjort//VB|SUP|AKT//acl:relcl//26 uppföljningsstudier//NN|UTR|PLU|IND|NOM//obj//29 och//KN//cc//32 Arbets-//NN|NEU|-|-|SMS//conj//30 och//KN//cc//34 miljömedicin//NN|UTR|SIN|IND|NOM//conj//30 som//HP|-|-|-//nsubj//37 har//VB|PRS|AKT//aux//37 gjort//VB|SUP|AKT//acl:relcl//34 djupintervjuer//NN|UTR|PLU|IND|NOM//obj//37 av//PP//case//40 patienter//NN|UTR|PLU|IND|NOM//nmod//38 som//HP|-|-|-//nsubj:pass//43 tidigare//AB|KOM//advmod//43 behandlats//VB|SUP|SFO//acl:relcl//40 vid//PP//case//45 Amalgamenheten//NN|UTR|SIN|DEF|NOM//obl//43 vid//PP//case//48 Huddinge//PM|GEN//nmod:poss//48 sjukhus//NN|NEU|SIN|IND|NOM//nmod//45 .//MAD//punct//8
10. Har landstinget etablerat forsknings- och utvecklingsarbete i samarbete med universitet eller högskola för att förbättra diagnos- och behandlingsmetoder för patienter som tror sig vara sjuka av amalgam eller andra dentala material?;Jönköping//PM|NOM//nsubj//52  //_SP////50 har//VB|PRS|AKT//conj//8 ett//DT|NEU|SIN|IND//det//54 samarbete//NN|NEU|SIN|IND|NOM//obj//52 med//PP//case//57 Odontologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 institutionen//NN|UTR|SIN|DEF|NOM//nmod//54 i//PP//case//59 Jönköping//PM|NOM//nmod//57 .//MAD//punct//52
10. Har landstinget etablerat forsknings- och utvecklingsarbete i samarbete med universitet eller högskola för att förbättra diagnos- och behandlingsmetoder för patienter som tror sig vara sjuka av amalgam eller andra dentala material?;Västerbotten//PM|NOM//nsubj//63  //_SP////61 ger//VB|PRS|AKT//conj//52 forskningsbidrag//NN|NEU|SIN|IND|NOM//obj//63 till//PP//case//67 Umeå//PM|GEN//amod//67 universitet//NN|NEU|SIN|IND|NOM//nmod//64 .//MAD//punct//8

11. Har motioner inkommit till fullmäktige om att förbättra vård och omhändertagande av patienter som relaterar sina besvär till amalgam och andra dentala material under den senaste fyraårsperioden, dvs. under förra mandatperioden.;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//nsubj//9 .//MAD//punct//4
11. Har motioner inkommit till fullmäktige om att förbättra vård och omhändertagande av patienter som relaterar sina besvär till amalgam och andra dentala material under den senaste fyraårsperioden, dvs. under förra mandatperioden.;9//RG|NOM//nummod//7 landsting//NN|NEU|PLU|IND|NOM//appos//4 har//VB|PRS|AKT//aux//9 svarat//VB|SUP|AKT//ccomp//3 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//12 kommit//VB|SUP|AKT//ccomp//9 in//PL//compound:prt//12 motioner//NN|UTR|PLU|IND|NOM//obj//12 om//PP//case//16 vård//NN|UTR|SIN|IND|NOM//nmod//14 och//KN//cc//18 omhändertagande//NN|NEU|SIN|IND|NOM//conj//16 under//PP//case//22 den//DT|UTR|SIN|DEF//det//22 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//22 mandatperioden//NN|UTR|SIN|DEF|NOM//nmod//16 ,//MID//punct//24 10//RG|NOM//conj//9 har//VB|PRS|AKT//aux//26 svarat//VB|SUP|AKT//conj//3 nej//IN//obj//26 och//KN//cc//27 2//RG|NOM//conj//27 har//VB|PRS|AKT//aux//31 svarat//VB|SUP|AKT//conj//3 vet//VB|PRS|AKT//xcomp//31 ej//AB//advmod//32 .//MAD//punct//3
11. Har motioner inkommit till fullmäktige om att förbättra vård och omhändertagande av patienter som relaterar sina besvär till amalgam och andra dentala material under den senaste fyraårsperioden, dvs. under förra mandatperioden.;Inget//PN|NEU|SIN|IND|SUB/OBJ//nsubj//43 av//PP//case//38 de//DT|UTR/NEU|PLU|DEF//det//38 landsting//NN|NEU|PLU|IND|NOM//nmod//35 som//HP|-|-|-//nsubj//40 svarat//VB|SUP|AKT//acl:relcl//38 ja//IN//obj//40 har//VB|PRS|AKT//aux//43 skickat//VB|SUP|AKT//conj//3 in//PL//compound:prt//43 någon//PN|UTR|SIN|IND|SUB/OBJ//obj//43 av//PP//case//49 de//DT|UTR/NEU|PLU|DEF//det//49 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 motionerna//NN|UTR|PLU|DEF|NOM//nmod//45 .//MAD//punct//43
11. Har motioner inkommit till fullmäktige om att förbättra vård och omhändertagande av patienter som relaterar sina besvär till amalgam och andra dentala material under den senaste fyraårsperioden, dvs. under förra mandatperioden.;2//RG|NOM//nummod//52 landsting//NN|NEU|PLU|IND|NOM//nsubj//54 har//VB|PRS|AKT//aux//54 kommenterat//VB|SUP|AKT//parataxis//43 vad//HP|NEU|SIN|IND//obj//57 motionerna//NN|UTR|PLU|DEF|NOM//nsubj//57 handlar//VB|PRS|AKT//ccomp//54 om//PP//case//57 .//MAD//punct//54
11. Har motioner inkommit till fullmäktige om att förbättra vård och omhändertagande av patienter som relaterar sina besvär till amalgam och andra dentala material under den senaste fyraårsperioden, dvs. under förra mandatperioden.;I//PP//case//61 Stockholm//PM|NOM//obl//63  //_SP////61 gällde//VB|PRT|AKT//conj//43 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//63 användningen//NN|UTR|SIN|DEF|NOM//nsubj//63 av//PP//case//67 rotfyllningsmaterialet//NN|NEU|SIN|DEF|NOM//nmod//68 N2//PM|NOM//nmod//65 ,//MID//punct//63 i//PP//case//71 Skåne//PM|NOM//obl//63  //_SP////71 ett//DT|NEU|SIN|IND//det//74 forsknings-//NN|UTR|-|-|SMS//obj//63 och//KN//cc//76 verksamhetscenter//NN|UTR|SIN|IND|NOM//conj//74 för//PP//case//78 amalgamforskning//NN|UTR|SIN|IND|NOM//nmod//76 och//KN//cc//80 amalgamsanering//NN|UTR|SIN|IND|NOM//conj//78 .//MAD//punct//43

12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;16//RG|NOM//nummod//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//obj//3 .//MAD//punct//3
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Exempel//NN|NEU|PLU|IND|NOM//ROOT//0 på//PP//case//3 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//3 åtgärder//NN|UTR|PLU|IND|NOM//nmod//0 ://MAD//punct//0
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Stockholm//PM|NOM//nsubj//2  //_SP////0 samarbetar//VB|PRS|AKT//ROOT//2 med//PP//case//4 specialister//NN|UTR|PLU|IND|NOM//obl//2 på//PP//case//7 Karolinska//PM|NOM//amod//7 institutet//NN|NEU|SIN|DEF|NOM//nmod//4 .//MAD//punct//2
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Uppsala//PM|NOM//nsubj//11  //_SP////9 diskuterar//VB|PRS|AKT//conj//2 förslag//NN|NEU|PLU|IND|NOM//obj//11 till//PP//case//14 rutiner//NN|UTR|PLU|IND|NOM//nmod//12 med//PP//case//16 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nmod//14 .//MAD//punct//11
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Sörmland//PM|NOM//nsubj//2  //_SP////0 håller//VB|PRS|AKT//ROOT//2 på//PL//compound:prt//2 att//IE//mark//5 bygga//VB|INF|AKT//xcomp//2 upp//PL//compound:prt//5 en//DT|UTR|SIN|IND//det//8 enhet//NN|UTR|SIN|IND|NOM//obj//5 för//PP//case//10 patienter//NN|UTR|PLU|IND|NOM//nmod//8 med//PP//case//12 flersymtomproblematik//NN|UTR|SIN|IND|NOM//nmod//10 ,//MID//punct//5 dvs.//AB|AN//advmod//15 landstinget//NN|NEU|SIN|DEF|NOM//nsubj//16 samlar//VB|PRS|AKT//parataxis//2 patienter//NN|UTR|PLU|IND|NOM//obj//16 med//PP//case//20 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 diagnoser//NN|UTR|PLU|IND|NOM//obl//16 till//PP//case//23 en//DT|UTR|SIN|IND//det//23 behandlingsenhet//NN|UTR|SIN|IND|NOM//obl//16 .//MAD//punct//2
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Jönköping//PM|NOM//nsubj//2  //_SP////0 har//VB|PRS|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//6 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 konstruktiv//JJ|POS|UTR|SIN|IND|NOM//amod//6 dialog//NN|UTR|SIN|IND|NOM//obj//2 med//PP//case//8 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nmod//6 .//MAD//punct//2
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Halland//PM|NOM//nsubj//2  //_SP////0 redovisar//VB|PRS|AKT//ROOT//2 att//SN//mark//6 landstinget//NN|NEU|SIN|DEF|NOM//nsubj//6 har//VB|PRS|AKT//aux//6 fattat//VB|SUP|AKT//ccomp//2 beslut//NN|NEU|SIN|IND|NOM//obj//6 om//PP//case//11 ett//DT|NEU|SIN|IND//det//11 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//11 omhändertagande//NN|NEU|SIN|IND|NOM//obl//6 av//PP//case//14 denna//DT|UTR|SIN|DEF//det//14 patientgrupp//NN|UTR|SIN|IND|NOM//nmod//11 ,//MID//punct//19 men//KN//cc//19 att//SN//mark//19 man//PN|UTR|SIN|IND|SUB//nsubj//19 haft//VB|SUP|AKT//conj//2 problem//NN|NEU|PLU|IND|NOM//obj//19 med//PP//mark//23 att//IE//mark//23 hitta//VB|INF|AKT//advcl//19 intresserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 läkare//NN|UTR|PLU|IND|NOM//obj//23 och//KN//cc//27 tandläkare//NN|UTR|PLU|IND|NOM//conj//25 .//MAD//punct//2
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//nsubj//3  //_SP////1 har//VB|PRS|AKT//ROOT//3 regelbundna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 kontakter//NN|UTR|PLU|IND|NOM//obj//3 med//PP//case//7 representanter//NN|UTR|PLU|IND|NOM//nmod//5 för//PP//case//9 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nmod//7 .//MAD//punct//3
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;I//PP//case//1 Dalarna//PM|NOM//obl//3  //_SP////1 ligger//VB|PRS|AKT//ROOT//3 erfarenheterna//NN|UTR|PLU|DEF|NOM//nsubj//3 av//PP//case//8 den//DT|UTR|SIN|DEF//det//8 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//8 nämnde//PC|PRF|MAS|SIN|DEF|NOM//advcl//3 LEKstudien//NN|UTR|SIN|DEF|NOM//obj//8 till//PP//case//13 grund//NN|UTR|SIN|IND|NOM//fixed//10 för//PP//fixed//10 omhändertagandet//NN|NEU|SIN|DEF|NOM//obl//8 .//MAD//punct//3
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Västernorrland//PM|NOM//nsubj//2  //_SP////0 har//VB|PRS|AKT//ROOT//2 ett//DT|NEU|SIN|IND//det//5 etablerat//PC|PRF|NEU|SIN|IND|NOM//amod//5 samarbete//NN|NEU|SIN|IND|NOM//obj//2 med//PP//case//7 tandvården//NN|UTR|SIN|DEF|NOM//nmod//5 och//KN//cc//9 sjukvården//NN|UTR|SIN|DEF|NOM//conj//7 i//PP//case//11 Umeå//PM|NOM//nmod//9 .//MAD//punct//2
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;I//PP//case//1 Västerbotten//PM|NOM//obl//8  //_SP////1 har//VB|PRS|AKT//aux//8 omhändertagandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//8 av//PP//case//7 denna//DT|UTR|SIN|DEF//det//7 patientgrupp//NN|UTR|SIN|IND|NOM//nmod//4 betonats//VB|SUP|SFO//ROOT//8 i//PP//case//11 varje//DT|UTR/NEU|SIN|IND//det//11 verksamhetsplan//NN|UTR|SIN|IND|NOM//obl//8 sedan//PP//case//13 1991//RG|NOM//nmod//11 .//MAD//punct//8
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Utvecklingsenheten//NN|UTR|SIN|DEF|NOM//appos//8 ,//MID//punct//15 som//HP|-|-|-//nsubj//18 tar//VB|PRS|AKT//acl:relcl//15 emot//PL//compound:prt//18 patienterna//NN|UTR|PLU|DEF|NOM//obj//18 för//PP//case//22 undersökning//NN|UTR|SIN|IND|NOM//obl//18 ,//MID//punct//24 fick//VB|PRT|AKT//conj//8 mellan//PP//case//26 1992//RG|NOM//obl//24 och//KN//cc//26 1995//RG|NOM//nummod//26 1//RG|NOM//nummod//30 miljon//NN|UTR|SIN|IND|NOM//nmod//31 kr//NN|AN//obj//24 ///MID//case//33 år//NN|NEU|SIN|IND|NOM//nmod//31 och//KN//cc//36 mellan//PP//case//36 1996//RG|NOM//nummod//41 och//KN//cc//36 1998//RG|NOM//nummod//36 500//RG|NOM//nummod//41 000//RG|NOM//nummod//41 kr//NN|AN//obl//24 ///MID//case//43 år//NN|NEU|SIN|IND|NOM//nmod//41 .//MAD//punct//24
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Från//PP//advmod//48 och//KN//fixed//45 med//PP//fixed//45 1998//RG|NOM//conj//8 får//VB|PRS|AKT//advcl//8 enheten//NN|UTR|SIN|DEF|NOM//nsubj//49 6//RG|NOM//nummod//52 000//RG|NOM//nummod//53 kr//NN|AN//obj//49 ///MID//case//56 utredd//PC|PRF|UTR|SIN|IND|NOM//amod//56 patient//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//8
12. Redovisa vad landstinget gör för att utveckla vård och bemötande av patienter som anser sig vara sjuka av amalgam eller andra dentala material.;Norrbotten//PM|NOM//nsubj//2  //_SP////0 håller//VB|PRS|AKT//ROOT//2 på//PL//compound:prt//2 att//IE//mark//5 utarbeta//VB|INF|AKT//xcomp//2 en//DT|UTR|SIN|IND//det//7 modell//NN|UTR|SIN|IND|NOM//obj//5 för//PP//case//9 omhändertagande//NN|NEU|SIN|IND|NOM//obl//5 .//MAD//punct//2

17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//obj//3 .//MAD//punct//3
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;Landstingen//NN|NEU|PLU|DEF|NOM//nsubj//1 ställer//VB|PRS|AKT//ROOT//1 likartade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 krav//NN|NEU|PLU|IND|NOM//obj//1 för//PP//mark//10 att//SN//mark//10 en//DT|UTR|SIN|IND//det//7 patient//NN|UTR|SIN|IND|NOM//nsubj//10 ska//VB|PRS|AKT//aux//10 få//VB|INF|AKT//aux//10 byta//VB|INF|AKT//acl//3 ut//PL//compound:prt//10 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//13 tandfyllningar//NN|UTR|PLU|IND|NOM//obj//10 vid//PP//case//16 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 reaktioner//NN|UTR|PLU|IND|NOM//obl//10 mot//PP//case//19 dentala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 material//NN|NEU|PLU|IND|NOM//nmod//16 .//MAD//punct//1
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//22 finns//VB|PRS|SFO//parataxis//1 dock//AB//advmod//22 skillnader//NN|UTR|PLU|IND|NOM//nsubj//22 som//HP|-|-|-//nsubj//27 kan//VB|PRS|AKT//aux//27 få//VB|INF|AKT//acl:relcl//24 konsekvenser//NN|UTR|PLU|IND|NOM//obj//27 för//PP//case//32 den//DT|UTR|SIN|DEF//det//32 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//32 individen//NN|UTR|SIN|DEF|NOM//nmod//28 ,//MID//punct//28 t.ex.//AB|AN//advmod//35 krav//NN|NEU|PLU|IND|NOM//appos//28 på//PP//case//38 subjektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 besvär//NN|NEU|PLU|IND|NOM//nmod//35 i//PP//case//41 direkt//JJ|POS|UTR|SIN|IND|NOM//amod//41 anslutning//NN|UTR|SIN|IND|NOM//nmod//38 till//PP//case//43 tandfyllningen//NN|UTR|SIN|DEF|NOM//nmod//41 ,//MID//punct//45 krav//NN|NEU|PLU|IND|NOM//conj//41 på//PP//case//47 materialval//NN|NEU|PLU|IND|NOM//nmod//45 och//KN//cc//49 biopsier//NN|UTR|PLU|IND|NOM//conj//47 .//MAD//punct//1
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;För//PP//case//3 6//RG|NOM//nummod//2 §//NN|AN//nmod//3 tandvårdsförordningen//NN|UTR|SIN|DEF|NOM//obl//4 gäller//VB|PRS|AKT//ROOT//4 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//4 ://MAD//punct//4
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//PP//punct//2 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 krävs//VB|PRS|SFO//ROOT//2 verifierat//PC|PRF|NEU|SIN|IND|NOM//amod//4 samband//NN|NEU|SIN|IND|NOM//nsubj:pass//2 mellan//PP//case//7 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 reaktion//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//9 tandfyllning//NN|UTR|SIN|IND|NOM//conj//7 ,//MID//punct//4 ofta//AB|POS//advmod//12 krävs//VB|PRS|SFO//parataxis//2 även//AB//advmod//12 allergiutredning//NN|UTR|SIN|IND|NOM//nsubj:pass//12 och//KN//cc//18 att//SN//mark//18 lichenförändringar//NN|UTR|PLU|IND|NOM//nsubj:pass//18 utreds//VB|PRS|SFO//conj//2 av//PP//case//20 specialist//NN|UTR|SIN|IND|NOM//obl:agent//18 (//PAD//punct//20 20//RG|NOM//appos//20 av//PP//case//25 21//RG|NOM//nummod//25 landsting//NN|NEU|PLU|IND|NOM//nmod//22 )//PAD//punct//20 .//MAD//punct//2
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//PP//nmod//1 Krav//NN|NEU|PLU|IND|NOM//ROOT//1 på//PP//mark//6 att//SN//mark//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 ska//VB|PRS|AKT//aux//6 finnas//VB|INF|SFO//acl//1 en//DT|UTR|SIN|IND//det//9 lokal//JJ|POS|UTR|SIN|IND|NOM//amod//9 reaktion//NN|UTR|SIN|IND|NOM//obj//6 i//PP//case//11 slemhinnan//NN|UTR|SIN|DEF|NOM//nmod//9 intill//PP//case//13 tandfyllningen//NN|UTR|SIN|DEF|NOM//obl//6 (//PAD//punct//6 4//RG|NOM//obl//6 av//PP//case//18 21//RG|NOM//nummod//18 landsting//NN|NEU|PLU|IND|NOM//nmod//15 )//PAD//punct//6 .//MAD//punct//1
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//PP//nmod//1 Krav//NN|NEU|PLU|IND|NOM//ROOT//1 på//PP//case//4 lokal//JJ|POS|UTR|SIN|IND|NOM//amod//4 slemhinnereaktion//NN|UTR|SIN|IND|NOM//nmod//1 även//AB//advmod//7 vid//PP//case//7 guldallergi//NN|UTR|SIN|IND|NOM//nmod//1 (//PAD//punct//7 12//RG|NOM//appos//7 av//PP//case//12 21//RG|NOM//nummod//12 landsting//NN|NEU|PLU|IND|NOM//nmod//9 )//PAD//punct//7 .//MAD//punct//1
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//PP//nmod//1 Krav//NN|NEU|PLU|IND|NOM//ROOT//1 på//PP//mark//7 att//SN//mark//7 en//DT|UTR|SIN|IND//det//5 slemhinneförändring//NN|UTR|SIN|IND|NOM//nsubj//7 ska//VB|PRS|AKT//aux//7 ge//VB|INF|AKT//acl//1 ”//PAD//punct//10 subjektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 besvär//NN|NEU|PLU|IND|NOM//obj//7 ”//RG|NOM//punct//13 alternativt//AB|POS//advmod//13 vara//VB|INF|AKT//cop//16 ”//RG|NOM//punct//16 symtomgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 ”//PAD//punct//1 för//PP//mark//19 att//SN//mark//19 fyllningsbyte//NN|NEU|SIN|IND|NOM//advcl//21 ska//VB|PRS|AKT//aux//21 godkännas//VB|INF|SFO//parataxis//1 (//PAD//punct//21 6//RG|NOM//obl//21 av//PP//case//26 21//RG|NOM//nummod//26 landsting//NN|NEU|PLU|IND|NOM//nmod//23 )//PAD//punct//21 .//MAD//punct//1
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//NN|UTR|SIN|IND|NOM//mark//5 Endast//AB//advmod//2 fyllningar//NN|UTR|PLU|IND|NOM//nsubj:pass//5 och//KN//cc//4 kronor//NN|UTR|PLU|IND|NOM//conj//2 ersätts//VB|PRS|SFO//ROOT//5 (//PAD//punct//5 1//RG|NOM//nummod//5 av//PP//case//10 21//RG|NOM//nummod//10 landsting//NN|NEU|PLU|IND|NOM//nmod//7 )//PAD//punct//7 .//MAD//punct//5
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//NN|UTR|SIN|IND|NOM//case//1 Fyllning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 byts//VB|PRS|SFO//ROOT//2 mot//PP//case//4 fyllning//NN|UTR|SIN|IND|NOM//obl//2 och//KN//cc//6 kronor//NN|UTR|PLU|IND|NOM//conj//4 mot//PP//case//8 kronor//NN|UTR|PLU|IND|NOM//obl//2 (//PAD//punct//8 4//RG|NOM//appos//8 av//PP//case//13 21//RG|NOM//nummod//13 landsting//NN|NEU|PLU|IND|NOM//nmod//10 )//PAD//punct//8 .//MAD//punct//2
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//NN|UTR|SIN|IND|NOM//nsubj:pass//3 Vid//PP//case//2 lichenförändring//NN|UTR|SIN|IND|NOM//obl//3 beviljas//VB|PRS|SFO//ROOT//3 endast//AB//advmod//3 fyllning//NN|UTR|SIN|IND|NOM//nsubj:pass//3 av//PP//case//7 komposit//NN|UTR|SIN|IND|NOM//nmod//5 (//PAD//punct//7 1//RG|NOM//appos//7 av//PP//case//12 21//RG|NOM//nummod//12 landsting//NN|NEU|PLU|IND|NOM//nmod//9 )//PAD//punct//3 .//MAD//punct//3
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//NN|UTR|SIN|IND|NOM//punct//3 Inga//DT|UTR/NEU|PLU|IND//det//2 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//3 ställs//VB|PRS|SFO//ROOT//3 på//PP//case//6 vilket//HD|NEU|SIN|IND//det//6 material//NN|NEU|SIN|IND|NOM//obl//3 som//HP|-|-|-//nsubj//9 ska//VB|PRS|AKT//aux//9 ersätta//VB|INF|AKT//acl:relcl//6 gamla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 fyllningar//NN|UTR|PLU|IND|NOM//obj//9 (//PAD//punct//11 1//RG|NOM//appos//11 av//PP//case//16 21//RG|NOM//nummod//16 landsting//NN|NEU|PLU|IND|NOM//nmod//13 )//PAD//punct//3 .//MAD//punct//3
17. Vilka regler har landstinget beslutat om för att godkänna tandvård gällande tandvårdsförordningen 6 § (kategori 11)?;•//NN|UTR|SIN|IND|NOM//nmod//1 Förekomst//NN|UTR|SIN|IND|NOM//nsubj:pass//11 av//PP//case//4 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 tandvårdsmaterial//NN|NEU|PLU|IND|NOM//nmod//1 i//PP//case//9 en//DT|UTR|SIN|IND//det//9 och//KN//fixed//6 samma//DT|UTR/NEU|SIN/PLU|IND//conj//6 mun//NN|UTR|SIN|IND|NOM//nmod//4 ska//VB|PRS|AKT//aux//11 dokumenteras//VB|INF|SFO//ROOT//11 (//PAD//punct//11 1//RG|NOM//appos//11 av//PP//case//16 21//RG|NOM//nummod//16 landsting//NN|NEU|PLU|IND|NOM//nmod//13 )//PAD//punct//11 .//MAD//punct//11
