Uppföljning av Trafikverkets totalentreprenader – uppföljning av 11 vägprojekt;På//PP//case//1 uppdrag//NN|NEU|SIN|IND|NOM//ROOT//1 av//PP//case//5 Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//nmod:poss//4 ©//PM|NOM//nmod//5 Prolog//PM|NOM//nmod//1 2011//RG|NOM//nummod//5

Datainsamling;Uppföljningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 gjordes//VB|PRT|SFO//ROOT//1 genom//PP//case//3 intervjuer//NN|UTR|PLU|IND|NOM//obl//1 med//PP//case//6 entreprenadernas//NN|UTR|PLU|DEF|GEN//nmod:poss//6 beställare//NN|UTR|SIN|IND|NOM//nmod//3 ,//MID//punct//6 entreprenör//NN|UTR|SIN|IND|NOM//obl//1  //_SP////8 och//KN//cc//12 entreprenörens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 projektör//NN|UTR|SIN|IND|NOM//conj//8 *//MID//punct//1 .//MAD//punct//1
Datainsamling;I//PP//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//18 entreprenaderna//NN|UTR|PLU|DEF|NOM//obl//24 är//VB|PRS|AKT//cop//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 de//DT|UTR/NEU|PLU|DEF//det//23 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 parternas//NN|UTR|PLU|DEF|GEN//nmod:poss//24 ombud//NN|NEU|PLU|IND|NOM//parataxis//1 som//HP|-|-|-//nsubj:pass//27 har//VB|PRS|AKT//aux//27 intervjuas//VB|PRS|SFO//acl:relcl//24 .//MAD//punct//24
Datainsamling;I//PP//case//31 några//DT|UTR/NEU|PLU|IND//det//31 fall//NN|NEU|PLU|IND|NOM//obl//34 har//VB|PRS|AKT//aux//34 projekteringsledaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//34 intervjuats//VB|SUP|SFO//parataxis//24 och//KN//cc//42 i//PP//case//38 enstaka//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 fall//NN|NEU|PLU|IND|NOM//obl//42 har//VB|PRS|AKT//aux//42 även//AB//advmod//42 huvudprojektören//NN|UTR|SIN|DEF|NOM//nsubj//42 varit//VB|SUP|AKT//conj//34 med//PL//compound:prt//42 vid//PP//case//45 intervjuerna//NN|UTR|PLU|DEF|NOM//obl//42 .//MAD//punct//1
Datainsamling;*//MID//punct//6 I//PP//case//3 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 entreprenader//NN|UTR|PLU|IND|NOM//obl//6 har//VB|PRS|AKT//aux//6 projektören//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 intervjuats//VB|SUP|SFO//ROOT//6 och//KN//cc//11 i//PP//case//10 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 fall//NN|NEU|PLU|IND|NOM//nmod//11 projekteringsledaren//NN|UTR|SIN|DEF|NOM//conj//6 .//MAD//punct//6
Datainsamling;Intervjuerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//1 utfördes//VB|PRT|SFO//ROOT//1 under//PP//case//3 november//NN|UTR|SIN|IND|NOM//obl//1 –//RG|NOM//punct//3 december//NN|UTR|SIN|IND|NOM//appos//3 2011//RG|NOM//nummod//5 .//MAD//punct//1
Datainsamling;Intervjuerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//9 utfördes//VB|PRT|SFO//parataxis//1 i//PP//case//14 form//NN|UTR|SIN|IND|NOM//fixed//10 av//PP//fixed//10 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 möten//NN|NEU|PLU|IND|NOM//obl//9 med//PP//case//16 undantag//NN|NEU|SIN|IND|NOM//nmod//14 av//PP//case//19 fyra//RG|NOM//nummod//19 respondenter//NN|UTR|PLU|IND|NOM//nmod//16 som//HP|-|-|-//nsubj:pass//21 intervjuats//VB|SUP|SFO//acl:relcl//19 per//PP//case//23 telefon//NN|UTR|SIN|IND|NOM//obl//21 p.g.a.//AB|AN//advmod//26 av//PP//case//26 sjukdom//NN|UTR|SIN|IND|NOM//obl//21 respektive//AB//cc//29 upplevd//PC|PRF|UTR|SIN|IND|NOM//amod//29 tidsbrist//NN|UTR|SIN|IND|NOM//conj//26 hos//PP//case//31 respondenterna//NN|UTR|PLU|DEF|NOM//nmod//29 .//MAD//punct//1
Datainsamling;26//RG|NOM//nummod//35 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 respondenter//NN|UTR|PLU|IND|NOM//nsubj//37 har//VB|PRS|AKT//aux//37 svarat//VB|SUP|AKT//parataxis//1 för//PP//case//41 de//DT|UTR/NEU|PLU|DEF//det//41 11//RG|NOM//nummod//41 entreprenaderna//NN|UTR|PLU|DEF|NOM//obl//37 .//MAD//punct//37
Datainsamling;I//PP//case//45 några//DT|UTR/NEU|PLU|IND//det//45 fall//NN|NEU|PLU|IND|NOM//obl//49 har//VB|PRS|AKT//aux//49 samma//DT|UTR/NEU|SIN/PLU|IND//det//48 person//NN|UTR|SIN|IND|NOM//nsubj//49 svarat//VB|SUP|AKT//parataxis//37 för//PP//advmod//51 mer//AB|KOM//obl//49 än//KN//case//54 en//DT|UTR|SIN|IND//det//54 entreprenad//NN|UTR|SIN|IND|NOM//nmod//51 .//MAD//punct//1
Datainsamling;Två//RG|NOM//nsubj:pass//67 av//PP//case//58 entreprenaderna//NN|UTR|PLU|DEF|NOM//nmod//56 på//PP//case//60 E22//PM|NOM//nmod//58 ://MID//punct//58 an//AB//nsubj:pass//67 har//VB|PRS|AKT//aux//67 i//PP//advmod//67 stort//AB//fixed//64 sett//PC|PRF|NEU|SIN|IND|NOM//fixed//64 utförts//VB|SUP|SFO//parataxis//1 som//KN//mark//71 en//DT|UTR|SIN|IND//det//71 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//71 entreprenad//NN|UTR|SIN|IND|NOM//xcomp//67 med//PP//case//75 samma//DT|UTR/NEU|SIN/PLU|IND//det//75 intervjuade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//75 respondenter//NN|UTR|PLU|IND|NOM//nmod//71 för//PP//case//79 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//79 3//RG|NOM//nummod//79 parter//NN|UTR|PLU|IND|NOM//nmod//75 .//MAD//punct//1
Datainsamling;©//PP//nmod//1 Prolog//NN|UTR|SIN|IND|NOM//ROOT//1 2011//RG|NOM//nummod//1
Datainsamling;Sida//NN|UTR|SIN|IND|NOM//ROOT//0 4//RG|NOM//nummod//0
Datainsamling;.//MAD//ROOT//0
Datainsamling;Insamlingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 utförts//VB|SUP|SFO//ROOT//2 som//KN//nsubj//4 semistrukturerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 intervjuer//NN|UTR|PLU|IND|NOM//nsubj:pass//2 med//PP//case//8 öppna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 frågor//NN|UTR|PLU|IND|NOM//nmod//5 i//PP//case//10 syfte//NN|NEU|SIN|IND|NOM//nmod//8 att//IE//mark//13 inte//AB//advmod//13 styra//VB|INF|AKT//advcl//2 respondenternas//NN|UTR|PLU|DEF|GEN//nmod:poss//15 svar//NN|NEU|PLU|IND|NOM//obj//13 i//PP//case//18 någon//DT|UTR|SIN|IND//det//18 riktning//NN|UTR|SIN|IND|NOM//obl//13 .//MAD//punct//2
Datainsamling;De//DT|UTR/NEU|PLU|DEF//det//22 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 respondenternas//NN|UTR|PLU|DEF|GEN//nmod:poss//23 svar//NN|NEU|PLU|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 anonyma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//2 och//KN//cc//27 presenteras//VB|PRS|SFO//conj//25 inte//AB//advmod//27 .//MAD//punct//25
Datainsamling;I//PP//case//32 de//DT|UTR/NEU|PLU|DEF//det//32 fall//NN|NEU|PLU|IND|NOM//conj//25 citat//NN|NEU|PLU|IND|NOM//nsubj//34 finns//VB|PRS|SFO//acl:relcl//32 med//PL//compound:prt//34 i//PP//case//37 rapporten//NN|UTR|SIN|DEF|NOM//obl//34 så//AB//advcl//42 är//VB|PRS|AKT//cop//42 även//AB//advmod//42 dessa//DT|UTR/NEU|PLU|DEF//det//42 anonyma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//25 .//MAD//punct//2

Entreprenader;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//1 bestod//VB|PRT|AKT//ROOT//1 i//PP//mark//4 att//IE//mark//4 göra//VB|INF|AKT//advcl//1 en//DT|UTR|SIN|IND//det//6 uppföljning//NN|UTR|SIN|IND|NOM//obj//4 av//PP//case//8 11//RG|NOM//nmod//6 av//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 totalentreprenader//NN|UTR|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//13 upphandlats//VB|SUP|SFO//acl:relcl//11 av//PP//case//15 Trafikverket//PM|NOM//obl:agent//13 2009-2011//RG|NOM//nummod//15 .//MAD//punct//1
Entreprenader;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//19 entreprenader//NN|UTR|PLU|IND|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 vägprojekt//NN|NEU|PLU|IND|NOM//parataxis//1 .//MAD//punct//21
Entreprenader;Val//NN|NEU|SIN|IND|NOM//nsubj:pass//26 av//PP//case//25 entreprenader//NN|UTR|PLU|IND|NOM//nmod//23 gjordes//VB|PRT|SFO//parataxis//21 i//PP//case//28 samråd//NN|NEU|SIN|IND|NOM//obl//26 med//PP//case//30 Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//nmod//28 och//KN//cc//32 Trafikverket//PM|NOM//conj//30 .//MAD//punct//26
Entreprenader;I//PP//case//35 listan//NN|UTR|SIN|DEF|NOM//obl//37 nedan//AB//advmod//35 finns//VB|PRS|SFO//conj//26 12//RG|NOM//nummod//40 utvalda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 entreprenader//NN|UTR|PLU|IND|NOM//nsubj//37 .//MAD//punct//21
Entreprenader;Ett//PN|NEU|SIN|IND|SUB/OBJ//nsubj//54 av//PP//case//44 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nmod//42 ,//MID//punct//46 Ivö//NN|AN//conj//42 ://MID//punct//46
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//advmod//49 55//RG|NOM//nummod//50 Yxtatorpet//NN|NEU|SIN|DEF|NOM//nmod//42 –//PM|NOM//punct//50 Malmköping//PM|NOM//appos//50 ,//MID//punct//50 föll//VB|PRT|AKT//parataxis//21 bort//PL//compound:prt//54 eftersom//SN//mark//59 entreprenaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//59 precis//AB//advmod//59 påbörjats//VB|SUP|SFO//advcl//54 vid//PP//case//61 tiden//NN|UTR|SIN|DEF|NOM//obl//59 för//PP//case//63 intervjuerna//NN|UTR|PLU|DEF|NOM//nmod//61 .//MAD//punct//21
Entreprenader;•//NN|UTR|SIN|IND|NOM//nmod//1 IVsy//NN|UTR|SIN|DEF|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//amod//4 E22//PM|NOM//appos//1 Hörby//PM|NOM//obj//4 Norra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 -//MID//punct//6 Linderöd//PM|NOM//conj//6
Entreprenader;•//NN|UTR|SIN|IND|NOM//nmod//1 IVsy//NN|UTR|SIN|DEF|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//amod//4 E22//PM|NOM//appos//1 Hurva//PM|NOM//nummod//4 -//MID//cc//7 Rolsberga//PM|NOM//conj//4
Entreprenader;•//NN|UTR|SIN|IND|NOM//nmod//1 VGbpm//NN|UTR|SIN|IND|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg31//VB|IMP|AKT//appos//1 Förbi//PP//case//5 Tenhult//PM|NOM//nmod//3
Entreprenader;•//NN|UTR|SIN|IND|NOM//nmod//1 VGbpm//NN|UTR|SIN|IND|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg34//NN|UTR|SIN|DEF|NOM//advmod//4 St//JJ|AN//appos//1 Aby//PM|NOM//flat//4 -//MID//punct//4 Glahytt//PM|NOM//appos//4
Entreprenader;•//NN|UTR|SIN|IND|NOM//nmod//1 VGbpm//NN|UTR|SIN|IND|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Tvärleden//NN|UTR|SIN|DEF|NOM//appos//1 Osby//PM|NOM//flat//3 –//RG|NOM//punct//6 Markaryd//PM|NOM//conj//3
Entreprenader;•//NN|UTR|SIN|IND|NOM//nmod//1 IVsy//NN|UTR|SIN|DEF|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//advmod//4 50//RG|NOM//nummod//5 Motala//PM|NOM//appos//1
Entreprenader;•//NN|UTR|SIN|IND|NOM//case//1 VGbph//NN|UTR|SIN|IND|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//nmod//4 50//RG|NOM//appos//1  //_SP////4 Lamborn-Svabensverk//PM|NOM//obl//4
Entreprenader;•//PM|NOM//nmod//1 Ivö//NN|AN//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//nmod//4 55//RG|NOM//nummod//5 Yxtatorpet//NN|NEU|SIN|DEF|NOM//appos//1 -//MID//punct//5 Malmköping//PM|NOM//appos//5
Entreprenader;•//PM|NOM//nmod//1 Ivö//NN|AN//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//nmod//4 E4//PM|NOM//nmod//5 Bro//PM|NOM//appos//1 över//PP//case//7 jvg//NN|NEU|SIN|IND|NOM//obl//1 vid//PP//case//9 Rotebro//PM|NOM//nmod//7
Entreprenader;•//PM|NOM//case//1 IVm//PM|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//nmod//4 E4//PM|NOM//nmod//5 Bro//PM|NOM//appos//1 över//PP//case//7 Sundsvallsfjärden//PM|NOM//obl//1
Entreprenader;•//PM|NOM//case//1 IVm//PM|NOM//ROOT//1 ://MID//punct//1
Entreprenader;Väg//NN|UTR|SIN|IND|NOM//amod//4 E4//PM|NOM//appos//1 Sundsvall//PM|NOM//conj//4 ,//MID//punct//7 Myre//PM|NOM//conj//4 –//PM|NOM//punct//9 Skönsmon//PM|NOM//conj//4
Entreprenader;Entreprenaderna//NN|UTR|PLU|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 spridda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//2 över//PP//case//5 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 Sverige//PM|NOM//obl//2 och//KN//cc//12 entreprenaderna//NN|UTR|PLU|DEF|NOM//nsubj//12 är//VB|PRS|AKT//cop//12 också//AB//advmod//12 relativt//AB|POS//advmod//11 jämnt//AB|POS//advmod//12 fördelade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//2 över//PP//case//14 startåren//NN|UTR|SIN|DEF|NOM//nmod//15 2009//RG|NOM//obl//12 ,//MID//punct//17 2010//RG|NOM//nummod//15 och//KN//cc//17 2011//RG|NOM//nummod//17 ,//MID//punct//2
Entreprenader;©//PP//nmod//1 Prolog//NN|UTR|SIN|IND|NOM//ROOT//1 2011//RG|NOM//nummod//1
Entreprenader;Sida//NN|UTR|SIN|IND|NOM//nmod//1 5//RG|NOM//ROOT//1
Entreprenader;.//MAD//ROOT//0
Entreprenader;vilket//HP|NEU|SIN|IND//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 att//SN//mark//7 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//7 av//PP//case//5 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//3 är//VB|PRS|AKT//cop//7 avslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 medan//SN//mark//11 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//11 fortfarande//AB//advmod//11 pågår//VB|PRS|AKT//advcl//7 .//MAD//punct//1
Entreprenader;Sida//NN|UTR|SIN|IND|NOM//ROOT//0 6//RG|NOM//nummod//0
Entreprenader;.//MAD//ROOT//0
Entreprenader;©//PP//nmod//1 Prolog//NN|UTR|SIN|IND|NOM//ROOT//1 2011//RG|NOM//nummod//1
Entreprenader;Sida//NN|UTR|SIN|IND|NOM//ROOT//0 7//RG|NOM//nummod//0
Entreprenader;.//MAD//ROOT//0

Frågeställningar;Framtagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj:pass//3 av//PP//case//2 intervjufrågor//NN|UTR|PLU|IND|NOM//nmod//0 gjordes//VB|PRT|SFO//ROOT//3 i//PP//case//5 samråd//NN|NEU|SIN|IND|NOM//obl//3 med//PP//case//7 Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//nmod//5 och//KN//cc//9 Trafikverket//PM|NOM//conj//7 .//MAD//punct//3
Frågeställningar;Intervjufrågorna//NN|UTR|PLU|DEF|NOM//nsubj//12 omfattar//VB|PRS|AKT//parataxis//3 frågor//NN|UTR|PLU|IND|NOM//obj//12 som//HP|-|-|-//nsubj//16 är//VB|PRS|AKT//aux:pass//16 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//13 ur//PP//case//18 aspekterna//NN|UTR|PLU|DEF|NOM//obl//16 innovationer//NN|UTR|PLU|IND|NOM//obl//16 inom//PP//case//21 produkter//NN|UTR|PLU|IND|NOM//nmod//19 respektive//AB//cc//23 processer//NN|UTR|PLU|IND|NOM//conj//21 ,//MID//punct//25 konkurrens//NN|UTR|SIN|IND|NOM//conj//21 ,//MID//punct//27 pris//NN|NEU|SIN|IND|NOM//conj//21 ///MID//cc//29 kostnad//NN|UTR|SIN|IND|NOM//conj//21 ,//MID//punct//31 tid//NN|UTR|SIN|IND|NOM//conj//21 och//KN//cc//33 kvalitet//NN|UTR|SIN|IND|NOM//conj//21 .//MAD//punct//12
Frågeställningar;Vissa//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//4 av//PP//case//2 frågorna//NN|UTR|PLU|DEF|NOM//nmod//0 vad//HP|NEU|SIN|IND//nsubj//4 gäller//VB|PRS|AKT//ROOT//4 kostnader//NN|UTR|PLU|IND|NOM//obj//4 och//KN//cc//7 kvalitet//NN|UTR|SIN|IND|NOM//conj//5 kan//VB|PRS|AKT//aux//10 endast//AB//advmod//10 besvaras//VB|INF|SFO//conj//4 om//SN//mark//14 entreprenaderna//NN|UTR|PLU|DEF|NOM//nsubj//14 är//VB|PRS|AKT//cop//14 avslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//10 och//KN//cc//19 har//VB|PRS|AKT//aux//19 därför//AB//advmod//19 inte//AB//advmod//19 behandlats//VB|SUP|SFO//conj//14 i//PP//case//22 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 entreprenader//NN|UTR|PLU|IND|NOM//obl//19 .//MAD//punct//4

Innovationer - Produkter;//NN|UTR|SIN|DEF|NOM//nsubj//2 Hur//HA//advmod//2 har//VB|PRS|AKT//ROOT//2 funktionskraven//NN|NEU|PLU|DEF|NOM//obj//2 upplevts//VB|SUP|SFO//xcomp//2 ?//MID//punct//2
Innovationer - Produkter;(//PAD//punct//10 är//VB|PRS|AKT//cop//10 de//PN|UTR/NEU|PLU|DEF|SUB//det//10 tillräckligt//AB|POS//advmod//10 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//2 och//KN//cc//12 utvecklade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//10 )//PAD//punct//2
Innovationer - Produkter;"//NN|AN//nsubj//3 Har//VB|PRS|AKT//aux//3 funktionskraven//NN|NEU|PLU|DEF|NOM//nsubj//3 öppnat//VB|SUP|AKT//ROOT//3 upp//PL//compound:prt//3 för//PP//case//6 utvecklingar//NN|UTR|PLU|IND|NOM//obl//3 och//KN//cc//10 företagsspecifika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 lösningar//NN|UTR|PLU|IND|NOM//conj//6 (//PAD//punct//10 produkter//NN|UTR|PLU|IND|NOM//appos//10 ;//MID//punct//10"
