Inledning;I//PP//case//2 föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 betänkande//NN|NEU|SIN|IND|NOM//obl//3 lägger//VB|PRS|AKT//ROOT//3 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 i//PP//case//9 enlighet//NN|UTR|SIN|IND|NOM//fixed//5 med//PP//case//9 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//9 direktiv//NN|NEU|PLU|IND|NOM//obl//3 fram//PL//advmod//3 en//DT|UTR|SIN|IND//det//13 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//13 utvärdering//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//17 den//DT|UTR|SIN|DEF//det//17 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 reform//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//13 som//HP|-|-|-//nsubj:pass//20 genomfördes//VB|PRT|SFO//acl:relcl//13 den//DT|UTR|SIN|DEF//det//23 1//RO|NOM//nummod//23 juli//NN|UTR|SIN|IND|NOM//obl//20 1994//RG|NOM//nummod//23 .//MAD//punct//3
Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 bedöma//VB|INF|AKT//ROOT//2 effekterna//NN|UTR|PLU|DEF|NOM//obj//2 av//PP//case//7 den//DT|UTR|SIN|DEF//det//7 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 delegeringen//NN|UTR|SIN|DEF|NOM//nmod//3 på//PP//case//9 lönebildningen//NN|UTR|SIN|DEF|NOM//nmod//7 ,//MID//punct//11 personalförsörjningen//NN|UTR|SIN|DEF|NOM//conj//9 och//KN//cc//15 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 personalpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 frågor//NN|UTR|PLU|IND|NOM//conj//9 inom//PP//case//17 statsförvaltningen//NN|UTR|SIN|DEF|NOM//nmod//15 ,//MID//punct//2
Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 granska//VB|INF|AKT//ROOT//2 den//DT|UTR|SIN|DEF//det//4 teknik//NN|UTR|SIN|IND|NOM//obj//2 som//HP|-|-|-//nsubj:pass//6 används//VB|PRS|SFO//acl:relcl//4 för//PP//case//8 justering//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//10 lönekostnadsdelen//NN|UTR|SIN|DEF|NOM//nmod//8 i//PP//case//13 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//13 förvaltningsanslag//NN|NEU|PLU|IND|NOM//nmod//10 ,//MID//punct//2
Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 kartlägga//VB|INF|AKT//ROOT//2 och//KN//cc//4 redovisa//VB|INF|AKT//conj//2 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 oklarheter//NN|UTR|PLU|IND|NOM//obj//2 i//PP//case//10 fråga//NN|UTR|SIN|IND|NOM//fixed//7 om//PP//fixed//7 befogenheter//NN|UTR|PLU|IND|NOM//nmod//6 inom//PP//case//14 det//DT|NEU|SIN|DEF//det//14 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 området//NN|NEU|SIN|DEF|NOM//nmod//10 mellan//PP//case//16 regeringen//NN|UTR|SIN|DEF|NOM//nmod//14 ,//MID//punct//18 Arbetsgivarverket//PM|NOM//conj//16 och//KN//cc//20 myndigheterna//NN|UTR|PLU|DEF|NOM//conj//16 och//KN//cc//22 lämna//VB|INF|AKT//conj//2 förslag//NN|NEU|SIN|IND|NOM//obj//22 till//PP//case//26 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 åtgärder//NN|UTR|PLU|IND|NOM//nmod//23 .//MAD//punct//2

Utredningsarbetets inriktning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 inriktat//VB|SUP|AKT//ROOT//2 sitt//PS|NEU|SIN|DEF//nmod:poss//4 utvärderingsarbete//NN|NEU|SIN|IND|NOM//obj//2 på//PP//case//6 frågor//NN|UTR|PLU|IND|NOM//obl//2 av//PP//case//9 mer//AB|KOM//advmod//9 principiell//JJ|POS|UTR|SIN|IND|NOM//amod//12 och//KN//cc//11 långsiktig//JJ|POS|UTR|SIN|IND|NOM//amod//12 natur//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
Utredningsarbetets inriktning;Därvid//AB//punct//2 har//VB|PRS|AKT//aux//26 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//15 vid//PP//case//18 sidan//NN|UTR|SIN|DEF|NOM//obl//15 av//PP//case//22 ett//DT|NEU|SIN|IND//det//22 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 perspektiv//NN|NEU|SIN|IND|NOM//nmod//18 i//PP//case//25 några//DT|UTR/NEU|PLU|IND//det//25 fall//NN|NEU|PLU|IND|NOM//obl//26 använt//VB|SUP|AKT//conj//2 händelseförlopp//NN|NEU|SIN|IND|NOM//obj//26 i//PP//case//33 samband//NN|NEU|SIN|IND|NOM//fixed//28 med//PP//fixed//28 den//DT|UTR|SIN|DEF//det//33 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 lönebildningen//NN|UTR|SIN|DEF|NOM//obl//26 på//PP//case//36 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 myndigheter//NN|UTR|PLU|IND|NOM//obl//26 för//PP//mark//39 att//IE//mark//39 illustrera//VB|INF|AKT//advcl//26 generellt//AB|POS//advmod//41 betydelsefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 frågor//NN|UTR|PLU|IND|NOM//obj//39 .//MAD//punct//2
Utredningsarbetets inriktning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//46 har//VB|PRS|AKT//aux//46 lämnat//VB|SUP|AKT//conj//2 förslag//NN|NEU|SIN|IND|NOM//obj//46 i//PP//case//50 de//DT|UTR/NEU|PLU|DEF//det//50 fall//NN|NEU|PLU|IND|NOM//nmod//47 utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj//52 ansetts//VB|SUP|SFO//advcl//2 motivera//VB|INF|AKT//xcomp//52 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//53 .//MAD//punct//2

Överväganden och förslag Allmänna överväganden och utgångspunkter;Den//DT|UTR|SIN|DEF//det//2 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 arbetsgivarpolitiken//NN|UTR|SIN|DEF|NOM//nsubj//3 ger//VB|PRS|AKT//ROOT//3 riktvärden//NN|NEU|PLU|IND|NOM//obj//3 och//KN//cc//6 normer//NN|UTR|PLU|IND|NOM//conj//4 för//PP//mark//11 hur//HA//advmod//11 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//11 bör//VB|PRS|AKT//aux//11 agera//VB|INF|AKT//advcl//3 i//PP//case//13 egenskap//NN|UTR|SIN|IND|NOM//obl//11 av//PP//case//15 arbetsgivare//NN|UTR|PLU|IND|NOM//nmod//13 gentemot//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//19 statligt//AB|POS//amod//19 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//15 och//KN//cc//23 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//23 fackliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 företrädare//NN|UTR|PLU|IND|NOM//conj//19 .//MAD//punct//3
Överväganden och förslag Allmänna överväganden och utgångspunkter;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//29 är//VB|PRS|AKT//cop//29 ett//DT|NEU|SIN|IND//det//29 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//29 medel//NN|NEU|SIN|IND|NOM//parataxis//3 för//PP//mark//32 att//IE//mark//32 nå//VB|INF|AKT//advcl//29 verksamhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 mål//NN|NEU|PLU|IND|NOM//obj//32 .//MAD//punct//29
Överväganden och förslag Allmänna överväganden och utgångspunkter;Utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 avsett//VB|SUP|AKT//ROOT//2 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 aspekter//NN|UTR|PLU|IND|NOM//obj//2 på//PP//case//8 den//DT|UTR|SIN|DEF//det//8 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 delegeringen//NN|UTR|SIN|DEF|NOM//obl//2 som//KN//mark//10 beslutsmodell//NN|UTR|SIN|IND|NOM//acl//8 .//MID//punct//2
Överväganden och förslag Allmänna överväganden och utgångspunkter;De//DT|UTR/NEU|PLU|DEF//det//13 iakttagelser//NN|UTR|PLU|IND|NOM//nsubj//23 ,//MID//punct//15 överväganden//NN|NEU|PLU|IND|NOM//conj//13 och//KN//cc//17 förslag//NN|NEU|PLU|IND|NOM//conj//13 som//HP|-|-|-//nsubj:pass//19 redovisas//VB|PRS|SFO//acl:relcl//17 i//PP//case//22 det//DT|NEU|SIN|DEF//det//22 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//19 tar//VB|PRS|AKT//parataxis//2 därför//AB//advmod//23 i//PP//advmod//23 första//RO|NOM//fixed//25 hand//NN|UTR|SIN|IND|NOM//fixed//25 sikte//NN|NEU|SIN|IND|NOM//fixed//25 på//PP//mark//35 hur//HA//advmod//31 ansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//35 och//KN//cc//33 befogenheter//NN|UTR|PLU|IND|NOM//conj//31 bör//VB|PRS|AKT//aux//35 fördelas//VB|INF|SFO//advcl//23 i//PP//case//39 det//DT|NEU|SIN|DEF//det//39 delegerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//39 systemet//NN|NEU|SIN|DEF|NOM//obl//35 .//MID//punct//2
Överväganden och förslag Allmänna överväganden och utgångspunkter;Inledningsvis//AB//advmod//42 finns//VB|PRS|SFO//parataxis//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 dock//AB//advmod//42 anledning//NN|UTR|SIN|IND|NOM//nsubj//42 att//IE//mark//47 bedöma//VB|INF|AKT//acl//45 delegeringen//NN|UTR|SIN|DEF|NOM//obj//47 från//PP//case//51 principiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 utgångspunkter//NN|UTR|PLU|IND|NOM//obl//47 .//MAD//punct//42
Överväganden och förslag Allmänna överväganden och utgångspunkter;Den//DT|UTR|SIN|DEF//det//2 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 delegeringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 bör//VB|PRS|AKT//aux//4 ses//VB|INF|SFO//ROOT//4 som//KN//case//7 en//DT|UTR|SIN|IND//det//7 del//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//12 en//DT|UTR|SIN|IND//det//12 mer//AB|KOM//advmod//11 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//12 decentralisering//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//14 styrsystemen//NN|NEU|PLU|DEF|NOM//nmod//12 som//HP|-|-|-//nsubj//16 ägt//VB|SUP|AKT//acl:relcl//14 rum//NN|NEU|SIN|IND|NOM//compound:prt//16 under//PP//case//21 de//DT|UTR/NEU|PLU|DEF//det//21 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//21 årtiondena//NN|NEU|PLU|DEF|NOM//obl//16 .//MAD//punct//4
Överväganden och förslag Allmänna överväganden och utgångspunkter;Syftet//NN|NEU|SIN|DEF|NOM//obl//4 med//PP//case//25 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//23 har//VB|PRS|AKT//aux//28 bl.a.//AB|AN//advmod//28 varit//VB|SUP|AKT//conj//4 att//IE//mark//30 skapa//VB|INF|AKT//xcomp//28 en//DT|UTR|SIN|IND//det//33 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//33 flexibilitet//NN|UTR|SIN|IND|NOM//obj//30 och//KN//cc//35 verksamhetsanpassning//NN|UTR|SIN|IND|NOM//conj//33 .//MAD//punct//4
Överväganden och förslag Allmänna överväganden och utgångspunkter;Förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//45 för//PP//case//39 ledning//NN|UTR|SIN|IND|NOM//nmod//37 av//PP//case//43 de//DT|UTR/NEU|PLU|DEF//det//43 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 verksamheterna//NN|UTR|PLU|DEF|NOM//nmod//39 har//VB|PRS|AKT//aux//45 anpassats//VB|SUP|SFO//parataxis//4 till//PP//case//48 de//DT|UTR/NEU|PLU|DEF//det//48 förhållanden//NN|NEU|PLU|IND|NOM//obl//45 som//HP|-|-|-//nsubj//50 råder//VB|PRS|AKT//acl:relcl//48 på//PP//case//54 den//DT|UTR|SIN|DEF//det//54 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//obl//50 .//MAD//punct//4
Överväganden och förslag Allmänna överväganden och utgångspunkter;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//57 sker//VB|PRS|AKT//parataxis//4 en//DT|UTR|SIN|IND//det//60 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 utveckling//NN|UTR|SIN|IND|NOM//nsubj//57 av//PP//case//62 former//NN|UTR|PLU|IND|NOM//nmod//60 för//PP//case//64 styrning//NN|UTR|SIN|IND|NOM//nmod//62 och//KN//cc//66 uppföljning//NN|UTR|SIN|IND|NOM//conj//64 som//HP|-|-|-//nsubj//68 kräver//VB|PRS|AKT//acl:relcl//66 ett//DT|NEU|SIN|IND//det//71 samlat//PC|PRF|NEU|SIN|IND|NOM//amod//71 ansvar//NN|NEU|SIN|IND|NOM//obj//68 hos//PP//case//74 verksamhetsansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 chefer//NN|UTR|PLU|IND|NOM//nmod//71 .//MAD//punct//57
Överväganden och förslag Allmänna överväganden och utgångspunkter;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//79 kan//VB|PRS|AKT//aux//79 t.ex.//AB|AN//advmod//79 gälla//VB|INF|AKT//conj//4 att//IE//mark//81 utveckla//VB|INF|AKT//xcomp//79 verksamheten//NN|UTR|SIN|DEF|NOM//obj//81 genom//PP//case//84 processorientering//NN|UTR|SIN|IND|NOM//obl//81 eller//KN//cc//87 systematiskt//JJ|POS|NEU|SIN|IND|NOM//amod//87 kvalitetsarbete//NN|NEU|SIN|IND|NOM//conj//84 .//MAD//punct//4
Överväganden och förslag Allmänna överväganden och utgångspunkter;Ett//DT|NEU|SIN|IND//det//91 decentraliserat//PC|PRF|NEU|SIN|IND|NOM//amod//91 personalansvar//NN|NEU|SIN|IND|NOM//nsubj//97 och//KN//cc//94 delegerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//94 befogenheter//NN|UTR|PLU|IND|NOM//conj//91 är//VB|PRS|AKT//cop//97 då//AB//advmod//97 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//4 .//MAD//punct//4
Överväganden och förslag Allmänna överväganden och utgångspunkter;Den//DT|UTR|SIN|DEF//det//2 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 delegeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//ROOT//3 också//AB//advmod//3 ett//DT|NEU|SIN|IND//det//7 allmänt//JJ|POS|NEU|SIN|IND|NOM//amod//7 stöd//NN|NEU|SIN|IND|NOM//obj//3 bland//PP//case//9 företrädare//NN|UTR|PLU|IND|NOM//nmod//7 för//PP//case//11 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//9 och//KN//cc//14 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 intressenter//NN|UTR|PLU|IND|NOM//conj//11 .//MID//punct//3
Överväganden och förslag Allmänna överväganden och utgångspunkter;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 finns//VB|PRS|SFO//parataxis//3 samtidigt//AB//advmod//17 en//DT|UTR|SIN|IND//det//20 enighet//NN|UTR|SIN|IND|NOM//nsubj//17 om//PP//mark//25 att//SN//mark//25 konflikträtten//NN|UTR|SIN|DEF|NOM//nsubj:pass//25 bör//VB|PRS|AKT//aux//25 hållas//VB|INF|SFO//acl//20 samman//PL//compound:prt//25 i//PP//case//28 staten//NN|UTR|SIN|DEF|NOM//obl//25 samt//KN//cc//38 att//SN//mark//38 frågor//NN|UTR|PLU|IND|NOM//nsubj//38 som//HP|-|-|-//nsubj//33 berör//VB|PRS|AKT//acl:relcl//31 pensioner//NN|UTR|PLU|IND|NOM//obj//33 och//KN//cc//36 trygghetssystem//NN|NEU|PLU|IND|NOM//conj//34 bör//VB|PRS|AKT//aux//38 ge//VB|INF|AKT//conj//17 de//DT|UTR/NEU|PLU|DEF//det//42 statsanställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//42 likvärdiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 förutsättningar//NN|UTR|PLU|IND|NOM//obj//38 .//MAD//punct//17
Överväganden och förslag Allmänna överväganden och utgångspunkter;Utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj//1 visar//VB|PRS|AKT//ROOT//1 att//SN//mark//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 likväl//AB//advmod//5 finns//VB|PRS|SFO//ccomp//1 skäl//NN|NEU|PLU|IND|NOM//nsubj//5 att//IE//mark//11 i//PP//case//10 några//DT|UTR/NEU|PLU|IND//det//10 avseenden//NN|NEU|PLU|IND|NOM//obl//11 utveckla//VB|INF|AKT//acl//6 systemet//NN|NEU|SIN|DEF|NOM//obj//11 .//MAD//punct//1

