Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 19//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//nmod//0 2002//RG|NOM//nummod//5 .//MAD//punct//0
2.2 Presentation;Avsnitten//NN|NEU|PLU|DEF|NOM//nmod//1 3–11//NN|NEU|SIN|IND|NOM//nsubj:pass//2 ägnas//VB|PRS|SFO//ROOT//2 i//PP//advmod//2 huvudsak//NN|UTR|SIN|IND|NOM//fixed//3 åt//PP//compound:prt//2 att//IE//mark//7 förklara//VB|INF|AKT//xcomp//2 de//DT|UTR/NEU|PLU|DEF//det//9 förutsättningar//NN|UTR|PLU|IND|NOM//obj//7 som//HP|-|-|-//nsubj//11 SLBA//PM|NOM//acl:relcl//9 –//RG|NOM//punct//14 i//PP//case//14 egenskap//NN|UTR|SIN|IND|NOM//obl//7 av//PP//case//18 nationellt//AB|POS//advmod//17 audiovisuellt//JJ|POS|NEU|SIN|IND|NOM//amod//18 arkiv//NN|NEU|SIN|IND|NOM//nmod//14 –//RG|NOM//punct//20 har//VB|PRS|AKT//conj//2 och//KN//cc//22 baserar//VB|PRS|AKT//conj//20 sin//PS|UTR|SIN|DEF//nmod:poss//24 planering//NN|UTR|SIN|IND|NOM//obj//22 och//KN//cc//26 beslutsfattande//NN|NEU|SIN|IND|NOM//conj//24 är//VB|PRS|AKT//cop//28 grundat//PC|PRF|NEU|SIN|IND|NOM//conj//2 på//PP//compound:prt//28 .//MAD//punct//2
2.2 Presentation;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//2 ,//MID//punct//36 som//KN//case//36 exempelvis//AB//advmod//36 materialets//NN|NEU|SIN|DEF|GEN//nmod:poss//36 förfall//NN|NEU|SIN|IND|NOM//conj//31 ,//MID//punct//38 styrs//VB|PRS|SFO//conj//2 av//PP//case//40 naturen//NN|UTR|SIN|DEF|NOM//obl:agent//38 medan//SN//case//42 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//38 som//KN//nsubj//47 t.ex.//AB|AN//advmod//47 standarder//NN|UTR|PLU|IND|NOM//nsubj//47 är//VB|PRS|AKT//cop//47 stipulerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//42 av//PP//case//49 människan//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//2
2.2 Presentation;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 finns//VB|PRS|SFO//parataxis//2 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 faktorer//NN|UTR|PLU|IND|NOM//nsubj//52 ,//MID//punct//54 som//HP|-|-|-//case//58 blotta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//58 mängden//NN|UTR|SIN|DEF|NOM//appos//54 av//PP//case//60 material//NN|NEU|PLU|IND|NOM//nmod//58 ,//MID//punct//64 vilka//HP|UTR/NEU|PLU|IND//nsubj//64 allvarligt//AB|POS//advmod//64 påverkar//VB|PRS|AKT//acl:relcl//54 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//64 .//MAD//punct//52
2.2 Presentation;Det//DT|NEU|SIN|DEF//det//69 avslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 avsnittet//NN|NEU|SIN|DEF|NOM//nsubj//73 (//PAD//punct//69 12//RG|NOM//nummod//69 )//PAD//punct//69 ger//VB|PRS|AKT//parataxis//52 viss//JJ|POS|UTR|SIN|IND|NOM//amod//75 insikt//NN|UTR|SIN|IND|NOM//obj//73 i//PP//case//77 kostnaderna//NN|UTR|PLU|DEF|NOM//obl//73 för//PP//case//79 migrering//NN|UTR|SIN|IND|NOM//nmod//77 av//PP//case//82 befintligt//JJ|POS|NEU|SIN|IND|NOM//amod//82 material//NN|NEU|SIN|IND|NOM//nmod//79 .//MAD//punct//73 –//PAD//punct//89
2.2 Presentation;Vilka//HD|UTR/NEU|PLU|IND//det//86 mängder//NN|UTR|PLU|IND|NOM//nsubj//89 av//PP//case//88 media//NN|NEU|PLU|IND|NOM//nmod//86 hanterar//VB|PRS|AKT//parataxis//73 vi//PN|UTR|PLU|DEF|SUB//nsubj//89 idag//AB//advmod//89 ?//MID//punct//89 –//PAD//punct//96
2.2 Presentation;Hur//HA//advmod//95 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 timmar//NN|UTR|PLU|IND|NOM//parataxis//89 ?//MAD//punct//96 –//RG|NOM//punct//96
2.2 Presentation;Exempel//NN|NEU|PLU|IND|NOM//conj//96 på//PP//case//102 resulterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//102 datamängder//NN|UTR|PLU|IND|NOM//nmod//99 .//MAD//punct//99 –//RG|NOM//punct//105
2.2 Presentation;Kostnadsexempel//NN|NEU|SIN|IND|NOM//appos//99 på//PP//case//107 datalagring//NN|UTR|SIN|IND|NOM//nmod//105 i//PP//case//110 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 kvalitetsnivåer//NN|UTR|PLU|IND|NOM//nmod//105 ,//MID//punct//110 etc.//AB|AN//conj//105

2.3 Definition av migrera, migrering;Ordet//NN|NEU|SIN|DEF|NOM//nsubj//2 ”//PAD//punct//0 migrera//VB|INF|AKT//ROOT//2 ”//PM|NOM//punct//2 härrör//VB|PRS|AKT//conj//2 från//PP//case//8 latinets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 ”//RG|NOM//punct//8 migro//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//4 ”//RG|NOM//punct//2 som//HP|-|-|-//nsubj//11 betyder//VB|PRS|AKT//acl:relcl//9 vandra//VB|INF|AKT//xcomp//11 ,//MID//punct//14 flytta//VB|INF|AKT//conj//11 .//MID//punct//2
2.3 Definition av migrera, migrering;"Och//KN//cc//20 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 är//VB|PRS|AKT//cop//20 just//AB//advmod//20 det//PN|NEU|SIN|DEF|SUB/OBJ//conj//2 som//HP|-|-|-//obl//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 är//VB|PRS|AKT//cop//24 frågan//NN|UTR|SIN|DEF|NOM//acl:relcl//20 om//SN//case//29 även//AB//advmod//29 i//PP//case//29 detta//DT|NEU|SIN|DEF//det//29 sammanhang//NN|NEU|SIN|IND|NOM//nmod//24 ;//MID//punct//20"
2.3 Definition av migrera, migrering;att//IE//mark//32 flytta//VB|INF|AKT//xcomp//2 ,//MID//punct//34 föra//VB|INF|AKT//conj//32 över//PL//compound:prt//34 innehållet//NN|NEU|SIN|DEF|NOM//obj//34 i//PP//case//39 SLBAs//PM|GEN//amod//39 samlingar//NN|UTR|PLU|IND|NOM//nmod//36 till//PP//case//43 en//DT|UTR|SIN|IND//det//43 ny//JJ|POS|UTR|SIN|IND|NOM//amod//43 miljö//NN|UTR|SIN|IND|NOM//nmod//39 .//MAD//punct//2
2.3 Definition av migrera, migrering;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 i//PP//advmod//1 första//RO|NOM//fixed//2 hand//NN|UTR|SIN|IND|NOM//fixed//2 att//IE//mark//6 migrera//VB|INF|AKT//xcomp//1 materialet//NN|NEU|SIN|DEF|NOM//obj//6 från//PP//case//9 analog//NN|UTR|SIN|IND|NOM//nmod//7 till//PP//case//12 digital//JJ|POS|UTR|SIN|IND|NOM//amod//12 miljö//NN|UTR|SIN|IND|NOM//obl//6 .//MAD//punct//1
2.3 Definition av migrera, migrering;Första//RO|NOM//amod//15 steget//NN|NEU|SIN|DEF|NOM//appos//1 i//PP//case//18 denna//DT|UTR|SIN|DEF//det//18 process//NN|UTR|SIN|IND|NOM//nmod//15 är//VB|PRS|AKT//cop//15 att//IE//mark//21 digitalisera//VB|INF|AKT//acl//15 samlingarna//NN|UTR|PLU|DEF|NOM//obj//21 ,//MID//punct//24 göra//VB|INF|AKT//conj//1 om//PL//compound:prt//24 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//24 till//PP//case//28 ettor//NN|UTR|PLU|IND|NOM//obl//24 och//KN//cc//30 nollor//NN|UTR|PLU|IND|NOM//conj//28 ,//MID//punct//1 och//KN//cc//33 lagra//VB|INF|AKT//conj//1 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//33 som//KN//mark//36 datafiler//NN|UTR|PLU|IND|NOM//xcomp//33 ,//MID//punct//38 filer//NN|UTR|PLU|IND|NOM//conj//36 som//HP|-|-|-//nsubj//43 senare//AB|KOM//advmod//43 kommer//VB|PRS|AKT//aux//43 att//IE//mark//43 hamna//VB|INF|AKT//acl:relcl//38 på//PP//case//45 datalagringsband//NN|UTR|SIN|IND|NOM//obl//43 i//PP//case//48 ett//DT|NEU|SIN|IND//det//48 datasystem//NN|NEU|SIN|IND|NOM//obl//43 .//MAD//punct//1
2.3 Definition av migrera, migrering;När//HA//mark//2 databanden//NN|UTR|SIN|DEF|NOM//nsubj//2 blivit//VB|SUP|AKT//advcl//6 3–7//RG|NOM//nummod//4 år//NN|NEU|PLU|IND|NOM//nmod//5 gamla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//6 blir//VB|PRS|AKT//advcl//40 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//6 att//IE//mark//10 migrera//VB|INF|AKT//acl//8 (//PAD//punct//12 flytta//VB|INF|AKT//xcomp//6 )//PAD//punct//12 över//PP//case//15 innehållet//NN|NEU|SIN|DEF|NOM//obl//6 på//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//19 gamla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 banden//NN|NEU|PLU|DEF|NOM//nmod//15 till//PP//case//22 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 band//NN|NEU|PLU|IND|NOM//nmod//19 .//MAD//punct//6
2.3 Definition av migrera, migrering;Den//DT|UTR|SIN|DEF//det//26 här//AB//fixed//24 gången//NN|UTR|SIN|DEF|NOM//appos//6 kan//VB|PRS|AKT//aux//40 man//PN|UTR|SIN|IND|SUB//nsubj//40 ,//MID//punct//37 till//PP//case//31 skillnad//NN|UTR|SIN|IND|NOM//fixed//29 från//PP//case//35 den//DT|UTR|SIN|DEF//det//35 initiala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 migreringen//NN|UTR|SIN|DEF|NOM//nmod//31 (//PAD//punct//31 digitaliseringen//NN|UTR|SIN|DEF|NOM//appos//28 )//PAD//punct//37 ,//MID//punct//40 automatisera//VB|INF|AKT//ROOT//40 en//DT|UTR|SIN|IND//det//43 stor//JJ|POS|UTR|SIN|IND|NOM//amod//43 del//NN|UTR|SIN|IND|NOM//nsubj//40 av//PP//case//45 processen//NN|UTR|SIN|DEF|NOM//nmod//43 ,//MID//punct//49 vilket//HP|NEU|SIN|IND//nsubj//49 alltid//AB//advmod//49 går//VB|PRS|AKT//acl:relcl//43 mycket//AB|POS//advmod//51 fortare//AB|KOM//advmod//49 och//KN//cc//54 inte//AB//advmod//54 kräver//VB|PRS|AKT//conj//40 manuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 insatser//NN|UTR|PLU|IND|NOM//obj//54 på//PP//case//59 samma//DT|UTR/NEU|SIN/PLU|IND//det//59 sätt//NN|NEU|SIN|IND|NOM//obl//54 .//MAD//punct//40
2.3 Definition av migrera, migrering;Denna//DT|UTR|SIN|DEF//det//62 migreringsprocess//NN|UTR|SIN|IND|NOM//nsubj:pass//66 kommer//VB|PRS|AKT//aux//65 att//IE//mark//65 behöva//VB|INF|AKT//aux//66 upprepas//VB|INF|SFO//parataxis//40 med//PP//case//69 ett//DT|NEU|SIN|IND//det//69 intervall//NN|NEU|SIN|IND|NOM//obl//66 av//PP//case//72 3–7//RG|NOM//nummod//72 år//NN|NEU|PLU|IND|NOM//nmod//69 för//PP//mark//75 att//IE//mark//75 säkra//VB|INF|AKT//amod//76 materialet//NN|NEU|SIN|DEF|NOM//obl//66 och//KN//cc//78 hålla//VB|INF|AKT//conj//66 det//DT|NEU|SIN|DEF//obj//78 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//78


3.1 Definition;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 ingen//DT|UTR|SIN|IND//det//4 entydig//JJ|POS|UTR|SIN|IND|NOM//amod//4 definition//NN|UTR|SIN|IND|NOM//nsubj//1 av//PP//case//6 digitalisering//NN|UTR|SIN|IND|NOM//nmod//4 .//MAD//punct//1
3.1 Definition;Är//VB|PRS|AKT//cop//14 en//DT|UTR|SIN|IND//det//10 CDskiva//NN|UTR|SIN|IND|NOM//nsubj//14 eller//KN//cc//13 en//DT|UTR|SIN|IND//det//13 DV-tape//JJ|POS|UTR|SIN|IND|NOM//conj//10 digitaliserad//PC|PRF|UTR|SIN|IND|NOM//conj//1 ?//MID//punct//14
3.1 Definition;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//19 är//VB|PRS|AKT//cop//19 naturligtvis//AB//advmod//19 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//14 ,//MID//punct//24 men//KN//cc//24 SLBA//PM|NOM//nsubj//24 har//VB|PRS|AKT//aux//24 valt//VB|SUP|AKT//conj//19 att//IE//mark//26 benämna//VB|INF|AKT//xcomp//24 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//26 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//26 ,//MID//punct//31 inte//AB//advmod//31 digitaliserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//26 .//MID//punct//19
3.1 Definition;Ett//DT|NEU|SIN|IND//det//34 objekt//NN|NEU|SIN|IND|NOM//nsubj:pass//36 måste//VB|PRS|AKT//aux//36 lagras//VB|INF|SFO//conj//19 som//KN//case//39 en//DT|UTR|SIN|IND//det//39 datafil//NN|UTR|SIN|IND|NOM//obl//36 i//PP//case//42 ett//DT|NEU|SIN|IND//det//42 system//NN|NEU|SIN|IND|NOM//obl//36 som//HP|-|-|-//nsubj//44 tillhandahåller//VB|PRS|AKT//acl:relcl//42 intag//NN|NEU|SIN|IND|NOM//obj//44 ,//MID//punct//47 beskrivning//NN|UTR|SIN|IND|NOM//conj//45 ,//MID//punct//49 administration//NN|UTR|SIN|IND|NOM//conj//45 ,//MID//punct//51 lagring//NN|UTR|SIN|IND|NOM//conj//45 och//KN//cc//53 access//NN|UTR|SIN|IND|NOM//conj//45 för//PP//mark//57 att//IE//mark//57 få//VB|INF|AKT//aux//57 kallas//VB|INF|SFO//advcl//44 digitaliserat//PC|PRF|NEU|SIN|IND|NOM//xcomp//57 .//MAD//punct//1

3.2 Varför digitalt?;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 lever//VB|PRS|AKT//ROOT//1 i//PP//case//5 en//DT|UTR|SIN|IND//det//5 analog//JJ|POS|UTR|SIN|IND|NOM//amod//5 värld//NN|UTR|SIN|IND|NOM//obl//1 .//MID//punct//1
3.2 Varför digitalt?;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//8 sinnen//NN|NEU|PLU|IND|NOM//nsubj//15 ,//MID//punct//11 inklusive//PP//case//11 syn//NN|UTR|SIN|IND|NOM//conj//8 och//KN//cc//13 hörsel//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//15 läser//VB|PRS|AKT//conj//1 och//KN//cc//17 översätter//VB|PRS|AKT//conj//15 information//NN|UTR|SIN|IND|NOM//obj//15 på//PP//case//22 ett//DT|NEU|SIN|IND//det//22 kontinuerligt//JJ|POS|NEU|SIN|IND|NOM//amod//22 sätt//NN|NEU|SIN|IND|NOM//obl//15 .//MAD//punct//1
3.2 Varför digitalt?;Om//SN//mark//26 lufttrycket//NN|NEU|SIN|DEF|NOM//nsubj//26 oscillerar//VB|PRS|AKT//advcl//40 med//PP//case//29 en//DT|UTR|SIN|IND//det//29 frekvens//NN|UTR|SIN|IND|NOM//obl//26 av//PP//case//34 ungefär//AB//advmod//32 20–20//RG|NOM//nummod//33 000//RG|NOM//nummod//34 svängningar//NN|UTR|PLU|IND|NOM//nmod//29 per//PP//case//36 sekund//NN|UTR|SIN|IND|NOM//nmod//34 kan//VB|PRS|AKT//aux//40 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//39 öron//NN|NEU|PLU|IND|NOM//nsubj//40 översätta//VB|INF|AKT//parataxis//1 denna//DT|UTR|SIN|DEF//det//42 information//NN|UTR|SIN|IND|NOM//obj//40 till//PP//case//44 något//PN|NEU|SIN|IND|SUB/OBJ//obl//40 som//HP|-|-|-//obj//49 vår//PS|UTR|SIN|DEF//nmod:poss//47 hjärna//NN|UTR|SIN|IND|NOM//nsubj//49 kan//VB|PRS|AKT//aux//49 förstå//VB|INF|AKT//acl:relcl//44 .//MAD//punct//1
3.2 Varför digitalt?;Den//DT|UTR|SIN|DEF//det//1 information//NN|UTR|SIN|IND|NOM//nsubj//13 som//HP|-|-|-//nsubj:pass//3 överförs//VB|PRS|SFO//acl:relcl//1 till//PP//case//6 ögats//NN|NEU|SIN|DEF|GEN//nmod:poss//6 näthinna//NN|UTR|SIN|IND|NOM//obl//3 är//VB|PRS|AKT//cop//13 också//AB//advmod//13 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//13 en//DT|UTR|SIN|IND//det//13 kontinuerligt//AB|POS//advmod//12 oscillerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 signal//NN|UTR|SIN|IND|NOM//ROOT//13 ,//MID//punct//17 men//KN//cc//17 här//AB//advmod//17 handlar//VB|PRS|AKT//conj//13 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//17 om//PP//case//21 magnetiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 laddningar//NN|UTR|PLU|IND|NOM//obl//17 som//HP|-|-|-//nsubj//23 oscillerar//VB|PRS|AKT//acl:relcl//21 och//KN//cc//26 som//HP|-|-|-//nsubj//26 kommer//VB|PRS|AKT//conj//23 från//PP//case//29 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 ställen//NN|NEU|PLU|IND|NOM//obl//26 samtidigt//AB//advmod//26 .//MID//punct//17
3.2 Varför digitalt?;Om//SN//mark//34 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//34 har//VB|PRS|AKT//advcl//41 en//DT|UTR|SIN|IND//det//36 våglängd//NN|UTR|SIN|IND|NOM//obj//34 av//PP//case//40 ungefär//AB//advmod//39 400–700//RG|NOM//nummod//40 nanometer//NN|UTR|PLU|IND|NOM//nmod//36 blir//VB|PRS|AKT//conj//13 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//41 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//41 för//PP//case//45 ögat//NN|NEU|SIN|DEF|NOM//obl//41 att//IE//mark//47 översätta//VB|INF|AKT//xcomp//41 även//AB//advmod//50 denna//DT|UTR|SIN|DEF//det//50 information//NN|UTR|SIN|IND|NOM//obj//47 till//PP//case//52 något//PN|NEU|SIN|IND|SUB/OBJ//nmod//50 som//HP|-|-|-//obj//57 vår//PS|UTR|SIN|DEF//nmod:poss//55 hjärna//NN|UTR|SIN|IND|NOM//nsubj//57 kan//VB|PRS|AKT//aux//57 förstå//VB|INF|AKT//acl:relcl//52 .//MAD//punct//41
