Uppdraget;Den//DT|UTR|SIN|DEF//det//2 29//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//4 2017//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 att//IE//mark//7 tillsätta//VB|INF|AKT//xcomp//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 lagen//NN|UTR|SIN|DEF|NOM//nmod//16 (//PAD//punct//20 1984:3//RG|NOM//conj//18 )//PAD//punct//20 om//PP//case//24 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//24 verksamhet//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//4
Utredningens utgångspunkter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 konstaterar//VB|PRS|AKT//ROOT//1 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//det//4 framöver//AB//nsubj//12 ,//MID//punct//8 inom//PP//case//8 överskådlig//JJ|POS|UTR|SIN|IND|NOM//amod//8 tid//NN|UTR|SIN|IND|NOM//obl//12 ,//MID//punct//8 endast//AB//advmod//12 kan//VB|PRS|AKT//aux//12 röra//VB|INF|AKT//ccomp//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//12 om//PP//case//18 några//DT|UTR/NEU|PLU|IND//det//18 enstaka//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 tillståndsprövningar//NN|UTR|PLU|IND|NOM//obl//12 av//PP//case//22 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 anläggningar//NN|UTR|PLU|IND|NOM//nmod//18 som//HP|-|-|-//nsubj//26 kommer//VB|PRS|AKT//aux//26 att//IE//mark//26 bli//VB|INF|AKT//acl:relcl//22 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//26 ,//MID//punct//18 såsom//HA//mark//32 t.ex.//AB|AN//advmod//32 ett//DT|NEU|SIN|IND//det//32 slutförvar//NN|NEU|SIN|IND|NOM//acl:relcl//18 för//PP//case//35 långlivat//JJ|POS|NEU|SIN|IND|NOM//amod//35 avfall//NN|NEU|SIN|IND|NOM//obl//32 .//MAD//punct//1
Utredningens utgångspunkter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//38 bedömer//VB|PRS|AKT//parataxis//1 dock//AB//advmod//38 att//SN//mark//48 en//DT|UTR|SIN|IND//det//43 ny//JJ|POS|UTR|SIN|IND|NOM//amod//43 lag//NN|UTR|SIN|IND|NOM//nsubj//48 ändå//AB//advmod//48 bör//VB|PRS|AKT//aux//48 vara//VB|INF|AKT//cop//48 så//AB//advmod//48 utformad//PC|PRF|UTR|SIN|IND|NOM//ccomp//38 att//SN//mark//53 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//53 ska//VB|PRS|AKT//aux//53 kunna//VB|INF|AKT//aux//53 hantera//VB|INF|AKT//ccomp//48 en//DT|UTR|SIN|IND//det//55 situation//NN|UTR|SIN|IND|NOM//obj//53 där//HA//advmod//60 dessa//DT|UTR/NEU|PLU|DEF//det//58 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj:pass//60 har//VB|PRS|AKT//aux//60 förändrats//VB|SUP|SFO//acl:relcl//55 och//KN//cc//69 där//HA//advmod//69 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//65 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 prövningar//NN|UTR|PLU|IND|NOM//nsubj//69 också//AB//advmod//69 skulle//VB|PRT|AKT//aux//69 kunna//VB|INF|AKT//aux//69 bli//VB|INF|AKT//conj//60 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//69 .//MAD//punct//38
Utredningens utgångspunkter;Med//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 utgångspunkt//NN|UTR|SIN|IND|NOM//obl//3 bedömer//VB|PRS|AKT//ROOT//3 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 att//SN//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//9 skulle//VB|PRT|AKT//aux//9 vara//VB|INF|AKT//cop//9 olämpligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//3 att//IE//mark//11 genomföra//VB|INF|AKT//csubj//9 alltför//AB//advmod//13 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 förändringar//NN|UTR|PLU|IND|NOM//obj//11 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//11 dels//KN//advmod//17 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//11 som//KN//obl//23 de//DT|UTR/NEU|PLU|DEF//det//21 kvarvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 reaktorerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//23 ska//VB|PRS|AKT//aux//23 drivas//VB|INF|SFO//acl:relcl//17 under//PP//case//18 ,//MID//punct//27 dels//KN//advmod//27 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//3 för//PP//case//29 avvecklingen//NN|UTR|SIN|DEF|NOM//nmod//27 av//PP//case//34 de//DT|UTR/NEU|PLU|DEF//det//34 stängda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 anläggningarna//NN|UTR|PLU|DEF|NOM//nmod//29 .//MAD//punct//27
Utredningens utgångspunkter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//37 bedömer//VB|PRS|AKT//conj//3 dock//AB//advmod//37 att//SN//advmod//37 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 förändringar//NN|UTR|PLU|IND|NOM//dep//39 ,//MID//punct//41 och//KN//cc//49 framför//PP//case//46 allt//PN|NEU|SIN|IND|SUB/OBJ//det//46 förtydliganden//NN|NEU|PLU|IND|NOM//obl//49 ,//MID//punct//49 är//VB|PRS|AKT//cop//49 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//41 då//HA//mark//55 den//DT|UTR|SIN|DEF//det//53 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 lagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//55 inte//AB//advmod//55 förutsett//VB|SUP|AKT//advcl//49 alla//DT|UTR/NEU|PLU|IND/DEF//det//57 frågeställningar//NN|UTR|PLU|IND|NOM//obj//55 i//PP//case//59 detalj//NN|UTR|SIN|IND|NOM//nmod//57 när//HA//mark//62 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//62 utarbetades//VB|PRT|SFO//advcl//55 och//KN//cc//64 antogs//VB|PRT|SFO//conj//62 för//PP//case//67 35//RG|NOM//nummod//67 år//NN|NEU|PLU|IND|NOM//obl//64 sedan//AB//fixed//67 .//MAD//punct//41
Utredningens utgångspunkter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 konstaterar//VB|PRS|AKT//ROOT//1 också//AB//advmod//1 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 i//PP//case//6 kärntekniklagen//NN|UTR|SIN|DEF|NOM//obl//10 under//PP//case//9 dessa//DT|UTR/NEU|PLU|DEF//det//9 år//NN|NEU|PLU|IND|NOM//obl//10 gjorts//VB|SUP|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//13 stort//JJ|POS|NEU|SIN|IND|NOM//amod//13 antal//NN|NEU|SIN|IND|NOM//nmod//14 ändringar//NN|UTR|PLU|IND|NOM//obj//10 vilket//HP|NEU|SIN|IND//nsubj//17 har//VB|PRS|AKT//aux//17 lett//VB|SUP|AKT//acl:relcl//14 till//PP//compound:prt//17 att//SN//mark//22 lagen//NN|UTR|SIN|DEF|NOM//nsubj//22 har//VB|PRS|AKT//aux//22 blivit//VB|SUP|AKT//ccomp//17 ostrukturerad//JJ|POS|UTR|SIN|IND|NOM//xcomp//22 och//KN//cc//25 svårläst//PC|PRF|NEU|SIN|IND|NOM//conj//23 .//MAD//punct//1

Utredningens förslag Ny kärntekniklag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//9 den//DT|UTR|SIN|DEF//det//5 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 om//PP//case//8 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 verksamhet//NN|UTR|SIN|IND|NOM//nmod//5 upphävs//VB|PRS|SFO//ccomp//1 och//KN//cc//11 ersätts//VB|PRS|SFO//conj//9 av//PP//case//15 en//DT|UTR|SIN|IND//det//15 ny//JJ|POS|UTR|SIN|IND|NOM//amod//15 kärntekniklag//NN|UTR|SIN|IND|NOM//obl:agent//11 med//PP//case//18 ny//JJ|POS|UTR|SIN|IND|NOM//amod//18 struktur//NN|UTR|SIN|IND|NOM//nmod//15 .//MAD//punct//1
Utredningens förslag Ny kärntekniklag;Under//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 35//RG|NOM//nummod//3 år//NN|NEU|PLU|IND|NOM//obl//14 som//HP|-|-|-//case//11 den//DT|UTR|SIN|DEF//det//11 nu//AB//advmod//11 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 lagen//NN|UTR|SIN|DEF|NOM//nsubj//11 varit//VB|SUP|AKT//cop//11 i//PP//case//11 kraft//NN|UTR|SIN|IND|NOM//nmod//3 har//VB|PRS|AKT//aux//14 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//14 ändrats//VB|SUP|SFO//ROOT//14 fler//PN|UTR/NEU|PLU|IND|SUB/OBJ//advmod//18 än//KN//fixed//15 30//RG|NOM//nummod//18 gånger//NN|UTR|PLU|IND|NOM//obl//14 .//MAD//punct//14
Utredningens förslag Ny kärntekniklag;Ett//DT|NEU|SIN|IND//det//22 stort//JJ|POS|NEU|SIN|IND|NOM//amod//22 antal//NN|NEU|SIN|IND|NOM//nmod//24 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//26 har//VB|PRS|AKT//aux//26 tillkommit//VB|SUP|AKT//parataxis//14 ,//MID//punct//28 försvunnit//VB|SUP|AKT//conj//26 eller//KN//cc//30 ändrats//VB|SUP|SFO//conj//26 .//MAD//punct//14
Utredningens förslag Ny kärntekniklag;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//34 har//VB|PRS|AKT//aux//34 medfört//VB|SUP|AKT//parataxis//14 att//SN//mark//37 lagen//NN|UTR|SIN|DEF|NOM//nsubj//37 blivit//VB|SUP|AKT//ccomp//34 ostrukturerad//JJ|POS|UTR|SIN|IND|NOM//xcomp//37 och//KN//cc//40 svårläst//PC|PRF|UTR|SIN|IND|NOM//conj//38 .//MAD//punct//34
Utredningens förslag Ny kärntekniklag;En//DT|UTR|SIN|IND//det//2 ny//JJ|POS|UTR|SIN|IND|NOM//amod//2 strålskyddslag//NN|UTR|SIN|IND|NOM//nsubj//6 (//PAD//punct//2 2018:396//RG|NOM//appos//2 )//PAD//punct//2 trädde//VB|PRT|AKT//ROOT//6 i//PP//compound:prt//6 kraft//NN|UTR|SIN|IND|NOM//fixed//7 den//DT|UTR|SIN|DEF//det//11 1//RO|NOM//nummod//11 juni//NN|UTR|SIN|IND|NOM//obl//6 2018//RG|NOM//nummod//11 och//KN//cc//14 ersatte//VB|PRT|AKT//conj//6 den//DT|UTR|SIN|DEF//det//17 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 strålskyddslagen//NN|UTR|SIN|DEF|NOM//obj//14 (//PAD//punct//17 1988:220//RG|NOM//appos//17 )//PAD//punct//17 .//MAD//punct//22
Utredningens förslag Ny kärntekniklag;Kärnteknik-//NN|UTR|-|-|SMS//nsubj:pass//25 och//KN//cc//24 strålskyddslagen//NN|UTR|SIN|DEF|NOM//conj//22 tillämpas//VB|PRS|SFO//conj//6 ofta//AB|POS//advmod//25 parallellt//AB|POS//advmod//25 på//PP//case//30 samma//DT|UTR/NEU|SIN/PLU|IND//det//30 verksamheter//NN|UTR|PLU|IND|NOM//obl//25 .//MAD//punct//6
