Statens Institut för Kommunikationsanalys;Analyser//NN|UTR|PLU|IND|NOM//ROOT//0 för//PP//case//2 Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Förord;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 oktober//NN|UTR|SIN|IND|NOM//obl//0 2003//RG|NOM//nummod//2
Förord;Staffan//PM|NOM//ROOT//0 Widlert//PM|NOM//flat//0
Förord;Direktör//NN|UTR|SIN|IND|NOM//nmod//1 5.6//RG|NOM//nsubj:pass//8 Vad//HP|NEU|SIN|IND//nsubj//3 händer//VB|PRS|AKT//acl:relcl//1 om//SN//case//7 den//DT|UTR|SIN|DEF//det//7 olönsamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 trafiken//NN|UTR|SIN|DEF|NOM//obl//3 tas//VB|PRS|SFO//ROOT//8 bort//PL//compound:prt//8 ?//MID//punct//8 .....//MAD//punct//8
Förord;55//RG|NOM//nummod//8


1.1 Inledning;SIKA//PM|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 åtagit//VB|SUP|AKT//ROOT//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//2 att//IE//mark//5 genomföra//VB|INF|AKT//xcomp//2 en//DT|UTR|SIN|IND//det//7 studie//NN|UTR|SIN|IND|NOM//obj//5 av//PP//case//11 järnvägens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 företagsekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 lönsamhet//NN|UTR|SIN|IND|NOM//nmod//7 på//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//5 av//PP//case//15 Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//nmod//13 .//MAD//punct//2
1.1 Inledning;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 tänkta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//2 att//IE//mark//21 tjäna//VB|INF|AKT//advcl//19 som//KN//mark//23 underlag//NN|NEU|SIN|IND|NOM//obl//21 i//PP//case//26 Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 arbete//NN|NEU|SIN|IND|NOM//nmod//23 med//PP//mark//29 att//IE//mark//29 analysera//VB|INF|AKT//advcl//21 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 utvecklingsvägar//NN|UTR|PLU|IND|NOM//obj//29 för//PP//case//33 persontrafiken//NN|UTR|SIN|DEF|NOM//obl//29 på//PP//case//35 järnväg//NN|UTR|SIN|IND|NOM//nmod//33 .//MAD//punct//19
1.1 Inledning;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//39 har//VB|PRS|AKT//aux//39 utförts//VB|SUP|SFO//parataxis//19 av//PP//case//41 medarbetare//NN|UTR|PLU|IND|NOM//obl:agent//39 på//PP//case//43 SIKA//PM|NOM//nmod//41 ,//MID//punct//46 under//PP//case//46 ledning//NN|UTR|SIN|IND|NOM//obl//39 av//PP//case//50 en//DT|UTR|SIN|IND//det//49 intern//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//50 styrgrupp//NN|UTR|SIN|IND|NOM//nmod//46 .//MAD//punct//46
1.1 Inledning;En//DT|UTR|SIN|IND//det//54 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 diskussion//NN|UTR|SIN|IND|NOM//conj//46 om//PP//mark//59 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//57 uppläggning//NN|UTR|SIN|IND|NOM//nsubj:pass//59 har//VB|PRS|AKT//aux//59 förts//VB|SUP|SFO//acl//54 med//PP//case//62 Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//62 kansli//NN|NEU|SIN|IND|NOM//obl//59 .//MAD//punct//39

1.2 Järnvägsutredningen;Den//DT|UTR|SIN|DEF//det//2 14//RG|NOM//nummod//2 augusti//NN|UTR|SIN|IND|NOM//obl//4 2001//RG|NOM//nummod//2 förordnade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 den//DT|UTR|SIN|DEF//det//8 f.d.//JJ|AN//amod//8 generaldirektören//NN|UTR|SIN|DEF|NOM//obj//4 för//PP//case//10 Banverket//PM|NOM//nmod//8 ,//MID//punct//10 Jan//PM|NOM//nsubj//4 Brandborn//PM|NOM//flat:name//12 ,//MID//punct//12 till//PP//case//17 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//17 utredare//NN|UTR|SIN|IND|NOM//obl//4 för//PP//mark//20 att//IE//mark//20 göra//VB|INF|AKT//acl//17 en//DT|UTR|SIN|IND//det//23 bred//JJ|POS|UTR|SIN|IND|NOM//amod//23 översyn//NN|UTR|SIN|IND|NOM//obj//20 av//PP//case//25 organisation//NN|UTR|SIN|IND|NOM//nmod//23 och//KN//cc//27 lagstiftning//NN|UTR|SIN|IND|NOM//conj//25 inom//PP//case//29 järnvägssektorn//NN|UTR|SIN|DEF|NOM//obl//20 .//MAD//punct//4
1.2 Järnvägsutredningen;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//33 har//VB|PRS|AKT//aux//33 fått//VB|SUP|AKT//parataxis//4 namnet//NN|NEU|SIN|DEF|NOM//nmod//35 Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//obj//33 .//MAD//punct//33
1.2 Järnvägsutredningen;Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj:pass//5 kan//VB|PRS|AKT//aux//5 enligt//PP//case//4 direktivet//NN|NEU|SIN|DEF|NOM//obl//5 delas//VB|INF|SFO//ROOT//5 upp//PL//compound:prt//5 i//PP//case//9 två//RG|NOM//nummod//9 delar//NN|UTR|PLU|IND|NOM//obl//5 .//MAD//punct//5
1.2 Järnvägsutredningen;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 delen//NN|UTR|SIN|DEF|NOM//obl//4 ingår//VB|PRS|AKT//ROOT//4 att//IE//mark//12 ,//MID//punct//12 med//PP//case//10 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//7 i//PP//case//10 konsumentintresset//NN|NEU|SIN|DEF|NOM//obl//12 ,//MID//punct//12 analysera//VB|INF|AKT//ccomp//4 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 utvecklingsvägar//NN|UTR|PLU|IND|NOM//obj//12 för//PP//case//18 såväl//KN//advmod//17 personsom//NN|UTR|SIN|IND|NOM//nmod//18 godstrafiken//NN|UTR|SIN|DEF|NOM//obl//12 på//PP//case//20 järnväg//NN|UTR|SIN|IND|NOM//obl//12 .//MAD//punct//4
1.2 Järnvägsutredningen;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//24 ska//VB|PRS|AKT//aux//24 analysera//VB|INF|AKT//parataxis//4 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 modeller//NN|UTR|PLU|IND|NOM//obj//24 för//PP//case//30 en//DT|UTR|SIN|IND//det//30 utvecklad//PC|PRF|UTR|SIN|IND|NOM//amod//30 konkurrens//NN|UTR|SIN|IND|NOM//obl//24 ,//MID//punct//37 samt//KN//cc//37 i//PP//case//36 sin//PS|UTR|SIN|DEF//nmod:poss//36 slutliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 bedömning//NN|UTR|SIN|IND|NOM//obl//37 förorda//VB|INF|AKT//conj//24 ett//DT|NEU|SIN|IND//det//39 alternativ//NN|NEU|SIN|IND|NOM//obj//37 .//MAD//punct//24
1.2 Järnvägsutredningen;I//PP//case//43 denna//DT|UTR|SIN|DEF//det//43 del//NN|UTR|SIN|IND|NOM//obl//24 av//PP//case//45 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//43 ingår//VB|PRS|AKT//conj//4 även//AB//advmod//46 att//IE//mark//49 se//VB|INF|AKT//xcomp//46 över//PL//case//51 myndighetsstrukturen//NN|UTR|SIN|DEF|NOM//obl//49 inom//PP//case//53 järnvägssektorn//NN|UTR|SIN|DEF|NOM//obl//49 .//MAD//punct//4
1.2 Järnvägsutredningen;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 delen//NN|UTR|SIN|DEF|NOM//obl//6 av//PP//case//5 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//3 ingår//VB|PRS|AKT//ROOT//6 att//SN//mark//11 i//PP//case//11 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//11 rätt//NN|UTR|SIN|IND|NOM//amod//11 genomföra//VB|INF|AKT//advcl//6 de//DT|UTR/NEU|PLU|DEF//det//14 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 regler//NN|UTR|PLU|IND|NOM//obj//11 inom//PP//case//16 området//NN|NEU|SIN|DEF|NOM//obl//11 som//HP|-|-|-//nsubj:pass//21 på//PP//case//20 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 tid//NN|UTR|SIN|IND|NOM//obl//21 antagits//VB|SUP|SFO//acl:relcl//16 inom//PP//case//24 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 gemenskapen//NN|UTR|SIN|DEF|NOM//obl//21 och//KN//cc//28 på//PP//case//28 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//28 nivå//NN|UTR|SIN|IND|NOM//conj//24 .//MID//punct//6
1.2 Järnvägsutredningen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 gäller//VB|PRS|AKT//parataxis//6 såväl//KN//advmod//36 det//DT|NEU|SIN|DEF//det//36 så//AB//advmod//35 kallade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 järnvägspaketet//NN|NEU|SIN|DEF|NOM//obj//31 och//KN//cc//38 direktivet//NN|NEU|SIN|DEF|NOM//conj//36 om//PP//case//40 driftskompatibilitet//NN|NEU|SIN|DEF|NOM//obl//31 för//PP//case//44 transeuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 konventionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 järnvägar//NN|UTR|PLU|IND|NOM//nmod//40 ,//MID//punct//44 som//HP|-|-|-//case//49 den//DT|UTR|SIN|DEF//det//49 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 konventionen//NN|UTR|SIN|DEF|NOM//nmod//40 om//PP//case//52 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//52 järnvägstrafik//NN|UTR|SIN|IND|NOM//nmod//49 (//PAD//punct//54 COTIF//PM|NOM//appos//52 )//PAD//punct//54 .//MAD//punct//6
1.2 Järnvägsutredningen;De//DT|UTR/NEU|PLU|DEF//det//2 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 delarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//9 av//PP//case//4 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//2 ska//VB|PRS|AKT//aux//9 enligt//PP//case//7 direktivet//NN|NEU|SIN|DEF|NOM//obl//9 inte//AB//advmod//9 ses//VB|INF|SFO//ROOT//9 som//KN//case//14 från//PP//case//12 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//14 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 delar//NN|UTR|PLU|IND|NOM//obl//9 utan//KN//cc//21 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//21 är//VB|PRS|AKT//cop//21 i//PP//case//19 grunden//NN|UTR|SIN|DEF|NOM//obl//21 starkt//AB|POS//advmod//21 integrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//14 .//MAD//punct//9
1.2 Järnvägsutredningen;Målsättningen//NN|UTR|SIN|DEF|NOM//nsubj//25 ska//VB|PRS|AKT//aux//25 vara//VB|INF|AKT//parataxis//9 att//IE//mark//27 skapa//VB|INF|AKT//ccomp//25 ”//PAD//punct//31 ett//DT|NEU|SIN|IND//det//31 robust//JJ|POS|NEU|SIN|IND|NOM//amod//31 regelverk//NN|NEU|SIN|IND|NOM//obj//27 som//HP|-|-|-//nsubj//34 är//VB|PRS|AKT//aux:pass//34 anpassat//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//31 till//PP//case//38 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//38 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 situation//NN|UTR|SIN|IND|NOM//obl//34 både//KN//cc//41 i//PP//case//41 Sverige//PM|NOM//obl//34 och//KN//cc//44 inom//PP//case//44 EU//PM|NOM//conj//41 och//KN//cc//48 som//HP|-|-|-//nsubj//48 samtidigt//AB//advmod//48 ger//VB|PRS|AKT//conj//34 utrymme//NN|NEU|SIN|IND|NOM//obj//48 för//PP//case//51 utveckling//NN|UTR|SIN|IND|NOM//obl//48 av//PP//case//53 järnvägssektorn//NN|UTR|SIN|DEF|NOM//nmod//51 ”//PM|NOM//punct//25 .//MAD//punct//9
1.2 Järnvägsutredningen;Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 ett//DT|NEU|SIN|IND//det//4 första//RO|NOM//amod//4 delbetänkande//NN|NEU|SIN|IND|NOM//obj//1 till//PP//case//6 regeringen//NN|UTR|SIN|DEF|NOM//obl//1 den//DT|UTR|SIN|DEF//det//9 31//RG|NOM//nummod//9 maj//NN|UTR|SIN|IND|NOM//obl//1 2002//RG|NOM//nummod//9 (//PAD//punct//9 Rätt//NN|UTR|SIN|IND|NOM//appos//9 på//PP//case//14 spåret//NN|NEU|SIN|DEF|NOM//nmod//12 ,//MID//punct//16 SOU//PM|NOM//conj//12 2002:48//RG|NOM//nmod//16 )//PAD//punct//12 .//MAD//punct//1
1.2 Järnvägsutredningen;Delbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj//21 innehöll//VB|PRT|AKT//conj//1 förslag//NN|NEU|PLU|IND|NOM//obj//21 till//PP//mark//35 hur//HA//advmod//35 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//35 i//PP//case//27 direktiven//NN|NEU|PLU|DEF|NOM//nmod//25 i//PP//case//30 det//DT|NEU|SIN|DEF//det//30 första//RO|NOM//nmod//27 så//AB//advmod//32 kallade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//33 järnvägspaketet//NN|NEU|SIN|DEF|NOM//nsubj:pass//35 ska//VB|PRS|AKT//aux//35 genomföras//VB|INF|SFO//acl//22 i//PP//case//38 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//38 rätt//NN|UTR|SIN|IND|NOM//obl//35 .//MAD//punct//1
1.2 Järnvägsutredningen;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 översyn//NN|UTR|SIN|IND|NOM//nsubj//6 av//PP//case//4 järnvägslagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//2 ska//VB|PRS|AKT//aux//6 resultera//VB|INF|AKT//ROOT//6 i//PP//case//9 ett//DT|NEU|SIN|IND//det//9 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//12 14//RG|NOM//nummod//12 november//NN|UTR|SIN|IND|NOM//nmod//9 2003//RG|NOM//nummod//12 .//MAD//punct//6

1.3 Projektets syfte;Denna//DT|UTR|SIN|DEF//det//1 studie//NN|UTR|SIN|IND|NOM//nsubj:pass//2 initierades//VB|PRT|SFO//ROOT//2 under//PP//case//6 den//DT|UTR|SIN|DEF//det//6 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 fasen//NN|UTR|SIN|DEF|NOM//obl//2 av//PP//case//9 Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 arbete//NN|NEU|SIN|IND|NOM//nmod//6 .//MAD//punct//2
1.3 Projektets syfte;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//12 är//VB|PRS|AKT//parataxis//2 att//IE//mark//14 försöka//VB|INF|AKT//ccomp//12 kartlägga//VB|INF|AKT//xcomp//14 vilken//HD|UTR|SIN|IND//det//17 trafik//NN|UTR|SIN|IND|NOM//nsubj:pass//25 som//HP|-|-|-//nsubj//20 är//VB|PRS|AKT//cop//20 sannolik//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//17 på//PP//case//22 järnvägen//NN|UTR|SIN|DEF|NOM//nmod//20 om//PP//case//24 sektorn//NN|UTR|SIN|DEF|NOM//nmod//22 avregleras//VB|PRS|SFO//ccomp//15 och//KN//cc//29 operatörerna//NN|UTR|PLU|DEF|NOM//nsubj//29 måste//VB|PRS|AKT//aux//29 täcka//VB|INF|AKT//conj//25 de//DT|UTR/NEU|PLU|DEF//det//32 företagsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 kostnader//NN|UTR|PLU|IND|NOM//obj//29 som//HP|-|-|-//obj//35 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//35 ger//VB|PRS|AKT//acl:relcl//32 upphov//NN|NEU|SIN|IND|NOM//obj//35 till//PP//case//35 .//MAD//punct//12
1.3 Projektets syfte;Fokus//NN|NEU|SIN|IND|NOM//advmod//40 ligger//VB|PRS|AKT//parataxis//12 på//PP//case//43 vilken//HD|UTR|SIN|IND//det//43 trafik//NN|UTR|SIN|IND|NOM//obl//40 som//HP|-|-|-//nsubj:pass//51 på//PP//advmod//51 sikt//NN|UTR|SIN|IND|NOM//fixed//45 över//PP//advmod//51 huvud//NN|NEU|SIN|IND|NOM//fixed//47 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//47 kan//VB|PRS|AKT//aux//51 drivas//VB|INF|SFO//acl:relcl//43 företagsekonomiskt//AB|POS//advmod//53 lönsamt//AB|POS//advmod//51 .//MAD//punct//40
1.3 Projektets syfte;Svaret//NN|NEU|SIN|DEF|NOM//nsubj//59 på//PP//case//58 den//DT|UTR|SIN|DEF//det//58 frågan//NN|UTR|SIN|DEF|NOM//nmod//55 leder//VB|PRS|AKT//parataxis//40 fram//AB//advmod//59 till//PP//case//62 frågan//NN|UTR|SIN|DEF|NOM//obl//59 om//PP//mark//69 huruvida//SN//mark//69 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//67 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//67 modell//NN|UTR|SIN|IND|NOM//nsubj//69 är//VB|PRS|AKT//cop//69 hållbar//JJ|POS|UTR|SIN|IND|NOM//acl//62 .//MAD//punct//12

1.4 Metod och genomförande;Analyserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 genomförts//VB|SUP|SFO//ROOT//2 med//PP//case//6 hjälp//NN|UTR|SIN|IND|NOM//fixed//3 av//PP//fixed//3 trafikverkens//NN|NEU|PLU|DEF|GEN//obl//2 och//KN//cc//8 SIKA//PM|NOM//conj//6 ://MID//punct//2 s//NN|AN//case//12 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 prognos-//NN|UTR|-|-|SMS//appos//2 och//KN//cc//14 analysverktyg//NN|NEU|SIN|IND|NOM//nmod//15 Sampers//PM|GEN//conj//12 i//PP//case//17 kombination//NN|UTR|SIN|IND|NOM//nmod//12 med//PP//case//20 kalkylsystemet//NN|NEU|SIN|DEF|NOM//nmod//20 Samkalk//NN|UTR|SIN|IND|NOM//nmod//17 .//MAD//punct//12
