Så enkelt som möjligt för så många som möjligt (1);–//RG|NOM//punct//3  //_SP////0 En//DT|UTR|SIN|IND//det//3 bit//NN|UTR|SIN|IND|NOM//ROOT//3 på//PP//case//5 väg//NN|UTR|SIN|IND|NOM//nmod//3
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//94 utökades//VB|PRT|SFO//parataxis//3 med//PP//case//97 tre//RG|NOM//nummod//97 ledamöter//NN|UTR|PLU|IND|NOM//obl//94 från//PP//case//103 och//KN//fixed//98 med//PP//fixed//98 den//DT|UTR|SIN|DEF//det//103 20//RG|NOM//nummod//103 april//NN|UTR|SIN|IND|NOM//nmod//97 2010//RG|NOM//nummod//103 ,//MID//punct//103 då//HA//mark//118 generaldirektörerna//NN|UTR|PLU|DEF|NOM//nmod//108 Kerstin//PM|NOM//nsubj:pass//118 Borg//PM|NOM//flat:name//108 Wallin//PM|NOM//flat:name//108 ,//MID//punct//112 Ingemar//PM|NOM//conj//108 Hansson//PM|NOM//flat:name//112 samt//KN//cc//115 Katrin//PM|NOM//conj//108 Westling//PM|NOM//flat//115 Palm//PM|NOM//flat:name//115 förordnades//VB|PRT|SFO//acl:relcl//103 till//PP//case//121 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 ledamöter//NN|UTR|PLU|IND|NOM//obl//118 .//MAD//punct//3
Till statsrådet Anna-Karin Hatt;Tomas//PM|NOM//nsubj:pass//125 Lidman//PM|NOM//flat//123 entledigades//VB|PRT|SFO//parataxis//3 den//DT|UTR|SIN|DEF//det//128 30//RG|NOM//nummod//128 april//NN|UTR|SIN|IND|NOM//obl//125 2010//RG|NOM//nummod//128 och//KN//cc//131 efterträddes//VB|PRT|SFO//conj//125 från//PP//case//137 och//KN//cc//134 med//PP//conj//132 den//DT|UTR|SIN|DEF//det//137 1//RO|NOM//nummod//137 maj//NN|UTR|SIN|IND|NOM//obl//131 2010//RG|NOM//nummod//137 av//PP//case//143 den//DT|UTR|SIN|DEF//det//142 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//142 riksarkivarien//NN|UTR|SIN|DEF|NOM//nmod//143 Björn//PM|NOM//nmod//137 Jordell//PM|NOM//flat:name//143 .//MAD//punct//137
Till statsrådet Anna-Karin Hatt;Karin//PM|NOM//nsubj:pass//148 Starrin//PM|NOM//flat:name//146 entledigades//VB|PRT|SFO//conj//125 den//DT|UTR|SIN|DEF//det//151 1//RO|NOM//nummod//151 januari//NN|UTR|SIN|IND|NOM//obl//148 2011//RG|NOM//nummod//151 .//MAD//punct//125
Till statsrådet Anna-Karin Hatt;Kerstin//PM|NOM//nsubj:pass//157 Borg//PM|NOM//flat//154 Wallin//PM|NOM//flat:name//154 entledigades//VB|PRT|SFO//conj//125 den//DT|UTR|SIN|DEF//det//160 3//RO|NOM//nummod//160 mars//NN|UTR|SIN|IND|NOM//obl//157 2011//RG|NOM//nummod//160 ,//MID//punct//157 och//KN//cc//164 efterträddes//VB|PRT|SFO//conj//157 samma//DT|UTR/NEU|SIN/PLU|IND//det//166 dag//NN|UTR|SIN|IND|NOM//obl//164 av//PP//case//169 generaldirektör//NN|UTR|SIN|IND|NOM//nmod//169 Christina//PM|NOM//nmod//166 Gellerbrant//PM|NOM//compound//171 Hagberg//PM|NOM//flat:name//169 .//MAD//punct//3
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 E-delegationen//NN|UTR|SIN|DEF|NOM//obj//2 .//MAD//punct//2
Till statsrådet Anna-Karin Hatt;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 delegationen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 14//RG|NOM//nummod//10 april//NN|UTR|SIN|IND|NOM//obl//4 2009//RG|NOM//nummod//12 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//13 Magnus//PM|NOM//nsubj//10 Enzell//PM|NOM//flat:name//13 och//KN//cc//17 överdirektören//NN|UTR|SIN|DEF|NOM//nmod//17 Roland//PM|NOM//conj//13 Höglund//PM|NOM//flat:name//17 .//MAD//punct//4
Till statsrådet Anna-Karin Hatt;Som//KN//case//1 kanslichef//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//cc//5 med//PP//conj//3 den//DT|UTR|SIN|DEF//det//8 7//RO|NOM//nummod//8 december//NN|UTR|SIN|IND|NOM//obl//2 2009//RG|NOM//nummod//10 Claes//PM|NOM//nmod//8 Thagemark//PM|NOM//flat:name//10 .//MAD//punct//8
Till statsrådet Anna-Karin Hatt;Som//KN//mark//14 kommittésekreterare//NN|UTR|SIN|IND|NOM//advcl//15 anställdes//VB|PRT|SFO//conj//2 från//PP//case//21 och//KN//cc//18 med//PP//conj//16 den//DT|UTR|SIN|DEF//det//21 1//RO|NOM//nummod//21 maj//NN|UTR|SIN|IND|NOM//obl//15 2009//RG|NOM//nummod//21 Dano//PM|NOM//compound//24 Costouvsqi//PM|NOM//conj//15 ,//MID//punct//33 från//PP//case//31 och//KN//fixed//26 med//PP//fixed//26 den//DT|UTR|SIN|DEF//det//31 16//RG|NOM//nummod//31 november//NN|UTR|SIN|IND|NOM//obl//32 2009//RG|NOM//nummod//33 Peter//PM|NOM//obl//90 Krantz//PM|NOM//flat:name//33 ,//MID//punct//33 från//PP//case//41 och//KN//fixed//36 med//PP//fixed//36 den//DT|UTR|SIN|DEF//det//41 1//RO|NOM//nummod//41 januari//NN|UTR|SIN|IND|NOM//obl//43 2010//RG|NOM//nummod//41 Eva//PM|NOM//dep//33 Sartorius//PM|NOM//flat//43 ,//MID//punct//43 från//PP//case//51 och//KN//fixed//46 med//PP//fixed//46 den//DT|UTR|SIN|DEF//det//51 1//RO|NOM//nummod//51 februari//NN|UTR|SIN|IND|NOM//obl//52 2010//RG|NOM//nmod//43 Lena//PM|NOM//conj//43 Olofsson//PM|NOM//flat:name//53 ,//MID//punct//53 från//PP//case//61 och//KN//fixed//56 med//PP//fixed//56 den//DT|UTR|SIN|DEF//det//61 1//RO|NOM//nummod//61 mars//NN|UTR|SIN|IND|NOM//nmod//63 2010//RG|NOM//nummod//61 Anneli//PM|NOM//conj//43 Hagdahl//PM|NOM//flat:name//63 ,//MID//punct//63 från//PP//advmod//71 och//KN//fixed//66 med//PP//fixed//66 den//DT|UTR|SIN|DEF//det//71 8//RO|NOM//nummod//71 mars//NN|UTR|SIN|IND|NOM//nmod//73 2010//RG|NOM//nummod//71 Johan//PM|NOM//nsubj:pass//90 Bålman//PM|NOM//flat:name//73 och//KN//cc//83 från//PP//advmod//80 och//KN//fixed//76 med//PP//fixed//76 den//DT|UTR|SIN|DEF//det//80 16//RG|NOM//nummod//81 augusti//NN|UTR|SIN|IND|NOM//obl//82 2010//RG|NOM//nummod//83 Mårten//PM|NOM//conj//73 Janerud//PM|NOM//flat:name//83 .//MAD//punct//73
Till statsrådet Anna-Karin Hatt;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//88 expert//NN|UTR|SIN|IND|NOM//amod//88 Roland//PM|NOM//conj//73 Höglund//PM|NOM//flat:name//88 entledigades//VB|PRT|SFO//conj//15 den//DT|UTR|SIN|DEF//det//93 10//RG|NOM//nummod//93 maj//NN|UTR|SIN|IND|NOM//obl//90 2010//RG|NOM//nummod//93 och//KN//cc//96 anställdes//VB|PRT|SFO//conj//90 samma//DT|UTR/NEU|SIN/PLU|IND//det//98 dag//NN|UTR|SIN|IND|NOM//obj//96 som//KN//mark//100 kommittésekreterare//NN|UTR|SIN|IND|NOM//xcomp//96 .//MAD//punct//2
Till statsrådet Anna-Karin Hatt;Denna//DT|UTR|SIN|DEF//det//103 anställning//NN|UTR|SIN|IND|NOM//nsubj//105 var//VB|PRT|AKT//cop//105 tidsbegränsad//PC|PRF|UTR|SIN|IND|NOM//parataxis//2 till//PP//case//111 och//KN//fixed//106 med//AB//fixed//106 den//DT|UTR|SIN|DEF//det//111 31//RG|NOM//nummod//111 december//NN|UTR|SIN|IND|NOM//obl//105 2010//RG|NOM//nummod//111 .//MAD//punct//105
Till statsrådet Anna-Karin Hatt;Som//KN//mark//116 kanslisekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//116 anställdes//VB|PRT|SFO//advcl//105 från//PP//compound:prt//116 och//KN//fixed//117 med//PP//fixed//117 den//DT|UTR|SIN|DEF//det//122 1//RO|NOM//nummod//122 oktober//NN|UTR|SIN|IND|NOM//nmod//123 2009//RG|NOM//nummod//124 Marit//PM|NOM//obl//116 Dozzi//PM|NOM//flat//124 .//MAD//punct//2
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2009//RG|NOM//nummod//8 sitt//PS|NEU|SIN|DEF//nmod:poss//8 första//RO|NOM//amod//8 betänkande//NN|NEU|SIN|IND|NOM//nmod//9 Strategi//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//12 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 arbete//NN|NEU|SIN|IND|NOM//obl//1 med//PP//case//15  //_SP////13 e-förvaltning//NN|UTR|SIN|IND|NOM//obl//1 (//PAD//punct//15 SOU//PM|NOM//appos//15 2009:86//RG|NOM//nummod//17 )//PAD//punct//15 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Den//DT|UTR|SIN|DEF//det//23 22//RG|NOM//nummod//23 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//25 2010//RG|NOM//nummod//23 överlämnades//VB|PRT|SFO//conj//1 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 andra//RO|NOM//amod//28 betänkande//NN|NEU|SIN|IND|NOM//nsubj:pass//25 Så//AB//advmod//32 enkelt//AB|POS//fixed//29 som//KN//mark//32 möjligt//JJ|POS|NEU|SIN|IND|NOM//advmod//25 för//PP//case//35 så//AB//advmod//35 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//25 som//KN//mark//37 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//35 –//RG|NOM//punct//40 från//PP//case//40 strategi//NN|UTR|SIN|IND|NOM//obl//25 till//PP//case//42 handling//NN|UTR|SIN|IND|NOM//nmod//40 för//PP//case//45  //_SP////43 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//40   //_SP////45 (//PAD//punct//45 SOU//PM|NOM//appos//45 2010:20//RG|NOM//nmod//40 )//PAD//punct//25 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 fick//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 25//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obj//1 2010//RG|NOM//nummod//4 två//RG|NOM//nummod//7 tilläggsuppdrag//NN|NEU|PLU|IND|NOM//obj//1 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Till statsrådet Anna-Karin Hatt;2010:32//RG|NOM//nmod//7 )//PAD//punct//7 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Det//DT|NEU|SIN|DEF//det//16 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//17 är//VB|PRS|AKT//parataxis//1 att//IE//mark//19 främja//VB|INF|AKT//ccomp//17 och//KN//cc//21 samordna//VB|INF|AKT//conj//19 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//23 arbete//NN|NEU|SIN|IND|NOM//obj//21 med//PP//mark//26 att//IE//mark//26 förbättra//VB|INF|AKT//advcl//21 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//26 för//PP//case//29 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//26 av//PP//case//31 handlingar//NN|UTR|PLU|IND|NOM//nmod//29 (//PAD//punct//33 PSI-direktivet//NN|NEU|SIN|DEF|NOM//appos//31 )//PAD//punct//33 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Det//DT|NEU|SIN|DEF//det//38 andra//RO|NOM//amod//38 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//39 är//VB|PRS|AKT//parataxis//1 att//IE//mark//41 ta//VB|INF|AKT//ccomp//39 fram//PL//compound:prt//41 riktlinjer//NN|UTR|PLU|IND|NOM//obj//41 för//PP//case//47 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//47 användning//NN|UTR|SIN|IND|NOM//obl//41 av//PP//case//50 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 medier//NN|NEU|PLU|IND|NOM//nmod//47 .//MAD//punct//39
Till statsrådet Anna-Karin Hatt;En//DT|UTR|SIN|IND//det//54 första//RO|NOM//amod//54 version//NN|UTR|SIN|IND|NOM//nsubj:pass//57 av//PP//case//56 riktlinjerna//NN|UTR|PLU|DEF|NOM//nmod//54 togs//VB|PRT|SFO//parataxis//39 fram//PL//advmod//57 den//DT|UTR|SIN|DEF//det//61 30//RG|NOM//nummod//61 december//NN|UTR|SIN|IND|NOM//obl//57 2010//RG|NOM//nummod//61 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//8 sitt//PS|NEU|SIN|DEF//nmod:poss//8 tredje//RO|NOM//amod//8 betänkande//NN|NEU|SIN|IND|NOM//obl//1 Så//AB//advmod//12 enkelt//AB|POS//fixed//9 som//KN//mark//12 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//1 för//PP//case//15 så//AB//advmod//15 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//1 som//KN//mark//17 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//15 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Under//PP//case//20 konstruktion//NN|UTR|SIN|IND|NOM//obl//1 –//RG|NOM//punct//20 framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//24  //_SP////22 e-förvaltning//NN|UTR|SIN|IND|NOM//conj//20   //_SP////24 (//PAD//punct//24 SOU//PM|NOM//appos//24 2010:62//RG|NOM//conj//20 )//PAD//punct//20 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sitt//PS|NEU|SIN|DEF//nmod:poss//5 fjärde//RO|NOM//amod//5 betänkande//NN|NEU|SIN|IND|NOM//obj//1 Så//AB//advmod//9 enkelt//AB|POS//fixed//6 som//KN//mark//9 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//1 för//PP//case//12 så//AB//advmod//12 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//1 som//KN//mark//14 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//12 –//RG|NOM//punct//17 En//DT|UTR|SIN|IND//det//17 bit//NN|UTR|SIN|IND|NOM//conj//1 på//PP//case//19 väg//NN|UTR|SIN|IND|NOM//nmod//17 (//PAD//punct//17 SOU//PM|NOM//appos//17 2011:27//RG|NOM//nummod//21 )//PAD//punct//17 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 fortsätter//VB|PRS|AKT//ROOT//1 sitt//PS|NEU|SIN|DEF//nmod:poss//3 arbete//NN|NEU|SIN|IND|NOM//obj//1 i//PP//case//7 enlighet//NN|UTR|SIN|IND|NOM//fixed//4 med//PP//fixed//4 direktiven//NN|NEU|PLU|DEF|NOM//obl//1 .//MAD//punct//1
Till statsrådet Anna-Karin Hatt;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 2011//RG|NOM//nummod//4 3.3//RG|NOM//conj//0 Elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//6 tjänst//NN|UTR|SIN|IND|NOM//obj//0 för//PP//case//9 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 information//NN|UTR|SIN|IND|NOM//obl//0 om//PP//case//11 5.3//RG|NOM//nmod//12 Klarläggande//NN|NEU|SIN|IND|NOM//nmod//9 av//PP//case//15 arkivmyndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//15 roller//NN|UTR|PLU|IND|NOM//nmod//12 inom//PP//case//0


1.1 Delegationens uppdrag;Vid//PP//case//1 regeringssammanträdet//NN|NEU|SIN|DEF|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//nmod//1 2009//RG|NOM//nummod//4 beslutade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 att//IE//mark//9 tillkalla//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//11 delegation//NN|UTR|SIN|IND|NOM//obj//9 med//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//9 att//IE//mark//15 samordna//VB|INF|AKT//acl//13 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//18 IT-baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 utvecklingsprojekt//NN|NEU|PLU|IND|NOM//obj//15 och//KN//cc//20 skapa//VB|INF|AKT//conj//15 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 möjligheter//NN|UTR|PLU|IND|NOM//obj//20 för//PP//case//25 myndighetsövergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 samordning//NN|UTR|SIN|IND|NOM//nmod//22 .//MAD//punct//6
1.1 Delegationens uppdrag;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//29 framgår//VB|PRS|AKT//parataxis//6 av//PP//case//31 kommittédirektivet//NN|NEU|SIN|DEF|NOM//obl//29 (//PAD//punct//31 dir//NN|AN//appos//31 .//MAD//punct//31
1.1 Delegationens uppdrag;2009:19//RG|NOM//conj//29 )//PAD//punct//35 ,//MID//punct//38 bilaga//NN|UTR|SIN|IND|NOM//conj//29 1//RG|NOM//nummod//38 .//MID//punct//29
1.1 Delegationens uppdrag; //_SP////40 Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//43 antog//VB|PRT|AKT//parataxis//29 namnet//NN|NEU|SIN|DEF|NOM//nsubj//43 E-delegationen//NN|UTR|SIN|DEF|NOM//obj//43 .//MAD//punct//43
1.1 Delegationens uppdrag;En//DT|UTR|SIN|IND//det//48 sammanställning//NN|UTR|SIN|IND|NOM//nsubj//60 över//PP//case//51 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 ledamöter//NN|UTR|PLU|IND|NOM//nmod//48 ,//MID//punct//53 arbetsgrupp//NN|UTR|SIN|IND|NOM//conj//51 ,//MID//punct//55 expertgrupper//NN|UTR|PLU|IND|NOM//conj//51 ,//MID//punct//57 referensgrupp//NN|UTR|SIN|IND|NOM//conj//51 samt//KN//cc//59 sekretariat//NN|NEU|PLU|IND|NOM//conj//51 finns//VB|PRS|SFO//conj//43 på//PP//case//63 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//63 webbplats//NN|UTR|SIN|IND|NOM//obl//60 .//MAD//punct//43
1.1 Delegationens uppdrag;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//66 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//67 sträcker//VB|PRS|AKT//conj//43 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//67 över//PP//case//72 en//DT|UTR|SIN|IND//det//72 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 tid//NN|UTR|SIN|IND|NOM//obl//67 och//KN//cc//75 ska//VB|PRS|AKT//aux//75 slutredovisas//VB|INF|SFO//conj//67 den//DT|UTR|SIN|DEF//det//78 31//RG|NOM//nummod//78 december//NN|UTR|SIN|IND|NOM//obl//75 2014//RG|NOM//nummod//78 .//MAD//punct//6
1.1 Delegationens uppdrag;Delbetänkanden//NN|UTR|SIN|DEF|NOM//nsubj:pass//85 ska//VB|PRS|AKT//aux//85 under//PP//case//84 mellantiden//NN|UTR|SIN|DEF|NOM//obl//85 lämnas//VB|PRS|SFO//parataxis//6 två//RG|NOM//nummod//87 gånger//NN|UTR|PLU|IND|NOM//obl//85 per//PP//case//89 år//NN|NEU|SIN|IND|NOM//nmod//87 ,//MID//punct//89 20//RG|NOM//nummod//92 mars//NN|UTR|SIN|IND|NOM//conj//89 och//KN//cc//95 1//RG|NOM//nummod//95 oktober//NN|UTR|SIN|IND|NOM//conj//89 .//MAD//punct//85
