IT i demokratins tjänst (1);Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 forskarvolym//NN|NEU|SIN|IND|NOM//amod//2 VII//RG|NOM//ROOT//2
Förord;Tack//NN|NEU|SIN|IND|NOM//mark//63 vare//VB|KON|PRS|AKT//mark//63 att//SN//mark//63 nästan//AB//advmod//58 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//63 som//HP|-|-|-//nsubj//61 blivit//VB|SUP|AKT//aux:pass//61 ombedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//58 också//AB//advmod//63 lämnat//VB|SUP|AKT//advcl//37 ett//DT|NEU|SIN|IND//det//65 bidrag//NN|NEU|SIN|IND|NOM//obj//63 har//VB|PRS|AKT//conj//2 denna//DT|UTR|SIN|DEF//det//75 breda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//75 ,//MID//punct//68 om//AB//mark//75 än//AB//case//75 långt//AB|POS//advmod//75 ifrån//PP//case//75 fullständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 exponering//NN|UTR|SIN|IND|NOM//obj//66 av//PP//case//78 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//78 kunskaper//NN|UTR|PLU|IND|NOM//nmod//75 om//PP//mark//81 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//81 blivit//VB|SUP|AKT//advcl//75 möjlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//81 .//MID//punct//2
Förord;Att//SN//mark//86 forskarna//NN|UTR|PLU|DEF|NOM//nsubj//86 ser//VB|PRS|AKT//csubj//102 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//86 som//KN//case//90 en//DT|UTR|SIN|IND//det//90 del//NN|UTR|SIN|IND|NOM//obl//86 av//PP//case//93 sin//PS|UTR|SIN|DEF//nmod:poss//93 yrkesroll//NN|UTR|SIN|IND|NOM//nmod//90 att//IE//mark//95 leverera//VB|INF|AKT//acl//90 underlag//NN|NEU|SIN|IND|NOM//obj//95 för//PP//case//100 det//DT|NEU|SIN|DEF//det//100 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//100 samtalet//NN|NEU|SIN|DEF|NOM//nmod//96 är//VB|PRS|AKT//cop//102 värt//JJ|POS|NEU|SIN|IND|NOM//conj//2 att//IE//mark//104 notera//VB|INF|AKT//advcl//102 med//PP//case//106 tillfredsställelse//NN|UTR|SIN|IND|NOM//obl//104 .//MID//punct//2
Förord;Inte//AB//advmod//113 för//PP//mark//113 att//SN//mark//113 forskarna//NN|UTR|PLU|DEF|NOM//nsubj//113 skulle//VB|PRT|AKT//aux//113 sitta//VB|INF|AKT//conj//2 inne//PL//compound:prt//113 med//PP//case//117 alla//DT|UTR/NEU|PLU|IND/DEF//det//117 svaren//NN|NEU|PLU|DEF|NOM//obl//113 .//MAD//punct//113
Förord;Men//KN//cc//135 för//PP//mark//130 att//SN//fixed//120 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//125 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//125 teoretiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//125 infallsvinklar//NN|UTR|PLU|IND|NOM//nsubj//130 och//KN//cc//127 verklighetsbilder//NN|UTR|PLU|IND|NOM//conj//125 kanske//AB//advmod//130 kan//VB|PRS|AKT//aux//130 göra//VB|INF|AKT//advcl//135 det//DT|NEU|SIN|DEF//det//133 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//133 samtalet//NN|NEU|SIN|DEF|NOM//obj//130 mer//AB|KOM//advmod//135 insiktsfullt//AB|POS//conj//113 .//MAD//punct//135
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//141 är//VB|PRS|AKT//cop//141 nämligen//AB//advmod//141 en//DT|UTR|SIN|IND//det//141 mångfald//NN|UTR|SIN|IND|NOM//parataxis//135 som//HP|-|-|-//nsubj//143 komplicerar//VB|PRS|AKT//acl:cleft//141 .//MAD//punct//2
Förord;Förhoppningen//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 nu//AB//ROOT//2 att//SN//mark//8 dessa//DT|UTR/NEU|PLU|DEF//det//5 texter//NN|UTR|PLU|IND|NOM//nsubj:pass//8 ska//VB|PRS|AKT//aux//8 kunna//VB|INF|AKT//aux//8 läsas//VB|INF|SFO//advcl//2 med//PP//case//10 behållning//NN|UTR|SIN|IND|NOM//obl//8 även//AB//advmod//13 utanför//PP//case//13 forskarsamhället//NN|NEU|SIN|DEF|NOM//obl//8 .//MID//punct//2
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 betyder//VB|PRS|AKT//parataxis//2 inte//AB//advmod//16 att//SN//mark//20 författarna//NN|UTR|PLU|DEF|NOM//nsubj//20 förenklat//AB//ccomp//16 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 orsakssammanhang//NN|NEU|PLU|IND|NOM//obj//20 .//MAD//punct//16
Förord;Men//KN//cc//26 jag//PN|UTR|SIN|DEF|SUB//nsubj//26 bad//VB|PRT|AKT//conj//16 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//26 ”//PAD//punct//26 skriva//VB|INF|AKT//conj//26 så//AB//advmod//29 att//SN//mark//33 texten//NN|UTR|SIN|DEF|NOM//nsubj//33 blir//VB|PRS|AKT//advcl//29 läsbar//JJ|POS|UTR|SIN|IND|NOM//xcomp//33 för//PP//case//38 inte//AB//advmod//38 bara//AB//advmod//38 forskare//NN|UTR|PLU|IND|NOM//obl//33 inom//PP//case//41 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 ämnesområden//NN|NEU|PLU|IND|NOM//nmod//38 utan//KN//cc//47 även//AB//advmod//47 för//PP//case//47 en//DT|UTR|SIN|IND//det//47 allmänbildad//PC|PRF|UTR|SIN|IND|NOM//amod//47 medborgare//NN|UTR|SIN|IND|NOM//conj//38 .//MAD//punct//26
Förord;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 kan//VB|PRS|AKT//aux//51 kräva//VB|INF|AKT//parataxis//26
Förord;F//PM|NOM//discourse//14 ÖRORD//PC|PRF|UTR|SIN|IND|NOM//fixed//0 viss//JJ|POS|UTR|SIN|IND|NOM//amod//3 återhållsamhet//NN|UTR|SIN|IND|NOM//nmod//0 med//PP//case//6 inomvetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 jargonger//NN|UTR|PLU|IND|NOM//nmod//3 .//MAD//punct//0
Förord;Särskilt//AB//advmod//9 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 och//KN//cc//11 komplicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//9 tankegångar//NN|UTR|PLU|IND|NOM//nsubj//14 kan//VB|PRS|AKT//aux//14 behöva//VB|INF|AKT//ROOT//14 en//DT|UTR|SIN|IND//det//19 något//AB//advmod//17 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 pedagogisk//JJ|POS|UTR|SIN|IND|NOM//amod//19 omsorg//NN|UTR|SIN|IND|NOM//obj//14 än//KN//case//22 vanligt//AB|POS//amod//22 ”//PAD//obl//14 .//MID//punct//14
Förord;Eva//PM|NOM//nsubj//27 Dahlström//PM|NOM//flat:name//24 har//VB|PRS|AKT//aux//27 biträtt//VB|SUP|AKT//conj//14 med//PP//case//31 en//DT|UTR|SIN|IND//det//31 språklig//JJ|POS|UTR|SIN|IND|NOM//amod//31 granskning//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//14

IT i demokratins tjänst (2);”//PAD//punct//2 Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//ROOT//2 till//PP//case//4 uppgift//NN|UTR|SIN|IND|NOM//obl//2 att//IE//mark//6 analysera//VB|INF|AKT//acl//4 ///MID//cc//8 …//NN|AN//obl//6 ///MID//cc//14 hur//HA//advmod//14 den//DT|UTR|SIN|DEF//det//13 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 informationstekniken//NN|UTR|SIN|DEF|NOM//nsubj//14 påverkar//VB|PRS|AKT//conj//2 demokratin//NN|UTR|SIN|DEF|NOM//obj//14 .//MAD//punct//2 ”//RG|NOM//punct//2
IT i demokratins tjänst (2);Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 valt//VB|SUP|AKT//ROOT//2 att//IE//mark//4 tolka//VB|INF|AKT//xcomp//2 sitt//PS|NEU|SIN|DEF//nmod:poss//6 direktiv//NN|NEU|SIN|IND|NOM//obj//4 tämligen//AB//advmod//8 offensivt//AB|POS//advmod//4 .//MAD//punct//2
IT i demokratins tjänst (2);Dels//KN//advmod//15 har//VB|PRS|AKT//aux//14 vi//PN|UTR|PLU|DEF|SUB//nsubj//14 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 skapat//VB|SUP|AKT//amod//15 webbplatsen//NN|UTR|SIN|DEF|NOM//parataxis//2 ”//PAD//punct//15 www.demokratitorget.gov.se//UO//nmod//15 ”//PAD//punct//15 för//PP//mark//21 att//IE//mark//21 öka//VB|INF|AKT//advcl//15 kommittéarbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 öppenhet//NN|UTR|SIN|IND|NOM//obj//21 och//KN//cc//25 tillgänglighet//NN|UTR|SIN|IND|NOM//conj//23 och//KN//cc//28 dessutom//AB//advmod//28 erbjuda//VB|INF|AKT//conj//21 möjligheter//NN|UTR|PLU|IND|NOM//obj//28 till//PP//case//32 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 samtal//NN|NEU|PLU|IND|NOM//nmod//29 med//PP//case//36 bl.a.//AB|AN//advmod//36 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//36 ledamöter//NN|UTR|PLU|IND|NOM//obl//28 ,//MID//punct//40 om//SN//case//40 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//40 problem//NN|NEU|PLU|IND|NOM//conj//15 .//MAD//punct//15
IT i demokratins tjänst (2);Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//43 besöks//VB|PRS|SFO//parataxis//15 av//PL//compound:prt//43 i//PP//case//46 genomsnitt//NN|NEU|SIN|IND|NOM//obl//43 ca//AB|AN//advmod//48 400//RG|NOM//nummod//49 personer//NN|UTR|PLU|IND|NOM//obl//43 varje//DT|UTR/NEU|SIN|IND//det//51 vecka//NN|UTR|SIN|IND|NOM//nmod//49 .//MAD//punct//15
IT i demokratins tjänst (2);Vi//PN|UTR|PLU|DEF|SUB//nsubj//54 tror//VB|PRS|AKT//parataxis//15 att//SN//mark//58 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//58 har//VB|PRS|AKT//aux//58 gett//VB|SUP|AKT//ccomp//54 värdefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 erfarenheter//NN|UTR|PLU|IND|NOM//obj//58 också//AB//advmod//65 till//PP//case//65 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 kommittéers//NN|UTR|PLU|IND|GEN//nmod:poss//65 arbete//NN|NEU|SIN|IND|NOM//obl//58 .//MAD//punct//54
IT i demokratins tjänst (2);Dels//KN//advmod//73 har//VB|PRS|AKT//aux//73 vi//PN|UTR|PLU|DEF|SUB//nsubj//73 på//PP//case//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 sätt//NN|NEU|PLU|IND|NOM//obl//73 valt//VB|SUP|AKT//conj//54 att//IE//mark//75 ställa//VB|INF|AKT//xcomp//73 frågor//NN|UTR|PLU|IND|NOM//obj//75 om//PP//mark//81 vad//HP|NEU|SIN|IND//dislocated//81 tekniken//NN|UTR|SIN|DEF|NOM//nsubj:pass//81 kan//VB|PRS|AKT//aux//81 tänkas//VB|INF|SFO//advcl//75 ha//VB|INF|AKT//xcomp//81 för//PP//case//85 progressiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//85 potentialer//NN|UTR|PLU|IND|NOM//obl//82 .//MAD//punct//54
IT i demokratins tjänst (2);Vi//PN|UTR|PLU|DEF|SUB//nsubj//88 gav//VB|PRT|AKT//parataxis//54 t.ex.//AB|AN//advmod//88 ut//PL//compound:prt//88 Anders//PM|NOM//nmod:poss//94 R.//PM|NOM//flat//91 Olssons//PM|GEN//nmod:poss//94 debattbok//NN|UTR|SIN|IND|NOM//nmod//96 Elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//96 demokrati//NN|UTR|SIN|IND|NOM//obj//88  //_SP////96 (//PAD//punct//96 SOU//PM|NOM//appos//96 1999:12//RG|NOM//nummod//99 )//PAD//punct//99 ,//MID//punct//99 där//HA//advmod//106 han//PN|UTR|SIN|DEF|SUB//nsubj//106 bl.a.//AB|AN//advmod//106 redovisar//VB|PRS|AKT//acl:relcl//99 erfarenheter//NN|UTR|PLU|IND|NOM//obj//106 från//PP//case//110 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 försök//NN|NEU|PLU|IND|NOM//nmod//107 kring//PP//case//112 IT//NN|AN//nmod//110 och//KN//cc//114 demokrati//NN|UTR|SIN|IND|NOM//conj//112 .//MAD//punct//54
IT i demokratins tjänst (2);Tillsammans//AB//advmod//2 med//PP//case//2 Forskningsrådsnämnden//PM|NOM//obl//7 ,//MID//punct//4 Kommunikationsforskningsberedningen//NN|UTR|SIN|DEF|NOM//conj//2 och//KN//cc//6 IT-kommissionen//NN|UTR|SIN|DEF|NOM//conj//2 arrangerade//VB|PRT|AKT//advcl//46 vi//PN|UTR|PLU|DEF|SUB//nsubj//7 också//AB//advmod//7 ett//DT|NEU|SIN|IND//det//11 symposium//NN|NEU|SIN|IND|NOM//obj//7 kring//PP//case//13 IT//NN|AN//nmod//11 och//KN//cc//15 demokratin//NN|UTR|SIN|DEF|NOM//conj//13 .//MAD//punct//7
IT i demokratins tjänst (2);I//PP//case//19 sitt//PS|NEU|SIN|DEF//nmod:poss//19 huvudanförande//NN|NEU|SIN|IND|NOM//obl//7 ,//MID//punct//19 som//HP|-|-|-//nsubj//22 blivit//VB|SUP|AKT//acl:relcl//19 den//DT|UTR|SIN|DEF//det//25 här//AB//fixed//23 forskarvolymens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 portalkapitel//NN|UTR|SIN|IND|NOM//obj//22 ,//MID//punct//28 menade//VB|PRT|AKT//parataxis//7 Benjamin//PM|NOM//nsubj//28 Barber//PM|NOM//flat//29  //_SP////30 att//SN//mark//37 utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//37 för//PP//case//35 diskussionen//NN|UTR|SIN|DEF|NOM//nmod//33 inte//AB//advmod//37 gäller//VB|PRS|AKT//ccomp//28 tekniken//NN|UTR|SIN|DEF|NOM//obj//37 utan//PP//case//40 demokratin//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//7
IT i demokratins tjänst (2);Vilket//HD|NEU|SIN|IND//det//43 slags//NN|NEU|SIN|IND|GEN//nmod:poss//44 demokrati//NN|UTR|SIN|IND|NOM//obl//7 är//VB|PRS|AKT//cop//46 det//PN|NEU|SIN|DEF|SUB/OBJ//ROOT//46 som//HP|-|-|-//obl//49 vi//PN|UTR|PLU|DEF|SUB//nsubj//49 talar//VB|PRS|AKT//acl:relcl//46 om//PP//case//47 ?//MID//punct//46
IT i demokratins tjänst (2);Han//PN|UTR|SIN|DEF|SUB//nsubj//53 oroas//VB|PRS|SFO//parataxis//46 över//PP//mark//57 att//SN//mark//57 vi//PN|UTR|PLU|DEF|SUB//nsubj//57 håller//VB|PRS|AKT//ccomp//53 på//PL//compound:prt//57 att//IE//mark//60 bli//VB|INF|AKT//xcomp//57 instrumentets//NN|NEU|SIN|DEF|GEN//nmod:poss//62 instrument//NN|NEU|SIN|IND|NOM//nsubj//60 .//MAD//punct//53
IT i demokratins tjänst (2);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//66 är//VB|PRS|AKT//cop//66 oroande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//53 eftersom//SN//mark//69 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//69 finns//VB|PRS|SFO//advcl//66 drag//NN|NEU|PLU|IND|NOM//nsubj//69 i//PP//case//72 tekniken//NN|UTR|SIN|DEF|NOM//nmod//70 som//HP|-|-|-//nsubj//74 förefaller//VB|PRS|AKT//acl:relcl//72 ha//VB|INF|AKT//xcomp//74 makt//NN|UTR|SIN|IND|NOM//obj//75 att//IE//mark//78 försvaga//VB|INF|AKT//acl//76 demokratin//NN|UTR|SIN|DEF|NOM//obj//78 ,//MID//punct//78 t.ex.//AB|AN//advmod//82 hastigheten//NN|UTR|SIN|DEF|NOM//appos//78 ,//MID//punct//84 enkelheten//NN|UTR|SIN|DEF|NOM//conj//82 ,//MID//punct//86 ensamheten//NN|UTR|SIN|DEF|NOM//conj//82 och//KN//cc//88 segmenteringen//NN|UTR|SIN|DEF|NOM//conj//82 .//MAD//punct//78
IT i demokratins tjänst (2);Alternativet//NN|NEU|SIN|DEF|NOM//xcomp//74 ,//MID//punct//95 som//HP|-|-|-//obl//95 han//PN|UTR|SIN|DEF|SUB//nsubj//95 själv//JJ|POS|UTR|SIN|IND|NOM//amod//93 talar//VB|PRS|AKT//acl:relcl//90 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//95 varm//JJ|POS|UTR|SIN|IND|NOM//xcomp//95 för//PP//case//92 ,//MID//punct//66 är//VB|PRS|AKT//cop//102 att//IE//mark//102 ta//VB|INF|AKT//conj//53 tekniken//NN|UTR|SIN|DEF|NOM//obj//102 i//PP//case//105 besittning//NN|UTR|SIN|IND|NOM//obl//102 för//PP//mark//108 att//IE//mark//108 förstärka//VB|INF|AKT//advcl//102 den//DT|UTR|SIN|DEF//det//110 typ//NN|UTR|SIN|IND|NOM//obj//108 av//PP//case//112 demokrati//NN|UTR|SIN|IND|NOM//nmod//110 vi//PN|UTR|PLU|DEF|SUB//nsubj//115 vill//VB|PRS|AKT//aux//115 ha//VB|INF|AKT//acl:relcl//112 .//MAD//punct//53
