Fi 2003/508;2003-05-22//RG|NOM//ROOT//0
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//NN|NEU|SIN|IND|NOM//case//2 Fastighetsägarna//NN|UTR|PLU|DEF|NOM//compound//2 Sverige//PM|NOM//ROOT//2
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//PP//case//3 Föreningen//NN|UTR|SIN|DEF|NOM//nmod//3 Svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//3 Näringsliv//NN|NEU|SIN|IND|NOM//ROOT//3 (//PAD//punct//3 genom//PP//case//7 Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//7 skattedelegation//NN|UTR|SIN|IND|NOM//appos//3 )//PAD//punct//3
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//NN|UTR|SIN|IND|NOM//nmod//1 HSB//PM|NOM//ROOT//1 ://MID//punct//1 s//PM|NOM//case//4 Riksförbund//NN|NEU|SIN|IND|NOM//appos//1
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//NN|UTR|SIN|IND|NOM//case//2 Hyresgästernas//NN|UTR|PLU|DEF|GEN//nmod:poss//2 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//PP//nmod//2 SBC//PM|NOM//nmod//2 Bostadsrättscentrum//PM|NOM//ROOT//2
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//NN|UTR|SIN|IND|NOM//case//2 Sveriges//PM|GEN//nmod:poss//2 Jordägareförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//NN|UTR|SIN|IND|NOM//case//2 Villaägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//2 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//NN|UTR|SIN|IND|NOM//case//2 Stockholms//PM|GEN//nmod:poss//2 Handelskammare//NN|UTR|SIN|IND|NOM//ROOT//2 (//PAD//punct//2 genom//PP//case//6 Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 skattedelegation//NN|UTR|SIN|IND|NOM//appos//2 )//PAD//punct//2
Egendomsskatter Dämpningsregel för fastighetsskatten och sänkt arvsskatt Remissinstanser;•//PM|NOM//case//1 Boverket//NN|NEU|SIN|DEF|NOM//ROOT//1

Remissinstansernas ståndpunkter;Tillstyrker//VB|PRS|AKT//ROOT//0 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//0
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//1 Länsrätten//NN|UTR|SIN|DEF|NOM//ROOT//1 i//PP//case//4 Jämtlands//PM|GEN//nmod:poss//4 län//NN|NEU|SIN|IND|NOM//nmod//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//nmod//1 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//ROOT//1 i//PP//case//4 Hallands//PM|GEN//nmod:poss//4 län//NN|NEU|SIN|IND|NOM//nmod//1
Remissinstansernas ståndpunkter;•//PM|NOM//case//2 Vaxholms//PM|GEN//nmod:poss//2 kommun//NN|UTR|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Pensionärernas//NN|UTR|PLU|DEF|GEN//nmod:poss//2 Riksorganisation//NN|UTR|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//PP//nmod//3 Föreningen//NN|UTR|SIN|DEF|NOM//obl//2 Auktoriserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//compound//3 Revisorer//NN|UTR|PLU|IND|NOM//ROOT//3
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 Bankföreningen//NN|UTR|SIN|DEF|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//PP//case//3 Föreningen//NN|UTR|SIN|DEF|NOM//nmod//3 Svenskt//JJ|POS|NEU|SIN|IND|NOM//compound//3 Näringsliv//NN|NEU|SIN|IND|NOM//ROOT//3
Remissinstansernas ståndpunkter;•//PP//nmod//2 SBC//PM|NOM//nmod//2 Bostadsrättscentrum//PM|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Sveriges//PM|GEN//nmod:poss//2 Jordägareförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Stockholms//PM|GEN//nmod:poss//2 Handelskammare//NN|UTR|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;Har//VB|PRS|AKT//ROOT//0 ingen//DT|UTR|SIN|IND//det//2 erinran//NN|UTR|SIN|IND|NOM//obj//0 mot//PP//case//4 förslaget//NN|NEU|SIN|DEF|NOM//nmod//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//1 Hovrätten//NN|UTR|SIN|DEF|NOM//ROOT//1 över//PP//case//3 Skåne//PM|NOM//nmod//1 och//KN//cc//5 Blekinge//PM|NOM//conj//3
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//nmod//1 Kammarrätten//NN|UTR|SIN|DEF|NOM//ROOT//1 i//PP//case//3 Stockholm//PM|NOM//nmod//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//1 Länsrätten//NN|UTR|SIN|DEF|NOM//ROOT//1 i//PP//case//3 Göteborg//PM|NOM//nmod//1
Remissinstansernas ståndpunkter;•//PM|NOM//case//1 Statskontoret//NN|NEU|SIN|DEF|NOM//ROOT//1
Remissinstansernas ståndpunkter;•//PM|NOM//case//1 Riksskatteverket//NN|NEU|SIN|DEF|NOM//ROOT//1 (//PAD//punct//1 i//PP//advmod//1 huvudsak//NN|UTR|SIN|IND|NOM//fixed//3 )//PAD//punct//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Gotlands//PM|GEN//nmod:poss//2 kommun//NN|UTR|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Simrishamns//PM|GEN//nmod:poss//2 kommun//NN|UTR|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Sveriges//PM|GEN//nmod:poss//2 Pensionärsförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 kommunförbundet//NN|NEU|SIN|DEF|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Sveriges//PM|GEN//nmod:poss//2 advokatsamfund//NN|NEU|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Lantbrukarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//2 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|NEU|SIN|IND|NOM//case//2 Fastighetsägarna//NN|UTR|PLU|DEF|NOM//compound//2 Sverige//PM|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//nmod//1 HSB//PM|NOM//ROOT//1 ://MID//punct//1 s//PM|NOM//case//4 Riksförbund//NN|NEU|SIN|IND|NOM//appos//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Hyresgästernas//NN|UTR|PLU|DEF|GEN//nmod:poss//2 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;•//PM|NOM//case//1 Boverket//NN|NEU|SIN|DEF|NOM//ROOT//1
Remissinstansernas ståndpunkter;Avstyrker//VB|PRS|AKT//ROOT//0 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//0
Remissinstansernas ståndpunkter;Oklar//JJ|POS|UTR|SIN|IND|NOM//amod//1 inställning//NN|UTR|SIN|IND|NOM//ROOT//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Villaägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//2 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//2
Remissinstansernas ståndpunkter;Inga//DT|UTR/NEU|PLU|IND//det//1 synpunkter//NN|UTR|PLU|IND|NOM//ROOT//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//2 Samhällsvetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 fakulteten//NN|UTR|SIN|DEF|NOM//ROOT//2 vid//PP//case//5 Stockholms//PM|GEN//nmod:poss//5 universitet//NN|NEU|SIN|IND|NOM//nmod//2
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//nmod//1 Handelshögskolan//NN|UTR|SIN|DEF|NOM//ROOT//1 i//PP//case//3 Stockholm//PM|NOM//nmod//1
Remissinstansernas ståndpunkter;•//NN|UTR|SIN|IND|NOM//case//3 Sveriges//PM|GEN//nmod:poss//2 Akademikers//NN|UTR|PLU|IND|GEN//nmod:poss//3 Centralorganisation//NN|UTR|SIN|IND|NOM//ROOT//3

Lagtext och detaljer;Kammarrätten//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//2 Stockholm//PM|NOM//nmod//0  //_SP////2 menar//VB|PRS|AKT//ROOT//4 att//SN//mark//8 uttrycket//NN|NEU|SIN|DEF|NOM//nsubj//8 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 värde//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//10 2//RG|NOM//nummod//13 a//NN|NEU|SIN|IND|NOM//case//12 §//NN|AN//nmod//13 andra//RO|NOM//nmod//8 och//KN//cc//16 tredje//RO|NOM//amod//16 styckena//NN|NEU|PLU|DEF|NOM//conj//13 måste//VB|PRS|AKT//aux//18 förtydligas//VB|INF|SFO//conj//4 så//AB//mark//22 att//SN//fixed//19 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//22 framgår//VB|PRS|AKT//advcl//18 att//SN//mark//27 man//PN|UTR|SIN|IND|SUB//nsubj//27 inte//AB//advmod//27 skall//VB|PRS|AKT//aux//27 jämföra//VB|INF|AKT//ccomp//22 med//PP//case//30 det//DT|NEU|SIN|DEF//det//30 taxeringsvärde//NN|NEU|SIN|IND|NOM//obl//27 som//HP|-|-|-//nsubj//32 gällde//VB|PRT|AKT//acl:relcl//30 före//PP//case//35 en//DT|UTR|SIN|IND//det//35 ombildning//NN|UTR|SIN|IND|NOM//obl//32 från//PP//case//38 t.ex.//AB|AN//advmod//38 industrienhet//NN|UTR|SIN|IND|NOM//nmod//35 till//PP//case//40 hyreshusenhet//NN|UTR|SIN|IND|NOM//nmod//38 .//MAD//punct//4
Lagtext och detaljer;Riksskatteverket//NN|NEU|SIN|DEF|NOM//nsubj//2  //_SP////0 anser//VB|PRS|AKT//ROOT//2 att//SN//mark//14 eftersom//SN//mark//14 kopplingen//NN|UTR|SIN|DEF|NOM//nsubj//14 mellan//PP//case//8 åsatt//PC|PRF|NEU|SIN|IND|NOM//amod//8 taxeringsvärde//NN|NEU|SIN|IND|NOM//nmod//5 och//KN//cc//10 underlag//NN|NEU|SIN|IND|NOM//conj//8 för//PP//case//12 fastighetsskatt//NN|UTR|SIN|IND|NOM//nmod//10 delvis//AB//advmod//14 upphör//VB|PRS|AKT//ccomp//2 behöver//VB|PRS|AKT//xcomp//14 begreppet//NN|NEU|SIN|DEF|NOM//nmod//17 taxeringsvärde//NN|NEU|SIN|IND|NOM//obj//15 i//PP//case//21 3//RG|NOM//nummod//20 §//NN|AN//nmod//21 SFL//PM|NOM//nmod//17 bytas//VB|PRS|SFO//xcomp//15 ut//PL//compound:prt//22 så//SN//mark//27 att//SN//fixed//24 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//27 stämmer//VB|PRS|AKT//advcl//22 överens//PL//compound:prt//27 med//PP//case//30 terminologin//NN|UTR|SIN|DEF|NOM//obl//27 i//PP//case//34 den//DT|UTR|SIN|DEF//det//34 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//34 2//RG|NOM//nummod//40 a//NN|NEU|SIN|IND|NOM//case//36 §//NN|AN//nmod//37 andra//RO|NOM//amod//40 och//KN//cc//39 tredje//RO|NOM//conj//37 styckena//NN|NEU|PLU|DEF|NOM//obl//27 .//MAD//punct//2
Lagtext och detaljer;Vidare//AB|KOM//advmod//45 bör//VB|PRS|AKT//aux//45 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//45 förtydligas//VB|INF|SFO//parataxis//2 hur//HA//advmod//49 dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj:pass//49 skall//VB|PRS|AKT//aux//49 hanteras//VB|INF|SFO//ccomp//45 i//PP//case//51 kombination//NN|UTR|SIN|IND|NOM//obl//49 med//PP//case//53 regeln//NN|UTR|SIN|DEF|NOM//nmod//51 om//PP//case//56 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//56 fastighetsskatt//NN|UTR|SIN|IND|NOM//nmod//53 vid//PP//case//58 om-//AB|SMS//nmod//56 eller//KN//cc//60 tillbyggnad//NN|UTR|SIN|IND|NOM//conj//58 av//PP//case//62 bostadsdelen//NN|UTR|SIN|DEF|NOM//nmod//60 på//PP//case//64 hyreshus//NN|NEU|PLU|IND|NOM//nmod//62 i//PP//case//66 3//RG|NOM//nummod//67 a//NN|NEU|SIN|IND|NOM//case//69 §//NN|AN//nmod//69 FSL//PM|NOM//obl//49 .//MAD//punct//45
Lagtext och detaljer;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//75 kan//VB|PRS|AKT//aux//75 ur//PP//case//74 förenklingssynpunkt//NN|UTR|SIN|IND|NOM//obl//75 diskuteras//VB|INF|SFO//parataxis//45 om//SN//mark//85 inte//AB//advmod//85 i//PP//advmod//85 stället//NN|NEU|SIN|DEF|NOM//fixed//78 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//83 det//DT|NEU|SIN|DEF//det//83 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//83 taxeringsvärdet//NN|NEU|SIN|DEF|NOM//nsubj//85 bör//VB|PRS|AKT//aux//85 utgöra//VB|INF|AKT//advcl//75 grund//NN|UTR|SIN|IND|NOM//obj//85 för//PP//case//88 beräkningen//NN|UTR|SIN|DEF|NOM//obl//85 .//MAD//punct//45
Lagtext och detaljer;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//91 medför//VB|PRS|AKT//parataxis//45 ändring//NN|UTR|SIN|IND|NOM//obj//91 i//PP//case//94 3//RG|NOM//nummod//97 a//NN|NEU|SIN|IND|NOM//case//97 §//NN|AN//nmod//97 FSL//PM|NOM//obl//91 ,//MID//punct//97 varvid//HA//advmod//101 uttrycket//NN|NEU|SIN|DEF|NOM//amod//101 underlag//NN|NEU|SIN|IND|NOM//appos//97 för//PP//case//103 fastighetsskatt//NN|UTR|SIN|IND|NOM//nmod//101 och//KN//cc//112 hänvisningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//112 till//PP//case//108 3//RG|NOM//nummod//108 §//NN|AN//nmod//109 b//NN|NEU|SIN|IND|NOM//nmod//105 )//PAD//punct//105 bör//VB|PRS|AKT//aux//112 uttryckas//VB|INF|SFO//conj//91 på//PP//case//116 ett//DT|NEU|SIN|IND//det//116 annat//JJ|POS|NEU|SIN|IND|NOM//amod//116 sätt//NN|NEU|SIN|IND|NOM//obl//112 .//MAD//punct//91
Lagtext och detaljer;Sveriges//PM|GEN//nmod:poss//1 Advokatsamfund//NN|NEU|SIN|IND|NOM//nsubj//3  //_SP////1 påpekar//VB|PRS|AKT//ROOT//3 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 inte//AB//advmod//7 framgår//VB|PRS|AKT//ccomp//3 av//PP//case//9 lagtexten//NN|UTR|SIN|DEF|NOM//obl//7 utan//KN//cc//12 av//PP//case//12 kommentaren//NN|UTR|SIN|DEF|NOM//obl//7 vad//HP|NEU|SIN|IND//dislocated//15 som//HP|-|-|-//nsubj:pass//15 avses//VB|PRS|SFO//acl:relcl//12 med//PP//case//20 ”//PM|NOM//punct//20 den//DT|UTR|SIN|DEF//det//20 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 taxeringsperioden//NN|UTR|SIN|DEF|NOM//obl//15 ”//PM|NOM//obl//15 i//PP//case//23 2//RG|NOM//nummod//27 a//NN|NEU|SIN|IND|NOM//case//25 §//NN|AN//nmod//27 andra//RO|NOM//amod//27 stycket//NN|NEU|SIN|DEF|NOM//obl//7 .//MID//punct//3
Lagtext och detaljer;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 borde//VB|PRT|AKT//aux//31 framgå//VB|INF|AKT//parataxis//3 explicit//AB|POS//obj//31 av//PP//case//34 lagtexten//NN|UTR|SIN|DEF|NOM//nmod//32 .//MAD//punct//31
Lagtext och detaljer;Lantmäteriverket//NN|NEU|SIN|DEF|NOM//nsubj//2  //_SP////0 anser//VB|PRS|AKT//ROOT//2 att//SN//mark//21 farhågorna//NN|UTR|PLU|DEF|NOM//nsubj//21 om//PP//mark//9 att//SN//mark//9 investeringar//NN|UTR|PLU|IND|NOM//nsubj:pass//9 skulle//VB|PRT|AKT//aux//9 hämmas//VB|INF|SFO//acl//4 och//KN//cc//11 styras//VB|INF|SFO//conj//9 till//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 år//NN|NEU|PLU|IND|NOM//obl//11 då//HA//mark//17 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 sker//VB|PRS|AKT//advcl//11 en//DT|UTR|SIN|IND//det//19 fastighetstaxering//NN|UTR|SIN|IND|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 överdrivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//2 .//MAD//punct//2

Allmänt om förslaget;Hovrätten//NN|UTR|SIN|DEF|NOM//ROOT//0 över//PP//case//2 Skåne//PM|NOM//nmod//0 och//KN//cc//4 Blekinge//PM|NOM//conj//2 ://MID//punct//0
Allmänt om förslaget;Ett//DT|NEU|SIN|IND//det//7 system//NN|NEU|SIN|IND|NOM//appos//0 som//HP|-|-|-//nsubj:pass//9 grundas//VB|PRS|SFO//acl:relcl//7 på//PP//case//12 bl.a.//AB|AN//advmod//12 begränsningsregeln//NN|UTR|SIN|DEF|NOM//obl//9 och//KN//cc//19 den//DT|UTR|SIN|DEF//det//17 nu//AB//advmod//16 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//17 dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//19 kan//VB|PRS|AKT//aux//19 framstå//VB|INF|AKT//conj//9 som//KN//mark//21 svåröverskådligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//19 och//KN//cc//23 svårförståeligt//JJ|POS|NEU|SIN|IND|NOM//conj//21 för//PP//case//27 den//DT|UTR|SIN|DEF//det//27 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//27 fastighetsägaren//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//0
Allmänt om förslaget;Länsrätten//NN|UTR|SIN|DEF|NOM//nsubj//6 i//PP//case//2 Göteborg//PM|NOM//nmod//0 ://MID//punct//0
