Utredningens samtliga förslag;I//PP//case//2 det//DT|NEU|SIN|DEF//det//2 följande//NN|NEU|SIN|IND|NOM//obl//3 finns//VB|PRS|SFO//ROOT//3 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 förslag//NN|NEU|PLU|IND|NOM//nsubj//3 från//PP//case//8 respektive//AB//amod//8 kapitel//NN|NEU|SIN|IND|NOM//nmod//5 redovisade//VB|PRT|AKT//advcl//3 .//MAD//punct//3
Förslag från kapitel 4;Transportdirektivet//NN|NEU|SIN|DEF|NOM//nsubj//2 bör//VB|PRS|AKT//aux//2 gälla//VB|INF|AKT//ROOT//2 lika//AB//advmod//5 för//PP//case//5 slaktdjur//NN|NEU|PLU|IND|NOM//obl//2 och//KN//cc//7 livdjur//NN|NEU|PLU|IND|NOM//conj//5 .//MAD//punct//2
Förslag från kapitel 4;Icke-kommersiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 transporter//NN|UTR|PLU|IND|NOM//nsubj:pass//5 bör//VB|PRS|AKT//aux//5 inte//AB//advmod//5 längre//AB|KOM//advmod//5 undantas//VB|INF|SFO//ROOT//5 ,//MID//punct//5 utan//KN//cc//11 djurtransportdirektivet//NN|NEU|SIN|DEF|NOM//nsubj//11 bör//VB|PRS|AKT//aux//11 vara//VB|INF|AKT//cop//11 tillämpligt//JJ|POS|NEU|SIN|IND|NOM//conj//5 även//AB//advmod//14 på//PP//case//14 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//11 .//MAD//punct//5
Förslag från kapitel 4;Transporten//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 anses//VB|INF|SFO//ROOT//2 som//KN//mark//4 påbörjad//PC|PRF|UTR|SIN|IND|NOM//xcomp//2 när//HA//mark//9 det//DT|NEU|SIN|DEF//det//8 första//RO|NOM//amod//8 djuret//NN|NEU|SIN|DEF|NOM//nsubj:pass//9 lastas//VB|PRS|SFO//advcl//2 på//PL//mark//13 och//KN//cc//13 som//KN//mark//13 avslutad//PC|PRF|UTR|SIN|IND|NOM//advcl//9 när//HA//mark//18 det//DT|NEU|SIN|DEF//det//17 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//17 djuret//NN|NEU|SIN|DEF|NOM//nsubj:pass//18 lastas//VB|INF|SFO//advcl//13 av//PL//case//18 .//MAD//punct//2
Förslag från kapitel 4;Dräktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 nötkreatur//NN|NEU|PLU|IND|NOM//nsubj//5 ,//MID//punct//3 hästdjur//NN|NEU|PLU|IND|NOM//conj//1 ,//MID//punct//1 får//NN|NEU|PLU|IND|NOM//nsubj:pass//16 ,//MID//punct//7 getter//NN|UTR|PLU|IND|NOM//obj//5 ,//MID//punct//9 renar//NN|UTR|PLU|IND|NOM//conj//5 ,//MID//punct//11 hjortdjur//NN|NEU|PLU|IND|NOM//conj//5 och//KN//cc//13 grisar//NN|UTR|PLU|IND|NOM//conj//5 bör//VB|PRS|AKT//aux//16 inte//AB//advmod//16 transporteras//VB|INF|SFO//ROOT//16 inom//PP//case//19 tre//RG|NOM//nummod//19 veckor//NN|UTR|PLU|IND|NOM//obl//16 före//PP//case//22 beräknad//PC|PRF|UTR|SIN|IND|NOM//amod//22 förlossning//NN|UTR|SIN|IND|NOM//obl//16 .//MAD//punct//16
Förslag från kapitel 4;Transport//PM|NOM//nsubj//32 av//PP//case//27 dräktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 tikar//NN|UTR|PLU|IND|NOM//nmod//24 och//KN//cc//29 katter//NN|UTR|PLU|IND|NOM//conj//27 bör//VB|PRS|AKT//aux//32 inte//AB//advmod//32 ske//VB|INF|AKT//parataxis//16 ,//MID//punct//36 utom//KN//advmod//36 till//PP//case//36 veterinär//NN|UTR|SIN|IND|NOM//obl//32 ,//MID//punct//36 inom//PP//case//40 två//RG|NOM//nummod//40 veckor//NN|UTR|PLU|IND|NOM//obl//43 före//PP//case//43 beräknad//PC|PRF|UTR|SIN|IND|NOM//amod//43 förlossning//NN|UTR|SIN|IND|NOM//obl//32 .//MAD//punct//49
Förslag från kapitel 4;För//PP//case//47 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 djurslag//NN|NEU|PLU|IND|NOM//obl//49 bör//VB|PRS|AKT//aux//49 gälla//VB|INF|AKT//advcl//32 en//DT|UTR|SIN|IND//det//51 femtedel//NN|UTR|SIN|IND|NOM//obj//49 av//PP//case//53 dräktigheten//NN|UTR|SIN|DEF|NOM//nmod//51 som//KN//mark//55 gräns//NN|UTR|SIN|IND|NOM//xcomp//49 .//MAD//punct//32
Förslag från kapitel 4;Moderdjur//NN|NEU|PLU|IND|NOM//nsubj:pass//61 av//PP//case//59 nöt//NN|UTR|SIN|IND|NOM//nmod//57 bör//VB|PRS|AKT//aux//61 transporteras//VB|INF|SFO//parataxis//32 tidigast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//66 tre//RG|NOM//nummod//64 veckor//NN|UTR|PLU|IND|NOM//obl//66 efter//PP//case//66 förlossning//NN|UTR|SIN|IND|NOM//obl//61 och//KN//cc//71 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//71 ovan//AB//advmod//70 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//71 djurslag//NN|NEU|SIN|IND|NOM//conj//66 tidigast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//74 en//RG|UTR|SIN|IND|NOM//det//74 vecka//NN|UTR|SIN|IND|NOM//obl//61 efter//PP//case//76 förlossning//NN|UTR|SIN|IND|NOM//nmod//74 .//MAD//punct//16
Förslag från kapitel 4;Kalvar//NN|UTR|PLU|IND|NOM//nsubj:pass//17 under//PP//case//4 6//RG|NOM//nummod//3 veckors//NN|UTR|PLU|IND|GEN//nmod:poss//4 ålder//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//4 grisar//NN|UTR|PLU|IND|NOM//conj//4 under//PP//case//9 25//RG|NOM//nummod//9 kg//NN|AN//nmod//6 och//KN//cc//11 lamm//NN|NEU|SIN|IND|NOM//conj//9 under//PP//advmod//13 20//RG|NOM//nummod//14 kg//NN|AN//nmod//11 bör//VB|PRS|AKT//aux//17 inte//AB//advmod//17 anses//VB|INF|SFO//ROOT//17 vara//VB|INF|AKT//cop//19 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//17 att//IE//mark//21 transportera//VB|INF|AKT//acl//19 .//MAD//punct//17
Förslag från kapitel 4;Transporttider//NN|UTR|PLU|IND|NOM//ROOT//0
Förslag från kapitel 4;Transporttiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 begränsas//VB|INF|SFO//ROOT//2 till//PP//case//6 högst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//5 åtta//RG|NOM//nummod//6 timmar//NN|UTR|PLU|IND|NOM//obl//2 vid//PP//case//8 landsvägstransport//NN|UTR|SIN|IND|NOM//nmod//6 för//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 däggdjur//NN|NEU|PLU|IND|NOM//obl//2 för//PP//mark//16 vilka//HP|UTR/NEU|PLU|IND//det//14 djurtransportdirektivet//NN|NEU|SIN|DEF|NOM//nsubj//16 är//VB|PRS|AKT//cop//16 tillämpligt//JJ|POS|NEU|SIN|IND|NOM//advcl//2 .//MAD//punct//2
Förslag från kapitel 4;Registrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//2 hästar//NN|UTR|PLU|IND|NOM//obj//18 på//PP//case//21 väg//NN|UTR|SIN|IND|NOM//obl//18 till//PP//case//25 eller//KN//cc//24 från//PP//conj//22 tävling//NN|UTR|SIN|IND|NOM//nmod//21 kan//VB|PRS|AKT//aux//27 undantas//VB|INF|SFO//conj//2 .//MAD//punct//2
Förslag från kapitel 4;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 bör//VB|PRS|AKT//aux//4 inte//AB//advmod//4 vara//VB|INF|AKT//cop//4 tillåtet//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 att//IE//mark//6 repetera//VB|INF|AKT//csubj//4 en//DT|UTR|SIN|IND//det//8 transporttid//NN|UTR|SIN|IND|NOM//obj//6 .//MAD//punct//4
Förslag från kapitel 4;Mellan//PP//case//12 varje//DT|UTR/NEU|SIN|IND//det//12 transport//NN|UTR|SIN|IND|NOM//obl//15 bör//VB|PRS|AKT//aux//15 djuret//NN|NEU|SIN|DEF|NOM//nsubj:pass//15 beredas//VB|INF|SFO//parataxis//4 vila//VB|INF|AKT//xcomp//15 i//PP//case//20 minst//AB|SUV//advmod//19 tre//RG|NOM//nummod//20 veckor//NN|UTR|PLU|IND|NOM//obl//16 .//MAD//punct//4
Förslag från kapitel 4;För//PP//case//1 fjäderfä//NN|NEU|SIN|IND|NOM//obl//8 kan//VB|PRS|AKT//aux//8 transporttiden//NN|UTR|SIN|DEF|NOM//nsubj//8 ,//MID//punct//8 om//SN//mark//8 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//8 är//VB|PRS|AKT//cop//8 motiverat//PC|PRF|NEU|SIN|IND|NOM//ROOT//8 ur//PP//case//10 djurskyddssynpunkt//NN|UTR|SIN|IND|NOM//obl//8 ,//MID//punct//13 kunna//VB|INF|AKT//aux//13 utsträckas//VB|INF|SFO//conj//8 till//PP//case//16 tio//RG|NOM//nummod//16 timmar//NN|UTR|PLU|IND|NOM//obl//13 .//MAD//punct//8
Förslag från kapitel 4;För//PP//case//20 daggamla//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//det//20 kycklingar//NN|UTR|PLU|IND|NOM//obl//28 bör//VB|PRS|AKT//aux//28 transport//NN|UTR|SIN|IND|NOM//nsubj//28 om//PP//case//26 högst//AB|SUV//advmod//25 24//RG|NOM//nummod//26 timmar//NN|UTR|PLU|IND|NOM//obl//28 vara//VB|INF|AKT//cop//28 tillåten//JJ|POS|UTR|SIN|IND|NOM//parataxis//8 innan//SN//mark//31 kycklingen//NN|UTR|SIN|DEF|NOM//nsubj//31 uppnått//VB|SUP|AKT//advcl//28 en//DT|UTR|SIN|IND//det//33 ålder//NN|UTR|SIN|IND|NOM//obj//31 av//PP//case//36 60//RG|NOM//nummod//36 timmar//NN|UTR|PLU|IND|NOM//nmod//33 .//MAD//punct//8
Förslag från kapitel 4;Vid//PP//case//1 import//NN|UTR|SIN|IND|NOM//obl//12 från//PP//case//4 tredje//RO|NOM//amod//4 land//NN|NEU|SIN|IND|NOM//nmod//1 bör//VB|PRS|AKT//aux//12 en//DT|UTR|SIN|IND//det//8 obligatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 viloperiod//NN|UTR|SIN|IND|NOM//nsubj:pass//12 på//PP//case//11 tre//RG|NOM//nummod//11 veckor//NN|UTR|PLU|IND|NOM//nmod//8 införas//VB|INF|SFO//nsubj:pass//31 för//PP//case//15 alla//DT|UTR/NEU|PLU|IND/DEF//det//15 djur//NN|NEU|PLU|IND|NOM//obl//12 vid//PP//case//20 den//DT|UTR|SIN|DEF//det//19 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 unionens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 gräns//NN|UTR|SIN|IND|NOM//obl//12 .//MAD//punct//12
Förslag från kapitel 4;Registrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//23 hästar//NN|UTR|PLU|IND|NOM//nsubj:pass//12 på//PP//case//25 väg//NN|UTR|SIN|IND|NOM//obl//12 till//PP//case//29 eller//KN//cc//28 från//PP//conj//26 tävling//NN|UTR|SIN|IND|NOM//nmod//25 kan//VB|PRS|AKT//aux//31 undantas//VB|INF|SFO//ROOT//31 .//MAD//punct//31
Förslag från kapitel 4;Sjö-//NN|UTR|-|-|SMS//nsubj:pass//26 och//KN//cc//2 järnvägstransporter//NN|UTR|PLU|IND|NOM//conj//0 som//HP|-|-|-//nsubj//4 innebär//VB|PRS|AKT//acl:relcl//2 att//SN//mark//7 djuren//NN|NEU|PLU|DEF|NOM//nsubj:pass//7 lastas//VB|PRS|SFO//ccomp//4 av//PL//mark//10 bör//VB|PRS|AKT//aux//10 begränsas//VB|INF|SFO//advcl//7 till//PP//case//14 max//NN|UTR|SIN|IND|NOM//advmod//13 48//RG|NOM//nummod//14 timmar//NN|UTR|PLU|IND|NOM//obl//10 för//PP//case//17 alla//DT|UTR/NEU|PLU|IND/DEF//det//17 djur//NN|NEU|PLU|IND|NOM//nmod//14 som//HP|-|-|-//nsubj:pass//19 omfattas//VB|PRS|SFO//acl:relcl//17 av//PP//case//21 djurtransportdirektivet//NN|NEU|SIN|DEF|NOM//obl:agent//19 .//MAD//punct//0
Förslag från kapitel 4;I//PP//case//25 denna//DT|UTR|SIN|DEF//det//25 tid//NN|UTR|SIN|IND|NOM//obl//26 inkluderas//VB|PRS|SFO//ROOT//26 transport//NN|UTR|SIN|IND|NOM//nsubj:pass//26 till//PP//case//31 och//KN//cc//30 från//PP//conj//28 fartyg//NN|NEU|PLU|IND|NOM//obl//26 eller//KN//cc//33 tåg//NN|NEU|PLU|IND|NOM//conj//31 samt//KN//cc//36 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//36 av-//AB|SMS//conj//31 och//KN//cc//38 pålastningar//NN|UTR|PLU|IND|NOM//conj//36 ,//MID//punct//26 om//SN//mark//42 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//42 företas//VB|PRS|SFO//advcl//26 inom//PP//case//45 samma//DT|UTR/NEU|SIN/PLU|IND//det//45 treveckorsperiod//NN|UTR|SIN|IND|NOM//obl//42 .//MAD//punct//26
Förslag från kapitel 4;Förhållanden//NN|NEU|PLU|IND|NOM//ROOT//0 i//PP//case//2 transportmedlet//NN|NEU|SIN|DEF|NOM//nmod//0
Förslag från kapitel 4;Den//DT|UTR|SIN|DEF//det//4 optimala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 och//KN//cc//3 eftersträvansvärda//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//1 temperaturen//NN|UTR|SIN|DEF|NOM//nsubj//11 för//PP//case//7 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 hästar//NN|UTR|PLU|IND|NOM//nmod//4 ,//MID//punct//9 nötkreatur//NN|NEU|PLU|IND|NOM//conj//7 ,//MID//punct//11 får//NN|NEU|PLU|IND|NOM//ROOT//11 ,//MID//punct//13 getter//NN|UTR|PLU|IND|NOM//conj//11 och//KN//cc//15 grisar//NN|UTR|PLU|IND|NOM//conj//11 i//PP//case//17 fordonet//NN|NEU|SIN|DEF|NOM//nmod//15 är//VB|PRS|AKT//conj//11 mellan//PP//case//20 10//RG|NOM//nummod//21 o//NN|AN//nummod//25 C//PM|NOM//flat:name//21 och//KN//cc//24 20//RG|NOM//conj//21 o//KN//punct//11 C.//PM|NOM//flat:name//25 För//PP//case//28 kalvar//NN|UTR|PLU|IND|NOM//obl//25 ,//MID//punct//30 smågrisar//NN|UTR|PLU|IND|NOM//conj//28 ,//MID//punct//32 lamm//NN|NEU|PLU|IND|NOM//conj//28 ,//MID//punct//34 killingar//NN|UTR|PLU|IND|NOM//conj//28 och//KN//cc//36 fjäderfän//NN|NEU|PLU|IND|NOM//conj//28 ligger//VB|PRS|AKT//conj//11 det//DT|NEU|SIN|DEF//det//42 optimala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//42 och//KN//cc//41 eftersträvansvärda//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//39 temperaturintervallet//NN|NEU|SIN|DEF|NOM//nsubj//37 mellan//PP//case//44 15//RG|NOM//nummod//45 o//KN//nummod//49 C//PM|NOM//flat:name//45 och//KN//cc//48 20//RG|NOM//conj//45 o//KN//conj//11 C.//PM|NOM//flat:name//49 Den//DT|UTR|SIN|DEF//det//53 maximala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 temperaturen//NN|UTR|SIN|DEF|NOM//nsubj//58 i//PP//case//55 transportmedlet//NN|NEU|SIN|DEF|NOM//nmod//53 bör//VB|PRS|AKT//aux//58 inte//AB//advmod//58 överstiga//VB|INF|AKT//conj//11 25//RG|NOM//nummod//60 o//KN//conj//11 C.//PM|NOM//flat:name//60
Förslag från kapitel 4;Lastutrymmet//NN|NEU|SIN|DEF|NOM//nsubj//3 bör//VB|PRS|AKT//aux//3 vara//VB|INF|AKT//aux:pass//3 utrustat//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 med//PP//case//5 temperaturmätare//NN|UTR|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//7 går//VB|PRS|AKT//acl:relcl//5 att//IE//mark//9 avläsa//VB|INF|AKT//xcomp//7 från//PP//case//11 förarhytten//NN|UTR|SIN|DEF|NOM//obl//9 .//MAD//punct//3
Förslag från kapitel 4;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 transportfordon//NN|NEU|PLU|IND|NOM//nsubj:pass//12 för//PP//case//4 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 djur//NN|NEU|PLU|IND|NOM//nmod//1 bör//VB|PRS|AKT//aux//12 ,//MID//punct//7 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//12 av//PP//case//10 transporttidens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 längd//NN|UTR|SIN|IND|NOM//nmod//7 ,//MID//punct//7 utrustas//VB|INF|SFO//ROOT//12 med//PP//case//14 temperaturregleringssystem//NN|NEU|PLU|IND|NOM//obl//12 och//KN//cc//16 ventilationssystem//NN|NEU|PLU|IND|NOM//conj//14 som//HP|-|-|-//nsubj//19 kan//VB|PRS|AKT//aux//19 fungera//VB|INF|AKT//acl:relcl//16 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//19 från//PP//case//23 motorernas//NN|UTR|PLU|DEF|GEN//nmod:poss//23 funktion//NN|UTR|SIN|IND|NOM//obl//19 under//PP//case//26 10//RG|NOM//nummod//26 timmar//NN|UTR|PLU|IND|NOM//obl//19 för//PP//case//28 vägfordon//NN|NEU|PLU|IND|NOM//nmod//26 och//KN//cc//32 under//PP//case//32 24//RG|NOM//nummod//32 timmar//NN|UTR|PLU|IND|NOM//conj//28 för//PP//case//34 vattenfarkoster//NN|UTR|PLU|IND|NOM//nmod//32 och//KN//cc//36 tåg//NN|NEU|PLU|IND|NOM//conj//34 .//MAD//punct//12
Förslag från kapitel 4;Bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj//40 bör//VB|PRS|AKT//aux//40 gälla//VB|INF|AKT//parataxis//12 alla//DT|UTR/NEU|PLU|IND/DEF//det//43 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 fordon//NN|NEU|PLU|IND|NOM//obj//40 vars//HS|DEF//nmod:poss//45 totalvikt//NN|UTR|SIN|IND|NOM//nsubj//46 överstiger//VB|PRS|AKT//acl:relcl//43 3,5//RG|NOM//nummod//48 ton//NN|NEU|PLU|IND|NOM//obj//46 .//MAD//punct//12
Förslag från kapitel 4;"Den//DT|UTR|SIN|DEF//det//2 relativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 luftfuktigheten//NN|UTR|SIN|DEF|NOM//nsubj//7 i//PP//case//4 djurutrymmet//NN|NEU|SIN|DEF|NOM//nmod//2 bör//VB|PRS|AKT//aux//7 inte//AB//advmod//7 överstiga//VB|INF|AKT//ROOT//7 85//RG|NOM//nummod//9 procent//NN|UTR|PLU|IND|NOM//obj//7 ;//MID//punct//7"
