11 Regleringar och regleringsmyndigheter ;Branscher//NN|UTR|PLU|IND|NOM//nsubj//5 och//KN//cc//3 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 företag//NN|NEU|PLU|IND|NOM//conj//0 är//VB|PRS|AKT//cop//5 föremål//NN|NEU|PLU|IND|NOM//ROOT//5 för//PP//case//10 en//DT|UTR|SIN|IND//det//8 mängd//NN|UTR|SIN|IND|NOM//nmod//10 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 regleringar//NN|UTR|PLU|IND|NOM//nmod//5 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;I//PP//case//75 avsnitt//NN|NEU|SIN|IND|NOM//nmod//75 11.5//RG|NOM//obl//76 redovisas//VB|PRS|SFO//parataxis//61 hur//HA//advmod//81 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 regleringsmyndigheter//NN|NEU|PLU|IND|NOM//nsubj//81 är//VB|PRS|AKT//cop//81 utformade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//76 .//MAD//punct//61
11 Regleringar och regleringsmyndigheter ;Avsnitt//NN|NEU|SIN|IND|NOM//nmod//84 11.6//RG|NOM//nsubj//85 innehåller//VB|PRS|AKT//parataxis//61 en//DT|UTR|SIN|IND//det//88 kort//JJ|POS|UTR|SIN|IND|NOM//amod//88 redovisning//NN|UTR|SIN|IND|NOM//obj//85 av//PP//mark//95 hur//HA//advmod//95 verksamheterna//NN|UTR|PLU|DEF|NOM//nsubj//95 i//PP//case//93 Sverige//PM|NOM//nmod//91 är//VB|PRS|AKT//cop//95 reglerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//88 .//MAD//punct//85
11 Regleringar och regleringsmyndigheter ;I//PP//case//99 avsnitt//NN|NEU|SIN|IND|NOM//nmod//99 11.7//RG|NOM//obl//100 diskuteras//VB|PRS|SFO//parataxis//85 vad//HP|NEU|SIN|IND//dislocated//104 som//HP|-|-|-//nsubj:pass//104 ska//VB|PRS|AKT//aux//104 regleras//VB|INF|SFO//ccomp//100 .//MAD//punct//100
11 Regleringar och regleringsmyndigheter ;Avsnitt//NN|NEU|SIN|IND|NOM//nmod//107 11.8//RG|NOM//nsubj//108 innehåller//VB|PRS|AKT//parataxis//100 en//DT|UTR|SIN|IND//det//110 analys//NN|UTR|SIN|IND|NOM//obj//108 om//PP//case//112 sambanden//NN|NEU|PLU|DEF|NOM//nmod//110 mellan//PP//case//114 konkurrenslagstiftning//NN|UTR|SIN|IND|NOM//nmod//112 och//KN//cc//118 mer//AB|KOM//advmod//117 sektorspecifik//JJ|POS|UTR|SIN|IND|NOM//amod//118 lagstiftning//NN|UTR|SIN|IND|NOM//conj//114 .//MAD//punct//108
11 Regleringar och regleringsmyndigheter ;I//PP//case//122 avsnitt//NN|NEU|SIN|IND|NOM//nmod//122 11.9//RG|NOM//obl//123 diskuteras//VB|PRS|SFO//parataxis//108 konkurrens//NN|UTR|SIN|IND|NOM//nsubj:pass//123 och//KN//cc//126 förtroende//NN|NEU|SIN|IND|NOM//conj//124 .//MAD//punct//123
11 Regleringar och regleringsmyndigheter ;Avslutningsvis//AB//nsubj:pass//129 redovisas//VB|PRS|SFO//parataxis//123 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//131 bedömningar//NN|UTR|PLU|IND|NOM//nsubj:pass//129 och//KN//cc//133 förslag//NN|NEU|PLU|IND|NOM//conj//131 i//PP//case//136 avsnitt//NN|NEU|SIN|IND|NOM//nmod//136 11.10//RG|NOM//nmod//133 .//MAD//punct//129
11 Regleringar och regleringsmyndigheter ;11.1//RG|NOM//nmod//139 Inledning//NN|UTR|SIN|IND|NOM//appos//129
11 Regleringar och regleringsmyndigheter ;I//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//3 nätverksindustrier//NN|UTR|PLU|IND|NOM//obl//7 i//PP//case//6 flertalet//NN|NEU|SIN|DEF|NOM//nmod//6 länder//NN|NEU|PLU|IND|NOM//nmod//3 har//VB|PRS|AKT//aux//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 under//PP//case//11 lång//JJ|POS|UTR|SIN|IND|NOM//amod//11 tid//NN|UTR|SIN|IND|NOM//obl//12 funnits//VB|SUP|SFO//ROOT//12 ett//DT|NEU|SIN|IND//det//17 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 ,//MID//punct//16 vertikalt//AB|POS//conj//14 integrerat//PC|PRF|NEU|SIN|IND|NOM//xcomp//12 ,//MID//punct//20 ofta//AB|POS//advmod//20 statligt//JJ|POS|NEU|SIN|IND|NOM//conj//12 ,//MID//punct//22 företag//NN|NEU|SIN|IND|NOM//conj//20 .//MAD//punct//12
11 Regleringar och regleringsmyndigheter ;Den//DT|UTR|SIN|DEF//det//26 främsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//26 orsaken//NN|UTR|SIN|DEF|NOM//nsubj//31 till//PP//case//28 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//26 är//VB|PRS|AKT//cop//31 en//DT|UTR|SIN|IND//det//31 kombination//NN|UTR|SIN|IND|NOM//parataxis//12 av//PP//case//33 skalfördelar//NN|UTR|PLU|IND|NOM//nmod//31 i//PP//case//35 transportnätet//NN|NEU|SIN|DEF|NOM//nmod//33 och//KN//cc//38 vertikala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 samordningsvinster//NN|UTR|PLU|IND|NOM//conj//35 mellan//PP//case//40 produktion//NN|UTR|SIN|IND|NOM//nmod//38 och//KN//cc//42 transport//NN|UTR|SIN|IND|NOM//conj//40 (//PAD//punct//12 se//VB|IMP|AKT//parataxis//12 kapitel//NN|NEU|SIN|IND|NOM//nmod//46 3//RG|NOM//obj//44 )//PAD//punct//12 .//MAD//punct//12
11 Regleringar och regleringsmyndigheter ;Vanligen//AB//advmod//55 har//VB|PRS|AKT//aux//55 det//DT|NEU|SIN|DEF//det//53 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 företaget//NN|NEU|SIN|DEF|NOM//nsubj//55 också//AB//advmod//55 ansvarat//VB|SUP|AKT//parataxis//12 för//PP//case//57 uppbyggnaden//NN|UTR|SIN|DEF|NOM//obl//55 av//PP//case//59 infrastrukturen//NN|UTR|SIN|DEF|NOM//nmod//57 .//MAD//punct//12
11 Regleringar och regleringsmyndigheter ;Med//PP//case//1 tiden//NN|UTR|SIN|DEF|NOM//obl//2 har//VB|PRS|AKT//aux//8 emellertid//AB//advmod//2 efterfrågetillväxt//NN|UTR|SIN|IND|NOM//obj//2 och//KN//cc//7 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//7 utveckling//NN|UTR|SIN|IND|NOM//conj//4 skapat//VB|SUP|AKT//ROOT//8 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 förutsättningar//NN|UTR|PLU|IND|NOM//obj//8 som//HP|-|-|-//nsubj//12 gör//VB|PRS|AKT//acl:relcl//10 att//SN//mark//21 den//DT|UTR|SIN|DEF//det//16 traditionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 strukturen//NN|UTR|SIN|DEF|NOM//nsubj//21 inte//AB//advmod//18 längre//AB|KOM//advmod//21 är//VB|PRS|AKT//cop//21 den//DT|UTR|SIN|DEF//det//21 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//ccomp//12 för//PP//mark//24 att//IE//mark//24 främja//VB|INF|AKT//advcl//21 effektivitet//NN|UTR|SIN|IND|NOM//obj//24 och//KN//cc//28 låga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 priser//NN|NEU|PLU|IND|NOM//conj//25 .//MAD//punct//8
11 Regleringar och regleringsmyndigheter ;Utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//32 har//VB|PRS|AKT//aux//32 skapat//VB|SUP|AKT//conj//8 förutsättningar//NN|UTR|PLU|IND|NOM//obj//32 för//PP//case//36 en//DT|UTR|SIN|IND//det//36 branschstruktur//NN|UTR|SIN|IND|NOM//nmod//33 där//HA//advmod//39 infrastrukturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//39 bedrivs//VB|PRS|SFO//acl:relcl//36 som//KN//mark//43 ett//DT|NEU|SIN|IND//det//43 naturligt//JJ|POS|NEU|SIN|IND|NOM//amod//43 monopol//NN|NEU|SIN|IND|NOM//xcomp//39 ,//MID//punct//32 medan//SN//mark//53 produktion//NN|UTR|SIN|IND|NOM//nsubj//53 ///MID//cc//48 import//NN|UTR|SIN|IND|NOM//conj//46 och//KN//cc//50 försäljning//NN|UTR|SIN|IND|NOM//conj//46 till//PP//case//52 slutförbrukare//NN|UTR|PLU|IND|NOM//nmod//46 sker//VB|PRS|AKT//advcl//32 i//PP//case//55 konkurrens//NN|UTR|SIN|IND|NOM//obl//53 och//KN//cc//59 under//PP//case//59 fri//JJ|POS|UTR|SIN|IND|NOM//amod//59 prisbildning//NN|UTR|SIN|IND|NOM//conj//55 .//MAD//punct//32
11 Regleringar och regleringsmyndigheter ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//63 har//VB|PRS|AKT//aux//63 blivit//VB|SUP|AKT//conj//32 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//63 att//IE//mark//66 få//VB|INF|AKT//advcl//63 till//PP//compound:prt//66 stånd//NN|NEU|SIN|IND|NOM//fixed//67 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//70 inslag//NN|NEU|PLU|IND|NOM//obj//66 av//PP//case//72 konkurrens//NN|UTR|SIN|IND|NOM//nmod//70 även//AB//advmod//75 inom//PP//case//75 nätverksindustrierna//NN|UTR|PLU|DEF|NOM//obl//66 (//PAD//punct//63 Bergman//PM|NOM//appos//63 m.fl.//AB|AN//cc//77 1999//RG|NOM//nummod//77 )//PAD//punct//63 .//MAD//punct//63
11 Regleringar och regleringsmyndigheter ;Blandningen//NN|UTR|SIN|DEF|NOM//nsubj//6 av//PP//case//2 monopol//NN|NEU|SIN|IND|NOM//nmod//0 och//KN//cc//5 konkurrensutsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 verksamheter//NN|UTR|PLU|IND|NOM//conj//2 ställer//VB|PRS|AKT//ROOT//6 emellertid//AB//advmod//6 lagstiftaren//NN|UTR|SIN|DEF|NOM//obj//6 och//KN//cc//12 ///MID//cc//12 eller//KN//cc//12 regleringsmyndigheterna//NN|UTR|PLU|DEF|NOM//conj//8 inför//PP//case//16 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 svårigheter//NN|UTR|PLU|IND|NOM//nmod//12 ,//MID//punct//6 t.ex.//AB|AN//advmod//19 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//appos//6 (//PAD//punct//19 Bergman//PM|NOM//appos//19 m.fl.//AB|AN//flat//21 1999//RG|NOM//nummod//21 )//PAD//punct//19 ://MAD//punct//6
11 Regleringar och regleringsmyndigheter ;•//PP//punct//3 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 måste//VB|PRS|AKT//aux//3 avgöras//VB|INF|SFO//ROOT//3 vilka//HD|UTR/NEU|PLU|IND//det//5 verksamheter//NN|UTR|PLU|IND|NOM//nsubj:pass//3 som//HP|-|-|-//nsubj//15 med//PP//case//13 hänsyn//NN|UTR|SIN|IND|NOM//fixed//7 till//PP//case//13 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 och//KN//cc//12 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//10 faktorer//NN|UTR|PLU|IND|NOM//obl//15 bör//VB|PRS|AKT//aux//15 höra//VB|INF|AKT//acl:relcl//5 till//PP//case//21 branschens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 monopolistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 respektive//AB//amod//21 konkurrensutsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//21 delar//NN|UTR|PLU|IND|NOM//obl//15 .//MAD//punct//3
11 Regleringar och regleringsmyndigheter ;•//NN|UTR|SIN|IND|NOM//nsubj:pass//14 För//PP//mark//3 att//IE//mark//3 undvika//VB|INF|AKT//advcl//14 korssubventionering//NN|UTR|SIN|IND|NOM//obj//3 och//KN//cc//7 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 former//NN|UTR|PLU|IND|NOM//conj//4 av//PP//case//9 konkurrensbegränsningar//NN|UTR|PLU|IND|NOM//nmod//7 måste//VB|PRS|AKT//aux//14 de//DT|UTR/NEU|PLU|DEF//det//13 två//RG|NOM//nummod//13 verksamhetsgrenarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//14 hållas//VB|INF|SFO//ROOT//14 åtskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//14 .//MAD//punct//14
11 Regleringar och regleringsmyndigheter ;•//PP//punct//3 Monopolverksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 måste//VB|PRS|AKT//aux//3 regleras//VB|INF|SFO//ROOT//3 för//PP//mark//6 att//IE//mark//6 undvika//VB|INF|AKT//advcl//3 överpriser//NN|UTR|PLU|IND|NOM//obj//6 och//KN//cc//9 låg//JJ|POS|UTR|SIN|IND|NOM//conj//6 effektivitet//NN|UTR|SIN|IND|NOM//obj//9 .//MAD//punct//3
11 Regleringar och regleringsmyndigheter ;•//PP//discourse//3 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 måste//VB|PRS|AKT//aux//3 utformas//VB|INF|SFO//ROOT//3 regler//NN|UTR|PLU|IND|NOM//obj//3 för//PP//case//6 tillträde//NN|NEU|SIN|IND|NOM//nmod//4 till//PP//case//8 systemen//NN|NEU|PLU|DEF|NOM//nmod//6 .//MAD//punct//3
11 Regleringar och regleringsmyndigheter ;Som//KN//mark//1 framgått//VB|SUP|AKT//advcl//5 av//PP//case//4 kapitel//NN|NEU|SIN|IND|NOM//nmod//4 3//RG|NOM//obl//1 finns//VB|PRS|SFO//ROOT//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 ett//DT|NEU|SIN|IND//det//8 antal//NN|NEU|SIN|IND|NOM//nmod//9 modeller//NN|UTR|PLU|IND|NOM//nsubj//5 för//PP//mark//12 att//IE//mark//12 hantera//VB|INF|AKT//acl//9 dessa//DT|UTR/NEU|PLU|DEF//det//14 problem//NN|NEU|PLU|IND|NOM//obj//12 ,//MID//punct//18 eller//KN//cc//18 egentligen//AB//advmod//18 flaskhalsproblemet//NN|NEU|SIN|DEF|NOM//conj//12 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;Modellerna//NN|UTR|PLU|DEF|NOM//nsubj//21 har//VB|PRS|AKT//parataxis//5 alla//DT|UTR/NEU|PLU|IND/DEF//det//24 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//24 för-//NN|UTR|-|-|SMS//obj//21 och//KN//cc//26 nackdelar//NN|UTR|PLU|IND|NOM//conj//24 ,//MID//punct//29 vilket//HP|NEU|SIN|IND//nsubj:pass//29 beskrivits//VB|SUP|SFO//advcl//21 kortfattat//AB//advmod//29 i//PP//case//33 samma//DT|UTR/NEU|SIN/PLU|IND//det//33 kapitel//NN|NEU|SIN|IND|NOM//obl//29 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;Oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//5 av//PP//case//2 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//0 måste//VB|PRS|AKT//aux//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 skapas//VB|INF|SFO//ROOT//5 en//DT|UTR|SIN|IND//det//7 lagstiftning//NN|UTR|SIN|IND|NOM//nsubj:pass//5 vars//HS|DEF//nmod:poss//9 syfte//NN|NEU|SIN|IND|NOM//nsubj//10 är//VB|PRS|AKT//conj//5 att//IE//mark//12 skapa//VB|INF|AKT//ccomp//10 förutsättningar//NN|UTR|PLU|IND|NOM//obj//12 för//PP//case//15 konkurrens//NN|UTR|SIN|IND|NOM//nmod//13 och//KN//cc//18 därigenom//AB//advmod//18 motverka//VB|INF|AKT//conj//12 marknadsmakt//NN|UTR|SIN|IND|NOM//obj//18 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;Normalt//AB|POS//advmod//22 brukar//VB|PRS|AKT//parataxis//5 parlament//NN|NEU|SIN|IND|NOM//nsubj//22 och//KN//cc//25 regering//NN|UTR|SIN|IND|NOM//conj//23 delegera//VB|INF|AKT//xcomp//22 de//DT|UTR/NEU|PLU|DEF//det//29 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 uppgifterna//NN|UTR|PLU|DEF|NOM//obj//26 till//PP//case//32 en//DT|UTR|SIN|IND//det//32 reglerings-//NN|UTR|-|-|SMS//obl//26 och//KN//cc//34 ///MID//conj//32 eller//KN//cc//36 tillsynsmyndighet//NN|UTR|SIN|IND|NOM//conj//34 .//MAD//punct//22
11 Regleringar och regleringsmyndigheter ;Den//DT|UTR|SIN|DEF//det//39 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//appos//22 brukar//VB|PRS|AKT//conj//5 också//AB//advmod//40 kunna//VB|INF|AKT//aux//43 utfärda//VB|INF|AKT//xcomp//40 tillämpningsföreskrifter//NN|UTR|PLU|IND|NOM//obj//43 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;Regleringar//NN|UTR|PLU|IND|NOM//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 definieras//VB|INF|SFO//ROOT//2 som//KN//case//5 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 instrument//NN|NEU|PLU|IND|NOM//obl//2 som//KN//obj//12 riksdag//NN|UTR|SIN|IND|NOM//nsubj//12 ,//MID//punct//9 regering//NN|UTR|SIN|IND|NOM//conj//7 och//KN//cc//11 myndigheter//NN|UTR|PLU|IND|NOM//conj//7 använder//VB|PRS|AKT//acl:relcl//5 för//PP//mark//15 att//IE//mark//15 försöka//VB|INF|AKT//advcl//12 styra//VB|INF|AKT//xcomp//15 företags//NN|NEU|PLU|IND|GEN//obj//16 ,//MID//punct//19 individers//NN|UTR|PLU|IND|GEN//conj//17 och//KN//cc//21 myndigheters//NN|UTR|PLU|IND|GEN//conj//17 beteende//NN|NEU|SIN|IND|NOM//conj//17 .//MAD//punct//2
11 Regleringar och regleringsmyndigheter ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//25 handlar//VB|PRS|AKT//parataxis//2 främst//AB|SUV//advmod//25 om//PP//case//28 lagar//NN|UTR|PLU|IND|NOM//obl//25 ,//MID//punct//30 förordningar//NN|UTR|PLU|IND|NOM//conj//28 ,//MID//punct//32 direktiv//NN|NEU|PLU|IND|NOM//conj//28 och//KN//cc//34 föreskrifter//NN|UTR|PLU|IND|NOM//conj//28 .//MAD//punct//2
