Till statsrådet Lars-Erik Lövdén ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obl//6 1998//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 chefen//NN|UTR|SIN|DEF|NOM//obj//6 för//PP//case//10 Inrikesdepartementet//NN|NEU|SIN|DEF|NOM//nmod//8 ,//MID//punct//6 statsrådet//NN|NEU|SIN|DEF|NOM//appos//6 Engqvist//PM|NOM//flat//12 ,//MID//punct//12 att//IE//mark//16 tillkalla//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//19 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//19 utredare//NN|UTR|SIN|IND|NOM//obj//16 för//PP//mark//22 att//IE//mark//22 göra//VB|INF|AKT//advcl//16 en//DT|UTR|SIN|IND//det//24 översyn//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//27 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 tillsyn//NN|UTR|SIN|IND|NOM//nmod//24 över//PP//case//29 fastighetsmäklare//NN|UTR|PLU|IND|NOM//nmod//27 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 för//PP//case//7 en//DT|UTR|SIN|IND//det//7 översyn//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//10 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 tillsyn//NN|UTR|SIN|IND|NOM//nmod//7 över//PP//case//12 fastighetsmäklare//NN|UTR|PLU|IND|NOM//nmod//10 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//3 Fastighetsmäklarlagen//PM|NOM//nsubj:pass//1 –//PAD//punct//6 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 tillsyn//NN|UTR|SIN|IND|NOM//conj//3 (//PAD//punct//6 SOU//PM|NOM//conj//3 1999:35//RG|NOM//conj//3 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//15 är//VB|PRS|AKT//aux:pass//15 därmed//AB//advmod//15 avslutat//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//15
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 1999//RG|NOM//nummod//2
Till statsrådet Lars-Erik Lövdén ;Maria//PM|NOM//ROOT//0 Renmyr//PM|NOM//flat//0 ///MID//cc//3 Kajsa//PM|NOM//conj//0 Fernqvist//PM|NOM//flat:name//3

6 Förslag till förändrat arbetssätt för Fastighetsmäklarnämnden .49;9.3.1//RG|NOM//ROOT//0 Eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//3 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 förändring//NN|UTR|SIN|IND|NOM//nsubj//0 av//PP//case//5 finansierings-//NN|UTR|-|-|SMS//nmod//3


1.1 Direktiven;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 1998//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 göra//VB|INF|AKT//advcl//7 en//DT|UTR|SIN|IND//det//15 översyn//NN|UTR|SIN|IND|NOM//obj//13 av//PP//case//18 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 tillsyn//NN|UTR|SIN|IND|NOM//obl//13 över//PP//case//20 fastighetsmäklare//NN|UTR|PLU|IND|NOM//obl//13 och//KN//cc//24 att//IE//mark//24 även//AB//advmod//24 överväga//VB|INF|AKT//conj//13 lämplig//JJ|POS|UTR|SIN|IND|NOM//amod//26 form//NN|UTR|SIN|IND|NOM//obj//24 för//PP//case//30 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 organisation//NN|UTR|SIN|IND|NOM//obl//24 och//KN//cc//32 finansiering//NN|UTR|SIN|IND|NOM//conj//30 i//PP//case//34 syfte//NN|NEU|SIN|IND|NOM//nmod//32 att//IE//mark//36 effektivisera//VB|INF|AKT//advcl//24 tillsynen//NN|UTR|SIN|DEF|NOM//obj//36 .//MAD//punct//1
1.1 Direktiven;Utredningsdirektiven//NN|NEU|PLU|DEF|NOM//nsubj//40 återfinns//VB|PRS|SFO//parataxis//1 i//PP//case//43 sin//PS|UTR|SIN|DEF//nmod:poss//43 helhet//NN|UTR|SIN|IND|NOM//obl//40 i//PP//case//45 bilaga//NN|UTR|SIN|IND|NOM//obl//40 1//RG|NOM//nummod//45 .//MAD//punct//40
1.1 Direktiven;1.1.1//RG|NOM//parataxis//40 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 tillsynsverksamhet//NN|UTR|SIN|IND|NOM//nmod//48
1.1 Direktiven;I//PP//case//1 uppdraget//NN|NEU|SIN|DEF|NOM//obl//3 har//VB|PRS|AKT//aux//3 legat//VB|SUP|AKT//ROOT//3 att//IE//mark//5 behandla//VB|INF|AKT//xcomp//3 de//DT|UTR/NEU|PLU|DEF//det//7 tillsynsinsatser//NN|UTR|PLU|IND|NOM//obj//5 som//HP|-|-|-//nsubj:pass//9 riktas//VB|PRS|SFO//acl:relcl//7 direkt//AB|POS//advmod//9 mot//PP//case//12 fastighetsmäklarna//NN|UTR|PLU|DEF|NOM//obl//9 .//MAD//punct//3
1.1 Direktiven;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//17 har//VB|PRS|AKT//aux//17 därvid//AB//advmod//17 haft//VB|SUP|AKT//parataxis//3 att//IE//mark//20 särskilt//AB//advmod//20 uppmärksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//17 frågor//NN|UTR|PLU|IND|NOM//obj//20 om//PP//mark//30 hur//HA//advmod//30 och//KN//cc//28 i//PP//case//27 vilken//HD|UTR|SIN|IND//det//27 omfattning//NN|UTR|SIN|IND|NOM//fixed//24 tillsynsarbetet//NN|NEU|SIN|DEF|NOM//fixed//23 skall//VB|PRS|AKT//aux//30 bedrivas//VB|INF|SFO//acl//21 samt//KN//cc//39 hur//HA//advmod//35 tillsynsinsatserna//NN|UTR|PLU|DEF|NOM//nsubj//35 skall//VB|PRS|AKT//aux//35 kunna//VB|INF|AKT//aux//39 i//PP//advmod//39 första//RO|NOM//fixed//36 hand//NN|UTR|SIN|IND|NOM//fixed//36 inriktas//VB|INF|SFO//conj//30 på//PP//case//41 situationer//NN|UTR|PLU|IND|NOM//obl//39 där//HA//advmod//44 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//44 finns//VB|PRS|SFO//acl:relcl//41 störst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//46 risk//NN|UTR|SIN|IND|NOM//nsubj//44 för//PP//case//48 skada//NN|UTR|SIN|IND|NOM//nmod//46 för//PP//case//50 konsumenten//NN|UTR|SIN|DEF|NOM//nmod//48 .//MAD//punct//17
1.1 Direktiven;Dessutom//AB//advmod//3 har//VB|PRS|AKT//aux//3 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 haft//VB|SUP|AKT//ROOT//3 att//IE//mark//5 titta//VB|INF|AKT//xcomp//3 på//PP//mark//16 hur//HA//advmod//16 ett//DT|NEU|SIN|IND//det//10 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//10 samarbete//NN|NEU|SIN|IND|NOM//nsubj:pass//16 med//PP//case//12 Rikspolisstyrelsen//PM|NOM//nmod//10 och//KN//cc//14 skattemyndigheterna//NN|UTR|PLU|DEF|NOM//conj//12 kan//VB|PRS|AKT//aux//16 främjas//VB|INF|SFO//advcl//5 ,//MID//punct//16 bl.a.//AB|AN//advmod//22 när//HA//case//22 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//19 gäller//VB|PRS|AKT//fixed//19 lämplighetsprövningen//NN|UTR|SIN|DEF|NOM//obl//16 så//SN//mark//27 att//SN//fixed//23 god//JJ|POS|UTR|SIN|IND|NOM//amod//26 fastighetsmäklarsed//NN|UTR|SIN|IND|NOM//nsubj:pass//27 uppnås//VB|PRS|SFO//advcl//16 och//KN//cc//29 upprätthålls//VB|PRS|SFO//conj//27 .//MAD//punct//3
1.1 Direktiven;Till//PP//case//1 tillsynsfrågorna//NN|UTR|PLU|DEF|NOM//obl//4 kan//VB|PRS|AKT//aux//4 även//AB//advmod//4 föras//VB|INF|SFO//ROOT//4 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 att//IE//mark//7 titta//VB|INF|AKT//xcomp//4 på//PP//mark//12 hur//HA//advmod//12 Fastighetsmäklarnämnden//NN|UTR|SIN|DEF|NOM//nsubj//12 skall//VB|PRS|AKT//aux//12 tillse//VB|INF|AKT//advcl//7 att//SN//mark//15 fastighetsmäklarna//NN|UTR|PLU|DEF|NOM//nsubj//15 har//VB|PRS|AKT//ccomp//12 en//DT|UTR|SIN|IND//det//18 god//JJ|POS|UTR|SIN|IND|NOM//amod//18 utbildning//NN|UTR|SIN|IND|NOM//obj//15 genom//PP//mark//21 att//IE//mark//21 bevaka//VB|INF|AKT//advcl//15 och//KN//cc//23 driva//VB|INF|AKT//conj//21 frågor//NN|UTR|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj//26 rör//VB|PRS|AKT//acl:relcl//24 utbildning//NN|UTR|SIN|IND|NOM//obj//26 ,//MID//punct//29 fortbildning//NN|UTR|SIN|IND|NOM//conj//27 samt//KN//cc//31 vidareutbildning//NN|UTR|SIN|IND|NOM//conj//27 av//PP//case//33 fastighetsmäklare//NN|UTR|PLU|IND|NOM//nmod//31 .//MAD//punct//4
1.1 Direktiven;1.1.2//RG|NOM//appos//4 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//38 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 organisation//NN|UTR|SIN|IND|NOM//nmod//35
1.1 Direktiven;I//PP//case//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 uppdrag//NN|NEU|SIN|IND|NOM//obl//4 har//VB|PRS|AKT//aux//4 ingått//VB|SUP|AKT//ROOT//4 att//IE//mark//6 göra//VB|INF|AKT//xcomp//4 en//DT|UTR|SIN|IND//det//8 översyn//NN|UTR|SIN|IND|NOM//obj//6 av//PP//case//12 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 organisation//NN|UTR|SIN|IND|NOM//nmod//8 .//MAD//punct//4
1.1 Direktiven;En//DT|UTR|SIN|IND//det//15 förändring//NN|UTR|SIN|IND|NOM//nsubj//19 av//PP//case//18 nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 organisation//NN|UTR|SIN|IND|NOM//nmod//15 trädde//VB|PRT|AKT//parataxis//4 i//PP//compound:prt//19 kraft//NN|UTR|SIN|IND|NOM//fixed//20 i//PP//case//23 princip//NN|UTR|SIN|IND|NOM//obl//19 samtidigt//AB//mark//27 som//HA//fixed//24 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//27 började//VB|PRT|AKT//advcl//19 arbeta//VB|INF|AKT//xcomp//27 i//PP//advmod//28 och//KN//fixed//29 med//PP//mark//34 att//SN//mark//34 Fastighetsmäklarnämnden//NN|UTR|SIN|DEF|NOM//nsubj//34 blev//VB|PRT|AKT//advcl//28 en//DT|UTR|SIN|IND//det//37 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//37 myndighet//NN|UTR|SIN|IND|NOM//xcomp//34 med//PP//case//40 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//40 chef//NN|UTR|SIN|IND|NOM//nmod//37 fr.o.m.//AB|AN//case//44 den//DT|UTR|SIN|DEF//det//44 1//RO|NOM//nummod//44 januari//NN|UTR|SIN|IND|NOM//obl//34 1999//RG|NOM//nummod//44 .//MAD//punct//4
1.1 Direktiven;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//50 har//VB|PRS|AKT//aux//50 naturligtvis//AB//advmod//50 inneburit//VB|SUP|AKT//parataxis//4 att//SN//mark//57 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//57 för//PP//case//56 ett//DT|NEU|SIN|IND//det//56 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 arbetssätt//NN|NEU|SIN|IND|NOM//nmod//52 förbättrats//VB|SUP|SFO//ccomp//50 .//MAD//punct//50
1.1 Direktiven;I//PP//case//60 utredningsuppdraget//NN|NEU|SIN|DEF|NOM//obl//64 har//VB|PRS|AKT//aux//64 legat//VB|SUP|AKT//aux//64 att//SN//mark//64 oaktat//PP//parataxis//50 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//64 överväga//VB|INF|AKT//xcomp//64 huruvida//SN//mark//77 en//DT|UTR|SIN|IND//det//70 annan//JJ|POS|UTR|SIN|IND|NOM//amod//70 form//NN|UTR|SIN|IND|NOM//nsubj//77 av//PP//case//72 organisation//NN|UTR|SIN|IND|NOM//nmod//70 av//PP//case//74 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//72 skulle//VB|PRT|AKT//aux//77 ytterligare//AB|KOM//advmod//77 förbättra//VB|INF|AKT//ccomp//66 nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//79 tillsynsverksamhet//NN|UTR|SIN|IND|NOM//obj//77 .//MAD//punct//50
1.1 Direktiven;Vidare//AB|KOM//advmod//84 har//VB|PRS|AKT//aux//84 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//84 haft//VB|SUP|AKT//parataxis//50 att//IE//mark//86 fundera//VB|INF|AKT//xcomp//84 på//PP//mark//93 hur//HA//advmod//93 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//93 i//PP//case//91 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//89 skall//VB|PRS|AKT//aux//93 organiseras//VB|INF|SFO//ccomp//86 med//PP//case//97 tanke//NN|UTR|SIN|IND|NOM//fixed//94 på//PP//fixed//94 bemanning//NN|UTR|SIN|IND|NOM//obl//93 och//KN//cc//99 arbetsuppgifter//NN|UTR|PLU|IND|NOM//conj//97 .//MAD//punct//50
1.1 Direktiven;1.1.3//RG|NOM//appos//50 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//103 finansiering//NN|UTR|SIN|IND|NOM//nmod//101
1.1 Direktiven;I//PP//case//1 uppdraget//NN|NEU|SIN|DEF|NOM//obl//5 har//VB|PRS|AKT//aux//5 legat//VB|SUP|AKT//aux//5 att//IE//mark//5 överväga//VB|INF|AKT//ROOT//5 lämplig//JJ|POS|UTR|SIN|IND|NOM//amod//7 form//NN|UTR|SIN|IND|NOM//obj//5 för//PP//case//9 finansiering//NN|UTR|SIN|IND|NOM//obl//5 av//PP//case//12 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 verksamhet//NN|UTR|SIN|IND|NOM//nmod//9 .//MAD//punct//5
1.1 Direktiven;Nämnden//NN|UTR|SIN|DEF|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 i//PP//advmod//18 dag//NN|UTR|SIN|IND|NOM//fixed//16 anslagsfinansierad//PC|PRF|UTR|SIN|IND|NOM//parataxis//5 via//PP//case//20 statsbudgeten//NN|UTR|SIN|DEF|NOM//obl//18 .//MAD//punct//5
1.1 Direktiven;För//PP//case//23 nämnden//NN|UTR|SIN|DEF|NOM//obl//24 gäller//VB|PRS|AKT//advcl//5 i//PP//case//26 princip//NN|UTR|SIN|IND|NOM//obl//24 full//JJ|POS|UTR|SIN|IND|NOM//amod//28 kostnadstäckning//NN|UTR|SIN|IND|NOM//obj//24 genom//PP//case//31 de//DT|UTR/NEU|PLU|DEF//det//31 avgifter//NN|UTR|PLU|IND|NOM//obl//24 fastighetsmäklarna//NN|UTR|PLU|DEF|NOM//nsubj//33 betalar//VB|PRS|AKT//acl:relcl//31 och//KN//cc//36 som//HP|-|-|-//nsubj:pass//36 tillförs//VB|PRS|SFO//conj//33 statskassan//NN|UTR|SIN|DEF|NOM//obj//36 .//MAD//punct//5
1.1 Direktiven;I//PP//case//40 utredningen//NN|UTR|SIN|DEF|NOM//obl//5 har//VB|PRS|AKT//advcl//5 frågan//NN|UTR|SIN|DEF|NOM//obj//41 om//PP//case//44 nämnden//NN|UTR|SIN|DEF|NOM//nmod//42 i//PP//advmod//51 stället//NN|NEU|SIN|DEF|NOM//fixed//45 borde//VB|PRT|AKT//aux//50 vara//VB|INF|AKT//cop//50 direkt//AB|POS//advmod//50 avgiftsfinansierad//PC|PRF|UTR|SIN|IND|NOM//nsubj:pass//51 behandlats//VB|SUP|SFO//advcl//5 .//MAD//punct//5

1.2 Arbetet med utredningen;Utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 bedrivits//VB|SUP|SFO//ROOT//2 under//PP//case//8 en//DT|UTR|SIN|IND//det//8 kort//JJ|POS|UTR|SIN|IND|NOM//amod//8 och//KN//cc//7 intensiv//JJ|POS|UTR|SIN|IND|NOM//conj//5 period//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
1.2 Arbetet med utredningen;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 sekreterare//NN|UTR|SIN|IND|NOM//nsubj//12 började//VB|PRT|AKT//parataxis//2 arbeta//VB|INF|AKT//xcomp//12 först//AB//advmod//13 den//DT|UTR|SIN|DEF//det//17 1//RO|NOM//nummod//17 januari//NN|UTR|SIN|IND|NOM//obl//13 1999//RG|NOM//nummod//17 vilket//HP|NEU|SIN|IND//nsubj//20 innebär//VB|PRS|AKT//acl:relcl//17 att//SN//mark//27 utredningstiden//NN|UTR|SIN|DEF|NOM//nsubj//27 i//PP//case//24 praktiken//NN|UTR|SIN|DEF|NOM//nmod//22 har//VB|PRS|AKT//aux//27 varit//VB|SUP|AKT//cop//27 två//RG|NOM//ccomp//20 och//KN//cc//31 en//DT|UTR|SIN|IND//det//31 halv//JJ|POS|UTR|SIN|IND|NOM//fixed//29 månad//NN|UTR|SIN|IND|NOM//conj//27 .//MAD//punct//17
1.2 Arbetet med utredningen;Några//DT|UTR/NEU|PLU|IND//det//34 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//40 eller//KN//cc//36 experter//NN|UTR|PLU|IND|NOM//conj//34 har//VB|PRS|AKT//aux//40 därför//AB//advmod//40 inte//AB//advmod//40 knutits//VB|SUP|SFO//acl:relcl//17 till//PP//case//42 utredningen//NN|UTR|SIN|DEF|NOM//obl//40 .//MAD//punct//17
1.2 Arbetet med utredningen;I//PP//advmod//48 stället//NN|NEU|SIN|DEF|NOM//fixed//44 har//VB|PRS|AKT//aux//48 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//48 hållits//VB|SUP|SFO//conj//2 en//DT|UTR|SIN|IND//det//50 hearing//NN|UTR|SIN|IND|NOM//obj//48 .//MAD//punct//48
1.2 Arbetet med utredningen;I//PP//case//55 den//PN|UTR|SIN|DEF|SUB/OBJ//det//55 deltog//VB|PRT|AKT//amod//55 representanter//NN|UTR|PLU|IND|NOM//obl//48 för//PP//case//57 fastighetsmäklarbranschen//NN|UTR|SIN|DEF|NOM//nmod//55 ,//MID//punct//59 myndigheter//NN|UTR|PLU|IND|NOM//conj//57 och//KN//cc//61 organisationer//NN|UTR|PLU|IND|NOM//conj//57 samt//KN//cc//63 regeringen//NN|UTR|SIN|DEF|NOM//conj//57 .//MAD//punct//48
1.2 Arbetet med utredningen;Deltagarlista//PM|NOM//nsubj//68 jämte//PP//case//67 minnesanteckningar//NN|UTR|PLU|IND|NOM//nmod//65 återfinns//VB|PRS|SFO//parataxis//48 i//PP//case//70 bilaga//NN|UTR|SIN|IND|NOM//obl//68 2//RG|NOM//nummod//68 .//MAD//punct//48
