KG HAMMAR  ,  ärkebiskopen, samtalsledare ;ELISABETH//PM|NOM//nmod//1 GERLE//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 präst//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//7 forskare//NN|UTR|PLU|IND|NOM//conj//5 vid//PP//case//10 teologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 institutionen//NN|UTR|SIN|DEF|NOM//nmod//7 i//PP//case//12 Lund//PM|NOM//nmod//10
Religion, konﬂikt och försoning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//3 är//VB|PRS|AKT//cop//3 denna//DT|UTR|SIN|DEF//det//3 spänning//NN|UTR|SIN|IND|NOM//ROOT//3 och//KN//cc//5 motsägelse//NN|UTR|SIN|IND|NOM//conj//3 jag//PN|UTR|SIN|DEF|SUB//nsubj//8 vill//VB|PRS|AKT//aux//8 få//VB|INF|AKT//acl:relcl//5 belyst//PC|PRF|UTR|SIN|IND|NOM//obj//8 på//PP//case//11 djupet//NN|NEU|SIN|DEF|NOM//obl//8 i//PP//case//14 vårt//PS|NEU|SIN|DEF//nmod:poss//14 samtal//NN|NEU|SIN|IND|NOM//obl//8 .//MAD//punct//3
Religion, konﬂikt och försoning;Vad//HP|NEU|SIN|IND//ROOT//0 är//VB|PRS|AKT//cop//0 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//0 som//HP|-|-|-//nsubj//4 sker//VB|PRS|AKT//acl:relcl//2 när//HA//mark//9 den//DT|UTR|SIN|DEF//det//8 religiösa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 tron//NN|UTR|SIN|DEF|NOM//nsubj//9 blir//VB|PRS|AKT//advcl//4 till//PP//case//12 ett//DT|NEU|SIN|IND//det//12 vapen//NN|NEU|SIN|IND|NOM//obl//9 mot//PP//case//15 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 människor//NN|UTR|PLU|IND|NOM//obl//9 ?//MID//punct//0
Religion, konﬂikt och försoning;Hur//HA//advmod//18 fördjupar//VB|PRS|AKT//parataxis//0 man//PN|UTR|SIN|IND|SUB//nsubj//18 förståelsen//NN|UTR|SIN|DEF|NOM//obj//18 av//PP//case//24 den//DT|UTR|SIN|DEF//det//24 religiösa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 tron//NN|UTR|SIN|DEF|NOM//nmod//20 så//SN//mark//28 att//SN//fixed//25 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//28 når//VB|PRS|AKT//advcl//18 djupskikten//NN|UTR|SIN|DEF|NOM//obj//28 ,//MID//punct//35 där//HA//advmod//35 försoning//NN|UTR|SIN|IND|NOM//nsubj//35 och//KN//cc//34 medmänsklighet//NN|UTR|SIN|IND|NOM//conj//32 dominerar//VB|PRS|AKT//acl:relcl//29 ?//MID//punct//0
Religion, konﬂikt och försoning;Är//VB|PRS|AKT//cop//42 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 över//PP//advmod//42 huvud//NN|NEU|SIN|IND|NOM//fixed//39 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//39 möjligt//JJ|POS|NEU|SIN|IND|NOM//nsubj//0 ?//MID//punct//0
Religion, konﬂikt och försoning;Eller//KN//cc//49 är//VB|PRS|AKT//cop//49 det//PN|NEU|SIN|DEF|SUB/OBJ//det//49 olika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 ”//RG|NOM//punct//49 religioner//NN|UTR|PLU|IND|NOM//conj//0 ”//PM|NOM//punct//49 som//HP|-|-|-//nsubj//53 bara//AB//advmod//53 har//VB|PRS|AKT//acl:relcl//49 namnet//NN|NEU|SIN|DEF|NOM//obj//53 gemensamt//AB|POS//advmod//53 ?//MID//punct//49
Religion, konﬂikt och försoning;Skulle//VB|PRT|AKT//aux//60 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//60 vara//VB|INF|AKT//cop//60 möjligt//JJ|POS|NEU|SIN|IND|NOM//conj//49 att//IE//mark//62 arbeta//VB|INF|AKT//csubj//60 förebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//62 i//PP//case//67 en//DT|UTR|SIN|IND//det//67 begynnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//67 konﬂiktsituation//NN|UTR|SIN|IND|NOM//obl//62 genom//PP//case//71 någon//DT|UTR|SIN|IND//det//71 ”//PAD//punct//71 fördjupningsmetodik//NN|UTR|SIN|IND|NOM//obl//62 ”//PM|NOM//punct//49 ?//MID//punct//49
Religion, konﬂikt och försoning;Är//VB|PRS|AKT//cop//78 sekularisering//NN|UTR|SIN|IND|NOM//nsubj//78 den//DT|UTR|SIN|DEF//det//78 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 utvägen//NN|UTR|SIN|DEF|NOM//conj//49 för//PP//mark//83 att//SN//mark//83 vi//PN|UTR|PLU|DEF|SUB//nsubj//83 ska//VB|PRS|AKT//aux//83 nå//VB|INF|AKT//acl//78 en//DT|UTR|SIN|IND//det//86 fredlig//JJ|POS|UTR|SIN|IND|NOM//amod//86 värld//NN|UTR|SIN|IND|NOM//obj//83 ?//MID//punct//49
Religion, konﬂikt och försoning;Eller//KN//cc//92 är//VB|PRS|AKT//cop//92 ”//PAD//punct//92 fördjupad//PC|PRF|UTR|SIN|IND|NOM//amod//92 religionsförståelse//NN|UTR|SIN|IND|NOM//conj//49 ”//PAD//punct//95 ett//DT|NEU|SIN|IND//det//95 alternativ//NN|NEU|SIN|IND|NOM//conj//92 ?//MAD//punct//49
Religion, konﬂikt och försoning;Under//PP//case//99 vilka//HD|UTR/NEU|PLU|IND//det//99 omständigheter//NN|UTR|PLU|IND|NOM//nmod//49 ?//MAD//punct//49
Religion, konﬂikt och försoning;Förutom//PP//case//1 KG//PM|NOM//nmod//2 Hammar//PM|NOM//nsubj//8 ,//MID//punct//2 ärkebiskopen//NN|UTR|SIN|DEF|NOM//appos//2 i//PP//case//6 Uppsala//PM|NOM//nmod//4 ,//MID//punct//2 deltar//VB|PRS|AKT//advcl//75 i//PP//case//10 samtalet//NN|NEU|SIN|DEF|NOM//nmod//11 Elisabeth//PM|NOM//obl//8 Gerle//PM|NOM//flat:name//11 ,//MID//punct//14 präst//NN|UTR|SIN|IND|NOM//conj//11 och//KN//cc//16 forskare//NN|UTR|PLU|IND|NOM//conj//11 vid//PP//case//19 teologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 institutionen//NN|UTR|SIN|DEF|NOM//nmod//16 i//PP//case//21 Lund//PM|NOM//nmod//19 och//KN//cc//23 projektledare//NN|UTR|SIN|IND|NOM//conj//21 för//PP//case//25 programmet//NN|NEU|SIN|DEF|NOM//nmod//23 för//PP//case//28 mänskliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 rättigheter//NN|UTR|PLU|IND|NOM//nmod//25 vid//PP//case//30 Malmö//PM|NOM//nmod//28 universitet//NN|NEU|SIN|IND|NOM//flat//30 .//MAD//punct//8
Religion, konﬂikt och försoning;Elisabeth//PM|NOM//nsubj//36 Gerle//PM|NOM//nsubj//36 har//VB|PRS|AKT//aux//36 doktorerat//VB|SUP|AKT//conj//8 i//PP//case//38 etik//NN|UTR|SIN|IND|NOM//obl//36 med//PP//case//41 en//DT|UTR|SIN|IND//det//41 avhandling//NN|UTR|SIN|IND|NOM//obl//36 ,//MID//punct//41 där//HA//advmod//45 hon//PN|UTR|SIN|DEF|SUB//nsubj//45 jämför//VB|PRS|AKT//acl:relcl//41 den//DT|UTR|SIN|DEF//det//48 etiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 proﬁlen//NN|UTR|SIN|DEF|NOM//obj//45 inom//PP//case//52 den//DT|UTR|SIN|DEF//det//52 ekumeniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 rörelsen//NN|UTR|SIN|DEF|NOM//obl//45 med//PP//case//55 de//DT|UTR/NEU|PLU|DEF//det//55 värderingar//NN|UTR|PLU|IND|NOM//nmod//52 som//HP|-|-|-//nsubj//58 var//VB|PRT|AKT//cop//58 vägledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//55 inom//PP//case//62 ett//DT|NEU|SIN|IND//det//62 sekulärt//JJ|POS|NEU|SIN|IND|NOM//amod//62 forsknings-//NN|UTR|-|-|SMS//obl//58 och//KN//cc//64 aktionsprojekt//NN|UTR|SIN|IND|NOM//conj//62 ,//MID//punct//66 World//PM|NOM//compound//69 Order//PM|NOM//nmod//68 Model//PM|NOM//compound//69 Project//PM|NOM//obj//36 (//PAD//punct//69 WOMP//PM|NOM//appos//69 )//PAD//punct//69 .//MAD//punct//36
Religion, konﬂikt och försoning;Deltar//VB|PRS|AKT//conj//36 gör//VB|PRS|AKT//ROOT//75 också//AB//advmod//75 Rienzie//PM|NOM//obj//75 Perera//PM|NOM//flat//77 ,//MID//punct//80 forskningschef//NN|UTR|SIN|IND|NOM//conj//77 på//PP//case//82 Life//PM|NOM//nmod//80 &//KN|AN//cc//84 Peaceinstitutet//NN|NEU|SIN|DEF|NOM//conj//77 i//PP//case//86 Uppsala//PM|NOM//nmod//84 .//MID//punct//77
Religion, konﬂikt och försoning;Rienzie//PM|NOM//nsubj//91 Perera//PM|NOM//flat//88 är//VB|PRS|AKT//cop//91 teolog//NN|UTR|SIN|IND|NOM//obj//75 och//KN//cc//93 tillhör//VB|PRS|AKT//conj//91 den//DT|UTR|SIN|DEF//det//96 anglikanska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//96 kyrkan//NN|UTR|SIN|DEF|NOM//obj//93 på//PP//case//99 Sri//PM|NOM//nmod:poss//99 Lanka//PM|NOM//obl//93 .//MID//punct//91
Religion, konﬂikt och försoning;Han//PN|UTR|SIN|DEF|SUB//nsubj//104 har//VB|PRS|AKT//aux//104 varit//VB|SUP|AKT//cop//104 aktiv//JJ|POS|UTR|SIN|IND|NOM//conj//91 i//PP//case//106 religionsdialogen//NN|UTR|SIN|DEF|NOM//obl//104 i//PP//case//108 Asien//PM|NOM//nmod//106 ,//MID//punct//104 främst//AB|SUV//advmod//112 i//PP//case//112 kontakten//NN|UTR|SIN|DEF|NOM//obl//104 med//PP//case//114 buddhister//NN|UTR|PLU|IND|NOM//nmod//112 .//MAD//punct//104
Religion, konﬂikt och försoning;Som//KN//case//117 generalsekreterare//NN|UTR|SIN|IND|NOM//obl//123 i//PP//case//122 Sri//PM|NOM//nmod:poss//120 Lankas//PM|GEN//nmod:poss//122 Kristna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//122 Råd//NN|NEU|SIN|IND|NOM//nmod//117 utvecklade//VB|PRT|AKT//conj//104 han//PN|UTR|SIN|DEF|SUB//nsubj//123 tillsammans//AB//advmod//130 med//PP//case//130 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//128 ordförande//NN|UTR|SIN|IND|NOM//nmod:poss//130 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//130 kontakter//NN|UTR|PLU|IND|NOM//obl//123 med//PP//case//133 såväl//KN//advmod//133 tamilgerillan//NN|UTR|SIN|DEF|NOM//obl//123 som//KN//case//135 regeringen//NN|UTR|SIN|DEF|NOM//nmod//133 .//MID//punct//104
Religion, konﬂikt och försoning;Magnus//PM|NOM//nsubj//145 Almgren//PM|NOM//flat:name//137 ,//MID//punct//137 den//DT|UTR|SIN|DEF//det//142 fjärde//RO|NOM//amod//142 samtalspartnern//NN|UTR|SIN|DEF|NOM//conj//137 ,//MID//punct//137 är//VB|PRS|AKT//cop//145 kompetensutvecklare//NN|UTR|PLU|IND|NOM//parataxis//104 på//PP//case//148 dataföretaget//NN|NEU|SIN|DEF|NOM//nmod//148 Scandinavian//PM|NOM//nmod//150 PC//NN|AN//compound//150 Systems//PM|NOM//nmod//145 .//MAD//punct//145
Religion, konﬂikt och försoning;Som//KN//case//153 mystiker//NN|UTR|SIN|IND|NOM//obj//154 ser//VB|PRS|AKT//conj//75 han//PN|UTR|SIN|DEF|SUB//nsubj//154 att//SN//mark//157 strävan//NN|UTR|SIN|DEF|NOM//nsubj//160 efter//PP//case//159 frid//NN|UTR|SIN|IND|NOM//nmod//157 ger//VB|PRS|AKT//ccomp//154 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//162 uppslag//NN|NEU|PLU|IND|NOM//obj//160 till//PP//case//164 fred//NN|UTR|SIN|IND|NOM//obl//160 i//PP//case//168 den//DT|UTR|SIN|DEF//det//168 yttre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//168 världen//NN|UTR|SIN|DEF|NOM//nmod//164 .//MAD//punct//75
Religion, konﬂikt och försoning;En//DT|UTR|SIN|IND//det//2 annan//JJ|POS|UTR|SIN|IND|NOM//amod//2 fråga//NN|UTR|SIN|IND|NOM//nsubj:pass//22 är//VB|PRS|AKT//cop//2 varför//HA//advmod//14 religion//NN|UTR|SIN|IND|NOM//nsubj//14 just//AB//advmod//14 vid//PP//case//10 den//DT|UTR|SIN|DEF//det//10 här//AB//fixed//8 tiden//NN|UTR|SIN|DEF|NOM//obl//14 i//PP//case//12 historien//NN|UTR|SIN|DEF|NOM//nmod//10 har//VB|PRS|AKT//aux//14 blivit//VB|SUP|AKT//csubj//2 ett//DT|NEU|SIN|IND//det//17 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//17 problem//NN|NEU|SIN|IND|NOM//xcomp//14 .//MAD//punct//2
Religion, konﬂikt och försoning;När//HA//mark//21 vi//PN|UTR|PLU|DEF|SUB//nsubj//21 hör//VB|PRS|AKT//advcl//22 talas//VB|INF|SFO//ROOT//22 om//PP//case//24 konﬂikter//NN|UTR|PLU|IND|NOM//obl//22 hör//VB|PRS|AKT//conj//22 vi//PN|UTR|PLU|DEF|SUB//nsubj//25 ofta//AB|POS//advmod//25 att//SN//mark//31 människor//NN|UTR|PLU|IND|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 levt//VB|SUP|AKT//ccomp//25 tillsammans//AB//advmod//34 i//PP//case//34 fred//NN|UTR|SIN|IND|NOM//obl//31 i//PP//case//36 generationer//NN|UTR|PLU|IND|NOM//nmod//34 och//KN//cc//41 sedan//AB//advmod//41 ,//MID//punct//41 på//PP//case//41 1990-talet//NN|NEU|SIN|DEF|NOM//conj//36 ,//MID//punct//43 blir//VB|PRS|AKT//parataxis//22 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//43 plötsligt//AB|POS//advmod//46 omöjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//43 att//IE//mark//48 leva//VB|INF|AKT//csubj//43 i//PP//case//50 fred//NN|UTR|SIN|IND|NOM//obl//48 .//MAD//punct//22
Religion, konﬂikt och försoning;Varför//HA//advmod//53 är//VB|PRS|AKT//parataxis//22 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//53 så//AB//advmod//53 ?//MID//punct//53
Religion, konﬂikt och försoning;Vad//HP|NEU|SIN|IND//nsubj//59 har//VB|PRS|AKT//aux//59 hänt//VB|SUP|AKT//parataxis//53 ?//MAD//punct//53
Religion, konﬂikt och försoning;En//DT|UTR|SIN|IND//det//2 tredje//RO|NOM//amod//2 fråga//NN|UTR|SIN|IND|NOM//nsubj//7 är//VB|PRS|AKT//cop//7 vilka//HD|UTR/NEU|PLU|IND//det//5 möjligheter//NN|UTR|PLU|IND|NOM//nmod//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 religioner//NN|UTR|PLU|IND|NOM//ROOT//7 och//KN//cc//11 vår//PS|UTR|SIN|DEF//nmod:poss//11 kristna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 religion//NN|UTR|SIN|IND|NOM//conj//7 har//VB|PRS|AKT//aux//15 för//PP//mark//15 att//IE//mark//15 fungera//VB|INF|AKT//conj//7 som//KN//case//19 en//DT|UTR|SIN|IND//det//19 försonande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 kraft//NN|UTR|SIN|IND|NOM//obl//15 .//MAD//punct//7
Religion, konﬂikt och försoning;Hur//HA//advmod//24 kan//VB|PRS|AKT//aux//24 religion//NN|UTR|SIN|IND|NOM//nsubj:pass//24 användas//VB|INF|SFO//parataxis//7 både//KN//cc//28 som//KN//case//28 ett//DT|NEU|SIN|IND//det//28 konﬂiktinstrument//NN|NEU|SIN|IND|NOM//xcomp//24 och//KN//cc//32 som//KN//case//32 ett//DT|NEU|SIN|IND//det//32 instrument//NN|NEU|SIN|IND|NOM//conj//28 för//PP//case//34 fred//NN|UTR|SIN|IND|NOM//nmod//32 och//KN//cc//36 försoning//NN|UTR|SIN|IND|NOM//conj//34 ?//MAD//punct//7

Religionens två ansikten;–//RG|NOM//punct//7 Hur//HA//advmod//7 har//VB|PRS|AKT//aux//7 Kristendomen//NN|UTR|SIN|DEF|NOM//nsubj//7 eller//KN//cc//6 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 religioner//NN|UTR|PLU|IND|NOM//conj//3 bidragit//VB|SUP|AKT//ROOT//7 till//PP//case//9 fred//NN|UTR|SIN|IND|NOM//obl//7 och//KN//cc//11 försoning//NN|UTR|SIN|IND|NOM//conj//9 under//PP//case//13 1900-talet//NN|NEU|SIN|DEF|NOM//nmod//11 ?//MID//punct//7
Religionens två ansikten;frågar//VB|PRS|AKT//parataxis//7 Rienzie//PM|NOM//nsubj//15 Perera//PM|NOM//xcomp//15 .//MAD//punct//7
Religionens två ansikten;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//3 är//VB|PRS|AKT//cop//3 ingen//DT|UTR|SIN|IND//det//3 tvekan//NN|UTR|SIN|IND|NOM//ROOT//3 om//PP//mark//20 att//IE//mark//20 bland//PP//case//9 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//9 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 bidrag//NN|NEU|PLU|IND|NOM//obl//20 till//PP//case//12 civilisationens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 framsteg//NN|NEU|PLU|IND|NOM//nmod//9 och//KN//cc//15 till//PP//case//15 lindrandet//NN|NEU|SIN|DEF|NOM//conj//12 av//PP//case//18 mänskligt//JJ|POS|NEU|SIN|IND|NOM//advmod//18 lidande//NN|NEU|SIN|IND|NOM//nmod//15 ,//MID//punct//9 har//VB|PRS|AKT//csubj//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//20 kollektivt//AB|POS//advmod//25 och//KN//cc//24 individuellt//AB|POS//conj//22 bidragit//VB|SUP|AKT//obj//20 till//PP//case//27 smärtan//NN|UTR|SIN|DEF|NOM//obl//25 och//KN//cc//29 våldet//NN|NEU|SIN|DEF|NOM//conj//27 på//PP//case//32 denna//DT|UTR|SIN|DEF//det//32 jord//NN|UTR|SIN|IND|NOM//nmod//29 .//MAD//punct//3
Religionens två ansikten;Religioner//NN|UTR|PLU|IND|NOM//nsubj//40 har//VB|PRS|AKT//aux//40 i//PP//case//38 några//DT|UTR/NEU|PLU|IND//det//38 situationer//NN|UTR|PLU|IND|NOM//obl//40 varit//VB|SUP|AKT//cop//40 orsaken//NN|UTR|SIN|DEF|NOM//parataxis//3 till//PP//case//42 våldet//NN|NEU|SIN|DEF|NOM//obl//40 .//MAD//punct//40
