Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 kommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallas//VB|PRS|SFO//ROOT//3 med//PP//case//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//7 förbereda//VB|INF|AKT//acl//5 den//DT|UTR|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 ställningstaganden//NN|NEU|PLU|IND|NOM//obj//7 inför//PP//case//13 FN//PM|NOM//nmod//11 ://MID//punct//11 s//NN|AN//case//16 livsmedels-//NN|NEU|-|-|SMS//appos//11 och//KN//cc//18 jordbruksorganisations//NN|UTR|SIN|IND|NOM//conj//16 (//PAD//punct//16 FAO//PM|NOM//conj//16 )//PAD//punct//16 världslivsmedelstoppmöte//NN|NEU|SIN|IND|NOM//parataxis//3 den//DT|UTR|SIN|DEF//det//25 10–13//RG|NOM//nummod//25 juni//NN|UTR|SIN|IND|NOM//obl//22 2002//RG|NOM//nummod//25 .//MAD//punct//3
Bakgrund;Erfarenheten//NN|UTR|SIN|DEF|NOM//nsubj//58 hade//VB|PRT|AKT//aux//58 emellertid//AB//advmod//58 visat//VB|SUP|AKT//acl//36 att//SN//mark//70 orsaken//NN|UTR|SIN|DEF|NOM//nsubj:pass//70 till//PP//case//62 undernäring//NN|UTR|SIN|IND|NOM//nmod//60 ,//MID//punct//64 hunger//NN|UTR|SIN|IND|NOM//conj//62 och//KN//cc//66 svält//NN|UTR|SIN|IND|NOM//conj//62 inte//AB//advmod//70 enbart//AB//advmod//70 kan//VB|PRS|AKT//aux//70 ses//VB|INF|SFO//ccomp//58 som//KN//mark//73 en//DT|UTR|SIN|IND//det//73 fråga//NN|UTR|SIN|IND|NOM//xcomp//70 om//PP//case//75 tillgången//NN|UTR|SIN|DEF|NOM//nmod//73 på//PP//case//77 livsmedel//NN|NEU|SIN|IND|NOM//nmod//75 .//MAD//punct//22
Bakgrund;Fattigdom//NN|UTR|SIN|IND|NOM//conj//22 i//PP//case//81 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//nmod//79 är//VB|PRS|AKT//cop//85 den//DT|UTR|SIN|DEF//det//85 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//85 orsaken//NN|UTR|SIN|DEF|NOM//conj//22 till//PP//case//87 undernäring//NN|UTR|SIN|IND|NOM//nmod//85 och//KN//cc//89 svält//NN|UTR|SIN|IND|NOM//conj//87 men//KN//cc//92 fattigdomen//NN|UTR|SIN|DEF|NOM//nsubj:pass//92 orsakas//VB|PRS|SFO//conj//22 av//PP//case//97 en//DT|UTR|SIN|IND//det//95 rad//NN|UTR|SIN|IND|NOM//nmod//97 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 förhållanden//NN|NEU|PLU|IND|NOM//obl:agent//92 .//MAD//punct//22
Bakgrund;Detta//DT|NEU|SIN|DEF//det//100 synsätt//NN|NEU|SIN|IND|NOM//nsubj//103 kom//VB|PRT|AKT//aux//103 att//IE//mark//103 prägla//VB|INF|AKT//parataxis//4 konferensens//NN|UTR|SIN|DEF|GEN//nmod:poss//105 arbete//NN|NEU|SIN|IND|NOM//obj//103 och//KN//cc//108 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//108 slutsatser//NN|UTR|PLU|IND|NOM//conj//105 .//MAD//punct//103
Bakgrund;Sverige//PM|NOM//nsubj//1 ansåg//VB|PRT|AKT//ROOT//1 att//SN//mark//5 toppmötet//NN|NEU|SIN|DEF|NOM//nsubj//5 var//VB|PRT|AKT//cop//5 viktigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//1 .//MID//punct//1
Bakgrund;Sverige//PM|NOM//nsubj//8 ägnade//VB|PRT|AKT//parataxis//1 därför//AB//advmod//8 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//11 arbete//NN|NEU|SIN|IND|NOM//obj//8 åt//PP//case//13 förberedelser//NN|UTR|PLU|IND|NOM//obl//8 inför//PP//case//15 mötet//NN|NEU|SIN|DEF|NOM//obl//8 både//KN//cc//20 inom//PP//case//20 ramen//NN|UTR|SIN|DEF|NOM//fixed//17 för//PP//fixed//17 FAO//PM|NOM//obl//8 ://MID//punct//20 s//NN|NEU|SIN|IND|GEN//nummod//23 planering//NN|UTR|SIN|IND|NOM//appos//20 och//KN//cc//27 för//PP//mark//27 att//IE//mark//27 engagera//VB|INF|AKT//conj//8 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 grupper//NN|UTR|PLU|IND|NOM//obj//27 i//PP//case//33 det//DT|NEU|SIN|DEF//det//33 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 samhället//NN|NEU|SIN|DEF|NOM//obl//27 i//PP//case//36 de//DT|UTR/NEU|PLU|DEF//det//36 frågor//NN|UTR|PLU|IND|NOM//obl//27 som//HP|-|-|-//obj//40 toppmötet//NN|NEU|SIN|DEF|NOM//nsubj//40 skulle//VB|PRT|AKT//aux//40 behandla//VB|INF|AKT//acl:relcl//36 .//MAD//punct//8
Bakgrund;En//DT|UTR|SIN|IND//det//43 nationalkommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//44 inrättades//VB|PRT|SFO//conj//8 för//PP//mark//47 att//IE//mark//47 ansvara//VB|INF|AKT//advcl//44 för//PP//case//50 dessa//DT|UTR/NEU|PLU|DEF//det//50 uppgifter//NN|UTR|PLU|IND|NOM//obl//47 .//MAD//punct//1
Bakgrund;Kommittén//NN|UTR|SIN|DEF|NOM//det//54 arrangerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//54 seminarier//NN|NEU|PLU|IND|NOM//parataxis//1 och//KN//cc//56 utarbetade//VB|PRT|AKT//conj//1 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 rapporter//NN|UTR|PLU|IND|NOM//obj//56 i//PP//case//60 frågor//NN|UTR|PLU|IND|NOM//obl//56 som//HP|-|-|-//nsubj:pass//64 kom//VB|PRT|AKT//aux//64 att//IE//mark//64 avhandlas//VB|INF|SFO//acl:relcl//60 på//PP//case//66 toppmötet//NN|NEU|SIN|DEF|NOM//obl//64 .//MAD//punct//1
Bakgrund;Inför//PP//case//69 toppmötet//NN|NEU|SIN|DEF|NOM//obl//70 koordinerades//VB|PRT|SFO//conj//1 den//DT|UTR|SIN|DEF//det//73 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 positionen//NN|UTR|SIN|DEF|NOM//nsubj:pass//70 med//PP//case//77 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 EU-länders//NN|NEU|PLU|IND|GEN//nmod:poss//77 positioner//NN|UTR|PLU|IND|NOM//nmod//73 och//KN//cc//79 samråd//NN|NEU|SIN|IND|NOM//conj//77 skedde//VB|PRT|AKT//conj//1 med//PP//case//84 de//DT|UTR/NEU|PLU|DEF//det//84 nordiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//84 länderna//NN|NEU|PLU|DEF|NOM//obl//80 .//MAD//punct//1
Bakgrund;Sammantaget//PC|PRF|NEU|SIN|IND|NOM//nsubj//87 gav//VB|PRT|AKT//parataxis//1 nationalkommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//89 arbete//NN|NEU|SIN|IND|NOM//iobj//87 ett//DT|NEU|SIN|IND//det//92 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//92 underlag//NN|NEU|SIN|IND|NOM//obj//87 för//PP//case//96 de//DT|UTR/NEU|PLU|DEF//det//96 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 ställningstagandena//NN|NEU|PLU|DEF|NOM//nmod//92 inför//PP//case//98 toppmötet//NN|NEU|SIN|DEF|NOM//nmod//96 .//MAD//punct//87
Bakgrund;Toppmötet//NN|NEU|SIN|DEF|NOM//nsubj//1 resulterade//VB|PRT|AKT//ROOT//1 i//PP//case//4 en//DT|UTR|SIN|IND//det//4 handlingsplan//NN|UTR|SIN|IND|NOM//obl//1 som//HP|-|-|-//nsubj:pass//6 inleds//VB|PRS|SFO//acl:relcl//4 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 s.k.//AB|AN//amod//10 Romdeklarationen//NN|UTR|SIN|DEF|NOM//obl//6 .//MAD//punct//1
Bakgrund;I//PP//case//13 deklarationen//NN|UTR|SIN|DEF|NOM//obl//14 ger//VB|PRS|AKT//parataxis//1 toppmötet//NN|NEU|SIN|DEF|NOM//nsubj//14 uttryck//NN|NEU|SIN|IND|NOM//obj//14 för//PP//case//20 sin//PS|UTR|SIN|DEF//nmod:poss//20 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 vilja//NN|UTR|SIN|IND|NOM//nmod//16 att//IE//mark//22 minska//VB|INF|AKT//acl//20 antalet//NN|NEU|SIN|DEF|NOM//obj//22 svältande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//23 med//PP//case//26 hälften//NN|UTR|SIN|DEF|NOM//obl//24 till//PP//case//29 år//NN|NEU|SIN|IND|NOM//nmod//29 2015//RG|NOM//nmod//26 .//MAD//punct//1
Bakgrund;Planen//NN|UTR|SIN|DEF|NOM//nsubj//32 består//VB|PRS|AKT//parataxis//1 av//PP//case//35 sju//RG|NOM//nummod//35 åtaganden//NN|NEU|PLU|IND|NOM//obl//32 ,//MID//punct//35 vilka//HP|UTR/NEU|PLU|IND//nsubj//38 täcker//VB|PRS|AKT//acl:relcl//35 demokrati//NN|UTR|SIN|IND|NOM//obj//38 ,//MID//punct//41 fattigdom//NN|UTR|SIN|IND|NOM//conj//39 ,//MID//punct//44 uthålligt//JJ|POS|NEU|SIN|IND|NOM//advmod//44 användande//NN|NEU|SIN|IND|NOM//conj//39 ,//MID//punct//46 handel//NN|UTR|SIN|IND|NOM//conj//39 ,//MID//punct//48 katastrofberedskap//NN|UTR|SIN|IND|NOM//conj//39 ,//MID//punct//50 finansiering//NN|UTR|SIN|IND|NOM//conj//39 och//KN//cc//52 uppföljning//NN|UTR|SIN|IND|NOM//conj//39 ,//MID//punct//57 som//HP|-|-|-//nsubj//57 varje//DT|UTR/NEU|SIN|IND//det//56 stat//NN|UTR|SIN|IND|NOM//nsubj//57 förbundit//VB|SUP|AKT//advcl//38 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//57 att//IE//mark//60 följa//VB|INF|AKT//xcomp//57 .//MAD//punct//1
Bakgrund;Handlingsplanen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 skall//VB|PRS|AKT//aux//2 följas//VB|INF|SFO//ROOT//2 upp//PL//compound:prt//2 vartannat//DT|NEU|SIN|IND//amod//5 år//NN|NEU|SIN|IND|NOM//obl//2 .//MAD//punct//2
Bakgrund;Ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//10 för//PP//case//9 uppföljningen//NN|UTR|SIN|DEF|NOM//nmod//7 ligger//VB|PRS|AKT//parataxis//2 hos//PP//case//14 varje//DT|UTR/NEU|SIN|IND//det//14 deltagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 nation//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//10
Bakgrund;FAO//PM|NOM//nsubj//20 ://MID//punct//16 s//PM|NOM//amod//19 livsmedelssäkerhetskommitté//NN|UTR|SIN|IND|NOM//appos//16 sammanställer//VB|PRS|AKT//parataxis//10 resultaten//NN|NEU|PLU|DEF|NOM//obj//20 och//KN//cc//23 ser//VB|PRS|AKT//conj//20 till//PL//compound:prt//23 att//SN//mark//29 alla//DT|UTR/NEU|PLU|IND/DEF//det//27 stater//NN|UTR|PLU|IND|NOM//nsubj//29 kan//VB|PRS|AKT//aux//29 ta//VB|INF|AKT//ccomp//23 del//NN|UTR|SIN|IND|NOM//obj//29 av//PP//case//32 rapporterna//NN|UTR|PLU|DEF|NOM//nmod//30 och//KN//cc//34 sammanställningen//NN|UTR|SIN|DEF|NOM//conj//32 .//MAD//punct//20
Bakgrund;Vid//PP//case//39 den//DT|UTR|SIN|DEF//det//39 första//RO|NOM//amod//39 uppföljningen//NN|UTR|SIN|DEF|NOM//obl//40 visade//VB|PRT|AKT//conj//20 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//40 vara//VB|INF|AKT//cop//45 för//AB//advmod//45 betungande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//40 att//SN//mark//49 varje//DT|UTR/NEU|SIN|IND//det//48 gång//NN|UTR|SIN|IND|NOM//obl//49 följa//VB|INF|AKT//acl//45 upp//PL//compound:prt//49 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 planen//NN|UTR|SIN|DEF|NOM//obj//49 ,//MID//punct//57 varför//HA//advmod//57 uppföljningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//57 nu//AB//advmod//57 görs//VB|PRS|SFO//advcl//49 stegvis//AB//advmod//57 .//MAD//punct//57
Bakgrund;År//NN|NEU|SIN|IND|NOM//nmod//61 2006//RG|NOM//obl//20 skall//VB|PRS|AKT//aux//65 en//DT|UTR|SIN|IND//det//64 halvtidsöversyn//NN|UTR|SIN|IND|NOM//nsubj:pass//65 göras//VB|INF|SFO//conj//20 av//PP//case//68 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 planen//NN|UTR|SIN|DEF|NOM//obl:agent//65 .//MAD//punct//20
Bakgrund;På//PP//case//71 FAO//PM|NOM//obl//20 ://MID//punct//71 s//PP//nummod//74 rådsmöte//NN|NEU|SIN|IND|NOM//nsubj:pass//78 i//PP//case//76 november//NN|UTR|SIN|IND|NOM//nmod//74 2001//RG|NOM//nummod//76 fattades//VB|PRT|SFO//acl:relcl//71 ,//MID//punct//78 på//PP//case//81 förslag//NN|NEU|SIN|IND|NOM//obl//20 av//PP//case//83 FAO//PM|NOM//nmod//81 ://MID//punct//81
Bakgrund;s//NN|NEU|SIN|IND|GEN//nummod//86 generaldirektör//NN|UTR|SIN|IND|NOM//appos//81 ,//MID//punct//88 beslut//NN|NEU|SIN|IND|NOM//conj//86 om//PP//case//91 en//DT|UTR|SIN|IND//det//91 femårsuppföljning//NN|UTR|SIN|IND|NOM//nmod//86 .//MAD//punct//20
Bakgrund;Konferensen//NN|UTR|SIN|DEF|NOM//nsubj//96 kommer//VB|PRS|AKT//aux//96 att//IE//mark//96 äga//VB|INF|AKT//conj//20 rum//NN|NEU|SIN|IND|NOM//obj//96 som//KN//case//101 ett//DT|NEU|SIN|IND//det//101 separat//JJ|POS|NEU|SIN|IND|NOM//amod//101 toppmöte//NN|NEU|SIN|IND|NOM//obl//96 i//PP//case//103 Rom//PM|NOM//nmod//101 den//DT|UTR|SIN|DEF//det//106 10–13//RG|NOM//nummod//106 juni//NN|UTR|SIN|IND|NOM//obl//96 2002//RG|NOM//nummod//106 under//PP//case//112 rubriken//NN|UTR|SIN|DEF|NOM//nmod//110 World//PM|NOM//nmod//112 Food//PM|NOM//flat:name//110 Summit//UO//obl//96 five//UO//flat//112 years//UO//nmod//115 later//UO//obj//96 ,//MID//punct//117 WFSfyl//UO//conj//115 .//MAD//punct//10

Uppdraget;Ett//DT|NEU|SIN|IND//det//2 centralt//JJ|POS|NEU|SIN|IND|NOM//amod//2 inslag//NN|NEU|SIN|IND|NOM//nsubj//7 i//PP//case//5 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//5 utvecklingssamarbete//NN|NEU|SIN|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//7 kampen//NN|UTR|SIN|DEF|NOM//dislocated//43 mot//PP//case//9 svält//NN|UTR|SIN|IND|NOM//nmod//7 och//KN//cc//11 fattigdom//NN|UTR|SIN|IND|NOM//conj//9 .//MID//punct//7
Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//16 var//VB|PRT|AKT//cop//16 därför//AB//advmod//16 naturligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//7 med//PP//case//21 ett//DT|NEU|SIN|IND//det//21 starkt//JJ|POS|NEU|SIN|IND|NOM//advmod//20 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//21 engagemang//NN|NEU|SIN|IND|NOM//nmod//16 inför//PP//nmod//21 och//KN//cc//25 under//PP//case//25 FAO//PM|NOM//conj//21 ://MID//punct//25 s//PP//nummod//28 toppmöte//NN|NEU|SIN|IND|NOM//appos//25 om//PP//case//30 livsmedelssäkerhet//NN|UTR|SIN|IND|NOM//nmod//28 för//PP//case//34 drygt//AB|POS//advmod//33 fem//RG|NOM//nummod//34 år//NN|NEU|PLU|IND|NOM//nmod//28 sedan//AB//fixed//34 .//MAD//punct//28
Uppdraget;Sverige//PM|NOM//nsubj//43 kunde//VB|PRT|AKT//aux//43 på//PP//case//42 ett//DT|NEU|SIN|IND//det//42 framgångsrikt//JJ|POS|NEU|SIN|IND|NOM//amod//42 sätt//NN|NEU|SIN|IND|NOM//obl//43 bidra//VB|INF|AKT//ROOT//43 till//PP//mark//47 att//SN//mark//47 toppmötet//NN|NEU|SIN|DEF|NOM//nsubj//47 gav//VB|PRT|AKT//advcl//43 konkreta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 resultat//NN|NEU|PLU|IND|NOM//obj//47 i//PP//case//51 form//NN|UTR|SIN|IND|NOM//obl//47 av//PP//case//54 en//DT|UTR|SIN|IND//det//54 handlingsplan//NN|UTR|SIN|IND|NOM//nmod//51 .//MAD//punct//43
Uppdraget;Förberedelsearbetet//NN|NEU|SIN|DEF|NOM//nsubj//59 var//VB|PRT|AKT//cop//59 också//AB//advmod//59 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//43 ,//MID//punct//59 bl.a.//AB|AN//advmod//62 inrättades//VB|PRT|SFO//conj//59 en//DT|UTR|SIN|IND//det//65 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//65 nationalkommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//62 för//PP//case//67 uppgiften//NN|UTR|SIN|DEF|NOM//obl//62 ,//MID//punct//73 vilket//HP|NEU|SIN|IND//nsubj//73 var//VB|PRT|AKT//cop//73 en//DT|UTR|SIN|IND//det//73 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//73 förklaring//NN|UTR|SIN|IND|NOM//conj//59 till//PP//mark//82 att//SN//mark//82 Sverige//PM|NOM//nsubj//82 på//PP//case//80 ett//DT|NEU|SIN|IND//det//80 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//80 sätt//NN|NEU|SIN|IND|NOM//obl//82 kunde//VB|PRT|AKT//aux//82 medverka//VB|INF|AKT//acl//73 till//PP//case//85 de//DT|UTR/NEU|PLU|DEF//det//85 resultat//NN|NEU|PLU|IND|NOM//obl//82 som//HP|-|-|-//nsubj:pass//87 nåddes//VB|PRT|SFO//acl:relcl//85 under//PP//case//89 toppmötet//NN|NEU|SIN|DEF|NOM//obl//87 .//MAD//punct//59
Uppdraget;FAO-toppmötet//NN|NEU|SIN|DEF|NOM//nsubj:pass//6 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//nmod//0 2002//RG|NOM//nummod//2 kommer//VB|PRS|AKT//aux//6 att//IE//mark//6 koncentreras//VB|INF|SFO//ROOT//6 på//PP//mark//9 att//IE//mark//9 följa//VB|INF|AKT//advcl//6 upp//PL//compound:prt//9 de//DT|UTR/NEU|PLU|DEF//det//12 åtgärder//NN|UTR|PLU|IND|NOM//obj//9 som//HP|-|-|-//nsubj:pass//14 genomförts//VB|SUP|SFO//acl:relcl//12 sedan//SN//case//16 WFS//PM|NOM//obl//14 antog//VB|PRT|AKT//conj//6 sin//PS|UTR|SIN|DEF//nmod:poss//19 handlingsplan//NN|UTR|SIN|IND|NOM//obj//17 .//MAD//punct//6
