4 Författningskommentar till balken ;4.1//RG|NOM//nmod//1 Inledning//NN|UTR|SIN|IND|NOM//ROOT//1
4 Författningskommentar till balken ;Till//PP//case//3 skillnad//NN|UTR|SIN|IND|NOM//fixed//0 från//PP//fixed//0 SofL//PM|NOM//obl//4 omfattas//VB|PRS|SFO//ROOT//4 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//4 i//PP//case//9 2//RG|NOM//nummod//8 kap.//NN|AN//nmod//9 AFL//PM|NOM//nmod//5 om//PP//case//11 ersättning//NN|UTR|SIN|IND|NOM//nmod//9 för//PP//case//13 sjukvård//NN|UTR|SIN|IND|NOM//nmod//11 m.m.//AB|AN//conj//13 inte//AB//advmod//17 av//PP//case//17 SFB//PM|NOM//obl//4 ,//MID//punct//19 jfr//VB|AN//parataxis//4 avsnitt//NN|NEU|SIN|IND|NOM//nmod//21 2.4.1//RG|NOM//obj//19 .//MID//punct//4
4 Författningskommentar till balken ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 gäller//VB|PRS|AKT//parataxis//4 dock//AB//advmod//24 inte//AB//advmod//24 reglerna//NN|UTR|PLU|DEF|NOM//obj//24 om//PP//case//29 bidrag//NN|NEU|SIN|IND|NOM//nmod//27 till//PP//case//31 arbetshjälpmedel//NN|NEU|SIN|IND|NOM//nmod//29 i//PP//case//37 2//RG|NOM//nummod//34 kap.//NN|AN//nmod//35 14//RG|NOM//nummod//36 §//NN|AN//nmod//37 AFL//PM|NOM//nmod//31 ,//MID//punct//37 som//HP|-|-|-//nsubj//41 numera//AB//advmod//41 finns//VB|PRS|SFO//acl:relcl//37 i//PP//case//43 C//PM|NOM//obl//41 12//RG|NOM//nummod//43 kap.//NN|AN//nmod//47 5//RG|NOM//nummod//47 §//NN|AN//obl//41 .//MAD//punct//24
4 Författningskommentar till balken ;4.2.2//RG|NOM//nmod//50 Underavdelning//NN|UTR|SIN|IND|NOM//obl//24 I//PP//case//53 Inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//50 ,//MID//punct//55 definitioner//NN|UTR|PLU|IND|NOM//conj//53 och//KN//cc//57 förklaringar//NN|UTR|PLU|IND|NOM//conj//53 1//RG|NOM//nummod//59 kap.//NN|AN//obl//61 1//RG|NOM//nummod//61 §//NN|AN//nmod//57
4 Författningskommentar till balken ;Socialförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 definieras//VB|PRS|SFO//ROOT//1 här//AB//advmod//1 som//KN//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 försäkringar//NN|UTR|PLU|IND|NOM//obl//1 samt//KN//cc//9 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 ersättnings-//NN|UTR|-|-|SMS//conj//6 och//KN//cc//11 bidragssystem//NN|NEU|PLU|IND|NOM//conj//9 som//HP|-|-|-//nsubj:pass//13 behandlas//VB|PRS|SFO//acl:relcl//11 i//PP//case//16 avdelningarna//NN|UTR|PLU|DEF|NOM//nmod//16 B//PM|NOM//obl//13 G//PM|NOM//flat:name//16 ,//MID//punct//16 dvs.//AB|AN//advmod//24 utifrån//PP//case//24 ett//DT|NEU|SIN|IND//det//24 praktiskt//AB|POS//advmod//23 betingat//PC|PRF|NEU|SIN|IND|NOM//amod//24 synsätt//NN|NEU|SIN|IND|NOM//appos//16 .//MAD//punct//1
4 Författningskommentar till balken ;Någon//DT|UTR|SIN|IND//det//27 åtskillnad//NN|UTR|SIN|IND|NOM//nsubj:pass//28 görs//VB|PRS|SFO//parataxis//1 alltså//AB//advmod//28 inte//AB//advmod//28 i//PP//case//33 detta//DT|NEU|SIN|DEF//det//33 sammanhang//NN|NEU|SIN|IND|NOM//obl//28 mellan//PP//case//35 förmåner//NN|UTR|PLU|IND|NOM//nmod//33 som//HP|-|-|-//nsubj//38 är//VB|PRS|AKT//cop//38 helt//AB|POS//acl:relcl//35 eller//KN//cc//41 delvis//AB//advmod//41 avgiftsfinansierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//38 och//KN//cc//43 förmåner//NN|UTR|PLU|IND|NOM//conj//38 som//HP|-|-|-//nsubj//49 är//VB|PRS|AKT//cop//49 mer//AB|KOM//advmod//49 eller//KN//cc//48 mindre//AB|KOM//conj//46 skattefinansierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//43 ,//MID//punct//35 se//VB|IMP|AKT//conj//35 vidare//AB|KOM//compound:prt//51 avsnitt//NN|NEU|SIN|IND|NOM//nmod//54 2.4.1//RG|NOM//obj//51 angående//PP//case//57 begreppet//NN|NEU|SIN|DEF|NOM//nmod//57 socialförsäkring//NN|UTR|SIN|IND|NOM//obl//51 .//MAD//punct//35
4 Författningskommentar till balken ;1//RG|NOM//nummod//60 kap.//NN|AN//nmod//61 2//RG|NOM//nummod//64 och//KN//cc//61 3//RG|NOM//nummod//61 §//NN|AN//nmod//65 §//NN|AN//nmod//35
4 Författningskommentar till balken ;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//2 och//KN//cc//4 beskriver//VB|PRS|AKT//conj//2 hur//HA//advmod//8 SFB//PM|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 indelad//PC|PRF|UTR|SIN|IND|NOM//ccomp//4 ,//MID//punct//2 se//VB|IMP|AKT//conj//2 vidare//AB|KOM//advmod//10 avsnitt//NN|NEU|SIN|IND|NOM//nmod//13 2.5//RG|NOM//obj//10 beträffande//PP//case//15 dispositionen//NN|UTR|SIN|DEF|NOM//obl//10 av//PP//case//17 SFB//PM|NOM//nmod//15 .//MAD//punct//2
4 Författningskommentar till balken ;2//RG|NOM//nummod//20 kap.//NN|AN//appos//2 2//RG|NOM//nummod//22 §//NN|AN//nmod//20
4 Författningskommentar till balken ;Första//RO|NOM//amod//1 stycket//NN|NEU|SIN|DEF|NOM//nsubj//3  //_SP////1 ersätter//VB|PRS|AKT//ROOT//3 en//DT|UTR|SIN|IND//det//5 mängd//NN|UTR|SIN|IND|NOM//nmod//6 bestämmelser//NN|UTR|PLU|IND|NOM//obj//3 ,//MID//punct//6 bl.a.//AB|AN//advmod//9 1//RG|NOM//nummod//10 kap.//NN|AN//nmod//13 2//RG|NOM//nummod//12 §//NN|AN//nmod//13 AFL//PM|NOM//nmod//6 och//KN//cc//16 1//RG|NOM//nummod//16 kap.//NN|AN//conj//13 3//RG|NOM//nummod//18 §//NN|AN//nmod//19 SofL//RG|NOM//obl//3 ,//MID//punct//3 och//KN//cc//22 anger//VB|PRS|AKT//conj//3 vilka//HD|UTR/NEU|PLU|IND//det//24 myndigheter//NN|UTR|PLU|IND|NOM//obj//22 som//HP|-|-|-//nsubj//26 administrerar//VB|PRS|AKT//acl:relcl//24 socialförsäkringen//NN|UTR|SIN|DEF|NOM//obj//26 .//MID//punct//3
4 Författningskommentar till balken ;Eftersom//SN//mark//32 även//AB//advmod//31 Skatteverket//PM|NOM//nsubj//32 fattar//VB|PRS|AKT//advcl//39 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 beslut//NN|NEU|PLU|IND|NOM//obj//32 ifråga//AB//case//38 om//PP//fixed//35 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//38 ålderspension//NN|UTR|SIN|IND|NOM//obl//32 omnämns//VB|PRS|SFO//parataxis//3 även//AB//advmod//39 den//DT|UTR|SIN|DEF//det//42 myndigheten//NN|UTR|SIN|DEF|NOM//obj//39 .//MAD//punct//3
4 Författningskommentar till balken ;Andra//RO|NOM//amod//1 stycket//NN|NEU|SIN|DEF|NOM//nsubj//4  //_SP////1 är//VB|PRS|AKT//cop//4 nytt//JJ|POS|NEU|SIN|IND|NOM//ROOT//4 och//KN//cc//6 slår//VB|PRS|AKT//conj//4 fast//PL//compound:prt//6 att//SN//mark//14 beslut//NN|NEU|PLU|IND|NOM//nsubj:pass//14 i//PP//case//11 ärenden//NN|NEU|PLU|IND|NOM//nmod//9 enligt//PP//case//13 balken//NN|UTR|SIN|DEF|NOM//nmod//11 fattas//VB|PRS|SFO//ccomp//6 av//PP//case//16 Försäkringskassan//NN|UTR|SIN|DEF|NOM//obl:agent//14 om//SN//mark//20 inget//DT|NEU|SIN|IND//det//19 annat//PN|NEU|SIN|IND|SUB/OBJ//nsubj:pass//20 anges//VB|PRS|SFO//advcl//14 särskilt//AB//advmod//20 .//MAD//punct//4
4 Författningskommentar till balken ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//24 anser//VB|PRS|AKT//parataxis//4 att//SN//mark//28 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 är//VB|PRS|AKT//cop//28 viktigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//24 att//IE//mark//32 redan//AB//advmod//32 inledningsvis//AB//advmod//32 slå//VB|INF|AKT//csubj//28 fast//PL//compound:prt//32 detta//DT|NEU|SIN|DEF//det//36 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 förhållande//NN|NEU|SIN|IND|NOM//obj//32 .//MAD//punct//24
4 Författningskommentar till balken ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 innebär//VB|PRS|AKT//conj//4 också//AB//advmod//39 att//SN//mark//45 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//45 kan//VB|PRS|AKT//aux//45 avfattas//VB|INF|SFO//ccomp//39 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//45 .//MAD//punct//39
4 Författningskommentar till balken ;Avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 föreskrifter//NN|UTR|PLU|IND|NOM//nsubj//50 finns//VB|PRS|SFO//parataxis//39 i//PP//advmod//50 bl.a.//AB|AN//advmod//53 E//NN|NEU|SIN|IND|NOM//nummod//60 6//RG|NOM//nummod//55 kap.//NN|AN//nmod//56 6//RG|NOM//nummod//59 och//KN//cc//56 7//RG|NOM//nummod//56 §//NN|AN//nmod//60 §//NN|AN//obl//50 .//MAD//punct//39
4 Författningskommentar till balken ;2//RG|NOM//nummod//63 kap.//NN|AN//nmod//64 3//RG|NOM//nummod//67 och//KN//cc//64 4//RG|NOM//nummod//64 §//NN|AN//nmod//68 §//NN|AN//obl//39
4 Författningskommentar till balken ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//2 har//VB|PRS|AKT//aux//2 övervägt//VB|SUP|AKT//ROOT//2 att//IE//mark//4 ha//VB|INF|AKT//xcomp//2 ett//DT|NEU|SIN|IND//det//7 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//7 finansieringskapitel//NN|NEU|SIN|IND|NOM//obj//4 ,//MID//punct//12 eftersom//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//12 kan//VB|PRS|AKT//aux//12 framstå//VB|INF|AKT//advcl//2 som//KN//case//15 en//DT|UTR|SIN|IND//det//15 brist//NN|UTR|SIN|IND|NOM//obl//12 om//PP//mark//23 en//PN|UTR|SIN|IND|SUB/OBJ//det//21 till//PP//case//19 medborgarna//NN|UTR|PLU|DEF|NOM//obl//20 riktad//PC|PRF|UTR|SIN|IND|NOM//amod//21 socialförsäkringsbalk//NN|UTR|SIN|IND|NOM//nsubj//23 inte//AB//advmod//23 innehåller//VB|PRS|AKT//advcl//12 ens//AB//advmod//23 en//DT|UTR|SIN|IND//det//27 översiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//27 beskrivning//NN|UTR|SIN|IND|NOM//obj//23 av//PP//mark//30 hur//HA//advmod//30 förmåner//NN|UTR|PLU|IND|NOM//acl//27 till//PP//case//34 ett//DT|NEU|SIN|IND//det//34 årligt//JJ|POS|NEU|SIN|IND|NOM//amod//34 värde//NN|NEU|SIN|IND|NOM//nmod//30 av//PP//case//39 ca//AB|AN//advmod//37 400//RG|NOM//nummod//38 miljarder//NN|UTR|PLU|IND|NOM//nmod//39 kr//NN|AN//nmod//34 finansieras//VB|PRS|SFO//advcl//2 .//MAD//punct//2
4 Författningskommentar till balken ;Lagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//48 om//PP//case//44 socialavgifter//NN|UTR|PLU|IND|NOM//nmod//42 skall//VB|PRS|AKT//aux//48 emellertid//AB//advmod//48 inte//AB//advmod//48 tas//VB|INF|SFO//parataxis//2 in//PL//compound:prt//48 i//PP//case//51 balken//NN|UTR|SIN|DEF|NOM//obl//48 ,//MID//punct//48 bl.a.//AB|AN//advmod//48 eftersom//SN//mark//56 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//56 hanteras//VB|PRS|SFO//advcl//48 av//PP//case//58 Finansdepartementet//NN|NEU|SIN|DEF|NOM//obl:agent//56 och//KN//cc//60 reglerar//VB|PRS|AKT//conj//48 mer//AB|KOM//advmod//60 än//KN//case//63 avgifterna//NN|UTR|PLU|DEF|NOM//obl//60 till//PP//case//65 socialförsäkringen//NN|UTR|SIN|DEF|NOM//obl//60 .//MID//punct//48
4 Författningskommentar till balken ;Eftersom//SN//mark//74 de//DT|UTR/NEU|PLU|DEF//det//71 förutvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 försäkringskassorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//74 numera//AB//advmod//74 har//VB|PRS|AKT//aux//74 omvandlats//VB|SUP|SFO//advcl//48 till//PP//mark//80 den//DT|UTR|SIN|DEF//det//78 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//79 Försäkringskassan//PM|NOM//nsubj:pass//80 behövs//VB|PRS|SFO//obl:agent//74 inte//AB//advmod//80 heller//AB//advmod//80 några//DT|UTR/NEU|PLU|IND//det//84 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//80 som//HP|-|-|-//nsubj//86 anger//VB|PRS|AKT//acl:relcl//84 att//SN//mark//90 statsbidrag//NN|NEU|PLU|IND|NOM//nsubj:pass//90 får//VB|PRS|AKT//aux//90 lämnas//VB|INF|SFO//ccomp//86 till//PP//case//94 den//DT|UTR|SIN|DEF//det//94 bedrivna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//94 verksamheten//NN|UTR|SIN|DEF|NOM//obl//90 eller//KN//cc//97 till//PP//case//97 förvaltningskostnader//NN|UTR|PLU|IND|NOM//conj//94 .//MAD//punct//2
4 Författningskommentar till balken ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//102 har//VB|PRS|AKT//aux//102 därför//AB//advmod//102 kommit//VB|SUP|AKT//parataxis//2 fram//PL//advmod//102 till//PP//mark//108 att//SN//mark//108 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//108 är//VB|PRS|AKT//cop//108 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//advcl//102 att//SN//mark//113 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//113 i//PP//case//112 balken//NN|UTR|SIN|DEF|NOM//obl//113 finns//VB|PRS|SFO//advcl//140 en//DT|UTR|SIN|IND//det//115 upplysning//NN|UTR|SIN|IND|NOM//nsubj//113 om//PP//mark//120 vilka//HD|UTR/NEU|PLU|IND//det//118 lagar//NN|UTR|PLU|IND|NOM//dislocated//120 som//HP|-|-|-//nsubj//120 finansierar//VB|PRS|AKT//acl//115 socialförsäkringen//NN|UTR|SIN|DEF|NOM//obj//120 .//MID//punct//113
4 Författningskommentar till balken ;När//HA//case//129 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//123 gäller//VB|PRS|AKT//fixed//123 de//DT|UTR/NEU|PLU|DEF//det//129 mera//AB|KOM//advmod//128 detaljerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//129 finansieringsbestämmelserna//NN|UTR|PLU|DEF|NOM//obl//140 i//PP//case//132 19//RG|NOM//nummod//132 kap.//NN|AN//nmod//129 2//RG|NOM//nummod//134 §//NN|AN//nmod//139 andra//RO|NOM//amod//139 och//KN//cc//138 tredje//RO|NOM//amod//138 styckena//NN|NEU|PLU|DEF|NOM//conj//135 AFL//PM|NOM//nmod//129 föreslår//VB|PRS|AKT//conj//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//140 ingen//DT|UTR|SIN|IND//det//143 motsvarighet//NN|UTR|SIN|IND|NOM//obj//140 eftersom//SN//mark//148 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//148 inte//AB//advmod//148 längre//AB|KOM//advmod//148 fyller//VB|PRS|AKT//advcl//140 någon//DT|UTR|SIN|IND//det//150 funktion//NN|UTR|SIN|IND|NOM//obj//148 .//MAD//punct//140
4 Författningskommentar till balken ;Slutligen//AB//advmod//155 har//VB|PRS|AKT//aux//155 vi//PN|UTR|PLU|DEF|SUB//nsubj//155 konstaterat//VB|SUP|AKT//conj//2 att//SN//mark//163 19//RG|NOM//nummod//158 kap.//NN|AN//nmod//161 3//RG|NOM//nummod//160 §//NN|AN//nmod//161 AFL//PM|NOM//nsubj//163 är//VB|PRS|AKT//cop//163 obsolet//NN|NEU|SIN|DEF|NOM//ccomp//155 .//MAD//punct//2
4 Författningskommentar till balken ;Sjuklönen//NN|UTR|SIN|DEF|NOM//nsubj//1 består//VB|PRS|AKT//ROOT//1 huvudsakligen//AB//advmod//1 av//PP//case//5 bibehållna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 anställningsförmåner//NN|UTR|PLU|IND|NOM//obl//1 .//MID//punct//1
4 Författningskommentar till balken ;När//HA//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//9 gäller//VB|PRS|AKT//advcl//11 assistansersättning//NN|UTR|SIN|IND|NOM//obj//9 svarar//VB|PRS|AKT//parataxis//1 kommunerna//NN|UTR|PLU|DEF|NOM//nsubj//11 för//PP//case//15 viss//JJ|POS|UTR|SIN|IND|NOM//amod//15 del//NN|UTR|SIN|IND|NOM//obl//11 av//PP//case//17 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//15 .//MAD//punct//1
