Sammanfattning i delrapporten (SOU:152) Vindkraften en ren energikälla tar plats;(//PAD//punct//1 Utdrag//NN|NEU|SIN|IND|NOM//ROOT//1 )//PAD//punct//1
Vindkraft i Sverige;De//DT|UTR/NEU|PLU|DEF//det//10 första//RO|NOM//amod//10 serietillverkade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 ve//NN|AN//punct//8 rken//NN|NEU|PLU|DEF|NOM//nsubj//15 ,//MID//punct//13 under//PP//case//13 1980-talet//NN|NEU|SIN|DEF|NOM//nmod//10 ,//MID//punct//10 hade//VB|PRT|AKT//conj//3 en//DT|UTR|SIN|IND//det//17 effekt//NN|UTR|SIN|IND|NOM//obj//15 på//PP//case//21 omkring//AB//advmod//20 50//RG|NOM//nummod//21 kW.//RG|NOM//nmod//17 Den//DT|UTR|SIN|DEF//det//24 vanliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 effektstorleken//NN|UTR|SIN|DEF|NOM//nsubj//35 hos//PP//case//26 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//24 som//HP|-|-|-//nsubj:pass//32 under//PP//case//30 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 år//NN|NEU|PLU|IND|NOM//obl//32 har//VB|PRS|AKT//aux//32 tagits//VB|SUP|SFO//acl:relcl//26 i//PP//case//34 drift//NN|UTR|SIN|IND|NOM//obl//32 ligger//VB|PRS|AKT//advcl//15 i//PP//case//37 storleksordningen//NN|UTR|SIN|DEF|NOM//obl//35 500–650//RG|NOM//nummod//37 kW//NN|AN//obl//35 ,//MID//punct//39 dvs.//AB|AN//advmod//42 tio//RG|NOM//nummod//43 gånger//NN|UTR|PLU|IND|NOM//obl//44 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//35 och//KN//cc//46 mer//AB|KOM//conj//44 .//MAD//punct//35
Vindkraft i Sverige;Vindkraftverk//NN|NEU|PLU|IND|NOM//nsubj:pass//56 på//PP//case//50 upp//AB//advmod//48 till//PP//case//55 ca//AB|AN//advmod//53 1//RG|NOM//nummod//54 700//RG|NOM//nummod//55 kW//NN|AN//obl//48 introduceras//VB|PRS|SFO//parataxis//35 nu//AB//advmod//56 på//PP//case//61 den//DT|UTR|SIN|DEF//det//61 kommersiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 marknaden//NN|UTR|SIN|DEF|NOM//obl//56 och//KN//cc//67 ännu//AB//advmod//64 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 verk//NN|NEU|PLU|IND|NOM//nsubj//67 är//VB|PRS|AKT//cop//67 aviserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//56 .//MAD//punct//56
Vindkraft i Sverige;Vindkraftverken//NN|UTR|SIN|DEF|NOM//nsubj//72 har//VB|PRS|AKT//aux//72 också//AB//advmod//72 blivit//VB|SUP|AKT//parataxis//56 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//72 .//MAD//punct//56
Vindkraft i Sverige;Tornhöjden//NN|UTR|SIN|DEF|NOM//nsubj//86 på//PP//case//78 ett//DT|NEU|SIN|IND//det//78 verk//NN|NEU|SIN|IND|NOM//nmod//75 under//PP//case//81 100//RG|NOM//nummod//81 kW//NN|AN//nmod//78 är//VB|PRS|AKT//cop//86 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//85 än//KN//fixed//83 30//RG|NOM//nummod//86 m//NN|AN//obl//56 .//MAD//punct//3
Vindkraft i Sverige;Ett//DT|NEU|SIN|IND//det//89 vindkraftverk//NN|NEU|SIN|IND|NOM//parataxis//3 i//PP//case//91 storleksklassen//NN|UTR|SIN|DEF|NOM//nmod//89 500//RG|NOM//nummod//93 kW//NN|AN//nmod//89 är//VB|PRS|AKT//cop//97 40–70//RG|NOM//nummod//96 m//NN|AN//nmod//97 högt//JJ|POS|NEU|SIN|IND|NOM//advmod//89 .//MAD//punct//3
Vindkraft i Sverige;De//DT|UTR/NEU|PLU|DEF//nsubj//13 i//PP//case//2 svaren//NN|NEU|PLU|DEF|NOM//nmod//0 på//PP//case//4 enkäten//NN|UTR|SIN|DEF|NOM//nmod//2 till//PP//case//6 länsstyrelserna//NN|UTR|PLU|DEF|NOM//nmod//4 redovisade//VB|PRT|AKT//amod//8 planerna//NN|UTR|PLU|DEF|NOM//nmod//0 på//PP//mark//11 att//IE//mark//11 bygga//VB|INF|AKT//acl//8 vindkraftverk//NN|NEU|PLU|IND|NOM//obj//11 visar//VB|PRS|AKT//ROOT//13 på//PP//case//18 en//DT|UTR|SIN|IND//det//18 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//18 snabb//JJ|POS|UTR|SIN|IND|NOM//amod//18 utbyggnad//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//31 i//PP//case//31 första//RO|NOM//fixed//20 hand//NN|UTR|SIN|IND|NOM//fixed//20 av//PP//case//24 verk//NN|NEU|PLU|IND|NOM//nmod//22 i//PP//case//26 storleksklassen//NN|UTR|SIN|DEF|NOM//nmod//24 500–750//RG|NOM//fixed//20 kW.//RG|GEN//fixed//27 Även//AB//advmod//30 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 verk//NN|NEU|PLU|IND|NOM//appos//18 ,//MID//punct//31 upp//AB//advmod//38 till//PP//case//38 ca//AB|AN//advmod//36 1//RG|NOM//nummod//37 7000//RG|NOM//nummod//38 kW//NN|AN//obl//13 ,//MID//punct//40 väntas//VB|PRS|SFO//conj//13 bli//VB|INF|AKT//xcomp//40 allt//AB//advmod//43 vanligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//41 .//MAD//punct//13
Vindkraft i Sverige;Utvecklingstendenserna//NN|UTR|PLU|DEF|NOM//nsubj//51 i//PP//case//48 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 delar//NN|UTR|PLU|IND|NOM//nmod//45 av//PP//case//50 landet//NN|NEU|SIN|DEF|NOM//nmod//48 visar//VB|PRS|AKT//parataxis//13 att//SN//mark//55 utbyggnaden//NN|UTR|SIN|DEF|NOM//nsubj//55 kan//VB|PRS|AKT//aux//55 väntas//VB|INF|SFO//ccomp//51 öka//VB|INF|AKT//xcomp//55 starkt//AB|POS//advmod//58 norrut//AB//advmod//56 ,//MID//punct//56 såväl//KN//advmod//62 längs//PP//case//62 norrlandskusten//NN|UTR|SIN|DEF|NOM//obl//56 som//KN//mark//65 i//PP//case//65 fjällen//NN|NEU|PLU|DEF|NOM//nmod//62 .//MAD//punct//74
Vindkraft i Sverige;Större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 etableringar//NN|UTR|PLU|IND|NOM//nsubj:pass//74 till//PP//advmod//68 havs//NN|NEU|SIN|IND|GEN//fixed//69 kan//VB|PRS|AKT//aux//74 oc//NN|AN//advmod//74 kså//AB//nsubj:pass//74 väntas//VB|PRS|SFO//acl:relcl//62 i//PP//case//76 framtiden//NN|UTR|SIN|DEF|NOM//obl//74 .//MAD//punct//51

Omgivningspåverkan;I//PP//case//2 kapitel//NN|NEU|SIN|IND|NOM//nmod//2 3//RG|NOM//obl//4  //_SP////2 redovisar//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 frågor//NN|UTR|PLU|IND|NOM//obj//4 som//HP|-|-|-//nsubj//8 är//VB|PRS|AKT//acl:relcl//6 av//PP//case//10 betydelse//NN|UTR|SIN|IND|NOM//obl//8 för//PP//mark//13 att//IE//mark//13 bedöma//VB|INF|AKT//advcl//8 vin//NN|NEU|SIN|IND|NOM//obj//13 dkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 påverkan//NN|UTR|SIN|IND|NOM//obj//13 på//PP//case//18 omgivningen//NN|UTR|SIN|DEF|NOM//nmod//16 .//MAD//punct//4
Omgivningspåverkan;Kunskaperna//NN|UTR|PLU|DEF|NOM//nsubj//27 om//PP//case//23 vindkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 omgivningseffekter//NN|UTR|PLU|IND|NOM//nmod//20 är//VB|PRS|AKT//cop//27 dock//AB//advmod//27 dåligt//AB|POS//advmod//27 systematiserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//4 .//MAD//punct//4
Omgivningspåverkan;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 är//VB|PRS|AKT//cop//31 angeläget//JJ|POS|NEU|SIN|IND|NOM//parataxis//4 att//SN//mark//38 erfarenheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//38 av//PP//case//36 uppförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//36 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//33 bättre//AB|KOM//advmod//38 tas//VB|INF|SFO//csubj//31 till//PP//case//40 vara//NN|-|-|-|-//obl//38 och//KN//cc//42 sammanställs//VB|PRS|SFO//conj//40 så//AB//mark//47 att//SN//fixed//43 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//47 kan//VB|PRS|AKT//aux//47 tjäna//VB|INF|AKT//advcl//31 som//KN//mark//49 underlag//NN|NEU|SIN|IND|NOM//xcomp//47 ,//MID//punct//47 när//HA//mark//54 man//PN|UTR|SIN|IND|SUB//nsubj//54 skall//VB|PRS|AKT//aux//54 bedöma//VB|INF|AKT//advcl//47 lämpligheten//NN|UTR|SIN|DEF|NOM//obj//54 av//PP//case//58 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//58 lokaliseringar//NN|UTR|PLU|IND|NOM//nmod//55 av//PP//case//60 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//58 .//MAD//punct//31
Omgivningspåverkan;Vindkraften//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 en//DT|UTR|SIN|IND//det//4 förnybar//JJ|POS|UTR|SIN|IND|NOM//amod//4 energiform//NN|UTR|SIN|IND|NOM//ROOT//4 som//HP|-|-|-//nsubj//7 inte//AB//advmod//7 medför//VB|PRS|AKT//acl:relcl//4 några//DT|UTR/NEU|PLU|IND//det//9 utsläpp//NN|NEU|PLU|IND|NOM//obj//7 av//PP//case//14 för//PP//case//12 miljön//NN|UTR|SIN|DEF|NOM//nmod//14 skadliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 ämnen//NN|NEU|PLU|IND|NOM//nmod//9 .//MAD//punct//4
Omgivningspåverkan;Elproduktion//NN|UTR|SIN|IND|NOM//nsubj//19 genom//PP//case//18 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//16 ersätter//VB|PRS|AKT//conj//4 el//NN|UTR|SIN|IND|NOM//compound:prt//19 från//PP//case//22 anläggningar//NN|UTR|PLU|IND|NOM//obl//19 eldade//VB|PRT|AKT//conj//4 med//PP//case//26 fossila//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 bränslen//NN|NEU|PLU|IND|NOM//obl//23 ,//MID//punct//26 som//HP|-|-|-//nsubj//29 ger//VB|PRS|AKT//acl:relcl//26 utsläpp//NN|NEU|SIN|IND|NOM//obj//29 till//PP//case//32 luften//NN|UTR|SIN|DEF|NOM//obl//29 av//PP//case//35 skadliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 ämnen//NN|NEU|PLU|IND|NOM//nmod//32 .//MAD//punct//4
Omgivningspåverkan;Den//DT|UTR|SIN|DEF//det//2 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 markåtgången//NN|UTR|SIN|DEF|NOM//nsubj//9 för//PP//case//5 ett//DT|NEU|SIN|IND//det//5 vindkraftverk//NN|NEU|SIN|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//9 i//PP//advmod//9 regel//NN|UTR|SIN|IND|NOM//fixed//7 liten//JJ|POS|UTR|SIN|IND|NOM//amod//40 och//KN//cc//14 de//DT|UTR/NEU|PLU|DEF//det//13 areella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 konflikterna//NN|UTR|PLU|DEF|NOM//nsubj//14 begränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//9 då//HA//advmod//18 marken//NN|UTR|SIN|DEF|NOM//nsubj:pass//18 kan//VB|PRS|AKT//aux//18 nyttjas//VB|INF|SFO//advcl//14 tätt//AB|POS//advmod//22 inpå//PP//case//22 ett//DT|NEU|SIN|IND//det//22 vin//NN|NEU|SIN|IND|NOM//obl//18 dkraftverk//NN|NEU|SIN|IND|NOM//xcomp//18 .//MAD//punct//9
Omgivningspåverkan;Genom//PP//case//27 visuell//JJ|POS|UTR|SIN|IND|NOM//amod//27 påverkan//NN|UTR|SIN|IND|NOM//conj//9 på//PP//case//29 landskapet//NN|NEU|SIN|DEF|NOM//nmod//27 ,//MID//punct//31 ljudstörningar//NN|UTR|PLU|IND|NOM//conj//27 och//KN//cc//34 blixtrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 skuggor//NN|UTR|PLU|IND|NOM//conj//27 när//HA//case//36 rotorbladen//NN|NEU|PLU|DEF|NOM//nmod//27 ”//PM|NOM//punct//27 klipper//VB|PRS|AKT//conj//9 ”//PM|NOM//punct//9 solljuset//NN|NEU|SIN|DEF|NOM//nsubj:pass//44 kan//VB|PRS|AKT//aux//44 emellertid//AB//advmod//44 omgivningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//44 påverkas//VB|PRS|SFO//ROOT//44 på//PP//case//47 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 avstånd//NN|NEU|PLU|IND|NOM//obl//44 från//PP//case//51 ett//DT|NEU|SIN|IND//det//51 vindkraftve//NN|NEU|SIN|IND|NOM//amod//51 rk//NN|NEU|SIN|IND|NOM//obl//44 .//MAD//punct//44
Omgivningspåverkan;Påverkan//NN|UTR|SIN|IND|NOM//nsubj//5 på//PP//case//2 landskapsbilden//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//5 den//DT|UTR|SIN|DEF//det//5 fråga//NN|UTR|SIN|IND|NOM//nsubj:pass//38 som//HP|-|-|-//nsubj//13 i//PP//case//8 svaren//NN|NEU|PLU|DEF|NOM//obl//13 på//PP//case//11 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//11 enkäter//NN|UTR|PLU|IND|NOM//nmod//8 tydligt//AB|POS//advmod//13 framstår//VB|PRS|AKT//acl:relcl//5 som//KN//mark//15 viktigast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//xcomp//13 när//HA//case//21 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//16 gäller//VB|PRS|AKT//fixed//16 vindkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 omgi//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 vningseffekter//NN|UTR|PLU|IND|NOM//obl//13 .//MAD//punct//5
Omgivningspåverkan;För//PP//mark//26 att//IE//mark//26 kunna//VB|INF|AKT//aux//26 bedöma//VB|INF|AKT//advcl//30 hur//HA//advmod//28 vindkraftverk//NN|NEU|PLU|IND|NOM//nsubj:pass//30 bör//VB|PRS|AKT//aux//30 lokaliseras//VB|INF|SFO//parataxis//5 med//PP//case//36 hänsyn//NN|UTR|SIN|IND|NOM//fixed//31 till//PP//fixed//31 den//DT|UTR|SIN|DEF//det//36 visuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 påverkan//NN|UTR|SIN|DEF|NOM//obl//30 behöver//VB|PRS|AKT//aux//38 göras//VB|INF|SFO//ROOT//38 en//DT|UTR|SIN|IND//det//40 landskapsanalys//NN|UTR|SIN|IND|NOM//nsubj:pass//38 ,//MID//punct//40 som//HP|-|-|-//nsubj//43 karaktäriserar//VB|PRS|AKT//acl:relcl//40 landskapet//NN|NEU|SIN|DEF|NOM//obj//43 med//PP//case//49 avseende//NN|NEU|SIN|IND|NOM//fixed//45 på//PP//fixed//45 vilken//HD|UTR|SIN|IND//det//49 tålighet//NN|UTR|SIN|IND|NOM//obl//43 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 har//VB|PRS|AKT//acl:relcl//49 för//PP//case//53 vindkraftverk//NN|NEU|PLU|IND|NOM//obl//51 .//MAD//punct//38
Omgivningspåverkan;Vi//PN|UTR|PLU|DEF|SUB//nsubj//57 har//VB|PRS|AKT//aux//57 initierat//VB|SUP|AKT//parataxis//38 en//DT|UTR|SIN|IND//det//60 rikstäckande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 studie//NN|UTR|SIN|IND|NOM//obj//57 som//HP|-|-|-//nsubj//63 skall//VB|PRS|AKT//aux//63 ge//VB|INF|AKT//acl:relcl//60 utgångspunkter//NN|UTR|PLU|IND|NOM//obj//63 för//PP//case//67 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//67 analyser//NN|UTR|PLU|IND|NOM//obl//63 och//KN//cc//69 exempel//NN|NEU|PLU|IND|NOM//conj//67 på//PP//case//71 placering//NN|UTR|SIN|IND|NOM//nmod//69 och//KN//cc//73 u//UO//amod//74 tformning//NN|UTR|SIN|IND|NOM//obl//63 av//PP//case//76 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//74 i//PP//case//80 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//fixed//77 för//PP//case//80 landet//NN|NEU|SIN|DEF|NOM//nmod//74 typiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 landskap//NN|NEU|PLU|IND|NOM//obj//63 .//MAD//punct//57
Omgivningspåverkan;Ett//DT|NEU|SIN|IND//det//2 vindkraftverks//NN|NEU|SIN|IND|GEN//amod//2 torn//NN|NEU|SIN|IND|NOM//nsubj//6 och//KN//cc//4 rotorblad//NN|NEU|PLU|IND|NOM//conj//2 kan//VB|PRS|AKT//aux//6 störa//VB|INF|AKT//ROOT//6 elektromagnetiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 kommunikationssystem//NN|NEU|PLU|IND|NOM//obj//6 ,//MID//punct//8 t.ex.//AB|AN//advmod//11 TV//NN|UTR|SIN|IND|NOM//appos//8 ,//MID//punct//13 radio//NN|UTR|SIN|IND|NOM//conj//11 och//KN//cc//15 radar//NN|UTR|SIN|IND|NOM//conj//11 samt//KN//cc//17 system//NN|NEU|PLU|IND|NOM//conj//11 för//PP//case//19 radiolänk-//NN|UTR|-|-|SMS//nmod//17 och//KN//cc//21 satellitkommunikation//NN|UTR|SIN|IND|NOM//conj//19 .//MAD//punct//6
Omgivningspåverkan;Det//DT|NEU|SIN|DEF//det//25 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 radar-//NN|UTR|-|-|SMS//obj//6 och//KN//cc//28 signalsp//NN|NEU|PLU|IND|NOM//conj//26 anings-//NN|UTR|-|-|SMS//conj//26 och//KN//cc//31 radiolänksystem//NN|NEU|PLU|IND|NOM//conj//29 har//VB|PRS|AKT//aux//38 i//PP//case//35 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 delar//NN|UTR|PLU|IND|NOM//obl//38 av//PP//case//37 landet//NN|NEU|SIN|DEF|NOM//nmod//35 medfört//VB|SUP|AKT//conj//6 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 r//UO//nsubj//38 estriktioner//NN|UTR|PLU|IND|NOM//obj//38 mot//PP//case//43 etablering//NN|UTR|SIN|IND|NOM//nmod//41 av//PP//case//45 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//43 .//MAD//punct//6
Omgivningspåverkan;Kunskaperna//NN|UTR|PLU|DEF|NOM//nsubj//9 om//PP//case//3 vindkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 effekter//NN|UTR|PLU|IND|NOM//nmod//0 för//PP//case//5 djurlivet//NN|NEU|SIN|DEF|NOM//nmod//3 är//VB|PRS|AKT//cop//9 mycket//JJ|POS|NEU|SIN|IND|NOM//advmod//8 b//NN|NEU|SIN|IND|NOM//nsubj//9 egränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//9 .//MAD//punct//9
Omgivningspåverkan;Vad//HP|NEU|SIN|IND//nsubj//12 gäller//VB|PRS|AKT//conj//9 fåglar//NN|UTR|PLU|IND|NOM//obj//12 tyder//VB|PRS|AKT//conj//9 gjorda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//16 undersökningar//NN|UTR|PLU|IND|NOM//nsubj//14 på//PP//mark//19 att//IE//mark//19 sträcka//VB|INF|AKT//acl//16 nde//VB|PRT|AKT//nmod//21 fåglar//NN|UTR|PLU|IND|NOM//obj//19 i//PP//case//24 liten//JJ|POS|UTR|SIN|IND|NOM//amod//24 utsträckning//NN|UTR|SIN|IND|NOM//obl//19 kolliderar//VB|PRS|AKT//xcomp//14 med//PP//case//27 vindkraftverk//NN|NEU|PLU|IND|NOM//obl//25 .//MAD//punct//9
Omgivningspåverkan;En//DT|UTR|SIN|IND//det//31 barriäre//JJ|POS|UTR|SIN|IND|NOM//amod//31 ffekt//NN|UTR|SIN|IND|NOM//nsubj//33 kan//VB|PRS|AKT//aux//33 uppkomma//VB|INF|AKT//parataxis//9 om//SN//case//36 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 vindkraftverk//NN|NEU|PLU|IND|NOM//obl//33 står//VB|PRS|AKT//advcl//33 tätt//AB|POS//advmod//37 på//PP//case//42 tvärs//AB//advmod//41 flygrik//JJ|POS|UTR|SIN|IND|NOM//amod//42 tningen//NN|UTR|SIN|DEF|NOM//obl//37 .//MAD//punct//33
